PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,TT,GR,OID,OAB,OABL,OTO,OT,GN,EIN,SI
4119829,NLM,MEDLINE,19730406,20210526,0003-6919 (Print) 0003-6919 (Linking),25,1,1973 Jan,An improved method for enumeration of X-C cell assay for murine leukemia virus.,149-50,"A modification for the enumeration of X-C syncytia is described wherein the projected image of the entire infected culture is observed. This method is rapid, reliable, and reproducible.","['Spahn, G J', 'Nims, R M', 'Peters, R L', 'Kenyon, K']","['Spahn GJ', 'Nims RM', 'Peters RL', 'Kenyon K']",['eng'],['Journal Article'],United States,Appl Microbiol,Applied microbiology,7605802,IM,"['Animals', 'Cell Line', 'Cytopathogenic Effect, Viral', 'Leukemia Virus, Murine/*isolation & purification', 'Methods', 'Mice', 'Retroviridae/growth & development/isolation & purification', 'Staining and Labeling', 'Ultraviolet Rays', 'Viral Plaque Assay/*instrumentation']",PMC380752,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1128/am.25.1.149-150.1973 [doi]'],ppublish,Appl Microbiol. 1973 Jan;25(1):149-50. doi: 10.1128/am.25.1.149-150.1973.,,,,,,,,,,,,
4119799,NLM,MEDLINE,19730405,20170214,0009-9228 (Print) 0009-9228 (Linking),12,2,1973 Feb,"Unusual palm creases and unusual children. The Sydney line and ""type C"" palmar lines and their clinical significance in a child development clinic.",101-12,,"['Johnson, C F', 'Opitz, E']","['Johnson CF', 'Opitz E']",['eng'],['Journal Article'],United States,Clin Pediatr (Phila),Clinical pediatrics,0372606,IM,"['Adult', 'Age Factors', 'Child', 'Child Behavior Disorders/diagnosis', 'Child Development', '*Child Health Services', 'Congenital Abnormalities/diagnosis', '*Dermatoglyphics', 'Developmental Disabilities/diagnosis', 'Evaluation Studies as Topic', 'Female', 'Genetics, Medical', '*Hand', 'Hearing Disorders/diagnosis', 'Humans', 'Intellectual Disability/diagnosis', 'Intelligence', 'Leukemia/diagnosis', 'Leukemia, Lymphoid/diagnosis', 'Male', 'Motor Skills', '*Physical Examination', 'Rubella/complications', 'Speech Disorders/diagnosis', 'Vision Disorders/diagnosis']",,1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",['10.1177/000992287301200214 [doi]'],ppublish,Clin Pediatr (Phila). 1973 Feb;12(2):101-12. doi: 10.1177/000992287301200214.,,,,,,,,,,,,
4119795,NLM,MEDLINE,19730405,20190613,0006-2960 (Print) 0006-2960 (Linking),12,5,1973 Feb 27,Isolation of poly(adenylic acid)-rich ribonucleic acid from mouse myeloma and synthesis of complementary deoxyribonucleic acid.,925-31,,"['Faust, C H Jr', 'Diggelmann, H', 'Mach, B']","['Faust CH Jr', 'Diggelmann H', 'Mach B']",['eng'],['Journal Article'],United States,Biochemistry,Biochemistry,0370623,IM,"['Adenine Nucleotides/*metabolism', 'Adenosine Monophosphate/metabolism', 'Animals', 'Cell Fractionation', 'Centrifugation, Density Gradient', 'Chromatography, Affinity', 'Electrophoresis, Polyacrylamide Gel', 'Leukemia, Myeloid, Acute/enzymology', 'Mice', 'Multiple Myeloma/*metabolism', 'Neoplasms, Experimental/metabolism', 'Nucleic Acid Denaturation', 'Nucleic Acid Hybridization', 'Nucleotides/isolation & purification', 'Oligonucleotides', 'Phosphorus/metabolism', 'Phosphorus Isotopes', 'Polynucleotides/*metabolism', 'Polyribosomes/metabolism', 'RNA, Neoplasm/*isolation & purification', 'RNA, Ribosomal/analysis', 'RNA-Directed DNA Polymerase', 'Templates, Genetic', 'Thymine Nucleotides', 'Ultracentrifugation']",,1973/02/27 00:00,2001/03/28 10:01,['1973/02/27 00:00'],"['1973/02/27 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/02/27 00:00 [entrez]']",['10.1021/bi00729a021 [doi]'],ppublish,Biochemistry. 1973 Feb 27;12(5):925-31. doi: 10.1021/bi00729a021.,"['0 (Adenine Nucleotides)', '0 (Nucleotides)', '0 (Oligonucleotides)', '0 (Phosphorus Isotopes)', '0 (Polynucleotides)', '0 (RNA, Neoplasm)', '0 (RNA, Ribosomal)', '0 (Thymine Nucleotides)', '27YLU75U4W (Phosphorus)', '415SHH325A (Adenosine Monophosphate)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",,,,,,,,,,,
4119790,NLM,MEDLINE,19730405,20190501,0027-8424 (Print) 0027-8424 (Linking),70,2,1973 Feb,Crossreactive antigens on human cells infected with Rauscher leukemia virus and on human acute leukemia cells.,495-7,A water-soluble component of membranes of cells from a Burkitt's lymphoma cultured cell line was used to develop an antiserum that detects an antigen(s) on acute leukemia cells. This antiserum did not react with nonlymphoid cultured cell lines except for human embryonic kidney cells infected with the Rauscher murine leukemia virus. Absorption studies demonstrated this antigen to be crossreactive with the antigen detected on the human acute leukemia cells.,"['Mann, D L', 'Halterman, R', 'Leventhal, B G']","['Mann DL', 'Halterman R', 'Leventhal BG']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Antibodies, Neoplasm', 'Antigens, Neoplasm/*analysis', 'Antigens, Viral/*analysis', 'Burkitt Lymphoma/immunology', 'Carcinoma, Bronchogenic/immunology', 'Carcinoma, Hepatocellular/immunology', 'Cells, Cultured', 'Chromium Isotopes', '*Cross Reactions', 'Cytotoxicity Tests, Immunologic', 'Embryo, Mammalian', 'Epitopes', 'HeLa Cells/immunology', 'Hemadsorption', 'Humans', 'Kidney', 'Leukemia, Lymphoid/*immunology', 'Leukemia, Myeloid, Acute/*immunology', 'Liver Neoplasms', 'Mammary Neoplasms, Experimental/immunology', 'Mice', 'Osteosarcoma/immunology', 'Rabbits/immunology', 'Rauscher Virus/*immunology']",PMC433290,1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",['10.1073/pnas.70.2.495 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1973 Feb;70(2):495-7. doi: 10.1073/pnas.70.2.495.,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', '0 (Antigens, Viral)', '0 (Chromium Isotopes)', '0 (Epitopes)']",,,,,,,,,,,
4119644,NLM,MEDLINE,19730403,20190903,0004-945X (Print) 0004-945X (Linking),50,5,1972 Oct,The colony stimulating factor (CSF).,547-57,,"['Metcalf, D']",['Metcalf D'],['eng'],"['Journal Article', 'Review']",Australia,Aust J Exp Biol Med Sci,The Australian journal of experimental biology and medical science,0416662,IM,"['Animals', 'Binding Sites, Antibody', 'Bone Marrow/*immunology', '*Bone Marrow Cells', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Membrane/immunology', 'Centrifugation, Density Gradient', 'Clone Cells', 'Epitopes', '*Glycoproteins/antagonists & inhibitors/blood/metabolism/pharmacology/urine', 'Hematopoietic Stem Cells/drug effects/*immunology', 'Humans', 'Leukemia, Myeloid, Acute/blood/urine', 'Leukocytes', 'Macrophages/immunology/metabolism', 'Mice', 'Monocytes/immunology/metabolism', 'Stimulation, Chemical']",,1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",['10.1038/icb.1972.48 [doi]'],ppublish,Aust J Exp Biol Med Sci. 1972 Oct;50(5):547-57. doi: 10.1038/icb.1972.48.,"['0 (Epitopes)', '0 (Glycoproteins)']",49,,,,,,,,,,
4119502,NLM,MEDLINE,19730329,20061115,0035-3019 (Print) 0035-3019 (Linking),17,7,1972 Aug-Sep,Immune complexes localized in the renal glomeruli of AKR mice: the presence of MuLV gs-I and C-type RNA tumor virus gs-3 determinants.,690-4,,"['Markham, R V', 'Sutherland, J C', 'Cimino, E F', 'Drake, W P', 'Mardiney, M R']","['Markham RV', 'Sutherland JC', 'Cimino EF', 'Drake WP', 'Mardiney MR']",['eng'],['Journal Article'],France,Rev Eur Etud Clin Biol,Revue europeenne d'etudes cliniques et biologiques. European journal of clinical and biological research,0351323,IM,"['AKR murine leukemia virus/*immunology', 'Animals', 'Antibody Formation', '*Antigen-Antibody Complex', '*Antigens, Viral', 'Beta-Globulins/isolation & purification', '*Epitopes', 'Female', 'Fluorescent Antibody Technique', 'Immune Complex Diseases/etiology', '*Immune Tolerance', 'Immunoglobulin G/isolation & purification', 'Kidney Glomerulus/*immunology', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred AKR', 'Oncogenic Viruses/immunology', 'RNA Viruses/immunology', 'Retroviridae/immunology']",,1972/08/01 00:00,1972/08/01 00:01,['1972/08/01 00:00'],"['1972/08/01 00:00 [pubmed]', '1972/08/01 00:01 [medline]', '1972/08/01 00:00 [entrez]']",,ppublish,Rev Eur Etud Clin Biol. 1972 Aug-Sep;17(7):690-4.,"['0 (Antigen-Antibody Complex)', '0 (Antigens, Viral)', '0 (Beta-Globulins)', '0 (Epitopes)', '0 (Immunoglobulin G)']",,,,,,,,,,,
4119476,NLM,MEDLINE,19730328,20151008,0042-6423 (Print) 0042-6423 (Linking),358,3,1973,[Chronic NASDCl-negative eosinophilic leukemia with cardiac infarction].,265-71,,"['Ullmann, W', 'Heine, W D']","['Ullmann W', 'Heine WD']",['ger'],['Journal Article'],Germany,Virchows Arch A Pathol Pathol Anat,"Virchows Archiv. A, Pathology. Pathologische Anatomie",0141343,IM,"['Autopsy', 'Chronic Disease', 'Eosinophils', 'Female', 'Humans', 'Leukemia/*complications/pathology', 'Middle Aged', 'Myocardial Infarction/*complications', 'Staining and Labeling']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,Virchows Arch A Pathol Pathol Anat. 1973;358(3):265-71.,,,Chronische NASDCl-negative Eosinophilen-Leukamie mit Herzinfarkten.,,,,,,,,,
4119400,NLM,MEDLINE,19730323,20190611,0140-6736 (Print) 0140-6736 (Linking),1,7797,1973 Feb 3,Down's syndrome and leukaemia.,260-1,,"['Harnden, D G', ""O'Riordan, M L""]","['Harnden DG', ""O'Riordan ML""]",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['Acute Disease', 'Adolescent', 'Child', 'Chromosome Aberrations', 'Down Syndrome/*complications', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*complications/genetics', 'Male', 'Neoplasms/genetics']",,1973/02/03 00:00,1973/02/03 00:01,['1973/02/03 00:00'],"['1973/02/03 00:00 [pubmed]', '1973/02/03 00:01 [medline]', '1973/02/03 00:00 [entrez]']","['S0140-6736(73)90096-2 [pii]', '10.1016/s0140-6736(73)90096-2 [doi]']",ppublish,Lancet. 1973 Feb 3;1(7797):260-1. doi: 10.1016/s0140-6736(73)90096-2.,,,,,,,,,,,,
4119398,NLM,MEDLINE,19730323,20190611,0140-6736 (Print) 0140-6736 (Linking),1,7797,1973 Feb 3,Lymphocyte populations in chronic lymphocytic leukaemia.,259-60,,"['Cohnen, G', 'Konig, E', 'Augener, W', 'Brittinger, G', 'Douglas, S D']","['Cohnen G', 'Konig E', 'Augener W', 'Brittinger G', 'Douglas SD']",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['Humans', 'Immune Adherence Reaction', 'Leukemia, Lymphoid/*blood', 'Leukocyte Count', 'Lymphocyte Activation', 'T-Lymphocytes/*immunology']",,1973/02/03 00:00,1973/02/03 00:01,['1973/02/03 00:00'],"['1973/02/03 00:00 [pubmed]', '1973/02/03 00:01 [medline]', '1973/02/03 00:00 [entrez]']","['S0140-6736(73)90094-9 [pii]', '10.1016/s0140-6736(73)90094-9 [doi]']",ppublish,Lancet. 1973 Feb 3;1(7797):259-60. doi: 10.1016/s0140-6736(73)90094-9.,,,,,,,,,,,,
4119363,NLM,MEDLINE,19730323,20180216,0009-3157 (Print) 0009-3157 (Linking),18,3,1973,"The enhanced therapeutic effect of cis-platinum (II) diamminodichloride against L1210 leukemia when combined with cyclophosphamide or 1,2-bis(3,5-dioxopiperazine-1-yl)propane or several other antitumor agents.",169-83,,"['Woodman, R J', 'Sirica, A E', 'Gang, M', 'Kline, I', 'Venditti, J M']","['Woodman RJ', 'Sirica AE', 'Gang M', 'Kline I', 'Venditti JM']",['eng'],['Journal Article'],Switzerland,Chemotherapy,Chemotherapy,0144731,IM,"['Amines/*therapeutic use', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Azacitidine/therapeutic use', 'Camptothecin/therapeutic use', 'Carmustine/therapeutic use', 'Chlorides/*therapeutic use', 'Cyclophosphamide/*therapeutic use', 'Cytarabine/therapeutic use', 'Drug Synergism', 'Emetine/therapeutic use', 'Fluorouracil/therapeutic use', 'Ketones/therapeutic use', 'Leukemia L1210/*drug therapy', 'Male', 'Methotrexate/therapeutic use', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Piperazines/*therapeutic use', 'Platinum/*therapeutic use', 'Propane/therapeutic use', 'Time Factors']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1159/000221259 [doi]'],ppublish,Chemotherapy. 1973;18(3):169-83. doi: 10.1159/000221259.,"['0 (Amines)', '0 (Antineoplastic Agents)', '0 (Chlorides)', '0 (Ketones)', '0 (Piperazines)', '04079A1RDZ (Cytarabine)', '49DFR088MY (Platinum)', '8N3DW7272P (Cyclophosphamide)', 'M801H13NRU (Azacitidine)', 'T75W9911L6 (Propane)', 'U3P01618RT (Fluorouracil)', 'U68WG3173Y (Carmustine)', 'X8D5EPO80M (Emetine)', 'XT3Z54Z28A (Camptothecin)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,
