PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,GR,AID,TT,SI,EIN,AD,RF
4017844,NLM,MEDLINE,19850923,20061115,0253-3766 (Print) 0253-3766 (Linking),7,3,1985 May,[Study on the tumor-associated transplantation antigen (TATA) of L615 mouse leukemia cells (L615 cells)].,189-93,"['You, S G']",['You SG'],['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,"['0 (Antigens, Neoplasm)', '0 (Histocompatibility Antigens)', '0 (tumor-associated transplantation antigen)']",IM,"['Animals', 'Antigens, Neoplasm/*analysis', 'Cell Line', 'Histocompatibility Antigens/*analysis', 'Leukemia, Experimental/*immunology', 'Mice']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",ppublish,Zhonghua Zhong Liu Za Zhi. 1985 May;7(3):189-93.,,,,,,,,,
4017648,NLM,MEDLINE,19850906,20130912,0011-4162 (Print) 0011-4162 (Linking),35,6,1985 Jun,Malassezia folliculitis in immunocompromised patients.,536-8,"['Yohn, J J', 'Lucas, J', 'Camisa, C']","['Yohn JJ', 'Lucas J', 'Camisa C']",['eng'],"['Case Reports', 'Journal Article']",United States,Cutis,Cutis,0006440,['0 (Immunosuppressive Agents)'],IM,"['Adult', 'Biopsy', 'Candidiasis/pathology', '*Dermatomycoses', 'Diagnosis, Differential', 'Female', 'Folliculitis/*etiology/pathology', 'Humans', 'Immunosuppressive Agents/*adverse effects', 'Kidney Failure, Chronic/drug therapy', '*Malassezia', 'Male', 'Middle Aged', 'Neoplasms/drug therapy', 'Skin/pathology']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",ppublish,Cutis. 1985 Jun;35(6):536-8.,"Four cases of Malassezia folliculitis in immuno-compromised patients with leukemia, papillary adenocarcinoma of the lung, and chronic renal failure are reported. This condition manifests with multiple bland asymptomatic follicular papules of the trunk and arms. Biopsy specimens show dilated follicles containing unipolar budding yeast forms. Malassezia is a common infection that must be differentiated from the cutaneous manifestations of systemic candidiasis.",,,,,,,,
4017286,NLM,MEDLINE,19850925,20181113,0009-9104 (Print) 0009-9104 (Linking),60,3,1985 Jun,Depressed classical complement pathway activities in chronic lymphocytic leukaemia.,489-95,"['Fust, G', 'Czink, E', 'Minh, D', 'Miszlay, Z', 'Varga, L', 'Hollan, S R']","['Fust G', 'Czink E', 'Minh D', 'Miszlay Z', 'Varga L', 'Hollan SR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Antigen-Antibody Complex)', '0 (Complement C1)', '0 (Complement C1 Inactivator Proteins)', '0 (Complement C3)', '0 (Complement C4)']",IM,"['Antigen-Antibody Complex/metabolism', '*Complement Activation', 'Complement C1/immunology', 'Complement C1 Inactivator Proteins/deficiency', 'Complement C3/immunology', 'Complement C4/immunology', 'Complement Pathway, Alternative', '*Complement Pathway, Classical', 'Hemolysis', 'Humans', 'Leukemia, Lymphoid/*immunology']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",ppublish,Clin Exp Immunol. 1985 Jun;60(3):489-95.,"Haemolytic activities of the classical and alternative complement pathways, and levels of C1, C4, C3, factor B and C1 inhibitor (C1-INH) were measured in 85 serum samples from 46 patients with chronic lymphocytic leukaemia (CLL). Significantly decreased mean C1 and C4 levels were found, and the haemolytic activities of these components were low or low normal in more than 50% of the sera tested. In 15 sera from 5 patients a complement profile characteristic of acquired C1-IHN deficiency was observed. These results indicate that the depression of the activity of the classical complement pathway is a frequently occurring feature in CLL.",PMC1577204,,,,,,,
4017161,NLM,MEDLINE,19850916,20190829,0344-5704 (Print) 0344-5704 (Linking),15,2,1985,Effects of amino acids on the transport and cytotoxicity of melphalan by human bone marrow cells and human tumor cells.,125-31,"['Dufour, M', 'Panasci, L C', 'St Germain, J', 'Boulet, L']","['Dufour M', 'Panasci LC', 'St Germain J', 'Boulet L']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Amino Acids)', '0 (Amino Acids, Cyclic)', '0 (Culture Media)', '20448-79-7 (2-aminobicyclo(2,2,1)heptane-2-carboxylic acid)', 'Q41OR9510P (Melphalan)']",IM,"['Adenocarcinoma', 'Amino Acids/*pharmacology', '*Amino Acids, Cyclic', 'Animals', 'Biological Transport/drug effects', 'Bone Marrow/drug effects/*metabolism', 'Breast Neoplasms', 'Cell Line', 'Cell Survival/drug effects', 'Chromatography, Thin Layer', 'Colony-Forming Units Assay', 'Culture Media', 'Female', 'Humans', 'Kinetics', 'Melphalan/*metabolism', 'Mice', 'Neoplasms/*metabolism']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1985;15(2):125-31. doi: 10.1007/BF00257522.,"In human tumor cells freshly obtained from patients with breast cancer, ovarian cancer, or adenocarcinoma of unknown etiology and in normal human bone marrow cells, the cell-to-medium ratio (intracellular/extracellular concentration) in vitro of 5.42 microM melphalan rose rapidly to levels of 6-17 after 35 min at 37 degrees C in Dulbecco's phosphate-buffered saline containing bovine serum albumin and glucose. Only patient C (breast cancer) had received chemotherapy. In all cells studied, L amino acids (1 mM) such as leucine, glutamine, tyrosine, and methionine reduced the cell-to-medium ratio of melphalan at 3 and 35 min. There was a good correlation between the reduction of melphalan transport at 35 min in the heterogeneous nucleated bone marrow cell population by amino acids and their effect on melphalan cytotoxicity in the CFU-C system. Aminoisobutyric acid (A1B), a specific substrate of the A system of amino acid transport, at a concentration between 1 and 50 mM had no significant effect on melphalan uptake at 3 min in any of the human cells studied except those of patient C. At 35 min A1B (10 or 50 mM) significantly reduced the intracellular melphalan concentration in normal bone marrow cells and tumor cells from patients B and C. At 2 mM, 2-aminobicyclo-(2, 2,1)-heptane-2-carboxylic acid (BCH), a specific substrate of the L system of amino acid transport, reduced the cell-to-medium ratio to 70% of control at 3 and 35 min in human bone marrow cells. In tumor cells from patients A, B, D, and F, 2 mM BCH had no significant effect on melphalan uptake at 3 min; it slightly decreased uptake in tumor cells from patient C. At 35 min, 2 mM BCH significantly reduced melphalan transport in tumor cells from patients C and F only. The lack of a BCH-suppressible component to melphalan uptake into human tumor cells freshly obtained from previously untreated patients contrasts with the presence of this component in murine L1210 leukemia cells, murine P388 leukemia cells, and human tumor cell lines. This suggests that minor differences in melphalan transport may exist amongst species and also between human tumor cells which are freshly obtained and cell lines maintained in culture.",,['R01 CA28984/CA/NCI NIH HHS/United States'],['10.1007/BF00257522 [doi]'],,,,,
4017129,NLM,MEDLINE,19850912,20190705,0009-2363 (Print) 0009-2363 (Linking),33,2,1985 Feb,Uracil derivatives. V. Syntheses and growth-inhibitory activity against L-1210 cells of 5-substituted 2'-deoxyuridines and orotidine derivatives.,856-64,"['Okada, J', 'Nakano, K', 'Miyake, H']","['Okada J', 'Nakano K', 'Miyake H']",['eng'],['Journal Article'],Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,"['0 (Antineoplastic Agents)', 'B350MC02GZ (orotidine)', 'W78I7AY22C (Deoxyuridine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Cell Division/drug effects', 'Cells, Cultured', 'Deoxyuridine/*analogs & derivatives/chemical synthesis/pharmacology', 'Leukemia L1210/*pathology', 'Mice', 'Uridine/*analogs & derivatives/chemical synthesis/pharmacology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",ppublish,Chem Pharm Bull (Tokyo). 1985 Feb;33(2):856-64. doi: 10.1248/cpb.33.856.,,,,['10.1248/cpb.33.856 [doi]'],,,,,
4017062,NLM,MEDLINE,19850916,20061115,0069-2328 (Print) 0069-2328 (Linking),40,4,1985 Apr,[NK cells in children].,201-3,"['Mydlil, J', 'Misarova, Z', 'Novakova, J', 'Eichlerova, H']","['Mydlil J', 'Misarova Z', 'Novakova J', 'Eichlerova H']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cesk Pediatr,Ceskoslovenska pediatrie,0403576,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Hodgkin Disease/blood', 'Humans', 'Infant', 'Infant, Newborn', '*Killer Cells, Natural', 'Leukemia/blood', '*Leukocyte Count', 'Reference Values']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",ppublish,Cesk Pediatr. 1985 Apr;40(4):201-3.,,,,,NK bunky u deti.,,,,
4016956,NLM,MEDLINE,19850904,20190705,0092-8674 (Print) 0092-8674 (Linking),42,1,1985 Aug,Introduction of a selectable gene into primitive stem cells capable of long-term reconstitution of the hemopoietic system of W/Wv mice.,71-9,"['Dick, J E', 'Magli, M C', 'Huszar, D', 'Phillips, R A', 'Bernstein, A']","['Dick JE', 'Magli MC', 'Huszar D', 'Phillips RA', 'Bernstein A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell,Cell,0413066,"['0 (DNA, Viral)']",IM,"['Animals', '*Bone Marrow Cells', 'DNA, Viral/analysis', 'Genes, Viral', '*Genetic Vectors', '*Hematopoiesis', 'Hematopoietic Stem Cells/*cytology', 'Lymphocytes/cytology', 'Mice', 'Mice, Inbred Strains', 'Mice, Mutant Strains', 'Moloney murine leukemia virus/genetics', 'Recombination, Genetic', 'Spleen/*cytology', 'Thymus Gland/*cytology', 'Transfection']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",ppublish,Cell. 1985 Aug;42(1):71-9. doi: 10.1016/s0092-8674(85)80102-1.,"We have used the random chromosomal integration sites of retrovirus vectors as unique clonal markers to analyze cell lineage relationships within the hemopoietic stem cell hierarchy. Using a high efficiency protocol for retrovirus-mediated gene transfer, anemic W/Wv mutant mice were reconstituted with bone marrow cells infected with a NEO vector. Analysis of the DNA from bone marrow, thymus, and spleen of these reconstituted W/Wv mice indicated insertion of the vector into primitive pluripotent stem cells capable of producing both myeloid and lymphoid progeny as well as into more committed stem cells apparently restricted to either the myeloid or lymphoid lineages. The neo gene was also expressed in these mice, as they contained a variety of G418 resistant in vitro colony-forming cells. These results demonstrate high-efficiency gene transfer and expression in primitive hemopoietic stem cells and provide a direct approach for analyzing the hemopoietic stem cell hierarchy.",,,"['S0092-8674(85)80102-1 [pii]', '10.1016/s0092-8674(85)80102-1 [doi]']",,,,,
4016905,NLM,MEDLINE,19850925,20041117,0008-9176 (Print) 0008-9176 (Linking),31,3,1985 Mar,A follow-up and case tracing exercise.,49-52,"['Levy, L M', 'Zambellis, H', 'Masanganise, R', 'Simoyi, T']","['Levy LM', 'Zambellis H', 'Masanganise R', 'Simoyi T']",['eng'],['Journal Article'],Zimbabwe,Cent Afr J Med,The Central African journal of medicine,0372566,,IM,"['*Follow-Up Studies', 'Humans', 'Leukemia/*therapy', 'Lymphoma/*therapy', '*Patient Compliance', 'Zimbabwe']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",ppublish,Cent Afr J Med. 1985 Mar;31(3):49-52.,,,,,,,,,
4016859,NLM,MEDLINE,19850827,20111117,0008-7335 (Print) 0008-7335 (Linking),124,21,1985 May 24,[Leukemia and the HLA-C locus].,654-5,"['Majsky, A', 'Prazak, J']","['Majsky A', 'Prazak J']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,"['0 (HLA Antigens)', '0 (HLA-C Antigens)', '0 (HLA-C*03 antigen)', '0 (HLA-C*04 antigen)']",IM,"['Acute Disease', 'HLA Antigens/*analysis', '*HLA-C Antigens', 'Humans', 'Leukemia/*genetics/immunology']",1985/05/24 00:00,1985/05/24 00:01,['1985/05/24 00:00'],"['1985/05/24 00:00 [pubmed]', '1985/05/24 00:01 [medline]', '1985/05/24 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1985 May 24;124(21):654-5.,,,,,Leukemie a HLA-C lokus.,,,,
4016801,NLM,MEDLINE,19850919,20041117,0361-5960 (Print) 0361-5960 (Linking),69,7-8,1985 Jul-Aug,Difficulty of interpreting disease-free interval curves when substantial numbers of patients die in remission.,924-5,"['Sanz, M A', 'Sanchez-Duran, A', 'Martin, G']","['Sanz MA', 'Sanchez-Duran A', 'Martin G']",['eng'],['Letter'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,,IM,"['Humans', 'Leukemia/*mortality', 'Probability']",1985/07/01 00:00,1985/07/01 00:01,['1985/07/01 00:00'],"['1985/07/01 00:00 [pubmed]', '1985/07/01 00:01 [medline]', '1985/07/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1985 Jul-Aug;69(7-8):924-5.,,,,,,,,,
