PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,AD,RF,PS,FPS,SI,OID
3917695,NLM,MEDLINE,19850313,20210216,0006-4971 (Print) 0006-4971 (Linking),65,2,1985 Feb,The E rosette-associated antigen of T cells can be identified on blasts from patients with acute myeloblastic leukemia.,363-7,"Monoclonal antibody T-11, considered specific for the sheep erythrocyte rosette-associated antigen of T cells, reacted with leukemic blasts from four of 23 patients with morphologic and cytochemical criteria for acute myeloblastic leukemia (AML). Although 83%, 87%, 88%, and 96% of the blasts from these patients reacted with T-11, only one patient demonstrated a small percentage of heat-stable E rosettes (5%). Antibody 9.6, which also reacts with the E rosette-associated antigen, was tested on blasts from two of the T-11-positive patients and was also strongly reactive (96% and 98%). Dual staining of blasts from these two patients demonstrated a small number of cells that simultaneously expressed the E rosette-associated antigen and myeloid-associated cytochemistries (myeloperoxidase [MPO] and Sudan black B). Additionally, leukemic blasts were identified that simultaneously expressed the E rosette-associated antigen and contained Auer rods. Antibody OKT-11 immunoprecipitated a 48,100-dalton glycoprotein from these leukemic blasts that is similar in molecular weight to that previously determined for the T cell surface protein (Tp50), thus providing strong evidence that this molecule can be found in some cases of AML. Because cells simultaneously expressing both the E rosette-associated antigen and MPO were identified, it would appear likely that leukemic blasts with only the E rosette-associated antigen or only MPO arose from the same progenitor. Our findings further demonstrate that the epitopes identified by antibodies OKT-11, T-11, and 9.6 are not always associated with, or sufficient for, 37 degrees C E rosette formation and can be found on blasts from patients with AML.","['Mirro, J', 'Antoun, G R', 'Zipf, T F', 'Melvin, S', 'Stass, S']","['Mirro J', 'Antoun GR', 'Zipf TF', 'Melvin S', 'Stass S']",['eng'],"['CA-20180/CA/NCI NIH HHS/United States', 'RR-05584014/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal', 'Antigen-Antibody Reactions', 'Antigens, Differentiation, T-Lymphocyte', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/*analysis', 'Chemical Precipitation', 'Humans', 'Leukemia, Myeloid, Acute/*immunology/metabolism/pathology', 'Phenotype', '*Rosette Formation', 'T-Lymphocytes/*immunology/metabolism']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['S0006-4971(20)83681-7 [pii]'],ppublish,Blood. 1985 Feb;65(2):363-7.,,,,,,,,
3917694,NLM,MEDLINE,19850313,20210216,0006-4971 (Print) 0006-4971 (Linking),65,2,1985 Feb,Prognostic significance of immunoglobulin phenotype in B cell chronic lymphocytic leukemia.,340-4,"Seventy-six consecutive untreated patients with B cell chronic lymphocytic leukemia (B-CLL) and classified according to Binet's staging system were studied at the clinical presentation. Several immunologic parameters (number of total and T circulating lymphocytes and their surface membrane immunoglobulin [Smlg] phenotypes and levels of serum Ig) were evaluated with the aim of identifying a biologic marker of prognostic relevance. In this series of persons, Binet staging confirmed its usefulness as a prognostic index (P less than .001). With regard to Smlg, they were mu-type in 41 cases (53.9%), mu-type plus delta-type in 29 cases (38.2%), alpha-type in one case, and not detectable in five cases. No correlations were found between clinical stage and immunoglobulin phenotype, although all but one patient in stage C showed mu-type Smlg alone. On analyzing the survival curves of our patients according to different Smlg phenotypes, we found that patients with only mu-type Smlg had a poorer prognosis (P less than .05) than those with mu-type plus delta-type; this difference was even more significant (P less than .01) in patients in stage A, whereas there were no statistical differences in those in stages B and C. Because the appearance of surface heavy chain of delta-type could be an expression of cell maturation, these results suggest that in B-CLL the presence of phenotypically more mature leukemic cells may correlate with better clinical prognosis, particularly in the early phase of the disease.","['Baldini, L', 'Mozzana, R', 'Cortelezzi, A', 'Neri, A', 'Radaelli, F', 'Cesana, B', 'Maiolo, A T', 'Polli, E E']","['Baldini L', 'Mozzana R', 'Cortelezzi A', 'Neri A', 'Radaelli F', 'Cesana B', 'Maiolo AT', 'Polli EE']",['eng'],,['Journal Article'],United States,Blood,Blood,7603509,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulins)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Actuarial Analysis', 'Adult', 'Aged', 'B-Lymphocytes/*immunology', 'Female', 'Humans', 'Immunoglobulin Heavy Chains/analysis', 'Immunoglobulins/*analysis', 'Leukemia, Lymphoid/blood/*immunology/pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Phenotype', 'Prognosis', 'Receptors, Antigen, B-Cell/analysis']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['S0006-4971(20)83677-5 [pii]'],ppublish,Blood. 1985 Feb;65(2):340-4.,,,,,,,,
3917677,NLM,MEDLINE,19850319,20190515,0007-0920 (Print) 0007-0920 (Linking),51,1,1985 Jan,Studies on interleukin 2 receptor expression and IL-2 production by murine T cell lymphomas.,23-30,"In order to study the possible role of the T-lymphocyte growth factor, Interleukin 2 (IL-2), and/or of the IL-2 receptor in the autonomous growth of leukaemic cells, 15 mouse leukaemic cell lines of various aetiology were analyzed for (i) IL-2 receptor expression and (ii) for the capacity to secrete IL-2. Several but not all of the cell lines tested were IL-2 receptor positive. The cells constitutively expressing IL-2 receptors at their surface could not be stimulated to secrete IL-2. Cell producing and secreting IL-2 did not express detectable amounts of IL-2 receptors at their surface. It has been demonstrated that proliferation of the leukaemic cells was independent of exogenous IL-2. The monoclonal anti-IL-2 receptor antibody AMT-13 inhibited IL-2 dependent proliferation of activated normal T-lymphocytes but failed to inhibit the growth of IL-2 receptor expressing leukaemic cells. The results argue against the autocrine stimulation hypothesis but do not exclude the possibility of involvement of functionally altered IL-2 receptors on autonomous cell growth.","['Diamantstein, T', 'Osawa, H', 'Graf, L', 'Schirrmacher, V']","['Diamantstein T', 'Osawa H', 'Graf L', 'Schirrmacher V']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['0 (Antibodies, Monoclonal)', '0 (Interleukin-2)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology', 'Cell Division', 'Cell Line', 'Interleukin-2/*biosynthesis', 'Leukemia, Experimental/*immunology/metabolism', 'Mice', 'Mice, Inbred Strains', 'Receptors, Immunologic/*analysis/immunology', 'Receptors, Interleukin-2', 'T-Lymphocytes/pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1038/bjc.1985.4 [doi]'],ppublish,Br J Cancer. 1985 Jan;51(1):23-30. doi: 10.1038/bjc.1985.4.,PMC1976818,,,,,,,
3917477,NLM,MEDLINE,19850220,20151119,0022-1767 (Print) 0022-1767 (Linking),134,2,1985 Feb,Three distinct antigen systems on human B cell subpopulations as defined by monoclonal antibodies.,828-34,"Three novel antigen systems (L22, L23, and L24) expressed on human B cell subpopulations were identified by using TB1-2C3, TB1-2B3, and TB1-3C1 monoclonal antibodies, respectively. L22 was expressed on a minor subpopulation of B cells in human lymphoid tissues and in the peripheral blood. These B cells associated with L22 were resting small B cells mainly located in the mantle zone of lymphoid follicles, most of which also expressed IgM and IgD on their cell membrane. This antigen was absent from all cultured hemopoietic cell lines including B cell-derived cell lines as well as from all human B cell malignancies, except for B cell-type chronic lymphocytic leukemia and hairy cell leukemia. L23 and L24, on the other hand, existed on approximately two-third of B cells in blood and lymphoid tissues. These L23 and L24 antigens were expressed largely on small lymphocytes located in the mantle zone of lymphoid follicles and to a lesser extent on large blastic cells within lymphoid germinal centers. L23 and L24, like L22, seem to disappear from B cells during their differentiation into antibody-secreting cells, because they were not expressed on normal and neo-plastic plasma cells. This is additionally confirmed by the observation that L23 and L24 were expressed little or not at all on pokeweed mitogen-activated and Epstein-Barr virus-transformed B cells, and were absent from some of B cell malignancies that have been thought to correspond to the later stages of B cell development. Although L23, but not L22 and L24, was faintly expressed on mature granulocytes and monocytes, none of L22, L23, or L24 existed on human thymus and T cells. Immunoprecipitation studies showed that L23 and L24 were different molecular species consisting of a single glycoprotein with m.w. of 205,000 and 145,000, respectively. L22 antigen is presently under study.","['Takami, T', 'Ishii, Y', 'Yuasa, H', 'Kikuchi, K']","['Takami T', 'Ishii Y', 'Yuasa H', 'Kikuchi K']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Surface)']",IM,"['*Antibodies, Monoclonal', 'Antigens, Differentiation, B-Lymphocyte', 'Antigens, Surface/*analysis', 'B-Lymphocytes/*classification/immunology', 'Child', 'Electrophoresis, Polyacrylamide Gel', 'Hematopoietic Stem Cells/classification/immunology', 'Histocytochemistry', 'Humans', 'Immunoenzyme Techniques', 'Lymphoid Tissue/cytology', 'Molecular Weight']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,J Immunol. 1985 Feb;134(2):828-34.,,,,,,,,
3917474,NLM,MEDLINE,19850220,20131121,0022-1767 (Print) 0022-1767 (Linking),134,2,1985 Feb,Induction of proliferation in vitro of resting human natural killer cells: expression of surface activation antigens.,718-27,"In this report, we show that resting human peripheral blood NK cells, positively enriched with antibody B73.1, can be induced to proliferate in vitro in short-term cultures, and newly express membrane activation antigens. B73.1+ NK cells, cultured for 6 days in the presence of conditioned medium containing IL 2 and irradiated B lymphoblastoid cells, show significant [3H]TdR incorporation beginning on day 4. At that time, a large proportion of the cells express HLA-DR and 4F2 antigens, and transferrin and IL 2 receptors, all detectable at high density by indirect immunofluorescence with the use of monoclonal antibodies. These cells maintain their ability to lyse target cells spontaneously or in the presence of antibodies. By two-color immunofluorescence and cell cycle analysis combined with indirect immunofluorescence, we demonstrate directly that the activation antigens are expressed on all NK (B73.1+) cells in the S/G2/M phases of the cell cycle, and on only a proportion of those in the G0/G1 phases.","['London, L', 'Perussia, B', 'Trinchieri, G']","['London L', 'Perussia B', 'Trinchieri G']",['eng'],"['CA 05022/CA/NCI NIH HHS/United States', 'CA 10815/CA/NCI NIH HHS/United States', 'CA 20833/CA/NCI NIH HHS/United States', 'etc.']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Surface)', '0 (Interleukin-2)', '0 (Isoantigens)', '0 (Mitogens)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Antigens, Surface/*analysis/genetics', 'Burkitt Lymphoma/immunology', 'Cell Line', 'Cytotoxicity, Immunologic', 'Humans', 'Interleukin-2/physiology', 'Interphase', 'Isoantigens/immunology/radiation effects', 'Killer Cells, Natural/cytology/*immunology/metabolism', 'Leukemia, Erythroblastic, Acute/immunology', '*Lymphocyte Activation/radiation effects', 'Mast-Cell Sarcoma/immunology', 'Mice', 'Mitogens/pharmacology', 'Phenotype', 'Thymidine/metabolism', 'Time Factors']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,J Immunol. 1985 Feb;134(2):718-27.,,,,,,,,
3917468,NLM,MEDLINE,19850220,20061115,0022-1767 (Print) 0022-1767 (Linking),134,2,1985 Feb,Stimulated rat T cell-derived inhibitory factor for cellular DNA synthesis (STIF). I. Isolation and characterization.,1019-25,"A lymphokine inhibitory for cellular DNA synthesis (termed STIF) was isolated from the culture supernatants of concanavalin A (Con A)-stimulated SD rat spleen cells. STIF inhibited the DNA synthesis of mouse bone marrow cells as well as mouse leukemia cells. STIF has an apparent m.w. of 45,000 to 50,000 and is separable from IL 2, m.w. 20,000 to 25,000, by Sephacryl S-200 gel filtration, but not from immune interferon (IFN) having the same m.w. as STIF. Con A-Sepharose chromatography of the fraction containing STIF and IFN could separate these lymphokines into Con A-unbound and Con A-bound fractions, respectively. Further fractionation of the STIF fraction by DEAE-Sephadex A-50 or Mono Q-FPLC anion exchange chromatography indicated that the STIF fraction contained two components of STIF activity, both showing the same pI value (5.1 to 5.6) on flat-bed isoelectric focusing. STIF was characterized as a sugar-free lymphokine of trypsin-sensitive protein nature.","['Chiba, K', 'Nishimura, T', 'Hashimoto, Y']","['Chiba K', 'Nishimura T', 'Hashimoto Y']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Lymphokines)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)', '11089-65-9 (Tunicamycin)', '9007-49-2 (DNA)']",IM,"['Absorption', 'Animals', 'Bone Marrow/metabolism', 'Chromatography, Affinity', 'DNA/*biosynthesis', 'Fractional Precipitation', 'Leukemia, Experimental/metabolism', 'Lymphocyte Activation/drug effects', 'Lymphokines/analysis/*isolation & purification/pharmacology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Rats', 'Rats, Inbred Strains', 'Receptors, Immunologic/metabolism', 'Receptors, Interleukin-2', 'Spleen/cytology', 'T-Lymphocytes/*metabolism', 'Tunicamycin/pharmacology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,J Immunol. 1985 Feb;134(2):1019-25.,,,,,,,,
3917439,NLM,MEDLINE,19850214,20131121,0021-9541 (Print) 0021-9541 (Linking),122,1,1985 Jan,Distribution of insulin receptors between plasmalemma and intracellular compartments: effect of amino acids.,120-4,"Insulin receptor regulation was studied in the rat erythroblastic leukemic (EBL) cell in primary culture. After 1-2-hr incubations in medium containing 12 essential amino acids, glutamine, and serine, EBL cell protein synthesis and insulin receptor concentrations were increased compared to cells incubated without serine. Deficiency of medium isoleucine in the presence of serine rapidly decreased protein synthesis and insulin binding to intact cells. Supplementation of deficient media with serine or isoleucine had no effect on total insulin receptor numbers measured in solubilized cell preparations. Increased insulin binding following serine exposure was seen with binding assays at both 4 and 37 degrees C. Dissociation experiments to quantitate intracellular ligand after 37 degrees C binding assays showed increased in both surface binding and intracellular [125I]insulin accumulation. These data combined with previous observations suggest that amino acids essential for this cell are required for the rapid synthesis of a labile regulatory protein which facilitates the redistribution and/or recycling of insulin receptors.","['Galbraith, R A', 'Buse, M G']","['Galbraith RA', 'Buse MG']",['eng'],"['1 R23 AM 29713/AM/NIADDK NIH HHS/United States', 'AM 02001/AM/NIADDK NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Physiol,Journal of cellular physiology,0050222,"['0 (Culture Media)', '0 (Insulin)', '0 (insulin, iodo-)', '04Y7590D77 (Isoleucine)', '452VLY9402 (Serine)', 'EC 2.7.10.1 (Receptor, Insulin)']",IM,"['Animals', 'Cell Line', 'Cell Membrane/*metabolism', 'Culture Media', 'Insulin/analogs & derivatives/metabolism', 'Isoleucine/*pharmacology', 'Kinetics', 'Leukemia, Experimental/*metabolism', 'Rats', 'Receptor, Insulin/drug effects/*metabolism', 'Serine/*pharmacology', 'Subcellular Fractions/metabolism']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1002/jcp.1041220118 [doi]'],ppublish,J Cell Physiol. 1985 Jan;122(1):120-4. doi: 10.1002/jcp.1041220118.,,,,,,,,
3917376,NLM,MEDLINE,19850206,20190829,0344-5704 (Print) 0344-5704 (Linking),14,1,1985,Treatment of plasma cell neoplasm with recombinant leukocyte A interferon and human lymphoblastoid interferon.,34-7,"Thirty cases of plasma cell neoplasms (24 multiple myeloma, one plasma cell leukemia, and three primary macroglobulinemia) were treated with two kinds of highly purified alpha-interferons, recombinant human leukocyte interferon (rIFN-alpha A) (16 cases) and human lymphoblastoid interferon (HLBI) (14 cases). Partial remission (PR) was obtained in two of 16 evaluable cases treated with rIFN-alpha A and in two of 12 evaluable cases treated with HLBI. If minor response (MR) was included, responses were observed in seven (31.3%) and six (50%), respectively. Response (PR + MR) was noted in 38% of 21 previously treated patients and 71% of seven previously untreated patients. Side-effects were noted in more than two-thirds of the patients. They included fever, malaise, nausea/anorexia and myelosuppression. Thus, these two kinds of highly purified alpha-interferon were effective in plasma cell neoplasm, producing unequivocal response in 14.3% of the cases without unacceptable side-effects.","['Ohno, R', 'Kodera, Y', 'Ogura, M', 'Murase, T', 'Emi, N', 'Okumura, M', 'Morishita, Y', 'Nagura, E', 'Minami, S', 'Morishima, Y']","['Ohno R', 'Kodera Y', 'Ogura M', 'Murase T', 'Emi N', 'Okumura M', 'Morishita Y', 'Nagura E', 'Minami S', 'Morishima Y', 'et al.']",['eng'],,['Journal Article'],Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (DNA, Recombinant)', '0 (Interferon Type I)']",IM,"['Aged', 'DNA, Recombinant', 'Dose-Response Relationship, Drug', 'Drug Evaluation', 'Female', 'Humans', 'Interferon Type I/adverse effects/*therapeutic use', 'Leukemia, Plasma Cell/*therapy', 'Male', 'Middle Aged', 'Multiple Myeloma/*therapy', 'Waldenstrom Macroglobulinemia/*therapy']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/BF00552722 [doi]'],ppublish,Cancer Chemother Pharmacol. 1985;14(1):34-7. doi: 10.1007/BF00552722.,,,,,,,,
3917372,NLM,MEDLINE,19850125,20131121,0008-5472 (Print) 0008-5472 (Linking),45,1,1985 Jan,"Evaluation of the in vivo antitumor activity and in vitro cytotoxic properties of auranofin, a coordinated gold compound, in murine tumor models.",32-9,"The coordinated gold compound, 2,3,4,6-tetra-O-acetyl-1-thio-beta-D-glucopyranosato-S-triethyl phosphine gold (auranofin; Ridaura), was evaluated for antitumor activity in a variety of mouse tumor models. Of the 15 tumor models evaluated, auranofin was found to be active only against i.p. P388 leukemia. A number of dose schedules was used to measure activity against P388 with optimal activity observed at 12 mg/kg given daily, i.p., on Days 1 to 5. Auranofin was active against i.p. P388 leukemia only when administered i.p.; the drug was completely inactive when administered i.v., s.c., or p.o. on Days 1 to 5. Evaluation of the effects of auranofin in vitro demonstrated that survival curves for B16 melanoma cells as measured by the clongenic and dye exclusion assays were exponential and monophasic; cell cycle distribution was not altered, and auranofin displayed no preferential cytotoxicity to logarithmic or plateau growth phase cell populations; auranofin inhibited DNA, RNA, and protein synthesis at cytotoxic concentrations but showed no selective effect; the cytotoxic activity and cellular association of gold from auranofin were dose, time, and temperature dependent; and binding of auranofin gold to serum proteins markedly decreased cellular uptake of gold and cytotoxicity of auranofin in vitro.","['Mirabelli, C K', 'Johnson, R K', 'Sung, C M', 'Faucette, L', 'Muirhead, K', 'Crooke, S T']","['Mirabelli CK', 'Johnson RK', 'Sung CM', 'Faucette L', 'Muirhead K', 'Crooke ST']",['eng'],,['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '2P2V9Q0E78 (Aurothioglucose)', '3H04W2810V (Auranofin)', '7440-57-5 (Gold)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Auranofin', 'Aurothioglucose/*analogs & derivatives/therapeutic use/toxicity', 'Cell Cycle/drug effects', 'Cell Survival/drug effects', 'Drug Evaluation, Preclinical', 'Gold/*analogs & derivatives', 'Kinetics', 'Leukemia P388/*drug therapy/pathology', 'Leukemia, Experimental/*drug therapy', 'Melanoma/*drug therapy/pathology', 'Mice', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Tumor Stem Cell Assay']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Jan;45(1):32-9.,,,,,,,,
3917369,NLM,MEDLINE,19850125,20031114,0008-5472 (Print) 0008-5472 (Linking),45,1,1985 Jan,Immunogenicity and immunosensitivity of a guinea pig B-cell leukemia subline lacking cell surface Ia antigens.,143-8,L2C is a transplantable B-cell leukemia of strain 2 guinea pigs. Transplantation protection experiments were performed with L2C sublines expressing or lacking cell surface antigens coded for by the I region of the major histocompatibility complex (Ia). A subline (BZ-L2C) that lacked cell surface Ia antigens was immunogenic but relatively resistant to immunological attack. The data suggest that rejection of this B-cell leukemia may be influenced by expression of cell surface Ia antigens.,"['Tanio, Y', 'Zbar, B']","['Tanio Y', 'Zbar B']",['eng'],,['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Histocompatibility Antigens Class II)']",IM,"['Animals', 'Antibodies, Monoclonal', 'B-Lymphocytes/*immunology', 'Cytotoxicity, Immunologic', '*Dermatitis, Contact', 'Female', 'Flow Cytometry', '*Genes, MHC Class II', 'Guinea Pigs', 'Histocompatibility Antigens Class II/*analysis', 'Leukemia, Experimental/*immunology/pathology', 'Male', 'Mutation']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Jan;45(1):143-8.,,,,,,,,
