PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,GR,PMC,SI,OID
3872163,NLM,MEDLINE,19850502,20190816,0165-4608 (Print) 0165-4608 (Linking),16,4,1985 Apr 15,Philadelphia-positive T-acute lymphoblastic leukemia.,297-300,"A case of typical T-acute lymphoblastic leukemia (T-ALL) is reported in which, at diagnosis, 100% of bone marrow metaphases showed a Philadelphia (Ph) translocation, t(9;22). These cells completely disappeared following chemotherapy. The significance of the Ph chromosome in T and B leukemic cells is discussed.","['Louwagie, A', 'Criel, A', 'Verfaillie, C M', 'Valcke, Y J', 'Lamberts, H', 'Hidajat, M', 'Mecucci, C', 'Van den Berghe, H']","['Louwagie A', 'Criel A', 'Verfaillie CM', 'Valcke YJ', 'Lamberts H', 'Hidajat M', 'Mecucci C', 'Van den Berghe H']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['*Chromosomes, Human, 21-22 and Y', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Leukemia, Lymphoid/drug therapy/*genetics', 'Male', 'Middle Aged', 'T-Lymphocytes', 'Translocation, Genetic']",1985/04/15 00:00,1985/04/15 00:01,['1985/04/15 00:00'],"['1985/04/15 00:00 [pubmed]', '1985/04/15 00:01 [medline]', '1985/04/15 00:00 [entrez]']","['0165-4608(85)90236-5 [pii]', '10.1016/0165-4608(85)90236-5 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Apr 15;16(4):297-300. doi: 10.1016/0165-4608(85)90236-5.,,,,,,
3872161,NLM,MEDLINE,19850515,20190619,0008-543X (Print) 0008-543X (Linking),55,9,1985 May 1,A case of T-cell chronic lymphocytic leukemia with an unusual phenotype and central nervous system involvement.,1937-42,"A case of T-cell chronic lymphocytic leukemia is reported. The leukemic cells had the morphologic features of medium-sized, mature-looking lymphocytes, and had an affinity for the central nervous system. Cytochemically, they were positive for alpha-naphthyl acetate esterase and acid phosphatase. They formed E-rosettes (E+) and reacted with OKT11 but not with OKT3/Leu-4, OKT4/Leu-3, OKT8/Leu-2, or OKM1, and did not possess IgG-Fc receptors (Fc gamma R). Functionally, they did not respond to phytohemagglutinin or concanavalin A, were not natural killer cells or antibody-dependent as well as alloantigen-reactive killer cells. Furthermore, they did not possess a helper or suppressor T-cell function for immunoglobulin synthesis. Results of immunologic studies suggest that the leukemic cells were derived from a normal counterpart of a lymphocyte subset present as a minor component of the peripheral blood, namely an E+, OKT3-, OKM1-, Fc gamma R- subset, the function of which is not yet identified.","['Oshimi, K', 'Akahoshi, M', 'Hagiwara, N', 'Tanaka, M', 'Mizoguchi, H']","['Oshimi K', 'Akahoshi M', 'Hagiwara N', 'Tanaka M', 'Mizoguchi H']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Antibodies, Monoclonal', 'Antibody-Dependent Cell Cytotoxicity', 'Humans', 'Leukemia, Lymphoid/immunology/*pathology', 'Lymphocyte Activation', 'Male', 'Rosette Formation', '*T-Lymphocytes/immunology/pathology']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",['10.1002/1097-0142(19850501)55:9<1937::aid-cncr2820550918>3.0.co;2-1 [doi]'],ppublish,Cancer. 1985 May 1;55(9):1937-42. doi: 10.1002/1097-0142(19850501)55:9<1937::aid-cncr2820550918>3.0.co;2-1.,"['0 (Antibodies, Monoclonal)']",,,,,
3872146,NLM,MEDLINE,19850507,20190903,0006-5242 (Print) 0006-5242 (Linking),50,3,1985 Mar,Surface glycoproteins (S-GP) on normal and malignant human leukocytes.,157-68,This study aimed to investigate high molecular weight surface glycoprotein (S-GP) patterns on various types of human leukocytes. S-GP were externally labelled by the Galactose-oxidase-NaB3H4 technique. Results based on the analysis of 120 samples derived from different types of normal and malignant leukocytes indicate that the relative expression of high molecular weight S-GPs changes during haemopoietic cell differentiation and to some extent these changes enable the classification of human leukocytes.,"['Leiter, E', 'Pfister, R', 'Lutz, D', 'Michlmayr, G', 'Gadner, H', 'Gattringer, C', 'Schmalzl, F', 'Braunsteiner, H', 'Huber, C']","['Leiter E', 'Pfister R', 'Lutz D', 'Michlmayr G', 'Gadner H', 'Gattringer C', 'Schmalzl F', 'Braunsteiner H', 'Huber C']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Blut,Blut,0173401,IM,"['Antigens, Surface/*analysis', 'B-Lymphocytes/ultrastructure', 'Glycoproteins/*analysis', 'Granulocytes/ultrastructure', 'Humans', 'Leukemia/pathology', 'Leukocytes/*ultrastructure', 'Molecular Weight', 'Monocytes/ultrastructure', 'T-Lymphocytes/ultrastructure']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",['10.1007/BF00320072 [doi]'],ppublish,Blut. 1985 Mar;50(3):157-68. doi: 10.1007/BF00320072.,"['0 (Antigens, Surface)', '0 (Glycoproteins)']",,,,,
3872144,NLM,MEDLINE,19850523,20210216,0006-4971 (Print) 0006-4971 (Linking),65,4,1985 Apr,Production of burst-promoting activity by monoclonal antibody defined malignant T lymphocytes from patients with lymphocytic leukemia and lymphoma.,997-1001,"We tested conditioned media from 12 patients with T lymphocyte neoplasms and four T cell lines for their ability to stimulate the in vitro growth of erythroid-burst-forming units (BFU-E) from bone marrow mononuclear cells in a methylcellulose culture system. Nine patients suffered from acute lymphocytic leukemia, two from chronic lymphocytic leukemia, and one from non-Hodgkin's lymphoma. The T lymphocytes were characterized by a series of monoclonal antibodies and their stage of development was correlated with their ability to produce burst-promoting activity (BPA). Conditioned media from cells classified as prothymocytes (three cases), common thymocytes (one case), mature thymocytes (three cases), and mature lymphocytes of the helper subtype (two cases) increased BFU-E proliferation four- to 19-fold over control values using normal bone marrow as target cells. Conditioned media from OKT8+ malignant T lymphocytes (three cases) did not enhance BFU-E proliferation. Conditioned media from cells classified as immature T cells stimulated CFU-GM proliferation in only one of seven cases even though they secreted BPA. Conditioned media from three of the four cell lines stimulated by phytohemagglutinin, enhanced BFU-E growth. Our results indicate that malignant cells that have characteristics of immature T cells are able to produce BPA. Studies using techniques to isolate homogeneous populations of normal T cell subsets are required to determine whether normal immature T lymphocytes have the same capability.","['Froom, P', 'Ramot, B', 'Biniaminov, M', 'Douer, D']","['Froom P', 'Ramot B', 'Biniaminov M', 'Douer D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,IM,"['Antibodies, Monoclonal/*metabolism', '*Erythropoiesis', 'Humans', 'Leukemia, Lymphoid/*physiopathology', 'Lymphoma/*physiopathology', 'T-Lymphocytes/immunology']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",['S0006-4971(20)83609-X [pii]'],ppublish,Blood. 1985 Apr;65(4):997-1001.,"['0 (Antibodies, Monoclonal)']",,,,,
3871991,NLM,MEDLINE,19850329,20061115,0507-3758 (Print) 0507-3758 (Linking),31,1,1985,[Leukemogenesis and bone marrow hematopoietic disorders in baboons with immunoblastic malignant lymphomas of B- and T-cell types].,79-87,"Leukemization in baboon B- and T-cell immunoblastomas was investigated. Immunologic identification of tumor was carried out using standard immunological and cytochemical tests, e. g. identification of several types of E-rosette forming lymphocytes, surface and cytoplasmic immunoglobulin-carrying lymphocytes and assay of such acid hydrolases as acid phosphatase, acid alpha-naphthyl acetate esterase and beta-glucuronidase in lymphoid cells. Leukemization of immunoblastomas with bone marrow infiltration by tumor immunoblasts and the appearance of the latter in peripheral blood were observed rather frequently--in 7 of 10 cases of B-cell and in all 4 cases of T-cell immunoblastoma. Immunoblastoma progression was accompanied by a rise in lymphoid element level in peripheral blood and a lesser increase in bone marrow. At terminal stage, both patterns of immunoblastoma sometimes involved the development of leukemoid reactions of a myeloid type and disturbances in bone marrow hematopoiesis which manifested themselves by mild anemia and a slightly pronounced failure to produce platelets.","['Iakovleva, L A', 'Bukaeva, I A', 'Indzhiia, L V', 'Lapin, B A', 'Kove, E M']","['Iakovleva LA', 'Bukaeva IA', 'Indzhiia LV', 'Lapin BA', 'Kove EM']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Animals', 'B-Lymphocytes', 'Bone Marrow/*physiopathology', 'Female', '*Hematopoiesis', 'Leukemia/pathology/*veterinary', 'Lymphoma, Non-Hodgkin/pathology/physiopathology/*veterinary', 'Male', '*Papio', 'T-Lymphocytes']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1985;31(1):79-87.,,Leikemizatsiia i narusheniia kostnomozgovogo krovetvoreniia u pavianov pri immunoblastnykh zlokachestvennykh limfomakh B- i T-kletochnogo tipa.,,,,
3871961,NLM,MEDLINE,19850325,20190908,0036-553X (Print) 0036-553X (Linking),34,2,1985 Feb,E rosette-positive agar colonies containing the Philadelphia chromosome in chronic myeloid leukaemia.,184-90,"In an attempt to document possible T-cell involvement in chronic myeloid leukaemia, E rosette-positive colonies (ERPC) were grown in agar culture using a T-cell-conditioned medium. Colonies were grown from whole mononuclear cells (WMN), nonadherent E rosette-positive (NAT+) and nonadherent E rosette-negative (NAT-) cells. Cells collected from the colonies after 10 d in culture were 99-100% E rosette-positive. 8 metaphases were obtained from both NAT+ and NAT- ERPCs. In NAT- ERPCs, 5 out of 8 metaphases were positive for the Philadelphia (Ph1) chromosome as compared to 1 Ph1 positive out of 8 metaphases in the NAT+ ERPCs. These results suggest that, at least in this particular patient we studied, a subpopulation of E rosette-positive cells derived from the NAT- cell fraction express the Ph1 chromosome.","['Nogueira-Costa, R', 'Spitzer, G', 'Cork, A', 'Trujillo, J M']","['Nogueira-Costa R', 'Spitzer G', 'Cork A', 'Trujillo JM']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Adult', 'Cell Separation', 'Cells, Cultured', 'Chromosome Aberrations/blood/immunology', 'Chromosome Disorders', '*Chromosomes, Human, 21-22 and Y', 'Culture Media', 'Humans', 'Leukemia, Myeloid/blood/*genetics/immunology', 'Leukocyte Count', 'Male', '*Rosette Formation', 'T-Lymphocytes/classification/*pathology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1111/j.1600-0609.1985.tb02254.x [doi]'],ppublish,Scand J Haematol. 1985 Feb;34(2):184-90. doi: 10.1111/j.1600-0609.1985.tb02254.x.,['0 (Culture Media)'],,"['CA 1536/CA/NCI NIH HHS/United States', 'CA 23077/CA/NCI NIH HHS/United States', 'CA 28153/CA/NCI NIH HHS/United States']",,,
3871947,NLM,MEDLINE,19850405,20190501,0027-8424 (Print) 0027-8424 (Linking),82,4,1985 Feb,Human leukemia cell maturation induced by a T-cell lymphokine isolated from medium conditioned by normal lymphocytes.,1209-13,"Human myelogeneous leukemia cells in liquid culture can be induced to mature along the monocyte/macrophage pathway by a maturation inducer derived from the conditioned medium of activated human T lymphocytes. Serum-free conditioned medium was used for the isolation of the T-cell lymphokine. The maturation inducer was purified approximately equal to 6000-fold by ammonium sulfate precipitation, low-salt elution from DEAE-Sepharose CL-6B, gel filtration on Bio-Gel A-0.5m, and NaDodSO4/PAGE under nonreducing conditions. The molecular weight of the maturation inducer was 36,000-58,000 on NaDodSO4/PAGE. Terminal differentiation associated with inhibition of leukemia cell proliferation and expression of mature cell properties was observed with the isolated maturation inducer, identical to the activity observed with the unfractionated conditioned medium. Cell-cycle analysis revealed that the proportion of replicating S-phase cells was reduced from 40% to 7% after initial interaction of the maturation inducer with cells. The differentiating cells simultaneously acquired monocyte antigen, membrane complement receptors, phagocytic function, and monocyte/macrophage morphology. The maturation-inducing activity is dose-dependent, with more inducer causing the development of more mature cells in a shorter time period. The maturation inducer was shown to be stable after pH 2 treatment, independent of interleukin 2 and colony-stimulating factor, devoid of alpha-, beta-, and gamma-interferon, and not affected by antibody to interferon. The maturation inducer may play a role as a physiological regulator of monocytic and leukemia cell development.","['Leung, K', 'Chiao, J W']","['Leung K', 'Chiao JW']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Cell Cycle/drug effects', 'Cell Differentiation/drug effects', 'Cell Line', 'Humans', 'Leukemia, Myeloid/etiology/*pathology', 'Lymphocyte Activation', 'Lymphokines/isolation & purification/*pharmacology', 'T-Lymphocytes/*immunology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1073/pnas.82.4.1209 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1985 Feb;82(4):1209-13. doi: 10.1073/pnas.82.4.1209.,['0 (Lymphokines)'],,"['CA25910/CA/NCI NIH HHS/United States', 'CA35999/CA/NCI NIH HHS/United States', 'CA36040/CA/NCI NIH HHS/United States']",PMC397224,,
3871945,NLM,MEDLINE,19850327,20190501,0027-8424 (Print) 0027-8424 (Linking),82,3,1985 Feb,Identification of an additional class of C3-binding membrane proteins of human peripheral blood leukocytes and cell lines.,859-63,"Proteins binding the third component of complement (C3) were isolated by affinity chromatography from surface-labeled solubilized membranes of human peripheral blood cells and cell lines. The isolated molecules were subjected to NaDodSO4/PAGE, and autoradiographs of these gels indicated that C3-binding proteins could be divided into three groups based on Mr: (i) gp200, an approximately 200,000 Mr molecule previously identified as the C3b/C4b receptor or CR1; (ii) gp140, an approximately 140,000 Mr molecule previously identified as the C3d receptor or CR2; and (iii) gp45-70, a heretofore unrecognized group of 45,000-70,000 Mr C3-binding molecules. The cell distribution, Mr, antigenic cross-reactivity, and specificity of gp45-70 were examined. Erythrocytes have no detectable gp45-70, but all leukocyte populations examined possess this group of molecules. On neutrophils and mononuclear phagocytes, CR1 is the predominant C3-binding glycoprotein, but gp45-70 is present on both cell populations and on macrophage and neutrophil cell lines. B plus null cells, chronic lymphocytic leukemia cells, and an Epstein-Barr virus-transformed B-cell line possess CR1, CR2, and gp45-70. On T cells and T-cell lines gp45-70 is the predominant or, in some cases, the only C3-binding protein isolated. gp45-70 is structurally characterized as a broad band or doublet with a mean Mr that is slightly different for each cell population. gp45-70 binds iC3, C3b, and C4b, but not C3d, indicating that the binding region is probably within the C3c portion of C3b. A polyclonal antibody to CR1 and monoclonal antibodies to CR1 and CR2 do not immunoprecipitate gp45-70. While gp45-70 has not been previously characterized on human cells, a C3b-binding glycoprotein of similar Mr is present on rabbit alveolar macrophages. We conclude that gp45-70 is an additional group of membrane proteins present on human leukocytes that possess ligand-binding activity for C3b.","['Cole, J L', 'Housley, G A Jr', 'Dykman, T R', 'MacDermott, R P', 'Atkinson, J P']","['Cole JL', 'Housley GA Jr', 'Dykman TR', 'MacDermott RP', 'Atkinson JP']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['B-Lymphocytes/analysis', 'Carrier Proteins/*analysis', 'Cell Line', 'Chromatography, Affinity', '*Complement C3', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia, Lymphoid/blood', 'Leukocytes/*analysis', 'Membrane Proteins/*analysis', 'Molecular Weight', 'Monocytes/analysis', 'T-Lymphocytes/analysis']",1985/02/01 00:00,2001/03/28 10:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1073/pnas.82.3.859 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1985 Feb;82(3):859-63. doi: 10.1073/pnas.82.3.859.,"['0 (Carrier Proteins)', '0 (Complement C3)', '0 (Membrane Proteins)']",,"['1-P50-AI15322/AI/NIAID NIH HHS/United States', '2-T32-AM-07279/AM/NIADDK NIH HHS/United States', 'AM07279-06/AM/NIADDK NIH HHS/United States']",PMC397146,,
3871834,NLM,MEDLINE,19850325,20201219,0022-1007 (Print) 0022-1007 (Linking),161,2,1985 Feb 1,Effect of in vivo administration of Lyt antibodies. Lyt phenotype of T cells in lymphoid tissues and blocking of tumor rejection.,345-55,"After transplantation of B6RV2 leukemia, initial tumor growth was followed by tumor regression in B6 (CB6F1) female, but not male, mice. This indicated that H-Y antigen is involved in B6RV2 rejection by syngeneic female recipient mice. In the case of another leukemia, BALB.RL male 1, and Ir gene, probably identical to the Rgv-1 gene, is responsible for RL male 1 rejection. Thus, F1 hybrids of BALB/c with certain other strains of mice can reject RL male 1. Using these two different systems of tumor rejection, we investigated the effects of in vivo administration of Lyt and Thy-1 monoclonal antibodies (mAb). Results showed that Lyt-2 and -3 mAb blocked both B6RV2 rejection by B6 female mice and BALB.RL male 1 rejection by CB6F1 mice. The specificity of blocking was confirmed by use of Lyt-2 and -3 mAb to reciprocal alleles and mice from B6 Lyt-congeneic stocks. No blocking was observed with Lyt-1 and Thy-1 mAb. The Lyt phenotype of T cells in lymphoid tissues from mice treated with mAb was then studied. Blocking of the Lyt-2+3+ population was observed in the lymph node and spleen, but not in the thymus. These results indicate the involvement of Lyt-2+3+ cells (or Lyt-2,3 antigen) in tumor rejection. The precise mechanism of blocking is unknown, but it was observed after even a single injection of Lyt-2,3 mAb on day 9 after tumor transplantation, suggesting that effector cells were functionally blocked, rather than that the generation of these cells was inhibited.","['Nakayama, E', 'Uenaka, A']","['Nakayama E', 'Uenaka A']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Antibodies, Monoclonal/administration & dosage/physiology', 'Antibody-Dependent Cell Cytotoxicity', 'Antigens, Ly/*genetics', 'Antilymphocyte Serum/administration & dosage/physiology', 'Binding, Competitive', 'Female', '*Graft Rejection', 'Isoantibodies/*administration & dosage/physiology', 'Leukemia, Experimental/*immunology', 'Lymph Nodes/cytology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Phenotype', 'Spleen/cytology', 'T-Lymphocytes/*classification']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1084/jem.161.2.345 [doi]'],ppublish,J Exp Med. 1985 Feb 1;161(2):345-55. doi: 10.1084/jem.161.2.345.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Ly)', '0 (Antilymphocyte Serum)', '0 (Isoantibodies)', '0 (Lyt antibodies)']",,,PMC2187571,,
3871817,NLM,MEDLINE,19850423,20071114,0022-1767 (Print) 0022-1767 (Linking),134,4,1985 Apr,Phorbol esters specifically inhibit induction of immunoglobulin secretion in a murine B cell leukemia.,2759-66,"We have examined the effect of tumor-promoting phorbol esters such as phorbol myristate acetate (PMA) on the murine B cell leukemia BCL-1 and its in vitro adapted derivative CW.13.20. Phorbol esters, including PMA and phorbol dibutyrate (PDBu), were potent inhibitors of BCL-1 IgM secretion induced by either LPS or lymphokines; half-maximal inhibition was obtained with 0.1 nM PMA and 0.8 nm PDBu. The inhibitory action of PDBu on BCL-1 cells was reversible for over 1 hr, but after 5 hr 70% of the inhibition was irreversible. Irreversible inhibition could be blocked by cycloheximide, suggesting a requirement for protein synthesis. The specificity of PDBu inhibition was examined by comparing the patterns of protein synthesis in PDBu-treated and control BCL-1 cells. Total incorporation of [35S]methionine into protein by BCL-1 cells cultured in the presence of PDBu was similar to that of untreated cells. Analysis of radiolabeled proteins by SDS-PAGE and autoradiography revealed no consistent changes in the pattern of protein synthesis except at those positions corresponding to the heavy and light chains of IgM. Immunoprecipitation with an affinity-purified anti-IgM indicated that PDBu inhibited the increased synthesis of heavy and light chain that follows stimulation by lymphokine but did not diminish control IgM synthesis. Induced IgM secretion from CW.13.20 cells was also inhibited by phorbol esters, indicating a direct action on B cells. Delaying the addition of phorbol ester relative to lymphokine or LPS by 24 hr significantly reduced inhibition of induced IgM secretion from both BCL-1 and CW.13.20 cells. This suggests that phorbol esters specifically interfere with the signal for induction of IgM secretion by both lymphokine and LPS.","['Simpson, L G', 'Isakson, P C']","['Simpson LG', 'Isakson PC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'B-Lymphocytes/*metabolism', 'Cell Line', 'Female', 'Immunoglobulin M/*biosynthesis', 'Immunosuppressive Agents/*pharmacology', 'Leukemia, Experimental/*immunology/metabolism', 'Lymphocyte Activation/drug effects', 'Mice', 'Mice, Inbred BALB C', 'Neoplasm Proteins/biosynthesis', 'Phorbol Esters/*pharmacology', 'Phorbols/*pharmacology', 'Structure-Activity Relationship', 'Time Factors']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",,ppublish,J Immunol. 1985 Apr;134(4):2759-66.,"['0 (Immunoglobulin M)', '0 (Immunosuppressive Agents)', '0 (Neoplasm Proteins)', '0 (Phorbol Esters)', '0 (Phorbols)']",,['AI-19914/AI/NIAID NIH HHS/United States'],,,
