PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,PMC,EIN,OID,SI,AD,OAB,OABL,OTO,OT,GN
3746824,NLM,MEDLINE,19861022,20190709,0022-2623 (Print) 0022-2623 (Linking),29,9,1986 Sep,Amino-substituted p-benzoquinones.,1792-5,"Based on the observation of outstanding antineoplastic activity of a number of amino-substituted anthraquinones, thioxanthones, and N-(aminoethyl)-substituted naphthalimides, four types of amino-substituted p-benzoquinones were designed, synthesized, and their biological activity evaluated. Although none of these compounds exhibited inhibitory activity against P388 leukemia, 2,5-bis[[4-[(dimethylamino)methyl]phenyl]amino]-3,6-dibromo-1,4- benzoquinone and the corresponding dichloro compound demonstrated good inhibitory activity against the proliferating human colon adenocarcinoma in vitro. The dichloro compound was also found to be active against the leukemia L1210 screening in vitro. 2,5-Bis[[2-(dimethylamino)ethyl]amino]-1,4-benzoquinone possessed inhibitory activity against Neisseria catarrhali.","['Mathew, A E', 'Zee-Cheng, R K', 'Cheng, C C']","['Mathew AE', 'Zee-Cheng RK', 'Cheng CC']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Benzoquinones)', '0 (Quinones)', '3T006GV98U (quinone)']",IM,"['Adenocarcinoma/drug therapy', 'Animals', '*Benzoquinones', 'Chemical Phenomena', 'Chemistry', 'Colonic Neoplasms/drug therapy', 'Drug Evaluation, Preclinical', 'Humans', 'Leukemia P388/drug therapy', 'Neisseria/drug effects', 'Neoplasms/*drug therapy', 'Quinones/*therapeutic use']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1021/jm00159a041 [doi]'],ppublish,J Med Chem. 1986 Sep;29(9):1792-5. doi: 10.1021/jm00159a041.,,,,,,,,,,,,
3746822,NLM,MEDLINE,19861022,20190709,0022-2623 (Print) 0022-2623 (Linking),29,9,1986 Sep,Synthesis and evaluation of 1-(arylsulfonyl)-2-[(methoxycarbonyl)sulfenyl]-1-methylhydrazines++ + as antineoplastic agents.,1777-9,"1-(Arylsulfonyl)-2-[(methoxycarbonyl)sulfenyl]-1-methylhydrazines, with the potential to function as biological methylating agents, were synthesized and evaluated as antineoplastic agents against the L1210 leukemia and the B16 melanoma in mice. All of the compounds of this class had significant activity against the B16 melanoma, with the most active compound, 2-[(methoxycarbonyl)sulfenyl]-1-methyl-1-[(4- methylphenyl)sulfonyl]hydrazine, producing percent T/C values for B16 melanoma tumor bearing mice of between 182 and 232 at dosage levels of from 12.5 to 50 mg/kg daily for 6 consecutive days. In contrast to the related class of agents, the N,N'-bis(sulfonyl)hydrazines reported earlier by this laboratory,1 the 1-(arylsulfonyl)-2-[(methoxycarbonyl)sulfenyl]-1-methylhydrazines were found to be inactive against the L1210 leukemia in vivo.","['Hrubiec, R T', 'Shyam, K', 'Cosby, L A', 'Sartorelli, A C']","['Hrubiec RT', 'Shyam K', 'Cosby LA', 'Sartorelli AC']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,['0 (Methylhydrazines)'],IM,"['Animals', 'Chemical Phenomena', 'Chemistry', 'Drug Evaluation', 'Leukemia L1210/drug therapy', 'Melanoma/drug therapy', 'Methylhydrazines/chemical synthesis/*therapeutic use', 'Mice', 'Mice, Inbred C57BL', 'Neoplasms, Experimental/*drug therapy', 'Structure-Activity Relationship']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1021/jm00159a036 [doi]'],ppublish,J Med Chem. 1986 Sep;29(9):1777-9. doi: 10.1021/jm00159a036.,['CA-02817/CA/NCI NIH HHS/United States'],,,,,,,,,,,
3746821,NLM,MEDLINE,19861022,20190709,0022-2623 (Print) 0022-2623 (Linking),29,9,1986 Sep,Queuine analogues. Their synthesis and inhibition of growth of mouse L5178Y cells in vitro.,1749-53,"A variety of analogues of queuine (7-[(3S,4R,5S)-4,5-dihydroxycyclopent-1-en-3-ylaminomethyl]- 7 -deazaguanine), i.e., those with 7-N-substituted aminomethyl side chains and those in which the oxygen function at the 6 position of the 7-deazaguanine ring was replaced by sulfur, were synthesized and tested for ability to act as substrates for tRNA-guanine transglycosylase and for inhibitory effects on growth of mouse L5178Y leukemic cells in vitro. Of the compounds tested, analogues with sulfur at the 6 position of the 7-deazaguanine ring in place of oxygen or with an N-o-hydroxyphenyl, N-m-hydroxyphenyl, or iodoacetyl group in the 7-aminomethyl side chain in place of the naturally occurring cyclopentene diol moiety markedly inhibited the growth of cells at concentrations of 1-10 micrograms/mL, although queuine itself had practically no effect at a concentration of 100 micrograms/mL.","['Akimoto, H', 'Nomura, H', 'Yoshida, M', 'Shindo-Okada, N', 'Hoshi, A', 'Nishimura, S']","['Akimoto H', 'Nomura H', 'Yoshida M', 'Shindo-Okada N', 'Hoshi A', 'Nishimura S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['5Z93L87A1R (Guanine)', '70FD1KFU70 (Sulfur)', '72496-59-4 (queuine)', '9014-25-9 (RNA, Transfer)', 'EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.29 (queuine tRNA-ribosyltransferase)']",IM,"['Animals', 'Cell Division/drug effects', 'Chemical Phenomena', 'Chemistry', 'Guanine/*analogs & derivatives/chemical synthesis/metabolism/therapeutic use', 'Leukemia L5178/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Pentosyltransferases/metabolism', 'RNA, Transfer/metabolism', 'Structure-Activity Relationship', 'Sulfur']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1021/jm00159a031 [doi]'],ppublish,J Med Chem. 1986 Sep;29(9):1749-53. doi: 10.1021/jm00159a031.,,,,,,,,,,,,
3746819,NLM,MEDLINE,19861022,20190709,0022-2623 (Print) 0022-2623 (Linking),29,9,1986 Sep,Synthesis of 11H-pyridocarbazoles and derivatives. Comparison of their DNA binding and antitumor activity with those of 6H- and 7H-pyridocarbazoles.,1731-7,"The 8-methoxy- and 8-hydroxy-11H-pyrido[2,3-a]-, -[3,4-a]-, -[4,3-a]-, and [3,2-a]carbazoles were synthesized as potential DNA intercalating antitumor drugs. The structure of these compounds was confirmed by 1H NMR study including NOE experiments. The DNA binding properties of substituted and unsubstituted (8-H) heterocycles were determined by using their hydrochlorides or methiodides. These derivatives are able to bind to DNA with an affinity varying from 2.0 X 10(4) to 1.0 X 10(6) M-1, but most of them are unable to intercalate in contrast with the behavior of 6H- and 7H-pyridocarbazole analogues. The cytotoxicity of 11H-pyridocarbazoles, measured on L1210 cells in vitro, is much lower than those of 6H- and 7H-pyridocarbazole analogues.","['Lescot, E', 'Muzard, G', 'Markovits, J', 'Belleney, J', 'Roques, B P', 'Le Pecq, J B']","['Lescot E', 'Muzard G', 'Markovits J', 'Belleney J', 'Roques BP', 'Le Pecq JB']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Alkaloids)', '0 (Antineoplastic Agents)', '0 (Ellipticines)', '0 (Intercalating Agents)', '9007-49-2 (DNA)']",IM,"['Alkaloids/*therapeutic use', 'Animals', 'Antineoplastic Agents/*therapeutic use', 'Cattle', 'Chemical Phenomena', 'Chemistry', 'DNA/*metabolism', 'Ellipticines/chemical synthesis/metabolism/*therapeutic use', 'Intercalating Agents', 'Leukemia L1210/drug therapy', 'Magnetic Resonance Spectroscopy']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1021/jm00159a028 [doi]'],ppublish,J Med Chem. 1986 Sep;29(9):1731-7. doi: 10.1021/jm00159a028.,,,,,,,,,,,,
3746378,NLM,MEDLINE,19861006,20170210,0732-183X (Print) 0732-183X (Linking),4,9,1986 Sep,Evaluating new drugs: a three-step approach.,1418-9,,"['Arlin, Z A']",['Arlin ZA'],['eng'],['Letter'],United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,IM,"['Acute Disease', 'Drug Evaluation/methods', 'Humans', 'Leukemia/*drug therapy']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1200/JCO.1986.4.9.1418 [doi]'],ppublish,J Clin Oncol. 1986 Sep;4(9):1418-9. doi: 10.1200/JCO.1986.4.9.1418.,,,,,,,,,,,,
3746258,NLM,MEDLINE,19861022,20131121,0022-1317 (Print) 0022-1317 (Linking),67 ( Pt 9),,1986 Sep,Suppression of Friend virus-induced leukaemia in mice by tuftsin.,2001-4,A significant decrease in mortality was observed when 25 micrograms of the tetrapeptide tuftsin was given to DBA/2J mice 5 days before infection with Friend leukaemia virus (FLV). The same effect was observed when tuftsin was given 5 days before and twice a week for 3 weeks after FLV infection. No effect was observed when the same amount of tuftsin was given 1 day before infection. A 5 micrograms dose of tuftsin given 5 days before and twice-weekly for 3 weeks had no effect on leukaemia induced by FLV infection. These findings showed that time and dosage were critical to the protective effect of tuftsin against virus-induced leukaemia.,"['Wleklik, M', 'Levy, S B', 'Luczak, M', 'Najjar, V A']","['Wleklik M', 'Levy SB', 'Luczak M', 'Najjar VA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,J Gen Virol,The Journal of general virology,0077340,['QF5336J16C (Tuftsin)'],IM,"['Animals', 'Friend murine leukemia virus', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Mice, Inbred DBA', 'Tuftsin/*therapeutic use']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1099/0022-1317-67-9-2001 [doi]'],ppublish,J Gen Virol. 1986 Sep;67 ( Pt 9):2001-4. doi: 10.1099/0022-1317-67-9-2001.,['AI09116/AI/NIAID NIH HHS/United States'],,,,,,,,,,,
3746073,NLM,MEDLINE,19860929,20190723,0021-5384 (Print) 0021-5384 (Linking),75,3,1986 Mar,"[A case of alveolar type adult rhabdomyosarcoma associated with acute leukemia-like clinical manifestation and metastasis of mamma, bone marrow, inguinal lymph node, and perianal and intrapelvic regions].",437-43,,"['Murakami, T', 'Nakamura, T', 'Yatomi, Y', 'Yamamoto, R', 'Terano, A', 'Saitoh, Y', 'Sugimoto, T']","['Murakami T', 'Nakamura T', 'Yatomi Y', 'Yamamoto R', 'Terano A', 'Saitoh Y', 'Sugimoto T']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,,IM,"['Acute Disease', 'Adolescent', 'Anus Neoplasms/secondary', 'Bone Neoplasms/*secondary', 'Breast Neoplasms/*secondary', 'Female', 'Humans', 'Leukemia/drug therapy', 'Lymphatic Metastasis', 'Pelvic Neoplasms/*secondary', 'Prognosis', 'Rhabdomyosarcoma/*secondary', 'Soft Tissue Neoplasms/*pathology']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",['10.2169/naika.75.437 [doi]'],ppublish,Nihon Naika Gakkai Zasshi. 1986 Mar;75(3):437-43. doi: 10.2169/naika.75.437.,,,,,,,,,,,,
3745905,NLM,MEDLINE,19861023,20170214,0022-1554 (Print) 0022-1554 (Linking),34,10,1986 Oct,Measurement of DNA content in single cells morphologically identified on smears.,1253-5,"A method was developed for measuring the nuclear DNA content in single cells previously identified on a bone marrow smear stained by the Wright-Giemsa method. The smear was first photographed and the location of individual cells, identified by morphology, was recorded on a cell map. The smear was then bleached with 50% acid ethanol and absolute methanol, and re-stained by the Feulgen method in 0.05% pararosaniline Schiff's reagent (pH 2.3) at 7 degrees C for 10 min. Nuclear red fluorescence was observed and the intensity of this fluorescence was proportional to the amount of DNA after prior irradiation of smears with green light for 9 hr. The method is useful for measuring cell DNA content in heterogeneous cell populations when morphological cell identification is required.","['Maruo, N', 'Nakabo, T', 'Kondo, M']","['Maruo N', 'Nakabo T', 'Kondo M']",['eng'],['Journal Article'],United States,J Histochem Cytochem,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,9815334,"['0 (DNA, Neoplasm)']",IM,"['Bone Marrow/analysis', 'DNA, Neoplasm/*analysis', 'Dose-Response Relationship, Radiation', 'Histocytochemistry/methods', 'Humans', 'Leukemia/*pathology', 'Spectrometry, Fluorescence']",1986/10/01 00:00,1986/10/01 00:01,['1986/10/01 00:00'],"['1986/10/01 00:00 [pubmed]', '1986/10/01 00:01 [medline]', '1986/10/01 00:00 [entrez]']",['10.1177/34.10.3745905 [doi]'],ppublish,J Histochem Cytochem. 1986 Oct;34(10):1253-5. doi: 10.1177/34.10.3745905.,,,,,,,,,,,,
3745637,NLM,MEDLINE,19861023,20080213,0002-3329 (Print) 0002-3329 (Linking),,4,1986 Jul-Aug,[Pathogenesis of Rauscher leukemia in aggregation chimeras of the BALB/C----C57BL/6 mouse].,561-70,,"['Fedorov, L M', 'Klepikov, N N', 'Koniukhov, B V']","['Fedorov LM', 'Klepikov NN', 'Koniukhov BV']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Izv Akad Nauk SSSR Biol,Izvestiia Akademii nauk SSSR. Seriia biologicheskaia,7505543,,IM,"['Animals', 'Cell Aggregation', '*Chimera', 'Disease Models, Animal', 'Disease Susceptibility', 'Genotype', 'Leukemia, Experimental/blood/*etiology/genetics', 'Mice', 'Mice, Inbred BALB C/*genetics', 'Mice, Inbred C57BL/*genetics', 'Mosaicism', 'Rauscher Virus']",1986/07/01 00:00,1986/07/01 00:01,['1986/07/01 00:00'],"['1986/07/01 00:00 [pubmed]', '1986/07/01 00:01 [medline]', '1986/07/01 00:00 [entrez]']",,ppublish,Izv Akad Nauk SSSR Biol. 1986 Jul-Aug;(4):561-70.,,Izuchenie patogeneza leikoza Raushera u agregatsionnykh khimer myshi BALB/C----C57BL/6.,,,,,,,,,,
3745269,NLM,MEDLINE,19861015,20191210,0021-9525 (Print) 0021-9525 (Linking),103,3,1986 Sep,Immortalization of human lymphocytes by fusion with cytoplasts of transformed mouse L cells.,795-805,"Fusion of mouse L929 cytoplasts with human peripheral blood lymphocytes induced lymphocyte proliferation that gave rise to lymphoid cell lines of B and T cell origin with unlimited growth potential. The immortalized cell lines were routinely grown in standard medium supplemented with fetal calf serum. Furthermore these cell lines could be propagated in chemically defined serum-free media. Each establishment of lymphoid cell lines was preceded by a proliferation phase 2 wk after cytoplast/cell fusion, which appears to be a necessary step in the immortalization process. The immortalized cells have a nearly normal human karyotype, do not form colonies in soft agar medium, and are not tumorigenic in nude mice. Cloned B cell lines produced human immunoglobulins of heavy and light chain types. No cross-reaction with DNA of herpes simplex virus, human cytomegalovirus, human T cell leukemia/lymphoma virus I and II, or polyoma virus was detected in the genome of immortalized cell lines by Southern blot hybridization. Furthermore B and T cell lines were established that appear to be free of Epstein-Barr virus genome.","['Abken, H', 'Jungfer, H', 'Albert, W H', 'Willecke, K']","['Abken H', 'Jungfer H', 'Albert WH', 'Willecke K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Cell Biol,The Journal of cell biology,0375356,"['0 (DNA, Viral)', '0 (Immunoglobulins)']",IM,"['Animals', 'Cell Fusion', 'Cell Survival', 'Cytoplasm/physiology', 'DNA, Viral/analysis', 'Humans', 'Hybrid Cells/immunology/*physiology/transplantation', 'Immunoglobulins/biosynthesis', 'L Cells/*physiology', 'Lymphocytes/*physiology', 'Mice', 'Mice, Nude', 'Neoplasms, Experimental']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1083/jcb.103.3.795 [doi]'],ppublish,J Cell Biol. 1986 Sep;103(3):795-805. doi: 10.1083/jcb.103.3.795.,,,PMC2114311,,,,,,,,,
