PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,LID,AD,PMC,SI,EIN,RF,PS,FPS,CIN
3590287,NLM,MEDLINE,19870630,20190727,0041-1132 (Print) 0041-1132 (Linking),27,3,1987 May-Jun,Intravenous immune globulin for patients alloimmunized to random donor platelet transfusion.,245-7,"Immune globulin, prepared as a chemically and enzymatically unmodified solution in 10 percent maltose at pH 4.25, was administered intravenously, at a dose of 0.4 g per kg per day for five consecutive days, to seven alloimmunized patients who had acute nonlymphocytic leukemia. All patients had an approximately threefold rise in IgG level. Five patients showed no change in lymphocytotoxic antibody (LCTAb) activity and no response to random donor platelets that were administered after the immune globulin. The activity of LCTAb either disappeared or diminished after immune globulin infusion in two patients, and they had borderline acceptable corrected count increments 1 hour after transfusion of pooled random-donor platelet transfusions. Because of the diminished LCTAb activity, the improvements in response to pooled random-donor platelet transfusions cannot be ascribed to the administration of immune globulin. High-dose intravenous immune globulin has not been shown to be effective in reversing the effects of alloimmunization.","['Lee, E J', 'Norris, D', 'Schiffer, C A']","['Lee EJ', 'Norris D', 'Schiffer CA']",['eng'],['1P50CA32107/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transfusion,Transfusion,0417360,"['0 (Immunoglobulin G)', '0 (Isoantibodies)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Blood Platelets/immunology', '*Blood Transfusion', 'Female', 'Humans', '*Immunization, Passive', 'Immunoglobulin G/administration & dosage/isolation & purification', 'Injections, Intravenous', 'Isoantibodies/*immunology', 'Leukemia/therapy', 'Male', 'Middle Aged', '*Platelet Transfusion', 'Random Allocation', 'Transfusion Reaction']",1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",['10.1046/j.1537-2995.1987.27387235630.x [doi]'],ppublish,Transfusion. 1987 May-Jun;27(3):245-7. doi: 10.1046/j.1537-2995.1987.27387235630.x.,,,,,,,,,,
3590274,NLM,MEDLINE,19870701,20061115,0165-6090 (Print) 0165-6090 (Linking),9,3,1987,Autocrine growth stimulation of thymocyte precursors in the thymus.,141-8,"A thymocyte specific growth peptide (TGP) has previously been purified from bovine thymus. In the present study TGP activity is demonstrated in the conditioned medium from a murine thymic leukemia cell line with prothymocyte phenotype, but is absent from media of cultured thymic epithelium. This murine TGP shows specificity for immature thymocytes and growth-stimulating kinetics identical to bovine TGP. Murine and bovine TGP show different chromatographic behaviour which may indicate biochemical differences. The results suggest that the immature thymocyte population includes both TGP-producing and TGP-responding cells. Our finding of TGP activity in fresh homogenates of normal mouse thymocytes supports this interpretation. We propose that TGP acts as an autocrine growth factor for rapidly cycling immature cortical thymocytes.","['Ernstrom, U', 'Soder, O', 'Schmidt, W']","['Ernstrom U', 'Soder O', 'Schmidt W']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Thymus,Thymus,8009032,['0 (Growth Substances)'],IM,"['Animals', 'Cell Differentiation', 'Epithelium/physiology', 'Growth Substances/isolation & purification/*physiology', 'Guinea Pigs', 'Humans', 'Lymph Nodes/cytology', 'Lymphocytes/*cytology', 'Mice', 'Thymus Gland/cytology/*growth & development', 'Time Factors']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Thymus. 1987;9(3):141-8.,,,,,,,,,,
3590206,NLM,MEDLINE,19870716,20170214,0748-2337 (Print) 0748-2337 (Linking),3,1,1987 Mar,Chemical of current interest--benzene.,205-66,"Benzene is one of the world's major commodity chemicals. It is derived from petroleum and coal and is used both as a solvent and as a starting material in chemical syntheses. The numerous industrial uses of benzene over the last century need not be recounted here, but the most recent addition to the list of uses of benzene is as a component in a mixture of aromatic compounds added to gasoline for the purpose of replacing lead compounds as anti-knock ingredients. The best known and longest recognized toxic effect of benzene is the depression of bone marrow function seen in occupationally exposed individuals. These people have been found to display anemia, leucopenia, and/or thrombocytopenia. When pancytopenia, i.e., the simultaneous depression of all three cell types, occurs and is accompanied by bone marrow necrosis, the syndrome is called aplastic anemia. In addition to observing this decrease in humans and relating it to benzene exposure, it has been possible to establish animal models which mimic the human disease. The result has been considerable scientific investigation into the mechanism of benzene toxicity. Although the association between benzene exposure and aplastic anemia has been recognized and accepted throughout most of this century, it is only recently that leukemia, particularly of the acute myelogenous type, has been related to benzene. The acceptance of benzene as an etiological agent in aplastic anemia in large measure derives from our ability to reproduce the disease in most animals treated with sufficiently high doses of benzene over the necessary time period. Unfortunately, despite extensive efforts in several laboratories, it has not been possible to establish a reproducible, reliable model for the study of benzene-induced leukemia. The recent demonstration that several animals exposed to benzene either by inhalation or in the drinking water during studies by Drs. B. Goldstein and C. Maltoni suggests that such a model may be forthcoming. Nevertheless, at this time it is not clear whether bone marrow damage of the type that leads to aplastic anemia is required for the development of leukemia. Most studies of benzene toxicity have involved dosing animals with benzene either by inhalation or by injection, using high doses to ensure a toxic response. Very few studies have concentrated on the oral route of administration and none have concentrated on administering benzene by mouth at the low doses occasionally detected in drinking water.(ABSTRACT TRUNCATED AT 400 WORDS)","['Marcus, W L']",['Marcus WL'],['eng'],,['Journal Article'],England,Toxicol Ind Health,Toxicology and industrial health,8602702,"['0 (Air Pollutants, Occupational)', '0 (Carcinogens)', 'J64922108F (Benzene)']",IM,"['Air Pollutants, Occupational/analysis', 'Animals', 'Benzene/metabolism/poisoning/*toxicity', 'Bone Marrow/drug effects/pathology', 'Carcinogens', 'Food Contamination', 'Humans', 'United States']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",['10.1177/074823378700300108 [doi]'],ppublish,Toxicol Ind Health. 1987 Mar;3(1):205-66. doi: 10.1177/074823378700300108.,,,,,,,,,,
3590139,NLM,MEDLINE,19870714,20080324,0376-7442 (Print) 0376-7442 (Linking),55,2,1987 Apr,[Acute leukemia in Fanconi's anemia. Report of a patient and review of the literature].,68-72,"A case is reported of a 7 years old boy with Fanconi's Anemia (FA). The aplastic anemia has been treated with androgens. Six years after the confirmation of the diagnosis FA a (pre-)leukemia occurred. Because of the known complications of cytostatics in FA and the bad prognosis, the leukemia has not been treated. The boy died 4 months later. An overview of the literature shows 31 patients with acute non-lymphocytic leukemia in FA, of which the clinical course, chromosomal investigations and therapy are discussed.","['van Gils, J E', 'Mandel, C', 'van Weel-Sipman, M H', 'de Koning, J', ""van 't Veer-Korthof, E T""]","['van Gils JE', 'Mandel C', 'van Weel-Sipman MH', 'de Koning J', ""van 't Veer-Korthof ET""]",['dut'],,"['Case Reports', 'English Abstract', 'Journal Article']",Netherlands,Tijdschr Kindergeneeskd,Tijdschrift voor kindergeneeskunde,7704039,,IM,"['Acute Disease', 'Anemia, Aplastic/*complications', 'Blood Cells/analysis', 'Bone Marrow/analysis', 'Child', 'Fanconi Anemia/blood/*complications', 'Humans', 'Male', 'Preleukemia/blood/*complications']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']",,ppublish,Tijdschr Kindergeneeskd. 1987 Apr;55(2):68-72.,Acute leukemie bij Fanconi anemie. Beschrijving van een patient en overzicht van de literatuur.,,,,,,,,,
3590114,NLM,MEDLINE,19870626,20190727,0049-3848 (Print) 0049-3848 (Linking),46,1,1987 Apr 1,"Murine tumor-induced platelet aggregation and coagulation: mechanisms, inhibitors, and species differences.",65-76,"This study examined the platelet-aggregating and procoagulant activities of two hematogenously disseminating tumors, a mouse lymphoblastic leukemia (L5178Y) and a mouse renal adenocarcinoma (RAG). Tumor-induced human platelet aggregation was inhibited by addition of the following agents to platelet-rich plasma (PRP): a calcium channel blocker (verapamil), a chelator of divalent cations (EDTA), stimulators of adenylate cyclase (2-fluoroadenosine and forskolin), and inhibitors of cAMP phosphodiesterase (oxagrelate and papaverine). The platelet-aggregating activities of both cell lines were completely blocked by treatment of the cells with heat, sonication, phospholipase A2, and Triton X-100. These data suggest that L5178Y and RAG cell-induced human platelet aggregation are dependent on a heat-labile phospholipid component of the tumor cell membrane. L5178Y cells had greater platelet-aggregating activity in human plasma than in rat or mouse plasma, whereas RAG cells had greater procoagulant activity in rat or mouse plasma than in human plasma. The procoagulant activity of RAG cells in rat and mouse plasma was demonstrated by three lines of evidence: RAG cells induced heparinized PRP to clot; the thrombin inhibitor DAPA lengthened of the clotting time and the lag time before aggregation; and RAG cells shortened of the recalcification time of the plasma. The above data indicate that RAG cell-induced murine platelet aggregation and coagulation is dependent on thrombin generation.","['Panton, R W', 'Agarwal, K C', 'Robison, B S', 'Parks, R E Jr']","['Panton RW', 'Agarwal KC', 'Robison BS', 'Parks RE Jr']",['eng'],"['CA 07340/CA/NCI NIH HHS/United States', 'CA 13943/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Thromb Res,Thrombosis research,0326377,,IM,"['Adenocarcinoma/physiopathology', 'Animals', 'Blood Coagulation', 'Cells, Cultured', 'Humans', 'Kidney Neoplasms/physiopathology', 'Leukemia L5178/physiopathology', 'Mice', 'Neoplasms, Experimental/*physiopathology', '*Platelet Aggregation/drug effects', 'Rats', 'Species Specificity']",1987/04/01 00:00,2001/03/28 10:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1987/04/01 00:00 [entrez]']","['0049-3848(87)90207-6 [pii]', '10.1016/0049-3848(87)90207-6 [doi]']",ppublish,Thromb Res. 1987 Apr 1;46(1):65-76. doi: 10.1016/0049-3848(87)90207-6.,,,,,,,,,,
3589701,NLM,MEDLINE,19870720,20180524,0093-7754 (Print) 0093-7754 (Linking),14,2 Suppl 2,1987 Jun,Sequential evaluation of alpha-2b-interferon treatment in 128 patients with hairy cell leukemia.,13-7,"This multicenter study reports on 128 patients with hairy cell leukemia (HCL) who were treated subcutaneously with alfa-2b interferon (Intron A, Schering Corp, Kenilworth, NJ), three times a week at a dosage of 2 megaunits/m2. Five patients (4%) had a complete response (CR) with virtual eradication of hairy cells from the bone marrow, 98 (77%) showed a partial response (PR), defined as hematologic normalization of all three blood counts associated with decreased hairy cells in the bone marrow, and nine (7%) showed a minor response (MR) that included improvement in at least one measurement of the blood count. Sixteen persons (12%) did not respond. Thirteen of the 128 had had neither a splenectomy nor a CR. Responders who completed 12 months of interferon therapy were randomized to either an additional 6 months of therapy or to observation only. Relapses occurred in six of 35 (18%) randomized to observation alone and in two of 29 (7%) who continued interferon therapy. The relapses are too few to draw conclusions; however, 27 responders have remained off interferon treatment for greater than 6 months; cessation of interferon therapy does not result in a rapid deterioration of peripheral blood counts. In HCL, interferon therapy produced a large percentage of durable objective responses in the majority of patients. The exact duration of this response and the results of retreatment are yet undetermined.","['Golomb, H M', 'Fefer, A', 'Golde, D W', 'Ozer, H', 'Portlock, C', 'Silber, R', 'Rappeport, J', 'Ratain, M J', 'Thompson, J', 'Bonnem, E M']","['Golomb HM', 'Fefer A', 'Golde DW', 'Ozer H', 'Portlock C', 'Silber R', 'Rappeport J', 'Ratain MJ', 'Thompson J', 'Bonnem EM', 'et al.']",['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",United States,Semin Oncol,Seminars in oncology,0420432,['0 (Interferon Type I)'],IM,"['Adult', 'Aged', 'Blood Cell Count', 'Combined Modality Therapy', 'Female', 'Humans', 'Interferon Type I/adverse effects/*therapeutic use', 'Leukemia, Hairy Cell/blood/*therapy', 'Male', 'Middle Aged', 'Splenectomy']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['0093-7754(87)90078-9 [pii]'],ppublish,Semin Oncol. 1987 Jun;14(2 Suppl 2):13-7.,,,,,,,,,,
3589699,NLM,MEDLINE,19870722,20201209,0093-7754 (Print) 0093-7754 (Linking),14,2 Suppl 1,1987 Jun,Long-term relapse-free survival in childhood acute nonlymphocytic leukemia.,7-11,,"['Lie, S O', 'Slordahl, S H']","['Lie SO', 'Slordahl SH']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Diterpenes)', '0 (Retinyl Esters)', '04079A1RDZ (Cytarabine)', '11103-57-4 (Vitamin A)', '1D1K0N0VVC (retinol palmitate)', '80168379AG (Doxorubicin)', 'FTK8U1GZNX (Thioguanine)']",IM,"['Acute Disease', 'Adolescent', 'Antineoplastic Combined Chemotherapy Protocols', 'Child', 'Cytarabine/*administration & dosage/adverse effects', 'Diterpenes', 'Dose-Response Relationship, Drug', 'Doxorubicin/administration & dosage', 'Humans', 'Leukemia/*drug therapy', 'Retinyl Esters', 'Thioguanine/administration & dosage', 'Vitamin A/*analogs & derivatives/therapeutic use']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['0093-7754(87)90033-9 [pii]'],ppublish,Semin Oncol. 1987 Jun;14(2 Suppl 1):7-11.,,,,,,,,,,
3589698,NLM,MEDLINE,19870722,20180524,0093-7754 (Print) 0093-7754 (Linking),14,2 Suppl 1,1987 Jun,High-dose cytosine arabinoside in the consolidation therapy of acute nonlymphocytic leukemia in remission.,55-7,,"['Takaku, F', 'Urabe, A', 'Mizoguchi, H', 'Hoshino, S', 'Toyama, K', 'Tanaka, K', 'Nomura, T', 'Dan, K', 'Fujioka, S', 'Saito, T']","['Takaku F', 'Urabe A', 'Mizoguchi H', 'Hoshino S', 'Toyama K', 'Tanaka K', 'Nomura T', 'Dan K', 'Fujioka S', 'Saito T', 'et al.']",['eng'],,['Journal Article'],United States,Semin Oncol,Seminars in oncology,0420432,"['04079A1RDZ (Cytarabine)', 'X4W7ZR7023 (Methylprednisolone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cytarabine/*administration & dosage/adverse effects', 'Daunorubicin/administration & dosage', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Methotrexate/administration & dosage', 'Methylprednisolone/administration & dosage', 'Middle Aged']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['0093-7754(87)90043-1 [pii]'],ppublish,Semin Oncol. 1987 Jun;14(2 Suppl 1):55-7.,,,,,,,,,,
3589697,NLM,MEDLINE,19870722,20180524,0093-7754 (Print) 0093-7754 (Linking),14,2 Suppl 1,1987 Jun,Sequential high-dose ara-C and asparaginase versus high-dose ara-C alone in the treatment of patients with relapsed and refractory acute leukemias.,40-50,"In consideration of the full spectrum of hematologic and nonhematologic toxicity juxtaposed to the response rates (Tables 2-5), it appears that for relapsed patients with AML, six to eight consecutive doses of HDara-C or four doses started on days 1 and 8 have the optimal therapeutic index. These regimens are associated with a 25% CR rate and have comparable tolerable and reversible toxicity spectra. An increase in the total number of doses to 12 does not appear to increase the remission frequency in relapsed patients but does decidedly increase the spectrum, frequency, and severity of toxic manifestations. Studies of important pharmacologic determinants such as membrane transport and cellular accumulation of ara-CTP suggest that a lower unit dose may be just as effective, an approach that could potentially lower the frequency and severity of toxicity. However, these concepts must be tested in suitably designed clinical trials. In contrast to the response rate noted in patients with relapsed AML, patients with refractory AML have a substantially lower CR rate (approximately 10%) when treated with HDara-C alone. These lower CR rates are comparable to those reported for other recently introduced new drugs such as m-AMSA and mitoxantrone. In this setting of primary refractory leukemia, multi-institutional and cooperative group trials of HD-ara-C----ASNase show a consistently higher response rate in the range of 30% to 50%. Why ASNase should especially contribute to this particular group is unknown at present. Studies show that the gene for asparagine synthetase is repressed in AML cells. It is speculated that in the initial leukemia cell population (as encountered in refractory AML), the gene for asparagine synthetase is repressed and hence, the leukemia is sensitive to ASNase. In contrast, in the relapsed patient with recurrent leukemia, the gene for asparagine synthetase may be derepressed and the leukemia would be ASNase-insensitive. The therapeutic index of HDara-C----ASNase is schedule dependent. In leukemic mice, pretreatment or concurrent administration of ASNase and HDara-C leads to antagonism of both the therapeutic and toxic effects of HDara-C. These effects are consistent with similar effects of other protein synthesis inhibitors on ara-C toxicity.(ABSTRACT TRUNCATED AT 400 WORDS)","['Capizzi, R L', 'Powell, B L']","['Capizzi RL', 'Powell BL']",['eng'],"['CA-12197/CA/NCI NIH HHS/United States', 'CA-36000/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Semin Oncol,Seminars in oncology,0420432,"['04079A1RDZ (Cytarabine)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Acute Disease', 'Asparaginase/*administration & dosage', 'Cerebellar Diseases/etiology', 'Cytarabine/*administration & dosage/adverse effects', 'Diarrhea/etiology', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Drug Evaluation', 'Humans', 'Leukemia/*drug therapy', 'Neoplasm Recurrence, Local/*drug therapy']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['0093-7754(87)90040-6 [pii]'],ppublish,Semin Oncol. 1987 Jun;14(2 Suppl 1):40-50.,,,,,,,,,,
3589695,NLM,MEDLINE,19870722,20180524,0093-7754 (Print) 0093-7754 (Linking),14,2 Suppl 1,1987 Jun,Cell cycle and drug sensitivity studies of leukemic cells that appear relevant in determining response to chemotherapy in acute nonlymphocytic leukemia.,217-25,,"['Raza, A', 'Maheshwari, Y', 'Mandava, N', 'Yasin, Z', 'Perveen, S', 'Mayers, G', 'Browman, G', 'Goldberg, J', 'Gottlieb, A', 'Grunwald, H']","['Raza A', 'Maheshwari Y', 'Mandava N', 'Yasin Z', 'Perveen S', 'Mayers G', 'Browman G', 'Goldberg J', 'Gottlieb A', 'Grunwald H', 'et al.']",['eng'],"['CA-28734/CA/NCI NIH HHS/United States', 'CA-41285-01/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (DNA, Neoplasm)', '04079A1RDZ (Cytarabine)', 'G34N38R2N1 (Bromodeoxyuridine)']",IM,"['Acute Disease', 'Bone Marrow/pathology', 'Bromodeoxyuridine', '*Cell Cycle', 'Cytarabine/metabolism/*therapeutic use', 'DNA Replication/drug effects', 'DNA, Neoplasm/metabolism', 'Humans', 'Leukemia/drug therapy/metabolism/*pathology']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['0093-7754(87)90068-6 [pii]'],ppublish,Semin Oncol. 1987 Jun;14(2 Suppl 1):217-25.,,,,,,,,,,
