PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,RF,GR,PMC,SI,TT,AD,EIN,OID
3513354,NLM,MEDLINE,19860411,20061115,0179-7158 (Print) 0179-7158 (Linking),162,2,1986 Feb,Total body irradiation for allogeneic bone marrow transplantation in acute leukemia: a co-operative study from the TBI Subcommittee in Japan.,100-4,"By means of national survey, records of 78 acute leukemia patients who underwent allogeneic bone marrow transplantation (BMT) from September 1975 through September 1983 were collected from 14 participating institutions in Total Body Irradiation (TBI) Subcommittee in Japan. Patients were classified into 37 of acute lymphocytic leukemia (ALL), and 41 of acute non-lymphocytic leukemia (ANLL). One-year survivals were 51% and 33% in ALL and ANLL patients, respectively. Uninfected patients in remission had significantly better survival than infected ones and/or in relapse. Overall incidence of interstitial pneumonia was 43%. Rejection and relapse were encountered in 26% of patients. Concerning cause of death, interstitial pneumonia was the most frequent cause (44%). Uni- and multivariate analyses strongly suggested that favorable prognostic factors were remission, uninfection, preparation of low-dose-rate fractionated TBI and cyclophosphamide, and mild graft-versus-host disease (GVHD) for acute leukemia patient treated with allogeneic BMT.","['Inoue, T', 'Masaoka, T', 'Shibata, H']","['Inoue T', 'Masaoka T', 'Shibata H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Strahlenther Onkol,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],8603469,IM,"['Acute Disease', 'Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Female', 'Humans', 'Leukemia/*therapy', 'Male', 'Middle Aged', 'Prognosis', 'Pulmonary Fibrosis/etiology', 'Retrospective Studies', 'Transplantation Immunology/*radiation effects', '*Whole-Body Irradiation/adverse effects']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",ppublish,Strahlenther Onkol. 1986 Feb;162(2):100-4.,,,,,,,,,,
3513297,NLM,MEDLINE,19860421,20190908,0036-553X (Print) 0036-553X (Linking),36,1,1986 Jan,Relationship of plasma lactoferrin content to neutrophil regeneration and bone marrow infusion.,79-84,Plasma concentrations of lactoferrin were measured in immediately separated EDTA samples from 5 subjects who had received HLA identical bone marrow transplants for leukaemia or aplastic anaemia and from 7 subjects who were leukopenic as a consequence of chemotherapy for a variety of malignant conditions. Plasma lactoferrin concentrations were found to closely parallel the leucocyte count and were not found to either predict or to antedate leucocyte regeneration. Serial measurements of plasma lactoferrin in a subject with no circulating neutrophils who received a bone marrow graft revealed that the clearance of lactoferrin followed an exponential pattern and had an initial half time of 2.2 h.,"['Baynes, R D', 'Bezwoda, W R', 'Khan, Q', 'Mansoor, N']","['Baynes RD', 'Bezwoda WR', 'Khan Q', 'Mansoor N']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Agranulocytosis/*blood', 'Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', '*Hematopoiesis', 'Humans', 'Kinetics', 'Lactoferrin/*blood', 'Lactoglobulins/*blood', 'Leukemia/therapy', 'Leukocyte Count', 'Neoplasms/*blood/drug therapy/therapy', 'Neutropenia/*blood/chemically induced/pathology', 'Neutrophils/*pathology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1986 Jan;36(1):79-84. doi: 10.1111/j.1600-0609.1986.tb02654.x.,"['0 (Lactoglobulins)', 'EC 3.4.21.- (Lactoferrin)']",['10.1111/j.1600-0609.1986.tb02654.x [doi]'],,,,,,,,
3513286,NLM,MEDLINE,19860402,20190828,0162-0886 (Print) 0162-0886 (Linking),8,1,1986 Jan-Feb,Corynebacterium JK: a cause of nosocomial device-related infection.,42-9,"Ten cases of serious infection due to antibiotic-resistant Corynebacterium JK are reported. Five infections occurred in patients with hematologic malignancy and granulocytopenia, an association previously reported. Five additional nosocomial infections occurred in patients without underlying disease previously reported to be associated with JK. Nine of the 10 infections were nosocomial in origin and were associated with plastic devices that had been inserted into the patients. JK organisms were isolated from a variety of sources from an additional 40 uninfected patients. Although the majority of clinical isolates of Corynebacterium JK were contaminants, our experience suggests that as many as 20% of isolations are associated with serious nosocomial infections. Isolation of Corynebacterium JK--particularly in blood cultures--from patients with indwelling catheters or other devices is highly suggestive of the presence of a serious nosocomial infection.","['Riebel, W', 'Frantz, N', 'Adelstein, D', 'Spagnuolo, P J']","['Riebel W', 'Frantz N', 'Adelstein D', 'Spagnuolo PJ']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Rev Infect Dis,Reviews of infectious diseases,7905878,IM,"['Adult', 'Age Factors', 'Catheters, Indwelling/*adverse effects', 'Corynebacterium Infections/*etiology/microbiology', 'Cross Infection/*etiology/microbiology', 'Drug Resistance, Microbial', 'Female', 'Heart Valve Prosthesis', 'Humans', 'Leukemia/complications', 'Leukopenia/complications', 'Male', 'Middle Aged', 'Peritoneal Dialysis/adverse effects', 'Peritonitis/etiology', 'Plastics', 'Sex Factors', 'Uterine Cervical Neoplasms/complications']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Rev Infect Dis. 1986 Jan-Feb;8(1):42-9. doi: 10.1093/clinids/8.1.42.,['0 (Plastics)'],['10.1093/clinids/8.1.42 [doi]'],27,,,,,,,
3513243,NLM,MEDLINE,19860411,20161123,0033-8419 (Print) 0033-8419 (Linking),159,1,1986 Apr,Tissue characterization of the testes using ultrasonic CT. Work in progress.,101-5,"Ultrasonic computed tomography (UCT) can aid in characterizing tissue for the detection and diagnosis of leukemic infiltration of the testes. Preliminary studies in 6 healthy adults and 26 patients (3-20 years old) with leukemia or non-Hodgkin lymphoma suggest that elevated speed of sound in the testis may be an indicator of leukemic infiltration. UCT may become an important screening method for detecting testicular involvement. In long-term follow-up, UCT can be performed more frequently and easily than biopsy, which is the current screening method.","['Bland, P H', 'DiPietro, M A', 'Chenevert, T L', 'Hutchinson, R J', 'Carson, P L']","['Bland PH', 'DiPietro MA', 'Chenevert TL', 'Hutchinson RJ', 'Carson PL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Radiology,Radiology,0401260,IM,"['Adult', 'Humans', 'Leukemia, Lymphoid/diagnostic imaging/pathology', 'Male', 'Testis/*diagnostic imaging/pathology', '*Tomography, X-Ray Computed', '*Ultrasonography']",1986/04/01 00:00,1986/04/01 00:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '1986/04/01 00:01 [medline]', '1986/04/01 00:00 [entrez]']",ppublish,Radiology. 1986 Apr;159(1):101-5. doi: 10.1148/radiology.159.1.3513243.,,['10.1148/radiology.159.1.3513243 [doi]'],,"['R01 CA 31857/CA/NCI NIH HHS/United States', 'R25 CA 19762/CA/NCI NIH HHS/United States']",,,,,,
3513189,NLM,MEDLINE,19860424,20190501,0027-8424 (Print) 0027-8424 (Linking),83,6,1986 Mar,Heterogeneity of chromosome 22 breakpoint in Philadelphia-positive (Ph+) acute lymphocytic leukemia.,1807-11,"In chronic myelogenous leukemias (CML) with the t(9;22)(q34;q11) chromosome translocation the breakpoints on chromosome 22 occur within a 5.8-kilobase segment of DNA referred to as ""breakpoint cluster region"" (bcr). The same cytogenetically indistinguishable translocation occurs in approximately 10% of patients with acute lymphocytic leukemias (ALL). In this study we have investigated the chromosome breakpoints in several cases of ALL carrying the t(9;22) translocation. In three of five cases of ALL we found that the bcr region was not involved in the chromosome rearrangement and that the 22q11 chromosome breakpoints were proximal (5') to the bcr region at band 22q11. In addition, we observed normal size bcr and c-abl transcripts in an ALL cell line carrying the t(9;22) translocation. We conclude, therefore, that if c-abl is inappropriately expressed in ALL cells without bcr rearrangements, the genetic mechanism of activation must be different from that reported for CML.","['Erikson, J', 'Griffin, C A', 'ar-Rushdi, A', 'Valtieri, M', 'Hoxie, J', 'Finan, J', 'Emanuel, B S', 'Rovera, G', 'Nowell, P C', 'Croce, C M']","['Erikson J', 'Griffin CA', 'ar-Rushdi A', 'Valtieri M', 'Hoxie J', 'Finan J', 'Emanuel BS', 'Rovera G', 'Nowell PC', 'Croce CM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Adolescent', 'Adult', 'Aged', 'Animals', 'Cell Transformation, Neoplastic/genetics', 'Child', 'Child, Preschool', 'Chromosome Mapping', 'Chromosomes, Human, 21-22 and Y/ultrastructure', 'Chromosomes, Human, 6-12 and X/ultrastructure', 'Female', 'Genetic Markers', 'Humans', 'Hybrid Cells', 'Leukemia, Lymphoid/*genetics', 'Male', 'Mice', 'Middle Aged', 'Phenotype', '*Philadelphia Chromosome', 'Protein Kinases/*genetics', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogenes']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1986 Mar;83(6):1807-11. doi: 10.1073/pnas.83.6.1807.,"['0 (Genetic Markers)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.- (Protein Kinases)']",['10.1073/pnas.83.6.1807 [doi]'],,"['CA10815/CA/NCI NIH HHS/United States', 'CA25875/CA/NCI NIH HHS/United States', 'CA39860/CA/NCI NIH HHS/United States']",PMC323173,,,,,
3513183,NLM,MEDLINE,19860424,20190501,0027-8424 (Print) 0027-8424 (Linking),83,6,1986 Mar,Enhanced c-Ki-ras expression associated with Friend virus integration in a bone marrow-derived mouse cell line.,1651-5,"We have investigated the molecular basis for a 25- to 30-fold overexpression of the c-Ki-ras oncogene in a mouse bone marrow-derived, early myeloid cell line, 416B. Southern blot hybridizations revealed that the 416B cells contain a rearranged c-Ki-ras gene in addition to an apparently normal gene. Molecular cloning and DNA sequence analyses demonstrated that the rearrangement involves the insertion of a 3.5-kilobase-pair segment of Friend virus that includes the envelope gene (env) and 3' long terminal repeat. The Friend provirus is positioned between a 5' nontranslated exon (exon phi) and the first coding exon (exon 1) of the c-Ki-ras gene in the same transcriptional orientation. Results of RNA blot analyses indicate that transcription from the rearranged gene initiates at a promoter that excludes sequences in exon phi. The data support the hypothesis that enhanced c-Ki-ras expression in the 416B cells results from integration of a Friend provirus within this gene.","['George, D L', 'Glick, B', 'Trusko, S', 'Freeman, N']","['George DL', 'Glick B', 'Trusko S', 'Freeman N']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Base Sequence', 'Bone Marrow Cells', 'Cell Line', '*Cell Transformation, Viral', 'Cloning, Molecular', 'Female', 'Friend murine leukemia virus/*physiology', '*Gene Expression Regulation', 'Mice', 'Promoter Regions, Genetic', 'Proto-Oncogene Proteins/*biosynthesis', '*Proto-Oncogenes', 'RNA, Messenger/analysis', 'Repetitive Sequences, Nucleic Acid', 'Transcription, Genetic', 'Viral Envelope Proteins/genetics']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1986 Mar;83(6):1651-5. doi: 10.1073/pnas.83.6.1651.,"['0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (Viral Envelope Proteins)']",['10.1073/pnas.83.6.1651 [doi]'],,"['CA34462/CA/NCI NIH HHS/United States', 'GM32592/GM/NIGMS NIH HHS/United States']",PMC323141,"['GENBANK/M13293', 'GENBANK/M13294']",,,,
3513178,NLM,MEDLINE,19860410,20190501,0027-8424 (Print) 0027-8424 (Linking),83,5,1986 Mar,Altered expression of G1-specific genes in human malignant myeloid cells.,1495-8,"We have studied the expression of cell-cycle genes specific to the G1 (2A9, 2F1, 4F1, c-myc) and S (histone H3) phases of the cell cycle in normal and malignant human myeloid cycling cells. The levels of expression were determined by measuring the amounts of specific RNA in blot hybridization assays. Levels of expression of the G1 genes were compared to the level of expression of the S-phase-specific H3 gene. This method can distinguish whether an increased expression of G1 genes is truly due to deregulation or simply reflects an increase in the fraction of proliferating cells. In a normal asynchronous system provided by the bone marrow cells of three normal donors, the expressions of the four G1-specific genes 2A9, 2F1, 4F1, and c-myc, and of the S-phase-specific gene H3 were in ratios that differed little from one individual to another. In the total RNA of eight patients in the chronic phase of chronic myelogenous leukemia, a high level of expression of G1 cell-cycle genes was paralleled by a high level of expression of the S-phase H3 gene, simply reflecting an increase in the fraction of proliferating cells. In patients with acute myelogenous leukemia (AML), the RNA levels of 2F1 and 4F1 paralleled the expression of H3-i.e., the ratios of expression 2F1/H3 and 4F1/H3 were the same as in normal bone marrow cells. However, in 9 of 10 patients with AML we found that the expression of c-myc was elevated with respect to H3 expression. The expression of 2A9 (with respect to H3) was also elevated in some of these AML patients. Two important conclusions can be drawn from these findings: increased levels of a G1-specific RNA in a tumor may not indicate overexpression of that gene but may instead simply reflect the fraction of proliferating cells; and in some patients with AML, however, the expression of certain G1 genes is truly deregulated and might contribute to the impairment of proliferative control that is associated with this phenotype.","['Calabretta, B', 'Venturelli, D', 'Kaczmarek, L', 'Narni, F', 'Talpaz, M', 'Anderson, B', 'Beran, M', 'Baserga, R']","['Calabretta B', 'Venturelli D', 'Kaczmarek L', 'Narni F', 'Talpaz M', 'Anderson B', 'Beran M', 'Baserga R']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['*Cell Cycle', 'Gene Expression Regulation', 'Genes', 'Histones/*genetics', 'Humans', 'Leukemia, Myeloid/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Proto-Oncogene Proteins/*genetics']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1986 Mar;83(5):1495-8. doi: 10.1073/pnas.83.5.1495.,"['0 (Histones)', '0 (Proto-Oncogene Proteins)']",['10.1073/pnas.83.5.1495 [doi]'],,"['AG 00378/AG/NIA NIH HHS/United States', 'CA 25898/CA/NCI NIH HHS/United States', 'SO7-RR05417/RR/NCRR NIH HHS/United States']",PMC323103,,,,,
3513146,NLM,MEDLINE,19860411,20211203,0032-5481 (Print) 0032-5481 (Linking),79,4,1986 Mar,Unusual mucocutaneous infections in immunosuppressed patients with leukemia--expansion of an earlier study.,287-94,,"['Dreizen, S', 'McCredie, K B', 'Bodey, G P', 'Keating, M J']","['Dreizen S', 'McCredie KB', 'Bodey GP', 'Keating MJ']",['eng'],['Journal Article'],England,Postgrad Med,Postgraduate medicine,0401147,IM,"['Acinetobacter Infections', 'Bacterial Infections/*etiology', 'Candidiasis', 'Chromobacterium', 'Citrobacter', 'Corynebacterium Infections', 'Dermatomycoses/*etiology', 'Escherichia coli Infections', 'Fusarium', 'Histoplasmosis', 'Humans', '*Immunosuppression Therapy', 'Leukemia/*complications/immunology', 'Mucormycosis', 'Pseudomonas Infections', 'Skin Diseases, Infectious/*etiology', 'Streptococcal Infections', 'Trichosporon']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Postgrad Med. 1986 Mar;79(4):287-94. doi: 10.1080/00325481.1986.11699332.,,['10.1080/00325481.1986.11699332 [doi]'],,,,,,,,
3513115,NLM,MEDLINE,19860404,20151119,0031-4005 (Print) 0031-4005 (Linking),77,3,1986 Mar,Juvenile chronic myelogenous leukemia: surface antigen phenotyping by monoclonal antibodies and cytogenetic studies.,330-5,"Cells from three children with juvenile chronic myelogenous leukemia were studied using culture in semisolid media, cytogenetic analysis, and surface staining with the monocyte-specific monoclonal antibodies 61D3 and 63D3. The percentage of bone marrow mononuclear cells that were 61D3- and 63D3-positive was markedly increased in all three patients. Bone marrow and peripheral blood mononuclear cells exhibited exceptionally bright immunofluorescence with these antibodies. The presence of monocyte-specific antigens on the surface of juvenile chronic myelogenous leukemia cells suggests that they are derived from a precursor with monocytic characteristics. A specific chromosomal abnormality (47,XY+21) was present in fresh bone marrow cells from one patient; in contrast, 50 metaphases from phytohemagglutinin-stimulated peripheral blood contained a normal karyotype. The chromosomal abnormality was also identified in myeloid colonies grown in vitro from this patient. Granulocytic elements were demonstrated in tissue sections and in cultured myeloid colonies from this child. Our data suggest that malignant transformation in juvenile chronic myelogenous leukemia involves a myeloid progenitor population capable of differentiation in vitro to cells with monocytic or granulocytic characteristics.","['Shannon, K', 'Nunez, G', 'Dow, L W', 'Weinberg, A G', 'Sato, Y', 'Stastny, P', 'Buchanan, G R']","['Shannon K', 'Nunez G', 'Dow LW', 'Weinberg AG', 'Sato Y', 'Stastny P', 'Buchanan GR']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Pediatrics,Pediatrics,0376422,IM,"['Animals', '*Antibodies, Monoclonal', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/*analysis', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y', 'Colony-Forming Units Assay', 'Female', 'Fluorescent Antibody Technique', 'Humans', 'In Vitro Techniques', 'Karyotyping', 'Leukemia, Myeloid/genetics/*immunology', 'Male', 'Mice', 'Monocytes/immunology', 'Phenotype']",1986/03/01 00:00,1986/03/01 00:01,['1986/03/01 00:00'],"['1986/03/01 00:00 [pubmed]', '1986/03/01 00:01 [medline]', '1986/03/01 00:00 [entrez]']",ppublish,Pediatrics. 1986 Mar;77(3):330-5.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",,,"['CA20180/CA/NCI NIH HHS/United States', 'CA21765/CA/NCI NIH HHS/United States']",,,,,,
3513012,NLM,MEDLINE,19860410,20160422,0028-4793 (Print) 0028-4793 (Linking),314,12,1986 Mar 20,Methotrexate and cyclosporine compared with cyclosporine alone for prophylaxis of acute graft versus host disease after marrow transplantation for leukemia.,729-35,"We treated 93 patients who had acute nonlymphoblastic leukemia in the first remission or chronic myelocytic leukemia in the chronic phase (median age, 30 years) with high-dose cyclophosphamide and fractionated total-body irradiation, followed by infusion of marrow from an HLA-identical sibling. To evaluate postgrafting prophylaxis for graft versus host disease, we studied these patients in a sequential, prospective, randomized trial that compared the effect of a combination of methotrexate and cyclosporine (n = 43) with that of cyclosporine alone (n = 50). All patients had evidence of sustained engraftment. A significant reduction in the cumulative incidence of grades II to IV acute graft versus host disease was observed in the patients who received both methotrexate and cyclosporine (33 percent), as compared with those who were given cyclosporine alone (54 percent) (P = 0.014). Seven patients who received cyclosporine alone acquired grade IV acute graft versus host disease, as compared with none who received both methotrexate and cyclosporine. Thirty-five of the 43 patients given both methotrexate and cyclosporine and 31 of the 50 patients given cyclosporine are alive as of this writing, at 4 months to 2 years (median, 15 months); the actuarial survival rates in the two groups at 1.5 years were 80 percent and 55 percent, respectively (P = 0.042). We conclude that the combination of methotrexate and cyclosporine is superior to cyclosporine alone in the prevention of acute graft versus host disease after marrow transplantation for leukemia, and that this therapy may have a beneficial effect on long-term survival.","['Storb, R', 'Deeg, H J', 'Whitehead, J', 'Appelbaum, F', 'Beatty, P', 'Bensinger, W', 'Buckner, C D', 'Clift, R', 'Doney, K', 'Farewell, V']","['Storb R', 'Deeg HJ', 'Whitehead J', 'Appelbaum F', 'Beatty P', 'Bensinger W', 'Buckner CD', 'Clift R', 'Doney K', 'Farewell V', 'et al.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Acute Disease', 'Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Cyclosporins/*administration & dosage/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Graft vs Host Disease/mortality/*prevention & control', 'Humans', 'Leukemia/*therapy', 'Leukemia, Myeloid/therapy', 'Male', 'Methotrexate/*administration & dosage/therapeutic use', 'Middle Aged', 'Prospective Studies', 'Random Allocation']",1986/03/20 00:00,1986/03/20 00:01,['1986/03/20 00:00'],"['1986/03/20 00:00 [pubmed]', '1986/03/20 00:01 [medline]', '1986/03/20 00:00 [entrez]']",ppublish,N Engl J Med. 1986 Mar 20;314(12):729-35. doi: 10.1056/NEJM198603203141201.,"['0 (Cyclosporins)', 'YL5FZ2Y5U1 (Methotrexate)']",['10.1056/NEJM198603203141201 [doi]'],,"['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']",,,,,,
