PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,CIN,PMC,TT,SI,EIN,OID
3480043,NLM,MEDLINE,19880203,20181130,0361-5960 (Print) 0361-5960 (Linking),71,12,1987 Dec,Phase I trial of homoharringtonine in children with refractory leukemia.,1245-8,Continuous infusion of homoharringtonine was administered to 17 children with refractory leukemia. Ten children with acute lymphoblastic leukemia received a total of 18 courses and seven children with acute nonlymphoblastic leukemia had a total of 13 courses. Doses were escalated from 1.65 to 8.5 mg/m2 for 5-10 consecutive days. Side effects included mild nausea and vomiting and transient changes in liver enzymes. Mucositis and diarrhea were more frequently seen at higher dose levels. Grade 3 hypotension and pain were seen at doses of 7 mg/m2 for 10 days. This is considered to be the maximum tolerated dose in this limited phase I trial. None of these previously heavily treated patients achieved a marrow remission.,"['Tan, C T', 'Luks, E', 'Bacha, D M', 'Steinherz, P', 'Steinherz, L', 'Mondora, A']","['Tan CT', 'Luks E', 'Bacha DM', 'Steinherz P', 'Steinherz L', 'Mondora A']","['Department of Pediatrics, Memorial Sloan-Kettering Cancer Center, New York, NY 10021.']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['0 (Alkaloids)', '0 (Harringtonines)', '6FG8041S5B (Homoharringtonine)']",IM,"['Adolescent', 'Alkaloids/*therapeutic use', 'Blast Crisis', 'Child', 'Child, Preschool', 'Female', 'Harringtonines/administration & dosage/adverse effects/*therapeutic use', 'Homoharringtonine', 'Humans', 'Infant', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Male']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1987 Dec;71(12):1245-8.,,,,,,,,
3480042,NLM,MEDLINE,19880203,20141120,0361-5960 (Print) 0361-5960 (Linking),71,12,1987 Dec,Perturbation of in vitro drug resistance in human lymphatic neoplasms by combinations of putative inhibitors of protein kinase C.,1239-43,"Fresh specimens of human lymphatic neoplasms were tested with the differential staining cytotoxicity assay. Cells from relapsed patients with acute lymphoblastic leukemia (ALL) were significantly more resistant to vincristine, dexamethasone, and doxorubicin in the assay than were cells from previously untreated patients. The putative C kinase inhibitors verapamil (V), imipramine (I), lidocaine (L), tamoxifen (T), chlorpromazine (C), and haloperidol (H) were then tested singly, in combination with each other (VILTCH, ITCH, and VL), and in combination with vincristine. At concentrations judged to be clinically achievable, VILTCH itself was occasionally toxic to ALL and chronic lymphocytic leukemia. The VILTCH combination clearly potentiated the cytotoxic activity of vincristine in five of eight ALL specimens from relapsed patients and potentiated vincristine in 18 of 30 chronic lymphocytic leukemia specimens. It also potentiated vincristine in two of six specimens of multiple myeloma and five of six specimens of non-Hodgkin's lymphoma. The VILTCH combination had no significant effects in fresh cultures of normal human lymphocytes. The most active drugs in the VILTCH combination appeared to be verapamil and lidocaine. We conclude that the differential staining cytotoxicity assay is a useful tool to study the circumvention of clinically acquired drug resistance. While the mechanism of the observed enhancement of the cytotoxic effects of vincristine is not known, it is possible that combinations of putative C kinase inhibitors may reduce drug resistance in human lymphatic neoplasms.","['Weisenthal, L M', 'Su, Y Z', 'Duarte, T E', 'Dill, P L', 'Nagourney, R A']","['Weisenthal LM', 'Su YZ', 'Duarte TE', 'Dill PL', 'Nagourney RA']","['Veterans Administration Medical Center, Long Beach, CA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,"['094ZI81Y45 (Tamoxifen)', '98PI200987 (Lidocaine)', 'CJ0O37KU29 (Verapamil)', 'EC 2.7.11.13 (Protein Kinase C)', 'J6292F8L3D (Haloperidol)', 'OGG85SX4E4 (Imipramine)', 'U42B7VYA4P (Chlorpromazine)']",IM,"['Cell Survival/drug effects', 'Chlorpromazine/pharmacology', 'Drug Resistance/drug effects', 'Drug Synergism', 'Haloperidol/pharmacology', 'Humans', 'Imipramine/pharmacology', 'In Vitro Techniques', 'Leukemia/*drug therapy/pathology', 'Leukemia, Lymphoid/drug therapy', 'Lidocaine/pharmacology', 'Protein Kinase C/*antagonists & inhibitors', 'Tamoxifen/pharmacology', 'Tumor Cells, Cultured/*drug effects', 'Verapamil/pharmacology']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Cancer Treat Rep. 1987 Dec;71(12):1239-43.,['CA-43432/CA/NCI NIH HHS/United States'],,,,,,,
3480041,NLM,MEDLINE,19880217,20190720,0304-3835 (Print) 0304-3835 (Linking),38,1-2,1987 Dec,Antiproliferative response of human leukemic cells. Modulation of cytosolic protein kinase C activity by phytohemagglutinin.,181-9,Phytohemagglutinin and its isolectins PHA-E4 an PHA-L4 act antiproliferatively on an actively dividing leukemia T-cell line. Both PHA and the isolectins caused an increase in soluble protein kinase C (PK-C) activity without a corresponding decrease in particulate activity. The increase was at a maximum after 10 min and the soluble kinase activity remained high for at least 3 h. There was no direct correlation between the observed antiproliferative potency of the 2 isolectins and their ability to initially affect the distribution of PK-C activity.,"['Borrebaeck, C A', 'Bristulf, J', 'Jergil, B']","['Borrebaeck CA', 'Bristulf J', 'Jergil B']","['Department of Biotechnology, University of Lund, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Cancer Lett,Cancer letters,7600053,"['0 (Lectins)', '0 (Phytohemagglutinins)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,"['Cell Division/drug effects', 'Dose-Response Relationship, Drug', 'Humans', 'Lectins/pharmacology', 'Leukemia, Lymphoid/*enzymology', 'Phytohemagglutinins/*pharmacology', 'Protein Kinase C/*analysis', 'Tumor Cells, Cultured']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Cancer Lett. 1987 Dec;38(1-2):181-9. doi: 10.1016/0304-3835(87)90213-8.,,"['0304-3835(87)90213-8 [pii]', '10.1016/0304-3835(87)90213-8 [doi]']",,,,,,
3480012,NLM,MEDLINE,19880127,20190828,0263-7103 (Print) 0263-7103 (Linking),26,6,1987 Dec,Lymphoreticular malignancy and monoclonal gammopathy presenting as polymyalgia rheumatica.,458-9,"Five patients presenting with polymyalgia rheumatica-like symptoms were found to have a monoclonal gammopathy. In addition one of these patients had acute myeloblastic leukaemia, two had early myeloma and one patient had probable Waldenstrom's macroglobulinaemia. The association of polymyalgia rheumatica-like symptoms, monoclonal gammopathy and lymphoreticular malignancies is discussed.","['Kalra, L', 'Delamere, J P']","['Kalra L', 'Delamere JP']","['Department of Medicine, Russells Hall Hospital, Dudley, West Midlands, UK.']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Rheumatol,British journal of rheumatology,8302415,,IM,"['Aged', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications/*diagnosis', 'Male', 'Middle Aged', 'Multiple Myeloma/complications/*diagnosis', 'Paraproteinemias/complications/*diagnosis', 'Polymyalgia Rheumatica/complications/*diagnosis']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Br J Rheumatol. 1987 Dec;26(6):458-9. doi: 10.1093/rheumatology/26.6.458.,,['10.1093/rheumatology/26.6.458 [doi]'],['Br J Rheumatol. 1994 Jul;33(7):691. PMID: 8019807'],,,,,
3480010,NLM,MEDLINE,19880125,20190903,0006-5242 (Print) 0006-5242 (Linking),55,6,1987 Dec,Annular promyelocytes in acute myeloid leukemia.,513-5,"Granulocytes with ring-shaped nuclei (annular granulocytes; ring granulocytes) are normal bone marrow constituents in rodents. Studies in man have shown a small number of these cells in cases of myeloproliferative diseases. Myelocytes and metamyelocytes have also been described. Similar to rodents and some other animal species, the annular promyelocyte also exists in humans. The significance of these very rare cells in human haemopoiesis becomes an interesting question.","['Peichev, M']",['Peichev M'],"['Department of Onco-Haematology, Medical Academy, Sofia, Bulgaria.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Blut,Blut,0173401,,IM,"['Cell Nucleus', 'Child', 'Granulocytes/*cytology', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Male']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Blut. 1987 Dec;55(6):513-5. doi: 10.1007/BF00320222.,,['10.1007/BF00320222 [doi]'],,,,,,
3480009,NLM,MEDLINE,19880125,20190903,0006-5242 (Print) 0006-5242 (Linking),55,6,1987 Dec,Philadelphia-positive chronic myelogenous leukemia with breakpoint 5' of the breakpoint cluster region but within the bcr gene.,505-11,"We report on the first Philadelphia chromosome (Ph) positive chronic myelogenous leukemia (CML) characterized by a rearrangement within the 5' part of the bcr gene on chromosome 22, but outside the restricted breakpoint cluster region. In situ hybridization studies revealed a translocation of the c-abl oncogene to the Ph chromosome and Northern blot analysis identified a chimeric 8 kb bcr/abl RNA transcript in leukemic cells. These data suggest that 1. less bcr coding sequences than previously assumed may be essential for the putative transforming activity of the rearranged bcr/abl gene and 2. the bcr probes currently used for diagnostic purposes could miss Ph-positive CML cases.","['Bartram, C R', 'Bross-Bach, U', 'Schmidt, H', 'Waller, H D']","['Bartram CR', 'Bross-Bach U', 'Schmidt H', 'Waller HD']","['Department of Pediatrics II, University of Ulm, Federal Republic of Germany.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Blut,Blut,0173401,,IM,"['Adult', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', '*Oncogenes', '*Philadelphia Chromosome']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Blut. 1987 Dec;55(6):505-11. doi: 10.1007/BF00320220.,,['10.1007/BF00320220 [doi]'],,,,,,
3480008,NLM,MEDLINE,19880125,20200304,0006-5242 (Print) 0006-5242 (Linking),55,6,1987 Dec,Dihydrofolate reductase-activity in brain tissue. Effect of X-irradiation.,483-8,"The mechanism responsible for the toxic late effects of cranial irradiation, followed by the administration of systemic methotrexate (MTX) on brain tissue, is still under discussion. We studied the influence of X-irradiation on dihydrofolate reductase (E.C. 1.5.1.3) activity (DHFR), the enzyme inhibited by MTX. New Zealand white rabbits, 6-9 weeks old, underwent 24 Gy fractionated or 20 Gy single-dose brain irradiation using a 60Co source. Before, immediately following, and 1, 2, 4, 12 weeks after irradiation, DHFR was measured in brain and liver tissue by a photometric assay. DHFR in brain tissue was 11.9 +/- 2.9 mU/g wet weight (ww) X h and in liver tissue 121.8 +/- 24.2 mU/g ww X h. Fractionated brain irradiation with 2 Gy per day produced no significant changes in brain DHFR. Single-dose cranial irradiation significantly decreased brain DFHR (7.3 +/- 0.6 mU/g ww X h). Suppression of the developmental increase of DHFR by X-irradiation in young rabbits could be excluded by determining the unchanged brain-to-liver ratios of DHFR in the animals with fractionated brain irradiation.","['Ludwig, R', 'Frei, E', 'Kimmig, B', 'Brandeis, W E']","['Ludwig R', 'Frei E', 'Kimmig B', 'Brandeis WE']","['University Childrens Hospital, Heidelberg, Federal Republic of Germany.']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,"['0 (Folic Acid Antagonists)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Brain/enzymology/*radiation effects', 'Folic Acid Antagonists', 'Humans', 'Leukemia, Lymphoid/drug therapy/radiotherapy', 'Liver/enzymology', 'Meningeal Neoplasms/prevention & control', 'Methotrexate/therapeutic use', 'Rabbits', 'Tetrahydrofolate Dehydrogenase/*metabolism']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Blut. 1987 Dec;55(6):483-8. doi: 10.1007/BF00320216.,,['10.1007/BF00320216 [doi]'],,,,,,
3479998,NLM,MEDLINE,19880209,20071115,0007-1048 (Print) 0007-1048 (Linking),67,3,1987 Nov,Intensive remission induction and consolidation therapy in patients with acute myeloid leukaemia.,375,,"['Ferrant, A', 'Doyen, C', 'Bosly, A', 'Delannoy, A', 'Cornu, G', 'Michaux, J L']","['Ferrant A', 'Doyen C', 'Bosly A', 'Delannoy A', 'Cornu G', 'Michaux JL']",,['eng'],['Letter'],England,Br J Haematol,British journal of haematology,0372544,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Age Factors', 'Antineoplastic Agents/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged', 'Remission Induction']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']",ppublish,Br J Haematol. 1987 Nov;67(3):375.,,,,,,,,
3479997,NLM,MEDLINE,19880209,20190704,0007-1048 (Print) 0007-1048 (Linking),67,3,1987 Nov,Multiple molecular abnormalities in Ph1 chromosome positive acute lymphoblastic leukaemia.,319-24,The Ph1 chromosome is present in 95% of patients with chronic myelogenous leukaemia (CML). The Ph1 chromosome also occurs in 5-25% of children and adults with acute lymphoblastic leukaemia (ALL). This observation raises questions as to whether these diseases are similar or identical. In patients with CML the c-abl and bcr genes are translocated and abnormally expressed. We studied molecular events related to bcr and c-abl in five patients with ALL to determine its relationship to CML. Four had the Ph1 chromosome; the fifth a probable Ph1 chromosome. c-abl and bcr abnormalities identical to CML were detected in four suggesting a common molecular basis. One patient with the Ph1 chromosome and c-abl translocation lacked these molecular changes but had abnormal c-abl gene transcription apparently unrelated to bcr. These data suggest that Ph1 chromosome positive ALL is heterogeneous; in some patients the molecular abnormality is identical to CML; in others c-abl is likewise involved but via a different mechanism.,"['Dreazen, O', 'Klisak, I', 'Jones, G', 'Ho, W G', 'Sparkes, R S', 'Gale, R P']","['Dreazen O', 'Klisak I', 'Jones G', 'Ho WG', 'Sparkes RS', 'Gale RP']","['Department of Medicine, UCLA School of Medicine.']",['eng'],"['Comparative Study', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,['9007-49-2 (DNA)'],IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', '*Chromosome Aberrations', 'DNA/genetics', 'Female', 'Humans', 'Leukemia, Lymphoid/*genetics', 'Leukemia, Myeloid/genetics', 'Male', 'Philadelphia Chromosome', 'Transcription, Genetic', 'Translocation, Genetic']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']",ppublish,Br J Haematol. 1987 Nov;67(3):319-24. doi: 10.1111/j.1365-2141.1987.tb02353.x.,,['10.1111/j.1365-2141.1987.tb02353.x [doi]'],,,,,,
3479996,NLM,MEDLINE,19880209,20190704,0007-1048 (Print) 0007-1048 (Linking),67,3,1987 Nov,The purification of human basophils: their immunophenotype and cytochemistry.,281-4,"An IgM class monoclonal antibody Bsp-1 that selectively reacts with human basophils was used to label basophils in normal and leukaemic haemopoietic samples. The immunophenotype of Bsp-1+ basophils was determined using a panel of 21 IgG subclass monoclonal antibodies in two-colour immunofluorescence assays. Basophils expressed the leucocyte common antigen, HLA-ABC antigens and antigens defined by CD11 and CD13 monoclonal antibodies. Other myeloid cell (granulocyte-monocyte) associated anti-antigens, lymphoid cell surface determinants and HLA-DR antigens were not detected. Basophil preparations of 95-98% purity were obtained from the peripheral blood of patients with CML and umbilical cords using fluorescence activated cell sorting techniques. Purified basophils exhibited metachromatic staining with toluidine blue, alcain blue and astra blue. PAS staining was observed in 7% of cord Bsp-1+ cells and of 55% CML Bsp-1+ cells. Between 5% and 10% of basophils were chloroacetate esterase-positive which suggests that some Bsp-1+ cells are immature basophils.","['Bodger, M P', 'Newton, L A']","['Bodger MP', 'Newton LA']","['Cancer Society of New Zealand, Cytogenetics Unit, Christchurch Hospital.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal', 'Antigens, Surface/analysis', 'Basophils/*immunology', 'Bone Marrow/pathology', 'Cell Separation', 'Fetal Blood/cytology', 'Flow Cytometry', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid/blood']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']",ppublish,Br J Haematol. 1987 Nov;67(3):281-4. doi: 10.1111/j.1365-2141.1987.tb02348.x.,,['10.1111/j.1365-2141.1987.tb02348.x [doi]'],,,,,,
