PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,PMC,AD,EIN,SI,CIN,OID,OTO,OT,GN,LID,RF
3456091,NLM,MEDLINE,19860326,20071115,0026-4806 (Print) 0026-4806 (Linking),77,1-2,1986 Jan 14,[Neurological complications of acute myeloid leukemia in adults].,13-7,"Neurological involvement in acute myeloid leukaemia has become more common in recent years. The increase seems to be related to the longer survival rates made possible by more intensive treatment protocols. The predictive elements appear to be the tumour mass, cytomorphological variety M5, splenomegaly and serum LDH. Prophylaxis with craniospinal radiotherapy or spinal chemotherapy does not modify the course of the leukaemia or diminish the frequency of neuromeningeal complications. Six cases of AML involving the central nervous system were examined, two at onset and 4 at first relapse. Neuromeningeal complications are to be feared since they are extremely difficult to eradicate completely and the prognosis is extremely unfavourable especially if a bone marrow relapse occurs simultaneously.","['Pagano, L', 'Marra, R', 'De Stefano, V', 'Di Donfrancesco, A', 'Leone, G']","['Pagano L', 'Marra R', 'De Stefano V', 'Di Donfrancesco A', 'Leone G']",['ita'],"['Case Reports', 'English Abstract', 'Journal Article']",Le complicanze neurologiche in corso di leucemia mieloide acuta nell'adulto.,Italy,Minerva Med,Minerva medica,0400732,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/therapeutic use', 'Central Nervous System Diseases/*etiology/prevention & control', 'Cranial Nerve Diseases/etiology', 'Female', 'Headache/etiology', 'Humans', 'Leukemia, Myeloid, Acute/*complications/drug therapy/radiotherapy', 'Male', 'Meningeal Neoplasms/*etiology/prevention & control', 'Middle Aged', 'Paralysis/etiology', 'Paraplegia/etiology', 'Prognosis', 'Radiotherapy Dosage', 'Skull/radiation effects', 'Spine/radiation effects']",1986/01/14 00:00,1986/01/14 00:01,['1986/01/14 00:00'],"['1986/01/14 00:00 [pubmed]', '1986/01/14 00:01 [medline]', '1986/01/14 00:00 [entrez]']",ppublish,Minerva Med. 1986 Jan 14;77(1-2):13-7.,,,,,,,,,,,,,
3456079,NLM,MEDLINE,19860310,20131121,0028-4793 (Print) 0028-4793 (Linking),314,8,1986 Feb 20,Clinical pharmacodynamics of high-dose methotrexate in acute lymphocytic leukemia. Identification of a relation between concentration and effect.,471-7,"High-dose methotrexate (500 to 33,600 mg per square meter of body-surface area) with leucovorin rescue is a common component of therapy for acute lymphocytic leukemia. To increase understanding of the relation between the serum concentration and the effect of methotrexate, we conducted a randomized, prospective study of 108 children with ""standard-risk"" acute lymphocytic leukemia who were treated with 15 doses of methotrexate (1000 mg per square meter) that were infused over 24 hours. The median length of follow-up was 3.5 years from diagnosis for patients still in remission. Variability between patients in methotrexate clearance produced steady-state serum concentrations that ranged from 9.3 to 25.4 microM. Patients with median methotrexate concentrations of less than 16 microM (n = 59) had a lower probability of remaining in remission (P less than 0.05) than patients with concentrations of 16 microM or more (n = 49). Multivariate analyses indicated that patients with methotrexate concentrations of less than 16 microM were 3 times more likely to have any kind of relapse during therapy (P = 0.01) and 7 times more likely to have a hematologic relapse during therapy (P = 0.001). Stepwise Cox's regression identified leukemic-cell DNA content, methotrexate concentration, and hemoglobin as significant prognostic variables for hematologic relapse (P = 0.0005). We conclude that there is a concentration-effect relation for high-dose methotrexate in acute lymphocytic leukemia and that 1000 mg per square meter infused over a period of 24 hours may not be optimal for patients with relatively fast drug clearance.","['Evans, W E', 'Crom, W R', 'Abromowitch, M', 'Dodge, R', 'Look, A T', 'Bowman, W P', 'George, S L', 'Pui, C H']","['Evans WE', 'Crom WR', 'Abromowitch M', 'Dodge R', 'Look AT', 'Bowman WP', 'George SL', 'Pui CH']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,N Engl J Med,The New England journal of medicine,0255562,"['0 (DNA, Neoplasm)', '0 (Hemoglobins)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Analysis of Variance', 'Child', 'Child, Preschool', 'DNA, Neoplasm/analysis', 'Dose-Response Relationship, Drug', 'Female', 'Flow Cytometry', 'Hemoglobins/analysis', 'Humans', 'Infant', 'Infusions, Parenteral', 'Leukemia, Lymphoid/blood/*drug therapy', 'Leukocyte Count', 'Male', 'Metabolic Clearance Rate', 'Methotrexate/*administration & dosage/blood', 'Prospective Studies', 'Random Allocation', 'Recurrence']",1986/02/20 00:00,1986/02/20 00:01,['1986/02/20 00:00'],"['1986/02/20 00:00 [pubmed]', '1986/02/20 00:01 [medline]', '1986/02/20 00:00 [entrez]']",ppublish,N Engl J Med. 1986 Feb 20;314(8):471-7. doi: 10.1056/NEJM198602203140803.,"['CA20180/CA/NCI NIH HHS/United States', 'CA21765/CA/NCI NIH HHS/United States', 'R01-CA36401/CA/NCI NIH HHS/United States']",['10.1056/NEJM198602203140803 [doi]'],,,,,,,,,,,
3456074,NLM,MEDLINE,19860304,20190516,0025-6196 (Print) 0025-6196 (Linking),61,2,1986 Feb,Acute myelomonocytic leukemia: an unusual variant with both granulocytic and monocytic esterases in the leukemic cells.,104-9,"By using the combination of alpha-naphthyl butyrate esterase and chloroacetate esterase for cytochemical detection of monocytes and granulocytes, respectively, we examined and identified five adult patients with acute myeloid leukemia whose leukemic cells often (20 to 30%) had the characteristics of both monocytes and granulocytes. All five patients were men, 23 to 82 years of age. Two patients had manifestations of preleukemia. One of these two patients had received treatment for lymphoma for 12 months before acute myelomonocytic leukemia was diagnosed. One patient had gum hypertrophy, and two had leukemia cutis. At the time of initial examination, four patients had blood leukocyte counts higher than 80,000/mm3 and one had leukopenia. Four patients received chemotherapy; three responded temporarily but died within 1 year after the myelomonocytic leukemia had been diagnosed. The patient with leukopenia has remained in complete remission for 2 years. With more frequent use of double esterase stains for classification of acute myeloid leukemias, this variant of acute myelomonocytic leukemia should be detected more often and its clinical behavior should be better understood.","['Li, C Y', 'Phyliky, R L', 'Yam, L T']","['Li CY', 'Phyliky RL', 'Yam LT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",,England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,"['EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.- (chloroacetate esterase)', 'EC 3.1.1.- (naphthylbutyrate esterase)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Carboxylic Ester Hydrolases/blood', 'Granulocytes/*enzymology', 'Humans', 'Leukemia, Myeloid, Acute/*blood/complications/drug therapy', 'Leukopenia/complications', 'Male', 'Middle Aged', 'Monocytes/*enzymology', 'Preleukemia/complications']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",ppublish,Mayo Clin Proc. 1986 Feb;61(2):104-9. doi: 10.1016/s0025-6196(12)65195-7.,,"['S0025-6196(12)65195-7 [pii]', '10.1016/s0025-6196(12)65195-7 [doi]']",,,,,,,,,,,
3456073,NLM,MEDLINE,19860319,20190824,0145-2126 (Print) 0145-2126 (Linking),10,1,1986,Cell-cycle prognostic value in adult acute myeloid leukemia. The choice of the best variables.,51-7,"Flow cytometry with simultaneous analysis of DNA and protein content allows a most exhaustive study of cell-cycle for the prognostic evaluation of acute myeloid leukemia (AML). Sixty-seven cases of AML were studied before any form of chemotherapy had been undertaken. We determined the following cell-cycle variables: S, S + G2 + M, low protein content fraction (LPC-fraction) and high protein content fraction of G1 (HPC-G1). Patients were stratified according to age: S and S + G2 + M phases were higher for patients over 50 who did not achieve a complete remission. LPC-fraction was significantly lower for patients older than 50 who did not achieve a complete remission not only compared to the complete remission group of patients over 50, but also compared to the younger non responder group. The duration of survival was significantly longer when LPC-fraction was higher than 26% and HPC-G1 lower than 70%. Length of survival was also better when S + G2 + M was longer than 5.75%. Analysis of the therapy failure showed that S + G2 + M and LPC-fraction were significantly different between the complete remission group and the group of patients dying in aplasia. Overall, patients older than 50 with a proliferative leukemia had a worse prognosis.","['Ffrench, M', 'Bryon, P A', 'Fiere, D', 'Vu Van, H', 'Guyotat, D', 'Extra, J M', 'Viala, J J']","['Ffrench M', 'Bryon PA', 'Fiere D', 'Vu Van H', 'Guyotat D', 'Extra JM', 'Viala JJ']",['eng'],['Journal Article'],,England,Leuk Res,Leukemia research,7706787,['0 (Proteins)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Cell Cycle', 'Cell Division', 'Female', 'Flow Cytometry', 'Humans', 'Leukemia, Myeloid, Acute/mortality/*pathology', 'Male', 'Middle Aged', 'Prognosis', 'Proteins/analysis']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Leuk Res. 1986;10(1):51-7. doi: 10.1016/0145-2126(86)90105-0.,,['10.1016/0145-2126(86)90105-0 [doi]'],,,,,,,,,,,
3456072,NLM,MEDLINE,19860319,20190824,0145-2126 (Print) 0145-2126 (Linking),10,1,1986,Reactivity pattern of 'myeloid monoclonal antibodies' with emphasis on MCS-2.,17-23,"The reactivity pattern of the murine monoclonal antibody (MoAb) MCS-2 was tested on a panel of 724 cases of leukemia-lymphoma. MCS-2 was positive in 178/185 (96%) cases of AML (FAB M1-3), 10/10 cases of AMMol/AMoL (FAB M4/5), 42/45 (93%) cases of CML, 1/1 case of CMoL, 37/38 (97%) cases of CML-myeloid blast crisis, 0/9 cases of CML-lymphoid blast crisis. No positive staining was seen in 238 cases of T-CLL, mycosis fungoides, Sezary-syndrome, B-CLL, hairy cell leukemia, multiple myeloma and T- and B-lymphoma nor in 32 cases of B-ALL, Burkitt-lymphoma, Null-ALL and immature T-lymphoma. A positive expression was found in 8/110 cases of cALL, 1/6 cases of pre B-ALL and 1/35 cases of T-ALL. Fifteen other MoAbs (MCS-1, OKM1, My-1, Leu-M1, Leu-M3, CA-2-38, MY4, MY7, MY8, MY9, VIM-D2, VIM-D5, Mol, Mo2, 63D3) which are associated with the myelomonocytic cell lineages were tested by indirect immunofluorescence on 60 or more patients (62-149 cases). A wide variability in the frequency of positivity was seen for the panel of cases studied and for the blast cell populations per individual samples: 21-96% of the AML cases (FAB M1-3) and 31-100% of the AMMoL/AMoL cases (FAB M4/5) were positive for the various MoAbs. None of the analysed MoAbs stained only myelocytic or only monocytic leukemias, but a certain degree of preference for the monocytic variants was noted for Leu-M3, CA-2-38, MY4, VIM-D2, Mo2 and 63D3. The detection of MCS-2 on immature ALL blast cells might indicate a coexpression of lymphoid and myeloid markers on very immature cells, or an abnormal gene expression by malignant cells, or the identification of a so far undetected subclass of acute leukemias.","['Drexler, H G', 'Sagawa, K', 'Menon, M', 'Minowada, J']","['Drexler HG', 'Sagawa K', 'Menon M', 'Minowada J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Leuk Res,Leukemia research,7706787,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)']",IM,"['Adult', 'Animals', 'Antibodies, Monoclonal/*immunology', 'Antigens, Neoplasm/analysis', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia/*immunology/pathology', 'Leukemia, Myeloid, Acute/*immunology', 'Lymphoma/*immunology', 'Male', 'Mice', 'Mice, Inbred BALB C']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,Leuk Res. 1986;10(1):17-23. doi: 10.1016/0145-2126(86)90100-1.,,['10.1016/0145-2126(86)90100-1 [doi]'],,,,,,,,,,,
3456057,NLM,MEDLINE,19860228,20200724,0022-538X (Print) 0022-538X (Linking),57,2,1986 Feb,Common proviral integration region on mouse chromosome 7 in lymphomas and myelogenous leukemias induced by Friend murine leukemia virus.,526-33,"Friend murine leukemia virus (F-MuLV) induces a variety of hematopoietic neoplasms 2 to 12 months after inoculation into newborn mice. These neoplasms are clonal or oligoclonal and contain a small number of F-MuLV insertions in high-molecular-weight DNA. To investigate whether different tumors have proviral insertions in the same region, a provirus-cellular DNA junction fragment from an F-MuLV-induced myelogenous leukemia was cloned in lambda gtWES, and a portion of the flanking cellular DNA sequence was used in blot-hybridization studies of 34 additional F-MuLV-induced neoplasms. Three of these additional neoplasms (one myelogenous leukemia and two lymphomas) were found to have altered copies of the flanking cellular sequence. Restriction enzyme analysis of genomic DNA from these tumors revealed that in each case a proviral copy of F-MuLV had inserted into the same 1.5-kilobase region; all proviruses had the same orientation. Using mouse-Chinese hamster somatic cell hybrids, we mapped this common integration region, designated Fis-1, to mouse chromosome 7. Fis-1 is distinct from three oncogenes on mouse chromosome 7, Ha-ras, fes, and Int-2, based on restriction enzyme analysis and blot hybridization. Therefore, Fis-1 appears to be a novel sequence implicated in both lymphoid and myeloid leukemias induced by F-MuLV.","['Silver, J', 'Kozak, C']","['Silver J', 'Kozak C']",['eng'],['Journal Article'],,United States,J Virol,Journal of virology,0113724,"['0 (DNA, Neoplasm)', '0 (DNA, Viral)']",IM,"['Animals', '*Cell Transformation, Viral', 'Chromosome Mapping', 'Cloning, Molecular', 'DNA, Neoplasm/*genetics', 'DNA, Viral/genetics', 'Friend murine leukemia virus/*genetics', 'Genetic Linkage', 'Leukemia, Myeloid/*genetics/pathology', 'Lymphoma/*genetics/pathology', 'Mice', 'Oncogenes']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",ppublish,J Virol. 1986 Feb;57(2):526-33. doi: 10.1128/JVI.57.2.526-533.1986.,,['10.1128/JVI.57.2.526-533.1986 [doi]'],PMC252765,,,,,,,,,,
3456035,NLM,MEDLINE,19860314,20190630,0022-3476 (Print) 0022-3476 (Linking),108,2,1986 Feb,Greater susceptibility to hypothalamopituitary irradiation in younger children with acute lymphoblastic leukemia.,332,,"['Brauner, R', 'Czernichow, P', 'Rappaport, R']","['Brauner R', 'Czernichow P', 'Rappaport R']",['eng'],['Letter'],,United States,J Pediatr,The Journal of pediatrics,0375410,['9002-72-6 (Growth Hormone)'],IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Growth Hormone/*deficiency', 'Humans', 'Hypothalamo-Hypophyseal System/*radiation effects', 'Leukemia, Lymphoid/*radiotherapy', 'Radiotherapy/*adverse effects']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",ppublish,J Pediatr. 1986 Feb;108(2):332. doi: 10.1016/s0022-3476(86)81027-7.,,"['S0022-3476(86)81027-7 [pii]', '10.1016/s0022-3476(86)81027-7 [doi]']",,,,,,,,,,,
3456010,NLM,MEDLINE,19860326,20190508,0022-1007 (Print) 0022-1007 (Linking),163,2,1986 Feb 1,Influence of the murine MHC (H-2) on Friend leukemia virus-induced immunosuppression.,301-14,"Friend murine leukemia virus complex (FV)-induced immunosuppression was studied by assaying splenic anti-SRBC PFC responses and plasma antibody titers in mice at various times after FV inoculation. Genes located within the H-2 complex were found to influence resistance to FV-induced immunosuppression. Near normal responses were observed in mice having the H-2a/b or H-2b/b genotype, whereas mice having the H-2a/a genotype were suppressed. This H-2 effect was observed not only in mice having heterozygous C57BL/10 X A background genes, including Rfv-3r/s, but also was apparent in mice having homozygous A-strain background genes, including Rfv-3s/s. Therefore, the Rfv-3 gene did not appear to convey resistance to FV-induced immunosuppression. The suppression in susceptible H-2a/a mice was characterized by a partial suppression of the IgM response and a profound suppression of both the primary and secondary IgG responses. Neither splenomegaly nor viremia alone appeared to be sufficient for the induction or maintenance of the immunosuppression. The mechanism of suppression was unclear, but both B lymphocyte and T lymphocyte functions appeared to be altered.","['Morrison, R P', 'Nishio, J', 'Chesebro, B']","['Morrison RP', 'Nishio J', 'Chesebro B']",['eng'],['Journal Article'],,United States,J Exp Med,The Journal of experimental medicine,2985109R,['0 (H-2 Antigens)'],IM,"['Animals', 'Antibody Formation', 'Colony-Forming Units Assay', 'Friend murine leukemia virus/*physiology', 'H-2 Antigens/genetics/*immunology', 'Immunity, Cellular', 'Immunologic Deficiency Syndromes/*etiology/genetics', 'Leukemia, Erythroblastic, Acute/complications/*immunology', 'Leukemia, Experimental/complications/*immunology', 'Mice', 'Mice, Inbred BALB C/genetics/immunology', 'Mice, Inbred Strains/genetics/immunology', 'Splenomegaly/immunology', 'Viremia/immunology']",1986/02/01 00:00,1986/02/01 00:01,['1986/02/01 00:00'],"['1986/02/01 00:00 [pubmed]', '1986/02/01 00:01 [medline]', '1986/02/01 00:00 [entrez]']",ppublish,J Exp Med. 1986 Feb 1;163(2):301-14. doi: 10.1084/jem.163.2.301.,,['10.1084/jem.163.2.301 [doi]'],PMC2188032,,,,,,,,,,
3456003,NLM,MEDLINE,19860320,20190723,0022-1759 (Print) 0022-1759 (Linking),86,2,1986 Feb 12,Europium-labelled target cells in an assay of natural killer cell activity. I. A novel non-radioactive method based on time-resolved fluorescence.,225-9,"The use of a new marker for labelling cells used as targets for natural killer cells is described. The human erythroleukaemic cell line K-562 was used as target. The cells were labelled with europium diethylenetriaminopentaacetate (EuDTPA) chelates. The detection of the released marker is based on time-resolved fluorometry. The results obtained show that the method is sensitive, specific and rapid. The high specific activity of the marker and the sensitivity of the detection apparatus result in numeric values (counts per second) which are 10-20 times higher than the values (counts per minute) obtained with 51chromium. In comparison with 51chromium release assay the labelling of target cells is less time consuming, the marker release more rapid and the detection time of released marker only 1 second per tube. The use of this non-radioactive marker is an alternative way of measuring natural killer cell mediated cytolysis of target cells.","['Blomberg, K', 'Granberg, C', 'Hemmila, I', 'Lovgren, T']","['Blomberg K', 'Granberg C', 'Hemmila I', 'Lovgren T']",['eng'],['Journal Article'],,Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Chelating Agents)', '444W947O8O (Europium)']",IM,"['Cell Line', 'Cell Membrane Permeability', 'Chelating Agents', '*Cytotoxicity Tests, Immunologic', '*Europium', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia, Erythroblastic, Acute/immunology', 'Spectrometry, Fluorescence']",1986/02/12 00:00,1986/02/12 00:01,['1986/02/12 00:00'],"['1986/02/12 00:00 [pubmed]', '1986/02/12 00:01 [medline]', '1986/02/12 00:00 [entrez]']",ppublish,J Immunol Methods. 1986 Feb 12;86(2):225-9. doi: 10.1016/0022-1759(86)90457-6.,,"['0022-1759(86)90457-6 [pii]', '10.1016/0022-1759(86)90457-6 [doi]']",,,,,,,,,,,
3455931,NLM,MEDLINE,19860303,20181113,0021-9738 (Print) 0021-9738 (Linking),77,1,1986 Jan,Relationship between HLA-DR expression by normal myeloid progenitor cells and inhibition of colony growth by prostaglandin E. Implications for prostaglandin E resistance in chronic myeloid leukemia.,13-20,"The expression of HLA-DR antigens by normal myeloid progenitor cells (CFU-GM) has been linked to inhibition of colony growth by prostaglandin E (PGE), while resistance to the inhibitory effects of PGE in chronic myeloid leukemia (CML) has been attributed to a lower fraction of HLA-DR+ CFU-GM in this disease. However, we have previously shown that virtually all CFU-GM in normal bone marrow (NBM) as well as CML peripheral blood express HLA-DR antigens, which raises the possibility that these surface molecules may not be the sole determinants of a progenitor cell's sensitivity to PGE. In order to evaluate the relationship between HLA-DR expression and prostaglandin inhibition, we partially purified NBM progenitor cells using fluorescence-activated cell sorting to prepare cell fractions with high and low HLA-DR antigen density. Normal progenitor cells with high DR density tended to form monocyte colonies in agar culture, whereas the low DR density fraction was enriched for granulocyte colony-forming cells. Inhibition by PGE was greatest in the high DR+ fraction and was largely restricted to monocyte progenitor cells. Inhibition of CFU-GM by PGE was less in CML than in NBM, but this decreased inhibition correlated with a significantly lower number of monocyte-CFU in CML. These data suggest that high HLA-DR antigen density may select for normal progenitor cells that are committed to monocyte differentiation and are, therefore, more likely to be inhibited by PGE. The relative deficit of monocyte progenitor cells in CML may partially explain the phenomenon of PGE resistance in this disease.","['Cannistra, S A', 'Herrmann, F', 'Davis, R', 'Nichols, K', 'Griffin, J D']","['Cannistra SA', 'Herrmann F', 'Davis R', 'Nichols K', 'Griffin JD']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Growth Inhibitors)', '0 (HLA-DR Antigens)', '0 (Histocompatibility Antigens Class II)', '0 (Suspensions)', 'F5TD010360 (Alprostadil)']",IM,"['Alprostadil/*pharmacology', 'Bone Marrow Cells', 'Cell Differentiation/drug effects', 'Cells, Cultured', 'Granulocytes/classification/cytology/immunology', 'Growth Inhibitors/*pharmacology', 'HLA-DR Antigens', 'Hematopoiesis/drug effects', 'Hematopoietic Stem Cells/*immunology/pathology', 'Histocompatibility Antigens Class II/*analysis', 'Humans', 'Leukemia, Myeloid/*immunology/pathology', 'Macrophages/classification/cytology/immunology', 'Suspensions', 'Tumor Stem Cell Assay']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",ppublish,J Clin Invest. 1986 Jan;77(1):13-20. doi: 10.1172/JCI112267.,"['5T32CA09172-09/CA/NCI NIH HHS/United States', 'CA19389/CA/NCI NIH HHS/United States', 'CA36167/CA/NCI NIH HHS/United States']",['10.1172/JCI112267 [doi]'],PMC423301,,,,,,,,,,
