PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AD,GR,RN,AID,CIN,EIN,TT,PMC,SI,OID,OAB,OABL,OTO,OT,GN
3334394,NLM,MEDLINE,19890818,20110728,0021-5384 (Print) 0021-5384 (Linking),76,5,1987 May,[Review on internal medicine (1986). Recent progress in hematology. 5. Bone marrow transplantation].,954-7,"['Masaoka, T']",['Masaoka T'],['jpn'],"['Journal Article', 'Review']",Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,IM,"['Adult', '*Bone Marrow Transplantation', 'Female', 'Humans', 'Leukemia/surgery', 'Male']",3,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Nihon Naika Gakkai Zasshi. 1987 May;76(5):954-7.,,,,,,,,,,,,,,,,
3334348,NLM,MEDLINE,19890801,20071115,0886-0238 (Print) 0886-0238 (Linking),1,3,1987,Chronic myelomonocytic leukemia terminating as malignant histiocytosis.,183-9,"['Doll, D C', 'Grogan, T M', 'Greenberg, B R']","['Doll DC', 'Grogan TM', 'Greenberg BR']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Aged', 'Bone Marrow/pathology', 'Cell Transformation, Neoplastic/*pathology', 'Histiocytic Sarcoma/etiology/*pathology', 'Humans', 'Leukemia, Myelomonocytic, Chronic/complications/*pathology', 'Lymph Nodes/pathology', 'Male']",30,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1987;1(3):183-9.,"A patient with a 3.5 year history of chronic myelomonocytic leukemia who transformed to malignant histiocytosis is reported. The terminal event was characterized by fever, hepatosplenomegaly, thrombocytopenia, and a leukemic blood picture. The pathogenesis of this terminal transformation and proposed future studies are discussed.","['Veterans Administration Medical Center, Phoenix, Arizona 85012.']",,,,,,,,,,,,,,
3334347,NLM,MEDLINE,19890801,20071114,0886-0238 (Print) 0886-0238 (Linking),1,3,1987,Immunoenzymatic method for detection of terminal deoxynucleotidyl transferase by light and electron microscopy.,173-81,"['Di Primio, R', 'Bollum, F J']","['Di Primio R', 'Bollum FJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Alkaline Phosphatase', 'Animals', 'Antibodies, Monoclonal', 'DNA Nucleotidylexotransferase/*analysis', 'Fluorescent Antibody Technique', 'Horseradish Peroxidase', 'Humans', '*Immunoenzyme Techniques', 'Immunoglobulin G', 'Mice', 'Microscopy, Electron', 'Rabbits', 'Tumor Cells, Cultured/*enzymology/pathology/ultrastructure']",,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1987;1(3):173-81.,"Methods for using rabbit polyclonal and mouse monoclonal antibodies to detect terminal deoxynucleotidyl transferase (TdT) in human leukemia lines were developed. Use of 1% paraformaldehyde in 0.1 M Na cacodylate buffer, pH 7.6, as a fixative provides a procedure that can be used for immunofluorescence, immunoalkaline phosphatase (APAAP), or horseradish peroxidase conjugate detection procedures in these cell lines. The peroxidase procedure can also be used for electron microscopy, clearly demonstrating nuclear localization of TdT in interphase nuclei of TdT-positive cells.","['Department of Biochemistry, Uniformed Services University of the Health Sciences, Bethesda, Maryland 20814-5044.']",['CA-23262/CA/NCI NIH HHS/United States'],"['0 (Antibodies, Monoclonal)', '0 (IGG-horseradish peroxidase)', '0 (Immunoglobulin G)', 'EC 1.11.1.- (Horseradish Peroxidase)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",,,,,,,,,,,,
3334245,NLM,MEDLINE,19890711,20191029,8755-5093 (Print) 1026-5457 (Linking),1,3,1987,Fluorescent inhibitors of a cell surface protease used to locate leukaemia cells in kidney sections.,203-13,"['Steven, F S', 'Griffin, M M', 'Wong, T L', 'Jackson, H', 'Barnett, F']","['Steven FS', 'Griffin MM', 'Wong TL', 'Jackson H', 'Barnett F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,J Enzyme Inhib,Journal of enzyme inhibition,8709734,IM,"['Animals', 'Biomarkers/*analysis', 'Carboxylic Ester Hydrolases/*analysis', 'Cell Membrane/*enzymology', '*Endopeptidases', 'Fluorescent Dyes', 'Kidney/*pathology', 'Leukemia, Experimental/enzymology/*pathology', 'Peptide Hydrolases/*analysis', '*Protease Inhibitors', 'Rats']",,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,J Enzyme Inhib. 1987;1(3):203-13. doi: 10.3109/14756368709020117.,"Guanidinobenzoatase is a trypsin-like protease on the surface of cells capable of migration, for example leukaemia cells. We have used a number of fluorescent probes that are competitive inhibitors of guanidinobenzoatase to locate leukaemia cells in resin sections of kidney tissue obtained from leukaemic rats. We have demonstrated how this competitive inhibition system can be used to direct desired molecules (such as cytotoxic drugs) to these cells and to monitor the arrival of such compounds at the active site of guanidinobenzoatase. The principles developed in this study could equally well be applied to other enzymes on other cells provided suitable competitive inhibitors were designed. The presence of an enzyme on the surface of a cell can be used to direct molecules to that cell provided that these molecules contain a functional group that acts as an inhibitor for the chosen enzyme.","['Department of Biochemistry, University of Manchester, UK.']",,"['0 (Biomarkers)', '0 (Fluorescent Dyes)', '0 (Protease Inhibitors)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.- (guanidinobenzoate esterase)', 'EC 3.4.- (Endopeptidases)', 'EC 3.4.- (Peptide Hydrolases)']",['10.3109/14756368709020117 [doi]'],,,,,,,,,,,
3334244,NLM,MEDLINE,19890711,20191029,8755-5093 (Print) 1026-5457 (Linking),1,3,1987,"Further inhibition studies on guanidinobenzoatase, a trypsin-like enzyme associated with tumour cells.",187-201,"['Steven, F S', 'Griffin, M M', 'Wong, T L', 'Yasmin, R', 'Mangel, W F']","['Steven FS', 'Griffin MM', 'Wong TL', 'Yasmin R', 'Mangel WF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Switzerland,J Enzyme Inhib,Journal of enzyme inhibition,8709734,IM,"['Animals', 'Binding Sites', 'Carboxylic Ester Hydrolases/*antagonists & inhibitors', 'Carcinoma, Ehrlich Tumor/enzymology', '*Endopeptidases', 'Kinetics', 'Mice', 'Protease Inhibitors/*pharmacology', '*Trypsin']",24,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,J Enzyme Inhib. 1987;1(3):187-201. doi: 10.3109/14756368709020116.,"Guanidinobenzoatase is a proteolytic enzyme capable of degrading fibronectin and is a tumour associated enzyme. Guanidinobenzoatase has been shown to be an arginine selective protease and is distinct from trypsin, plasminogen activator, plasmin, thrombin and a newly described tumour associated enzyme specific for guanidino phenylalanine residues. These conclusions have been derived from inhibition studies employing 4-methyl-p-guanidinobenzoate as substrate. Three active site titrants for trypsin have been shown to be good substrates for guanidinobenzoatase. A new active site titrant for trypsin, rhodamine bisguanidinobenzoate, can also be used to assay guanidinobenzoatase in a stoichiometric manner. This active site titrant can be employed to label guanidinobenzoate on the surface of leukaemia cells.","['Department of Biochemistry, University of Manchester, UK.']",,"['0 (Protease Inhibitors)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.- (guanidinobenzoate esterase)', 'EC 3.4.- (Endopeptidases)', 'EC 3.4.21.4 (Trypsin)']",['10.3109/14756368709020116 [doi]'],,,,,,,,,,,
3334074,NLM,MEDLINE,19890602,20211203,0026-6620 (Print) 0026-6620 (Linking),83,9,1986 Sep,Invasive pulmonary aspergillosis. Report of a case.,626-30,"['Salmassi, S', 'Anwar, A', 'Salem, T', 'Zarabi, C M', 'Reisz, G']","['Salmassi S', 'Anwar A', 'Salem T', 'Zarabi CM', 'Reisz G']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Mo Med,Missouri medicine,0400744,IM,"['Adult', 'Amphotericin B/therapeutic use', 'Aspergillosis/drug therapy/*etiology/pathology', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Lung Diseases, Fungal/drug therapy/*etiology/pathology', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/drug therapy']",27,1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",ppublish,Mo Med. 1986 Sep;83(9):626-30.,,,,['7XU7A7DROE (Amphotericin B)'],,,,,,,,,,,,
3333500,NLM,MEDLINE,19890327,20071115,,18,,1987,Environment and malignancies of the lymphatic system.,87-94,"['Ramot, B', 'Ben-Bassat, I']","['Ramot B', 'Ben-Bassat I']",['eng'],"['Journal Article', 'Review']",United States,Princess Takamatsu Symp,Princess Takamatsu symposia,9301172,IM,"['Child', 'Developing Countries', 'Environment', 'Humans', 'Intestinal Neoplasms/epidemiology/etiology', 'Lymphoma/epidemiology/*etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/*etiology', 'Risk Factors']",31,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Princess Takamatsu Symp. 1987;18:87-94.,The possible effects of environmental factors on childhood lymphatic leukemia and intestinal lymphoma are reviewed. It is suggested that the subtype of childhood acute leukemia is determined by a spontaneous mutation in the proliferating lymphoid pool. The latter is affected by environmental factors such as the type of infections in the pediatric population. The changing leukemia subtype pattern in the Gaza Strip and the fact that intestinal lymphoma with malabsorption has practically disappeared from Israel strongly suggest that environmental factors do play a role in lymphatic malignancies.,"['Department of Hematology, Chaim Sheba Medical Center, Tel-Hashomer, Israel.']",,,,,,,,,,,,,,
3333495,NLM,MEDLINE,19890327,20051116,,18,,1987,Keynote lecture. The familial syndrome of sarcomas and other neoplasms.,243-9,"['Li, F P']",['Li FP'],['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Princess Takamatsu Symp,Princess Takamatsu symposia,9301172,IM,"['Breast Neoplasms/epidemiology/*genetics', 'Female', 'Humans', 'Male', 'Pedigree', 'Sarcoma/epidemiology/*genetics', 'Syndrome']",35,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Princess Takamatsu Symp. 1987;18:243-9.,"Observation of one kindred with sarcoma, breast cancer and other neoplasms has led to the recognition of a familial cancer syndrome in young patients. To date, 24 affected families have been enrolled in the Cancer Family Registry of the National Cancer Institute, and 21 others have been reported in the literature. The major feature of the syndrome is an autosomal dominant pattern of breast cancers and sarcomas of bone and soft tissue at unusually early ages. Additional components of the syndrome appear to be brain tumors, leukemia, and adrenocortical carcinoma in children and adolescents. Family members are prone to develop multiple primary cancer. In addition to descriptive reports, the syndrome has been detected in segregation analysis of a consecutive series of children with soft tissue sarcomas; in studies of breast cancer among mothers of unselected children with sarcomas; and in prospective observation for new cancers in our previously reported families. Laboratory studies are in progress to seek the gene(s) associated with this syndrome of diverse cancers. Studies of this rare disorder may provide new insights into the pathogenesis of the 5 component tumors, particularly breast cancer, the commonest cancer among women in the United States and elsewhere.","['Clinical Studies Section, National Cancer Institute, Boston, Massachusetts 02115.']",,,,,,,,,,,,,,
3333494,NLM,MEDLINE,19890327,20051116,,18,,1987,Chromosomes and cancer families.,233-42,"['Harnden, D G']",['Harnden DG'],['eng'],"['Journal Article', 'Review']",United States,Princess Takamatsu Symp,Princess Takamatsu symposia,9301172,IM,"['Chromosome Aberrations', '*Chromosomes, Human', 'Humans', 'Neoplasms/*genetics']",33,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Princess Takamatsu Symp. 1987;18:233-42.,"At the beginning of this century Theodor Boveri predicted that specific chromosome changes would be found to have a causal role in neoplasia. We are now beginning to acquire the evidence to substantiate this hypothesis. The evidence comes from two particular sources, (i) genetic environmental interactions and (ii) specific constitutional chromosome aberrations. Cancer incidence varies throughout the world. This is often due to the interaction of an environmental agent with a genetically varied population. Using UV and ionising radiation as examples it is argued that some individuals are more susceptible to genetic damage by these agents. Moreover, the genetic lesions which are caused by these agents are now being shown to be relevant to cancer. In the radiosensitive syndrome ataxia-telangiectasia for example, specific chromosome rearrangements have been defined which seem likely to be directly involved in the development of leukaemia in these patients. The second line of evidence comes from the study of patients who have constitutional chromosome abnormalities associated with susceptibility to specific cancers. It has now been shown that these chromosome changes mark the location of genes which are involved in the development of cancer and that these same loci are also important in the non-familial forms of these diseases. Thus we are beginning to understand for the first time the mechanistic pathway that leads from environmental agents, through chromosome damage, to the alteration of specific genes which control the neoplastic process.","['Paterson Institute for Cancer Research, Christie Hospital and Holt Radium Institute, Manchester, England, UK.']",,,,,,,,,,,,,,
3333493,NLM,MEDLINE,19890327,20051116,,18,,1987,HTLV-I-associated myelopathy: an overview.,181-6,"['Igata, A']",['Igata A'],['eng'],"['Journal Article', 'Review']",United States,Princess Takamatsu Symp,Princess Takamatsu symposia,9301172,IM,"['HTLV-I Infections/*complications', 'Human T-lymphotropic virus 1/pathogenicity', 'Humans', 'Spinal Cord Diseases/*etiology/microbiology']",17,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Princess Takamatsu Symp. 1987;18:181-6.,"From our past clinical observations, we have identified a cluster of cases with distinct neurological manifestations and, together with our viral studies, it has been proven that in fact these cases belong to a new clinical entity. The association of this slowly progressive spastic paraparesis with human T-cell lymphotropic virus type I (HTLV-I) enabled us to designate this clinical entity as HTLV-I-associated myelopathy or HAM. Later studies showed that 1) the geographical distribution of HAM follows that of adult T-cell leukemia (ATL) and 2) viruses detected in both disorders were identical by DNA blotting assay, but HAM and ATL are definitely expressed clinically as distinct from the other. In this regard, human leukocyte antigen (HLA) studies and the pattern of immune responsiveness seem to show a clear segregation of one from the other. As many initially studied cases have responded favorably to corticosteroids and had frequent perivascular cuffing in the spinal cord of a necropsied case, it is likely that, in part, immune events play a role in the pathogenesis. Our efforts are now directed to determining whether a) HAM is purely an autoimmune process, or b) a slow virus infection with a long incubation period may be the culprit.","['Kagoshima University, Japan.']",,,,,,,,,,,,,,
