PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,SI,TT,PMC,CIN,EIN,OID,LID
3282128,NLM,MEDLINE,19880517,20190824,0145-2126 (Print) 0145-2126 (Linking),12,1,1988,Oncogenes in chronic lymphocytic leukemia.,89-92,"Oncogenes, in the context of retroviruses, are a common cause of leukemia in animals. Recently, activation of cellular oncogenes has been shown to be associated with leukemia in humans. Relatively few studies of oncogene activation in chronic lymphocytic leukemia (CLL) have been reported. In most instances, rearrangement of oncogenes has not been detected. Exceptions include the bcl-1 oncogene in B-cell prolymphocytic leukemia, the tcl-1 oncogene in T-cell CLL, the Hu-ets-1 and Hu-ets-2 oncogenes in small cell lymphocytic lymphoma and c-myc in a Sezary cell leukemia cell/line. Overall, it appears that oncogene abnormalities are less common in CLL than in other leukemias. The reason for it is uncertain and may relate to the relatively few cases evaluated. Alternatively, novel mechanisms of oncogene involvement or gene other than oncogenes may be important in the etiology or pathogenesis of CLL.","['Butturini, A', 'Gale, R P']","['Butturini A', 'Gale RP']","['Department of Pediatrics, UCLA School of Medicine, Los Angeles, CA 90024.']",['eng'],"['Journal Article', 'Review']",England,Leuk Res,Leukemia research,7706787,IM,"['Humans', 'Leukemia, Lymphoid/*genetics', '*Oncogenes']",24,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1016/s0145-2126(98)80013-1 [doi]'],ppublish,Leuk Res. 1988;12(1):89-92. doi: 10.1016/s0145-2126(98)80013-1.,,,,,,,,,
3282127,NLM,MEDLINE,19880517,20190824,0145-2126 (Print) 0145-2126 (Linking),12,1,1988,CAMAL: a new prognostic marker for remission in acute nonlymphoblastic leukemia.,19-24,"A leukemia-associated antigen, CAMAL, shown to be present in bone marrow (BM) cells from patients with acute nonlymphoblastic leukemia (ANLL) even during remission, has been examined using indirect immunoperoxidase and a monoclonal antibody, CAMAL-1. We are ending the third year of an ongoing blind study designed to monitor the number of BM cells expressing the CAMAL protein (CAMAL BM value) in ANLL patients over the course of their disease. Results thus far have revealed that the CAMAL BM value in individual patients often changed significantly post-chemotherapy. This change appeared to be a useful prognostic marker in many instances. ANLL patients at initial presentation whose CAMAL BM values increased or stayed the same post-chemotherapy had significantly (p less than 0.025) shorter remission lengths (x = 6.8 months, n = 24) than those whose CAMAL BM values decreased (x = 19.2 months, n = 10). There are indications that increasing CAMAL BM values during remission occur prior to clinical relapse.","['Logan, P M', 'Whitney, S', 'Naiman, S', 'Levy, J G']","['Logan PM', 'Whitney S', 'Naiman S', 'Levy JG']","['Department of Microbiology, University of British Columbia, Vancouver, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,"['Acute Disease', 'Antigens, Differentiation, Myelomonocytic', 'Antigens, Neoplasm/*analysis', 'Biomarkers, Tumor/*analysis', 'Bone Marrow/analysis/pathology', 'Bone Marrow Transplantation', 'Double-Blind Method', 'Humans', 'Leukemia/mortality/*pathology/therapy', 'Neoplasm Recurrence, Local', 'Prognosis', 'Remission Induction']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1016/s0145-2126(98)80004-0 [doi]'],ppublish,Leuk Res. 1988;12(1):19-24. doi: 10.1016/s0145-2126(98)80004-0.,"['0 (Antigens, Differentiation, Myelomonocytic)', '0 (Antigens, Neoplasm)', '0 (Biomarkers, Tumor)', '0 (common myelogenous leukemia-associated antigen)']",,,,,,,,
3282090,NLM,MEDLINE,19880516,20061115,0021-4949 (Print) 0021-4949 (Linking),34,3,1988 Mar,[Effects of regimens of total body irradiation on interstitial pneumonitis after bone marrow transplantation].,311-20,"Data from 224 patients with leukemia who received TBI followed with allogeneic BMT between 1975 and 1985 were retrospectively analyzed to determine the effects of dose-fractionation factors on the incidences of interstitial pneumonitis (IP). Among several factors examined, the fraction size most predominantly correlated with the IP rate. The selection of the optimal dose rate adjusted to the fraction size also contributed to decreasing the rate of the IP. The total lung dose significantly correlated with the IP rate on a single dose, and the fractionated TBI with a high fraction dose. The dose-response curves of idiopathic IP, derived by a multivariate analyses using the three factors mentioned above, have been presented.","['Sugawara, T', 'Inoue, T', 'Mori, T', 'Iino, Y', 'Masaoka, T']","['Sugawara T', 'Inoue T', 'Mori T', 'Iino Y', 'Masaoka T']","['Dept. of Radiotherapy, Jichi Medical School.']",['jpn'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan No Rinsho,Gan no rinsho. Japan journal of cancer clinics,1257753,IM,"['*Bone Marrow Transplantation', 'Humans', 'Leukemia/radiotherapy/*therapy', 'Pulmonary Fibrosis/*etiology', 'Radiotherapy Dosage', 'Risk Factors', '*Whole-Body Irradiation/adverse effects']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",,ppublish,Gan No Rinsho. 1988 Mar;34(3):311-20.,,,,,,,,,
3282078,NLM,MEDLINE,19880526,20190510,0027-8874 (Print) 0027-8874 (Linking),80,5,1988 May 4,Randomized study of the duration of treatment with interferon alfa-2B in patients with hairy cell leukemia.,369-73,"Several previous studies have demonstrated that both partially purified and recombinant alpha-interferons (alpha-IFNs) have high response rates in advanced hairy cell leukemia. However, the optimal dose and duration of therapy have not yet been defined. In this study, 90 patients were randomized after 12 months of IFN alfa-2b therapy with a standard dose of 2 X 10(6) U/m2 sc three times weekly to either no further therapy or an additional 6 months of therapy (18 mo total). There was no significant difference in the peripheral blood cell counts between the two groups (when analyzed) dating from the end of IFN therapy rather than from the time of randomization. Eighteen evaluable patients relapsed and were re-treated with IFN: 11 in the no-further-therapy group and 7 in the treated group. No patient was resistant to re-treatment with IFN. There was a significantly greater incidence of fatigue in the treated group (44% vs. 21%; P = .02) during the first 6 postrandomization months. We conclude that the duration of IFN therapy does not influence the clinical course after therapy is discontinued, but responses are maintained while patients receive therapy. However, because of a high incidence of fatigue with prolonged therapy and the ability to reinduce a second response, we recommend that IFN therapy be discontinued after 12 months in asymptomatic patients.","['Golomb, H M', 'Ratain, M J', 'Fefer, A', 'Thompson, J', 'Golde, D W', 'Ozer, H', 'Portlock, C', 'Silber, R', 'Rappeport, J', 'Bonnem, E']","['Golomb HM', 'Ratain MJ', 'Fefer A', 'Thompson J', 'Golde DW', 'Ozer H', 'Portlock C', 'Silber R', 'Rappeport J', 'Bonnem E', 'et al.']","['Joint Section of Hematology/Oncology, University of Chicago Medical Center IL 60627.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Clinical Trials as Topic', 'Humans', 'Interferon Type I/adverse effects/*therapeutic use', 'Leukemia, Hairy Cell/*therapy', 'Random Allocation', 'Recombinant Proteins/adverse effects/therapeutic use', 'Time Factors']",,1988/05/04 00:00,1988/05/04 00:01,['1988/05/04 00:00'],"['1988/05/04 00:00 [pubmed]', '1988/05/04 00:01 [medline]', '1988/05/04 00:00 [entrez]']",['10.1093/jnci/80.5.369 [doi]'],ppublish,J Natl Cancer Inst. 1988 May 4;80(5):369-73. doi: 10.1093/jnci/80.5.369.,"['0 (Interferon Type I)', '0 (Recombinant Proteins)']",,,,,,,,
3282032,NLM,MEDLINE,19880518,20170210,0732-183X (Print) 0732-183X (Linking),6,4,1988 Apr,Maintenance chemotherapy prolongs remission duration in adult acute nonlymphocytic leukemia.,583-7,"The value of maintenance therapy after the achievement of complete remission in adult acute nonlymphocytic leukemia (ANLL) has never been clearly established. A randomized Eastern Cooperative Oncology Group (ECOG) study of postremission therapy compared outcomes in patients who received no further therapy to those administered long-term maintenance chemotherapy. Adverse results in the group administered no further therapy led to early termination of this trial after only 51 patients were randomized. Patients receiving no postremission therapy experienced significantly inferior remission durations (P = .002) compared with patients receiving maintenance therapy. All 26 patients in the group administered no postremission therapy have relapsed, with a median duration of remission of 4.1 months. In contrast, four of 25 patients (16%) who received maintenance therapy remain disease free, with a median duration of remission of 8.1 months.","['Cassileth, P A', 'Harrington, D P', 'Hines, J D', 'Oken, M M', 'Mazza, J J', 'McGlave, P', 'Bennett, J M', ""O'Connell, M J""]","['Cassileth PA', 'Harrington DP', 'Hines JD', 'Oken MM', 'Mazza JJ', 'McGlave P', 'Bennett JM', ""O'Connell MJ""]","['Hospital of the University of Pennsylvania, Philadelphia 19104.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Clinical Trials as Topic', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Follow-Up Studies', 'Humans', 'Leukemia/*drug therapy', 'Thioguanine/administration & dosage']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['10.1200/JCO.1988.6.4.583 [doi]'],ppublish,J Clin Oncol. 1988 Apr;6(4):583-7. doi: 10.1200/JCO.1988.6.4.583.,"['04079A1RDZ (Cytarabine)', 'FTK8U1GZNX (Thioguanine)', 'ZS7284E0ZP (Daunorubicin)']","['CA 15488/CA/NCI NIH HHS/United States', 'CA 21115/CA/NCI NIH HHS/United States', 'CA 23318/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,
3282031,NLM,MEDLINE,19880518,20211203,0732-183X (Print) 0732-183X (Linking),6,4,1988 Apr,High-dose cytarabine and total body irradiation with or without cyclophosphamide as a preparative regimen for marrow transplantation for acute leukemia.,576-82,"Twenty-nine patients were conditioned for allogeneic marrow transplant with cytarabine (ara-C) (3 g/m2 every 12 hours for 12 doses) and total body irradiation (TBI) (200 cGy daily for six days) with or without cyclophosphamide (CY) (60 mg/kg) to determine toxicity and efficacy. Four patients had chronic myelogenous leukemia (CML) in accelerated phase or blast crisis, and 25 patients had acute leukemia, 24 at stages later than first remission. Three patients (10%) had fatal regimen-related toxicity and another 10% experienced severe toxicity in at least one organ system. The addition of CY to the ara-C and TBI regimen was not associated with an increase in the frequency of severe toxicity. Twenty-five of 29 patients engrafted eight to 33 days posttransplant: three died early before engraftment, and one patient failed to engraft. Ten of 29 patients are alive without disease, and the actuarial probability of disease-free survival for the entire group at 3 years is 33%. Three of ten patients with acute nonlymphocytic leukemia (ANL), six of 15 with acute lymphocytic leukemia (ALL), and one of four with CML are alive and disease free 25 to 42 months (median, 30 months) after transplant. High-dose ara-C (HDara-C) and TBI with or without CY can be administered with approximately the same toxicity as CY plus TBI. Phase III studies appear warranted to determine if these newer regimens provide improved results compared with currently used regimens.","['Riddell, S', 'Appelbaum, F R', 'Buckner, C D', 'Stewart, P', 'Clift, R', 'Sanders, J', 'Storb, R', 'Sullivan, K', 'Thomas, E D']","['Riddell S', 'Appelbaum FR', 'Buckner CD', 'Stewart P', 'Clift R', 'Sanders J', 'Storb R', 'Sullivan K', 'Thomas ED']","['Fred Hutchinson Cancer Research Center, Seattle, WA 98104.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', '*Bone Marrow Transplantation', 'Child', 'Clinical Trials as Topic', 'Cyclophosphamide/administration & dosage/*therapeutic use', 'Cytarabine/administration & dosage/*therapeutic use', 'Humans', 'Immunosuppression Therapy', 'Infant', 'Leukemia/drug therapy/*therapy', 'Leukemia, Lymphoid/drug therapy/therapy', 'Leukemia, Myeloid/drug therapy/therapy']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['10.1200/JCO.1988.6.4.576 [doi]'],ppublish,J Clin Oncol. 1988 Apr;6(4):576-82. doi: 10.1200/JCO.1988.6.4.576.,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)']","['AI 02425/AI/NIAID NIH HHS/United States', 'CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States']",,,,,,,
3281941,NLM,MEDLINE,19880523,20210210,0021-9258 (Print) 0021-9258 (Linking),263,11,1988 Apr 15,Endocytosis of N-acetylglucosamine-containing glycoproteins by rat fibroblasts expressing a single species of chicken liver glycoprotein receptor.,5468-73,"A cDNA clone for the chicken liver receptor which mediates endocytosis of glycoproteins containing terminal N-acetylglucosamine has been isolated and sequenced, confirming the previously obtained amino acid sequence of this protein (which is also known as the chicken hepatic lectin). This cDNA was introduced into Rat-1 fibroblasts and expressed using the promotor in the long terminal repeat of Moloney murine leukemia virus. Cells expressing chicken receptor were identified by screening with antireceptor antibodies followed by fluorescein-conjugated second antibodies. Receptor expressed in these cells was indistinguishable on gel electrophoresis from receptor isolated from liver. Three clonally isolated lines were examined for their ability to bind agalacto-alpha 1-acid glycoproteins at 0 degrees C and to take up and degrade this ligand at 37 degrees C. The receptor number (50,000/cell), affinity for ligand (35 nM), and uptake rate (5 molecules ligand/surface receptor/h) are similar to those previously observed for chicken hepatocytes, and for the uptake of asialoglycoproteins by rat hepatocytes and hepatoma cells. These findings indicate that the chicken receptor correctly traverses the endocytic pathway in a rat cell even though the cytoplasmic domain of this protein shows no primary structural homology with the corresponding portion of the rat liver receptor or with receptors found in fibroblasts.","['Mellow, T E', 'Halberg, D', 'Drickamer, K']","['Mellow TE', 'Halberg D', 'Drickamer K']","['Department of Biochemistry and Molecular Biophysics, Columbia University, New York, New York 10032.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Acetylglucosamine/*metabolism', 'Amino Acid Sequence', 'Animals', 'Base Sequence', 'Chickens', 'DNA/analysis', '*Endocytosis', 'Fibroblasts/*cytology/metabolism', 'Fluorescent Antibody Technique', 'Glucosamine/*analogs & derivatives', 'Glycoproteins/*metabolism', 'Liver/*metabolism', 'Microscopy, Phase-Contrast', 'Molecular Sequence Data', '*Platelet Glycoprotein GPIb-IX Complex', '*Platelet Membrane Glycoproteins', 'RNA, Messenger/analysis', 'Rats', 'Receptors, Immunologic/*metabolism', 'Transfection']",,1988/04/15 00:00,1988/04/15 00:01,['1988/04/15 00:00'],"['1988/04/15 00:00 [pubmed]', '1988/04/15 00:01 [medline]', '1988/04/15 00:00 [entrez]']",['S0021-9258(18)60740-9 [pii]'],ppublish,J Biol Chem. 1988 Apr 15;263(11):5468-73.,"['0 (Glycoproteins)', '0 (Platelet Glycoprotein GPIb-IX Complex)', '0 (Platelet Membrane Glycoproteins)', '0 (RNA, Messenger)', '0 (Receptors, Immunologic)', '0 (glycoprotein receptor GPIb-IX)', '9007-49-2 (DNA)', 'N08U5BOQ1K (Glucosamine)', 'V956696549 (Acetylglucosamine)']",['GM37903/GM/NIGMS NIH HHS/United States'],['GENBANK/J03188'],,,,,,
3281939,NLM,MEDLINE,19880523,20210210,0021-9258 (Print) 0021-9258 (Linking),263,11,1988 Apr 15,Purification of a novel growth inhibitory factor for partially differentiated myeloid leukemic cells.,5431-5,"A novel factor termed growth inhibitory (GI) factor, which specifically inhibits the growth of mouse monocytic leukemia cells including monocytic cell lines (Mm-A and J774.1) and other partially differentiated myeloid leukemic cells, has been purified from conditioned medium of some clones of mouse myeloblastic leukemia M1 cells. The procedure for purification of the GI factor included ammonium sulfate precipitation, CM-Sepharose CL-6B and Sephadex G-200 chromatographies, reverse-phase high-performance liquid chromatography on a C18 hydrophobic support, and high-performance liquid chromatography on a gel filtration column. The purified factor gave a single band of protein with a molecular weight of 25,000 on sodium dodecyl sulfate-polyacrylamide gel. A concentration of 8 X 10(-10) M GI factor was required for 50% inhibition of growth of Mm-A cells. On chromatofocusing, the GI activity was eluted with Polybuffer 96/acetic acid at pH 8.2-8.4. The purified GI factor markedly inhibited growth of mouse bone marrow cells stimulated by macrophage colony-stimulating factor. The GI factor appeared to be a unique cytokine unrelated to known cytokines such as the tumor necrosis factor, interferons, and oncostatin M.","['Kasukabe, T', 'Okabe-Kado, J', 'Honma, Y', 'Hozumi, M']","['Kasukabe T', 'Okabe-Kado J', 'Honma Y', 'Hozumi M']","['Department of Chemotherapy, Saitama Cancer Center Research Institute, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Animals', 'Biological Products/*isolation & purification/pharmacology', 'Bone Marrow/drug effects', 'Cell Differentiation', 'Cell Division/drug effects', 'Chromatography, High Pressure Liquid', 'Colony-Stimulating Factors/pharmacology', 'Cytokines', 'Electrophoresis, Polyacrylamide Gel', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/pharmacology', 'Leukemia, Myeloid, Acute/*metabolism', 'Mice', 'Tumor Cells, Cultured/drug effects']",,1988/04/15 00:00,1988/04/15 00:01,['1988/04/15 00:00'],"['1988/04/15 00:00 [pubmed]', '1988/04/15 00:01 [medline]', '1988/04/15 00:00 [entrez]']",['S0021-9258(18)60735-5 [pii]'],ppublish,J Biol Chem. 1988 Apr 15;263(11):5431-5.,"['0 (Biological Products)', '0 (Colony-Stimulating Factors)', '0 (Cytokines)', '0 (Growth Substances)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,,,,,,,
3281860,NLM,MEDLINE,19880526,20190908,0902-4441 (Print) 0902-4441 (Linking),40,3,1988 Mar,Diagnosis of meningeal involvement in childhood acute lymphoblastic leukemia: cytomorphology and TdT.,250-5,"Between December, 1984, and May, 1986, 98 CSF samples were sent to a central laboratory by postal express. The samples could be kept in a medium for up to 24 hours after the lumbar puncture. The quality of the cells proved to be good. Excluded were 5 samples delayed in delivery and 13 samples contaminated with blood, defined as the macroscopical presence of blood. The microscopical presence of erythrocytes in the cytocentrifuge preparation can make interpretation of the results difficult. Especially when leukemic blasts are present in the blood, extreme caution is necessary. A total of 71 samples could be studied by cytomorphology as well as by TdT-IF. When cytomorphological leukemic blasts were present, this was confirmed by TdT-IF positivity in all cases. But in 6 of 71 samples, TdT-IF was positive without the presence of cytomorphological leukemic blasts. Follow-up of these patients will show whether the therapeutic regimen has to be changed.","['van Wering, E R', 'Veerman, A J', 'van der Linden-Schrever, B E']","['van Wering ER', 'Veerman AJ', 'van der Linden-Schrever BE']","['Dutch Childhood Leukemia Study Group, Juliana Kinderziekenhuis, Hague, The Netherlands.']",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,IM,"['Child', 'DNA Nucleotidylexotransferase/*cerebrospinal fluid', 'DNA Nucleotidyltransferases/*cerebrospinal fluid', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/enzymology/pathology', 'Humans', 'Leukemia, Lymphoid/*cerebrospinal fluid/enzymology/pathology', 'Leukocyte Count', 'Meningeal Neoplasms/*cerebrospinal fluid/enzymology/pathology', 'Spinal Puncture']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1111/j.1600-0609.1988.tb00832.x [doi]'],ppublish,Eur J Haematol. 1988 Mar;40(3):250-5. doi: 10.1111/j.1600-0609.1988.tb00832.x.,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",,,,,,,,
3281804,NLM,MEDLINE,19880516,20180214,0301-0171 (Print) 0301-0171 (Linking),47,1-2,1988,Is MYB amplified in acute myelogenous leukemia-derived cell lines?,95-7,"Amplification of MYB DNA has been reported in two cell lines, ML-1 and ML-3, derived from a patient with acute myelogenous leukemia. A relationship between amplification and a terminal deletion on one of the homologs of chromosome 6 has been proposed. The present study shows that equivalent copy numbers for MYB DNA are present on each of the homologs of chromosome 6. Further, no evidence for gene amplification could be demonstrated in either cell line.","['Henderson, A S', 'Wolman, S R']","['Henderson AS', 'Wolman SR']","['Department of Biological Sciences, Hunter College-CUNY, NY 10021.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Cytogenet Cell Genet,Cytogenetics and cell genetics,0367735,IM,"['Aneuploidy', 'Chromosome Deletion', '*Chromosomes, Human, Pair 6', 'DNA, Neoplasm/analysis', 'Gene Amplification', 'Humans', 'Leukemia, Myeloid/genetics/*pathology', '*Oncogenes', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-myb', 'Tumor Cells, Cultured/analysis']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1159/000132517 [doi]'],ppublish,Cytogenet Cell Genet. 1988;47(1-2):95-7. doi: 10.1159/000132517.,"['0 (DNA, Neoplasm)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myb)']",['P30CA-16087/CA/NCI NIH HHS/United States'],,,,,,,
