PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AD,AID,GR,PMC,EIN,CIN,SI
3208692,NLM,MEDLINE,19890221,20131121,0204-3564 (Print) 0204-3564 (Linking),10,5,1988,[Induction of the antileukemic activity in nonimmune allogeneic splenocytes using spleen hemoregulators].,57-61,"The leukemic mice treated with cyclophosphamide were injected twice a week with the allogenic splenocytes treated for 4 h with the substance isolated from the calf spleen. The leukemia growth inhibition was observed. Syngenic splenocytes were inactive. Allogenic but not syngenic splenocytes manifested a certain antileukemic activity observed in the Winn neutralization and 51Cr release tests, however this activity did not correlate quantitatively with more pronounced antileukemic action of cells in vivo.","['Svirnovskii, A I', 'Shimanskaia, T V', 'Bakun, A V', 'Ageichik, V M']","['Svirnovskii AI', 'Shimanskaia TV', 'Bakun AV', 'Ageichik VM']",['rus'],"['English Abstract', 'Journal Article']",Induktsiia protivoleikoznoi aktivnosti u neimmunnykh allogennykh splenotsitov s pomoshch'iu gemoregulinov iz selezenki.,Ukraine,Eksp Onkol,Eksperimental'naia onkologiia,8406659,"['0 (Tissue Extracts)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Cyclophosphamide/therapeutic use', '*Cytotoxicity, Immunologic', 'Killer Cells, Natural/*immunology', 'Leukemia, Experimental/*immunology/therapy', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C57BL', 'Spleen/cytology/*immunology/transplantation', 'Tissue Extracts/*therapeutic use', 'Transplantation, Homologous']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Eksp Onkol. 1988;10(5):57-61.,,,,,,,
3208645,NLM,MEDLINE,19890221,20061115,0253-3766 (Print) 0253-3766 (Linking),10,2,1988 Mar,[Mortality rate of malignant tumors in Yangzhong County].,102-4,"Complete and reliable data of mortality rate of malignant tumors from 1973 to 1982 in Yangzhong County, Jiangsu Province, China are reported. The annual mortality rate was 271.38/100,000 which is the highest of all counties in China. Among the malignant tumors, the mortality rates of esophageal, stomach, liver and intestinal cancers are 100.77/100,000, 90.25/100,000, 31.25/100,000 and 11.95/100,000, respectively. Moreover, the mortality rates of lung, cervical cancers and leukemia are also rather high. The mortality rate of esophageal cancer in the female is higher than that in the male. There have been no obvious changes in the mortality rates of some chief malignant tumors in the past ten years. For the high mortality rates of various malignancies in Yangzhong county, epidemiological factors should be further investigated.","['Zhang, Z L', 'Yang, J L', 'Lu, F L', 'Yin, X S', 'Luo, Z G', 'Wang, M R']","['Zhang ZL', 'Yang JL', 'Lu FL', 'Yin XS', 'Luo ZG', 'Wang MR']",['chi'],"['English Abstract', 'Journal Article']",,China,Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi [Chinese journal of oncology],7910681,,IM,"['Age Factors', 'China', 'Esophageal Neoplasms/mortality', 'Female', 'Humans', 'Liver Neoplasms/mortality', 'Male', 'Neoplasms/*mortality', 'Sex Factors', 'Stomach Neoplasms/mortality']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",ppublish,Zhonghua Zhong Liu Za Zhi. 1988 Mar;10(2):102-4.,"['Yangzhong Hospital, Jiangsu.']",,,,,,
3208617,NLM,MEDLINE,19890223,20061115,0196-4763 (Print) 0196-4763 (Linking),9,6,1988 Nov,Flow cytometric detection of ribosomal RNA in suspended cells by fluorescent in situ hybridization.,517-24,"A method using flow cytometry and fluorescent in situ hybridization (ISH) to detect RNA in cells is described. L1210 murine leukemia cells were fixed with 1% formaldehyde in HEPES buffered Hank's balanced salt solution (HH) followed by 70% ethanol. Endogenous RNAses were blocked by diethylpyrocarbonate treatment. Single-stranded sense and antisense RNA probes, labeled with biotin-11-UTP, were transcribed from a 2.1 kb 28S ribosomal RNA (rRNA) gene fragment subcloned into the pGEM2 plasmid. For good results, it was essential that the probes were degraded to 100-150 nucleotides before use. Hybridization was performed at 45 degrees C in 50% formamide, 5 x SSC, 0.5% SDS. Hybrids were detected with streptavidin-FITC by flow cytometry. Antisense rRNA probe signal was 100 times higher than the background. The hybrids were largely resistant to RNAse and melted at high temperature. The sense probe also gave a signal (5 times background), which was not RNAse resistant and was attributed to the presence of internal inverted repeats in the ribosomal RNA. When sufficient background reduction can be achieved, it is expected that as few as ten mRNA molecules per cell can be detected with the fluorescent in situ hybridization method.","['Bauman, J G', 'Bentvelzen, P']","['Bauman JG', 'Bentvelzen P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cytometry,Cytometry,8102328,"['0 (Nucleic Acid Probes)', '0 (RNA, Ribosomal)', 'EC 3.1.- (Ribonucleases)']",IM,"['Animals', 'Cell Line', 'Cell Separation/*methods', 'Cell Survival', 'Flow Cytometry/*methods', 'Fluorescence', 'Mice', '*Nucleic Acid Hybridization', 'Nucleic Acid Probes/analysis', 'RNA, Ribosomal/*analysis', 'Ribonucleases/metabolism', 'Tumor Cells, Cultured/analysis/pathology']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",ppublish,Cytometry. 1988 Nov;9(6):517-24. doi: 10.1002/cyto.990090602.,"['Erasmus University, Rotterdam, The Netherlands.']",['10.1002/cyto.990090602 [doi]'],,,,,
3208283,NLM,MEDLINE,19890223,20191029,0045-6039 (Print) 0045-6039 (Linking),24,2,1988 Jul,Exogenous delta-crystallin gene expression as probe for differentiation of teratocarcinoma stem cells.,139-47,"We developed an experimental system in which differentiation of teratocarcinoma stem cell is probed by expression of stably introduced exogenous genes. We used chicken delta-crystallin gene (delta gene) and its derivative (Mo delta gene) driven by long terminal repeat (LTR) promoter of Moloney murine leukemia virus (Mo-MuLV). Neither of the genes was expressed in the undifferentiated condition. Differentiation to primitive endoderm induced by retinoic acid (RA) led to expression of delta but not Mo delta, while differentiation to more advanced endodermal cells by RA plus dibutyryl cAMP elicited Mo delta expression in addition to delta. These results are interpreted as a consequence of differential activation/suppression of gene expression through enhancer elements associated with the genes.","['Goto, K', 'Hayashi, S', 'Shirayoshi, Y', 'Takeichi, M', 'Kondoh, H']","['Goto K', 'Hayashi S', 'Shirayoshi Y', 'Takeichi M', 'Kondoh H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Ireland,Cell Differ,Cell differentiation,0342640,"['0 (Crystallins)', '0 (Peptides)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/biosynthesis', 'Animals', 'Cell Line', 'Cell Transformation, Neoplastic/*metabolism', 'Crystallins/*genetics/metabolism', 'Enhancer Elements, Genetic', 'Genes, Regulator', 'Genetic Code', 'Mice', 'Peptides/metabolism', 'Plasmids', 'Teratoma/enzymology/metabolism', 'Transcription, Genetic', 'Tumor Cells, Cultured/*metabolism']",1988/07/01 00:00,1988/07/01 00:01,['1988/07/01 00:00'],"['1988/07/01 00:00 [pubmed]', '1988/07/01 00:01 [medline]', '1988/07/01 00:00 [entrez]']",ppublish,Cell Differ. 1988 Jul;24(2):139-47. doi: 10.1016/0045-6039(88)90065-6.,"['Department of Biophysics, Faculty of Science, Kyoto University, Japan.']","['0045-6039(88)90065-6 [pii]', '10.1016/0045-6039(88)90065-6 [doi]']",,,,,
3208279,NLM,MEDLINE,19890216,20191210,0008-7335 (Print) 0008-7335 (Linking),127,46,1988 Nov 11,[Infectious complications in acute leukemias].,1418-21,,"['Slechtova, J', 'Svojgrova, M', 'Cepelak, V']","['Slechtova J', 'Svojgrova M', 'Cepelak V']",['cze'],['Journal Article'],Infekcni komplikace u akutnich leukemii.,Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,,IM,"['Acute Disease', 'Agranulocytosis/etiology', 'Humans', 'Infections/*etiology', 'Leukemia/*complications']",1988/11/11 00:00,1988/11/11 00:01,['1988/11/11 00:00'],"['1988/11/11 00:00 [pubmed]', '1988/11/11 00:01 [medline]', '1988/11/11 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1988 Nov 11;127(46):1418-21.,,,,,,,
3207895,NLM,MEDLINE,19890214,20091111,0007-4551 (Print) 0007-4551 (Linking),75,9,1988,[Treatment of hematologic diseases with alpha interferon].,859-62,"Since 1970, several trials conducted with natural alpha interferon have allowed the recognition of sensitive disorders to this new type of treatment. These studies are ongoing now with recombinant alpha interferons in hairy cell leukaemia, low grade lymphomas, myeloproliferative disorders and myeloma.","['Castaigne, S']",['Castaigne S'],['fre'],"['English Abstract', 'Journal Article']",Traitement des maladies hematologiques par l'interferon alpha.,France,Bull Cancer,Bulletin du cancer,0072416,['0 (Interferon Type I)'],IM,"['Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Hairy Cell/*therapy', 'Lymphoma/*therapy', 'Multiple Myeloma/*therapy', 'Myeloproliferative Disorders/*therapy']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Bull Cancer. 1988;75(9):859-62.,"[""Departement d'hematologie clinique, Hopital Saint-Louis, Paris, France.""]",,,,,,
3207892,NLM,MEDLINE,19890214,20190903,0006-5242 (Print) 0006-5242 (Linking),57,6,1988 Dec,Experiences with the Ommaya reservoir for prophylaxis and treatment of the central nervous system in adult acute myelocytic leukemia.,351-5,"Intraventricular chemotherapy was administered to adult AML patients via an Ommaya reservoir. Twenty-eight patients received central nervous system (CNS) prophylaxis and seven patients were treated for meningeal leukemia (ML). A treatment course lasted at least 6 months. Asymptomatic ML developed in two patients (7%) of the prophylaxis group concomitantly with bone marrow relapse. One of these patients had not completed the standard course. CNS remission could be obtained in all evaluable patients with ML. The easy entrance to the cerebrospinal fluid (CSF) offers the advantage of frequent investigations of the CSF, early diagnosis and treatment of CNS relapses without radiotherapy, and caused little patient discomfort. CNS prophylaxis in this small study seemed to prolong first remission duration slightly. In M4 and M5 subtypes CNS prophylaxis can be valuable.","['Haaxma-Reiche, H', 'Daenen, S', 'Witteveen, R J']","['Haaxma-Reiche H', 'Daenen S', 'Witteveen RJ']",['eng'],['Journal Article'],,Germany,Blut,Blut,0173401,,IM,"['Adolescent', 'Adult', 'Aged', '*Catheters, Indwelling/adverse effects', 'Female', 'Humans', 'Injections, Intraventricular/*instrumentation', 'Leukemia, Myeloid, Acute/cerebrospinal fluid/complications/*drug therapy', 'Male', 'Meningeal Neoplasms/cerebrospinal fluid/complications/*drug therapy', 'Meningitis/etiology', 'Middle Aged', 'Remission Induction']",1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",ppublish,Blut. 1988 Dec;57(6):351-5. doi: 10.1007/BF00320756.,"['Department of Neurology, University Hospital, Groningen, The Netherlands.']",['10.1007/BF00320756 [doi]'],,,,,
3207752,NLM,MEDLINE,19890221,20190609,0006-3002 (Print) 0006-3002 (Linking),946,2,1988 Dec 22,Selective inhibition by bis(2-chloroethyl)methylamine (nitrogen mustard) of the Na+/K+/Cl- cotransporter of murine L1210 leukemia cells.,368-78,"Incubation of L1210 murine leukemia cells in vitro with 10 microM of the bifunctional alkylating agent bis(2-chloroethyl)methylamine (nitrogen mustard, HN2) for 10 min brought about a fall of more than 99.9% in their ability to form colonies when the cells were suspended in 0.5% nutrient agar. Incubation with HN2 also inhibited the influx of the potassium congener 86Rb+ to exponentially proliferating L1210 cells in a concentration-dependent manner. This inhibition was specific and was accounted for by a reduction of a diuretic-sensitive component of 86Rb+ influx, identified in the preceding paper (Wilcock, C. and Hickman, J.A. (1988) Biochim. Biophys. Acta 946, 359-367) as being mediated by a Na+/K+/Cl- cotransporter. Inhibition by 10 microM HN2 was complete after a 3-h incubation. There was no inhibition at this time of the ouabain-sensitive component of 86Rb+ influx, mediated by Na+/K+-ATPase. After 3 h of incubation with 10 microM HN2 there was also no change in the membrane potential of the treated cells as measured by the distribution of the [3H]TPMP+, no decrease in cellular ATP concentration and no change in intracellular pH, and the ability of the cells to exclude the vital dye Trypan blue was not significantly different from control values. These effects of HN2, therefore, appeared to follow lethal damage, but precede cell death. In the stationary phase of L1210 cell growth, the component of HN2 and diuretic-sensitive K+ influx to L1210 cells was reduced, whilst the component constituting the HN2-insensitive ouabain-sensitive sodium pump was increased. The monofunctional alkylating agent MeHN1 (2-chloroethyldimethylamine) which cannot cross-link cellular targets and has no antitumor activity, did not inhibit 86Rb+ influx to L1210 cells when incubated at equimolar or equitoxic concentrations to HN2. Intracellular potassium concentration was maintained close to control values of 138 +/- 10 mM in HN2-treated cells because of an approx. 35% fall in cell volume. The results suggest that the Na+/K+/Cl- cotransporter is a selectively inhibitable target for HN2, and the lesion is discussed with reference to the cytotoxic effects of this agent.","['Wilcock, C', 'Chahwala, S B', 'Hickman, J A']","['Wilcock C', 'Chahwala SB', 'Hickman JA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Alkylating Agents)', '0 (Carrier Proteins)', '0 (Chlorides)', '0 (Diuretics)', '0 (Sodium-Potassium-Chloride Symporters)', '50D9XSG0VR (Mechlorethamine)', '5ACL011P69 (Ouabain)', '8L70Q75FXE (Adenosine Triphosphate)', '9NEZ333N27 (Sodium)', 'MLT4718TJW (Rubidium)', 'RWP5GA015D (Potassium)']",IM,"['Adenosine Triphosphate/metabolism', 'Alkylating Agents/pharmacology', 'Animals', 'Biological Transport/drug effects', 'Carrier Proteins/*antagonists & inhibitors', 'Chlorides/*metabolism', 'Diuretics/pharmacology', 'Hydrogen-Ion Concentration', 'In Vitro Techniques', 'Leukemia L1210', 'Mechlorethamine/*pharmacology', 'Membrane Potentials', 'Mice', 'Ouabain/pharmacology', 'Potassium/*metabolism', 'Rubidium/metabolism', 'Sodium/*metabolism', 'Sodium-Potassium-Chloride Symporters', 'Tumor Cells, Cultured']",1988/12/22 00:00,1988/12/22 00:01,['1988/12/22 00:00'],"['1988/12/22 00:00 [pubmed]', '1988/12/22 00:01 [medline]', '1988/12/22 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1988 Dec 22;946(2):368-78. doi: 10.1016/0005-2736(88)90412-9.,"['Cancer Research Campaign Experimental Chemotherapy Group, Aston University, Birmingham, U.K.']","['0005-2736(88)90412-9 [pii]', '10.1016/0005-2736(88)90412-9 [doi]']",,,,,
3207751,NLM,MEDLINE,19890221,20190609,0006-3002 (Print) 0006-3002 (Linking),946,2,1988 Dec 22,Characterisation of a Na+/K+/Cl- cotransporter in alkylating agent-sensitive L1210 murine leukemia cells.,359-67,"The mode of influx of 86Rb+, a K+ congener, to exponentially proliferating L1210 murine leukemia cells, incubated in a Krebs-Ringer buffer, has been characterised. The influx was composed of a ouabain-sensitive fraction (approx. 40%), a loop diuretic-sensitive fraction (approx. 40%) and a fraction which was insensitive to both types of inhibitor (approx. 15%). The fraction of ouabain-insensitive 86Rb+ influx, which was fully inhibited by furosemide (1 mM) or bumetanide (100 microM), was completely inhibited when Cl- was completely substituted by nitrate or gluconate ions, but was slightly (29 +/- 12%) stimulated if the Cl- was substituted by Br-. The substitution of Na+ by Li+, choline or tetramethylammonium ions inhibited the loop diuretic-sensitive fraction of 86Rb+ uptake. These results suggested that a component of 86Rb+ influx to L1210 cells was mediated via a Na+/K+/Cl- cotransporter. 86Rb+ efflux from L1210 cells which had been equilibrated with 86Rb+ and incubated in the presence or absence of 1 mM ouabain, was insensitive to the loop diuretics. Additionally, efflux rates were found to be independent of the external concentration of K+, suggesting that efflux was not mediated by K+-K+ exchange. The initial rate of 86Rb+ influx to L1210 cells in the plateau phase of growth was reduced to 44% of that of exponentially dividing cells, the reduction being accounted for by significant decreases in both ouabain- and loop diuretic-sensitive influx; these cells were reduced in volume compared to cells in the exponential phase of cell growth. In cells which had been deprived of serum for 18 h, and which showed an increase of the proportion of cells in the G1 phase of the cell cycle, the addition of serum stimulated an immediate increase in the furosemide-sensitive component of 86Rb+ influx. Diuretic-sensitive 86Rb+ influx was not altered by the incubation of the cells with 100 microM dibutyryl cyclic AMP, but was inhibited by 10 microM of the cross-linking agent nitrogen mustard (bis(2-chloro-ethyl)methylamine, HN2).","['Wilcock, C', 'Hickman, J A']","['Wilcock C', 'Hickman JA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Carrier Proteins)', '0 (Chlorides)', '0 (Diuretics)', '0 (Sodium-Potassium-Chloride Symporters)', '3G0H8C9362 (Cobalt)', '9NEZ333N27 (Sodium)', 'RWP5GA015D (Potassium)']",IM,"['Animals', 'Biological Transport/drug effects', 'Carrier Proteins/*metabolism', 'Chlorides/*metabolism', 'Cobalt/pharmacology', 'Diuretics/pharmacology', 'Kinetics', 'Leukemia L1210/*metabolism', 'Mice', 'Potassium/*metabolism', 'Sodium/*metabolism', 'Sodium-Potassium-Chloride Symporters', 'Tumor Cells, Cultured']",1988/12/22 00:00,1988/12/22 00:01,['1988/12/22 00:00'],"['1988/12/22 00:00 [pubmed]', '1988/12/22 00:01 [medline]', '1988/12/22 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1988 Dec 22;946(2):359-67. doi: 10.1016/0005-2736(88)90411-7.,"['Cancer Research Campaign Experimental Chemotherapy Group, Aston University, Birmingham, U.K.']","['0005-2736(88)90411-7 [pii]', '10.1016/0005-2736(88)90411-7 [doi]']","['AMI17433/AM/NIADDK NIH HHS/United States', 'HL 09906/HL/NHLBI NIH HHS/United States']",,,,
3207716,NLM,MEDLINE,19890223,20190613,0006-2960 (Print) 0006-2960 (Linking),27,20,1988 Oct 4,Characterization of the methotrexate transport pathway in murine L1210 leukemia cells: involvement of a membrane receptor and a cytosolic protein.,7853-8,"A radioiodinated photoaffinity analogue of methotrexate, N alpha-(4-amino-4-deoxy-10-methyl-pteroyl)-N epsilon-(4-azidosalicylyl)-L- lysine (APA-ASA-Lys), was recently used to identify the plasma membrane derived binding protein involved in the transport of this folate antagonist into murine L1210 cells [Price, E. M., & Freisheim, J. H. (1987) Biochemistry 26, 4757-4763]. The labeled protein has an apparent molecular weight of 46K-48K when analyzed by sodium dodecyl sulfate-polyacrylamide gel electrophoresis, but no such labeling occurs in a methotrexate transport-defective cell line (L1210/R81). Labeling of the total cytosolic protein from disrupted cells, followed by electrophoresis and autoradiography, showed, among other proteins, a 21K band, corresponding to dihydrofolate reductase (DHFR), in both the parent and R81 cells and a 38K band only in the parent cells. However, when whole cells were UV irradiated at various times at 37 degrees C following addition of radiolabeled APA-ASA-Lys, the 38K protein and DHFR were the only cytosolic proteins labeled in the parent cells, while the intact R81 cells showed no labeled cytosolic protein, since the photoprobe is not transported. Further, when the parent cells were treated with a pulse of radiolabeled photoprobe, followed by UV irradiation at different times at 37 degrees C, the probe appeared sequentially on the 48K membrane protein and both the 38K cytosolic protein and dihydrofolate reductase.(ABSTRACT TRUNCATED AT 250 WORDS)","['Price, E M', 'Ratnam, M', 'Rodeman, K M', 'Freisheim, J H']","['Price EM', 'Ratnam M', 'Rodeman KM', 'Freisheim JH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Biochemistry,Biochemistry,0370623,"['0 (Carrier Proteins)', '0 (Folate Receptors, GPI-Anchored)', '0 (Receptors, Cell Surface)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biological Transport, Active', 'Carrier Proteins/metabolism', 'Cell Membrane/metabolism', 'Cytosol/metabolism', 'Folate Receptors, GPI-Anchored', 'Leukemia L1210/*metabolism', 'Methotrexate/*pharmacokinetics', 'Mice', '*Receptors, Cell Surface', 'Tumor Cells, Cultured/metabolism']",1988/10/04 00:00,1988/10/04 00:01,['1988/10/04 00:00'],"['1988/10/04 00:00 [pubmed]', '1988/10/04 00:01 [medline]', '1988/10/04 00:00 [entrez]']",ppublish,Biochemistry. 1988 Oct 4;27(20):7853-8. doi: 10.1021/bi00420a040.,"['Department of Biochemistry, University of Cincinnati College of Medicine, Ohio 45267-0522.']",['10.1021/bi00420a040 [doi]'],['CA41461/CA/NCI NIH HHS/United States'],,,,
