PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN,EIN,SI,RF,CIN,CN
3162692,NLM,MEDLINE,19880517,20210216,0006-4971 (Print) 0006-4971 (Linking),71,4,1988 Apr,An immunoassay to detect human embryonic epsilon globin chains by a murine monoclonal antibody.,883-7,"Human embryonic epsilon globin chains were isolated from lysates of cultured human leukemic K562 cells induced with hemin. Mice were immunized with epsilon globin chains, and a murine hybridoma cell line was established that secreted monoclonal anti-epsilon globin antibody. A sensitive and specific slot blot immunoassay for epsilon globin chains has been developed. epsilon Globin chains were shown to be present in hemolysates from fetuses of 20 weeks' gestation but were not detected in normal cord blood hemolysates. This immunoassay is useful for the study of epsilon globin ontogeny during embryonic and fetal development as well as for searching for inappropriate epsilon globin chain expression in hematologic disorders resulting from genetic abnormalities or neoplastic processes.","['Zhao, J Q', 'Luo, H Y', 'Clarke, B J', 'Chui, D H']","['Zhao JQ', 'Luo HY', 'Clarke BJ', 'Chui DH']","['Department of Pathology, McMaster University School of Medicine, Hamilton, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Membranes, Artificial)', '9004-22-2 (Globins)', '9004-70-0 (Collodion)']",IM,"['Animals', '*Antibodies, Monoclonal/analysis', 'Cell Line', 'Collodion', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Fetal Blood/*analysis', 'Globins/immunology/*isolation & purification', 'Humans', 'Hybridomas/analysis', 'Immunoassay/*methods', 'Leukemia, Erythroblastic, Acute/blood', 'Membranes, Artificial', 'Mice', 'Mice, Inbred BALB C']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['S0006-4971(20)77724-4 [pii]'],ppublish,Blood. 1988 Apr;71(4):883-7.,,,,,,,,,,,,
3162691,NLM,MEDLINE,19880517,20210216,0006-4971 (Print) 0006-4971 (Linking),71,4,1988 Apr,Glycoproteins IIb and IIIa in K562 cells.,1171-2,,"['Giltay, J C', 'Brinkman, H J', 'Modderman, P W', 'Tetteroo, P A', 'van Mourik, J A']","['Giltay JC', 'Brinkman HJ', 'Modderman PW', 'Tetteroo PA', 'van Mourik JA']",,['eng'],['Letter'],United States,Blood,Blood,7603509,['0 (Platelet Membrane Glycoproteins)'],IM,"['Cell Line', 'Humans', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Platelet Membrane Glycoproteins/*biosynthesis']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['S0006-4971(20)77777-3 [pii]'],ppublish,Blood. 1988 Apr;71(4):1171-2.,,,,,,,,,,,,
3162686,NLM,MEDLINE,19880518,20190704,0007-1048 (Print) 0007-1048 (Linking),68,3,1988 Mar,Abnormal megakaryopoiesis in acute leukaemia.,393-4,,"['Hoyle, C', 'Hayhoe, F G']","['Hoyle C', 'Hayhoe FG']",,['eng'],['Letter'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adult', 'Aged', 'Female', 'Hematopoiesis', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Male', 'Megakaryocytes/pathology', 'Middle Aged']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1988.tb04223.x [doi]'],ppublish,Br J Haematol. 1988 Mar;68(3):393-4. doi: 10.1111/j.1365-2141.1988.tb04223.x.,,,,,,,,,,,,
3162685,NLM,MEDLINE,19880518,20190704,0007-1048 (Print) 0007-1048 (Linking),68,3,1988 Mar,Killing of K562 cells with conjugates between human transferrin and a ribosome-inactivating protein (SO-6).,379-84,"Cellular iron uptake is mediated by binding of transferrin with specific surface receptors and internalization of the Fe-transferrin-receptor complex. This has been examined as a possible pathway for carrying into leukaemic cells a ribosome-inactivating protein (RIP), SO-6, derived from Saponaria officinalis. Purified human differic transferrin was conjugated with SO-6 and a pool of proteins was obtained, with variable numbers of SO-6 molecules linked to a single transferrin molecule. Human erythroleukaemic K562 cells were grown in the presence of human transferrin, SO-6 and human transferrin conjugated with SO-6. The conjugate was found to be internalized via binding with transferrin receptor. Whereas the presence of unconjugated human transferrin and SO-6 in the medium did not significantly influence K562 cell growth, the conjugated proteins displayed an inhibitory activity on cell proliferation. This was maximal after 72 h at a transferrin concentration of 10(-9) M, with about 50% of cells being killed. Bovine transferrin, present in fetal calf serum, did not appear to compete with human diferric transferrin in binding to K562 cells in suspension culture. In a clonogenic assay, colony formation by leukaemic cells was not influenced by free SO-6 or transferrin, whereas the conjugated proteins were markedly inhibitory (about 100% at 10(-9) M). Our findings indicate that SO-6 can be efficiently carried into mammalian cells via the transferrin-transferrin receptor cycle and exert its ribosome inactivating activity. This is in keeping with the existence of an alternative pathway of transferrin endocytosis in addition to the classic acidic endosome pathway. From a practical viewpoint, conjugates between transferrin and SO-6 can be useful tools for studying the expression of transferrin receptors, and deserve also to be investigated for a possible use in cancer therapy.","['Bergamaschi, G', 'Cazzola, M', 'Dezza, L', 'Savino, E', 'Consonni, L', 'Lappi, D']","['Bergamaschi G', 'Cazzola M', 'Dezza L', 'Savino E', 'Consonni L', 'Lappi D']","['Dipartimento di Medicina Interna e Terapia Medica, University of Pavia, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Plant Proteins)', '0 (Transferrin)']",IM,"['Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Plant Proteins/*toxicity', 'Time Factors', 'Transferrin/*toxicity', 'Tumor Cells, Cultured/*drug effects', 'Tumor Stem Cell Assay']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1988.tb04218.x [doi]'],ppublish,Br J Haematol. 1988 Mar;68(3):379-84. doi: 10.1111/j.1365-2141.1988.tb04218.x.,,,,,,,,,,,,
3162684,NLM,MEDLINE,19880518,20190704,0007-1048 (Print) 0007-1048 (Linking),68,3,1988 Mar,A phorbol ester tolerant (PET) variant of HL-60 promyelocytes.,291-302,"The promyelocytic leukaemia cell line HL-60 differentiates to a macrophage-like cell when exposed to the phorbol ester 12-O-tetradecanoylphorbol 13-acetate (TPA) and other agents which activate protein kinase C. To investigate this phenomenon we developed an HL-60 variant which does not differentiate when exposed to TPA. HL-60 cells were exposed to the mutagen ethyl methanesulphonate and were cloned in soft agar in the presence of a normally lethal concentration of TPA. One colony of cells that proliferated in TPA was obtained. The cells of this phorbol ester tolerant (PET) line have retained their resistance to TPA for several years without selective pressure. They are somewhat larger than their phorbol ester sensitive (S) parent, but they are otherwise morphologically similar. When PET-cells are exposed to TPA their growth is arrested for approximately 48 h. Thereafter, they resume their original rate of replication at all concentrations of TPA tested. S-cells undergo changes typical of HL-60 when exposed to TPA; they aggregate, stop growing, adhere to the flask and die. The PET-cells appeared to be as sensitive as S-cells to other agents which differentiate HL-60 such as retinoic acid, dimethysulphoxide, and 1,25-dihydroxyvitamin D3, as determined by rate of proliferation in culture, Wright's stain, nitroblue tetrazolium reduction, and induction of the ectoenzyme NAD-glycohydrolase. TPA-induced protein phosphorylation was studied using one- and two-dimensional polyacrylamide gel electrophoresis. Several proteins increased their incorporation of 32P when S- and PET-cells were exposed to TPA, the most prominent of which were the two previously described nuclear matrix proteins of 80 kd and 33 kd. There was no difference in the protein phosphorylation pattern in S- and PET-cells, nor in how this pattern changed on TPA exposure. Fluorescent activated cell sorting and karyotypic analysis revealed PET-cells to be a hypotetraploid variant of S-cells, with approximately 80 chromosomes, including a marker chromosome iso(1p) not found in the S-cells. Identification of the biochemical lesion responsible for this TPA resistance in PET cells will provide clues concerning the mechanism of this important pathway for the induction of cell differentiation.","['Macfarlane, D E', 'Gailani, D', 'Vann, K']","['Macfarlane DE', 'Gailani D', 'Vann K']","['Department of Medicine, Veterans Administration Hospital, Iowa City, Iowa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Br J Haematol,British journal of haematology,0372544,['NI40JAQ945 (Tetradecanoylphorbol Acetate)'],IM,"['Cell Differentiation/drug effects', 'Cell Line', 'Drug Tolerance', 'Genetic Variation', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Microscopy, Electron', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Time Factors', 'Tumor Cells, Cultured/*drug effects']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1988.tb04205.x [doi]'],ppublish,Br J Haematol. 1988 Mar;68(3):291-302. doi: 10.1111/j.1365-2141.1988.tb04205.x.,['T32 HL07344/HL/NHLBI NIH HHS/United States'],,,,,,,,,,,
3162683,NLM,MEDLINE,19880518,20190704,0007-1048 (Print) 0007-1048 (Linking),68,3,1988 Mar,Beneficial effect of heparin in the management of patients with APL.,283-9,"115 patients with acute promyelocytic leukaemia (APL) were studied retrospectively to evaluate prognostic factors and assess therapeutic approaches, particularly the use of heparin in the management of disseminated intravascular coagulation (DIC). The remission rate was 86% (30/35 patients) in those who received heparin and 49% (39/80 patients) in those who received no heparin (P = 0.0002). This difference in remission rates was accounted for by a marked decrease in the number of haemorrhagic deaths, especially those due to intracranial haemorrhage (ICH), in the heparin treated group. Other factors associated with a poor remission rate were prothrombin ratio (PTR) greater than 1.3 (P = 0.008), fibrinogen less than 1.5 g/l (P = 0.02) and WCC greater than 2.0 x 10(9)/l (P = 0.03).","['Hoyle, C F', 'Swirsky, D M', 'Freedman, L', 'Hayhoe, F G']","['Hoyle CF', 'Swirsky DM', 'Freedman L', 'Hayhoe FG']","['Department of Haematological Medicine, University Clinical School, Cambridge.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,['9005-49-6 (Heparin)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Blood Coagulation Tests', 'Child', 'Child, Preschool', 'Disseminated Intravascular Coagulation/drug therapy', 'Drug Evaluation', 'Female', 'Heparin/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/mortality', 'Male', 'Middle Aged', 'Prognosis', 'Retrospective Studies']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1988.tb04204.x [doi]'],ppublish,Br J Haematol. 1988 Mar;68(3):283-9. doi: 10.1111/j.1365-2141.1988.tb04204.x.,,,,,,,,,,,,
3162677,NLM,MEDLINE,19880510,20190623,0006-2952 (Print) 0006-2952 (Linking),37,7,1988 Apr 1,Inhibition of amino acid uptake and incorporation into proteins in Friend erythroleukemia cells by the anthracycline antitumor antibiotic aclacinomycin A.,1377-82,"Treatment of Friend erythroleukemia cells with aclacinomycin A caused a concomitant inhibition of the uptake of 14C-alpha-aminoisobutyric acid (AIB) and of the incorporation of 3H-alanine into proteins. The decrease in amino acid uptake and incorporation into proteins was dose-dependent and reached a maximum of 60% within 3 hours at the concentration of aclacinomycin A, 200 ng/ml. A comparison of the effect on protein incorporation of 3H-alanine and cell proliferation by various anthracycline antitumor antibiotics in a concentration range of 50-200 ng/ml revealed that two other N-alkylated anthracyclines, pyrromycin and marcellomycin, are also potent inhibitors of the incorporation of amino acids into proteins. Inhibition of amino acid incorporation into proteins correlated well with the reduction of cell number at a later time. In contrast, adriamycin and daunomycin inhibited the incorporation of 3H-alanine into proteins only weakly, although these substances were highly active at inhibiting cell proliferation. Studies with an inhibitor of RNA synthesis, actinomycin D, suggest that the concomitant inhibition of amino acid uptake and incorporation into proteins observed with aclacinomycin A is not due to a reduced RNA synthesis. In addition, aclacinomycin A, up to a concentration of 10 micrograms/ml, did not inhibit protein synthesis in a cell-free translational system from rabbit reticulocytes. These results indicate that the reduction of amino acid incorporation into proteins after treatment of Friend erythroleukemia cells with aclacinomycin A may be due to a reduced uptake of amino acids. Inhibition of the transport of 14C-AIB may be indicative for an interaction of aclacinomycin A with the plasma membrane.","['Schaefer, A', 'Boldt, J', 'Westendorf, J', 'Steinheider, G', 'Marquardt, H']","['Schaefer A', 'Boldt J', 'Westendorf J', 'Steinheider G', 'Marquardt H']","['Department of Toxicology, Hamburg University Medical School, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Amino Acids)', '0 (Aminoisobutyric Acids)', '0 (Antibiotics, Antineoplastic)', '0 (Naphthacenes)', '1CC1JFE158 (Dactinomycin)', '1E7ZW41IQU (2-aminoisobutyric acid)', '74KXF8I502 (Aclarubicin)', 'OF5P57N2ZX (Alanine)']",IM,"['Aclarubicin', 'Alanine/metabolism', 'Amino Acids/*metabolism', 'Aminoisobutyric Acids/metabolism', 'Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Cell Division/drug effects', 'Dactinomycin/pharmacology', 'Dose-Response Relationship, Drug', 'Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Naphthacenes/pharmacology', '*Protein Biosynthesis', 'Rabbits', 'Tumor Cells, Cultured']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']","['0006-2952(88)90797-6 [pii]', '10.1016/0006-2952(88)90797-6 [doi]']",ppublish,Biochem Pharmacol. 1988 Apr 1;37(7):1377-82. doi: 10.1016/0006-2952(88)90797-6.,,,,,,,,,,,,
3162674,NLM,MEDLINE,19880512,20190501,0264-6021 (Print) 0264-6021 (Linking),250,2,1988 Mar 1,Relationship between membrane sterol composition and responsiveness to 12-O-tetradecanoylphorbol 13-acetate in HL-60 human promyelocytic leukaemia cell lines.,349-53,"We have examined the sterol composition and metabolism of promyelocytic leukaemia cell lines (HL-60) after treatment with 12-O-tetradecanoylphorbol 13-acetate (TPA). A variant cell line (Blast II cells) which is resistant to TPA was used as control. Analysis of the sterols of TPA-sensitive cells radiolabelled with [3H]leucine, [14C]acetate or [14C]pyruvate showed a high incorporation into cholesterol and a low incorporation in lanosterol + dihydrolanosterol. The inverse relationship was observed in TPA-resistant cells. Experiments with other cellular variants representing TPA-sensitive and TPA-resistant classes gave similar results. Analysis of the cellular sterol composition by gas chromatography confirmed that TPA-resistant cells are particularly rich in lanosterol/dihydrolanosterol. TPA treatment enhanced the incorporation of [14C]pyruvate into the sterol fraction of both cell types. This was accompanied by an alteration of incorporation into several lipids, particularly phospholipids. Pulse-chase studies with [14C]acetate revealed that TPA induced the release of radioactive lipids into the medium from HL-60 and Blast II cells. However this treatment released phospholipids from the TPA-sensitive cells and sterols and fatty acids from the TPA-resistant cells. We conclude that the sterol composition can regulate specific biochemical processes in the membrane and can be considered as a factor that plays a role in the responsiveness of HL-60 cells to TPA.","['Malvoisin, E', 'Wild, F', 'Zwingelstein, G']","['Malvoisin E', 'Wild F', 'Zwingelstein G']","['Unite de Virologie fondamentale et appliquee, INSERM U.51, CNRS U.613, Lyon, France.']",['eng'],['Journal Article'],England,Biochem J,The Biochemical journal,2984726R,"['0 (Acetates)', '0 (Carbon Radioisotopes)', '0 (Pyruvates)', '0 (Sterols)', '10028-17-8 (Tritium)', '1J05Z83K3M (Lanosterol)', '8558G7RUTR (Pyruvic Acid)', '97C5T2UQ7J (Cholesterol)', 'GMW67QNF9C (Leucine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Acetates/metabolism', 'Carbon Radioisotopes', 'Cell Line', 'Cholesterol/metabolism', 'Humans', 'Lanosterol/metabolism', 'Leucine/metabolism', 'Leukemia, Myeloid, Acute/*metabolism', 'Lipid Metabolism', 'Pyruvates/metabolism', 'Pyruvic Acid', 'Sterols/*metabolism', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tritium', 'Tumor Cells, Cultured/drug effects']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1042/bj2500349 [doi]'],ppublish,Biochem J. 1988 Mar 1;250(2):349-53. doi: 10.1042/bj2500349.,,PMC1148862,,,,,,,,,,
3162669,NLM,MEDLINE,19880510,20131121,0385-0684 (Print) 0385-0684 (Linking),15,4 Pt 1,1988 Apr,[Relation between plasma Ara-C and intracellular Ara-CTP levels by intermediate dose and high dose Ara-C administration in the treatment of AML].,625-30,"Plasma level of cytosine arabinoside (Ara-C) and intracellular cytosine arabinoside triphosphate (Ara-CTP) in peripheral blood and bone marrow were measured in 8 patients with non treated acute myelogenous leukemia. Ara-C was administered by 1 hr infusion (3 g/m2 and 500 mg/m2) and was followed for 12 hrs. The AUC of Ara-C in plasma following 3 g/m2 infusion were greater than the 500 mg/m2 (p less than 0.05). Intracellular Ara-CTP in peripheral blood following 3 g/m2 and 500 mg/m2 infusions were on the same level, after 1 hr. But AUC of intracellular Ara-CTP following 3 g/m2 infusion was greater than 500 mg/m2. There was a correlation between AUC of Ara-C in the peripheral blood (p less than 0.01). Intracellular Ara-CTP in the bone marrow and peripheral blood showed a similar level. Intracellular Ara-CTP in bone marrow was lower than in peripheral blood, however, there was no correlation between intracellular Ara-CTP in bone marrow and in peripheral blood.","['Yoshida, T', 'Kobayashi, K', 'Nakamura, S', 'Ohtake, S', 'Itoh, K', 'Kanno, M', 'Hirai, J', 'Yasushi', 'Matsuda, T T']","['Yoshida T', 'Kobayashi K', 'Nakamura S', 'Ohtake S', 'Itoh K', 'Kanno M', 'Hirai J', 'Yasushi', 'Matsuda TT']","['3rd Dept. of Medicine, Kanazawa University School of Medicine.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Arabinonucleotides)', '04079A1RDZ (Cytarabine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)']",IM,"['Adult', 'Aged', 'Arabinofuranosylcytosine Triphosphate/*analysis', 'Arabinonucleotides/*analysis', 'Bone Marrow/*metabolism', 'Bone Marrow Cells', 'Cytarabine/*administration & dosage/blood', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/metabolism/pathology', 'Middle Aged']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1988 Apr;15(4 Pt 1):625-30.,,,,,,,,,,,,
3162650,NLM,MEDLINE,19880512,20190820,0361-8609 (Print) 0361-8609 (Linking),27,4,1988 Apr,Hematological malignancy in hemoglobin D disease.,305,,"['Dash, S', 'Kumar, S', 'Dash, R J']","['Dash S', 'Kumar S', 'Dash RJ']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Hemoglobins, Abnormal)', '39346-78-6 (hemoglobin D)']",IM,"['Adolescent', 'Adult', 'Hemoglobinopathies/*complications/genetics', 'Hemoglobins, Abnormal/*genetics', 'Hodgkin Disease/*complications', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male']",1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']",['10.1002/ajh.2830270416 [doi]'],ppublish,Am J Hematol. 1988 Apr;27(4):305. doi: 10.1002/ajh.2830270416.,,,,,,,,,,,,
