PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,RF,SI,TT,EIN,OID,OAB,OABL,OTO,OT,GN,CN,AD,CIN
3109727,NLM,MEDLINE,19870819,20190619,0008-543X (Print) 0008-543X (Linking),60,4,1987 Aug 15,Cranial nerve palsy as the presenting feature of secondary plasma cell leukemia.,906-9,"A patient with IgA lambda multiple myeloma (MM) developed plasma cell leukemia (PCL), presenting as oculomotor nerve palsy. The cerebrospinal fluid (CSF) contained plasma cells, which double stained with fluoresceinated anti-IgA and anti-lambda antisera. The palsy was most probably due to meningeal myelomatosis. The neurologic disorder appeared to be refractory to the therapy used, although plasma cells disappeared from the peripheral blood. Secondary plasma cell leukemia is a rare complication of MM, usually occurring in the terminal stage of the disease. Those patients may be eligible for central nervous system (CNS) prophylaxis, as is commonly performed in patients with other types of leukemia.","['Bruyn, G A', 'Zwetsloot, C P', 'van Nieuwkoop, J A', 'den Ottolander, G J', 'Padberg, G W']","['Bruyn GA', 'Zwetsloot CP', 'van Nieuwkoop JA', 'den Ottolander GJ', 'Padberg GW']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,"['0 (Immunoglobulin A)', '0 (Immunoglobulin lambda-Chains)']",IM,"['Bone Marrow/immunology', 'Cranial Nerve Diseases/pathology', 'Humans', 'Immunoglobulin A/analysis', 'Immunoglobulin lambda-Chains/analysis', 'Leukemia, Plasma Cell/immunology/*pathology', 'Male', 'Meningeal Neoplasms/pathology', 'Middle Aged', 'Multiple Myeloma/pathology', '*Neoplasms, Multiple Primary', 'Oculomotor Nerve/*pathology']",1987/08/15 00:00,1987/08/15 00:01,['1987/08/15 00:00'],"['1987/08/15 00:00 [pubmed]', '1987/08/15 00:01 [medline]', '1987/08/15 00:00 [entrez]']",['10.1002/1097-0142(19870815)60:4<906::aid-cncr2820600432>3.0.co;2-v [doi]'],ppublish,Cancer. 1987 Aug 15;60(4):906-9. doi: 10.1002/1097-0142(19870815)60:4<906::aid-cncr2820600432>3.0.co;2-v.,,,,,,,,,,,,,,,
3109590,NLM,MEDLINE,19870807,20190501,0267-0623 (Print) 0267-0623 (Linking),294,6581,1987 May 9,Childhood leukemia and nuclear establishments.,1227-8,,,,['eng'],['Letter'],England,Br Med J (Clin Res Ed),British medical journal (Clinical research ed.),8302911,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'England', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Radiation-Induced/*epidemiology', '*Nuclear Reactors']",1987/05/09 00:00,1987/05/09 00:01,['1987/05/09 00:00'],"['1987/05/09 00:00 [pubmed]', '1987/05/09 00:01 [medline]', '1987/05/09 00:00 [entrez]']",['10.1136/bmj.294.6581.1227-b [doi]'],ppublish,Br Med J (Clin Res Ed). 1987 May 9;294(6581):1227-8. doi: 10.1136/bmj.294.6581.1227-b.,PMC1246377,,,,,,,,,,,,,,
3109431,NLM,MEDLINE,19870716,20190623,0006-2952 (Print) 0006-2952 (Linking),36,12,1987 Jun 15,5'-deoxy-5'-methylthioadenosine phosphorylase--IV. Biological activity of 2-fluoroadenine-substituted 5'-deoxy-5'-methylthioadenosine analogs.,1881-93,"5'-Deoxy-5'-methylthioadenosine phosphorylase (MTAPase) phosphorolyzes 5'-deoxy-5'-methylthioadenosine (MTA) generated during polyamine biosynthesis to adenine and 5-methylthioribose-1-phosphate. Two doubly-substituted, 2-fluoroadenine-containing analogs of MTA, 5'-deoxy-2-fluoroadenosine (5'-dFAdo) and 5'-deoxy-5'-iodo-2-fluoroadenosine (5'-IFAdo), were synthesized and studied as substrates of MTAPase: their reaction with this enzyme resulted in the liberation of the cytotoxic base, 2-fluoroadenine, as well as potentially cytotoxic analogs of 5-methylribose-1-phosphate. The activities of these MTA analogs were compared to that of the singly-substituted analog, 5'-deoxy-5'-methylthio-2-fluoroadenosine (5'-MTFAdo). The cytotoxic action of these MTA analogs depended primarily on their conversion to 2-fluoroadenine-containing nucleotides, as a cell line that contains both MTAPase and adenine phosphoribosyltransferase (APRT) activity (HL-60 human promyelocytic leukemia) readily converted these MTA analogs to 2-fluoroadenine-containing nucleotides (especially 2-fluoroadenosine triphosphate) and was highly sensitive to the growth-inhibitory effects of all three compounds (IC50 values in the 10(-8) M range), whereas cell lines lacking MTAPase (CCRF-CEM human T-cell leukemia) or APRT (HL-60/aprt1 cells) did not form analog nucleotides and were relatively insensitive to these compounds (IC50 values in the 10(-5) M range). The doubly-substituted analogs were not more growth inhibitory than 5'-MTFAdo in wild type HL-60 cells as the potent effects of 2-fluoroadenine may mask the activity of the 5-methylthioribose-1-phosphate analogs generated in the reaction of these compounds with MTAPase. 5'-dFAdo and 5'-IFAdo also were irreversible inhibitors of S-adenosylhomocysteine hydrolase, which may explain in part the weak but observable growth inhibitory action of these compounds against MTAPase-deficient cell lines.","['Savarese, T M', 'Cannistra, A J', 'Parks, R E Jr', 'Secrist, J A 3rd', 'Shortnacy, A T', 'Montgomery, J A']","['Savarese TM', 'Cannistra AJ', 'Parks RE Jr', 'Secrist JA 3rd', 'Shortnacy AT', 'Montgomery JA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Deoxyadenosines)', '0 (Thionucleosides)', ""634Z2VK3UQ (5'-methylthioadenosine)"", ""64183-27-3 (2'-fluoro-2'-deoxyadenosine)"", 'EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.1 (Purine-Nucleoside Phosphorylase)', ""EC 2.4.2.28 (5'-methylthioadenosine phosphorylase)"", 'EC 2.4.2.7 (Adenine Phosphoribosyltransferase)', 'K72T3FS567 (Adenosine)']",IM,"['Adenine Phosphoribosyltransferase/metabolism', 'Adenosine/*analogs & derivatives/metabolism/therapeutic use', 'Cell Line', 'Chemical Phenomena', 'Chemistry', 'Chromatography, High Pressure Liquid', 'Deoxyadenosines/analogs & derivatives/metabolism/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/enzymology', 'Pentosyltransferases/*metabolism', 'Purine-Nucleoside Phosphorylase/*metabolism', 'Structure-Activity Relationship', 'Thionucleosides/*metabolism/therapeutic use']",1987/06/15 00:00,2001/03/28 10:01,['1987/06/15 00:00'],"['1987/06/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1987/06/15 00:00 [entrez]']","['0006-2952(87)90484-9 [pii]', '10.1016/0006-2952(87)90484-9 [doi]']",ppublish,Biochem Pharmacol. 1987 Jun 15;36(12):1881-93. doi: 10.1016/0006-2952(87)90484-9.,,"['CA 07340/CA/NCI NIH HHS/United States', 'CA 20892/CA/NCI NIH HHS/United States', 'CA 31943/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
3109418,NLM,MEDLINE,19870715,20190612,0006-291X (Print) 0006-291X (Linking),145,1,1987 May 29,Calcium ion-dependent proliferation of L1210 cells in culture.,556-62,"Maximum growth of L1210 cells in culture required the presence of free extracellular calcium ions. Reducing the free extracellular calcium ion concentration with EGTA served to decrease the growth rate of the cells. The decrease in cell growth was not due to cell death but rather due to the ""pile-up"" of the L1210 cells in the GO/Gl phase of the cell cycle. With the readdition of excess calcium ions, there was a lag period of 3 to 6 hours before the L1210 cells initiated DNA synthesis or transited from the G0/G1 phase to S-phase. Cells enriched for S and G2/M phase by elutriation and which were incubated in EGTA-containing culture medium, continued through the cell cycle and were blocked in GO/Gl. These data indicate that the proliferation of L1210 cells in culture requires a calcium ion-dependent process to allow movement from the G0/G1 to S-phase of the cell cycle.","['Cory, J G', 'Carter, G L', 'Karl, R C']","['Cory JG', 'Carter GL', 'Karl RC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['526U7A2651 (Egtazic Acid)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Calcium/*pharmacology', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Egtazic Acid/pharmacology', 'Kinetics', 'Leukemia L1210/*pathology', 'Mice']",1987/05/29 00:00,1987/05/29 00:01,['1987/05/29 00:00'],"['1987/05/29 00:00 [pubmed]', '1987/05/29 00:01 [medline]', '1987/05/29 00:00 [entrez]']","['0006-291X(87)91356-8 [pii]', '10.1016/0006-291x(87)91356-8 [doi]']",ppublish,Biochem Biophys Res Commun. 1987 May 29;145(1):556-62. doi: 10.1016/0006-291x(87)91356-8.,,['CA 42070/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,
3109415,NLM,MEDLINE,19870715,20190612,0006-291X (Print) 0006-291X (Linking),145,1,1987 May 29,Synergism of tumor necrosis factor and interferon-gamma in induction of differentiation of human myeloblastic leukemic ML-1 cells.,514-21,"Natural or recombinant human tumor necrosis factor (TNF) induced NBT-reducing activity of ML-1 cells in a dose-dependent manner. Interferon-gamma (IFN-gamma) induced NBT-reducing activity only marginally. However, when IFN-gamma was combined with TNF, induction of NBT-reducing activity was remarkably increased. IFN-alpha or -beta had almost no effect on the induction of NBT-reducing activity of ML-1 cells, either alone or in combination with TNF. Treatment with both TNF and IFN-gamma synergistically enhanced morphological changes, growth inhibition and activity of Fc receptors, and NBT reduction in ML-1 cells, but not phagocytic activity. The TNF treated cells were classified as macrophage-like by morphology, and by lineage-specific alpha-naphthyl acetate esterase stain. The results indicate that combinations of TNF and IFN-gamma act synergistically in the induction of differentiation of human myeloblastic ML-1 cells.","['Takuma, T', 'Takeda, K', 'Konno, K']","['Takuma T', 'Takeda K', 'Konno K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Cytotoxins)', '0 (Glycoproteins)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '82115-62-6 (Interferon-gamma)']",IM,"['*Cell Differentiation', 'Cell Line', 'Cytotoxins/*pharmacology', 'Drug Synergism', 'Glycoproteins/*physiology', 'Humans', 'Interferon-gamma/*physiology', 'Kinetics', 'Leukemia, Myeloid, Acute', 'Recombinant Proteins/pharmacology', 'Tumor Necrosis Factor-alpha']",1987/05/29 00:00,1987/05/29 00:01,['1987/05/29 00:00'],"['1987/05/29 00:00 [pubmed]', '1987/05/29 00:01 [medline]', '1987/05/29 00:00 [entrez]']","['0006-291X(87)91351-9 [pii]', '10.1016/0006-291x(87)91351-9 [doi]']",ppublish,Biochem Biophys Res Commun. 1987 May 29;145(1):514-21. doi: 10.1016/0006-291x(87)91351-9.,,,,,,,,,,,,,,,
3109392,NLM,MEDLINE,19870717,20190501,0264-6021 (Print) 0264-6021 (Linking),242,2,1987 Mar 1,Effect of alpha-difluoromethylornithine on DNA methylation in murine erythroleukaemic cells. Relationship to stimulation of induced differentiation.,479-83,"Murine erythroleukaemic (MEL) cells cultured with alpha-difluoromethylornithine (DFMO) accumulated decarboxylated S-adenosylmethionine(decarboxylated AdoMet). In the absence of the inducer hexamethylenebisacetamide (HMBA), this accumulation of decarboxylated AdoMet was associated with a concomitant and proportional increase in DNA hypomethylation. In the presence of HMBA, DFMO, which stimulates the erythrodifferentiation of MEL cells, enhanced the differentiation-associated DNA hypomethylation. However, this differentiation-associated DNA hypomethylation was neither temporally nor quantitatively correlated with the accumulation of decarboxylated AdoMet in these cells. Therefore DFMO probably stimulates the HMBA-induced differentiation of MEL cells and the associated DNA hypomethylation via the effect of this drug on polyamine biosynthesis.","['Papazafiri, P', 'Osborne, H B']","['Papazafiri P', 'Osborne HB']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem J,The Biochemical journal,2984726R,"['0 (Acetamides)', '7LP2MPO46S (S-Adenosylmethionine)', '9007-49-2 (DNA)', 'LA133J59VU (hexamethylene bisacetamide)', 'ZQN1G5V6SR (Eflornithine)']",IM,"['Acetamides/pharmacology', 'Animals', 'Cell Differentiation/drug effects', 'Cells, Cultured', 'DNA/*metabolism', 'Eflornithine/*pharmacology', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Methylation', 'Mice', 'S-Adenosylmethionine/metabolism', 'Stimulation, Chemical']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",['10.1042/bj2420479 [doi]'],ppublish,Biochem J. 1987 Mar 1;242(2):479-83. doi: 10.1042/bj2420479.,PMC1147730,,,,,,,,,,,,,,
3109327,NLM,MEDLINE,19870708,20081121,0385-0684 (Print) 0385-0684 (Linking),14,6 Pt 1,1987 Jun,[Comparative study of the activating effects of recombinant human interleukin 2 and interferon-gamma on cell-mediated cytotoxicity against renal cell carcinoma in vitro].,1825-9,"The effects of recombinant interleukin-2 (IL-2) and interferon-gamma (IFN-gamma) on lymphocyte-mediated cytotoxicity against established human renal carcinoma cell lines KU-2 and Caki 1, and freshly prepared human renal carcinoma cells were compared in vitro. After incubation of peripheral blood lymphocytes from normal adult volunteers with IL-2 and IFN-gamma over a range of concentrations, cytotoxicity was determined by 4-h 51Cr-release assay. Augmentation of cytotoxicity by IL-2 and IFN-gamma was dose-and time-dependent. IL-2 induced significantly greater cytotoxicity against renal carcinoma cells than did IFN-gamma. The optimal dose of IL-2 was 100 to 500 units/ml, and cytotoxicity was increased even at concentrations as low as 4 units/ml. The results indicated that the systemic administration of IL-2 to patients will be effective for treatment of renal cell carcinoma which is resistant to interferon therapy. A continuous infusion or multiple repeated bolus doses over a period of one day, however, should be considered in order to maintain high levels of IL-2 in the serum.","['Marumo, K', 'Ueno, M', 'Baba, S', 'Muraki, J', 'Deguchi, N', 'Tazaki, H']","['Marumo K', 'Ueno M', 'Baba S', 'Muraki J', 'Deguchi N', 'Tazaki H']",['jpn'],"['Comparative Study', 'English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Interleukin-2)', '82115-62-6 (Interferon-gamma)']",IM,"['Adult', 'Carcinoma, Renal Cell/*immunology', 'Cell Line', '*Cytotoxicity, Immunologic', 'Humans', 'Immunity, Cellular', 'Interferon-gamma/*immunology', 'Interleukin-2/*immunology', 'Kidney Neoplasms/*immunology', 'Leukemia/immunology', 'Middle Aged']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1987 Jun;14(6 Pt 1):1825-9.,,,,,,,,,,,,,,,
3109271,NLM,MEDLINE,19870626,20191029,0192-8562 (Print) 0192-8562 (Linking),9,1,1987 Spring,Evaluation of gonadal function following long-term treatment for acute lymphoblastic leukemia in girls.,15-22,"Twenty-four girls were studied following long-term treatment (mean: 50 months) for acute lymphoblastic leukemia; 14 were prepubertal and 10 pubertal. Follow-up during endocrine studies ranged from 2 months to 6.7 years (mean: 2.3 years). Five of 14 prepubertal patients started clinical pubertal development at a normal age and were reevaluated during puberty, increasing the pubertal group to 15 patients. Thirteen of 15 pubertal patients had received cranial radiotherapy. Ten of 15 pubertal patients started menses during the endocrine study. Although age of menarche was normal, in nine patients it was below the normal mean. Except for the remaining patient, all had received cranial cobalt therapy. In 6 of 19 patients bone age was significantly accelerated. Serum gonadotrophin response to LH-RH was normal in 13 prepubertal patients and in 10 pubertal patients. In 3 of 10 pubertal patients follicle-stimulating hormone (FSH) values were temporarily elevated. Only one pubertal patient had oligoamenorrhea. Five patients were studied by measuring serum progesterone on days 19-22 of the cycle to determine corpus luteum function. Three of them showed progesterone levels compatible with adequate corpus luteum function (6, 19, and 12 ng/ml, respectively) and two presented low progesterone levels (2 ng/ml), probably because of their short gynecological age (0.24 and 0.3 years, respectively). This study suggests that neither the disease nor the long-term antileukemia therapy seems to injure gonadal function in girls. A tendency to early sexual development was observed, which may be related to cranial cobalt therapy.","['Pasqualini, T', 'Escobar, M E', 'Domene, H', 'Muriel, F S', 'Pavlovsky, S', 'Rivarola, M A']","['Pasqualini T', 'Escobar ME', 'Domene H', 'Muriel FS', 'Pavlovsky S', 'Rivarola MA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,"['4G7DS2Q64Y (Progesterone)', '4TI98Z838E (Estradiol)', '9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)']",IM,"['Acute Disease', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Estradiol/blood', 'Evaluation Studies as Topic', 'Female', 'Follicle Stimulating Hormone/metabolism', 'Follow-Up Studies', 'Gonads/drug effects/*physiology', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Luteinizing Hormone/blood', 'Pituitary-Adrenal System/drug effects/physiology', 'Progesterone/blood', 'Puberty/drug effects']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1097/00043426-198721000-00004 [doi]'],ppublish,Am J Pediatr Hematol Oncol. 1987 Spring;9(1):15-22. doi: 10.1097/00043426-198721000-00004.,,,,,,,,,,,,,,,
3109232,NLM,MEDLINE,19870701,20190510,0002-9173 (Print) 0002-9173 (Linking),87,6,1987 Jun,Molecular genotyping was not necessary.,788,,"['Cantu-Rajnoldi, A', 'Ferrari, M']","['Cantu-Rajnoldi A', 'Ferrari M']",['eng'],['Letter'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Immunoglobulin kappa-Chains)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Genotype', 'Humans', 'Immunoglobulin kappa-Chains/analysis', 'Leukemia, Myeloid, Acute/*diagnosis', 'Receptors, Antigen, B-Cell/analysis']",1987/06/01 00:00,1987/06/01 00:01,['1987/06/01 00:00'],"['1987/06/01 00:00 [pubmed]', '1987/06/01 00:01 [medline]', '1987/06/01 00:00 [entrez]']",['10.1093/ajcp/87.6.788 [doi]'],ppublish,Am J Clin Pathol. 1987 Jun;87(6):788. doi: 10.1093/ajcp/87.6.788.,,,,,,,,,,,,,,,
3109221,NLM,MEDLINE,19870722,20191029,0065-2776 (Print) 0065-2776 (Linking),40,,1987,The arrangement of immunoglobulin and T cell receptor genes in human lymphoproliferative disorders.,247-321,"Immunoglobulin and T cell antigen receptor genes in their germ-line form are organized as discontinuous DNA elements that are joined by recombinations during lymphocyte development. The analysis of immunoglobulin gene structure and arrangement has been of great value in the study of human lymphoid neoplasms. The analysis of rearranged immunoglobulin and T cell receptor genes has been of value in defining the lineage (T or B cell) of neoplasms that were of controversial origin previously, determining the clonality of abnormal lymphocyte proliferations, diagnosing and monitoring the therapy of lymphoid malignancies, determining the state of maturation and the causes for failure of maturation of cells of the B cell series, and providing major insights into the cause of malignant transformation of B and T lymphoid cells. Thus, the application of this molecular genetic approach has great potential for complementing conventional marker analysis, cytogenetics, and histopathology, thus broadening the scientific basis for the classification, diagnosis, and monitoring of the therapy of lymphoid neoplasia.","['Waldmann, T A']",['Waldmann TA'],['eng'],"['Journal Article', 'Review']",United States,Adv Immunol,Advances in immunology,0370425,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulins)', '0 (Receptors, Antigen, T-Cell)']",IM,"['B-Lymphocytes/physiology', 'Cell Differentiation', 'Genes', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Immunoglobulins/*genetics', 'Immunologic Deficiency Syndromes/genetics', 'Leukemia/genetics', 'Lymphoma/genetics', 'Lymphoproliferative Disorders/*genetics', 'Receptors, Antigen, T-Cell/*genetics', 'T-Lymphocytes/physiology', 'Translocation, Genetic']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1016/s0065-2776(08)60241-2 [doi]'],ppublish,Adv Immunol. 1987;40:247-321. doi: 10.1016/s0065-2776(08)60241-2.,,,350,,,,,,,,,,,,
