PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,TT,PMC,SI,OID,OTO,OT,GN,OAB,OABL
3011151,NLM,MEDLINE,19860703,20210216,0006-4971 (Print) 0006-4971 (Linking),67,6,1986 Jun,Absence of oncogene amplifications and occasional activation of N-ras in lymphoblastic leukemia of childhood.,1698-704,"To examine whether determination of (1) the copynumber or restriction pattern of certain oncogenes or (2) the mutational activation of the N-ras gene might contribute to the risk classification of acute lymphoblastic leukemia of childhood (ALL), we investigated DNA isolated from lymphoblasts of untreated patients. Restriction enzyme analysis of cellular oncogenes was performed on DNA of 25 patients. No rearrangements could be demonstrated within or near the genes c-myc, c-myb, c-abl, bcr, c-Ki-ras, and N-ras. No amplifications of these genes nor of N-myc or c-Ha-ras were present. Eight of 21 patients were heterozygote for ""rare"" Ha-ras allelic restriction fragments that have been associated with an increased risk of developing a malignancy. These patients were clinically indistinguishable from patients lacking these fragments. The breakpoint cluster region (bcr) that is rearranged in all patients with Philadelphia chromosome positive chronic myeloid leukemia, was normal in all cases, including at least one patient with Philadelphia chromosome positive ALL. A 2.8 kb HindIII fragment of a hitherto unknown gene or pseudogene related to v-myb probably derives from the Y chromosome. Nineteen patients were examined for point mutations in the N-ras gene, using a novel synthetic oligonucleotide hybridization assay. In two patients activating point mutations were present, both in positions 1 of the 12th codon. Both patients were somewhat older than the others (16 and 11 years), had L2 morphology, and were shown to have high growth fractions of tumor in their bone marrow.","['Rodenhuis, S', 'Bos, J L', 'Slater, R M', 'Behrendt, H', ""van 't Veer, M"", 'Smets, L A']","['Rodenhuis S', 'Bos JL', 'Slater RM', 'Behrendt H', ""van 't Veer M"", 'Smets LA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,['EC 3.1.21.- (DNA Restriction Enzymes)'],IM,"['Adolescent', 'Alleles', 'Base Sequence', 'Child', 'Child, Preschool', 'DNA Restriction Enzymes/metabolism', 'Female', '*Gene Amplification', 'Humans', 'Infant', 'Leukemia, Lymphoid/*genetics', 'Male', 'Mutation', 'Nucleic Acid Hybridization', '*Oncogenes']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",['S0006-4971(20)69941-4 [pii]'],ppublish,Blood. 1986 Jun;67(6):1698-704.,,,,,,,,,,,
3011149,NLM,MEDLINE,19860703,20210216,0006-4971 (Print) 0006-4971 (Linking),67,6,1986 Jun,T cell-derived migration-inhibitory factor and colony-stimulating factor share common structural elements.,1619-23,"Migration-inhibitory factor (MIF) is a lymphokine that acts to localize mononuclear phagocytes (monocytes and macrophages) and perhaps to activate them. Mo cells are a human T cell leukemia virus II-infected T cell line previously shown to secrete large quantities of MIF upon stimulation with phytohemagglutinin and phorbol myristate acetate. MIF was purified from Mo cell-conditioned medium by gel filtration, phenyl-Sepharose affinity chromatography, isoelectrofocusing, and reverse-phase high-performance liquid chromatography (RP-HPLC). Overall purification was 6,000-fold. The purified MIF fraction was found to display potent colony-stimulating factor (CSF) activity when assayed on human bone marrow cells. The double peak of MIF activity as shown by C 18-RP-HPLC coincided with the double peak of CSF activity. A monoclonal antibody selected for its anti-MIF activity absorbed both the CSF and the MIF activity. These findings indicate that MIF and CSF are either identical molecules or closely related molecules with common structural elements.","['Kawaguchi, T', 'Golde, D W', 'Mednis, A', 'Bersch, N', 'Clark, S', 'Remold, H G']","['Kawaguchi T', 'Golde DW', 'Mednis A', 'Bersch N', 'Clark S', 'Remold HG']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Colony-Stimulating Factors)', '0 (Lymphokines)', '0 (Phytohemagglutinins)', '0 (tumor migration inhibition factor)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Line', 'Chromatography, Affinity', 'Chromatography, Gel', 'Chromatography, High Pressure Liquid', 'Colony-Stimulating Factors/*analysis', 'Deltaretrovirus', 'Fluorometry', 'Humans', 'Isoelectric Focusing', 'Lymphokines/*analysis', 'Phytohemagglutinins/pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",['S0006-4971(20)69927-X [pii]'],ppublish,Blood. 1986 Jun;67(6):1619-23.,"['AI 12110-01/AI/NIAID NIH HHS/United States', 'AM-05577/AM/NIADDK NIH HHS/United States', 'RR05669/RR/NCRR NIH HHS/United States', 'etc.']",,,,,,,,,,
3011086,NLM,MEDLINE,19860714,20190609,0006-3002 (Print) 0006-3002 (Linking),823,3,1986,"Cellular and viral fos genes: structure, regulation of expression and biological properties of their encoded products.",207-25,,"['Muller, R']",['Muller R'],['eng'],"['Journal Article', 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Gene Products, gag)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-fos)', '0 (Retroviridae Proteins)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Bone Neoplasms/genetics', 'Cell Differentiation/drug effects', 'Cell Division', 'Cell Line', 'Cell Survival', 'Cell Transformation, Neoplastic/chemically induced/genetics', 'Cell Transformation, Viral/drug effects', 'Fibroblasts', 'Gene Expression Regulation', 'Gene Products, gag', 'Hematopoiesis', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Mice', '*Oncogenes', 'Osteosarcoma/genetics', 'Proto-Oncogene Proteins/biosynthesis/*genetics/physiology', 'Proto-Oncogene Proteins c-fos', '*Proto-Oncogenes', 'Rats', 'Retroviridae Proteins/*genetics', 'Sarcoma Viruses, Murine/genetics', 'Teratoma/pathology', 'Tetradecanoylphorbol Acetate/pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']","['0304-419X(86)90003-X [pii]', '10.1016/0304-419x(86)90003-x [doi]']",ppublish,Biochim Biophys Acta. 1986;823(3):207-25. doi: 10.1016/0304-419x(86)90003-x.,,79,,,,,,,,,
3011082,NLM,MEDLINE,19860715,20190613,0006-2960 (Print) 0006-2960 (Linking),25,8,1986 Apr 22,Proliferation dependence of topoisomerase II mediated drug action.,2248-56,"Topoisomerase II mediated DNA scission induced by both a nonintercalating agent [4'-demethylepipodophyllotoxin 4-(4,6-O-ethylidene-beta-D-glucopyranoside) (VP-16)] and an intercalator [4'-(9-acridinylamino) methanesulfon-m-anisidide (m-AMSA)] was studied as a function of proliferation in Chinese hamster ovary (CHO), HeLa, and mouse leukemia L1210 cell lines. Log-phase CHO cells exhibited dose-dependent drug-induced DNA breaks, while plateau cells were found to be resistant to the effects of VP-16 and m-AMSA. Neither decreased viability nor altered drug uptake accounted for the drug resistance of these confluent cells. In contrast to CHO cells, plateau-phase HeLa and L1210 cells remained sensitive to VP-16 and m-AMSA. Recovery of drug sensitivity by plateau-phase CHO cells was found to reach a maximum approximately 18 h after these cells regained exponential growth and was independent of DNA synthesis. DNA strand break frequency correlated with cytotoxicity in CHO cells; log cells demonstrated an inverse log linear relationship between drug dose (or DNA damage) and colony survival, whereas plateau-derived colony survival was virtually unaffected by increasing drug dose. Topoisomerase II activity, whether determined by decatenation of kinetoplast DNA, by cleavage of pBR322 DNA, or by precipitation of the DNA-topoisomerase II complex, was uniformly severalfold greater in log-phase CHO cells compared to plateau-phase cells.","['Sullivan, D M', 'Glisson, B S', 'Hodges, P K', 'Smallwood-Kentro, S', 'Ross, W E']","['Sullivan DM', 'Glisson BS', 'Hodges PK', 'Smallwood-Kentro S', 'Ross WE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Aminoacridines)', '0 (Intercalating Agents)', '00DPD30SOY (Amsacrine)', '6PLQ3CP4P3 (Etoposide)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)', 'L36H50F353 (Podophyllotoxin)']",IM,"['Aminoacridines/*pharmacology', 'Amsacrine', 'Animals', 'Cell Line', 'Cricetinae', 'Cricetulus', 'DNA Replication/drug effects', 'DNA Topoisomerases, Type II/*metabolism', 'Etoposide/*pharmacology', 'Female', 'HeLa Cells/drug effects/enzymology', 'Humans', 'Intercalating Agents/*pharmacology', 'Kinetics', 'Leukemia L1210/enzymology', 'Mice', 'Ovary', 'Plasmids', 'Podophyllotoxin/*analogs & derivatives']",1986/04/22 00:00,1986/04/22 00:01,['1986/04/22 00:00'],"['1986/04/22 00:00 [pubmed]', '1986/04/22 00:01 [medline]', '1986/04/22 00:00 [entrez]']",['10.1021/bi00356a060 [doi]'],ppublish,Biochemistry. 1986 Apr 22;25(8):2248-56. doi: 10.1021/bi00356a060.,['CA-24586/CA/NCI NIH HHS/United States'],,,,,,,,,,
3011059,NLM,MEDLINE,19860710,20190704,0007-1048 (Print) 0007-1048 (Linking),63,1,1986 May,Purification of haemopoietic progenitor cells from patients with chronic granulocytic leukaemia using percoll density gradients and elutriation.,187-98,"Purification of haemopoietic progenitor cells from chronic granulocytic leukaemia buffy coat preparations requires a multistep approach using complementary cell separation techniques. In this study Percoll density gradient centrifugation and centrifugal elutriation were used to isolate large numbers of immature progenitor cells. Percoll density gradients were valuable as a first separation step: CFU-GM and CFU-GEMM could be enriched 75-fold in a light density fraction of d less than 1.056 g/ml and the technique could be adapted to cope with more than 10(10) buffy coat leucocytes. Progenitors cells were concentrated 3-fold by elutriation used as single method to separate buffy coat cells or when used to purify further light density Percoll fractions. When Percoll gradients and elutriation were used sequentially, undifferentiated mononuclear cells were enriched to more than 90% purity and between 5% and 40% of these cells formed CFU-GM or BFU-E colonies consisting of more than 40 cells. The enriched fractions were further characterized with monoclonal antibodies. The density and elutriation profiles of these colony forming cells resembled corresponding profiles of cells that reacted with the monoclonal antibody BI-3C5, which recognizes an antigen on primitive haemopoietic progenitor cells. Physical separation methods are a valuable first stage in the attempt to procure relatively pure myeloid progenitor cell populations, whose characteristics can then be further studied at a cellular or molecular level.","['Martin, H', 'Hibbin, J A', 'Dowding, C', 'Matutes, E', 'Tindle, R', 'Goldman, J M']","['Martin H', 'Hibbin JA', 'Dowding C', 'Matutes E', 'Tindle R', 'Goldman JM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['65455-52-9 (Percoll)', '7631-86-9 (Silicon Dioxide)', 'FZ989GH94E (Povidone)']",IM,"['Cell Separation/*methods', 'Centrifugation, Density Gradient', 'Colony-Forming Units Assay', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/immunology/*pathology', 'Humans', 'Leukemia, Myeloid/*blood', 'Leukocytes/pathology', 'Povidone', 'Silicon Dioxide']",1986/05/01 00:00,1986/05/01 00:01,['1986/05/01 00:00'],"['1986/05/01 00:00 [pubmed]', '1986/05/01 00:01 [medline]', '1986/05/01 00:00 [entrez]']",['10.1111/j.1365-2141.1986.tb07509.x [doi]'],ppublish,Br J Haematol. 1986 May;63(1):187-98. doi: 10.1111/j.1365-2141.1986.tb07509.x.,,,,,,,,,,,
3011033,NLM,MEDLINE,19860627,20041117,0732-0582 (Print) 0732-0582 (Linking),4,,1986,The human interleukin-2 receptor.,69-95,,"['Greene, W C', 'Leonard, W J']","['Greene WC', 'Leonard WJ']",['eng'],"['Journal Article', 'Review']",United States,Annu Rev Immunol,Annual review of immunology,8309206,"['0 (Antibodies, Monoclonal)', '0 (Interleukin-2)', '0 (RNA, Messenger)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)', '9007-49-2 (DNA)']",IM,"['Antibodies, Monoclonal/immunology', 'B-Lymphocytes/immunology', 'Cell Line', 'Chromosome Mapping', 'Cloning, Molecular', 'DNA/genetics', 'Deltaretrovirus', 'Gene Expression Regulation', 'Genes', 'Humans', 'Interleukin-2/*immunology', 'Kinetics', 'Leukemia/immunology/therapy', 'Lymphocyte Activation', 'Protein Processing, Post-Translational', 'RNA, Messenger/genetics', 'Receptors, Immunologic/genetics/*immunology/isolation & purification', 'Receptors, Interleukin-2', 'Retroviridae Infections/immunology/therapy', 'T-Lymphocytes/immunology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1146/annurev.iy.04.040186.000441 [doi]'],ppublish,Annu Rev Immunol. 1986;4:69-95. doi: 10.1146/annurev.iy.04.040186.000441.,,87,,,,,,,,,
3011032,NLM,MEDLINE,19860627,20151119,0732-0582 (Print) 0732-0582 (Linking),4,,1986,The receptor with high affinity for immunoglobulin E.,419-70,,"['Metzger, H', 'Alcaraz, G', 'Hohman, R', 'Kinet, J P', 'Pribluda, V', 'Quarto, R']","['Metzger H', 'Alcaraz G', 'Hohman R', 'Kinet JP', 'Pribluda V', 'Quarto R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Annu Rev Immunol,Annual review of immunology,8309206,"['0 (Detergents)', '0 (Phosphatidylinositols)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '37341-29-0 (Immunoglobulin E)', '9007-49-2 (DNA)', 'EC 2.1.1.- (Methyltransferases)', 'EC 3.4.- (Peptide Hydrolases)', 'EC 4.6.1.1 (Adenylyl Cyclases)', 'SY7Q814VUP (Calcium)']",IM,"['Adenylyl Cyclases/metabolism', 'Animals', 'Basophils/immunology/metabolism', 'Binding Sites, Antibody', 'Calcium/metabolism', 'Cell Membrane/immunology', 'DNA/genetics', 'Detergents/pharmacology', 'Humans', '*Immunoglobulin E/metabolism', 'Kinetics', 'Leukemia, Experimental/immunology', 'Lipid Metabolism', 'Methyltransferases/metabolism', 'Peptide Hydrolases/metabolism', 'Phosphatidylinositols/metabolism', 'Protein Conformation', 'Rats', '*Receptors, Fc/drug effects/genetics/metabolism', 'Receptors, IgE']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1146/annurev.iy.04.040186.002223 [doi]'],ppublish,Annu Rev Immunol. 1986;4:419-70. doi: 10.1146/annurev.iy.04.040186.002223.,,238,,,,,,,,,
3010977,NLM,MEDLINE,19860606,20190612,0006-291X (Print) 0006-291X (Linking),136,1,1986 Apr 14,Aurintricarboxylic acid and Evans Blue represent two different classes of anionic compounds which selectively inhibit the cytopathogenicity of human T-cell lymphotropic virus type III/lymphadenopathy-associated virus.,64-71,"Aurintricarboxylic acid, an anionic triphenylmethane dye, and Evans Blue, an anionic compound structurally related to suramin, are, like suramin itself, inhibitors of human T-cell lymphotropic virus type III (HTLV-III)/-lymphadenopathy-associated virus (LAV) in vitro. These compounds may be targeted, at least in part, at the HTLV-III/LAV reverse transcriptase. The lack of any appreciable cytostatic action of aurintricarboxylic acid, Evans Blue and suramin against several murine and human cell lines, their inability to inhibit cellular DNA, RNA and protein synthesis, and their high lethal dose-50 (greater than or equal to 0.340 g/kg) for NMRI mice point to the selectivity of the compounds as inhibitors of HTLV-III/LAV.","['Balzarini, J', 'Mitsuya, H', 'De Clercq, E', 'Broder, S']","['Balzarini J', 'Mitsuya H', 'De Clercq E', 'Broder S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Azo Compounds)', '0 (Benzhydryl Compounds)', '0 (Cyclohexanecarboxylic Acids)', '0 (Viral Proteins)', '4431-00-9 (Aurintricarboxylic Acid)', '45PG892GO1 (Evans Blue)', '6032D45BEM (Suramin)', '85N4AK3JAU (aurin)']",IM,"['Animals', 'Aurintricarboxylic Acid/*pharmacology/toxicity', 'Azo Compounds/*pharmacology', 'Benzhydryl Compounds/pharmacology/toxicity', 'Cell Division/drug effects', 'Cyclohexanecarboxylic Acids/*pharmacology', 'Cytopathogenic Effect, Viral/drug effects', 'Deltaretrovirus/*drug effects', 'Evans Blue/*pharmacology/toxicity', 'Injections, Intraperitoneal', 'Leukemia L1210/pathology', 'Leukemia, Erythroblastic, Acute/pathology', 'Mammary Neoplasms, Experimental/ultrastructure', 'Mice', 'Suramin/pharmacology/toxicity', 'Viral Proteins/biosynthesis']",1986/04/14 00:00,1986/04/14 00:01,['1986/04/14 00:00'],"['1986/04/14 00:00 [pubmed]', '1986/04/14 00:01 [medline]', '1986/04/14 00:00 [entrez]']","['0006-291X(86)90877-6 [pii]', '10.1016/0006-291x(86)90877-6 [doi]']",ppublish,Biochem Biophys Res Commun. 1986 Apr 14;136(1):64-71. doi: 10.1016/0006-291x(86)90877-6.,,,,,,,,,,,
3010935,NLM,MEDLINE,19860617,20190908,0090-5542 (Print) 0090-5542 (Linking),37,,1986,Recombinant DNA approaches to feline leukemia virus immunization.,207-15,"We have utilized 2 recombinant DNA strategies for immunization against FeLV in cats: (a) modified live virus was attenuated by mutation and recombination, and (b) an immunogen, consisting of subunit envelope protein, was prepared in genetically engineered yeast. Results indicated that the genetically manipulated live virus preparations were not protective against FeLV challenge because they were either not attenuated in virulence or were not sufficiently antigenic. Immunization with yeast-synthesized FeLV envelope protein followed by the modified live virus gave protective immunity in cats under experimental conditions. Future immunization attempts will concentrate on enhancing the immunogenic potency of the yeast- synthesized FeLV envelope protein.","['Luciw, P', 'Parkes, D', 'Van Nest, G', 'Dina, D', 'Hendrix, K', 'Gardner, M B']","['Luciw P', 'Parkes D', 'Van Nest G', 'Dina D', 'Hendrix K', 'Gardner MB']",['eng'],['Journal Article'],United States,Basic Life Sci,Basic life sciences,0360077,"['0 (DNA, Recombinant)', '0 (Vaccines, Attenuated)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Cat Diseases/immunology/*prevention & control', 'Cats', 'Cloning, Molecular', 'DNA Restriction Enzymes', '*DNA, Recombinant', 'Genetic Engineering/methods', '*Immunization, Passive', 'Leukemia/immunology/prevention & control/*veterinary', 'Leukemia Virus, Feline/genetics/*immunology', 'Vaccines, Attenuated']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1007/978-1-4684-5110-8_18 [doi]'],ppublish,Basic Life Sci. 1986;37:207-15. doi: 10.1007/978-1-4684-5110-8_18.,,,,,,,,,,,
3010883,NLM,MEDLINE,19860616,20151119,0385-0684 (Print) 0385-0684 (Linking),13,5,1986 May,[New directions for the use of monoclonal antibodies in leukemia diagnosis and therapy].,1798-810,"It has been just a decade since the advent of hybridoma technology, which has made it possible to obtain monoclonal antibodies using the method of Kohler and Milstein. The basic utilization and clinical application of monoclonal antibodies have been developed and generalized in leukemia and lymphoma. In addition, new exciting and specific approaches based on current knowledge of molecular biological techniques have been introduced, together with use of monoclonal antibodies. This paper introduces the following recent topics. Standardization of monoclonal antibodies detecting differentiation antigens. Chromosomal assignment of cell surface antigens. Immunoglobulin and T cell receptor genes as tumor markers. Autologous bone marrow transplantation with the use of antibodytoxin conjugates. Mouse-human chimeric monoclonal antibody.","['Ueda, R', 'Ota, K']","['Ueda R', 'Ota K']",['jpn'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Receptors, Cell Surface)', '9007-49-2 (DNA)']",IM,"['Animals', '*Antibodies, Monoclonal/immunology', 'Antigens, Surface/analysis', 'Bone Marrow Transplantation', 'DNA/genetics', 'Humans', 'Immunization, Passive', 'Leukemia/*diagnosis/therapy', 'Lymphocytes/classification', 'RNA Splicing', 'Receptors, Cell Surface/genetics']",1986/05/01 00:00,1986/05/01 00:01,['1986/05/01 00:00'],"['1986/05/01 00:00 [pubmed]', '1986/05/01 00:01 [medline]', '1986/05/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1986 May;13(5):1798-810.,,,,,,,,,,,
