PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,GR,RN,SI,PMC,AD,TT,CIN,EIN,OID
2981583,NLM,MEDLINE,19850313,20210216,0006-4971 (Print) 0006-4971 (Linking),65,2,1985 Feb,The family of human T-lymphotropic leukemia viruses: HTLV-I as the cause of adult T cell leukemia and HTLV-III as the cause of acquired immunodeficiency syndrome.,253-63,"['Wong-Staal, F', 'Gallo, R C']","['Wong-Staal F', 'Gallo RC']",['eng'],"['Journal Article', 'Review']",United States,Blood,Blood,7603509,IM,"['Acquired Immunodeficiency Syndrome/*etiology', 'Adult', 'Cell Transformation, Neoplastic/metabolism', 'Cell Transformation, Viral', 'Cytopathogenic Effect, Viral', '*Deltaretrovirus/classification/genetics/physiology', 'Gene Expression Regulation', 'Genes, Viral', 'Humans', 'Leukemia/*etiology/metabolism', 'Lymphocyte Activation', 'Retroviridae Infections/complications', 'T-Lymphocytes/*immunology/metabolism']",79,1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['S0006-4971(20)83666-0 [pii]'],ppublish,Blood. 1985 Feb;65(2):253-63.,,,,,,,,,,
2981497,NLM,MEDLINE,19850128,20190619,0003-4819 (Print) 0003-4819 (Linking),102,1,1985 Jan,Apparent transmission of human T-cell leukemia virus type III to a heterosexual woman with the acquired immunodeficiency syndrome.,63-6,"['Groopman, J E', 'Sarngadharan, M G', 'Salahuddin, S Z', 'Buxbaum, R', 'Huberman, M S', 'Kinniburgh, J', 'Sliski, A', 'McLane, M F', 'Essex, M', 'Gallo, R C']","['Groopman JE', 'Sarngadharan MG', 'Salahuddin SZ', 'Buxbaum R', 'Huberman MS', 'Kinniburgh J', 'Sliski A', 'McLane MF', 'Essex M', 'Gallo RC']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Ann Intern Med,Annals of internal medicine,0372351,IM,"['Acquired Immunodeficiency Syndrome/*microbiology/transmission', 'Adult', 'Antibodies, Viral/analysis', 'Coitus', 'Deltaretrovirus/immunology/isolation & purification', 'Female', 'Haiti/ethnology', 'Humans', 'Leukocyte Count', 'Retroviridae Infections/*microbiology', 'Trinidad and Tobago/ethnology', 'United States']",,1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.7326/0003-4819-102-1-63 [doi]'],ppublish,Ann Intern Med. 1985 Jan;102(1):63-6. doi: 10.7326/0003-4819-102-1-63.,"A 24-year-old woman developed the acquired immunodeficiency syndrome with lymphadenopathy, oral candidiasis, and Kaposi's sarcoma. Her only known risk factor for the syndrome was sexual contact with an asymptomatic Haitian man. The woman had serologic evidence for infection with human T-cell lymphotropic virus type III, and this virus was recovered from the saliva of her sexual partner. Epidemiologic and virologic studies of the cases of such patients provide further evidence of a primary pathogenetic role for this retrovirus in the acquired immunodeficiency syndrome.",['CA 18216/CA/NCI NIH HHS/United States'],"['0 (Antibodies, Viral)']",,,,,,,
2981468,NLM,MEDLINE,19850221,20190820,0361-8609 (Print) 0361-8609 (Linking),18,1,1985 Jan,Lymphoma of host origin in a marrow transplant recipient in remission of acute myeloid leukemia and receiving cyclosporin A.,73-83,"['Bloom, R E', 'Brennan, J K', 'Sullivan, J L', 'Chiganti, R S', 'Dinsmore, R', ""O'Reilly, R""]","['Bloom RE', 'Brennan JK', 'Sullivan JL', 'Chiganti RS', 'Dinsmore R', ""O'Reilly R""]",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['ABO Blood-Group System', 'Adult', '*Bone Marrow Transplantation', 'Cyclosporins/therapeutic use', 'DNA, Viral', 'Female', 'Fluorescent Antibody Technique', 'Herpesvirus 4, Human', 'Histocytochemistry', 'Humans', 'Immunoglobulin Heavy Chains/analysis', 'Immunoglobulin Light Chains/analysis', 'Leukemia, Myeloid, Acute/complications/drug therapy/pathology', 'Lymph Nodes/immunology', 'Lymphoma/*etiology', 'Metaphase', 'Nucleic Acid Hybridization']",,1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1002/ajh.2830180110 [doi]'],ppublish,Am J Hematol. 1985 Jan;18(1):73-83. doi: 10.1002/ajh.2830180110.,"Lymphomas are an uncommon complication of solid organ transplantation and rarely occur after marrow transplantation. When post-marrow transplant lymphomas have occurred, they have been of donor cell origin and when sought, Epstein-Barr virus DNA has been found in the tumor. A 21-year-old woman developed a poorly differentiated lymphocytic lymphoma 6 months after bone marrow transplantation for acute myeloid leukemia in remission. Cyclosporin A had been used as an immunosuppressant. A chromosomal polymorphism demonstrated that the tumor was of host origin and contained a monoclonal tumor marker, 46,XX INV 4 (p16q12). The tumor did not contain the DNA of the Epstein-Barr virus.","['AI18255/AI/NIAID NIH HHS/United States', 'CA23766/CA/NCI NIH HHS/United States', 'CA25512/CA/NCI NIH HHS/United States', 'etc.']","['0 (ABO Blood-Group System)', '0 (Cyclosporins)', '0 (DNA, Viral)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)']",,,,,,,
2981467,NLM,MEDLINE,19850221,20190820,0361-8609 (Print) 0361-8609 (Linking),18,1,1985 Jan,Reproducibility of the French-American-British classification of acute leukemia: the Southwest Oncology Group Experience.,47-57,"['Head, D R', 'Savage, R A', 'Cerezo, L', 'Craven, C M', 'Bickers, J N', 'Hartsock, R', 'Hosty, T A', 'Saiki, J H', 'Wilson, H E', 'Morrison, F S']","['Head DR', 'Savage RA', 'Cerezo L', 'Craven CM', 'Bickers JN', 'Hartsock R', 'Hosty TA', 'Saiki JH', 'Wilson HE', 'Morrison FS', 'et al.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Acute Disease', 'Azo Compounds', 'Evaluation Studies as Topic', 'Humans', 'Leukemia/*classification', 'Leukemia, Lymphoid/classification/pathology', 'Leukemia, Myeloid, Acute/classification/pathology', 'Naphthalenes', 'Peroxidase']",,1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1002/ajh.2830180108 [doi]'],ppublish,Am J Hematol. 1985 Jan;18(1):47-57. doi: 10.1002/ajh.2830180108.,"After initial French-American-British (FAB) diagnosis by a multiinstitutional Southwest Oncology Group panel, slides of acute leukemia cases were recirculated to panel members for second review. The reproducibility of the FAB classification is analyzed. The classification is reproducible in the 70% range in panel reviewer hands and allows remarkable reproducibility in the morphologic and cytochemical distinction of acute lymphoid leukemia (ALL) from acute myeloid leukemia (AML). The limitations of a morphologic and cytochemical classification of acute leukemia are discussed. A simplification of the FAB system, merging M1, M2, and M4 as M7, is proposed; this simplification improves the system's reproducibility.","['CA-12213/CA/NCI NIH HHS/United States', 'CA-13238/CA/NCI NIH HHS/United States', 'CA-22411/CA/NCI NIH HHS/United States', 'etc.']","['0 (Azo Compounds)', '0 (Naphthalenes)', '9YDL1Q990E (Sudan Black B)', 'EC 1.11.1.7 (Peroxidase)']",,,,,,,
2981466,NLM,MEDLINE,19850204,20190510,0002-9173 (Print) 0002-9173 (Linking),83,1,1985 Jan,Nonendemic adult T-cell leukemia/lymphoma in the United States: report of two cases and review of the literature.,18-26,"['Foucar, K', 'Carroll, T J Jr', 'Tannous, R', 'Peterson, L', 'Goeken, J A', 'Binion, S', 'Gajl-Peczalska, J', 'Kadin, M E', 'Yokoyama, W M']","['Foucar K', 'Carroll TJ Jr', 'Tannous R', 'Peterson L', 'Goeken JA', 'Binion S', 'Gajl-Peczalska J', 'Kadin ME', 'Yokoyama WM']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,"['Adolescent', 'Bone Marrow/pathology', 'Deltaretrovirus', 'Female', 'Humans', 'Leukemia/epidemiology/pathology', 'Leukocyte Count', 'Liver/pathology', 'Lymph Nodes/pathology', 'Male', 'Middle Aged', 'Retroviridae Infections/complications', 'Spleen/pathology', 'United States']",,1985/01/01 00:00,2001/03/28 10:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1093/ajcp/83.1.18 [doi]'],ppublish,Am J Clin Pathol. 1985 Jan;83(1):18-26. doi: 10.1093/ajcp/83.1.18.,"Adult T-cell leukemia/lymphoma (ATLL) is a recently described distinct clinicopathologic entity characterized by a leukemic or lymphomatous proliferation of hyperlobulated peripheral T-cells, which is usually widespread at presentation and is associated with infection by a type C retrovirus. ATLL rarely is described outside of endemic regions, which include southwestern Japan, the Caribbean region, and the southeastern United States. The authors report the clinical, pathologic, and immunologic features of two cases of nonendemic ATLL that occurred in patients from the midwest United States. One patient was a 16-year-old white girl from rural Iowa, and the other was a 46-year-old white man from rural Minnesota. The features of 13 other probable nonendemic ATLL cases from the United States were compiled and reviewed. In the United States, nonendemic ATLL occurred in widespread geographic locations, affected mostly white people, and was characterized by an aggressive course with generalized adenopathy, blood and bone marrow involvement, and hepatosplenomegaly at presentation. Skin involvement was present in one-fourth of the patients. Hypercalcemia was rare. Although antibodies to type C retrovirus were detected in three of the five patients tested, the available data is not sufficient to establish a conclusive association between nonendemic ATLL and type C retrovirus infection.",,,,,,,,,
2981452,NLM,MEDLINE,19850219,20190714,0042-6822 (Print) 0042-6822 (Linking),140,1,1985 Jan 15,The four C-terminal amino acids of the v-erbA polypeptide are encoded by an intronic sequence of the v-erbB oncogene.,179-82,"['Henry, C', 'Coquillaud, M', 'Saule, S', 'Stehelin, D', 'Debuire, B']","['Henry C', 'Coquillaud M', 'Saule S', 'Stehelin D', 'Debuire B']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,IM,"['Alpharetrovirus/*genetics', 'Amino Acid Sequence', 'Animals', 'Avian Leukosis Virus/*genetics', 'Bacteriophage lambda/genetics', 'Base Sequence', 'Chickens', '*Genes', '*Genes, Viral', '*Oncogenes', 'RNA, Messenger/genetics', 'RNA, Viral/genetics', 'Viral Proteins/*genetics']",,1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']",['10.1016/0042-6822(85)90457-x [doi]'],ppublish,Virology. 1985 Jan 15;140(1):179-82. doi: 10.1016/0042-6822(85)90457-x.,"The genome of avian erythroblastosis virus (AEV), a defective acute leukemia retrovirus, carries two distinct cell-derived oncogenes in the structure 5' delta gag-erbA-erbB-delta env3'. The nucleotide sequence of the v-erbA gene was recently reported. In order to determine the boundary between the two adjacent oncogenes, the sequence of the v-erbA/v-erbB junction of AEV was compared to that of a recombinant lambda phage containing a chicken cellular sequence representing the 5' part of c-erbB. The four C-terminal amino acids of v-erbA are in fact encoded by a c-erbB intron-derived sequence thus demonstrating that the virus acquired a truncated c-erbA gene. Furthermore the 7 to 10 amino acid residues upstream from the 4 C-terminal amino acids mentioned above appeared to be derived from env-related sequences. The splice acceptor site at the beginning of the only open reading frame for v-erbB is also present and functional in c-erbB when expressed to generate a truncated EGF (epidermal growth factor) receptor. Thus AEV joins a truncated erbA gene to a truncated erbB gene through env-derived sequences and intronic sequences from c-erbB.",,"['0 (RNA, Messenger)', '0 (RNA, Viral)', '0 (Viral Proteins)']",['GENBANK/K03258'],,,,,,
2981451,NLM,MEDLINE,19850219,20190714,0042-6822 (Print) 0042-6822 (Linking),140,1,1985 Jan 15,The involvement of a type-B retrovirus in the induction of thymic lymphomas.,159-72,"['Ball, J K', 'Arthur, L O', 'Dekaban, G A']","['Ball JK', 'Arthur LO', 'Dekaban GA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,IM,"['Animals', 'Antibodies, Monoclonal', 'DNA Restriction Enzymes', 'DNA, Viral/isolation & purification', 'Female', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental/*microbiology', 'Lymphoma/*microbiology', 'Male', 'Mammary Neoplasms, Experimental/microbiology', 'Mammary Tumor Virus, Mouse/immunology/isolation & purification', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred Strains', 'Milk/microbiology', 'Pregnancy', 'Thymus Neoplasms/*microbiology']",,1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']",['10.1016/0042-6822(85)90455-6 [doi]'],ppublish,Virology. 1985 Jan 15;140(1):159-72. doi: 10.1016/0042-6822(85)90455-6.,"A highly leukemogenic virus (DMBA-LV) (in vivo leukemogenic titer 1-5 X 10(6) IU/ml, and 35-40 days to thymic lymphoma detection) is produced by a chemical carcinogen-induced transplanted thymic lymphoma. The virus preparation is a mixture of a type-B retrovirus highly related to exogenous type-B retroviral isolates and a biologically defective type-C retrovirus. The DNA of DMBA-LV-induced-tumors contains new type-B proviruses but no additional type-C proviruses could be detected. The leukemogenicity of DMBA-LV was completely neutralized by a monoclonal antibody against MMTV envelope glycoprotein, but was not affected by a broadly reacting Friend MuLV anti-gp70 serum which effectively neutralizes type-C ecotropic, xenotropic, and recombinant retroviruses and which completely abolishes the leukemogenic activity of Moloney leukemia virus. Three type-B mammary tumor-inducing retroviral isolates, while containing type-C retroviral sequences, were not leukemogenic. A further characterization of the type-C retroviral sequences present in DMBA-LV indicated that sequences characteristic of endogenous, nonxenotropic proviruses are present. In addition, using a variety of type-C-specific retroviral DNA probes, no evidence was obtained for the presence of a type-B-C-recombinant genome in DMBA-LV. Leukemogenesis was absolutely dependent upon the presence of a functional type-B retroviral envelope gp 52 and DMBA-LV does not appear to contain a leukemogenic retroviral type-C genome.",['N01-CO-23910/CO/NCI NIH HHS/United States'],"['0 (Antibodies, Monoclonal)', '0 (DNA, Viral)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",,,,,,,
2981449,NLM,MEDLINE,19850219,20190714,0042-6822 (Print) 0042-6822 (Linking),140,1,1985 Jan 15,Pseudotyping of dual-tropic recombinant viruses generated by infection of mice with different ecotropic murine leukemia viruses.,144-51,"['Sitbon, M', 'Nishio, J', 'Wehrly, K', 'Chesebro, B']","['Sitbon M', 'Nishio J', 'Wehrly K', 'Chesebro B']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,IM,"['Animals', 'Animals, Newborn', 'Antibodies, Monoclonal', 'Fluorescent Antibody Technique', 'Friend murine leukemia virus/isolation & purification', 'Leukemia Virus, Murine/*classification/genetics/isolation & purification', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred Strains', 'Moloney murine leukemia virus/isolation & purification', 'Spleen/*microbiology']",,1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']",['10.1016/0042-6822(85)90453-2 [doi]'],ppublish,Virology. 1985 Jan 15;140(1):144-51. doi: 10.1016/0042-6822(85)90453-2.,"Using a new focal immunofluorescence assay (FIA) with monoclonal antibodies, dual-tropic recombinant mink cell focus-inducing (MCF) retroviruses were specifically detected directly in mouse cells. With the FIA, MCF and ecotropic murine leukemia virus (MuLV) infectious centers were quantitated in noninoculated AKR/J mice and in mice inoculated with either ecotropic Friend- or Moloney-MuLV. Comparison of the titers obtained in mouse and mink cells suggested that pseudotyping of MCF viruses with ecotropic MuLV envelopes occurred at different levels in these three mouse models. Adult and newborn IRW mice inoculated with Friend-MuLV produced MCF viruses which were mostly pseudotyped with ecotropic MuLV envelopes. Newborn IRW mice inoculated with Moloney-MuLV produced MCF viruses in both spleen and thymus. Most Moloney-MCF viruses from spleens were pseudotyped with ecotropic MuLV envelopes, whereas thymic Moloney-MCF viruses were not. Noninoculated AKR/J mice spontaneously produced MCF virus at least 2 months before the onset of organ enlargement, and the majority of MCF viruses in both spleens and thymuses of these mice did not appear to be pseudotyped.",,"['0 (Antibodies, Monoclonal)']",,,,,,,
2981445,NLM,MEDLINE,19850219,20190714,0042-6822 (Print) 0042-6822 (Linking),140,1,1985 Jan 15,A comparative analysis of radiation- and virus-induced leukemias in BALB/c mice.,102-12,"['Newcomb, E W', 'Binari, R', 'Fleissner, E']","['Newcomb EW', 'Binari R', 'Fleissner E']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,IM,"['Animals', 'Antigens, Surface/analysis', 'DNA, Neoplasm/analysis', 'Leukemia Virus, Murine/pathogenicity', 'Leukemia, Experimental/*microbiology/physiopathology', 'Leukemia, Radiation-Induced/*physiopathology', 'Mice', 'Mice, Inbred BALB C', 'T-Lymphocytes/immunology', 'Thymoma/microbiology/*physiopathology', 'Thymus Neoplasms/microbiology/*physiopathology', 'X-Rays']",,1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']",['10.1016/0042-6822(85)90449-0 [doi]'],ppublish,Virology. 1985 Jan 15;140(1):102-12. doi: 10.1016/0042-6822(85)90449-0.,"Endogenous murine leukemia virus (MuLV) proviral copies were analyzed in thymomas induced in normal BALB/c (Fv-1b) and in Fv-1n congenic mice by X-irradiation. Both strains of mice developed leukemia with similar kinetics, indicating that N-tropism of endogenous MuLV was not a rate-limiting factor in development of disease. Southern blot analysis, using a probe specific for ecotropic virus and for ecotropic-specific sequences retained in pathogenic, env-recombinant viruses, showed that the majority of radiation leukemias lacked newly acquired, clonally integrated, proviruses. This was in contrast to virus-induced leukemias, which routinely exhibited several new proviral integration sites. When an internal proviral DNA restriction fragment was monitored, some radiation leukemias showed evidence of nonclonal infection, accounting for more frequent isolation of infectious virus from such leukemias. Differences in expression of T-cell surface antigens were found in X-ray-induced and virus-induced leukemias. All radiation leukemias were TL positive, whereas virus-induced leukemias were primarily negative for TL. Some differences were also found in Lyt-1 and Lyt-2 expression. The data as a whole suggest that, in the majority of cases, radiation leukemogenesis is not initiated by a viral route--that is, the sort of viral mechanism for which exogenous infection by known pathogenic MuLV is the paradigm.",['CA 16599/CA/NCI NIH HHS/United States'],"['0 (Antigens, Surface)', '0 (DNA, Neoplasm)']",,,,,,,
2981443,NLM,MEDLINE,19850213,20071114,0041-1337 (Print) 0041-1337 (Linking),39,1,1985 Jan,Late-onset interstitial pneumonia following allogeneic bone marrow transplantation.,21-3,"['Wingard, J R', 'Santos, G W', 'Saral, R']","['Wingard JR', 'Santos GW', 'Saral R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplantation,Transplantation,0132144,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Cytomegalovirus Infections/complications', 'Female', 'Follow-Up Studies', 'Herpes Zoster/complications', 'Humans', 'Leukemia/complications/therapy', 'Male', 'Pneumocystis', 'Pulmonary Fibrosis/*etiology', 'Transplantation, Homologous/adverse effects']",,1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Transplantation. 1985 Jan;39(1):21-3.,"Although most episodes of interstitial pneumonia (IP) following allogeneic bone marrow transplantation occur during the second or third month, occasional cases occur later. The records of 139 patients transplanted for leukemia over 6 years were reviewed in this study to examine cases of IP occurring beyond 100 days following marrow transplantation. Ten episodes of IP occurred among the 67 patients who survived 100 days (an actuarial probability of 18%). All cases occurred within the first year. An infectious cause was established in 80%. The case fatality rate was 60%. Although most infectious cases of IP occurring before 100 days are caused by cytomegalovirus, the late-onset cases in this study were caused by a heterogeneous group of pathogens, some of which were amenable to specific therapies. Thus, an aggressive approach to establishing a specific diagnosis should be made in cases of IP occurring more than 100 days after marrow transplantation.","['CA-15396/CA/NCI NIH HHS/United States', 'CAO-6973/CA/NCI NIH HHS/United States']",,,,,,,,
