PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,OID,OAB,OABL,OTO,OT,GN,CON,SI,CIN,EIN,RIN
2813417,NLM,MEDLINE,19891221,20190501,0027-8424 (Print) 0027-8424 (Linking),86,22,1989 Nov,Replication of human immunodeficiency virus 1 and Moloney murine leukemia virus is inhibited by different heteroatom-containing analogs of myristic acid.,8655-9,"Myristoyl-CoA:protein N-myristoyltransferase (NMT; EC 2.3.1.97) catalyzes the cotranslational linkage of myristate to the N-terminal glycine residues of several cellular, viral, and oncoproteins. We have recently synthesized a series of sulfur- and oxygen-substituted analogs of myristic acid that are similar in length to the 14:0 fatty acid yet have hydrophobicities equivalent to dodecanoate or decanoate. Previous in vitro enzyme assays and metabolic labeling studies indicate that some of these analogs are excellent substrates for NMT and are incorporated into subsets of cellular N-myristoyl proteins. Their sequence-specific incorporation probably arises from cooperative interactions between the acyl CoA and peptide binding sites of NMT. The human immunodeficiency virus 1 (HIV-1) and Moloney murine leukemia virus (MoMLV) depend on myristoylation of gag polyprotein precursors for assembly. We have tested four analogs--12-methoxydodecanoic acid, 10-propoxydecanoic acid, 5-octyloxypentanoic acid, and 11-ethylthioundecanoic acid--for their ability to block replication of these retroviruses. All reduce HIV-1 replication when incubated with CD4+ H9 cells for 10 days at 10-100 microM. 12-Methoxydodecanoic acid is most effective, producing a concentration-dependent decrease in (i) reverse transcriptase activity (to levels that were 5-10% of control at 20-40 microM), (ii) p24 levels, and (iii) syncytia formation. This degree of inhibition of HIV-1 replication is equivalent to that seen with 5 microM 3'-azido-3'-deoxythymidine and is accomplished without apparent toxicity, as measured by cell viability, protein, and nucleic acid synthesis. 5-Octyloxypentanoic acid inhibits MoMLV assembly in a dose-dependent fashion without accompanying cellular toxicity, while 12-methoxydodecanoic acid has no effect. These data suggest that the use of cellular NMT activity to deliver analogs of myristate with altered physical-chemical properties to proteins that undergo this cotranslational modification may represent an effective anti-viral therapeutic strategy as well as a way to investigate the role of covalently bound fatty acid in viral assembly.","['Bryant, M L', 'Heuckeroth, R O', 'Kimata, J T', 'Ratner, L', 'Gordon, J I']","['Bryant ML', 'Heuckeroth RO', 'Kimata JT', 'Ratner L', 'Gordon JI']","['Department of Pediatrics, Washington University School of Medicine, Saint Louis, MO 63110.']",['eng'],['AI27179/AI/NIAID NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,['0 (Myristic Acids)'],IM,"['Animals', 'Cell Line', 'Cells, Cultured', 'HIV-1/drug effects/*physiology', 'Humans', 'Mice', 'Moloney murine leukemia virus/drug effects/*physiology', 'Myristic Acids/*pharmacology', 'Structure-Activity Relationship', 'Virus Replication/*drug effects']",PMC298346,1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",['10.1073/pnas.86.22.8655 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1989 Nov;86(22):8655-9. doi: 10.1073/pnas.86.22.8655.,,,,,,,,,,,,
2813398,NLM,MEDLINE,19891208,20190501,0027-8424 (Print) 0027-8424 (Linking),86,21,1989 Nov,Prostaglandins with antiproliferative activity induce the synthesis of a heat shock protein in human cells.,8407-11,"Prostaglandins (PGs) A1 and J2 were found to potently suppress the proliferation of human K562 erythroleukemia cells and to induce the synthesis of a 74-kDa protein (p74) that was identified as a heat shock protein related to the major 70-kDa heat shock protein group. p74 synthesis was stimulated at doses of PGA1 and PGJ2 that inhibited cell replication, and its accumulation ceased upon removal of the PG-induced proliferation block. PGs that did not affect K562 cell replication did not induce p74 synthesis. p74 was found to be localized mainly in the cytoplasm of PG-treated cells, but moderate amounts were found also in dense areas of the nucleus after PGJ2 treatment. p74 synthesis was not necessarily associated with cytotoxicity or with inhibition of cell protein synthesis. The results described support the hypothesis that synthesis of the 70-kDa heat shock proteins is associated with changes in cell proliferation. The observation that PGs can induce the synthesis of heat shock proteins expands our understanding of the mechanism of action of these compounds whose regulatory role is well known in many physiological phenomena, including the control of fever production.","['Santoro, M G', 'Garaci, E', 'Amici, C']","['Santoro MG', 'Garaci E', 'Amici C']","['Institute of Experimental Medicine, Consiglio Nazionale delle Ricerche, Rome, Italy.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Heat-Shock Proteins)', '0 (Neoplasm Proteins)', '0 (Prostaglandins)', '0 (Prostaglandins A)', 'AE28F7PNPL (Methionine)', 'VYR271N44P (prostaglandin A1)']",IM,"['Cell Line', 'Heat-Shock Proteins/*biosynthesis/isolation & purification', 'Humans', 'Immunoblotting', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Methionine/metabolism', 'Molecular Weight', 'Neoplasm Proteins/biosynthesis/isolation & purification', 'Prostaglandins/*pharmacology', 'Prostaglandins A/pharmacology', 'Tumor Cells, Cultured/*cytology/drug effects/metabolism']",PMC298291,1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",['10.1073/pnas.86.21.8407 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1989 Nov;86(21):8407-11. doi: 10.1073/pnas.86.21.8407.,,,,,,,,,,,,
2813374,NLM,MEDLINE,19891201,20190501,0027-8424 (Print) 0027-8424 (Linking),86,20,1989 Oct,"Expression of TL, H-2, and chimeric H-2/TL genes in transgenic mice: abnormal thymic differentiation and T-cell lymphomas in a TL transgenic strain.",7995-9,"To investigate the genetic regulation of TL expression, 12 transgenic mouse strains on a C3H (TL-nonexpressing) background have been derived: two Tg.Tlaa-3 strains with Tlaa-3 isolated from A-strain TL+ thymocytes, four Tg.T3b strains with T3b from a TL+ leukemia arising in a C57BL/6 (TL-) mouse, three Tg.Con.3 strains with an H-2Kb/T3b chimeric gene (construct 3,5'flanking region and exon 1 of H-2Kb and exons 2-6 of T3b), one Tg.Con.4 strain with a T3b/H-2Kb chimeric gene (construct 4, 5' flanking region and exon 1 of T3b and exons 2-8 of H-2Kb), and two Tg.H-2Kb strains with H-2Kb. Expression of the transgenes was determined by the presence of TL or H-2Kb products or transcripts. Both Tg.Tlaa-3 strains expressed high levels of TL antigen in thymus, indicating that (i) the 9.6-kilobase Tlaa-3 DNA fragment contains sufficient information for correct tissue-specific expression in thymocytes and (ii) TL- thymocytes of C3H provide conditions for the transcriptional activation of Tlaa-3. In contrast, neither the four Tg.T3b strains nor the Tg.Con.4 strain expressed transgenes, indicating that (i) T3b lacks elements necessary for TL expression in normal thymocytes and (ii) the corresponding endogenous TL genes of C3H mice also lack these elements. The pattern of TL expression in two of the three Tg.Con.3 strains was similar to that of H-2Kb expression, indicating that transcription of this H-2Kb/T3b chimeric gene was driven by the regulatory sequences of H-2Kb. The thymuses of mice derived from the Tg.Tlaa-3-1 strain were smaller than C3H thymuses, and the surface phenotype of Tg.Tlaa-3-1 thymocytes resembled thymocyte precursors (TL+L3T4-Lyt-2-Thy-1+H-2+). These mice developed a high incidence of lymphomas with the same thymocyte precursor phenotype. The study of TL transgenic strains should prove useful in defining the role of TL in normal and abnormal T-cell differentiation.","['Hamasima, N', 'Takahashi, T', 'Taguchi, O', 'Nishizuka, Y', 'Stockert, E', 'Old, L J', 'Obata, Y']","['Hamasima N', 'Takahashi T', 'Taguchi O', 'Nishizuka Y', 'Stockert E', 'Old LJ', 'Obata Y']","['Aichi Cancer Center Research Institute, Nagoya, Japan.']",['eng'],['CA08748/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, Neoplasm)', '0 (H-2 Antigens)', '0 (Membrane Glycoproteins)', '0 (thymus-leukemia antigens)']",IM,"['Animals', 'Antigens, Neoplasm/*genetics', 'Cell Differentiation', 'Chimera', 'Female', 'Gene Expression Regulation, Neoplastic', 'Genes, MHC Class I', 'H-2 Antigens/*genetics', 'Lymphoma/genetics/immunology', 'Male', 'Membrane Glycoproteins/*genetics', 'Mice', 'Mice, Transgenic', 'Phenotype', 'T-Lymphocytes/*immunology', 'Thymus Gland/cytology/immunology', 'Transcription, Genetic']",PMC298200,1989/10/01 00:00,1989/10/01 00:01,['1989/10/01 00:00'],"['1989/10/01 00:00 [pubmed]', '1989/10/01 00:01 [medline]', '1989/10/01 00:00 [entrez]']",['10.1073/pnas.86.20.7995 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1989 Oct;86(20):7995-9. doi: 10.1073/pnas.86.20.7995.,,,,,,,,,,,,
2813261,NLM,MEDLINE,19891219,20190818,0724-8741 (Print) 0724-8741 (Linking),6,8,1989 Aug,Saturable process involved in active efflux of vincristine as a mechanism of multidrug resistance in P388 leukemia cells.,690-6,"Kinetic analysis of vincristine (VCR) efflux in multidrug-resistant and parental P388 leukemia cells was performed to investigate the difference in activity between the two cell lines. Efflux velocities of VCR were directly determined from the slope of the initial release of drug induced by resuspending the preloaded cells in VCR-free medium, representing unidirectional efflux from intracellular free or loosely bound drug pools. Further, the equilibrium binding of VCR to whole-cell homogenates was analyzed by ultrafiltration to estimate intracellular unbound drug concentrations. A two-site binding model was found to fit the data best for both cell lines, and depletion of ATP by the addition of apyrase decreased binding. The binding parameters were similar between the two cell lines. A Hofstee plot of efflux demonstrated the existence of both linear and saturable transport of VCR in both cell lines. The greater maximum velocity observed with VCR efflux in the resistant cells suggests that an increased number of transporters causes greater activity of this process in the resistant cells.","['Watanabe, T', 'Inaba, M', 'Sugiyama, Y']","['Watanabe T', 'Inaba M', 'Sugiyama Y']","['Japanese Foundation for Cancer Research, Tokyo, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Pharm Res,Pharmaceutical research,8406521,['5J49Q6B70F (Vincristine)'],IM,"['Animals', 'Biological Transport, Active', 'Drug Resistance', 'Leukemia P388/metabolism', 'Tumor Cells, Cultured/metabolism', 'Ultrafiltration', 'Vincristine/metabolism/*pharmacology']",,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",['10.1023/a:1015986405834 [doi]'],ppublish,Pharm Res. 1989 Aug;6(8):690-6. doi: 10.1023/a:1015986405834.,,,,,,,,,,,,
2813080,NLM,MEDLINE,19891221,20151119,0029-5566 (Print) 0029-5566 (Linking),28,5,1989 Oct,[Bone marrow scintigraphy and magnetic resonance tomography in malignant lymphomas: comparison with histologic results].,166-71,"One hundred and seven patients with malignant Hodgkin and non-Hodgkin lymphoma were examined by bone marrow scintigraphy, MRI of bone marrow and bone marrow biopsy to detect bone marrow infiltration. The study included 2 patients where autopsy findings were subsequently available, 3 patients with blind rebiopsy and one patient with guided rebiopsy. The findings of bone marrow imaging and biopsy were classified as normal (grade 0), suggesting reactive changes of bone marrow (grade 1) or suspicious for infiltration (grade 2). About half of all results of biopsy and imaging methods agreed completely. There was a difference of two steps in the classification in only 2 cases (MRI) and 5 cases (scintigraphy). In patients with chronic lymphocytic leukemia false negative findings by both bone marrow imaging techniques were frequent. Unilateral blind bone marrow biopsy is usually accepted as the golden standard for the presence or absence of tumor infiltration. Although a positive biopsy result must be accepted as proof of bone marrow infiltration, our results indicate that a negative biopsy does not exclude tumor involvement. In all 4 patients with infiltration suspected on MRI or scintigraphy results but with normal findings or reactive changes in the first blind biopsy, blind rebiopsy or guided rebiopsy confirmed the results of the imaging methods. In both patients evaluated at autopsy the preceding MRI and scintigraphy results were confirmed completely, although in both of these patients antemortem biopsy had indicated different findings.(ABSTRACT TRUNCATED AT 250 WORDS)","['Linden, A', 'Zankovich, R', 'Theissen, P', 'Schauerte, G', 'Diehl, V', 'Schicha, H']","['Linden A', 'Zankovich R', 'Theissen P', 'Schauerte G', 'Diehl V', 'Schicha H']","['Institut fur klinische und experimentelle Nuklearmedizin, Universitat Koln, BRD.']",['ger'],,"['English Abstract', 'Journal Article']",Germany,Nuklearmedizin,Nuklearmedizin. Nuclear medicine,7609387,['7440-26-8 (Technetium)'],IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Biopsy', 'Bone Marrow/*pathology', 'Female', 'Hodgkin Disease/*diagnosis/pathology', 'Humans', 'Lymphoma, Non-Hodgkin/*diagnosis/pathology', '*Magnetic Resonance Imaging', 'Male', 'Middle Aged', '*Technetium']",,1989/10/01 00:00,1989/10/01 00:01,['1989/10/01 00:00'],"['1989/10/01 00:00 [pubmed]', '1989/10/01 00:01 [medline]', '1989/10/01 00:00 [entrez]']",,ppublish,Nuklearmedizin. 1989 Oct;28(5):166-71.,Knochenmarkszintigraphie und Kernspintomographie bei malignen Lymphomen: Vergleich mit histologischen Ergebnissen.,,,,,,,,,,,
2812967,NLM,MEDLINE,19891128,20161123,0031-4021 (Print) 0031-4021 (Linking),44,5,1989,[Isolated cerebral calcifications after prophylactic treatment of cerebromeningeal involvement of acute lymphoblastic leukemia: relation of psycho-intellectual sequelae].,405-11,"Intracranial calcifications were demonstrated by CT scan in 5 children after complete remission of acute lymphoblastic leukemia (ALL). Initial treatment included prophylactic irradiation of central nervous system and intrathecal methotrexate. Behavioral abnormalities or learning difficulties were clinically apparent in all children at the time of the radiologic examination. Isolated intracranial calcifications represent one of possible cerebral sequelae that are to be found in 53% of children receiving treatment for ALL. No fine correlation between direct toxic effect of methotrexate or, post-radiation lesion, and neuro-psychological sequelae can be done. In an attempt to avoid some of this sequelae, suppression of cranial irradiation from ALL treatment protocols is now studied.","['Rejou, F', 'Khatib, N', 'Bourbotte, M', 'Margueritte, G', 'Jean, R']","['Rejou F', 'Khatib N', 'Bourbotte M', 'Margueritte G', 'Jean R']","[""Service des maladies des enfants et d'hygiene du premier age, hopital Saint-Charles, Montpellier, France.""]",['fre'],,"['Case Reports', 'Journal Article']",France,Pediatrie,Pediatrie,0401127,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Brain Diseases/diagnostic imaging/*etiology', 'Calcinosis/diagnostic imaging/*etiology', 'Child, Preschool', 'Female', 'Humans', 'Injections, Spinal', 'Male', 'Methotrexate/administration & dosage/*adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy/*therapy', 'Psychotic Disorders/etiology', 'Radiotherapy/*adverse effects', 'Tomography, X-Ray Computed']",,1989/01/01 00:00,2000/05/05 09:00,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '2000/05/05 09:00 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Pediatrie. 1989;44(5):405-11.,Calcifications cerebrales isolees apres traitement prophylactique des atteintes cerebro-meningees de la leucemie aigue lymphoblastique de l'enfant: rapport avec les sequelles psycho-intellectuelles.,,,,,,,,,,,
2812966,NLM,MEDLINE,19891128,20151119,0031-4021 (Print) 0031-4021 (Linking),44,5,1989,[Joint pediatric and psychiatric interviews of parents of leukemic children].,397-403,"The authors (pediatricians and psychiatrists) report on a three-year-experience of joint interviews with parents of children with malignant diseases. These meetings, held at diagnosis and a few months afterwards, throw a light on the familial environment and help parents in expressing their feelings towards their traumatic situation.","['Frappaz, D', 'Bouteille, M', 'Tamet, J Y']","['Frappaz D', 'Bouteille M', 'Tamet JY']","['Unite de chimiotherapie massive et de greffe de moelle, hopital Nord, Saint-Priest-en-Jarez, France.']",['fre'],,"['English Abstract', 'Journal Article']",France,Pediatrie,Pediatrie,0401127,,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Day Care, Medical/psychology', 'Family', 'Humans', '*Interview, Psychological', 'Leukemia/*psychology', 'Parents/*psychology', 'Pediatrics', ""Physician's Role""]",,1989/01/01 00:00,2000/05/05 09:00,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '2000/05/05 09:00 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Pediatrie. 1989;44(5):397-403.,Entretiens conjoints pediatre-psychiatre avec des parents d'enfants leucemiques.,,,,,,,,,,,
2812957,NLM,MEDLINE,19891221,20131121,0236-5286 (Print) 0236-5286 (Linking),46,2-3,1989,"Thyroid function in severe ""nonthyroidal illness"". Longitudinal studies in haematological patients.",133-42,"It is known that in severe nonthyroidal illness the regulation of thyroid function, the distribution and metabolism of thyroid hormones may change. The present study aimed at clarifying whether a change in the function of the pituitary-thyroid axis can be detected in an approximately homogeneous group of haematological patients, and how it is correlated with the various phases of the disease and with the therapeutic result. Studies were performed on patients with chronic and acute myelogenous leukaemia: serum levels of total thyroxine and triiodothyronine, free thyroxine and triiodothyronine, reverse triiodothyronine and thyrotropic hormone were determined. Apart from a few cases, there was no dysfunction of the pituitary-thyroid axis in chronic leukaemic patients being in the remission phase. However, the peripheral thyroxine metabolism may be altered. The longitudinal studies on acute myelogenous leukaemic patients indicate that, with the progression of the disease, serum TSH and thyroid hormone levels were reduced in a part of the cases and it is not justified to assess the free serum thyroxine level by an analogue-tracer method in this disease. The examinations have revealed that the various phases of the clinical picture as well as the therapeutic results considerably influence the function of the pituitary-thyroid axis. It seems reasonable to consider these findings in the other severe nonthyroidal illnesses as well.","['Foldes, J', 'Varadi, G', 'Lakatos, P', 'Banos, C', 'Tarjan, G']","['Foldes J', 'Varadi G', 'Lakatos P', 'Banos C', 'Tarjan G']","['First Department of Medicine, Semmelweis University Medical School, Budapest, Hungary.']",['eng'],,['Journal Article'],Hungary,Acta Med Hung,Acta medica Hungarica,8400269,"['06LU7C9H1V (Triiodothyronine)', '9002-71-5 (Thyrotropin)', 'Q51BO43MG4 (Thyroxine)']",IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood/epidemiology', 'Leukemia, Myeloid, Acute/*blood/epidemiology', 'Longitudinal Studies', 'Middle Aged', 'Thyroiditis/*physiopathology', 'Thyrotropin/blood', 'Thyroxine/blood', 'Triiodothyronine/blood']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Acta Med Hung. 1989;46(2-3):133-42.,,,,,,,,,,,,
2812823,NLM,MEDLINE,19891211,20131121,0030-9311 (Print) 0030-9311 (Linking),29,5-6,1989 May-Jun,Cerebrospinal fluid lactic dehydrogenase activity in children with acute lymphoblastic leukemia treated for cranial prophylaxis.,112-5,"Total lactic dehydrogenase (TLDH) activity in cerebrospinal fluid (CSF) has been prospectively studied in order to determine whether it could be a biochemical marker for brain damage due to cranial prophylaxis in children with acute lymphoblastic leukemia (ALL). TLDH activity has been measured in 15 patients before prophylaxis, in 15 patients after the prophylaxis which consisted of cranial radiotherapy (2400 rads) and intrathecal methotrexate (0.5 mg/kg-dose, 5 doses), in 8 patients after radiotherapy alone (2400 rads) and in 9 patients after intrathecal methotrexate (0.5 mg/kg-dose, 5 doses) alone. TLDH activity in CSF of combined prophylaxis group has been found to be higher than the ones before study (p less than 0.05). There were insignificant elevations of TLDH activity in the other two groups (p greater than 0.05; p greater than 0.05). This result indicated combined cranial prophylaxis seemed to be more toxic than the other prophylaxis regimens when they were used alone.","['Caglar, M K', 'Hicsonmez, G', 'Renda, N']","['Caglar MK', 'Hicsonmez G', 'Renda N']",,['eng'],,['Journal Article'],Indonesia,Paediatr Indones,Paediatrica Indonesiana,0376416,"['EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Brain Diseases/etiology/*prevention & control', 'Child', 'Child, Preschool', 'Combined Modality Therapy/adverse effects', 'Humans', 'L-Lactate Dehydrogenase/*cerebrospinal fluid/radiation effects', 'Methotrexate/adverse effects/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*cerebrospinal fluid/drug therapy/radiotherapy', 'Prospective Studies', 'Radiotherapy/adverse effects']",,1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",,ppublish,Paediatr Indones. 1989 May-Jun;29(5-6):112-5.,,,,,,,,,,,,
2812760,NLM,MEDLINE,19891208,20091021,0030-6002 (Print) 0030-6002 (Linking),130,43,1989 Oct 22,[Onset of Philadelphia chromosome negative chronic myeloid leukemia with symptoms of intrahepatic cholestasis].,2315-8,"The case of a chronic myelogenous leukemia (CML) starting in an unusual form in a young woman is reported. Rapidly progressing icterus was the first and leading symptom of the disease. Simultaneously with the exclusion of the possibility of hepatitis and extrahepatic obstruction of the bile duct the qualitative blood picture roused the suspicion of a myeloproliferative disease. Detailed hematological examinations confirmed Philadelphia chromosome (Ph1) negative CML. Besides the histologically diffuse leukemic infiltration intrahepatic cholostasis could be demonstrated in the background of the icterus. In the chronic and accelerated phase clinical symptoms developing as a consequence of hepatic organic manifestation were dominating. In the authors's case the moderate leukocytosis, initial thrombocytopenia, absence of splenomegaly, early blast-phase and short survival were atypical, characteristic of Ph1 negative CML. The diagnosis and the absence of other associated hepatopathies was supported also by the post-mortem examination. CML beginning with icteric symptoms due to intrahepatic cholostasis is considered as rarity in the literature.","['Dobronte, Z', 'Bodnar, M', 'Locsei, Z', 'Brittig, F', 'Varga, L', 'Istvan, L']","['Dobronte Z', 'Bodnar M', 'Locsei Z', 'Brittig F', 'Varga L', 'Istvan L']",,['hun'],,"['Case Reports', 'English Abstract', 'Journal Article']",Hungary,Orv Hetil,Orvosi hetilap,0376412,,IM,"['Adult', 'Cholestasis, Intrahepatic/*etiology', 'Chronic Disease', 'Female', 'Humans', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/complications/*diagnosis/pathology']",,1989/10/22 00:00,1989/10/22 00:01,['1989/10/22 00:00'],"['1989/10/22 00:00 [pubmed]', '1989/10/22 00:01 [medline]', '1989/10/22 00:00 [entrez]']",,ppublish,Orv Hetil. 1989 Oct 22;130(43):2315-8.,Intrahepatikus cholostasis tuneteivel kezdodo Philadelphia chromosoma negativ chronikus myeloid leukaemia.,,,,,,,,,,,
