PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,PMC,CON,EIN,CIN,SI,RIN,LID,RF,PS,FPS
2752121,NLM,MEDLINE,19890830,20210216,0006-4971 (Print) 0006-4971 (Linking),74,1,1989 Jul,Terminal deoxynucleotidyl transferase (TdT)-positive cells in cerebrospinal fluid and development of overt CNS leukemia: a 5-year follow-up study in 113 children with a TdT-positive leukemia or non-Hodgkin's lymphoma.,416-22,"We investigated whether an indirect nuclear terminal deoxynucleotidyl transferase (TdT) immunofluorescence (IF) assay on single cells present in the cerebrospinal fluid (CSF) is more effective than conventional cytomorphology for early detection or exclusion of (minimal) meningeal leukemic infiltration in patients with a TdT+ malignancy. During a 5-year follow-up study, 1,661 consecutive CSF samples from 113 children with a TdT+ acute lymphoblastic leukemia (ALL) (n = 100), a TdT+ acute nonlymphoblastic leukemia (ANLL) (n = 8), or a TdT+ non-Hodgkin's lymphoma (NHL) (n = 5) were analyzed. In 1,511 (91.9%) of 1,643 evaluable CSF samples, the positive and negative findings of both cytomorphology and the TdT-IF assay were concordant. In 47 (2.9%) samples from 28 patients, the cytomorphology was suspect while the TdT-IF assay was negative; follow-up as long as 58 months revealed no CNS leukemia in any patient. In 85 (5.2%) samples, cytomorphology was negative (n = 70) or suspect (n = 15) but TdT+ cells were detected. RBC contamination seriously hampered evaluation in 31 of these 85 samples. From the remaining 54 TdT+ samples from 29 patients, 40 samples preceded overt CNS leukemia in 20 patients. Two consecutive findings of TdT+ cells in the CSF were always followed by overt CNS leukemia. At initial diagnosis, 11 children had TdT+ cells in their RBC-free CSF. In one of these children, morphology was suspect; a repeated lumbar puncture was positive on both assays. Thus, initial CNS leukemia was diagnosed. In the other ten children, morphology was negative. In six of them, CNS leukemia was diagnosed 2 to 20 months later. In 32 other children examined at initial diagnosis, neither TdT+ cells nor blasts were observed in the CSF. In none of these patients was a CNS leukemia diagnosed after a follow-up of 2.5 to 57 months (median 24 months). In 207 control CSF samples from 58 children with TdT- oncologic, hematologic, or infectious diseases, no TdT+ cells could be detected. The TdT-IF assay is easy to perform and is a more reliable diagnostic tool for detection of CNS leukemia at an early stage than is cytomorphology. At initial diagnosis, the finding of Tdt+ cells in a RBC-free CSF sample with a negative cytomorphology is highly predictive for development of overt CNS leukemia.","['Hooijkaas, H', 'Hahlen, K', 'Adriaansen, H J', 'Dekker, I', 'van Zanen, G E', 'van Dongen, J J']","['Hooijkaas H', 'Hahlen K', 'Adriaansen HJ', 'Dekker I', 'van Zanen GE', 'van Dongen JJ']","['Department of Immunology, University Hospital Dijkzigt/Erasmus University, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,['EC 2.7.7.31 (DNA Nucleotidylexotransferase)'],IM,"['Brain Neoplasms/*cerebrospinal fluid', 'Cerebrospinal Fluid/pathology', 'Child', 'DNA Nucleotidylexotransferase/cerebrospinal fluid/*metabolism', 'Follow-Up Studies', 'Humans', 'Leukemia/*cerebrospinal fluid/diagnosis/enzymology', 'Leukemia, Myeloid, Acute/cerebrospinal fluid/diagnosis/enzymology', 'Lymphoma, Non-Hodgkin/*enzymology', 'Spinal Cord Neoplasms/*cerebrospinal fluid']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",['S0006-4971(20)77370-2 [pii]'],ppublish,Blood. 1989 Jul;74(1):416-22.,,,,,,,,,,,,
2752120,NLM,MEDLINE,19890830,20210216,0006-4971 (Print) 0006-4971 (Linking),74,1,1989 Jul,Nonrandom abnormalities of chromosome 9p in childhood acute lymphoblastic leukemia: association with high-risk clinical features.,409-15,"To assess the frequency and significance of nonrandom abnormalities of chromosome 9p in childhood acute lymphoblastic leukemia (ALL), we analyzed our experience with 398 consecutive cases with completely banded karyotypes. Forty cases (10%) with abnormalities of 9p were identified: 26 with deletions, nine with unbalanced translocations resulting in the loss of 9p material, and five with apparently balanced reciprocal translocations. As compared with children with ALL lacking 9p abnormalities, these 40 cases were significantly older, had higher initial circulating WBC counts, more ""lymphomatous"" disease characteristics (including presence of a mediastinal mass in 15%. T-cell phenotype in 26%, splenomegaly greater than 8 cm in 25%), an increased failure rate in the first 2 to 3 years after diagnosis, and a higher incidence of extramedullary relapse. Conversely, lymphomatous ALL cases were twice as likely (19% v 8%) to have an abnormality of chromosome 9p than ALL cases lacking lymphomatous features (P = .01). The finding of an abnormal chromosome 9p, however, was not specific for lymphomatous ALL or T-cell lineage, because most cases were neither lymphomatous nor T-cell, and the overall Kaplan-Meier distribution of treatment failures for abnormal 9p cases was not statistically significantly different from control ALL cases receiving the same treatment who lacked abnormalities of 9p (P = .06, by log-rank test). We conclude that nonrandom abnormalities of chromosome 9p, especially a breakpoint in 9p21-22, occur with increased frequency in childhood ALL in association with some high-risk clinical features. Despite this association, the chromosome anomaly is nonspecific in its syndrome delineation and confers no major adverse consequence on long-term survival of childhood ALL treated with modern therapy. However, due to an apparently increased hazard of involvement of the CNS (eight of 17 failures), it may be inadvisable to lessen the intensity of CNS preventive therapy for this group of patients.","['Murphy, S B', 'Raimondi, S C', 'Rivera, G K', 'Crone, M', 'Dodge, R K', 'Behm, F G', 'Pui, C H', 'Williams, D L']","['Murphy SB', 'Raimondi SC', 'Rivera GK', 'Crone M', 'Dodge RK', 'Behm FG', 'Pui CH', 'Williams DL']","[""Department of Hematology-Oncology, St Jude Children's Research Hospital, Memphis.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Child', '*Chromosomes, Human, Pair 9', 'Humans', 'Karyotyping', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*genetics', 'Prognosis', 'Risk Factors']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",['S0006-4971(20)77369-6 [pii]'],ppublish,Blood. 1989 Jul;74(1):409-15.,"['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,
2752119,NLM,MEDLINE,19890830,20210216,0006-4971 (Print) 0006-4971 (Linking),74,1,1989 Jul,Two regression models and a scoring system for predicting survival and planning treatment in myelodysplastic syndromes: a multivariate analysis of prognostic factors in 370 patients.,395-408,"Therapy planning in patients with myelodysplastic syndromes (MDSs) is complicated by its high prognostic heterogeneity. Forty-one patient and disease characteristics at onset of 370 patients with MDS were analyzed to identify significant prognostic factors for survival and transformation to acute myeloblastic leukemia (AML), and to develop and validate a regression model for predicting survival. Multivariate regression analysis showed that the total bone marrow percentage of blast cells, age, platelet count, WBC count, and hemoglobin level were the characteristics more significantly associated with survival in the overall series. The bone marrow percentage of type I blast cells was the most important factor predicting transformation into AML. Proportional hazards regression analysis in a randomly selected training sample of 240 patients demonstrated that the combination of total bone marrow percentage of blast cells, platelet count, and age had the strongest predictive relation to survival length. The resulting regression models, continuous and categorized, were validated in the remaining test sample of 130 patients by demonstrating its capability of segregating patients into low-, intermediate-, and high-risk groups, with distinctively different survival curves (P less than .0001). A scoring system derived from the categorized model also had a great prognostic value (P less than .0001). These regression models and the simpler scoring system may be accurately used for decision-making regarding therapy in MDS patients.","['Sanz, G F', 'Sanz, M A', 'Vallespi, T', 'Canizo, M C', 'Torrabadella, M', 'Garcia, S', 'Irriguible, D', 'San Miguel, J F']","['Sanz GF', 'Sanz MA', 'Vallespi T', 'Canizo MC', 'Torrabadella M', 'Garcia S', 'Irriguible D', 'San Miguel JF']","['Hematology Service Hospital La Fe, Valencia, Spain.']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,,IM,"['Female', 'Humans', 'Leukemia/etiology', 'Male', 'Myelodysplastic Syndromes/diagnosis/*therapy', 'Prognosis', 'Regression Analysis', 'Risk Factors']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",['S0006-4971(20)77368-4 [pii]'],ppublish,Blood. 1989 Jul;74(1):395-408.,,,,,,,,,,,,
2752118,NLM,MEDLINE,19890830,20210216,0006-4971 (Print) 0006-4971 (Linking),74,1,1989 Jul,Infection of human T-cell leukemia virus type I and development of human T-cell leukemia lymphoma in patients with hematologic neoplasms: a possible linkage to blood transfusion.,388-94,"Among 354 adult patients with either hematological malignancy or aplastic anemia, eight were positive for anti-HTLV-I antibodies; six of eight had received multiple transfusions. There was an approximately 3.5-fold increase (P less than .001) of HTLV-I seropositivity in the patients with hematologic disease (8 of 354, 2.23%) compared to the healthy adults older than 20 years (34 of 5252, .65%). Two hematological patients, one with Hodgkin's disease and one with acute promyelocytic leukemia, were found to be positive for HTLV-I, and developed and died of adult T-cell leukemia/lymphoma (ATL) subsequently. Both were long-term survivors of the primary disease and had received multiple transfusions. The latent period from blood transfusion to onset of ATL was 6 months and 11 years, respectively. Immunocompromised patients, who were seropositive for HTLV-I, may be at increased risk for ATL compared to healthy carriers of HTLV-I, and the latent period may be shorter.","['Chen, Y C', 'Wang, C H', 'Su, I J', 'Hu, C Y', 'Chou, M J', 'Lee, T H', 'Lin, D T', 'Chung, T Y', 'Liu, C H', 'Yang, C S']","['Chen YC', 'Wang CH', 'Su IJ', 'Hu CY', 'Chou MJ', 'Lee TH', 'Lin DT', 'Chung TY', 'Liu CH', 'Yang CS']","['Department of Laboratory Medicine, National Taiwan University Medical School, Taipei, Republic of China.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Viral)', '0 (DNA, Neoplasm)', '0 (DNA, Viral)']",IM,"['Antibodies, Viral/analysis', 'Blood Transfusion', 'Blotting, Southern', 'DNA, Neoplasm/genetics', 'DNA, Viral/genetics', 'Female', 'Human T-lymphotropic virus 1/immunology', 'Humans', 'Leukemia/*complications/therapy', 'Leukemia-Lymphoma, Adult T-Cell/*microbiology', 'Lymphoma/*complications/therapy', 'Male', 'Time Factors']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",['S0006-4971(20)77367-2 [pii]'],ppublish,Blood. 1989 Jul;74(1):388-94.,,,,,,,,,,,,
2752115,NLM,MEDLINE,19890830,20210216,0006-4971 (Print) 0006-4971 (Linking),74,1,1989 Jul,Antibodies against platelet glycosphingolipids: detection in serum by quantitative HPTLC-autoradiography and association with autoimmune and alloimmune processes.,274-84,"In order to assess the importance of glycosphingolipids (GSL) in the immunology of the platelet, serum antibody binding to immobilized, purified platelet GSLs have been quantitatively measured via high-performance thin-layer chromatography (HPTLC), 125I-radio-immunolabeling, autoradiography, and densitometry. Thirteen neutral GSL bands were detected at Rf.03 through .64 (CHCl3-CH3OH-H2O, 65:25:4) after extraction and chromatography (DEAE-Sephadex and Bio-sil A). Both IgM and IgG serum antibody binding was determined for 50 subjects from four groups: normal blood donors (NBD, n = 18); leukemia patients with nonimmune thrombocytopenia (NIT, n = 10); patients with systemic lupus erythematosus (SLE, n = 10); and patients with chronic autoimmune thrombocytopenia (CATP, n = 12). The ABO typing of these 50 subjects also allowed correlation of serum antibody binding with A blood group antigen expression. These studies reveal: (1) anti-GSL binding at band .06 is associated with blood group A alloantigen expression for both IgG and IgM (P less than .0001) antibodies; (2) binding at bands .17, .27, and/or .46 is associated with general autoimmunity (SLE and CATP) for IgM (P less than .0001); (3) binding at bands .35 and/or .38 is associated with platelet-specific autoimmunity (CATP) for IgG and/or IgM (P less than .005); and (4) binding at bands .03, .20, .23, and/or .43 is frequently observed for sera from all groups. The platelet specificity of bands .35 and .38 was confirmed by comparative studies with human intestinal smooth muscle GSLs. Quantitation of the intensity of CATP-associated anti-GSL binding (86 +/- 88 mm2) is comparable to anti-A alloantigen binding (57 +/- 52 mm2). Two of the GSL bands associated with SLE and CATP appear to be the long-chain fatty-acyl forms of globotriaosyl ceramide (.27) and globotetraosyl ceramide (.17), which are the Pk and P blood group antigens, respectively. These studies indicate that neutral GSLs may be important antigens in both autoimmune and alloimmune processes involving the blood platelet.","['Koerner, T A', 'Weinfeld, H M', 'Bullard, L S', 'Williams, L C']","['Koerner TA', 'Weinfeld HM', 'Bullard LS', 'Williams LC']","['Department of Pathology, University of Iowa College of Medicine, Iowa City 52242.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Autoantibodies)', '0 (Glycosphingolipids)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Isoantibodies)', '0 (Isoantigens)']",IM,"['Autoantibodies/immunology', 'Autoimmune Diseases/*immunology', 'Blood Platelets/*immunology', 'Chromatography, Thin Layer', 'Glycosphingolipids/blood/*immunology', 'Humans', 'Immunoglobulin G/immunology', 'Immunoglobulin M/immunology', 'Isoantibodies/immunology', 'Isoantigens/immunology', 'Leukemia/immunology', 'Lupus Erythematosus, Systemic/immunology', 'Purpura, Thrombocytopenic/immunology', 'Thrombocytopenia/immunology']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",['S0006-4971(20)77352-0 [pii]'],ppublish,Blood. 1989 Jul;74(1):274-84.,,,,,,,,,,,,
2752042,NLM,MEDLINE,19890901,20190609,0006-3002 (Print) 0006-3002 (Linking),992,1,1989 Jul 21,Isolation and purification of protein kinase C from human leukemia ML-1 cells phosphorylation of human leukemia RNA polymerase II in vitro.,87-95,"Protein kinase C (PKC) was purified to near homogeneity from human leukemia ML-1 cells. The purified enzyme showed a single polypeptide band of 80 kDa on SDS-polyacrylamide gel after electrophoresis, and was totally dependent on Ca2+/phospholipid for activity. Diacylglycerol and the tumor-promoting on Ca2/phospholipid for activity. Diacylglycerol and the tumor-promoting phorbol esters stimulated the enzyme activity. Autophosphorylation of PKC purified from phenyl-Sepharose column showed both 80- and 37 kDa polypeptides. Further fractionation of PKC on a hydroxyapatite column revealed two peaks of enzyme activity, indicating that there may be two different forms of protein kinase C present in human leukemia cells. The purified PKC was used to phosphorylate RNA polymerase II of human leukemia cells in vitro and the autoradiogram showed that RNA polymerase II large subunits (240, 220 and 150 kDa) were phosphorylated in a time-dependent manner.","['Chuang, L F', 'Zhao, F K', 'Chuang, R Y']","['Chuang LF', 'Zhao FK', 'Chuang RY']","['Department of Pharmacology, School of Medicine, University of California, Davis 95616.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Diglycerides)', '0 (Phosphatidylserines)', 'EC 2.7.11.13 (Protein Kinase C)', 'EC 2.7.7.- (RNA Polymerase II)', 'M4I0D6VV5M (Calcium Chloride)']",IM,"['Autoradiography', 'Calcium Chloride/pharmacology', 'Chromatography, DEAE-Cellulose', 'Diglycerides/metabolism', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia/enzymology', 'Phosphatidylserines/metabolism', 'Phosphorylation', 'Protein Kinase C/*isolation & purification/metabolism', 'RNA Polymerase II/*isolation & purification/metabolism', 'Tumor Cells, Cultured/*enzymology']",1989/07/21 00:00,1989/07/21 00:01,['1989/07/21 00:00'],"['1989/07/21 00:00 [pubmed]', '1989/07/21 00:01 [medline]', '1989/07/21 00:00 [entrez]']","['0304-4165(89)90054-8 [pii]', '10.1016/0304-4165(89)90054-8 [doi]']",ppublish,Biochim Biophys Acta. 1989 Jul 21;992(1):87-95. doi: 10.1016/0304-4165(89)90054-8.,['CA 33022/CA/NCI NIH HHS/United States'],,,,,,,,,,,
2752031,NLM,MEDLINE,19890829,20190609,0006-3002 (Print) 0006-3002 (Linking),982,2,1989 Jul 10,Enhancement of colloid uptake by tumor cell surface electrical charge modification.,307-8,Colloidal [51Cr]chromic phosphate uptake is considerably increased by preincubation of P388 ascites leukemia cells with poly(DL-lysine). The uptake increase is in direct relationship with the concentration and the degree of polymerization of poly(DL-lysine). The probable implication of cell surface electrical charge modification in these phenomena is discussed.,"['Anghileri, L J', 'Maincent, P', 'Robert, J']","['Anghileri LJ', 'Maincent P', 'Robert J']","['Laboratory of Biophysics, Faculty of Medicine, University of Nancy, France.']",['eng'],['Journal Article'],Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Chromium Compounds)', '0 (Colloids)', '0 (Phosphates)', '0R0008Q3JB (Chromium)', '25104-18-1 (Polylysine)', 'AQ86ZJ9U98 (chromic phosphate)']",IM,"['Animals', 'Chromium/pharmacokinetics', '*Chromium Compounds', 'Colloids', 'Leukemia P388/metabolism', 'Mice', 'Mice, Inbred Strains', 'Phosphates/pharmacokinetics', 'Polylysine/*pharmacology', 'Tumor Cells, Cultured/*metabolism']",1989/07/10 00:00,1989/07/10 00:01,['1989/07/10 00:00'],"['1989/07/10 00:00 [pubmed]', '1989/07/10 00:01 [medline]', '1989/07/10 00:00 [entrez]']","['0005-2736(89)90070-9 [pii]', '10.1016/0005-2736(89)90070-9 [doi]']",ppublish,Biochim Biophys Acta. 1989 Jul 10;982(2):307-8. doi: 10.1016/0005-2736(89)90070-9.,,,,,,,,,,,,
2752027,NLM,MEDLINE,19890829,20190609,0006-3002 (Print) 0006-3002 (Linking),982,2,1989 Jul 10,Modifications of LDL-receptor-mediated endocytosis rates in CEM lymphoblastic cells grown in lipoprotein-depleted fetal calf serum.,265-70,"The efficiency of supplying cholesterol by the LDL endocytic pathway of lymphoblastic T CEM cells was compared when incubated in the presence of either fetal calf serum (FCS) or lipoprotein-depleted fetal calf serum (LDFCS). In the presence of FCS, there were 8600 +/- 2000 LDL receptors/cell with a Kd of (2.2 +/- 0.8).10(-8) M and a receptor cycling time of about 7 min; about 90% of the internalized LDL was degraded. LDL degradation produced 98% of total cellular cholesterol and only 2% came from endogenous synthesis. The absence of LDL in the culture medium of lymphoblastic CEM cells deeply modified certain metabolic and structural characteristics of the cells. Their cholesterol content decreased; the total number of LDL receptors increased 6-fold, whereas their affinity for the ligand decreased by the same factor (Kd = (1.2 +/- 0.2).10(-7) M); the receptor cycling time increased 3-fold. Finally, LDL degraded by cholesterol-depleted CEM cells amounted to about 40% of that degraded by untreated CEM cells.","['Sainte-Marie, J', 'Vidal, M', 'Sune, A', 'Ravel, S', 'Philippot, J R', 'Bienvenue, A']","['Sainte-Marie J', 'Vidal M', 'Sune A', 'Ravel S', 'Philippot JR', 'Bienvenue A']","['U.A. 530, INSERM U.58, Montpellier, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Lipoproteins, LDL)', '0 (Receptors, LDL)', '97C5T2UQ7J (Cholesterol)']",IM,"['Cholesterol/metabolism', '*Endocytosis', 'Fetal Blood/physiology', 'Homeostasis', 'Humans', 'Leukemia, T-Cell/metabolism/pathology', 'Lipoproteins, LDL/*physiology', 'Receptors, LDL/analysis/*physiology', 'Tumor Cells, Cultured']",1989/07/10 00:00,1989/07/10 00:01,['1989/07/10 00:00'],"['1989/07/10 00:00 [pubmed]', '1989/07/10 00:01 [medline]', '1989/07/10 00:00 [entrez]']","['0005-2736(89)90063-1 [pii]', '10.1016/0005-2736(89)90063-1 [doi]']",ppublish,Biochim Biophys Acta. 1989 Jul 10;982(2):265-70. doi: 10.1016/0005-2736(89)90063-1.,,,,,,,,,,,,
2751676,NLM,MEDLINE,19890817,20151119,0158-5231 (Print) 0158-5231 (Linking),18,6,1989 Jun,Potentiation of harringtonine cytotoxicity by calcium antagonist diltiazem and biscoclaurine alkaloid cepharanthine in adriamycin-resistant P388 murine leukemia and K562 human leukemia cells.,1077-83,"Harringtonine showed cross resistance in adriamycin-resistant murine leukemia P388 (P388/ADM) and human leukemia K562 (K562/ADM) cells. The relative resistance of the P388/ADM and K562/ADM cells to harringtonine was about 7 and 40, respectively. Calcium influx blockers, diltiazem and the biscoclaurine alkaloid cepharanthine enhanced the cytotoxicity of harringtonine in P388/ADM and K562/ADM cells. The extent of enhancement was different for the two drugs, and up to a 9- to 10-fold increase in harringtonine cytotoxicity occurred in P388/ADM cells, and 14- to 22-fold enhancement in K562/ADM cells with diltiazem or cepharanthine. Harringtonine resistance of P388/ADM was circumvented completely, and the resistance of K562/ADM was circumvented partially, by diltiazem or cepharanthine. The mechanism of enhanced cytotoxicity by diltiazem and cepharanthine is probably inhibition of active efflux of harringtonine in P388/ADM and K562/ADM cells.","['Yamamoto, S', 'Hui, P Z', 'Fukuda, Y', 'Tatsumi, K', 'Mino, M']","['Yamamoto S', 'Hui PZ', 'Fukuda Y', 'Tatsumi K', 'Mino M']","['Department of Pediatrics, Osaka Medical College, Takatsuki, Japan.']",['eng'],['Journal Article'],Australia,Biochem Int,Biochemistry international,8100311,"['0 (Alkaloids)', '0 (Benzylisoquinolines)', '0 (Growth Inhibitors)', '0 (Harringtonines)', '5J49Q6B70F (Vincristine)', '7592YJ0J6T (cepharanthine)', '80168379AG (Doxorubicin)', 'EE92BBP03H (Diltiazem)']",IM,"['Alkaloids/*pharmacology', 'Animals', 'Benzylisoquinolines', 'Biological Transport/drug effects', 'Cell Count', 'Cell Line', 'Cell Survival/drug effects', 'Diltiazem/*pharmacology', 'Doxorubicin/pharmacology', 'Drug Resistance', 'Growth Inhibitors/pharmacology', 'Harringtonines/*pharmacology/therapeutic use', 'Humans', 'Leukemia P388/drug therapy/pathology', 'Leukemia, Experimental/*pathology', 'Vincristine/pharmacology']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Biochem Int. 1989 Jun;18(6):1077-83.,,,,,,,,,,,,
2751411,NLM,MEDLINE,19890822,20190903,0365-6233 (Print) 0365-6233 (Linking),322,4,1989 Apr,"[Acetylpanaxydol and panaxydolchlorohydrin, two new polyenes from Korean ginseng with cytotoxic activity against L1210 cells].",223-6,"Two new polyines showing good cytotoxic activity against L1210 cells were isolated from Korean ginseng root. These were 3-acetyloxy-9,10-epoxy-heptadec-1-en-4,6-diyne(acet ylpanaxydol, ED50 = 0.52 microgram/ml) and 10-chloro-3,9-dihydroxyheptadec-1-en-4,6-diyne(Panaxydolc hlorohydrin, ED50 = 0.50 microgram/ml).","['Ahn, B Z', 'Kim, S I', 'Lee, Y H']","['Ahn BZ', 'Kim SI', 'Lee YH']",,['ger'],"['English Abstract', 'Journal Article']",Germany,Arch Pharm (Weinheim),Archiv der Pharmazie,0330167,"['0 (Alkynes)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Diynes)', '111103-92-5 (panaxydol chlorohydrin)', '121820-32-4 (3-acetylpanaxydol)']",IM,"['Alkynes/*pharmacology', 'Animals', 'Antineoplastic Agents, Phytogenic/*pharmacology', 'Cell Survival/drug effects', 'Diynes', 'Leukemia L1210/*pathology', 'Panax/*analysis', '*Plants, Medicinal', 'Tumor Cells, Cultured/drug effects/pathology']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",['10.1002/ardp.19893220406 [doi]'],ppublish,Arch Pharm (Weinheim). 1989 Apr;322(4):223-6. doi: 10.1002/ardp.19893220406.,,"Acetylpanaxydol und Panaxydolchlorhydrin, zwei neue, gegen L1210-Zellen cytotoxische Polyine aus Koreanischem Ginseng.",,,,,,,,,,
