PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,RN,TT,PMC,CON,SI,CIN,OTO,OT,IR,FIR,IRAD,OID,GN,EIN
2675730,NLM,MEDLINE,19891013,20170214,0003-4894 (Print) 0003-4894 (Linking),98,9,1989 Sep,Acute airway obstruction due to necrotizing tracheobronchial aspergillosis in immunocompromised patients: a new clinical entity.,718-20,"Two immunocompromised patients with severe neutropenia developed acute airway obstruction due to Aspergillus mycetoma formation in the trachea and main bronchi. The mycetomas caused transmural necrosis of the airway. In one patient, the necrosis extended through the bronchus intermedius into the pulmonary artery, resulting in a fatal hemorrhage during bronchoscopy.","['Berlinger, N T', 'Freeman, T J']","['Berlinger NT', 'Freeman TJ']","['Department of Otolaryngology, University of Minnesota, Minneapolis.']",['eng'],"['Case Reports', 'Journal Article']",United States,Ann Otol Rhinol Laryngol,"The Annals of otology, rhinology, and laryngology",0407300,IM,"['Adult', 'Airway Obstruction/*etiology', 'Aspergillosis/*complications', 'Aspergillus fumigatus/isolation & purification', 'Bronchi/pathology', 'Bronchitis/*etiology', 'Humans', '*Immune Tolerance', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications', 'Male', 'Necrosis', 'Neutropenia/complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications', 'Trachea/pathology', 'Tracheitis/*etiology']",1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",['10.1177/000348948909800911 [doi]'],ppublish,Ann Otol Rhinol Laryngol. 1989 Sep;98(9):718-20. doi: 10.1177/000348948909800911.,,,,,,,,,,,,,,,,
2675661,NLM,MEDLINE,19891018,20061115,0192-8562 (Print) 0192-8562 (Linking),11,3,1989 Fall,Childhood erythroleukemia: review of clinical and biological features.,348-59,"This article summarizes our institutional experience with childhood erythroleukemia over a 17-year period, and reviews the pertinent literature related to the disease. Although considered a rare variant of acute nonlymphoblastic leukemia, childhood erythroleukemia can be clearly identified clinically and hematologically by using routine examinations and certain investigative laboratory techniques. Conventional chemotherapy appears inadequate for producing durable long-term disease-free survival in children with this disease. Therefore, attention must now be directed to developing new treatment strategies including innovative maintenance and consolidation protocols, the use of biological response modifiers, and use of allogeneic or autologous bone marrow transplantation.","['Malkin, D', 'Freedman, M H']","['Malkin D', 'Freedman MH']","['Hospital for Sick Children, Toronto, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', '*Leukemia, Erythroblastic, Acute/blood/diagnosis/therapy', 'Male']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Am J Pediatr Hematol Oncol. 1989 Fall;11(3):348-59.,78,,,,,,,,,,,,,,,
2675658,NLM,MEDLINE,19891018,20071114,0192-8562 (Print) 0192-8562 (Linking),11,3,1989 Fall,The role of hematopoietic growth factors and oncogenes in leukemogenesis.,249-67,"Understanding of the roles and molecular mechanisms of hematopoietic growth factors has increased greatly in recent years. This past decade has also brought us tantalizingly close to linking a group of genes normally involved in the regulation of growth and differentiation--the cellular proto-oncogenes--to the process of malignant transformation. In this article, we review the known actions of hematopoietic growth factors in normal hematopoiesis and in hematologic malignancies. We then discuss current concepts of the roles of proto-oncogenes in normal cells and their potential involvement in leukemogenic events. A merging of these concepts with classical hypotheses of multistage carcinogenesis is emphasized.","['Kastan, M B', 'Strauss, L C', 'Civin, C I']","['Kastan MB', 'Strauss LC', 'Civin CI']","['Division of Pediatric Oncology, Johns Hopkins Oncology Center, Baltimore, Maryland 21205.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,IM,"['Growth Substances/*physiology/therapeutic use', 'Hematopoietic Cell Growth Factors', '*Hematopoietic Stem Cells', 'Humans', 'Leukemia/*genetics/metabolism/therapy', '*Proto-Oncogenes']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Am J Pediatr Hematol Oncol. 1989 Fall;11(3):249-67.,161,"['CA-06973/CA/NCI NIH HHS/United States', 'CA-32318/CA/NCI NIH HHS/United States', 'CA-44834/CA/NCI NIH HHS/United States']","['0 (Growth Substances)', '0 (Hematopoietic Cell Growth Factors)']",,,,,,,,,,,,,
2675406,NLM,MEDLINE,19891013,20190713,0041-1337 (Print) 0041-1337 (Linking),48,3,1989 Sep,Increasing utilization of bone marrow transplantation. II. Results of the 1985-1987 survey.,453-8,"The International Bone Marrow Transplant REgistry conducts periodic surveys to determine activity in the field of allogeneic and syngeneic bone marrow transplantation. Data were reported to the IBMTR by 258 institutions in 41 countries regarding their patients who received bone marrow transplants during the period 1985-1987. To the best of our knowledge, the data represent essentially all bone marrow transplants (exclusive of autologous transplants) performed in the past 3 years. A total of 10,887 patients received bone marrow transplants; 73% were for leukemia, 11% for other malignant diseases, 9% for severe aplastic anemia and related disorders, 3% for immune deficiency diseases, 2% for thalassemia major, and 2% for genetic, metabolic, and several other rare diseases. 161 (62%) of the 258 institutions performed fewer than one transplant per month. More than 50% of the patients were transplanted in 37 institutions. 46% of the world's bone marrow transplants were performed in North America, 42% in Western Europe, 5% in Asia, 3% in Australia and New Zealand, 2% in the Mideast and Africa, 1% in South and Central America, and 1% in Eastern Europe and the USSR. The data reflect continued growth in utilization of allogeneic and syngeneic bone marrow transplantation and quantify the annual increases in the number of patients receiving transplants.","['Bortin, M M', 'Rimm, A A']","['Bortin MM', 'Rimm AA']","['Department of Medicine, Medical College of Wisconsin, Milwaukee 53226.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplantation,Transplantation,0132144,IM,"['Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', 'Humans', 'Immunologic Deficiency Syndromes/therapy', 'Leukemia/therapy', 'Thalassemia/therapy']",1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",['10.1097/00007890-198909000-00021 [doi]'],ppublish,Transplantation. 1989 Sep;48(3):453-8. doi: 10.1097/00007890-198909000-00021.,,"['CA 40053/CA/NCI NIH HHS/United States', 'N01-AI-62530/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,,,
2675341,NLM,MEDLINE,19891025,20131121,0048-9107 (Print) 0048-9107 (Linking),32,2,1989 Apr-Jun,[The current state of knowledge on the effect of benzene on the blood and hematopoietic sites].,159-68,,"['Bittersohl, G']",['Bittersohl G'],,['ger'],"['Journal Article', 'Review']",Romania,Sante Publique (Bucur),La Sante publique,0404374,IM,"['Animals', 'Benzene/pharmacokinetics/*toxicity', 'Biotransformation', 'Blood/*drug effects', 'Blood Cells/drug effects', 'Bone Marrow/drug effects', 'Chromosome Aberrations', 'Hematopoiesis/*drug effects', 'Humans', 'Leukemia/blood/chemically induced', 'Risk Factors']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",,ppublish,Sante Publique (Bucur). 1989 Apr-Jun;32(2):159-68.,98,,['J64922108F (Benzene)'],Der gegenwartige Stand der Kenntnisse uber die Wirkung des Benzens auf das Blut und die Blutbildungsstatten.,,,,,,,,,,,,
2675236,NLM,MEDLINE,19891023,20131121,0034-8376 (Print) 0034-8376 (Linking),41,2,1989 Apr-Jun,[High doses of cytosine arabinoside in the treatment of patients with acute relapsing or refractory leukemia].,139-45,"Ten patients either in relapse (n = 7) or refractory (n = 3) acute leukemia were treated with high-dose Ara-C (3000 mg/m2) every 12 hours to a total of eight 2 doses (24,000 mg/m2). Myeloblastic (n = 5), lymphoblastic (n = 4) and hybrid (n = 1) acute leukemias were included. In the total group, complete remission was achieved in 6 of 10 cases (60%); the remission rate was higher in the relapsed than in the refractory acute leukemia group (71 versus 33%;) the duration of the complete remission ranged between 1 and 13 months, with a median of 2 months; the remission duration was also higher in the relapsed than in the refractory acute leukemia group (4 versus 1 month). Refractoriness to the high-doses of Ara-C was observed in two cases, and fatal iatrogenic myelosuppression was produced in two patients. The rate of complete remission was 80% in myelogenous leukemia and 50% in lymphoblastic leukemia. It is concluded that high-dose Ara-C is another therapeutic choice in the treatment of relapsed and perhaps refractory acute leukemia.","['Lobato-Mendizabal, E', 'Ruiz-Arguelles, G J', 'Marin-Lopez, A']","['Lobato-Mendizabal E', 'Ruiz-Arguelles GJ', 'Marin-Lopez A']",,['spa'],"['English Abstract', 'Journal Article', 'Review']",Mexico,Rev Invest Clin,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,9421552,IM,"['Adolescent', 'Adult', 'Child, Preschool', 'Cytarabine/administration & dosage/*therapeutic use', 'Drug Evaluation', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Remission Induction']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",,ppublish,Rev Invest Clin. 1989 Apr-Jun;41(2):139-45.,50,,['04079A1RDZ (Cytarabine)'],Dosis altas de arabinosido de citosina en el tratamiento de pacientes con leucemia aguda refractaria o en recaida.,,,,,,,,,,,,
2675100,NLM,MEDLINE,19891020,20051116,0361-7742 (Print) 0361-7742 (Linking),309,,1989,Bone marrow transplantation.,317-23,,"['Buckner, C D', 'Sanders, J E', 'Storb, R']","['Buckner CD', 'Sanders JE', 'Storb R']","[""Division of Clinical Research, Fred Hutchinson Cancer Research Center, Children's Hospital and Medical Center, Seattle, WA.""]",['eng'],"['Journal Article', 'Review']",United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', 'Child', 'Hematologic Diseases/therapy', 'Histocompatibility Testing', 'Humans', 'Immunologic Deficiency Syndromes/therapy', 'Leukemia/therapy', 'Lymphoma/therapy', 'Metabolism, Inborn Errors/therapy', 'Tissue Donors']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1989;309:317-23.,13,,,,,,,,,,,,,,,
2674886,NLM,MEDLINE,19891020,20190912,0031-5982 (Print) 0031-5982 (Linking),32,4,1989 Summer,Lymphomas--current progress and future directions.,513-25,,"['Samuels, B L', 'Ultmann, J E']","['Samuels BL', 'Ultmann JE']","['Joint Section of Hematology/Oncology, University of Chicago, Illinois 60637.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Perspect Biol Med,Perspectives in biology and medicine,0401132,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cytogenetics', 'Forecasting', 'Humans', '*Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy/immunology', 'Molecular Biology/trends']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1353/pbm.1989.0035 [doi]'],ppublish,Perspect Biol Med. 1989 Summer;32(4):513-25. doi: 10.1353/pbm.1989.0035.,49,['2P30 CA-14599-14/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
2674860,NLM,MEDLINE,19891016,20131121,0890-6467 (Print) 0890-6467 (Linking),5,1,1989,Coexistence of a c-myc mRNA initiated in intron 1 with the normal c-myc mRNA and similar regulation of both transcripts in mammalian cells.,73-8,"We previously described a c-myc mRNA initiated within intron 1 at a major start site designated P3. This mRNA was observed in tumorigenic murine cells with no detectable rearrangement of the c-myc gene. In the present study, we report that P3 mRNA also coexists with the P1/P2 c-myc transcript in non-tumorigenic murine cell lines and that a c-myc mRNA which appears to be an equivalent of the murine P3 transcript is found in various rat and human cells. These data suggest that P3 represents a promoter of the normal, non-rearranged mammalian c-myc gene. Furthermore, both P1/P2 and P3 mRNA levels are similarly regulated by cycloheximide and by dimethylsulfoxide (DMSO) in murine erythroleukemia Friend cells.","['Ray, D', 'Robert-Lezenes, J']","['Ray D', 'Robert-Lezenes J']","['INSERM U-248, Faculte de Medecine Lariboisiere, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Oncogene Res,Oncogene research,8801457,IM,"['Animals', 'Cell Line', 'Cycloheximide/pharmacology', 'Dimethyl Sulfoxide/pharmacology', 'Humans', '*Introns', 'Leukemia, Erythroblastic, Acute/metabolism', 'Mice', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-myc', 'RNA, Messenger/*analysis', 'Rats', '*Transcription, Genetic']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Oncogene Res. 1989;5(1):73-8.,,,"['0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myc)', '0 (RNA, Messenger)', '98600C0908 (Cycloheximide)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,,,,,,,,,
2674857,NLM,MEDLINE,19891017,20120625,0950-9232 (Print) 0950-9232 (Linking),4,9,1989 Sep,Molecular characterization of variant translocations in chronic myelogenous leukemia.,1145-8,"Five to ten percent of the Ph-positive cases of chronic myelogenous leukemia (CML), termed variant translocations, involve at least one chromosome in addition to 9 and 22 in the abnormality. The involvement of chromosome 9 band q34, where the c-abl oncogene has been localized, is not always cytogenetically detectable in so called variant translocations due to complex rearrangements. We present two cases having the most frequently involved chromosomes (#3 and #17) in such translocations. In one case, both chromosome 9's were cytogenetically normal while in the other, band 9q34 was so called 'masked' or 'hidden'. After molecular evaluation using in situ hybridization and Southern blotting techniques, the involvement of the altered bcr/abl gene was demonstrated and the cytogenetic analysis was revised. Utilization of molecular probes in the evaluation of such cases should become a routine diagnostic procedure in detecting the exchange of bcr and c-abl sequences.","['Verma, R S', 'Macera, M J', 'Benn, P', 'Groffen, J']","['Verma RS', 'Macera MJ', 'Benn P', 'Groffen J']","['Long Island College Hospital, SUNY Health Science Center, Brooklyn.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/etiology/*genetics', 'Male', 'Middle Aged', '*Protein-Tyrosine Kinases', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-abl', 'Proto-Oncogene Proteins c-bcr', '*Proto-Oncogenes', '*Translocation, Genetic']",1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",,ppublish,Oncogene. 1989 Sep;4(9):1145-8.,,,"['0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-abl)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",,,,,,,,,,,,,
