PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AD,GR,PMC,AID,EIN,SI,CIN,TT,RF,CON,OID,OAB,OABL,OTO,OT,GN
2552194,NLM,MEDLINE,19891109,20151119,0485-1439 (Print) 0485-1439 (Linking),30,6,1989 Jun,[Neurofibroma-associated left peroneal nerve palsy in a patient with acute lymphoblastic leukemia].,878-81,"Peroneal nerve palsy developed in a patient with T cell-type acute lymphoblastic leukemia (ALL) is reported. In the fifth month after starting of chemotherapy against ALL, the patient, a 7-year-old girl, developed drop foot on the left. Three possibilities were considered as its pathogenesis; (1) VCR neuropathy, (2) neurotoxicity of intrathecal MTX, (3) leukemic invasion to the spinal canal. However, there was no evidence of leukemic invasion in any lumbar taps, and no improvement was obtained by cessation of VCR and intrathecal MTX. Examination by CT scan revealed tumors in the intervertebral (L5-S2) region, which was diagnosed to be neurofibromas by biopsy. The tumors compressed the left peroneal nerve and neurotoxicity of antineoplastic agents for ALL could be the cause of her drop foot.","['Mizutani, A', 'Sakata, K', 'Nakajima, T', 'Morimoto, A', 'Tsunamoto, K', 'Shimizu, Y', 'Todo, S', 'Morioka, Y', 'Imashuku, S']","['Mizutani A', 'Sakata K', 'Nakajima T', 'Morimoto A', 'Tsunamoto K', 'Shimizu Y', 'Todo S', 'Morioka Y', 'Imashuku S']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['5J49Q6B70F (Vincristine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Child', 'Female', 'Humans', 'Lumbar Vertebrae', 'Methotrexate/adverse effects', '*Neoplasms, Multiple Primary', 'Neurofibroma/*complications/pathology', 'Paralysis/*etiology', 'Peripheral Nervous System Diseases/etiology', '*Peroneal Nerve', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*pathology', 'Sacrum', 'Spinal Neoplasms/*complications/pathology', 'Vincristine/adverse effects']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1989 Jun;30(6):878-81.,,,,,,,,,,,,,,,,
2552187,NLM,MEDLINE,19891115,20171116,0098-7484 (Print) 0098-7484 (Linking),262,17,1989 Nov 3,From the National Institutes of Health.,2359,,"['Raub, W']",['Raub W'],['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,"['0 (Dietary Fiber)', '0 (Hepatitis B Vaccines)', '0 (Interleukin-2)', '0 (Oncogene Proteins)', '0 (Phosphoproteins)', '0 (Recombinant Proteins)', '0 (Tumor Suppressor Protein p53)', '0 (Viral Hepatitis Vaccines)']",IM,"['Dietary Fiber/*administration & dosage', 'Genes, MHC Class II/*immunology', 'Hepatitis B Vaccines', 'Humans', 'Immunologic Deficiency Syndromes/*therapy', 'Interleukin-2/administration & dosage', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Oncogene Proteins/genetics', 'Phosphoproteins/genetics', 'Recombinant Proteins/administration & dosage', 'Rectal Neoplasms/*prevention & control', 'Tumor Suppressor Protein p53', 'Viral Hepatitis Vaccines/*administration & dosage']",1989/11/03 00:00,1989/11/03 00:01,['1989/11/03 00:00'],"['1989/11/03 00:00 [pubmed]', '1989/11/03 00:01 [medline]', '1989/11/03 00:00 [entrez]']",ppublish,JAMA. 1989 Nov 3;262(17):2359.,"['National Institutes of Health, Bethesda, Maryland 20892.']",,,,,,,,,,,,,,,
2552176,NLM,MEDLINE,19891109,20200724,0022-538X (Print) 0022-538X (Linking),63,11,1989 Nov,A common site for immortalizing proviral integrations in Friend erythroleukemia: molecular cloning and characterization.,4958-61,"By using a tagged derivative of Friend spleen focus-forming virus, we previously obtained evidence that proviral integration(s) in the host genome can cause erythroblast immortality by abrogating the commitment of the cell to differentiate (C. Spiro, B. Gliniak, and D. Kabat, J. Virol. 62:4129-4135, 1988). Exploiting the fact that each leukemia was a single clone that contained one tagged provirus, we have now molecularly cloned and characterized one common genomic site for immortalizing proviral integrations.","['Paul, R', 'Schuetze, S', 'Kozak, S L', 'Kabat, D']","['Paul R', 'Schuetze S', 'Kozak SL', 'Kabat D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)']",IM,"['Animals', 'Blotting, Southern', '*Cloning, Molecular', 'DNA, Viral/genetics', 'Friend murine leukemia virus/*genetics', 'Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Leukemia, Erythroblastic, Acute/*microbiology', '*Lysogeny', 'Mice', 'Restriction Mapping', 'Spleen/microbiology', 'Spleen Focus-Forming Viruses/*genetics/isolation & purification']",1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",ppublish,J Virol. 1989 Nov;63(11):4958-61. doi: 10.1128/JVI.63.11.4958-4961.1989.,"['Department of Biochemistry, School of Medicine, Oregon Health Sciences University, Portland 97201-3098.']",['CA25810/CA/NCI NIH HHS/United States'],PMC251145,['10.1128/JVI.63.11.4958-4961.1989 [doi]'],,,,,,,,,,,,
2552174,NLM,MEDLINE,19891109,20200724,0022-538X (Print) 0022-538X (Linking),63,11,1989 Nov,Differential DNA binding of nuclear proteins to a long terminal repeat region of the MCF13 and Akv murine leukemia viruses.,4945-8,Long terminal repeat (LTR) sequences of murine leukemia viruses (MLVs) have been demonstrated to be mainly responsible for the pathogenic differences in these retroviruses. A region of the LTR which is downstream of the enhancer elements has been shown to contribute both to enhancer activity as well as to disease specificity of MLVs. We have identified protein-DNA complexes generated by this region of a lymphomagenic MLV (MCF13) and one which is nonpathogenic (Akv). One protein-DNA complex we have observed for this region is unique to MCF13 DNA sequences. Detection of protein involved in this unique MCF13 complex in different cell lines revealed that it was ubiquitous.,"['Yoshimura, F K', 'Tupper, J', 'Diem, K']","['Yoshimura FK', 'Tupper J', 'Diem K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Nuclear Proteins)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'DNA, Viral/genetics/*metabolism', 'Enhancer Elements, Genetic', 'Leukemia Virus, Murine/*genetics', 'Lymphoma', 'Mice', 'Molecular Sequence Data', 'Nuclear Proteins/*metabolism', '*Repetitive Sequences, Nucleic Acid', 'Species Specificity']",1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",ppublish,J Virol. 1989 Nov;63(11):4945-8. doi: 10.1128/JVI.63.11.4945-4948.1989.,"['Department of Biological Structure, University of Washington, Seattle 98195.']",['CA-44164/CA/NCI NIH HHS/United States'],PMC251142,['10.1128/JVI.63.11.4945-4948.1989 [doi]'],,,,,,,,,,,,
2552155,NLM,MEDLINE,19891109,20200724,0022-538X (Print) 0022-538X (Linking),63,11,1989 Nov,Requirement of the single base insertion at the 3' end of the env-related gene of Friend spleen focus-forming virus for pathogenic activity and its effect on localization of the glycoprotein product (gp55).,4824-33,"In order to obtain evidence for the essential role of the single base insertion occurring at the 3' end of the env-related gene of Friend spleen focus-forming virus (SFFV) encoding the leukemogenic glycoprotein (gp55) a mutant SFFV genome was constructed in which the segment of the gp55 gene of the polycythemia-inducing strain of SFFV containing the single base insertion and the 6-base-pair duplication was replaced by the corresponding sequence of the Friend murine leukemia virus env gene. The mutant SFFV-Friend murine leukemia virus complex did not induce symptoms of the erythroproliferative disease in adult DBA/2 mice. During passage through newborn DBA/2 mice, the mutant virus complex invariably gave rise to weakly pathogenic variant SFFVs. All of the variant SFFVs induced in adult DBA/2 mice a transient mild splenomegaly associated with normal or slightly low hematocrit value, and they produced gp55 with a molecular weight similar to that of gp55 of the wild-type SFFV. For the two isolates of variant SFFV, the 3' portion of the viral DNA intermediate containing the 3' portion of the gp55 gene was molecularly cloned. Nucleotide sequences of these biologically active cloned DNAs were determined and showed that the variant SFFV genomes arose from the mutant SFFV genome by regaining the single base insertion, indicating that the single base insertion is essential for the biological activity of gp55. Evidence is presented indicating that the single base insertion which causes a loss of the cytoplasmic domain of the env-related protein is not related to the localization of the further-glycosylated form of gp55 in the plasma membrane but is involved with the release of gp55 from cells.","['Amanuma, H', 'Watanabe, N', 'Nishi, M', 'Ikawa, Y']","['Amanuma H', 'Watanabe N', 'Nishi M', 'Ikawa Y']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Membrane Glycoproteins)', '0 (Viral Envelope Proteins)', '0 (Viral Structural Proteins)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cells, Cultured', 'DNA, Viral/genetics', 'Friend murine leukemia virus/*genetics', '*Genes, Viral', 'Genetic Variation', 'Leukemia Virus, Murine/*genetics', 'Leukemia, Experimental/microbiology', 'Membrane Glycoproteins/*genetics', 'Mice', 'Molecular Sequence Data', 'Mutation', 'Plasmids', 'Restriction Mapping', 'Sequence Homology, Nucleic Acid', 'Spleen Focus-Forming Viruses/*genetics/pathogenicity', 'Viral Envelope Proteins/*genetics', 'Viral Structural Proteins/*genetics']",1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",ppublish,J Virol. 1989 Nov;63(11):4824-33. doi: 10.1128/JVI.63.11.4824-4833.1989.,"['Tsukuba Life Science Center, Institute of Physical and Chemical Research, Ibaraki, Japan.']",,PMC251120,['10.1128/JVI.63.11.4824-4833.1989 [doi]'],,,,,,,,,,,,
2552135,NLM,MEDLINE,19891109,20200724,0022-538X (Print) 0022-538X (Linking),63,11,1989 Nov,Persistent infection of rabbits with bovine leukemia virus associated with development of immune dysfunction.,4498-506,"Bovine leukemia virus (BLV) infection of rabbits provides a safe and relatively inexpensive in vivo mammalian system for the study of the mechanisms controlling expression of a unique group of lymphotropic retroviruses. This group of viruses, which includes C-type human T-lymphotropic virus types I and II and lentiviruslike human immunodeficiency virus type 1, possesses genes coding for ""trans-activating"" products. Rabbits experimentally inoculated with BLV became persistently infected, as demonstrated by a number of tests. All BLV-inoculated rabbits developed persistent serum antibody to BLV. Furthermore, all BLV-inoculated rabbits had peripheral blood mononuclear cells which, when stimulated, expressed the virus, as demonstrated by viral induction of syncytium formation in a BLV-susceptible fibroblast line. The presence of BLV in circulating cells was confirmed by using peripheral blood mononuclear cells from randomly selected BLV-inoculated rabbits, which showed the presence of viral reverse transcriptase activity, BLV transcriptional activity, or BLV proviral DNA. Additional tests showed that infected lymphocytes maintained in culture with recombinant human interleukin-2 formed multinucleated giant cells and produced virus when incubated in cytokine-containing medium. BLV-infected rabbits also showed alterations in several parameters associated with immunity, beginning 6 months after inoculation. Thirty-eight percent of infected rabbits developed abnormally low T-cell responses, as measured by phytolectin stimulation, and T-cell responses cycled between normal and abnormally low over a period of 20 to 24 months. Forty-four percent of rabbits infected for longer than 12 months suffered from recurrent conjunctivitis and rhinitis. By 24 months postinoculation, 28% of infected rabbits were dead or were killed because of poor clinical condition.","['Wyatt, C R', 'Wingett, D', 'White, J S', 'Buck, C D', 'Knowles, D', 'Reeves, R', 'Magnuson, N S']","['Wyatt CR', 'Wingett D', 'White JS', 'Buck CD', 'Knowles D', 'Reeves R', 'Magnuson NS']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Interleukin-2)']",IM,"['Animals', 'Blotting, Northern', 'DNA, Viral/genetics', 'Female', 'Gene Amplification', '*Genes, Viral', 'Immunologic Deficiency Syndromes/immunology/*microbiology', 'Interleukin-2/pharmacology', 'Leukemia Virus, Bovine/*genetics/pathogenicity', 'Lymphocyte Activation', 'Lymphocytes/drug effects/immunology', 'Male', 'Rabbits', 'Retroviridae/*genetics']",1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",ppublish,J Virol. 1989 Nov;63(11):4498-506. doi: 10.1128/JVI.63.11.4498-4506.1989.,"['Department of Microbiology, Washington State University, Pullman 99164-4340.']",['AI 26356/AI/NIAID NIH HHS/United States'],PMC251080,['10.1128/JVI.63.11.4498-4506.1989 [doi]'],['J Virol 1990 Apr;64(4):1878'],,,,,,,,,,,
2552132,NLM,MEDLINE,19891120,20190510,0027-8874 (Print) 0027-8874 (Linking),81,21,1989 Nov 1,Genetics of N-methyl-N-nitrosourea induction of thymic lymphomas in AKR/J mice: assignment of a susceptibility gene to mouse chromosome 7.,1652-5,Treatment of young AKR/J mice with N-methyl-N-nitrosourea (MNU) results in the induction of a high incidence of thymic lymphomas occurring between 4 and 6 months of age. The tumor incidence is higher and the latency period is shorter than that observed in other MNU-treated mouse strains. Analysis of tumor incidence in crosses of AKR/J with C57L/J mice indicates that several genes influence the incidence and latency of MNU-induced thymic lymphomas. One of these genes appears to be tightly linked to the albino locus of chromosome 7.,"['Angel, J M', 'Morizot, D C', 'Richie, E R']","['Angel JM', 'Morizot DC', 'Richie ER']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['684-93-5 (Methylnitrosourea)'],IM,"['Albinism/genetics', 'Animals', '*Chromosome Mapping', 'Genes, Recessive', 'Genes, Viral', 'Leukemia Virus, Murine/genetics', 'Lymphoma/chemically induced/*genetics', 'Methylnitrosourea', 'Mice', 'Mice, Inbred AKR', 'Thymus Neoplasms/chemically induced/*genetics']",1989/11/01 00:00,1989/11/01 00:01,['1989/11/01 00:00'],"['1989/11/01 00:00 [pubmed]', '1989/11/01 00:01 [medline]', '1989/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1989 Nov 1;81(21):1652-5. doi: 10.1093/jnci/81.21.1652.,"['University of Texas, M.D. Anderson Cancer Center, Science Park-Research Division, Smithville 78957.']",['RR-5511/RR/NCRR NIH HHS/United States'],,['10.1093/jnci/81.21.1652 [doi]'],,,,,,,,,,,,
2551995,NLM,MEDLINE,19891114,20150901,0371-7682 (Print) 0371-7682 (Linking),88,5,1989 May,Late onset hemorrhagic cystitis after allogeneic bone marrow transplantation.,508-11,"Three patients with acute myeloblastic leukemia, thalassemia major and aplastic anemia experienced hemorrhagic cystitis on the 23rd, 35th and 36th day respectively after allogeneic bone marrow transplantation. The conditioning regimens before transplantation comprised cyclophosphamide with or without busulfan and total lymphoid irradiation. The hematuria lasted from 5 to 45 days and then subsided after treatment. Multiple factors including the toxicity of chemotherapeutic agents, viral infection and graft-versus-host reactions may contribute to late onset hemorrhagic cystitis after allogeneic bone marrow transplantation. Adequate treatment to minimize urothelial damage from chemotherapy, screening for viral infection and controlling graft-versus-host disease are mandatory in decreasing the complication of late-onset hemorrhagic cystitis after bone marrow transplantation.","['Shieh, C C', 'Chen, B W', 'Lin, K H']","['Shieh CC', 'Chen BW', 'Lin KH']",['eng'],"['Case Reports', 'Journal Article']",China (Republic : 1949- ),Taiwan Yi Xue Hui Za Zhi,Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association,0413761,,IM,"['Adolescent', 'Bone Marrow Transplantation/*adverse effects', 'Child', 'Cystitis/*etiology', 'Cytomegalovirus Infections/complications', 'Female', 'Graft vs Host Disease/etiology', 'Hemorrhage/*etiology', 'Humans', 'Male', 'Transplantation, Homologous']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",ppublish,Taiwan Yi Xue Hui Za Zhi. 1989 May;88(5):508-11.,,,,,,,,,,,,,,,,
2551964,NLM,MEDLINE,19891109,20131121,0022-1767 (Print) 0022-1767 (Linking),143,8,1989 Oct 15,Studies of protein kinase C in the rat basophilic leukemia (RBL-2H3) cell reveal that antigen-induced signals are not mimicked by the actions of phorbol myristate acetate and Ca2+ ionophore.,2617-25,"Exogenous activators of protein kinase C such as PMA in combination with a Ca2+ ionophore (A23187), cause secretion in rat basophilic (RBL-2H3) cells,but they do so through stimulatory signals that are not the same as those generated by Ag or oligomers of IgE. On the one hand, the synergy between PMA and A23187 and the suppression of Ag-mediated signals (hydrolysis of inositol phospholipids and rise in concentration of cytosolic Ca2+) by PMA were totally dependent on protein kinase C. The loss of synergistic and inhibitory actions of PMA, for example, correlated with the loss of protein kinase C (as determined by immunoblotting techniques) when cells were continuously exposed to PMA. Furthermore, the permeabilization of RBL-2H3 cells resulted in the loss of both protein kinase C and the inhibitory action of PMA, but both were retained if cells were exposed to PMA before permeabilization Ag-induced secretion, on the other hand, was not as dependent on the presence of protein kinase C. The potent inhibitor of this enzyme, staurosporine, which blocked completely the secretory response to the combination of PMA and A23187, did not inhibit Ag-induced secretion except at concentrations (greater than 10 nM) that inhibited Ag-stimulated hydrolysis of inositol phospholipids as well. Also RBL-2H3 cells still showed some secretory-response (approximately 25% of normal) to Ag when cells were depleted (greater than 98%) of protein kinase C by prolonged treatment with PMA. Previous studies have indicated that the secretory response to PMA and A23187 is much lower than that elicited by Ag when the concentrations of stimulants were matched to give the same increase in concentrations of cytosolic Ca2+.","['Cunha-Melo, J R', 'Gonzaga, H M', 'Ali, H', 'Huang, F L', 'Huang, K P', 'Beaven, M A']","['Cunha-Melo JR', 'Gonzaga HM', 'Ali H', 'Huang FL', 'Huang KP', 'Beaven MA']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Alkaloids)', '0 (Antigens)', '0 (Phosphatidylinositols)', '37H9VM9WZL (Calcimycin)', 'EC 2.7.11.13 (Protein Kinase C)', 'H88EPA0A3N (Staurosporine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Alkaloids/pharmacology', 'Animals', 'Antigens/*immunology', 'Basophils/enzymology/metabolism/*physiology', 'Calcimycin/*pharmacology', 'Cell Line', 'Enzyme Activation/drug effects', 'Kinetics', 'Leukemia/enzymology/immunology/metabolism', 'Phosphatidylinositols/metabolism', 'Protein Kinase C/antagonists & inhibitors/*metabolism/physiology', 'Rats', 'Signal Transduction/*drug effects', 'Staurosporine', 'Tetradecanoylphorbol Acetate/*pharmacology']",1989/10/15 00:00,1989/10/15 00:01,['1989/10/15 00:00'],"['1989/10/15 00:00 [pubmed]', '1989/10/15 00:01 [medline]', '1989/10/15 00:00 [entrez]']",ppublish,J Immunol. 1989 Oct 15;143(8):2617-25.,"['Laboratory of Chemical Pharmacology, National Heart, Lung, and Blood Institute, Bethesda, MD 20892.']",,,,,,,,,,,,,,,
2551951,NLM,MEDLINE,19891120,20181113,0391-4097 (Print) 0391-4097 (Linking),12,7,1989 Jul-Aug,Effects of the antileukemic drug L-asparaginase on sex hormone-binding globulin: studies in vivo and in vitro.,489-93,"L-asparaginase, an antineoplastic drug used in the treatment of acute lymphoblastic leukemia (ALL), has been previously shown to inhibit the hepatic synthesis of thyroxine-binding globulin (TBG). In two children treated by this drug for ALL, a dramatic decrease in serum sex hormone-binding globulin (SHBG) concentrations was also observed. Serum SHBG levels were still below normal 10 days after L-asparaginase withdrawal. To ascertain whether this reduction was due to the inhibition of SHBG synthesis, SHBG was measured by an immunoradiometric assay (IRMA) in the medium from human hepatoblastoma-derived cells, Hep G2 cells, grown in the absence or presence of graded amounts of the drug from 0.1 nM to 0.1 mM. The results showed a dose-dependent inhibition of SHBG synthesis, with a 50% reduction of SHBG in the medium, assayed by IRMA, using 250 nM L-asparaginase. Furthermore, a time-dependent inhibition was observed using a fixed concentration of the drug (50 nM) added for variable time intervals (1-4 days). These data suggest that the changes observed in vivo are likely due to the inhibitory effect exerted by the drug on SHBG synthesis. This action is not specific, but is part of a general effect at the hepatic level.","['Bartalena, L', 'Martino, E', 'Pacchiarotti, A', 'Balzano, S', 'Falcone, M', 'Sica, V', 'Biddau, P', 'Pinchera, A']","['Bartalena L', 'Martino E', 'Pacchiarotti A', 'Balzano S', 'Falcone M', 'Sica V', 'Biddau P', 'Pinchera A']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,J Endocrinol Invest,Journal of endocrinological investigation,7806594,"['0 (Antineoplastic Agents)', '0 (Sex Hormone-Binding Globulin)', '0 (Thyroxine-Binding Proteins)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Antineoplastic Agents/pharmacology', 'Asparaginase/*pharmacology', 'Carcinoma, Hepatocellular/metabolism', 'Child', 'Female', 'Humans', 'Liver Neoplasms', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/drug therapy', 'Sex Hormone-Binding Globulin/*biosynthesis', 'Thyroxine-Binding Proteins/analysis']",1989/07/01 00:00,1989/07/01 00:01,['1989/07/01 00:00'],"['1989/07/01 00:00 [pubmed]', '1989/07/01 00:01 [medline]', '1989/07/01 00:00 [entrez]']",ppublish,J Endocrinol Invest. 1989 Jul-Aug;12(7):489-93. doi: 10.1007/BF03350741.,"['Istituto di Endocrinologia, Universita di Pisa, Italy.']",,,['10.1007/BF03350741 [doi]'],,,,,,,,,,,,
