PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CIN,TT,EIN,SI,PMC,GS,RIN,CON
2496771,NLM,MEDLINE,19890613,20210216,0006-4971 (Print) 0006-4971 (Linking),73,6,1989 May 1,Childhood acute lymphoblastic leukemia with chromosomal breakpoints at 11q23.,1627-34,"Twenty-one (5.7%) of 368 cases of acute lymphoblastic leukemia (ALL), studied fully for karyotype and immunophenotype, had breakpoints in the q23 region of chromosome 11. This abnormality resulted from reciprocal translocation in 17 cases [with chromosomes 4 (n = 5), 10 (n = 2), and variable chromosomes (n = 10)], from deletions in three cases, and from a duplication in one case. The 17 children with 11q23 translocations had higher leukocyte counts (P less than .01) and were more likely to be black (P less than .01) and younger (P = .08) as compared with each of the following non-11q23 translocation groups: t(1;19), t(9;22), random translocations, and cases without translocations. Event-free survival at 3 years for the 11q23 translocation group did not differ significantly from that of the t(1;19), t(9;22), or random translocation groups. Leukemic cells from ten of the 21 patients with an 11q23 structural chromosomal abnormality had an immunophenotype indicative of B-lineage ALL (HLA-DR+, CD19+, CD2-, CD3-); this was confirmed by the presence of rearranged immunoglobulin heavy-chain genes in seven cases. In eight of these ten B-lineage cases, the blasts were negative for expression of the CD10 antigen, indicating a primitive stage of B-cell development. Four cases were classified as T-cell ALL, and seven others were characterized by blasts that failed to react with our panel of lineage-associated monoclonal antibodies (MoAbs). Myeloid antigens were expressed by leukemic cells in three of the cases that were tested. The initial clinical features associated with translocations involving the 11q23 chromosomal region may define a distinct subtype of ALL. Whether the constellation of findings relates to a breakpoint at 11q23 per se or to the specific translocation will require further study.","['Raimondi, S C', 'Peiper, S C', 'Kitchingman, G R', 'Behm, F G', 'Williams, D L', 'Hancock, M L', 'Mirro, J Jr']","['Raimondi SC', 'Peiper SC', 'Kitchingman GR', 'Behm FG', 'Williams DL', 'Hancock ML', 'Mirro J Jr']","[""Department of Pathology, St Jude Children's Research Hospital, Memphis, TN 38101.""]",['eng'],"['CA-01013/CA/NCI NIH HHS/United States', 'CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (DNA Probes)', '0 (Immunoglobulin Heavy Chains)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Chromosome Aberrations/*genetics', 'Chromosome Banding', 'Chromosome Disorders', '*Chromosomes, Human, Pair 11', 'DNA Probes', 'Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Receptors, Antigen, T-Cell/genetics', '*Translocation, Genetic']",1989/05/01 00:00,2001/03/28 10:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1989/05/01 00:00 [entrez]']",['S0006-4971(20)78968-8 [pii]'],ppublish,Blood. 1989 May 1;73(6):1627-34.,,,,,,,,,
2496761,NLM,MEDLINE,19890620,20190609,0006-3002 (Print) 0006-3002 (Linking),1002,3,1989 Apr 26,Modulation by phorbol 12-myristate 13-acetate of arachidonic acid release from rat basophilic leukemia cells stimulated with A23187.,376-81,"Rat basophilic leukemia (RBL-2H3) cells were cultured in medium containing [3H]arachidonic acid and labelling of the different lipid fractions was followed with time. After up to 4 h of culture, the label was found mostly in phosphatidylcholine. After 8 h, labelling of phosphatidylethanolamine gradually exceeded that of phosphatidylcholine, until at 24 h, approximate equilibrium labelling of the lipid fractions was attained and 45% of the label was found in phosphatidylethanolamine, 35% in phosphatidylcholine, 18% in the phosphatidylserine/inositide fraction and the remainder in the neutral lipid fraction. Stimulation of cells with A23187 after 30 min of labelling caused release of [3H]arachidonic acid which was accountable by a decrease in radioactivity of phosphatidylcholine, whereas stimulation of cells after 24 h of labelling caused the release of radioactive arachidonic acid, which was accompanied by a decrease of label in both phosphatidylcholine and phosphatidylethanolamine. Incubation of the labelled cells with phorbol 12-myristate 13-acetate prior to ionophore addition enhanced both the release of [3H]arachidonic acid and its metabolites and the decrease in label of the same phospholipids as those affected by ionophore alone. Under our conditions, the enhancement effects of phorbol ester were greatest after 2-5 min of preincubation, prior to ionophore addition. The results suggest that in basophilic leukemia cells, arachidonic acid release proceeds from several pools of phospholipids and that the activity of the phospholipase(s) involved is modulated by protein kinase C.","['Froissart, P', 'Unligil, P', 'Aubry, H', 'Proulx, P']","['Froissart P', 'Unligil P', 'Aubry H', 'Proulx P']","['Department of Biochemistry, Faculty of Health Sciences, University of Ottawa, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Arachidonic Acids)', '0 (Phospholipids)', '27YG812J1I (Arachidonic Acid)', '37H9VM9WZL (Calcimycin)', 'EC 2.7.11.13 (Protein Kinase C)', 'EC 3.1.- (Phospholipases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'RXY07S6CZ2 (Prostaglandin D2)']",IM,"['Animals', 'Arachidonic Acid', 'Arachidonic Acids/*metabolism', 'Calcimycin/*pharmacology', 'Cell Line', 'Drug Synergism', 'Leukemia, Basophilic, Acute/*metabolism', 'Phospholipases/metabolism', 'Phospholipids/metabolism', 'Prostaglandin D2/metabolism', 'Protein Kinase C/metabolism', 'Rats', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured/drug effects']",1989/04/26 00:00,1989/04/26 00:01,['1989/04/26 00:00'],"['1989/04/26 00:00 [pubmed]', '1989/04/26 00:01 [medline]', '1989/04/26 00:00 [entrez]']","['0005-2760(89)90352-4 [pii]', '10.1016/0005-2760(89)90352-4 [doi]']",ppublish,Biochim Biophys Acta. 1989 Apr 26;1002(3):376-81. doi: 10.1016/0005-2760(89)90352-4.,,,,,,,,,
2496742,NLM,MEDLINE,19890619,20190704,0007-1048 (Print) 0007-1048 (Linking),71,4,1989 Apr,The bleeding disorder in acute promyelocytic leukaemia: fibrinolysis due to u-PA rather than defibrination.,511-7,"Three consecutive patients with acute promyelocytic leukaemia who presented with severe haemorrhagic syndromes were studied and the findings contrasted with those of two patients with classical defibrination after electroshock or complicated labour. The leukaemic patients showed no depletion of fibrinogen. There was no evidence of disordered thrombin generation by either intrinsic or extrinsic pathway sufficient to account for their haemorrhage. All, however, showed strikingly enhanced fibrinolytic activity, which could have accounted for bleeding. This fibrinolytic disorder was characterized by free u-PA in the plasma and differed from that seen after classical defibrination, where free t-PA was observed. U-PA was found also in malignant promyelocytes, which may be the source of u-PA activity in the patients' plasma. Bleeding in promyelocytic leukaemia may be primarily a fibrinolytic disorder.","['Bennett, B', 'Booth, N A', 'Croll, A', 'Dawson, A A']","['Bennett B', 'Booth NA', 'Croll A', 'Dawson AA']","['Department of Medicine and Therapeutics, University of Aberdeen, Foresterhill.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Fibrinolytic Agents)', 'EC 3.4.21.- (Plasminogen Activators)', 'EC 3.4.21.73 (Urokinase-Type Plasminogen Activator)']",IM,"['Electrophoresis, Polyacrylamide Gel', '*Fibrinolysis', 'Fibrinolytic Agents/*blood', 'Hemorrhage/*etiology/physiopathology', 'Humans', 'Immunoelectrophoresis, Two-Dimensional', 'Leukemia, Promyelocytic, Acute/blood/*complications/physiopathology', 'Plasminogen Activators/*blood', 'Urokinase-Type Plasminogen Activator/*blood']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",['10.1111/j.1365-2141.1989.tb06311.x [doi]'],ppublish,Br J Haematol. 1989 Apr;71(4):511-7. doi: 10.1111/j.1365-2141.1989.tb06311.x.,,,,,,,,,
2496665,NLM,MEDLINE,19890531,20061115,0385-0684 (Print) 0385-0684 (Linking),16,4 Pt 1,1989 Apr,[Transgenic mice and their use in cancer study].,733-9,"The ability to introduce the cloned gene into the mouse germ line has made possible to analyze the cis-acting DNA sequence which is involved in the tissue-specific and developmental regulation of the gene. In addition, this system can also be applied to analyze the patho-physiological roles of the introduced gene product within the mouse whole body. Therefore, this system is one of the best approaches to analyze the mechanism of oncogenesis. The chromosomal translocation is one of the mechanisms leading to the activation of oncogene. In the case of lymphoid cell tumors, the reciprocal translocation between chromosome No. 8 and No. 14 is frequently observed. With this translocation, c-myc gene can be activated by the enhancer of immunoglobulin heavy chain (E mu). We and others have demonstrated that the E mu-myc gene could induce lymphomas in transgenic mice. Following these observation we have currently many examples that activated oncogene can induce variety tumors, giving basic knowledge about the relationship between activated oncogene and cell-type specificity of tumor. On the other hand, molecular mechanism of oncogenesis which is caused by viruses such as hepatitis B virus (HBV) or human T cell leukemia virus (HTLV) is totally unknown. One main reason is the absence of animal model for these diseases. To overcome this problem, we have attempted and succeeded to produce a transgenic mouse model which consistently produces HBV. Using these mice, it will be possible to elucidate the molecular mechanism of development of hepatitis and hepatocellular carcinoma.","['Yamamura, K']",['Yamamura K'],['Institute for Medical Genetics Kumamoto University Medical School.'],['jpn'],,"['English Abstract', 'Journal Article', 'Review']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,['0 (Immunoglobulin Heavy Chains)'],IM,"['Animals', 'Gene Expression Regulation', 'Genes, Viral', 'Hepatitis B virus/genetics', 'Immunoglobulin Heavy Chains/genetics', 'Liver Neoplasms, Experimental/genetics', 'Lymphoma/genetics', 'Mice', 'Mice, Transgenic/*genetics', 'Neoplasms, Experimental/*genetics', 'Oncogenes', 'Translocation, Genetic']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1989 Apr;16(4 Pt 1):733-9.,12,,,,,,,,
2496615,NLM,MEDLINE,19890526,20191029,0192-8562 (Print) 0192-8562 (Linking),11,1,1989 Spring,Central nervous system pharmacology of antileukemic drugs.,74-86,"The blood-brain barrier provides a pharmacologic sanctuary for leukemic cells within the central nervous system (CNS), protecting them from the cytotoxic effects of systemic antileukemic therapy. Attempts to overcome this problem have included specific CNS-directed treatment in the form of direct intrathecal drug injection, cranial irradiation, and alteration in the dose and schedule of systemic agents to enhance their CNS penetration. Use of these treatments and strategies has led to the effective prevention and control of meningeal leukemia. Intrathecal therapy, primarily with methotrexate or cytosine arabinoside, is a form of regional chemotherapy that can achieve very high drug concentrations at the target site [i.e., in the meninges and cerebrospinal fluid (CSF)] with a low total dose. Therefore, there is minimal systemic toxicity. The dose and schedules, clinical pharmacology, and toxicities of the commonly used intrathecal agents are discussed in detail in this article. Another approach to overcoming the limited penetration of antileukemic drugs into the CNS has been the use of high-dose systemic therapy. Methotrexate and cytosine arabinoside in high doses have produced favorable clinical responses in patients with overt meningeal disease, and pharmacokinetic studies have documented cytotoxic concentrations of these drugs within the cerebrospinal fluid. A clear understanding of the CNS pharmacology of the antileukemic drugs is required in order to use these agents in the safest and most efficacious manner for the treatment of meningeal leukemia.","['Balis, F M', 'Poplack, D G']","['Balis FM', 'Poplack DG']","['Pediatric Branch, National Cancer Institute, Bethesda, Maryland 20892.']",['eng'],,"['Journal Article', 'Review']",United States,Am J Pediatr Hematol Oncol,The American journal of pediatric hematology/oncology,7908071,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '905Z5W3GKH (Thiotepa)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antineoplastic Agents/pharmacokinetics/*pharmacology/therapeutic use', 'Central Nervous System/*drug effects', 'Child', 'Cytarabine/pharmacokinetics/pharmacology/therapeutic use', 'Humans', 'Leukemia/*drug therapy', 'Mercaptopurine/pharmacokinetics/pharmacology/therapeutic use', 'Methotrexate/pharmacokinetics/pharmacology/therapeutic use', 'Thiotepa/pharmacokinetics/pharmacology/therapeutic use']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1097/00043426-198921000-00017 [doi]'],ppublish,Am J Pediatr Hematol Oncol. 1989 Spring;11(1):74-86. doi: 10.1097/00043426-198921000-00017.,74,,,,,,,,
2496572,NLM,MEDLINE,19890526,20061115,0065-1281 (Print) 0065-1281 (Linking),85,1,1989,A qualitative and quantitative cytochemical assay of dihydrofolate reductase in erythroid cells.,51-8,"The distribution and intensity of dihydrofolate reductase (DHFR) cytochemically demonstrable was studied in erythroid cells. Cells of normal human bone marrow, of human erythroleukaemia (M6), and cells of the Friend (MEL) clone 745A murine erythroleukaemia (also after differentiation with dimethylsulphoxide, DMSO) were stained according to Gerzeli and de Piceis Polver (1969) technique; quantification of the reaction product was made using a Vickers M86 microdensitometer. The enzyme activity progressively decreased during the normal differentiation of the erythropoietic series while persisted at high levels in erythroleukaemia cells. It can be suggested that in the 1st case, the cytochemical pattern of dihydrofolate reductase may be a useful added tool for studying the erythroid differentiation. In the 2nd case, the increased level of this enzyme may be related to an amplification of the gene of DHFR in the malignant transformation.","['Nano, R', 'Gerzeli, G', 'Invernizzi, R', 'Supino, R']","['Nano R', 'Gerzeli G', 'Invernizzi R', 'Supino R']","['Dipartimento di Biologia Animale e Centro di Studio, Istochimica del C.N.R., Italia.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Acta Histochem,Acta histochemica,0370320,['EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)'],IM,"['Animals', 'Bone Marrow/*enzymology/pathology', 'Bone Marrow Cells', 'Cells, Cultured', 'Histocytochemistry', 'Humans', 'Leukemia, Erythroblastic, Acute/*enzymology/pathology', 'Leukemia, Experimental/*enzymology/pathology', 'Mice', 'Tetrahydrofolate Dehydrogenase/*metabolism']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['S0065-1281(89)80098-4 [pii]', '10.1016/S0065-1281(89)80098-4 [doi]']",ppublish,Acta Histochem. 1989;85(1):51-8. doi: 10.1016/S0065-1281(89)80098-4.,,,,,,,,,
2496564,NLM,MEDLINE,19890601,20180216,0001-5792 (Print) 0001-5792 (Linking),81,3,1989,Lymphoid blast crisis in a patient with Philadelphia-chromosome-negative chronic myelocytic leukemia.,155-9,"A 24-year-old man with Philadelphia-chromosome (Ph)-negative chronic myelocytic leukemia (CML) developed lymphoid blast crisis. In the chronic phase, karyotype was normal and the clinical and hematological features were indistinguishable from those of Ph-positive CML. Rearrangement of the breakpoint cluster region (bcr) was observed. In the blast phase, blast cells showed early B-cell phenotype (CALLA+, Ia+, TdT+) with a rearranged immunoglobulin heavy-chain gene joining region (JH). By using an immunoblotting method and antiphosphotyrosine sera, P210bcr-abl protein was detected. The patient responded well to vincristine and prednisolone (VP) therapy. These findings support the concept that Ph-negative bcr+ CML can behave in a very similar fashion to Ph-positive CML, not only in the clinical features of the chronic phase but also in the manner of the blast crisis.","['Takahira, H', 'Shibata, K', 'Hirata, J', 'Umemura, T', 'Nishimura, J', 'Nawata, H']","['Takahira H', 'Shibata K', 'Hirata J', 'Umemura T', 'Nishimura J', 'Nawata H']","['Third Department of Internal Medicine, Faculty of Medicine, Kyushu University, Fukuoka, Japan.']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Adult', 'Biopsy, Needle', 'Blast Crisis/*genetics/immunology/pathology', 'Bone Marrow/enzymology/pathology', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Genes, Immunoglobulin', 'Histocytochemistry', 'Humans', 'Immunoblotting', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/immunology/pathology', 'Male', 'Phenotype', '*Philadelphia Chromosome']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205550 [doi]'],ppublish,Acta Haematol. 1989;81(3):155-9. doi: 10.1159/000205550.,,,,,,,,,
2496563,NLM,MEDLINE,19890601,20180216,0001-5792 (Print) 0001-5792 (Linking),81,3,1989,Isodicentric X chromosome in myeloproliferative disorders.,152-4,Two further cases of acquired isodicentric (X)(q13) chromosome in patients with myeloproliferative disorders are reported. One patient had a primary myelofibrosis and the other a chronic myelogenous leukemia. DNA replication study demonstrated that both abnormal X chromosomes were late replicating in all cells examined. The inactive condition of idic(X)(q13) seems to be indicative of a selective advantage for a cell carrying this alteration.,"['Temperani, P', 'Zucchini, P', 'Emilia, G', 'Sacchi, S', 'Selleri, L', 'Torelli, U']","['Temperani P', 'Zucchini P', 'Emilia G', 'Sacchi S', 'Selleri L', 'Torelli U']","['Second Medical Clinic, University of Modena, Italy.']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (DNA, Neoplasm)', '9007-49-2 (DNA)']",IM,"['Aged', 'Chromosome Banding', 'DNA/genetics', 'DNA Replication', 'DNA, Neoplasm/genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/pathology', 'Middle Aged', 'Myeloproliferative Disorders/*genetics/pathology', 'Primary Myelofibrosis/genetics/pathology', 'Sex Chromosome Aberrations/genetics/pathology', 'X Chromosome/*ultrastructure']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205549 [doi]'],ppublish,Acta Haematol. 1989;81(3):152-4. doi: 10.1159/000205549.,,,,,,,,,
2496562,NLM,MEDLINE,19890601,20180216,0001-5792 (Print) 0001-5792 (Linking),81,3,1989,A case of chronic neutrophilic leukemia with trisomy 8.,148-51,"The authors describe a case of chronic neutrophilic leukemia (CNL) showing trisomy of chromosome 8. This anomaly, particularly common in cases of myelodysplastic syndrome (MDS), has never been previously found to be associated with this rare type of leukemia. Thus CNL may occasionally be cytogenetically indistinguishable from cases of MDS.","['Orazi, A', 'Cattoretti, G', 'Sozzi, G']","['Orazi A', 'Cattoretti G', 'Sozzi G']","['Division of Anatomic Pathology and Cytopathology, National Tumor Institute, Milan, Italy.']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,,IM,"['Aged', 'Biopsy, Needle', 'Bone Marrow/pathology', '*Chromosomes, Human, Pair 8', 'Humans', 'Karyotyping', 'Leukemia, Neutrophilic, Chronic/blood/*genetics/pathology', 'Male', '*Trisomy']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205548 [doi]'],ppublish,Acta Haematol. 1989;81(3):148-51. doi: 10.1159/000205548.,,,,,,,,,
2496560,NLM,MEDLINE,19890601,20180216,0001-5792 (Print) 0001-5792 (Linking),81,3,1989,Changes in the mitogenic activity of platelet-derived growth factor(s) in patients with myeloproliferative disease.,131-5,"Platelet-derived growth factor (PDGF) is thought to take part in the genesis of bone marrow fibrosis that can be found in patients with myeloproliferative diseases. We evaluated platelet mitogenic activity as the difference between serum and plasma activity in 8 patients with myeloproliferative disease. We observed a trend of lower values in 2 cases of polycythemia vera and 2 cases of essential thrombocythemia, as seen by other authors. Two patients suffering from chronic myeloid leukemia were within the normal range. In contrast, our 2 cases of idiopathic myelofibrosis showed increased levels. If confirmed by further studies, this could suggest a pathogenetic relationship between increased levels of PDGF and bone marrow fibrosis, and give differential diagnostic significance to the PDGF mitogenic assay in myeloproliferative diseases.","['Caenazzo, A', 'Pietrogrande, F', 'Polato, G', 'Piva, E', 'Masiero, M', 'Sgarabotto, D', 'Girolami, A']","['Caenazzo A', 'Pietrogrande F', 'Polato G', 'Piva E', 'Masiero M', 'Sgarabotto D', 'Girolami A']","['University of Padua Medical School, Institute of Medical Semeiotics, Italy.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Platelet-Derived Growth Factor)', '9007-49-2 (DNA)']",IM,"['Animals', 'Biological Assay/methods', 'Cells, Cultured', 'DNA/biosynthesis/drug effects', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood', 'Mice', 'Mice, Inbred BALB C', 'Mitosis/*drug effects', 'Myeloproliferative Disorders/*blood', 'Platelet-Derived Growth Factor/*blood/pharmacology', 'Polycythemia Vera/blood', 'Primary Myelofibrosis/blood', 'Thrombocythemia, Essential/blood']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1159/000205544 [doi]'],ppublish,Acta Haematol. 1989;81(3):131-5. doi: 10.1159/000205544.,,,,,,,,,
