PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,EIN,SI,TT,RF,CIN,CON
2445535,NLM,MEDLINE,19880115,20191029,0379-8305 (Print) 0379-8305 (Linking),10,6,1987,Methotrexate polyglutamate synthesis in lymphoblasts from children with acute lymphoblastic leukemia.,443-8,"Lymphoblasts obtained from children at the time of diagnosis of acute lymphoblastic leukemia accumulated predominantly long-chain methotrexate polyglutamates containing 4-6 glutamyl residues when incubated with methotrexate in vitro. While methotrexate polyglutamates of these chain lengths are formed in other cells, they constitute only a minor proportion of polyglutamates in them. This extensive accumulation of long-chain methotrexate polyglutamates in lymphoblasts may explain in part the efficacy of methotrexate in the treatment of childhood acute lymphoblastic leukemia.","['Whitehead, V M', 'Rosenblatt, D S', 'Vuchich, M J', 'Beaulieu, D']","['Whitehead VM', 'Rosenblatt DS', 'Vuchich MJ', 'Beaulieu D']","[""Penny Cole Hematology Research Laboratory, McGill University-Montreal Children's Hospital Research Institute, Que., Canada.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Dev Pharmacol Ther,Developmental pharmacology and therapeutics,8003947,"['0 (Peptides)', '25513-46-6 (Polyglutamic Acid)', '82334-40-5 (methotrexate polyglutamate)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Bone Marrow Examination', 'Child', 'Child, Preschool', 'Female', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphoid/*metabolism', 'Lymphocytes/metabolism', 'Male', 'Methotrexate/*analogs & derivatives/metabolism', 'Peptides/*metabolism', 'Polyglutamic Acid/analogs & derivatives/*metabolism']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1159/000457776 [doi]'],ppublish,Dev Pharmacol Ther. 1987;10(6):443-8. doi: 10.1159/000457776.,,,,,,,,
2445509,NLM,MEDLINE,19880112,20190820,0090-1229 (Print) 0090-1229 (Linking),45,3,1987 Dec,A murine monoclonal antibody strictly reactive with human peripheral blood monocytes.,310-22,"We have produced and characterized a novel murine monoclonal antibody (LAM7) of IgG1 isotype which appears specific for peripheral blood monocytes (PBM) on the basis of histochemical and functional studies. By indirect immunofluorescence, including FACS analysis, the antibody reacts with 90 +/- 6% of PBM and with monocytic leukemias, while it is totally unreactive with B and T lymphocytes, platelets, granulocytes, peripheral macrophages, dendritic cells, large granular lymphocytes, and nonmonocytic leukemias. The antigen-presenting capacity of peripheral blood mononuclear cells is abolished by treatment with MoAb LAM7 in an antiglobulin-complement-mediated cytotoxicity test, and restored by addition of purified PBM. The progressive disappearance of the antigen recognized by LAM7 from PBM within approximately 3 days in culture, and its absence from both bone marrow precursors and tissue macrophages, define it as a line-specific and stage-specific differentiation.","['Cuomo, M', 'Santoro, L', 'Mottolese, M', 'Tecce, R', 'Rosato, V', 'Alescio, T', 'Siccardi, A G', 'Natali, P G']","['Cuomo M', 'Santoro L', 'Mottolese M', 'Tecce R', 'Rosato V', 'Alescio T', 'Siccardi AG', 'Natali PG']","['Dipartimento di Biopatologia Umana, Universita di Roma La Sapienza, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Antibodies, Monoclonal)', '0 (Epitopes)', '9007-36-7 (Complement System Proteins)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology/physiology', 'Antigen-Presenting Cells/immunology/physiology', 'Blood Cells/*immunology', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Cell Differentiation', 'Cell Line', 'Complement System Proteins/physiology', 'Epitopes', 'Humans', 'Leukemia, Experimental/immunology/pathology', 'Lymphoma, Large B-Cell, Diffuse/immunology/pathology', 'Mice', 'Monocytes/*immunology', 'Sarcoma, Experimental/immunology/pathology', 'Time Factors']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",['10.1016/0090-1229(87)90084-5 [doi]'],ppublish,Clin Immunol Immunopathol. 1987 Dec;45(3):310-22. doi: 10.1016/0090-1229(87)90084-5.,,,,,,,,
2445496,NLM,MEDLINE,19880107,20190912,0309-1651 (Print) 0309-1651 (Linking),11,9,1987 Sep,Nuclear actin and transport of RNA.,671-7,"The role of nuclear actin filaments in the RNA transport was investigated. Mouse lymphoma cells, L5178Y, were labeled for 20 min with 3H-uridine, and the isolated nuclei were incubated in a medium consisting of 0.25 M sucrose, 10 mM Tris-HCl (pH 7.5), 2 mM CaCl2, 1 mM ATP and 1mM PMSF. Release of the rapidly labeled RNA from the nuclei was temperature-dependent and was stimulated by ATP. Phalloidin, an inhibitor of actin filament depolymerization, had no effect on the system at 10 or 100 micrograms/ml. Therefore, actin filament depolymerization may not be involved in the transport of RNA.","['Ueyama, H', 'Nakayasu, H', 'Ueda, K']","['Ueyama H', 'Nakayasu H', 'Ueda K']","['Department of Medical Biochemistry, Shiga University of Medical Science, Ohtsu, Japan.']",['eng'],['Journal Article'],England,Cell Biol Int Rep,Cell biology international reports,7708050,"['0 (Actins)', '17466-45-4 (Phalloidine)', '63231-63-0 (RNA)']",IM,"['Actins/*physiology', 'Animals', 'Biological Transport/drug effects', 'Cell Nucleus/*metabolism', 'Kinetics', 'Leukemia L5178/metabolism', 'Mice', 'Phalloidine/pharmacology', 'RNA/metabolism/*pharmacokinetics', 'Tumor Cells, Cultured']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",['10.1016/0309-1651(87)90102-0 [doi]'],ppublish,Cell Biol Int Rep. 1987 Sep;11(9):671-7. doi: 10.1016/0309-1651(87)90102-0.,,,,,,,,
2445472,NLM,MEDLINE,19880121,20131121,0008-5472 (Print) 0008-5472 (Linking),47,24 Pt 1,1987 Dec 15,Effect of intracellular folate concentration on the modulation of 5-fluorouracil cytotoxicity by the elevation of phosphoribosylpyrophosphate in cultured human KB cells.,6444-50,"The effects of extracellular folate concentration on intracellular folate and phosphoribosylpyrophosphate (PRPP) levels and the cytotoxicity of methotrexate and 5-fluorouracil were studied in human KB cells grown in fetal bovine serum-supplemented Eagle's minimum essential medium, which contained standard high folic acid levels (2.3 microM) (standard or S medium), or folic acid-free serum-supplemented medium containing approximately 4 nM 5-methyltetrahydrofolate (physiological or P medium), a folate level and form more comparable to that in normal human serum. Macrocytosis and prolongation of the doubling time by 150% were observed after 5-10 serial passes in P medium, but after 10-15 serial passes, KB cells became ""adapted"" to P medium with return of size and doubling time to values indistinguishable from cells maintained in S medium. Cellular folate levels fell, and marked elevations in PRPP levels from 68 +/- 43 to 642 +/- 287 pmol/mg cell protein (mean +/- SD) were observed as KB cells were serially passed through P medium. Human leukemia HL-60 and K562 cells and MJY-alpha mouse mammary tumor cells serially passed in P medium also exhibited 10- to 20-fold elevations in PRPP levels. Glucose consumption, glucose decarboxylation, thymidine and adenosine specific uptake, thymidine incorporation into DNA, and 5-fluorouracil uptake were studied in KB cells with elevated and control PRPP levels. As determined by clonal assay, despite elevated PRPP levels, KB cells cultured in P medium were less sensitive to 5-fluorouracil than cells cultured in S medium unless exogenous folate was added. These data support the concept that endogenous folate levels may be inadequate for optimal 5-FU pharmacological action in KB cells with a modulated increase in PRPP levels.","['Kane, M A', 'Roth, E', 'Raptis, G', 'Schreiber, C', 'Waxman, S']","['Kane MA', 'Roth E', 'Raptis G', 'Schreiber C', 'Waxman S']","['Chemotherapy Foundation Laboratory, Mt. Sinai School of Medicine, New York, New York 10029.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Pentosephosphates)', '7540-64-9 (Phosphoribosyl Pyrophosphate)', '935E97BOY8 (Folic Acid)', 'IY9XDZ35W2 (Glucose)', 'K72T3FS567 (Adenosine)', 'Q573I9DVLP (Leucovorin)', 'U3P01618RT (Fluorouracil)', 'VC2W18DGKR (Thymidine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adenosine/metabolism', 'Carcinoma, Squamous Cell/metabolism', 'Cell Survival/drug effects', 'Fluorouracil/*pharmacology', 'Folic Acid/*metabolism', 'Glucose/metabolism', 'Humans', 'KB Cells/*drug effects/metabolism', 'Leucovorin/pharmacology', 'Leukemia, Myeloid, Acute/metabolism', 'Methotrexate/pharmacology', 'Nasopharyngeal Neoplasms/metabolism', 'Pentosephosphates/*metabolism', 'Phosphoribosyl Pyrophosphate', 'Thymidine/metabolism']",1987/12/15 00:00,1987/12/15 00:01,['1987/12/15 00:00'],"['1987/12/15 00:00 [pubmed]', '1987/12/15 00:01 [medline]', '1987/12/15 00:00 [entrez]']",,ppublish,Cancer Res. 1987 Dec 15;47(24 Pt 1):6444-50.,['AM07300 02/AM/NIADDK NIH HHS/United States'],,,,,,,
2445470,NLM,MEDLINE,19880105,20061115,0008-5472 (Print) 0008-5472 (Linking),47,23,1987 Dec 1,Regulation of N-myc transcript stability in human neuroblastoma and retinoblastoma cells.,6310-4,"Several studies have shown that neuroblastoma and retinoblastoma tumor cells often have elevated N-myc mRNA levels compared to normal adult neuronal or retinal tissues, and it has been suggested that increased expression of this protooncogene may play an important role in tumorigenesis or malignant progression in cells of neural origin. We have studied the effect of protein synthesis inhibitors on the N-myc mRNA levels in Y79 retinoblastoma and LA-N-5 neuroblastoma cells. We showed that when new RNA synthesis was inhibited by actinomycin D the levels of existing N-myc mRNA fell rapidly in both cell lines relative to total cytoplasmic RNA. The half-life for N-myc mRNA was approximately 30 min. Inhibition of protein synthesis by interfering with polypeptide elongation or by inhibiting initiation of protein synthesis increased the levels of N-myc mRNA at least 3-fold after 4 hours. Nuclear runoff transcription experiments showed that the protein synthesis inhibitors did not alter N-myc transcription rates. Combined actinomycin D treatment and treatment with protein synthesis inhibitors indicated that this increase in N-myc transcript levels was due to an increase in the N-myc mRNA lifetimes. Thus, N-myc transcript levels increased because they were more stable in protein synthesis-inhibited cells. Protein synthesis inhibition also increased c-myc mRNA levels in HL-60 human promyelocytic leukemia cells, but no increase was seen in the relatively low level of c-myc mRNA in protein synthesis-inhibited neuronal tumor cells. These results support the hypothesis that the regulation of N-myc in these neuronal and retinal tumor cells is similar to that of c-myc in other tumor types.","['Amy, C M', 'Bartholomew, J C']","['Amy CM', 'Bartholomew JC']","['Lawrence Berkeley Laboratory, University of California, Berkeley 94720.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antimetabolites)', '63231-63-0 (RNA)']",IM,"['Antimetabolites/pharmacology', 'Cell Line', 'Humans', 'Neuroblastoma/*genetics', '*Oncogenes', 'Protein Biosynthesis', 'RNA/analysis/biosynthesis', 'Retinoblastoma/*genetics', '*Transcription, Genetic']",1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",,ppublish,Cancer Res. 1987 Dec 1;47(23):6310-4.,,,,,,,,
2445383,NLM,MEDLINE,19871223,20190609,0006-3002 (Print) 0006-3002 (Linking),910,2,1987 Nov 20,Bleomycin-induced aggregation of presolubilized and nuclear chromatin from L1210 cells.,149-56,"These studies have identified a new activity of bleomycin (in addition to the well-known DNA cleavage): drug-induced chromatin aggregation. Bleomycin treatment of presolubilized chromatin from L1210 nuclei resulted in two types of effect as shown by sedimentation analysis of intact nucleoprotein. The first effect was a dose-dependent fragmentation of chromatin to mononucleosomes (12 S) and subnucleosomal fragments (under 5 S). The second effect was aggregation manifested by the generation of large chromatin particles (over 120 S) that sedimented faster than the original material (20-40 S). Bleomycin treatment of nuclei from L1210 cells resulted in a similar, almost bimodal, size distribution of drug-released chromatin fragments. Increasing levels of bleomycin produced a gradual enhancement of the amount of small fragments (under 5 S) accompanied by generation of large, aggregated particles. Aggregation caused by high drug concentrations significantly reduced the overall extent of chromatin solubilization and allowed only the release of the most degraded fragments from nuclei. The aggregation required intact nucleoprotein, since it was not detected after high-salt deproteinization of bleomycin-treated presolubilized or nuclear chromatin. The aggregation phenomenon reflects a novel activity of bleomycin which may contribute to the drug's antiproliferative properties.","['Woynarowski, J M', 'Gawron, L S', 'Beerman, T A']","['Woynarowski JM', 'Gawron LS', 'Beerman TA']","['Department of Experimental Therapeutics, Roswell Park Memorial Institute, Buffalo, NY 14263.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Chromatin)', '11056-06-7 (Bleomycin)']",IM,"['Animals', 'Bleomycin/*pharmacology', 'Cell Fractionation', 'Centrifugation, Density Gradient', 'Chromatin/drug effects/*ultrastructure', 'Leukemia L1210/*pathology', 'Mice', 'Solubility']",1987/11/20 00:00,1987/11/20 00:01,['1987/11/20 00:00'],"['1987/11/20 00:00 [pubmed]', '1987/11/20 00:01 [medline]', '1987/11/20 00:00 [entrez]']","['0167-4781(87)90067-4 [pii]', '10.1016/0167-4781(87)90067-4 [doi]']",ppublish,Biochim Biophys Acta. 1987 Nov 20;910(2):149-56. doi: 10.1016/0167-4781(87)90067-4.,"['CA13038/CA/NCI NIH HHS/United States', 'CA24538/CA/NCI NIH HHS/United States', 'CA28495/CA/NCI NIH HHS/United States']",,,,,,,
2445220,NLM,MEDLINE,19871130,20191210,0003-2697 (Print) 0003-2697 (Linking),164,1,1987 Jul,Analysis of tyrosine kinase activity in cell extracts using nondenaturing polyacrylamide gel electrophoresis.,214-20,"A general procedure for detecting tyrosine kinase activity in crude or purified preparations using nondenaturing gel electrophoresis is presented. Samples are resolved by electrophoresis in minigels which are then incubated in an assay mixture containing [gamma-32P]ATP, poly(glutamic acid, tyrosine)4:1, and cofactors. Subsequently, gels are fixed and washed in trichloroacetic acid-pyrophosphate, dried, and analyzed by autoradiography or liquid scintillation counting. The procedure is simple and fast and allows analysis of different molecular weight forms of tyrosine kinase under linear kinetics at 37 degrees C without interference from phosphatases and proteases.","['Glazer, R I', 'Yu, G', 'Knode, M C']","['Glazer RI', 'Yu G', 'Knode MC']","['Laboratory of Biological Chemistry, National Cancer Institute, Bethesda, Maryland 20892.']",['eng'],['Journal Article'],United States,Anal Biochem,Analytical biochemistry,0370535,"['0 (Intercellular Signaling Peptides and Proteins)', '0 (Peptides)', '21820-51-9 (Phosphotyrosine)', '31325-39-0 (L-glutamic acid-L-tyrosine copolymer)', '42HK56048U (Tyrosine)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Adenosine Triphosphate/metabolism', 'Cell Line', 'Chromatography', '*Electrophoresis, Polyacrylamide Gel', 'Granulocytes/enzymology', 'Humans', 'Intercellular Signaling Peptides and Proteins', 'Kinetics', 'Leukemia, Myeloid/enzymology', 'Peptides/metabolism', 'Phosphorylation', 'Phosphotyrosine', 'Protein-Tyrosine Kinases/*analysis/metabolism', 'Tyrosine/analogs & derivatives/metabolism']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']","['0003-2697(87)90388-5 [pii]', '10.1016/0003-2697(87)90388-5 [doi]']",ppublish,Anal Biochem. 1987 Jul;164(1):214-20. doi: 10.1016/0003-2697(87)90388-5.,,,,,,,,
2444981,NLM,MEDLINE,19871209,20190501,0027-8424 (Print) 0027-8424 (Linking),84,21,1987 Nov,Transcriptional control of the endogenous MYC protooncogene by antisense RNA.,7363-7,"A plasmid carrying antisense human MYC DNA and the gene encoding Escherichia coli xanthine/guanine phosphoribosyltransferase (Ecogpt) was introduced into human promyelocytic leukemia cell line HL-60 by protoplast fusion. High-level expression of antisense MYC RNA was obtained by selecting cells resistant to progressively higher levels of mycophenolic acid over a period of greater than 6 months. The constitutive production of MYC protein in clones producing high levels of antisense MYC RNA was reduced by 70% compared to parental HL-60 cells. Inhibition of MYC expression was observed not only at the translational but also at the transcriptional level, implying that antisense RNA can regulate transcription of the MYC gene. The Pst I-Pvu II fragment (920 base pairs) of the MYC leader sequence is the primary transcriptional target of the antisense RNA. The suppression of endogenous MYC gene expression by antisense RNA decreases cell proliferation and triggers monocytic differentiation.","['Yokoyama, K', 'Imamoto, F']","['Yokoyama K', 'Imamoto F']","['Department of Molecular Genetics, Tsukuba Life Science Center, Ibaraki, Japan.']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (RNA, Antisense)', '0 (RNA, Messenger)', '63231-63-0 (RNA)', 'EC 2.4.2.8 (Hypoxanthine Phosphoribosyltransferase)']",IM,"['Cell Line', 'Cell Transformation, Neoplastic', 'Escherichia coli/enzymology/genetics', 'Humans', 'Hypoxanthine Phosphoribosyltransferase/genetics', 'Plasmids', '*Proto-Oncogenes', 'RNA/*genetics', 'RNA, Antisense', 'RNA, Messenger/genetics/isolation & purification', '*Transcription, Genetic']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']",['10.1073/pnas.84.21.7363 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1987 Nov;84(21):7363-7. doi: 10.1073/pnas.84.21.7363.,,PMC299296,,,,,,
2444873,NLM,MEDLINE,19871204,20210526,0270-7306 (Print) 0270-7306 (Linking),7,8,1987 Aug,Expression of the affected A gamma globin gene associated with Greek nondeletion hereditary persistence of fetal hemoglobin.,2999-3003,"The overexpressed A gamma globin gene in the Greek type of nondeletion hereditary persistence of fetal hemoglobin has a unique single-base substitution located at position -117 relative to the site of transcription initiation. This gene and its normal counterpart were transferred into cultured cell lines by using a retroviral vector. The only difference in expression between the transferred normal and mutant gamma genes was observed in the human erythroleukemia cell line KMOE after exposure of the cells to cytosine arabinoside, a condition that resulted in an adult pattern of endogenous globin gene expression by the cells and was associated with increased expression of the mutant gene.","['Stoeckert, C J Jr', 'Metherall, J E', 'Yamakawa, M', 'Eisenstadt, J M', 'Weissman, S M', 'Forget, B G']","['Stoeckert CJ Jr', 'Metherall JE', 'Yamakawa M', 'Eisenstadt JM', 'Weissman SM', 'Forget BG']","['Department of Human Genetics, Yale University School of Medicine, New Haven, Connecticut 06510.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (RNA, Messenger)', '9004-22-2 (Globins)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Animals', 'Chromosome Deletion', 'Fetal Hemoglobin/*genetics', '*Genes', 'Genes, Homeobox', 'Globins/*genetics', 'Leukemia, Erythroblastic, Acute/genetics', 'Leukemia, Experimental/genetics', 'Mice', 'RNA, Messenger/genetics', 'Transcription, Genetic']",1987/08/01 00:00,2001/03/28 10:01,['1987/08/01 00:00'],"['1987/08/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1987/08/01 00:00 [entrez]']",['10.1128/mcb.7.8.2999-3003.1987 [doi]'],ppublish,Mol Cell Biol. 1987 Aug;7(8):2999-3003. doi: 10.1128/mcb.7.8.2999-3003.1987.,,PMC367923,['Mol Cell Biol 1987 Oct;7(10):3862'],,,,,
2444838,NLM,MEDLINE,19871211,20190516,0025-6196 (Print) 0025-6196 (Linking),62,11,1987 Nov,Diagnosing leukemias with granulated leukemic cells (excluding eosinophilic leukemias).,1059-61,,"['Sun, N C']",['Sun NC'],,['eng'],['Journal Article'],England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,,IM,"['Cytodiagnosis/methods', 'Cytoplasmic Granules/analysis', 'Diagnosis, Differential', 'Humans', 'Leukemia/diagnosis/*pathology', 'Staining and Labeling']",1987/11/01 00:00,1987/11/01 00:01,['1987/11/01 00:00'],"['1987/11/01 00:00 [pubmed]', '1987/11/01 00:01 [medline]', '1987/11/01 00:00 [entrez]']","['S0025-6196(12)65080-0 [pii]', '10.1016/s0025-6196(12)65080-0 [doi]']",ppublish,Mayo Clin Proc. 1987 Nov;62(11):1059-61. doi: 10.1016/s0025-6196(12)65080-0.,,,,,,,,
