PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,TT,PMC,SI,CON,EIN,CIN,RIN,OID
2399564,NLM,MEDLINE,19901018,20171213,0300-8916 (Print) 0300-8916 (Linking),76,4,1990 Aug 31,Cytogenetics and occupational exposure to solvents: a pilot study on leukemias and myelodysplastic disorders.,350-2,"In a pilot study, 57 patients affected by leukemias or myelodysplastic syndromes were interviewed to identify potential exposure to organic solvents. Cytogenetic analyses were performed in 40 of the 57 patients. Unlike previous investigations, no association was found between the occurrence of chromosomal abnormalities and exposure to organic solvents. An original finding was a strong association between solvent exposure and myelodysplastic disorders (4 certainly exposed and 1 possibly exposed out of 11 patients). Such an observation warrants confirmation from case-control studies.","['Vineis, P', 'Avanzi, G C', 'Giovinazzo, B', 'Ponzio, G', 'Cambrin, G R', 'Ciccone, G']","['Vineis P', 'Avanzi GC', 'Giovinazzo B', 'Ponzio G', 'Cambrin GR', 'Ciccone G']","['Dipartimento di Scienze Biomediche e Oncologia Umana, Universita di Torino.']",['eng'],['Journal Article'],United States,Tumori,Tumori,0111356,['0 (Solvents)'],IM,"['Anemia, Refractory/chemically induced/*genetics', 'Chromosome Aberrations/*chemically induced', 'Chromosome Disorders', 'Female', 'Humans', 'Italy', 'Leukemia, Myeloid, Acute/chemically induced/*genetics', 'Male', 'Occupational Diseases/chemically induced/*genetics', 'Pilot Projects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/chemically induced/*genetics', 'Solvents/*adverse effects']",1990/08/31 00:00,1990/08/31 00:01,['1990/08/31 00:00'],"['1990/08/31 00:00 [pubmed]', '1990/08/31 00:01 [medline]', '1990/08/31 00:00 [entrez]']",ppublish,Tumori. 1990 Aug 31;76(4):350-2.,,,,,,,,,,
2399527,NLM,MEDLINE,19901018,20190727,0049-3848 (Print) 0049-3848 (Linking),59,1,1990 Jul 1,Tissue factor antigen and activity are not expressed on the surface of intact cells isolated from an acute promyelocytic leukemia patient.,159-70,"Tissue factor activity and antigen were measured in promyelocytes freshly isolated from a patient with acute promyelocytic leukemia (APL), FAB M3. Determination of functional activity revealed that physically disrupted cells expressed considerable tissue factor of which less than two percent was available prior to physical disruption of the cells. No tissue factor antigen was detectable on the cell surface by fluorescence flow cytometry. In contrast, endotoxin-stimulated peripheral blood monocytes and monoblastic cells isolated from a patient with monoblastic leukemia had notable populations of tissue factor-positive cells by flow cytometry, and expressed higher proportions of total tissue factor activity without disruption. While some cell types may express both tissue factor antigen and activity when intact, others, which can be extremely rich in tissue factor, may express neither antigen nor activity without a triggering event such as cell damage.","['Carson, S D', 'Pirruccello, S J', 'Haire, W D']","['Carson SD', 'Pirruccello SJ', 'Haire WD']","['Department of Pathology and Microbiology, University of Nebraska Medical Center, Omaha 68198-6495.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Thromb Res,Thrombosis research,0326377,"['0 (Antigens)', '9035-58-9 (Thromboplastin)']",IM,"['Antigens/*analysis', 'Cell Membrane/analysis', 'Flow Cytometry', 'Humans', 'Leukemia, Promyelocytic, Acute/*blood', 'Thromboplastin/*analysis']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Thromb Res. 1990 Jul 1;59(1):159-70. doi: 10.1016/0049-3848(90)90281-g.,"['HL02072/HL/NHLBI NIH HHS/United States', 'HL31408/HL/NHLBI NIH HHS/United States']",['10.1016/0049-3848(90)90281-g [doi]'],,,,,,,,
2399199,NLM,MEDLINE,19901015,20190713,0032-5481 (Print) 0032-5481 (Linking),88,3,1990 Sep 1,Curing acute leukemias in the 1990s.,"159-62, 164, 167","Recent advances have raised hope that all acute leukemias may be curable by the end of this decade. More specific and thus more effective and less toxic chemotherapy is now possible, and bone marrow transplantation has resulted in long-term survival of many patients. The authors discuss current management of acute leukemias and explain the implications of the latest research.","['Corey, C A', 'Corey, S J']","['Corey CA', 'Corey SJ']","['Department of Internal Medicine, St Paul, Ramsey Medical Center, Minneapolis.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Postgrad Med,Postgraduate medicine,0401147,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*therapeutic use', '*Bone Marrow Transplantation', 'Forecasting', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*therapy', 'Prognosis']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,"Postgrad Med. 1990 Sep 1;88(3):159-62, 164, 167. doi: 10.1080/00325481.1990.11704734.",['K11-HL02303/HL/NHLBI NIH HHS/United States'],['10.1080/00325481.1990.11704734 [doi]'],,,,,,,,
2399168,NLM,MEDLINE,19901012,20131121,0190-535X (Print) 0190-535X (Linking),17,4,1990 Jul-Aug,An outpatient approach to the delivery of intensive consolidation chemotherapy to adults with acute lymphoblastic leukemia.,553-8,"Consolidation chemotherapy (CT) is important in the curative treatment of acute lymphoblastic leukemia (ALL). This therapy is intensive and toxic. Usually, more than 50% of the treatment period is spent in the hospital. To determine if CT could be given safely as outpatient (OP) treatment, this demonstration project included strict patient selection criteria, a multidisciplinary team, and protocols for teaching, symptom management, and transfusion support. Patients were hospitalized for the first course of CT. A right atrial catheter was placed, and patients were taught use of an ambulatory infusion pump and CT administration. Two patients treated on Southwest Oncology Group protocol 8417/19 have completed CT. No infections occurred, and patients had minimal CT side effects. Both patients experienced neutropenia, an expected complication, for 80 and 56 days. With careful patient selection and expert nursing support, intensive outpatient CT is possible with decreased hospitalizations and morbidity, and possible increased quality of life.","['Palmer, P', 'Meyers, F J']","['Palmer P', 'Meyers FJ']","['Department of Hematology and Oncology, University of California Davis, Medical Center, Sacramento.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Oncol Nurs Forum,Oncology nursing forum,7809033,"['8J337D1HZY (Cytosine)', 'EC 3.5.1.1 (Asparaginase)', 'FTK8U1GZNX (Thioguanine)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/adverse effects/*therapeutic use', 'Asparaginase/administration & dosage', 'California', 'Clinical Protocols/*standards', 'Cytosine/administration & dosage', 'Daunorubicin/administration & dosage', 'Humans', 'Methotrexate/administration & dosage', 'Nursing Care', 'Oncology Nursing/methods/standards', 'Outpatient Clinics, Hospital/organization & administration/*standards', 'Patient Care Team/organization & administration', 'Patient Education as Topic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/nursing/psychology', 'Quality of Life', 'Self Care', 'Thioguanine/administration & dosage']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Oncol Nurs Forum. 1990 Jul-Aug;17(4):553-8.,['CA 46441-01/CA/NCI NIH HHS/United States'],,,,,,,,,
2398993,NLM,MEDLINE,19901012,20041117,0892-2454 (Print) 0892-2454 (Linking),86,8,1990 Aug,Leukemia mortality rates along the Ohio River compared with the rest of Ohio.,611-2,A sample of 18 Ohio municipalities indicates statistically significant difference in leukemia mortality rates between communities on the Ohio River and communities not located along the river. Rates are higher along the Ohio River in comparison to the state rate. Ohio River community rates are also generally higher than those in communities located away from the river. Some possible reasons are proposed.,"['Dzik, A J']",['Dzik AJ'],['Shawnee State University in Portsmouth.'],['eng'],['Journal Article'],United States,Ohio Med,Ohio medicine : journal of the Ohio State Medical Association,8703563,,IM,"['*Cause of Death', 'Cross-Sectional Studies', 'Humans', 'Incidence', 'Leukemia/*mortality', 'Ohio/epidemiology', 'Risk Factors']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Ohio Med. 1990 Aug;86(8):611-2.,,,,,,,,,,
2398762,NLM,MEDLINE,19901016,20041117,0023-7205 (Print) 0023-7205 (Linking),87,32-33,1990 Aug 8,[Do new studies justify a re-evaluation of the risks of low-dose radiation?].,2481-5,,"['Axelson, O']",['Axelson O'],"['Yrkesmedicinska kliniken, Regionsjukhuset, Linkoping.']",['swe'],['Journal Article'],Sweden,Lakartidningen,Lakartidningen,0027707,['0 (Radioactive Fallout)'],IM,"['Dose-Response Relationship, Radiation', 'Humans', 'Leukemia, Radiation-Induced/etiology', '*Nuclear Reactors', 'Radiation Dosage', 'Radiation Injuries/*prevention & control', 'Radiation Protection', '*Radiation, Ionizing', 'Radioactive Fallout/*adverse effects', 'Risk Factors']",1990/08/08 00:00,1990/08/08 00:01,['1990/08/08 00:00'],"['1990/08/08 00:00 [pubmed]', '1990/08/08 00:01 [medline]', '1990/08/08 00:00 [entrez]']",ppublish,Lakartidningen. 1990 Aug 8;87(32-33):2481-5.,,,Motiverar nya studier omvardering av riskerna med lagdosstralning?,,,,,,,
2398544,NLM,MEDLINE,19901017,20200724,0022-538X (Print) 0022-538X (Linking),64,10,1990 Oct,Integration of human immunodeficiency virus types 1 and 2 DNA in vitro by cytoplasmic extracts of Moloney murine leukemia virus-infected mouse NIH 3T3 cells.,5219-22,"An essential step in the life cycle of the human immunodeficiency virus (HIV) is integration of a DNA copy of the viral RNA into the genome of the infected cell. We show here that this step can be faithfully accomplished in vitro by the enzymatic machinery of another retrovirus, Moloney murine leukemia virus (MoMLV). Mini-HIV substrates, which are linearized plasmids with long terminal repeat sequences at their ends, were incubated with cytoplasmic extracts of MoMLV-infected NIH 3T3 cells and target DNA. The MoMLV integration apparatus carried out integration of the mini-HIV substrates correctly; the terminal nucleotides of the viral substrate were removed, and a 4-base-pair duplication of the target DNA flanked the inserted viral DNA (C. Shoemaker, S. P. Goff, E. Gilboa, M. Paskind, S. W. Mitra, and D. Baltimore, Proc. Natl. Acad. Sci. USA 77:3932-3936, 1980). Our experiments show that the substrate sequence requirements for integration in vitro were limited to a few nucleotides, as the similarity between HIV and MoMLV long terminal repeat ends is minimal.","['Vink, C', 'van Gent, D C', 'Plasterk, R H']","['Vink C', 'van Gent DC', 'Plasterk RH']","['Division of Molecular Biology, The Netherlands Cancer Institute, Amsterdam.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (Oligonucleotide Probes)', '0 (RNA, Viral)']",IM,"['Animals', 'Base Sequence', 'Cell Line', '*Cell Transformation, Neoplastic', '*Cell Transformation, Viral', 'DNA, Viral/*genetics', 'HIV-1/*genetics', 'HIV-2/*genetics', 'Mice', 'Mice, Inbred Strains', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', 'Oligonucleotide Probes', 'Plasmids', 'Proviruses/genetics', 'RNA, Viral/genetics', 'Repetitive Sequences, Nucleic Acid', 'Sequence Homology, Nucleic Acid']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,J Virol. 1990 Oct;64(10):5219-22. doi: 10.1128/JVI.64.10.5219-5222.1990.,,['10.1128/JVI.64.10.5219-5222.1990 [doi]'],,PMC248022,,,,,,
2398533,NLM,MEDLINE,19901017,20200724,0022-538X (Print) 0022-538X (Linking),64,10,1990 Oct,The internal methionine codons of human T-cell leukemia virus type II rex gene are not required for p24rex production or virus replication and transformation.,4914-21,"Human T-cell leukemia virus types I (HTLV-I) and II (HTLV-II) have two nonstructural trans-acting regulatory genes, tax and rex, located in the 3' region of the viral genome. The tax gene product (HTLV-I p40tax and HTLV-II p37tax) is the transcriptional activator of the viral long terminal repeat. The rex gene encodes two protein products, p27rex/p21rex and p26rex/p24rex in HTLV-I and HTLV-II, respectively. Rex acts posttranscriptionally to facilitate accumulation of full-length gag/pol and singly spliced env mRNA in the cytoplasm of HTLV-infected cells. Previous studies showed that the first ATG of the rex gene is critical for Rex production and function. The importance of the internal ATGs to Rex function is not known. However, in vitro mutagenesis of the HTLV-I rex gene has provided indirect evidence which suggests that p21rex, and by analogy HTLV-II p24rex, results from initiation at an internal AUG of the tax/rex mRNA. By using an infectious molecular clone of HTLV-II, we investigated the importance of the internal ATGs of the rex gene on Rex protein production and function. Our results indicate that p24rex of HTLV-II is not initiated at an internal AUG and that the internal methionine codons are not crucial to the function of the rex gene and, ultimately, the transforming properties of the virus.","['Green, P L', 'Xie, Y M', 'Chen, I S']","['Green PL', 'Xie YM', 'Chen IS']","['Department of Medicine, UCLA School of Medicine 90024-1736.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Codon)', '0 (RNA, Messenger)', '0 (Trans-Activators)', 'AE28F7PNPL (Methionine)']",IM,"['Cell Line', '*Cell Transformation, Viral', 'Codon/*genetics', '*Genes, Viral', 'Human T-lymphotropic virus 2/*genetics/physiology', 'Humans', '*Methionine', 'Plasmids', 'RNA, Messenger/*genetics', 'T-Lymphocytes/immunology', 'Trans-Activators/*genetics', 'Transfection', '*Virus Replication']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,J Virol. 1990 Oct;64(10):4914-21. doi: 10.1128/JVI.64.10.4914-4921.1990.,"['CA 32737/CA/NCI NIH HHS/United States', 'CA 38597/CA/NCI NIH HHS/United States']",['10.1128/JVI.64.10.4914-4921.1990 [doi]'],,PMC247982,,,,,,
2398525,NLM,MEDLINE,19901017,20200724,0022-538X (Print) 0022-538X (Linking),64,10,1990 Oct,Molecular cloning and characterization of a cDNA for a novel phorbol-12-myristate-13-acetate-responsive gene that is highly expressed in an adult T-cell leukemia cell line.,4632-9,"To identify gene products that might be involved in leukemogenesis of adult T-cell leukemia (ATL), we constructed a cDNA library from an ATL tumor cell line named IKD. By differential plaque hybridization using [32P]cDNAs of poly(A)+ RNA from IKD cells and a human T-lymphotropic virus type I-infected T-cell line (C91/PL) as probes and RNA blot analysis, we obtained a single cDNA clone of a gene that is highly expressed in IKD cells. Expression of this gene was also detected in fresh peripheral blood mononuclear cells of several ATL patients but not in those of healthy donors. Sequence analysis showed that the cDNA was that of a previously undescribed gene. On structural analysis of the cDNA (1,897 base pairs), a short open reading frame encoding a polypeptide of 54 amino acid residues was found. Exposure of human peripheral blood mononuclear cells, a T-cell lymphoma cell line (Jurkat), and quiescent human embryonic lung cells to phorbol-12-myristate-13-acetate resulted in rapid, transient expression of 2.0-kilobase mRNA of this gene. This induction of the gene was not inhibited by an inhibitor of protein synthesis, cycloheximide. From these findings, we suggest that this gene, named APR, is a member of the cellular immediate-early-response genes.","['Hijikata, M', 'Kato, N', 'Sato, T', 'Kagami, Y', 'Shimotohno, K']","['Hijikata M', 'Kato N', 'Sato T', 'Kagami Y', 'Shimotohno K']","['Virology Division, National Cancer Center Research Institute, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (RNA, Messenger)', '0 (RNA, Neoplasm)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Cell Line', 'Cloning, Molecular', 'Gene Expression Regulation, Neoplastic/*drug effects', 'Gene Library', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Leukemia, T-Cell/*genetics', 'Molecular Sequence Data', 'Protein Biosynthesis', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics/isolation & purification', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Transcription, Genetic']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,J Virol. 1990 Oct;64(10):4632-9. doi: 10.1128/JVI.64.10.4632-4639.1990.,,['10.1128/JVI.64.10.4632-4639.1990 [doi]'],,PMC247947,['GENBANK/M57246'],,,,,
2398453,NLM,MEDLINE,19901012,20200220,0894-9255 (Print) 0894-9255 (Linking),3,10,1990,Suppression of delayed-type hypersensitivity to PPD and PHA in elderly HTLV-I carriers.,1006-9,"In a previous study on immune responsiveness among asymptomatic human T-cell leukemia virus type I (HTLV-I) carriers, we found that carriers had significantly reduced delayed-type hypersensitivity (DTH) response to purified protein derivative (PPD) skin testing. The association was strongest among persons at least 60 years of age. In order to evaluate this finding further, we evaluated the response to both PPD and phytohemagglutinin (PHA) in an elderly population. Fifty-six consecutive hospitalized patients with nonimmunosuppressive diseases were examined. None had a history of tuberculosis nor evidence of the known HTLV-I-associated diseases. The subjects' ages ranged from 62-93 years (median = 75 years); 43 were women and 13 were men. Twenty-two of the subjects were HTLV-I antibody positive. Among the carriers, there was an increased level of nonreactivity to PPD, the relative risk adjusted for age (RR) being 1.9 (95% confidence interval, 0.62-5.8), as well as to PHA of RR = 2.3 (0.60-9.0). When subjects were cross-classified for response to both skin tests, 15 of 17 carriers were nonreactive to either or both antigens compared to 15 of 25 noncarriers [RR = 5.1 (0.99-25.9) (p value, one-sided = 0.026)]. The decline in reactivity to both antigens increased with age, but was consistently lower among the carriers. Among subjects with positive reactions to PPD, the degree of reaction as measured by the size of erythema was reduced among the carriers; however, for PHA responders, the response in carriers appeared to be normal. Among the HTLV-I antibody negative subjects, the size of erythema for both antigens was strongly correlated (p = 0.01).(ABSTRACT TRUNCATED AT 250 WORDS)","['Murai, K', 'Tachibana, N', 'Shioiri, S', 'Shishime, E', 'Okayama, A', 'Ishizaki, J', 'Tsuda, K', 'Mueller, N']","['Murai K', 'Tachibana N', 'Shioiri S', 'Shishime E', 'Okayama A', 'Ishizaki J', 'Tsuda K', 'Mueller N']","['Second Department of Internal Medicine, Miyazaki Medical School, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Acquir Immune Defic Syndr (1988),Journal of acquired immune deficiency syndromes,8812597,"['0 (Phytohemagglutinins)', '0 (Tuberculin)']",IM,"['Aged', 'Aged, 80 and over', 'Carrier State/*immunology', 'Female', 'HTLV-I Infections/*immunology', 'Humans', '*Hypersensitivity, Delayed', 'Male', 'Middle Aged', 'Phytohemagglutinins/*immunology', 'Skin Tests', 'Tuberculin/*immunology', 'Tuberculin Test']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,J Acquir Immune Defic Syndr (1988). 1990;3(10):1006-9.,['2R37 CA38450/CA/NCI NIH HHS/United States'],,,,,,,,,
