PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,CIN,TT,SI,PMC,CRF,CON,EIN,OID,LID,RF,GS,OAB,OABL,OTO,OT,GN
2327408,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,Porphyria cutanea tarda after allogeneic bone marrow transplantation for chronic myelogenous leukemia.,69-70,"A case of porphyria cutanea tarda (PCT) occurring after bone marrow transplantation (BMT) is reported. A 43-year-old male with chronic myelogenous leukemia received an human leukocyte antigen (HLA)-identical allogeneic transplantation with T-cell depleted marrow. Because of graft rejection, a second transplant was performed 4 months later. A grade II acute graft- vs.-host disease and a cytomegalovirus (CMV) infection were subsequently observed. Two years after the second transplant, cutaneous symptoms of PCT with typical biochemical abnormalities developed. Liver biopsy revealed signs of hepatitis with iron overload. CMV was isolated from liver tissue. The possible roles of underlying disease, BMT, and CMV liver disease are discussed in view of the recently reported cases of PCT in patients with AIDS or hematological disorders.","['Guyotat, D', 'Nicolas, J F', 'Augey, F', 'Fiere, D', 'Thivolet, J']","['Guyotat D', 'Nicolas JF', 'Augey F', 'Fiere D', 'Thivolet J']","['Unite de Greffes de Moelle Osseuse, Hopital Edouard Herriot, Lyon, France.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Bone Marrow Transplantation/*adverse effects', 'Child', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*surgery', 'Male', 'Middle Aged', 'Porphyrias/*etiology', 'Skin Diseases/*etiology', 'Transplantation, Homologous/*adverse effects']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340115 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):69-70. doi: 10.1002/ajh.2830340115.,,,,,,,,,,,,,,,,,,
2327407,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,Patient with pyruvate kinase deficiency developed acute myelogenous leukemia.,64-8,"A 44-year-old previously healthy male was diagnosed as anemic and treated at a nearby hospital. A year later, he was admitted to our hospital for precise examination of the progression of refractory anemia. Blood examination showed hemolytic anemia and more detailed examination of this hemolysis revealed pyruvate kinase deficiency. The activity was 15.1% of a normal control. Pyruvate kinase activities of his family members were normal or slightly decreased. Ten months after admission to our hospital, 2% of blast cells with Auer's body in the peripheral blood were noted which increased progressively. The bone marrow contained 17.3% of blast cells with a subsequent diagnosis of acute myelogenous leukemia being made. Although intensive chemotherapy was performed, the patient achieved a brief remission and died 2 years after admission to our hospital.","['Ieki, R', 'Miwa, S', 'Fujii, H', 'Kudoh, S', 'Kimura, H', 'Takaku, F']","['Ieki R', 'Miwa S', 'Fujii H', 'Kudoh S', 'Kimura H', 'Takaku F']","['Third Department of Internal Medicine, Faculty of Medicine, University of Tokyo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Erythrocytes/enzymology', 'Humans', 'Leukemia, Myeloid, Acute/enzymology/*etiology', 'Male', 'Pyruvate Kinase/blood/*deficiency']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340114 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):64-8. doi: 10.1002/ajh.2830340114.,['EC 2.7.1.40 (Pyruvate Kinase)'],,,,,,,,,,,,,,,,,
2327406,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,Neutrophilic myelofibrosis presenting as Philadelphia chromosome negative BCR non-rearranged chronic myeloid leukemia.,59-63,"Chronic myeloid leukemia consists of Philadelphia chromosome positive disease in 90% of cases, and a further 5%, although Philadelphia chromosome negative, exhibit bcr gene rearrangements consistent with the disease. The remaining 5% of cases have a heterogeneous clinical picture with a course unlike that of classical chronic myeloid leukemia, and may belong to different pathologic entities. We report five cases belonging to the latter group, initially identified as Philadelphia chromosome negative, bcr non-rearranged chronic myeloid leukemia, that developed progressive leucocytosis, absolute monocytosis, myelodysplasia, extramedullary hematopoiesis, and had evidence of myelofibrosis. These cases may represent a distinct clinical entity characterized by neutrophilic myelofibrosis, which can be identified prospectively by clinical and pathologic criteria. Standard therapy for treating chronic myeloid leukemia or idiopathic myelofibrosis may not be appropriate for this group.","['Stewart, K', 'Carstairs, K C', 'Dube, I D', 'Keating, A']","['Stewart K', 'Carstairs KC', 'Dube ID', 'Keating A']","['Section of Leukemia and Marrow Transplantation, Toronto General Hospital, Ontario, Canada.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Aged', 'Chromosome Aberrations', 'Chromosome Mapping', 'Chromosomes, Human, Pair 22/ultrastructure', 'Cloning, Molecular', 'Diagnosis, Differential', 'Gene Rearrangement/*genetics', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/genetics/pathology', 'Male', 'Middle Aged', 'Neutrophils/*pathology', '*Philadelphia Chromosome', 'Primary Myelofibrosis/*diagnosis/genetics/pathology']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340113 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):59-63. doi: 10.1002/ajh.2830340113.,,,,,,,,,,,,,,,,,,
2327403,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,5' Nucleotidase in chronic B cell leukemias: a cytochemical and ultrastructural study.,37-43,"We studied by cytochemical means the distribution of 5' nucleotidase (5' NT), a purine degradative enzyme, in the circulating lymphocytes of 24 healthy donors and 41 cases of chronic lymphoid leukemias, classified according to morphological and immunological criteria. About half the normal circulating lymphocytes were 5'NT positive and exhibited variable degrees of enzyme activity. Among chronic B lymphocytic leukemias we found high percentages of positive cells only in the phenotypically more mature cases. Moreover all cases of hairy cell, follicular cell, lymphoplasmacytic, and plasma cell leukemia showed moderate or weak 5' NT reactivity. Also one case of chronic T lymphocytic leukemia, CD8 positive, was moderately positive, while another, with large granular lymphocyte morphology, was completely negative. Electron microscopy revealed a discontinuous, granular plasma membrane reaction pattern, varying in intensity from case to case. In conclusion, our results confirm the usefulness of the 5' NT cytochemical reaction for identification of lymphoid populations at different stages of maturation in chronic B cell disorders.","['Invernizzi, R', 'De Fazio, P', 'Fenoglio, C', 'Ippoliti, G', 'Zambelli, L M', 'Razzano, M', 'Ascari, E']","['Invernizzi R', 'De Fazio P', 'Fenoglio C', 'Ippoliti G', 'Zambelli LM', 'Razzano M', 'Ascari E']","['Department of Internal Medicine, University of Pavia, I.R.C.C.S., Policlinico S. Matteo, Pavia, Italy.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,IM,"[""5'-Nucleotidase/*metabolism"", 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Histocytochemistry', 'Humans', 'Leukemia, Hairy Cell/enzymology/pathology', 'Leukemia, Lymphocytic, Chronic, B-Cell/classification/*enzymology/pathology', 'Lymphocytes/enzymology/pathology/ultrastructure', 'Lymphoma, Non-Hodgkin/enzymology/pathology', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Phenotype']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340109 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):37-43. doi: 10.1002/ajh.2830340109.,"[""EC 3.1.3.5 (5'-Nucleotidase)""]",,,,,,,,,,,,,,,,,
2327402,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,Leukemic transformation in polycythemia vera: analysis of risk factors.,32-6,"Forty-eight patients with polycythemia vera (PV) were retrospectively studied for incidence of acute leukemia over a 12 year period. Initial clinical features, hemogram, RBC mass, B12 levels, neutrophil alkaline phosphatase (NAP), and therapy given were studied for association with development of acute leukemia. There were 25 males and mean age at diagnosis was 61.4 years. Initial Hg was 18.38 +/- 1.86 g/dl, WBC 16.44 +/- 12.92 (x 1,000/mm3), platelets 632.94 +/- 303.81 (x 1,000/mm3), B12 1,030.93 +/- 445.20 pg/ml, and neutrophil alkaline phosphatase (NAP) score 136.63 +/- 55.14. Twenty-three patients were treated with phlebotomy alone and 25 received additional myelosuppressive therapy as follows--2 received p32 alone, 4 alkylating agents alone, 8 hydroxyurea (HU) alone, and 11 received 2 or more (multiple) of these agents. None of those treated with phlebotomy alone but 6 of 25 (24%) patients given myelosuppressive therapy developed acute leukemia (P = .03) after a mean period of 46.8 months from start of myelosuppressive therapy. Four of the 11 patients (36%) receiving multiple agent therapy developed acute leukemia (P = .019). Initial hemoglobin levels, but not the other clinical parameters, were significantly higher in patients who developed acute leukemia (P = .002), and this difference persisted in various subgroups receiving myelosuppressive therapy. Thus, high initial hemoglobin and use of any myelosuppressive therapy are associated with an increased risk of leukemic transformation in polycythemia vera. This risk becomes substantial with the use of two or more myelosuppressive agents. Since myelosuppressive therapy does not prolong survival, its role in the management of polycythemia vera should be reexamined.","['Nand, S', 'Messmore, H', 'Fisher, S G', 'Bird, M L', 'Schulz, W', 'Fisher, R I']","['Nand S', 'Messmore H', 'Fisher SG', 'Bird ML', 'Schulz W', 'Fisher RI']","['Department of Medicine, Loyola University of Chicago, Stritch School of Medicine, Maywood, Illinois.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,IM,"['Acute Disease', 'Female', 'Humans', 'Hydroxyurea/therapeutic use', 'Leukemia/epidemiology/*etiology', 'Male', 'Middle Aged', 'Polycythemia Vera/*complications/drug therapy', 'Retrospective Studies', 'Risk Factors']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340108 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):32-6. doi: 10.1002/ajh.2830340108.,['X6Q56QN5QC (Hydroxyurea)'],,,,,,,,,,,,,,,,,
2327401,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,Myelodysplastic syndromes: a study of surface markers and in vitro growth patterns.,26-31,"A study of surface markers and in vitro growth in semi-solid and liquid medium was performed in 35 patients with newly diagnosed myelodysplastic syndrome (MDS). Surface markers were studied by CD34, CD13, CD14, CD15, and CD33 monoclonal antibodies. There was no strict correlation with the FAB typing, but CD34 was expressed only in refractory anemia with excess of blasts (RAEB) or RAEB in transformation (RAEB-t). CD14 was markedly positive in the 4 cases of chronic myelomonocytic leukemia. Colony-forming cells were assessed by culture in semi-solid medium in the presence of HTB9 as growth factor. Four growth patterns were identified: a) normal growth (6 cases); b) no growth or low plating efficiency (10 cases); c) low colony and high cluster number (15 cases); and d) normal or high colony number with high number of clusters (4 cases). Expression of CD34 was associated with low colony and high cluster number. Finally we studied the proliferation and differentiation capacities in liquid culture without stimulating factor. Fifteen patients had a spontaneous proliferation. This was not correlated with any surface marker. Differentiation assessed by the loss of CD34 and/or the increase of CD15 by more than 20% at day 7 was observed in 21 cases. None of the surface markers or growth patterns was associated with a specific chromosomal abnormality, except the lack of growth in liquid culture observed in all 5q deletion cases. In univariate analysis, RAEB and RAEB-t FAB subtypes, percentage of blasts higher than 5%, staining by CD33 and CD34, and lack of differentiation in liquid culture were significantly associated with progression to leukemia and shorter survival. In multivariate analysis, only CD34 expression (P = .002) and percentage of blasts (P = .05) remained independent significant variables. CD34 was the only significant variable for prediction of survival (P = .05). It is concluded that surface marker analysis at diagnosis and after liquid culture may be a useful tool for the initial evaluation of MDS.","['Guyotat, D', 'Campos, L', 'Thomas, X', 'Vila, L', 'Shi, Z H', 'Charrin, C', 'Gentilhomme, O', 'Fiere, D']","['Guyotat D', 'Campos L', 'Thomas X', 'Vila L', 'Shi ZH', 'Charrin C', 'Gentilhomme O', 'Fiere D']","[""Service d'Hematologie, Hopital Edouard Herriot, Lyon, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Antigens, CD/immunology', 'Antigens, Differentiation/analysis', 'Antigens, Surface/analysis', 'Cell Differentiation', 'Cell Division', 'Chromosome Aberrations/diagnosis', 'Chromosome Disorders', 'Chromosomes/ultrastructure', 'Hematopoietic Stem Cells/cytology/ultrastructure', 'Humans', 'Leukemia/diagnosis/mortality/pathology', 'Myelodysplastic Syndromes/*immunology/pathology/physiopathology']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340107 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):26-31. doi: 10.1002/ajh.2830340107.,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Antigens, Surface)']",,,,,,,,,,,,,,,,,
2327399,NLM,MEDLINE,19900511,20190820,0361-8609 (Print) 0361-8609 (Linking),34,1,1990 May,"Cigarette smoking, blast crisis, and survival in chronic myeloid leukemia.",1-4,"We reviewed the records of all patients with chronic myeloid leukemia (CML) seen in the CML Clinic of the University of Colorado Health Sciences Center between 1968 and 1987 for a history of cigarette smoking. Patients who smoked for five or more pack/years within the ten years preceding, or after the diagnosis of CML, were defined as smokers. Adequate smoking histories were obtained on 122 patients. Eighty-seven of these were non-smokers and 35 were smokers by the above criteria. The smoking group had a higher predominance of males, an older median age, and were diagnosed earlier in the course of the 20 year study. Seventy-two patients had died at the time of analysis. All but one, a non-smoker, died from the development of blast crisis. The overall median actuarial survival was significantly reduced for smokers (35 months) as compared to non-smokers (47 months). This was particularly striking for patients who had succumbed to the disease, with a median survival of 30 months in smokers versus 46 months in non-smokers. Although various explanations could explain the differences noted, we conclude that cigarette smoking has an adverse effect on the development of blast crisis and survival in chronic myeloid leukemia.","['Herr, R', 'Ferguson, J', 'Myers, N', 'Rovira, D', 'Robinson, W A']","['Herr R', 'Ferguson J', 'Myers N', 'Rovira D', 'Robinson WA']","['Department of Medicine, University of Colorado Health Sciences Center, Denver 80262.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Blast Crisis/*etiology/pathology', 'Child', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/etiology/*mortality/pathology', 'Male', 'Middle Aged', 'Prognosis', 'Sex Ratio', 'Smoking/*adverse effects']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1002/ajh.2830340102 [doi]'],ppublish,Am J Hematol. 1990 May;34(1):1-4. doi: 10.1002/ajh.2830340102.,,['MO1-RR00051/RR/NCRR NIH HHS/United States'],['Am J Hematol. 1991 Apr;36(4):302. PMID: 2012080'],,,,,,,,,,,,,,,
2327367,NLM,MEDLINE,19900524,20190510,0002-9173 (Print) 0002-9173 (Linking),93,5,1990 May,One-stage method for assay of tissue factor activity of leukemic cell with special reference to disseminated intravascular coagulation.,679-84,"Tissue factor activity (TFA) of leukemic cells (1 x 10(8) cells/mL) was measured in 44 patients with acute nonlymphoid leukemia (ANLL) by the one-stage assay using factor-IX deficient plasma (OSA-dIX) and two-stage assay (TSA). According to the preventative heparin dose schedule based on the TFA measured by the TSA, all disseminated intravascular coagulation (DIC) was controlled successfully. The procedure of the TSA was too complicated for clinical use, and its minimal measurable value was 125 units (U)/L of TFA. The OSA-dIX was simpler in its procedure and sensitive enough to measure accurately a TFA quantity as small as 30 U/L with high reproducibility. In 20 ANLL patients with 125 U/L or more of TFA measured by both assays, there was a significant relationship between their logarithms of TFA (r = 0.93, P less than 0.01). These results suggested that DIC complication in ANLL patients would be controlled successfully by the administration of heparin dosage based on the TFA measured by the OSA-dIX.","['Andoh, K', 'Sadakata, H', 'Uchiyama, T', 'Narahara, N', 'Tanaka, H', 'Kobayashi, N', 'Maekawa, T']","['Andoh K', 'Sadakata H', 'Uchiyama T', 'Narahara N', 'Tanaka H', 'Kobayashi N', 'Maekawa T']","['Third Department of Internal Medicine, Gunma University School of Medicine, Maebashi, Japan.']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,"['Adult', '*Blood Coagulation', 'Blood Coagulation Tests/methods', 'Bone Marrow/pathology', 'Disseminated Intravascular Coagulation/blood/diagnosis/*pathology', 'Factor IX', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/blood/*pathology', 'Leukocytes/physiology', 'Male', 'Middle Aged', 'Reproducibility of Results', 'Thromboplastin/*analysis', 'Tumor Cells, Cultured']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",['10.1093/ajcp/93.5.679 [doi]'],ppublish,Am J Clin Pathol. 1990 May;93(5):679-84. doi: 10.1093/ajcp/93.5.679.,"['9001-28-9 (Factor IX)', '9035-58-9 (Thromboplastin)']",,,,,,,,,,,,,,,,,
2327088,NLM,MEDLINE,19900516,20071115,0042-773X (Print) 0042-773X (Linking),36,1,1990 Jan,[Plasmocellular leukemia with IgD paraproteinemia].,81-7,"The authors describe the case of an 80-year-old woman with a plasmocytoma IgD-lambda, which developed into plasmocellular leukaemia. The laboratory finding reminded at first of chronic lymphatic leukaemia. The correct diagnosis was assisted by marked leucocytosis with the release of a major number of plasmatic cells into the peripheral blood stream. The finding was confirmed on the basis of sternal puncture, cytochemical examination, immunochemical examination of the blood and urine and X-ray of the skull. Treatment led to marked clinical and laboratory improvement. The patient died, however, from pneumonia three months after establishment of the diagnosis. Post-mortem examination revealed an extensive infiltration of many organs and a myelomatous kidney. The authors present some differential diagnostic reflections on plasmocellular leukaemia.","['Mateja, F', 'Tichy, M', 'Novotny, J', 'Foukal, T']","['Mateja F', 'Tichy M', 'Novotny J', 'Foukal T']",['Oddeleni klinicke hematologie fakultni nemocnice Brno.'],['cze'],"['Case Reports', 'English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,IM,"['Aged', 'Female', 'Humans', '*Immunoglobulin D', 'Leukemia, Plasma Cell/*complications/diagnosis', 'Paraproteinemias/*complications/diagnosis']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1990 Jan;36(1):81-7.,['0 (Immunoglobulin D)'],,,Plasmocelularni leukemie s paraproteinemii IgD.,,,,,,,,,,,,,,
2326877,NLM,MEDLINE,19900516,20131121,0041-1337 (Print) 0041-1337 (Linking),49,4,1990 Apr,Acute myelogenous leukemia in a renal allograft recipient receiving cyclosporine therapy.,813-5,,"['Butler, J', 'Korb, S', 'Light, J']","['Butler J', 'Korb S', 'Light J']","['Department of Surgery, Washington Hospital Center, Washington, D.C. 20010.']",['eng'],"['Case Reports', 'Journal Article']",United States,Transplantation,Transplantation,0132144,IM,"['Azathioprine/adverse effects', 'Cyclosporins/*adverse effects', 'Female', 'Humans', '*Kidney Transplantation', 'Leukemia, Myeloid, Acute/*chemically induced', 'Middle Aged', 'Prednisolone/adverse effects']",1990/04/01 00:00,1990/04/01 00:01,['1990/04/01 00:00'],"['1990/04/01 00:00 [pubmed]', '1990/04/01 00:01 [medline]', '1990/04/01 00:00 [entrez]']",,ppublish,Transplantation. 1990 Apr;49(4):813-5.,"['0 (Cyclosporins)', '9PHQ9Y1OLM (Prednisolone)', 'MRK240IY2L (Azathioprine)']",,,,,,,,,,,,,,,,,
