PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,GS,RF,GR,CIN,PMC,CON,SI,EIN,RIN,OID,PS,FPS
2256952,NLM,MEDLINE,19910123,20151119,0158-5231 (Print) 0158-5231 (Linking),21,5,1990 Aug,Murine erythroleukemia cell differentiation: possible involvement of a calcium dependent neutral proteinase.,901-8,"Murine erythroleukemia cells contain a single type of calpain classified, on the basis of its calcium requirement, as a type I proteinase. The enzyme is practically inactive at concentrations of calcium below 10 microM and expresses maximal activity in the presence of 0.12-0.15 mM Ca2+. The affinity for Ca2+ cannot be reduced by exposure of the enzyme to conditions known to promote autoproteolysis of calpain. Expression of catalytic activity at lower concentrations of Ca2+, is promoted by the interaction with phospholipid vesicles or plasma membranes. Conditions that promote activation of calpain, induce also the self-inactivation of the enzyme. During terminal differentiation of murine erythroleukemia cells induced by HMBA, the intracellular level of calpain activity undergoes significative reduction. Similar decrease in calpain activity progressively occurs during the loss of sensitivity to HMBA as a result of density growth arrest.","['Salamino, F', 'Passalacqua, M', 'Patrone, M', 'Viotti, P L', 'Sparatore, B']","['Salamino F', 'Passalacqua M', 'Patrone M', 'Viotti PL', 'Sparatore B']","['Institute of Biological Chemistry, University of Genoa, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Australia,Biochem Int,Biochemistry international,8100311,"['0 (Acetamides)', '0 (Hemoglobins)', 'EC 3.4.22.- (Calpain)', 'LA133J59VU (hexamethylene bisacetamide)', 'SY7Q814VUP (Calcium)']",IM,"['Acetamides', 'Animals', 'Calcium/*metabolism', 'Calpain/*metabolism', '*Cell Differentiation', 'Enzyme Activation', 'Hemoglobins/metabolism', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Mice', 'Tumor Cells, Cultured']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",ppublish,Biochem Int. 1990 Aug;21(5):901-8.,,,,,,,,,,,,,,
2256914,NLM,MEDLINE,19910124,20190612,0006-291X (Print) 0006-291X (Linking),173,1,1990 Nov 30,Activin/EDF as an inhibitor of neural differentiation.,193-200,"Activin/EDG, a stimulator of the secretion of follicle stimulating hormone (FSH) from pituitary gland and an inducer of erythroid differentiation for Friend leukemia cells, has since been implicated in a variety of biological roles. Here, we show some novel effects of activin on murine embryonal carcinoma cells (EC cells). First, activin acts as a growth factor on undifferentiated P19 cells, a well characterized EC cell line for the study of mammalian development. Second, activin inhibits the retinoic acid (RA) induced differentiation of P19 cells to neurons and glial cells. The inhibitory effect of activin on neural differentiation, which has yet to be proved in other physiological peptides, is confirmed also on the differentiation of various neuroblastoma cell lines. Our results suggest a possible role of activin as a negative regulator of neural differentiation in mammalian development.","['Hashimoto, M', 'Kondo, S', 'Sakurai, T', 'Etoh, Y', 'Shibai, H', 'Muramatsu, M']","['Hashimoto M', 'Kondo S', 'Sakurai T', 'Etoh Y', 'Shibai H', 'Muramatsu M']","['Department of Biochemistry and Pharmacology, Faculty of Medicine, University of Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['104625-48-1 (Activins)', '5688UTC01R (Tretinoin)', '57285-09-3 (Inhibins)']",IM,"['Activins', 'Animals', 'Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Line', 'Inhibins/*pharmacology', 'Kinetics', 'Neuroblastoma', 'Neurons/*cytology/drug effects', 'Teratoma', 'Tretinoin/pharmacology']",1990/11/30 00:00,1990/11/30 00:01,['1990/11/30 00:00'],"['1990/11/30 00:00 [pubmed]', '1990/11/30 00:01 [medline]', '1990/11/30 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 30;173(1):193-200. doi: 10.1016/s0006-291x(05)81040-x.,"['S0006-291X(05)81040-X [pii]', '10.1016/s0006-291x(05)81040-x [doi]']",,,,,,,,,,,,,
2256912,NLM,MEDLINE,19910124,20190612,0006-291X (Print) 0006-291X (Linking),173,1,1990 Nov 30,Glyoxylic acid prevents NAD+ and NADH depletion in K562 cells cultured at limiting dilution.,179-85,"K562 erythroleukemic cells cultured at low population density in the absence of serum die within 12-24 hours, unless 0.1 mM glyoxylic acid is added to the culture medium. Earlier events, preceding cell death and occurring within 2 hours culture, are: a) a marked drop of both the NAD+/NADH ratio and the NAD+ concentration, which is prevented by 10mM benzamide, b) an increased biosynthesis of NAD+, leading to extensive depletion of cellular ATP. In the presence of 0.1 mM glyoxylic acid the NAD+/NADH ratio as well as their absolute concentrations remain unchanged, while NAD+ biosynthesis is absent. A NAD+/NADH glycohydrolase activity is present in the cell extract, inhibited by 10 mM benzamide and with a higher affinity for NADH than for NAD+. Preservation of a high NAD+/NADH ratio by glyoxylic acid apparently prevents enzyme activity and the related loss of pyridine nucleotides.","['Zocchi, E', 'Polvani, C', 'Guida, L']","['Zocchi E', 'Polvani C', 'Guida L']","['Department of Biochemistry, University of Genoa, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Benzamides)', '0 (Glyoxylates)', '0U46U6E8UK (NAD)', '6X80438640 (benzamide)', 'JQ39C92HH6 (glyoxylic acid)', 'K72T3FS567 (Adenosine)']",IM,"['Adenosine/metabolism', 'Benzamides/pharmacology', 'Cell Line', 'Chromatography, High Pressure Liquid', 'Glyoxylates/*pharmacology', 'Humans', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'NAD/*metabolism', 'Oxidation-Reduction']",1990/11/30 00:00,1990/11/30 00:01,['1990/11/30 00:00'],"['1990/11/30 00:00 [pubmed]', '1990/11/30 00:01 [medline]', '1990/11/30 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 30;173(1):179-85. doi: 10.1016/s0006-291x(05)81038-1.,"['S0006-291X(05)81038-1 [pii]', '10.1016/s0006-291x(05)81038-1 [doi]']",,,,,,,,,,,,,
2256910,NLM,MEDLINE,19910124,20190612,0006-291X (Print) 0006-291X (Linking),173,1,1990 Nov 30,A vincristine-resistant murine erythroleukemia cell line secretes a differentiation enhancing factor.,156-63,"A clone of vincristine resistant murine erythroleukemia cells V3.17[44], characterized by high sensitivity to terminal erythroid differentiation induced by hexamethylene bisacetamide, secretes into the extracellular medium a protein factor which partially reduces the latent period before commitment and accelerates the expression of the terminal differentiated phenotype in a slow responding murine erythroleukemia N23 cell variant. This differentiation enhancing factor increases the rate of protein kinase C down-regulation which occurs at slower rate during cell differentiation. The activity of the factor is detected either by coculture of the two cell line variants or by addition of conditioned medium from V3.17[44] cells to a culture of N23 cells in the presence of the inducer. In addition to being secreted by V3.17[44] cells, this factor can also be detected in the cytoplasm of both V3.17[44] and N23 cells, associated with a particulate fraction from which it can be released by sonication.","['Sparatore, B', 'Patrone, M', 'Salamino, F', 'Passalacqua, M', 'Melloni, E', 'Pontremoli, S']","['Sparatore B', 'Patrone M', 'Salamino F', 'Passalacqua M', 'Melloni E', 'Pontremoli S']","['Institute of Biological Chemistry, University of Genoa, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Culture Media)', '0 (Growth Inhibitors)', '0 (HMGB1 Protein)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Neoplasm Proteins)', '5J49Q6B70F (Vincristine)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,"['Animals', 'Cell Differentiation/drug effects', 'Cell Line', 'Culture Media', 'Drug Resistance', '*Growth Inhibitors', '*HMGB1 Protein', '*Interleukin-6', 'Kinetics', 'Leukemia Inhibitory Factor', 'Leukemia, Erythroblastic, Acute', 'Lymphokines/*biosynthesis/isolation & purification/pharmacology', 'Mice', 'Neoplasm Proteins/*biosynthesis/isolation & purification', 'Protein Kinase C/metabolism', 'Vincristine/*pharmacology']",1990/11/30 00:00,1990/11/30 00:01,['1990/11/30 00:00'],"['1990/11/30 00:00 [pubmed]', '1990/11/30 00:01 [medline]', '1990/11/30 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Nov 30;173(1):156-63. doi: 10.1016/s0006-291x(05)81035-6.,"['S0006-291X(05)81035-6 [pii]', '10.1016/s0006-291x(05)81035-6 [doi]']",,,,,,,,,,,,,
2256423,NLM,MEDLINE,19910123,20131121,0001-5547 (Print) 0001-5547 (Linking),34,6,1990 Nov-Dec,Urothelial cell changes due to busulfan and cyclophosphamide treatment in bone marrow transplantation.,885-90,"Since the administration of cyclophosphamide and busulfan can cause hemorrhagic cystitis and changes in urothelial cells, an investigation was carried out to see whether patients undergoing bone marrow transplantation (BMT) who were treated with these drugs showed such urothelial changes and whether exfoliative urinary cytology can contribute to the early diagnosis and monitoring of such changes. Morphologic and morphometric analyses were performed on cytocentrifuged, Papanicolaou-stained preparations of 700 samples from 107 patients. Various degrees of urothelial cell changes were found in 30.8% of the cases. These changes consisted mainly of a considerable increase in the size of the nucleus and of a cytoplasm that was often bizarrely shaped. Even the structures of the nucleus and the cytoplasm changed. The results of this study showed that exfoliative urinary cytology permits an early diagnosis and monitoring of urothelial cell changes related to the administration of busulfan and cyclophosphamide in connection with BMT.","['Stella, F', 'Battistelli, S', 'Marcheggiani, F', 'De Santis, M', 'Giardini, C', 'Baronciani, D', 'Manenti, F', 'Mattioli, S', 'Troccoli, R']","['Stella F', 'Battistelli S', 'Marcheggiani F', 'De Santis M', 'Giardini C', 'Baronciani D', 'Manenti F', 'Mattioli S', 'Troccoli R']","['Institute of Histology and Laboratory Analysis, University of Urbino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Cytol,Acta cytologica,0370307,"['0 (Cyclosporins)', '8N3DW7272P (Cyclophosphamide)', 'G1LN9045DK (Busulfan)']",IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Busulfan/*adverse effects/therapeutic use', 'Cell Nucleus/ultrastructure', 'Child', 'Child, Preschool', 'Cyclophosphamide/*adverse effects/therapeutic use', 'Cyclosporins/*adverse effects/therapeutic use', 'Epithelium/drug effects/pathology', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/surgery', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/surgery', 'Thalassemia/surgery', 'Urinary Bladder/drug effects/*pathology', 'Urine/cytology']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Acta Cytol. 1990 Nov-Dec;34(6):885-90.,,,,,,,,,,,,,,
2256422,NLM,MEDLINE,19910123,20131121,0001-5547 (Print) 0001-5547 (Linking),34,6,1990 Nov-Dec,Extramedullary hand mirror cells in pathologic conditions of lymphoid tissue.,868-74,"The hand mirror (HM) cell phenomenon, which usually affects pathologic cells of lymphoid tissue in bone marrow, especially in acute lymphoblastic leukemia (ALL), was seen in B-cell lymphoma cells in cerebrospinal fluid (CSF). It was subsequently detected not only in the bone marrow, but also in extramedullary sites of the lymphoma. Subsequent phase-contrast microscopic study of 45 consecutive specimens of CSF revealed lymphoid cells with HM features in a case of ALL (in which HM cells were subsequently found in the bone marrow) and in a case of acute viral meningoencephalitis. These observations demonstrate that the HM cell phenomenon, which is considered to be a cellular alteration resulting from incorporation in the cell of antigen-antibody complexes, is not unique to bone marrow. It can be present in extramedullary sites and can be seen in exfoliated cells in CSF, where its detection is facilitated by the use of phase-contrast microscopy.","['Zaharopoulos, P', 'Wong, J Y', 'Wen, J W']","['Zaharopoulos P', 'Wong JY', 'Wen JW']","['Department of Pathology, University of Texas Medical Branch, Galveston 77550.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Cytol,Acta cytologica,0370307,['X4HES1O11F (Acyclovir)'],IM,"['Acquired Immunodeficiency Syndrome/drug therapy/*pathology', 'Acyclovir/therapeutic use', 'Adult', 'Bone Marrow/pathology', 'Cerebrospinal Fluid/*cytology', 'Female', 'HIV Seropositivity', 'Humans', 'Lymphocytes/*pathology', 'Lymphoid Tissue/*pathology/ultrastructure', 'Lymphoma, Non-Hodgkin/cerebrospinal fluid/*pathology/therapy/ultrastructure', 'Male', 'Microscopy, Electron', 'Middle Aged']",1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Acta Cytol. 1990 Nov-Dec;34(6):868-74.,,,,,,,,,,,,,,
2256404,NLM,MEDLINE,19910124,20200716,0372-9311 (Print) 0372-9311 (Linking),,9,1990 Sep,[The results of clinical trials and the prospects of using the Soviet preparation of human recombinant interferon alpha-2 (reaferon) in medical practice].,61-7,"The results of the clinical trials of human recombinant interferon alpha-2 (reaferon) make it possible to come to the conclusion that the preparation is well-tolerated and produces a pronounced therapeutic effect in a number of viral and oncological diseases. The Pharmacological Committee of the USSR has recommended reaferon for use in acute hepatitis B, hairy cell leukemia, renal cancer at stage IV, disseminated sclerosis, ocular herpes. The use of reaferon has been found to be promising in the treatment of papillomatosis of the larynx, Kaposi's sarcoma, mycosis fungoides, chronic myeloleukemia.","['Kalinin, Iu T', ""Vorob'ev, A A"", 'Bumialis, V V', 'Denisov, L A', 'Parfenov, V V', 'Klenova, A V', 'Ianulaitis, A A', 'Ershov, F I', 'Marchenko, V I', 'Malinovskaia, V V']","['Kalinin IuT', ""Vorob'ev AA"", 'Bumialis VV', 'Denisov LA', 'Parfenov VV', 'Klenova AV', 'Ianulaitis AA', 'Ershov FI', 'Marchenko VI', 'Malinovskaia VV']",,['rus'],"['Clinical Trial', 'Journal Article']",Russia (Federation),Zh Mikrobiol Epidemiol Immunobiol,"Zhurnal mikrobiologii, epidemiologii i immunobiologii",0415217,"['0 (Interferon Type I)', '0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)']",IM,"['Clinical Trials as Topic/statistics & numerical data', 'Dose-Response Relationship, Drug', 'Drug Tolerance', 'Humans', 'Interferon Type I/administration & dosage/adverse effects/*therapeutic use', 'Interferon alpha-2', 'Interferon-alpha', 'Recombinant Proteins', 'USSR']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",ppublish,Zh Mikrobiol Epidemiol Immunobiol. 1990 Sep;(9):61-7.,,Rezul'taty klinicheskikh ispytanii i perspektivy primeneniia v meditsinskoi praktike otechestvennogo rekombinantnogo preparata chelovecheskogo interferona al'fa-2 (reaferona).,,,,,,,,,,,,
2256326,NLM,MEDLINE,19910124,20071115,0043-5147 (Print) 0043-5147 (Linking),43,13,1990 Jul 1,[Hepatitis B in children with leukemia and lymphoma].,645-51,"In the time period from February to October 1988 the indicators of hepatitis virus B infection, transaminase activity, and bilirubin level were studied in 89 children with acute leukaemias and malignant lymphomas. The age of the children was from 7 months to 16 years. Fifteen children were examined before starting the treatment with cytostatics, 48 during intensive chemotherapy, and 26 during maintenance treatment. HBV markers were found in 53 children during intensive therapy and maintenance treatment. Out of 36 children with negative HBV infection markers 31 were examined before starting the treatment with cytostatics or during the first 6 months of treatment. Nine out of 53 children in whom HBV infection markers were found had aminotransferase activity raised over 100 u/l and/or bilirubin level over 5 mg/dl and in nine cases transaminase activity and bilirubin level were raised only slightly (below 100 u/l and below 5 wg/dl). In 53 children the results were normal. The high incidence of HBV infection in children with acute leukaemias and lymphomas indicates the necessity of routine prophylactic treatment in this group of patients.","['Jackowska, T', 'Kalinowska, B', 'Rokicka-Milewska, R', 'Derulska, D', 'Sopylo, B', 'Makowska, K']","['Jackowska T', 'Kalinowska B', 'Rokicka-Milewska R', 'Derulska D', 'Sopylo B', 'Makowska K']","['Katedry i Kliniki Pediatrii, Hematologii i Onkologii Ak. Med. w Warszawie.']",['pol'],"['English Abstract', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Child', 'Child, Preschool', 'Hepatitis B/diagnosis/*etiology', 'Humans', 'Immune Tolerance/immunology', 'Infant', 'Lymphoma, Non-Hodgkin/complications/*drug therapy/immunology', 'Opportunistic Infections/diagnosis/*etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*drug therapy/immunology']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Wiad Lek. 1990 Jul 1;43(13):645-51.,,Zakazenie wirusem zapalenia watroby typu B u dzieci chorych na bialaczki i chloniaki.,,,,,,,,,,,,
2256325,NLM,MEDLINE,19910124,20061115,0043-5147 (Print) 0043-5147 (Linking),43,13,1990 Jul 1,[Prevention of hepatitis B by passive immunization of children with chronic hematologic disease immunoglobulin].,639-44,"In order to prevent the hepatitis virus B (HBV) infection, in 66 children aged from 6 months to 14 years with acute and chronic leukaemias, Hodgkin's and non-Hodgkin's lymphomas, testicular tumours, and aplastic anaemia a specific immunoglobulin was used intravenously (Hepatect made by Biotest). Hepatect was given every month to children with proliferative diseases throughout the whole time of intensive chemotherapy, and to children with aplastic anaemias during the administration of antilymphocytic globulin, prednisone, and Anapoln. Fourteen children were excluded from the analysis due to lack of systematic follow-up. Among 52 studied children, in most cases considerable fluctuations were observed of antibody concentration, the maximal values of which were of 150 mIU/ml. In 35 children, with the exception of sporadic falls, the anti-HBs antibody level remained level was noted, in two cases the presence of antibodies was revealed only sporadically. One of these children was infected with HBV. In all, three children were infected (5.76% of all children in the studied group). Perhaps the use of higher doses of Hepatect and its more frequent administration in children showing low anti-HBs level after routine doses might reduce further the incidence of infection.","['Rokicka-Milewska, R', 'Kacperska, E', 'Moraczewska, Z', 'Jackowska, T', 'Seyfried, H']","['Rokicka-Milewska R', 'Kacperska E', 'Moraczewska Z', 'Jackowska T', 'Seyfried H']","['Katedry i Kliniki Pediatrii, Hematologii i Onkologii Ak. Med. w Warszawie.']",['pol'],"['English Abstract', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,['0 (Immunosuppressive Agents)'],IM,"['Adolescent', 'Anemia, Aplastic/drug therapy/*immunology', 'Child', 'Child, Preschool', 'Chronic Disease', 'Hepatitis B/etiology/*prevention & control', 'Humans', 'Immune Tolerance/immunology', '*Immunization, Passive', 'Immunosuppressive Agents/*adverse effects/therapeutic use', 'Infant', 'Leukemia/drug therapy/*immunology', 'Lymphoma/drug therapy/*immunology']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Wiad Lek. 1990 Jul 1;43(13):639-44.,,Zapobieganie metoda biernej immunizacji zakazeniu wirusem zapalenia watroby typu B u dzieci chorych na przewlekle choroby krwi.,,,,,,,,,,,,
2256321,NLM,MEDLINE,19910118,20161109,0507-4088 (Print) 0507-4088 (Linking),35,4,1990 Jul-Aug,[Vaccinia virus stimulation of oncogenesis in C57Bl mice].,344-6,,"[""Khar'kovskaia, N A"", 'Khrustalev, S A', 'Merekalova, Z I']","[""Khar'kovskaia NA"", 'Khrustalev SA', 'Merekalova ZI']",,['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,['0 (Smallpox Vaccine)'],IM,"['Animals', 'Animals, Newborn', 'Female', 'Leukemia, Experimental/etiology', 'Male', 'Mice', '*Mice, Inbred C57BL', 'Neoplasms, Experimental/*etiology', 'Rauscher Virus/pathogenicity', 'Smallpox Vaccine/adverse effects', 'Time Factors', 'Vaccinia virus/*pathogenicity']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,Vopr Virusol. 1990 Jul-Aug;35(4):344-6.,,Stimuliatsiia virusom ospovaktsiny onkogeneza u myshei linii C57Bl.,,,,,,,,,,,,
