PMID,OWN,STAT,DCOM,LR,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,IS,AID,PMC,GR,CIN,EIN,TT,CON,SI,GS
2190175,NLM,MEDLINE,19900711,20051116,32,1,1990,Detection of minimal residual disease in leukemias: a critical approach.,21-4,"The detection of minimal residual disease (MRD) represents a major goal in leukemias with great potential applications: identification of patients at high risk of relapse, earlier detection of relapses, possible improvement of autologous bone marrow transplantation (determination of the best time for bone marrow harvest and assessment of its quality). Theoretical requirements for a model of MRD detection exist and are recalled. Numerous methods (cytology, immunology, cytogenetics, clonogenic assays, molecular biology) have been used. All share limitations which may concern sensitivity, specificity, reproducibility, conveniency. Progresses will be brought by more sophisticated methods in immunology (double staining with or without flow cytometry) and above all molecular biology (revolutioned by polymerase chain reaction applications).","['Baruchel, A', 'Schaison, G']","['Baruchel A', 'Schaison G']","[""Unite d'Hematologie Pediatrique, Hopital Saint-Louis, Paris, France.""]",['eng'],"['Journal Article', 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['0 (Antibodies, Monoclonal)', '0 (Receptors, Antigen)']",IM,"['Antibodies, Monoclonal', 'Gene Rearrangement/genetics', 'Genes, ras/physiology', 'Humans', 'Karyotyping', 'Leukemia/genetics/*immunology', 'Lymphoma/genetics', 'Models, Biological', 'Mutation', 'Polymerase Chain Reaction', 'Receptors, Antigen/genetics', 'Recurrence', 'Risk Factors', 'Tumor Stem Cell Assay']",30,1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1990;32(1):21-4.,,,,,,,,,,
2190064,NLM,MEDLINE,19900712,20190820,32,1,1990 May,On the topology of normal chromatids and on their translocations in myelogenous leukemia.,11-9,"After some comments on the topology of chromatids, restructuring of the interphase nucleus is conjectured to depend upon the nuclear vesicle apparatus. These vesicles change the intrinsic shape of chromatids to fit the different topology of the interphase nuclear spheroid. Reciprocal translocations between selected chromatids result whenever the nucleus of malignant cells organizes de novo certain exceptional or emergency differentiation paths. However, the almost unavoidable chimeric genes resulting from these translocations may be less ominous than hitherto suspected. This seems to be the case for chronic myelogenous leukemia, where the bcr-abl chimeric gene lessens the aggressiveness of the primary clone when functioning in the context of myelomonocitic differentiation. Finally, our model estimates the statistical incidences of the bcr-abl chimera. These estimates are found to agree with clinical data better than evaluations from the random mutation theory.","['Matioli, G T']",['Matioli GT'],"['University of Southern California, School of Medicine, Department of Microbiology, Los Angeles 90033-1054.']",['eng'],['Journal Article'],United States,Med Hypotheses,Medical hypotheses,7505668,,IM,"['Chromatids/*ultrastructure', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Translocation, Genetic/*physiology']",,1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Med Hypotheses. 1990 May;32(1):11-9. doi: 10.1016/0306-9877(90)90061-i.,0306-9877 (Print) 0306-9877 (Linking),"['0306-9877(90)90061-I [pii]', '10.1016/0306-9877(90)90061-i [doi]']",,,,,,,,
2190020,NLM,MEDLINE,19900706,20071115,36,6,1990 May,[A case report of an acute myelogenous leukemia (FAB M1) with Klinefelter's syndrome].,763-8,"Reported is the second documented case in Japan of acute leukemia with Klinefelter's syndrome. The patient, a 52-year-old male, was admitted to hospital on July 9, 1983, after complaining of a fever and general malaise. The hematological examinations revealed a WBC count of 14,300/cmm with 32% being leukemic cells. Bone marrow aspiration disclosed a nucleated cell count of 687,000/cmm with 41.6% being leukemic cells consisting of myeloblasts. The endocrinic laboratory data showed a high level of urine gonadotropin and chromosomal studies revealed a 47,XXY karyotype. A diagnosis of acute myelogenous leukemia (M1) with Klinefelter's syndrome thus was derived from these findings.","['Mizuno, T', 'Ozawa, M', 'Oyamada, Y', 'Takegami, T', 'Horiuchi, H', 'Maruo, N', 'Kobayashi, Y', 'Kondo, M', 'Nishigaki, H', 'Misawa, S']","['Mizuno T', 'Ozawa M', 'Oyamada Y', 'Takegami T', 'Horiuchi H', 'Maruo N', 'Kobayashi Y', 'Kondo M', 'Nishigaki H', 'Misawa S', 'et al.']","['1st Dept. of Int. Med., Kyoto Prefectural Univ. of Med.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Gan No Rinsho,Gan no rinsho. Japan journal of cancer clinics,1257753,,IM,"['Humans', 'Immunity, Cellular', 'Karyotyping', 'Klinefelter Syndrome/*complications/genetics/immunology', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged']",28,1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Gan No Rinsho. 1990 May;36(6):763-8.,0021-4949 (Print) 0021-4949 (Linking),,,,,,,,,
2190013,NLM,MEDLINE,19900711,20161116,43,1,1990 Jan,Prophylactic and therapeutic effects of oral administration of amphotericin B in mycosis associated with hematologic diseases. Study Group of Mycosis in Hematologic Disease.,116-30,"The prophylactic and therapeutic effects of the oral administration of amphotericin B (AMPH) to patients with deep mycosis associated with hematologic diseases were evaluated in an investigation including determination of serum concentrations of the antibiotic. Prophylactic effects were examined in 111 subjects, and the efficacy rates averaged 83.8% at daily doses from 1,200 to 4,800 mg. The efficacy was significantly higher at a dose of 2,400 mg/day than at a dose of 1,200 mg/day (P less than 0.05). The efficacy rate tended to be higher when the length of administration period was 1 month or more. The percentage of the number of days of fever by neutrophil count was significantly less at a daily dose of 2,400 mg than at 1,200 mg in patients with neutrophil count of 1,000 cells/mm3 or less (P less than 0.001). The safety was evaluated in 131 subjects, and adverse effects were found in only 2 cases of nausea for an incidence rate of 1.5%. Therapeutic effects were studied in 12 cases, and efficacy rates averaged 58.3% at daily doses from 2,400 to 7,200 mg. Adverse effects consisted of 1 case of diarrhea among 15 subjects who were evaluated for the safety for an incidence rate of 6.7%. The serum concentrations of the antibiotic were examined in 60 of the prophylactic and therapeutic subjects. Average concentrations of AMPH at 4 hours after the first daily dose of 1,200, 2,400 and 4,800 mg were 0.040, 0.053 and 0.078 micrograms/ml, respectively. Concentrations gradually increased thereafter and reached averages of 0.089, 0.090 and 0.132 micrograms/ml, respectively, for the 3 dose levels on the 7th day. These results indicated that there were no serious adverse effects and serum concentrations were above the Candida MIC values at daily prophylactic and therapeutic doses of 1,200 to 7,200 mg of AMPH. Based on these findings, this drug can be expected to show prophylactic and therapeutic effects with safety in cases of deep mycosis.","['Urabe, A', 'Takaku, F', 'Mizoguchi, H', 'Nomura, T', 'Ogawa, T', 'Maekawa, T', 'Omine, M', 'Miura, Y', 'Hirashima, K', 'Takatani, O']","['Urabe A', 'Takaku F', 'Mizoguchi H', 'Nomura T', 'Ogawa T', 'Maekawa T', 'Omine M', 'Miura Y', 'Hirashima K', 'Takatani O', 'et al.']","['Third Department of Internal Medicine, Faculty of Medicine, University of Tokyo.']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', 'Multicenter Study']",Japan,Jpn J Antibiot,The Japanese journal of antibiotics,0154402,['7XU7A7DROE (Amphotericin B)'],IM,"['Administration, Oral', 'Adult', 'Aged', 'Aged, 80 and over', 'Amphotericin B/administration & dosage/blood/*therapeutic use', 'Drug Evaluation', 'Female', 'Hematologic Diseases/*complications', 'Humans', 'Leukemia/complications', 'Lymphoma/complications', 'Male', 'Middle Aged', 'Multicenter Studies as Topic', 'Multiple Myeloma/complications', 'Mycoses/*drug therapy/prevention & control']",,1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Jpn J Antibiot. 1990 Jan;43(1):116-30.,0368-2781 (Print) 0368-2781 (Linking),,,,,,,,,
2189958,NLM,MEDLINE,19900706,20170210,8,6,1990 Jun,"Results of the vincristine, doxorubicin, and dexamethasone regimen in adults with standard- and high-risk acute lymphocytic leukemia.",994-1004,"One hundred five untreated adult patients with acute lymphocytic leukemia (ALL) were entered on the vincristine, Adriamycin (doxorubicin; Adria Laboratories, Columbus, OH), and Decadron (dexamethasone; Merck Sharp and Dohme, West Point, PA) (VAD) regimen. Induction therapy with VAD and VAD plus cyclophosphamide (CVAD) was followed by a 2-year rotating maintenance program with multiple antileukemic combinations, and included early intensifications with Adriamycin and high-dose cytarabine (ara-C) and a late intensification with cyclophosphamide, carmustine (BCNU), and etoposide (VP-16) (CBV) followed by autologous bone marrow transplantation (BMT). Duration of therapy was 24 to 30 months. Eight-eight patients (84%) achieved complete remission (CR) with VAD-CVAD, and 94 (90%) ultimately had CR with continuation of the maintenance as planned. Induction mortality was 3%; only half of the patients required prolonged hospitalization of 1 week or longer, or intravenous antibiotics. Maintenance therapy was given to 79 patients, while nine with histocompatibility locus antigen (HLA)-matched related donors underwent allogeneic BMT. The median remission duration was 22 months, and the median survival was 19 months. Factors associated with significantly worse CR rates were older age, the presence of hypoalbuminemia or hyperbilirubinemia, L2 or L3 morphology, and myeloid markers on leukemic cells. Those associated with significantly worse remission durations were the presence of elevated leukocyte or absolute peripheral blast counts, Philadelphia chromosome (Ph)-positive or B-cell ALL, L2 morphology, and more than one course to achieve CR. Patients could be divided into standard-risk ALL (28% of patients) and high-risk ALL (72% of patients) with long-term remission rates of 70% versus less than 30%. The 26 patients who underwent CBV autologous BMT had similar long-term outcome compared with 21 patients who did not (older age, medical contraindications, or socioeconomic problems). The presence or absence of myeloid markers on leukemic cells did not affect long-term prognosis. We conclude that VAD therapy is a well-tolerated effective induction regimen. High-risk ALL patients require alternative maintenance investigational approaches.","['Kantarjian, H M', 'Walters, R S', 'Keating, M J', 'Smith, T L', ""O'Brien, S"", 'Estey, E H', 'Huh, Y O', 'Spinolo, J', 'Dicke, K', 'Barlogie, B']","['Kantarjian HM', 'Walters RS', 'Keating MJ', 'Smith TL', ""O'Brien S"", 'Estey EH', 'Huh YO', 'Spinolo J', 'Dicke K', 'Barlogie B', 'et al.']","['Department of Hematology, University of Texas MD Anderson Cancer Center, Houston, TX 77030.']",['eng'],"['Clinical Trial', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '7S5I7G3JQL (Dexamethasone)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'U68WG3173Y (Carmustine)', 'CBV protocol', 'CVAD protocol', 'VAD I protocol']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use/toxicity', '*Antineoplastic Combined Chemotherapy Protocols', 'Bone Marrow Transplantation', 'Carmustine/administration & dosage/toxicity', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage/toxicity', 'Cytarabine/therapeutic use', 'Dexamethasone/administration & dosage/toxicity', 'Doxorubicin/administration & dosage/toxicity', 'Etoposide/administration & dosage/toxicity', 'Female', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/therapy', 'Risk Factors', 'Vincristine/administration & dosage/toxicity']",,1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,J Clin Oncol. 1990 Jun;8(6):994-1004. doi: 10.1200/JCO.1990.8.6.994.,0732-183X (Print) 0732-183X (Linking),['10.1200/JCO.1990.8.6.994 [doi]'],,,,,,,,
2189946,NLM,MEDLINE,19900706,20071115,35,3,1990 May,"Undiagnosed, untreated acute lymphoblastic leukemia presenting as suspected child abuse.",735-9,"Natural disease being mistaken for child abuse is rare. A two-year-old child was found unresponsive at home and transported to a local hospital, where she expired in the emergency room. Several cutaneous contusions were observed. Prior to the autopsy it was learned that an anonymous report of ""child abuse"" had been previously filed concerning this child. At autopsy there were multiple metasynchronous cutaneous contusions, but no radiologic or gross evidence of other injuries. A pericardial effusion, massive hepatosplenomegaly and generalized lymphadenopathy were apparent. The bone marrow, liver, spleen, lymph nodes, kidneys, pancreas, heart, stomach, and dura mater showed a monotonous lymphocytic infiltrate. Immunocytochemical studies confirmed the diagnosis of acute lymphoblastic leukemia of childhood. This case reaffirms the need for an objective examination of all cases by a forensic pathologist.","['McClain, J L', 'Clark, M A', 'Sandusky, G E']","['McClain JL', 'Clark MA', 'Sandusky GE']","['Indiana University School of Medicine, Indianapolis.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Forensic Sci,Journal of forensic sciences,0375370,,IM,"['Child Abuse/*diagnosis', 'Child, Preschool', 'Diagnosis, Differential', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Kidney/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis']",,1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,J Forensic Sci. 1990 May;35(3):735-9.,0022-1198 (Print) 0022-1198 (Linking),,,,,,,,,
2189894,NLM,MEDLINE,19900711,20181113,85,6,1990 Jun,Double minutes arise from circular extrachromosomal DNA intermediates which integrate into chromosomal sites in human HL-60 leukemia cells.,1887-95,"Amplification of oncogenes has been found to be an important prognostic factor in behavior of patients' malignancies. In this study we have used new gel electrophoresis techniques to follow the location of amplified c-myc oncogene sequences in HL-60 promyelocytic leukemia cells. In passages 46-62 of the cells, the cells contain amplified c-myc sequences on submicroscopic circular extrachromosomal DNA (episomes). With increased passages in culture (passages 63-72) the cells lose the episome c-myc sequences with a shift of those sequences to double minutes. With additional passage in culture, the c-myc shifts from the double minutes to a chromosomal site der(5)t(5;17)(q11.2;q?11.2). Concomitant with the shift of the c-myc sequences into the chromosomal compartment is a phenotypic change of a shortened cell-doubling time. These studies provide the first molecular evidence of a progression from a submicroscopic location for amplified oncogene sequences to a chromosomal location for the amplified sequences. This molecularly documented model can now be used to test various strategies to prevent incorporation of extrachromosomally located oncogene sequences into chromosomal sites. Prevention of integration of the oncogene sequences into chromosomal sites could modulate progression of patients' tumors.","['Von Hoff, D D', 'Forseth, B', 'Clare, C N', 'Hansen, K L', 'VanDevanter, D']","['Von Hoff DD', 'Forseth B', 'Clare CN', 'Hansen KL', 'VanDevanter D']","['Department of Medicine, University of Texas Health Science Center, San Antonio 78284-7884.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (DNA, Neoplasm)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myc)']",IM,"['Cell Division', '*Chromosome Aberrations', 'DNA, Neoplasm/*genetics', '*Gene Amplification', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Nucleic Acid Hybridization', '*Oncogenes', '*Plasmids', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-myc', 'Tumor Cells, Cultured']",,1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,J Clin Invest. 1990 Jun;85(6):1887-95. doi: 10.1172/JCI114650.,0021-9738 (Print) 0021-9738 (Linking),['10.1172/JCI114650 [doi]'],PMC296655,,,,,,,
2189846,NLM,MEDLINE,19900706,20190708,18,5,1990 May,Radiation-induced cancer as a factor in clinical decision making (the 1989 ASTRO Gold Medal address).,993-1000,"1. Ionizing radiations are weak carcinogens. Under certain conditions they can induce cancers in experimental animals and humans. 2. This potential carcinogenicity has been a deterrent to the use of radiation therapy despite its many advantages in the management of patients with cancers. 3. In a range of clinical situations, such as the irradiation of cancers arising in the head and neck, breast, prostate and skin, an increase of second cancers can not be detected above the natural frequency of additional cancers. In the curative treatment of patients with Hodgkins disease, ionizing radiations are not associated with an increased frequency of leukemias and induced second tumors are no more frequent than following the use of alkylating agents. 4. All second tumors attributed to radiation therapy occur after a latent period of many years and except for leukemia usually are potentially curable. 5. The risks of radiation-induced second cancers are no greater than the risks of operative or anesthetic deaths and these catastrophes are immediate and non-remedial. 6. Therefore, at this time, the potential of radiation-induced cancers should not be a factor in the selection of treatment for patients with cancer.","['Parker, R G']",['Parker RG'],"['UCLA Medical Center, Department of Radiation Oncology 90024-1714.']",['eng'],"['Journal Article', 'Review']",United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,,IM,"['Breast Neoplasms/etiology', 'Head and Neck Neoplasms/etiology', 'Hodgkin Disease/radiotherapy', 'Humans', '*Neoplasms, Radiation-Induced/etiology/immunology', 'Radiotherapy/adverse effects', 'Risk Factors']",67,1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Int J Radiat Oncol Biol Phys. 1990 May;18(5):993-1000. doi: 10.1016/0360-3016(90)90432-j.,0360-3016 (Print) 0360-3016 (Linking),"['0360-3016(90)90432-J [pii]', '10.1016/0360-3016(90)90432-j [doi]']",,,,,,,,
2189758,NLM,MEDLINE,19900712,20190828,22,5,1990,Artificial reversion of acute myeloid leukemia cells into normal phenotype.,533-8,"1. Induction of tumor cell differentiation could reverse transformed cells into normal, mature cells. Important question is whether these malignant-to-normal reversed cells are really normal ones. 2. We have developed an experimental model based on the examination of three different levels of human acute myeloid leukemia cell properties before and after induction of differentiation: morphological (percentage of undifferentiated blast cells), functional (DNA ploidy, Fc receptors, phagocytic activity, clonogenic assay in soft agar, oxidative metabolism which accompanies phagocytosis in mature granulocytes) and genetical (expression of oncogene p53). 3. Several inducers have been employed: dimethylsulfoxide (DMSO) granulocyte-macrophage colony stimulating factor (GM-CSF); tunicamycin, interferon gamma, tumor necrosis factor and lipopolysaccharide. 4. Our results indicate that the reversion of leukemic cells into mature normal ones with some inducers (DMSO, GM-CSF) could be a complete process.","['Pavelic, K', 'Baltic, V', 'Spaventi, S']","['Pavelic K', 'Baltic V', 'Spaventi S']","['Rugjer Boskovic Institute, Zagreb, Yugoslavia.']",['eng'],['Journal Article'],England,Int J Biochem,The International journal of biochemistry,0250365,"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '0 (Interleukin-1)', '0 (Lipopolysaccharides)', '0 (Receptors, Fc)', '0 (Tumor Necrosis Factor-alpha)', '11089-65-9 (Tunicamycin)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', '9007-49-2 (DNA)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Cell Differentiation', 'Cell Transformation, Neoplastic', 'Colony-Stimulating Factors/pharmacology', 'DNA/analysis', 'Dimethyl Sulfoxide/pharmacology', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/pharmacology', 'Humans', 'Interleukin-1/pharmacology', 'Leukemia, Myeloid, Acute/*pathology', 'Lipopolysaccharides/pharmacology', 'Phagocytosis', '*Phenotype', 'Ploidies', 'Receptors, Fc/analysis', 'Tumor Necrosis Factor-alpha/pharmacology', 'Tunicamycin/pharmacology']",,1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Int J Biochem. 1990;22(5):533-8. doi: 10.1016/0020-711x(90)90269-9.,0020-711X (Print) 0020-711X (Linking),['10.1016/0020-711x(90)90269-9 [doi]'],,,,,,,,
2189718,NLM,MEDLINE,19900711,20191029,36,6,1990 Jun,Myeloma.,317-71,"Myeloma is a malignancy of plasma cells that are terminally differentiated B-lymphocytes. The clinical spectrum varies from the incidental discovery of a pathologically raised monoclonal immunoglobulin on routine electrophoresis in asymptomatic patients to widespread skeletal involvement with incapacitating bone pain. Symptoms may result from a solitary tumor mass, described as an extramedullary plasmacytoma, in virtually any part of the body. Metabolic abnormalities commonly include hypercalcemia, elevated plasma urate levels, or the development of amyloidosis, all of which may disturb renal function. High paraprotein levels cause hyperviscosity, resulting in generalized debility and varying degrees of disturbed mental function. The natural history is determined by the mass of the tumor coupled with its unique biologic features. Median survival of unselected patients, without effective treatment but once symptoms are evident, is approximately 7 months; this period can be significantly prolonged with appropriate therapy. As a first step, urgent medical management is often necessary, centering on rehydration, correction of hyperviscosity, and reversal of metabolic defects, each of which may improve renal function. Over the longer term, specific antitumor drugs have extended median survival to approximately 30 months, and most regimens include a combination of melphalan and prednisone, with or without other cytotoxic drugs. Alternative forms of treatment include sequential hemibody irradiation, recombinant alpha interferon, and in suitably selected patients, high-dose chemoradiotherapy followed by bone marrow transplantation. The latter approaches offer promising management options and are currently the subject of evaluation in controlled clinical trials.","['Jacobs, P']",['Jacobs P'],"['Department of Haematology, University of Cape Town Leukaemia Centre, Groote Schuur Hospital, Observatory, South Africa.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Dis Mon,Disease-a-month : DM,0370657,,IM,"['Animals', 'Female', 'Humans', 'Male', 'Mice', 'Mice, Inbred Strains', '*Multiple Myeloma/diagnosis/therapy']",221,1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,Dis Mon. 1990 Jun;36(6):317-71. doi: 10.1016/0011-5029(90)90013-h.,0011-5029 (Print) 0011-5029 (Linking),"['0011-5029(90)90013-H [pii]', '10.1016/0011-5029(90)90013-h [doi]']",,,,,,,,
