PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,EIN,RF,PMC,CIN,TT,SI,GS,CON,OID,OTO,OT,GN,PS,FPS
2144163,NLM,MEDLINE,19901011,20190718,0959-8049 (Print) 0959-8049 (Linking),26,6,1990,Effect of cyclophosphamide pretreatment on daunorubicin in rat acute leukaemia model.,729-32,"The total number of leukaemic cells at the time of therapy may affect the tissue and target cell distribution and antitumour efficacy of cytotoxic drugs. The effects of low dose cyclophosphamide pretreatment on daunorubicin concentrations in leukaemic bone marrow were investigated in rats. At day 12 after transplantation of the leukaemia, rats were injected intraperitoneally with cyclophosphamide (30 mg/kg). 2 days later the leukaemic rats received daunorubicin intravenously (7.5 mg/kg). Cyclophosphamide pretreatment led to a significant increase in daunorubicin concentration in the femoral bone marrow, by a factor of about 7. The log leukaemic stem cell kill (LCK) values, as estimated by a survival assay, were 1.8, 0.7, and 5.4 for the leukaemic rats injected with cyclophosphamide (day 12), with daunorubicin (day 14), or with cyclophosphamide (day 12) plus daunorubicin (day 14), respectively). The simultaneous administration of cyclophosphamide and daunorubicin at day 14, induced a LCK of 2.7, a value that was the sum of the LCKs of cyclophosphamide and daunorubicin alone. Low-dose cyclophosphamide pretreatment led to an increased daunorubicin accumulation in femoral bone marrow of leukaemic rats, and was synergistic with daunorubicin.","['Nooter, K', 'de Vries, A', 'Martens, A C', 'Hagenbeek, A']","['Nooter K', 'de Vries A', 'Martens AC', 'Hagenbeek A']","['Institute of Applied Radiobiology and Immunology, Rijswijk, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,"['8N3DW7272P (Cyclophosphamide)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cyclophosphamide/administration & dosage', 'Daunorubicin/administration & dosage/pharmacokinetics', 'Disease Models, Animal', 'Drug Synergism', 'Leukemia, Experimental/*drug therapy', 'Male', 'Rats', 'Rats, Inbred BN', 'Tissue Distribution/drug effects']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1016/0277-5379(90)90129-h [doi]'],ppublish,Eur J Cancer. 1990;26(6):729-32. doi: 10.1016/0277-5379(90)90129-h.,,,,,,,,,,,,,,,
2144156,NLM,MEDLINE,19901011,20211203,0959-8049 (Print) 0959-8049 (Linking),26,6,1990,Proto-oncogene expression in differentiating and non-differentiating chronic myelogenous leukaemia cells.,694-8,"Despite the profound differences between the chronic and blastic phases of chronic myelogenous leukaemia, no differences between chronic and blastic phase cells have been described at the molecular level. Differences have been found in the levels of expression of c-myc, c-myb and p53, which fell when chronic phase cells were cultured, while the levels of expression of the genes were stable when blastic crisis cells were cultured. In contrast c-fms expression increased and MRS expression decreased after culture of chronic or blastic phase cells. The data suggest that the regulation of expression of some genes in blastic crisis cells is unaltered while that of others is disrupted. It is not known whether the failure of c-myc, c-myb and p53 expression to fall during the culture of blastic phase cells is the cause of or a reflection of the failure of these cells to differentiate.","['Wang, Z Q', 'Yin, M Y', 'Xie, X X', 'Yang, P M', 'Sato, H', 'Mayers, G', 'Riobowal, C', 'Preisler, H D']","['Wang ZQ', 'Yin MY', 'Xie XX', 'Yang PM', 'Sato H', 'Mayers G', 'Riobowal C', 'Preisler HD']","['University of Cincinnati Medical Center, Ohio.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,,IM,"['Cell Transformation, Neoplastic/*genetics', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/pathology', 'Proto-Oncogene Mas', '*Proto-Oncogenes', 'Tumor Cells, Cultured/pathology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1016/0277-5379(90)90119-e [doi]'],ppublish,Eur J Cancer. 1990;26(6):694-8. doi: 10.1016/0277-5379(90)90119-e.,['CA 41285/CA/NCI NIH HHS/United States'],['Eur J Cancer 1990;26(9):1002'],,,,,,,,,,,,,
2144151,NLM,MEDLINE,19901011,20190718,0959-8049 (Print) 0959-8049 (Linking),26,6,1990,"Radiation, genetics and childhood leukaemia.",661-4,,"['Narod, S A']",['Narod SA'],"['Division of Medical Genetics, McGill University, Royal Victoria Hospital, Montreal, Quebec, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,,IM,"['Child', 'Humans', 'Leukemia, Radiation-Induced/*genetics']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",['10.1016/0277-5379(90)90111-6 [doi]'],ppublish,Eur J Cancer. 1990;26(6):661-4. doi: 10.1016/0277-5379(90)90111-6.,,,50,,,,,,,,,,,,
2144019,NLM,MEDLINE,19901004,20170210,0732-183X (Print) 0732-183X (Linking),8,9,1990 Sep,Prevention of cyclophosphamide/cytarabine-induced emesis with ondansetron in children with leukemia.,1531-5,"Ondansetron, a 5HT3 antagonist, was given to 20 children aged 4 to 18 years who were undergoing treatment with the Australian and New Zealand Childhood Cancer Study Group Acute Lymphocytic Leukaemia (ALL) Study V Protocol. The study was open, dose ranging, and noncomparative, and designed to evaluate safety and efficacy of ondansetron in preventing nausea and vomiting caused by cyclophosphamide intravenous (IV) 1,000 mg/m2 day 1, and cytarabine IV subcutaneously (SC) 75 mg/m2 on days 2 to 5. Ten patients were given ondansetron 5 mg/m2 IV (group A) and subsequently another 10 patients were given ondansetron 3 mg/m2 IV (group B). Oral ondansetron was given for 14 doses, at the same dosage for both groups, commencing simultaneously with the IV infusion and continuing at 8 hourly intervals, ie, until day 5. The oral dose was based on surface area with the following schedule: 0.3 to 0.6 m2, 2 mg; 0.6 to 1 m2, 3 mg; and greater than 1 m2, 4 mg. Vomiting on the first day of chemotherapy was reported in group A by one patient and by one patient in group B. Vomiting during days 2 to 5 was reported by two group-A patients and by three group-B patients. Nausea was recorded on day 1 by one patient in group A, and two in group B, and on days 2 to 5 by three patients in group A, and by seven in group B. All patients were alert during treatment with ondansetron and there was no dystonia. There were no changes in renal function or hematology values that could be ascribed to the study drug. Transient elevations in bilirubin and liver enzymes were observed. We conclude that our results indicate that ondansetron is a safe and extremely effective single-agent antiemetic with minimal side effects, when administered both IV and orally.","['Carden, P A', 'Mitchell, S L', 'Waters, K D', 'Tiedemann, K', 'Ekert, H']","['Carden PA', 'Mitchell SL', 'Waters KD', 'Tiedemann K', 'Ekert H']","[""Department of Clinical Haematology and Oncology, Royal Children's Hospital, Parkville, Australia.""]",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Antiemetics)', '0 (Imidazoles)', '0 (Serotonin Antagonists)', '04079A1RDZ (Cytarabine)', '4AF302ESOS (Ondansetron)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Administration, Oral', 'Adolescent', 'Adult', 'Antiemetics/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Child', 'Child, Preschool', 'Cyclophosphamide/administration & dosage/adverse effects', 'Cytarabine/administration & dosage/adverse effects', 'Drug Evaluation', 'Female', 'Humans', 'Imidazoles/*therapeutic use', 'Injections, Intravenous', 'Liver Function Tests', 'Male', 'Ondansetron', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', '*Serotonin Antagonists', 'Vomiting/chemically induced/*prevention & control']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1200/JCO.1990.8.9.1531 [doi]'],ppublish,J Clin Oncol. 1990 Sep;8(9):1531-5. doi: 10.1200/JCO.1990.8.9.1531.,,,,,,,,,,,,,,,
2144015,NLM,MEDLINE,19901003,20190516,0741-5400 (Print) 0741-5400 (Linking),48,3,1990 Sep,Thromboxane release by lymphokine-differentiated U937 human monocytic cells: response to platelet-activating factor (PAF) and chemotactic peptide (FMLP) but not to low affinity IGE-receptor (Fc epsilon RII/CD23) occupation.,266-73,"The primary objective of this study was to explore if the CD23 antigen is a functional low affinity IgE receptor on macrophages for the release of thromboxane B2 (TXB2). The responsiveness of U937 monocytic cells and their macrophage-like inducible forms to platelet-activating factor (Paf), the chemotactic peptide fMLP, and low affinity IgE-receptor occupation was examined. Differentiation of U937 cells by phorbol myristate acetate (PMA) and a cancer cell line (HBT 5637) conditioned medium (5637-CM), but not INFg or IL4, resulted in a macrophage-like cell line which released TXB2. A high basal release of TXB2 with no significant response to Paf or fMLP challenge was seen following culture of cells with PMA. In 5637-CM-differentiated cells, Paf and fMLP induced a rapid release of TXB2, about 10 fold above basal activity. There was a slow Ca-independent response to short-term treatment with PMA and a rapid Ca-dependent response to the ionophore A23187. Both stimulants acted synergistically on TXB2 synthesis in 5637-CM differentiated cells. Although low affinity receptors for IgE (Fc epsilon RII/CD23) were induced by 5637-CM, no TXB2 was released in response to soluble or latex-bound IgE-antigen complexes or to anti-Fc epsilon RII/CD23-antibodies. IL4 and to a lesser extent INFg both induced Fc epsilon RII/CD23 receptor expression, but inhibited release of TXB2 in response to Paf, fMLP, or PMA. We conclude that the functional receptors for IgE on mature macrophages are most probably not Fc epsilon RII/CD23.","['Storch, J', 'Edwards, R J', 'MacDermot, J']","['Storch J', 'Edwards RJ', 'MacDermot J']","['Department of Clinical Pharmacology, Royal Postgraduate Medical School, London.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Lymphokines)', '0 (Platelet Activating Factor)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '0 (anti-IgE antibodies)', '207137-56-2 (Interleukin-4)', '37341-29-0 (Immunoglobulin E)', '37H9VM9WZL (Calcimycin)', '54397-85-2 (Thromboxane B2)', '59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', '82115-62-6 (Interferon-gamma)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Antibodies, Anti-Idiotypic/metabolism', 'Antigens, Differentiation, B-Lymphocyte/metabolism/physiology', 'Calcimycin/pharmacology', 'Drug Synergism', 'Humans', 'Immunoglobulin E/immunology/metabolism', 'Interferon-gamma/pharmacology', 'Interleukin-4/pharmacology', 'Leukemia, Monocytic, Acute/metabolism/*pathology', 'Lymphokines/*pharmacology', 'N-Formylmethionine Leucyl-Phenylalanine/pharmacology', 'Platelet Activating Factor/pharmacology', 'Protein Binding/physiology', 'Receptors, Fc/metabolism/physiology', 'Receptors, IgE', 'Tetradecanoylphorbol Acetate/pharmacology', 'Thromboxane B2/*metabolism', 'Tumor Cells, Cultured/metabolism/pathology/ultrastructure']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1002/jlb.48.3.266 [doi]'],ppublish,J Leukoc Biol. 1990 Sep;48(3):266-73. doi: 10.1002/jlb.48.3.266.,,,,,,,,,,,,,,,
2143955,NLM,MEDLINE,19901004,20071115,0268-3369 (Print) 0268-3369 (Linking),6 Suppl 1,,1990 Jul,Detection of minimal residual leukemia by polymerase chain reactions.,4-8,,"['Bartram, C R', 'Yokota, S', 'Hansen-Hagge, T E', 'Janssen, J W']","['Bartram CR', 'Yokota S', 'Hansen-Hagge TE', 'Janssen JW']","['Department of Pediatrics II, University of Ulm, FRG.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (DNA, Neoplasm)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Antigen, T-Cell, gamma-delta)']",IM,"['DNA, Neoplasm/genetics/isolation & purification', 'Diagnostic Errors', 'Gene Rearrangement, T-Lymphocyte', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis/genetics', '*Nucleic Acid Amplification Techniques', 'Philadelphia Chromosome', 'Polymerase Chain Reaction/*methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/genetics', 'Receptors, Antigen, T-Cell/genetics', 'Receptors, Antigen, T-Cell, gamma-delta', 'T-Lymphocytes']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1990 Jul;6 Suppl 1:4-8.,,,36,,,,,,,,,,,,
2143943,NLM,MEDLINE,19901002,20071115,0890-9091 (Print) 0890-9091 (Linking),4,7,1990 Jul,Clinical trials referral resource. High-dose chemo for acute myeloid leukemia.,"69-70, 72-4, 77-8 passim",,"['Cheson, B D']",['Cheson BD'],,['eng'],['Journal Article'],United States,Oncology (Williston Park),"Oncology (Williston Park, N.Y.)",8712059,,IM,"['*Clinical Trials as Topic', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",,ppublish,"Oncology (Williston Park). 1990 Jul;4(7):69-70, 72-4, 77-8 passim.",,,,,,,,,,,,,,,
2143941,NLM,MEDLINE,19901002,20051116,0890-9091 (Print) 0890-9091 (Linking),4,7,1990 Jul,Management of infectious complications of acute leukemia and antileukemia therapy.,45-53; discussion 53-4,"The patient with acute leukemia is predisposed to infection by bone marrow failure that leads to absence of granulocytes, by extramedullary leukemia infiltration that leads to barrier breakdown, and by cytotoxic antileukemia therapy that exaggerates both the hematopoietic and the tissue mucosal defects. Empiric approaches tailored to treat commonly occurring bacterial and fungal infections have successfully decreased the morbidity and mortality from overwhelming infection in these compromised patients. More recently, prophylaxis directed against dissemination of pathogens from specific sites has had a positive impact in preventing the clinical and microbiological manifestations of infection during profound aplasia. The approaches that have been successful in preventing and treating bacterial infections are being applied to the increasingly prevalent fungal infections that occur later during the granulocytopenic course, with encouraging results.","['Karp, J E', 'Merz, W G', 'Dick, J D', 'Saral, R', 'Burke, P J']","['Karp JE', 'Merz WG', 'Dick JD', 'Saral R', 'Burke PJ']","['Johns Hopkins Oncology Center, Baltimore, Maryland 21205.']",['eng'],"['Journal Article', 'Review']",United States,Oncology (Williston Park),"Oncology (Williston Park, N.Y.)",8712059,,IM,"['Acute Disease', 'Bacterial Infections/*drug therapy/prevention & control', 'Humans', 'Leukemia/*complications/drug therapy', 'Mycoses/*drug therapy/prevention & control']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",,ppublish,Oncology (Williston Park). 1990 Jul;4(7):45-53; discussion 53-4.,,,82,,,,,,,,,,,,
2143886,NLM,MEDLINE,19900921,20190820,0361-8609 (Print) 0361-8609 (Linking),35,1,1990 Sep,Discordance between phenotype and function of Japanese adult T cell leukemia cells.,59-61,"Phenotypes of cells from 12 patients with ATL were analysed by means of a fluorescence-activated cell sorter by utilizing a panel of monoclonal antibodies. A majority of the cells from peripheral blood coexpressed the antigens against MAbs CD2, CD3, CD4, CD5, Ti (WT31), CD25, CD38, CD45, and CD29, but did not express the antigens against CD1, CD13, CD14, CD33, CD36, CD10, CD19, CD20, CD21, CD24, CD41, CD42, CD45RA, CD56, and CD57. The expression of antigen for TQ-1 or Leu8 was variable. Surface immunoglobulins were not detected. Phenotypes of cultured cells established by utilizing recombinant interleukin II were similar to those of the uncultured peripheral blood lymphoid cells except for the lack of expression of CD8. By means of two-color fluorescence, the ATL cells possessing CD4 in peripheral blood and culture coexpressed CD29, but did not express CD45RA. The suppression of PWM-induced B-cell immunoglobulin synthesis by normal T and B cells was found in five cases in the presence of ATL cells. The ATL cells demonstrated helper T-cell phenotypes (CD4+, CD29+) with suppressor function, paradoxically. We conclude that the phenotype of the ATL cells was CD4+, CD29+, and CD45RA- but that the function of these cells was of suppressor T-cells. Our results inevitably suggest the possible existence of suppressor T-cells with CD4+, CD29+ phenotype in persons without evidence of any underlying hematologic disorder.","['Imamura, N', 'Mtasiwa, D M', 'Ota, H', 'Kuramoto, A']","['Imamura N', 'Mtasiwa DM', 'Ota H', 'Kuramoto A']","['Department of Internal Medicine, Hiroshima University, Japan.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Immunoglobulins)', '0 (Pokeweed Mitogens)']",IM,"['Antibodies, Monoclonal', 'Antigens, CD/analysis', 'B-Lymphocytes/metabolism/physiology', 'Cells, Cultured', 'Fluorescent Antibody Technique', 'Humans', 'Immunoglobulins/biosynthesis', 'Leukemia, T-Cell/genetics/*pathology/physiopathology', 'Phenotype', 'Pokeweed Mitogens/pharmacology', 'T-Lymphocytes/physiology', 'T-Lymphocytes, Helper-Inducer/physiology', 'T-Lymphocytes, Regulatory/physiology']",1990/09/01 00:00,1990/09/01 00:01,['1990/09/01 00:00'],"['1990/09/01 00:00 [pubmed]', '1990/09/01 00:01 [medline]', '1990/09/01 00:00 [entrez]']",['10.1002/ajh.2830350113 [doi]'],ppublish,Am J Hematol. 1990 Sep;35(1):59-61. doi: 10.1002/ajh.2830350113.,,,,,,,,,,,,,,,
2143796,NLM,MEDLINE,19900921,20130304,0887-6924 (Print) 0887-6924 (Linking),4,8,1990 Aug,"Rearrangements of the Pim-1, c-myc, and p53 genes in Friend helper virus-induced mouse erythroleukemias.",590-4,"The Friend helper leukemia virus (F-MuLV) induces in mice leukemias of the erythroid, lymphoid, and myeloblastic lineages. Erythroleukemic cell DNAs were examined for genetic alterations at loci described as common proviral integration regions in MuLV-induced myeloid or lymphoid leukemias or in Friend complex-induced erythroleukemias. No alteration of the Fim-1, Fim-2, Fim-3, pvt-1, and Spi-1 loci were detected in 17 erythroleukemias, p53 gene rearrangement was observed in 6 (30%) erythroleukemias and was always associated with a loss of the germ line allele. Interestingly, genetic alterations were also detected at two loci, c-myc and Pim-1, previously described as common provirus integration regions in T lymphoid leukemias. Rearrangements of these two genes were often associated with p53 gene alteration within the same tumor.","['Dreyfus, F', 'Sola, B', 'Fichelson, S', 'Varlet, P', 'Charon, M', 'Tambourin, P', 'Wendling, F', 'Gisselbrecht, S']","['Dreyfus F', 'Sola B', 'Fichelson S', 'Varlet P', 'Charon M', 'Tambourin P', 'Wendling F', 'Gisselbrecht S']","['INSERM U 152, Institut Cochin de Genetique Moleculaire, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (DNA Probes)', '0 (Oncogene Proteins)', '0 (Phosphoproteins)', '0 (Tumor Suppressor Protein p53)']",IM,"['Animals', 'Blotting, Northern', 'Blotting, Southern', 'DNA Probes', 'Friend murine leukemia virus', '*Gene Rearrangement', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', 'Mice, Inbred Strains', 'Oncogene Proteins/*genetics', '*Oncogenes', 'Phosphoproteins/*genetics', 'Tumor Suppressor Protein p53']",1990/08/01 00:00,1990/08/01 00:01,['1990/08/01 00:00'],"['1990/08/01 00:00 [pubmed]', '1990/08/01 00:01 [medline]', '1990/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1990 Aug;4(8):590-4.,,,,,,,,,,,,,,,
