PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GS,TT,GR,PMC,CIN,SI,EIN,CON,OID,PS,FPS,OTO,OT,GN,CRF
2066603,NLM,MEDLINE,19910812,20190820,0387-5911 (Print) 0387-5911 (Linking),65,2,1991 Feb,[Clinical and pathological analysis of deep mycoses].,200-8,"Clinical and pathological analysis were performed on 127 cases of deep mycoses diagnosed by autopsy during the 24 years between 1964 and 1987 in Juntendo University Hospital. The following findings were obtained. 1) There has been a tendency for the number of mycoses to increase each year, especially notable for candidiasis and aspergillosis. 2) Underlying diseases were, in order of incidence, various hematologic diseases, solid tumors, inflammatory diseases and collagen diseases; the most common were various types of leukemia. 3) Candidiasis was often observed in patients with gastrointestinal tract cancers. Aspergillosis was often observed in patients with collagen diseases. 4) Regarding the visceral distribution of mycoses, aspergillosis was observed in the lung, candidiasis was observed in the lung, kidney and intestinal tract in decreasing order, and cryptococcosis was also observed in the lung and central nervous system. 5) There was a probability of fungal infections occurring in cases of lymphopenia. 6) A fever was present at the time of hospitalization in many cases of aspergillosis, and the presence of an indwelling catheter was a common feature in cases of candidiasis. 7) Fungemia was frequently observed in candidiasis, but very rarely in cases of aspergillosis. 8) The large amounts of corticosteroid hormones and blood transfusions were suspected as causative factors of fungal infections.","['Ohsawa, H']",['Ohsawa H'],"['Department of Internal Medicine, Juntendo University School of Medicine.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,0236671,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Incidence', 'Infant', 'Japan/epidemiology', 'Male', 'Middle Aged', 'Mycoses/epidemiology/*pathology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",['10.11150/kansenshogakuzasshi1970.65.200 [doi]'],ppublish,Kansenshogaku Zasshi. 1991 Feb;65(2):200-8. doi: 10.11150/kansenshogakuzasshi1970.65.200.,,,,,,,,,,,,,,,,,
2066598,NLM,MEDLINE,19910812,20190820,0387-5911 (Print) 0387-5911 (Linking),65,2,1991 Feb,[Bacterial survey of patients with bacteremia during the ten years (1978-1987) in Nagoya University Hospital].,168-74,"We analyzed the changes of frequency of bacterial positive cases on the basis of blood cultures, clinical background and administrated antibiotics for the patients with bacteremia in Nagoya University Hospital from January 1978 to December 1987. During the ten years, the number of samples increased from 330 in 1978 to 1231 in 1987. Moreover, bacterial positive cases increased from 27 (8.2%) in 1978 to 152 (12.3%) in 1987. Organisms isolated consisted of 138 strains of coagulase negative Staphylococci (CNS), 81 Staphylococcus aureus, 60 Candida sp., 58 Escherichia coli, 47 Pseudomonas aeruginosa, and other species. During the period of 1986-1987, of the 92 patients with bacteremia, 85 patients (92.4%) had underlying diseases including leukemia, solid tumor, cardiovascular disease, diabetes mellitus or other diseases. In addition, 67 patients (73.9%) underwent intravascular catheters, urethral catheters, postoperative drainages or other prosthetic insertions. Fourteen patients died of septicemia within a week after recovery of the organism in the blood culture. The recovery rate for gram positive cocci in blood culture increased in the 1980's. It may partly be due to the prevalent use of these prosthetic insertions, and the preferable use of second and third generation cephalosporin antibiotics.","['Kadoya, M', 'Nada, T', 'Iida, E', 'Ichiyama, S', 'Kawashima, K', 'Ohta, M', 'Takeuchi, J']","['Kadoya M', 'Nada T', 'Iida E', 'Ichiyama S', 'Kawashima K', 'Ohta M', 'Takeuchi J']","['Department of Clinical Laboratory, Nagoya University Hospital.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,0236671,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Anti-Bacterial Agents/therapeutic use', 'Bacteria/*isolation & purification', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Male', 'Middle Aged', 'Sepsis/drug therapy/*microbiology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",['10.11150/kansenshogakuzasshi1970.65.168 [doi]'],ppublish,Kansenshogaku Zasshi. 1991 Feb;65(2):168-74. doi: 10.11150/kansenshogakuzasshi1970.65.168.,['0 (Anti-Bacterial Agents)'],,,,,,,,,,,,,,,,
2066589,NLM,MEDLINE,19910812,20190820,0387-5911 (Print) 0387-5911 (Linking),65,1,1991 Jan,[Clinical significance of gastrointestinal decontamination under protected environment].,40-6,"Many infections are caused by the patient's own oro-intestinal microbial flora under a protected environment. Thirty-eight patients with acute leukemia and two patients with blast crisis of chronic myelocytic leukemia were treated under a protected environment with or without prophylactic antibiotics. Antibiotics used for decontamination were vancomycin (V), polymyxin B (P) and nystatin (N). The number of patients in the VPN, PN and the no antibiotic group were 13, 13 and 14, respectively. While the intestinal microbial flora was almost completely eliminated in VPN group, the number of bacteria decreased slightly in PN group. The mean number of pharyngeal and anorectal bacterial species decreased most markedly in the VPN group, but there were no significant differences among the three groups. The number of febrile days was significantly lower in the VPN and PN group than the no antibiotics group with neutrophil counts of less than 100 microliters. The average number of episodes of infection per patient was lowest in VPN group and highest in the no antibiotic group. These data indicate that VPN administration is effective for eliminating intestinal bacterial flora and resultantly protecting endogenous infections.","['Nagao, T', 'Yonekura, S', 'Komatsuda, M', 'Nozaki, H', 'Arimori, S', 'Sawamura, S', 'Ozawa, A', 'Sasaki, S']","['Nagao T', 'Yonekura S', 'Komatsuda M', 'Nozaki H', 'Arimori S', 'Sawamura S', 'Ozawa A', 'Sasaki S']","['Fourth Department of Internal Medicine, School of Medicine, Tokai University.']",['jpn'],['Journal Article'],Japan,Kansenshogaku Zasshi,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,0236671,IM,"['Adolescent', 'Adult', 'Aged', 'Bacterial Infections/*prevention & control', 'Child', '*Decontamination', 'Digestive System/*microbiology', 'Drug Therapy, Combination/therapeutic use', '*Environment, Controlled', 'Female', 'Humans', 'Male', 'Middle Aged', 'Nystatin/therapeutic use', 'Polymyxin B/therapeutic use', 'Vancomycin/therapeutic use']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",['10.11150/kansenshogakuzasshi1970.65.40 [doi]'],ppublish,Kansenshogaku Zasshi. 1991 Jan;65(1):40-6. doi: 10.11150/kansenshogakuzasshi1970.65.40.,"['1400-61-9 (Nystatin)', '6Q205EH1VU (Vancomycin)', 'J2VZ07J96K (Polymyxin B)']",,,,,,,,,,,,,,,,
2066549,NLM,MEDLINE,19910815,20051116,0192-0790 (Print) 0192-0790 (Linking),13,3,1991 Jun,Acute promyelocytic leukemia in Crohn's disease. Case report and review of the literature.,325-7,"A 19-year-old man with a documented 2-year history of Crohn's disease abruptly developed leukopenia and thrombocytopenia. A diagnosis of acute promyelocytic leukemia was established by bone marrow cytology. Chromosomal analysis of bone marrow aspirate revealed aberrations of no. 8 trisomy and translocation between no. 15 and no. 17 [46,XY,t(15q+,17q-)/47,XY,+8,t(15q+,17q-)]. Nine cases of Crohn's disease complicated by leukemia have been reported, including the present one; once again, a relationship between Crohn's disease and leukemia is suggested.","['Orii, S', 'Sugai, T', 'Nakano, O', 'Yoshinari, H', 'Sato, S']","['Orii S', 'Sugai T', 'Nakano O', 'Yoshinari H', 'Sato S']","['First Department of Internal Medicine, School of Medicine, Iwate Medical University, Morioka, Japan.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,J Clin Gastroenterol,Journal of clinical gastroenterology,7910017,IM,"['Adult', '*Chromosome Aberrations', 'Chromosomes, Human, Pair 15', 'Chromosomes, Human, Pair 17', 'Chromosomes, Human, Pair 8', 'Crohn Disease/*complications/*genetics', 'Humans', 'Leukemia, Promyelocytic, Acute/*complications/*genetics', 'Male', 'Translocation, Genetic', 'Trisomy']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",,ppublish,J Clin Gastroenterol. 1991 Jun;13(3):325-7.,,10,,,,,,,,,,,,,,,
2066451,NLM,MEDLINE,19910813,20211203,0303-6979 (Print) 0303-6979 (Linking),18,5,1991 May,The effectiveness of a preventive regimen on the periodontal health of patients undergoing chemotherapy for leukemia and lymphoma.,346-7,"In patients with leukemia or lymphoma, the role of preventive oral hygiene in reducing infectious periodontal complications during aggressive chemotherapy is well documented. However, the effectiveness of these measures in preventing further dental or periodontal degradation remains to be demonstrated. 34 hospitalized patients with malignant heamatological diseases were observed. During chemotherapy, tooth brushing was replaced by 3 daily mouth-rinses with 0.2% chlorhexidine digluconate. The periodontal status of these patients, appears unchanged after 12 months. This suggests that the prophylactic measures do prevent a measurable periodontal degradation, even in the presence of pre-existing periodontal disease.","['De Beule, F', 'Bercy, P', 'Ferrant, A']","['De Beule F', 'Bercy P', 'Ferrant A']","['Department of Periodontology, School of Dental Medicine and Stomatology, Catholic University of Louvain, Belgium.']",['eng'],['Journal Article'],United States,J Clin Periodontol,Journal of clinical periodontology,0425123,IM,"['Acyclovir/therapeutic use', 'Amphotericin B/therapeutic use', 'Ceftazidime/therapeutic use', 'Chlorhexidine/*analogs & derivatives/therapeutic use', 'Dental Plaque Index', 'Fluconazole/therapeutic use', 'Humans', 'Immunosuppression Therapy/*adverse effects', 'Ketoconazole/therapeutic use', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Miconazole/therapeutic use', 'Norfloxacin/therapeutic use', 'Periodontal Diseases/*drug therapy', 'Periodontal Index', 'Tooth Loss', 'Vancomycin/therapeutic use']",1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",['10.1111/j.1600-051x.1991.tb00440.x [doi]'],ppublish,J Clin Periodontol. 1991 May;18(5):346-7. doi: 10.1111/j.1600-051x.1991.tb00440.x.,"['6Q205EH1VU (Vancomycin)', '7NNO0D7S5M (Miconazole)', '7XU7A7DROE (Amphotericin B)', '8VZV102JFY (Fluconazole)', '9M416Z9QNR (Ceftazidime)', 'MOR84MUD8E (chlorhexidine gluconate)', 'N0F8P22L1P (Norfloxacin)', 'R4KO0DY52L (Chlorhexidine)', 'R9400W927I (Ketoconazole)', 'X4HES1O11F (Acyclovir)']",,,,,,,,,,,,,,,,
2066357,NLM,MEDLINE,19910815,20190903,0171-5216 (Print) 0171-5216 (Linking),117,4,1991,Gene expression of cytokines suppressing hematopoietic progenitor cells in lymphoid malignancies.,359-63,"The expression of cytokine genes for tumor necrosis factor alpha (TNF alpha), lymphotoxin and transforming growth factor beta (TGF beta), all of which are known to suppress normal hematopoiesis, was investigated in 32 patients with lymphoid malignancies using Northern blot analysis. Messenger RNA (mRNA) for TNF alpha, lymphotoxin and TGF beta was detected in 9 cases, 2 cases and 7 cases, respectively. When the relationship between cytokine gene expression and surface phenotype was analyzed, the expression of CD19 correlated significantly with expression of the TNF alpha gene (P less than 0.05). This suggests that B cell malignancies are likely to produce TNF alpha. When the hematological parameters of patients expressing and not expressing the gene were compared, the expression of TNF alpha mRNA was found to correlate with more profound anemia in acute lymphoblastic leukemia (P less than 0.05). Both granulocyte and platelet counts were lower in patients expressing TNF alpha mRNA; however, the decreases were not significant. Neither lymphotoxin nor TGF beta gene expression correlated significantly with any hematological parameter.","['Kawasaki, C', 'Okamura, S', 'Hayashi, S', 'Kondo, S', 'Harada, M', 'Niho, Y']","['Kawasaki C', 'Okamura S', 'Hayashi S', 'Kondo S', 'Harada M', 'Niho Y']","['First Department of Internal Medicine, Kyushu University, Fukuoka, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Blotting, Northern', 'Cytokines/*genetics', 'Female', 'Gene Expression/*genetics', 'Hematopoietic Stem Cells/cytology/physiology', 'Humans', 'Leukemia/blood/*genetics', 'Lymphoma/blood/*genetics', 'Lymphotoxin-alpha/genetics', 'Male', 'Middle Aged', 'Multiple Myeloma/blood/*genetics', 'Phenotype', 'Transforming Growth Factor beta/genetics', 'Tumor Necrosis Factor-alpha/genetics']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",['10.1007/BF01630720 [doi]'],ppublish,J Cancer Res Clin Oncol. 1991;117(4):359-63. doi: 10.1007/BF01630720.,"['0 (Cytokines)', '0 (Lymphotoxin-alpha)', '0 (Transforming Growth Factor beta)', '0 (Tumor Necrosis Factor-alpha)']",,"['TGF&bgr;', 'TNF&agr;']",,,,,,,,,,,,,,
2066176,NLM,MEDLINE,19910809,20191029,0898-6924 (Print) 0898-6924 (Linking),6,,1991,Expression of MHC-class-I antigens in human carcinomas and sarcomas analyzed by isoelectric focusing.,106-16,"We analyzed the expression of class-I antigens in ex vivo human tumor cells by isoelectric focusing (IEF) the anti-class-I mAb W6/32 immunoprecipitates prepared from cell lysates. Out of 42 experiments, 27 were technically successful. The patient's blood lymphocytes were used as controls. In vitro exposure of the tumor cells to IFN gamma and TNF alpha elevated class-I antigen expression. In 11 cases, defects in MHC-class-I-antigen expression were observed. In 2 cases the antigens were detected only in the cytokine-treated tumor samples, probably due to a defect in the association between beta 2m and class-I heavy chains. Selective changes in the expression of alleles were seen in 10 cases and might involve HLA A, B and C antigens. Alterations in class-I expression as compared with the lymphocytes were observed in 9 of 13 cases in which the tumor cells were collected from metastases, and only in 2 of 14 primary tumors.","['Wang, P', 'Vanky, F', 'Li, S L', 'Vegh, Z', 'Persson, U', 'Klein, E']","['Wang P', 'Vanky F', 'Li SL', 'Vegh Z', 'Persson U', 'Klein E']","['Department of Tumor Biology, Karolinska Institute, Stockholm, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer Suppl,International journal of cancer. Supplement = Journal international du cancer. Supplement,8710267,IM,"['Adenocarcinoma/immunology/pathology', 'Antibodies, Monoclonal', 'Breast Neoplasms/immunology', 'Carcinoid Tumor/immunology', 'Carcinoma/*immunology/pathology', 'Colonic Neoplasms/immunology', 'Female', 'Histocompatibility Antigens Class I/*analysis', 'Histocompatibility Testing', 'Humans', 'Isoelectric Focusing', 'Leukemia/immunology', 'Lung Neoplasms/immunology/pathology', 'Major Histocompatibility Complex', 'Ovarian Neoplasms/immunology/pathology', 'Sarcoma/*immunology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",['10.1002/ijc.2910470721 [doi]'],ppublish,Int J Cancer Suppl. 1991;6:106-16. doi: 10.1002/ijc.2910470721.,"['0 (Antibodies, Monoclonal)', '0 (Histocompatibility Antigens Class I)']",,,,,,,,,,,,,,,,
2065952,NLM,MEDLINE,19910814,20200713,0234-5730 (Print) 0234-5730 (Linking),36,3,1991 Mar,[Effect of antilymphocyte globulin on growth and erythroid differentiation of K-562 cells].,18-20,The influence of antilymphocytic globulin (ALG) on the proliferative activity and erythroid differentiation of erythromyeloid K-562 cells was studied. It has been established that ALG produces a dose-dependent inhibiting effect (20-150 micrograms of ALG/ml) on the proliferative activity of K-562 cells and induces erythroid differentiation of these cells that does not depend on the concentration of ALG used in the test. Pretreatment of K-562 cells with ALG increases their sensitivity to the following growth-inhibiting action of cytosine-arabinoside.,"['Blinov, M N', 'Luganova, I S', 'Vartanian, N L']","['Blinov MN', 'Luganova IS', 'Vartanian NL']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Antilymphocyte Serum/*pharmacology', 'Bone Marrow/*pathology', 'Cell Differentiation/drug effects', 'Cell Line', 'Culture Media', 'Erythroid Precursor Cells/drug effects/*pathology', 'Growth Inhibitors', 'Humans', 'In Vitro Techniques', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/*pathology']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1991 Mar;36(3):18-20.,"['0 (Antilymphocyte Serum)', '0 (Culture Media)', '0 (Growth Inhibitors)']",,,Vliianie antilimfotsitarnogo globulina na rost i eritroidnuiu differentsirovku kletok linii K-562.,,,,,,,,,,,,,
2065949,NLM,MEDLINE,19910812,20200713,0234-5730 (Print) 0234-5730 (Linking),36,1,1991 Jan,[Characteristics of pathogenesis of acute leukemia in children].,8-12,"The main components of acute leukemia pathogenesis have been considered from the current positions: origination of the leukemic clone, characteristics of leukemia tumor histogenesis, mechanisms of proliferation and differentiation of leukemic cells. The main pathogenetic differences of acute leukemia in children and adults have been traced. The importance of these differences for the clinical picture, prognosis and response to chemotherapy has been analyzed.","['Vladimirskaia, E B', 'Rumiantsev, A G']","['Vladimirskaia EB', 'Rumiantsev AG']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Bone Marrow/*pathology', 'Cell Differentiation', 'Cell Division/physiology', 'Child', 'Clone Cells/pathology', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Lymphocytes/*pathology', 'Oncogenes/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*etiology/genetics/pathology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1991 Jan;36(1):8-12.,,,,Osobennosti patogeneza ostrykh leikozov u detei.,,,,,,,,,,,,,
2065945,NLM,MEDLINE,19910812,20200713,0234-5730 (Print) 0234-5730 (Linking),36,1,1991 Jan,[Monoclonal antibodies BCA-09 against blast cell surface antigen in acute myelomonoblastic leukemia].,31-2,"Data are presented on the study of BCA-09 monoclonal antibodies (MCA) produced by 2G3 hybrid cells (a new strain). The conventional method of somatic hybridization of mouse myeloma cells and splenocytes of mice immunized with peripheral blood leucocytes from a patient with acute myelomonoblastic leukemia (AMML) was used to obtain hybridomas. The study of BCA-09 MCA specificity has shown that in more than half of cases they reveal surface membrane antigen of leukemia cells in patients with AMML, and do not react with blast cells of patients with other variants of leukemia and lymphosarcoma, as well as with blood cells of normal subjects, and with some human cultural cell lines. BCA-09 MCA can be recommended for the differential diagnosis of AMML and other forms of lymphoblastoses.","['Novikova, N N', 'Miterev, G Iu', 'Novikova, M S', 'Bulycheva, T I']","['Novikova NN', 'Miterev GIu', 'Novikova MS', 'Bulycheva TI']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Animals', 'Antibodies, Monoclonal/biosynthesis/*immunology', 'Antigens, Surface/*immunology', 'Blast Crisis/blood/diagnosis/*immunology/pathology', 'Cell Membrane/immunology', 'Humans', 'Hybridomas/pathology', 'Leukemia, Myelomonocytic, Acute/blood/diagnosis/*immunology/pathology', 'Leukocytes/*immunology/ultrastructure', 'Mice', 'Multiple Myeloma/pathology', 'Neoplasms, Experimental/pathology', 'Spleen/pathology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1991 Jan;36(1):31-2.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)']",,,"Monoklonal'nye antitela BCA-09, napravlennye k poverkhnostnomu antigenu blastnykh kletok pri ostrom mielomonoblastnom leikoze.",,,,,,,,,,,,,
