PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,PMC,GR,SI,EIN,RIN,RF,TT,CON,CN,OID,OTO,OT,GN,LID,ROF
1996544,NLM,MEDLINE,19910328,20190510,0002-9173 (Print) 0002-9173 (Linking),95,3,1991 Mar,Gene rearrangements in the diagnosis of lymphoma/leukemia. Guidelines for use based on a multiinstitutional study.,347-54,"The demonstration of immunoglobulin or T-cell receptor gene rearrangements in human lymphoproliferative processes with the use of DNA hybridization has gained great popularity as a sensitive laboratory adjunct to diagnostic hematopathology. The fact that nearly all B- or T-cell malignant lymphomas and leukemias have one or more rearranged antigen receptor genes provides a biologic basis for a diagnostic test. To formally analyze the sensitivity, specificity, and reproducibility of gene rearrangements in the diagnosis of human lymphoproliferative disease, the authors conducted a large, multiinstitutional study. Through a blinded, controlled approach, gene rearrangement analysis of 275 cases was shown to carry a high correlation with conventional phenotyping and histologic diagnosis, with only minor false-positive and false-negative rates. Significantly, no rearrangements were detected in normal lymphoid tissues or carcinomas, sarcomas, or melanomas. In a randomized study of 50 cases, laboratory results showed a high rate of interlaboratory agreement, regardless of the level of previous experience. Furthermore, the reproducibility of interpretation of data (Southern blot autoradiograms) of 192 cases showed high concordance among 11 observers from multiple laboratories. Based on these findings, the authors propose a set of guidelines for interpretation of gene rearrangement analysis that, if carefully followed, renders this a highly reproducible, safe, and accurate addition to the diagnostic regimen for human lymphoproliferative processes.","['Cossman, J', 'Zehnbauer, B', 'Garrett, C T', 'Smith, L J', 'Williams, M', 'Jaffe, E S', 'Hanson, L O', 'Love, J']","['Cossman J', 'Zehnbauer B', 'Garrett CT', 'Smith LJ', 'Williams M', 'Jaffe ES', 'Hanson LO', 'Love J']","['Department of Pathology, Georgetown University School of Medicine, Washington, D.C. 20007.']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Biomarkers)', '0 (DNA Probes)']",IM,['Am J Clin Pathol. 1991 Sep;96(3):436-7. PMID: 1877542'],"['B-Lymphocytes', 'Biomarkers', 'Cell Line', 'DNA Probes', '*Gene Rearrangement, T-Lymphocyte', 'Humans', 'Leukemia/*diagnosis', 'Lymphoma/*diagnosis', 'Reproducibility of Results', 'T-Lymphocytes']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1093/ajcp/95.3.347 [doi]'],ppublish,Am J Clin Pathol. 1991 Mar;95(3):347-54. doi: 10.1093/ajcp/95.3.347.,,,,,,,,,,,,,,,,
1996379,NLM,MEDLINE,19910325,20061115,0033-7587 (Print) 0033-7587 (Linking),125,2,1991 Feb,The observed relationship between the occurrence of acute radiation effects and leukemia mortality among A-bomb survivors.,206-13,"In an analysis of a follow-up study of a fixed population of 73,330 atomic bomb survivors in Hiroshima and Nagasaki, the slope of an estimated dose response between ionizing radiation and leukemia mortality was found to be steeper (P less than 0.002), by a factor of 2.4, among those who reported epilation within 60 days of the bombings, compared to those who did not experience this sign of acute radiation exposure. The strength of this empirical finding as evidence of biological association in individual radiosensitivity for these two end points is studied here. The major factor complicating the interpretation of this finding as evidence of such an association is the degree of imprecision of the radiation dosimetry system used in assignment of radiation doses to the A-bomb survivors. Using models recently suggested for dealing with dosimetry errors in epidemiological analysis of the A-bomb survivor data, the sensitivity of the apparent association between leukemia mortality and severe epilation to the assumed level of dosimetry error is investigated.","['Neriishi, K', 'Stram, D O', 'Vaeth, M', 'Mizuno, S', 'Akiba, S']","['Neriishi K', 'Stram DO', 'Vaeth M', 'Mizuno S', 'Akiba S']","['Radiation Effects Research Foundation, Hiroshima, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Radiat Res,Radiation research,0401245,,IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Child', 'Cohort Studies', 'Female', 'Follow-Up Studies', 'Hair Removal/adverse effects', 'Humans', 'Japan/epidemiology', 'Leukemia, Radiation-Induced/*mortality', 'Male', 'Middle Aged', '*Nuclear Warfare', 'Radiation Injuries/*epidemiology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",,ppublish,Radiat Res. 1991 Feb;125(2):206-13.,,,,,,,,,,,,,,,,
1996361,NLM,MEDLINE,19910327,20190501,0027-8424 (Print) 0027-8424 (Linking),88,4,1991 Feb 15,Leukemia initiated by hemopoietic stem cells expressing the v-abl oncogene.,1585-9,"We report a mouse model with which to study leukemogenesis initiated by a specific genetic change introduced into a primary lymphoid-myeloid pluripotent stem cell. Fetal liver hemopoietic cells were infected with a high titer of helper-free Abelson murine leukemia virus (A-MuLV) and were used to reconstitute lethally irradiated mice. Two weeks later, progenies of a single primitive hemopoietic stem cell carrying a specifically integrated A-MuLV proviral DNA could be detected in both colony-forming units in spleen and myeloid colony-forming cells in the bone marrow. Beginning at 3 weeks after transplantation, the recipients developed elevated leukocyte counts, splenomegaly, and increase of blast cells in the peripheral blood. Multiple clones of A-MuLV-infected cells were infused into each recipient. However, in the same animal, DNA extracted from various affected organs and from factor-independent lymphoid and myeloid immortalized cells all contained an identical, specifically integrated proviral genome. The A-MuLV-infected stem cells differentiated into various lineages of hemopoietic cells. Our data show that the expression of the v-abl oncogene in a primary lymphoid-myeloid hemopoietic stem cell directly initiates leukemogenesis by stimulating factor-independent growth. The monoclonal-type disease development seen in these animals may require the occurrence of an additional genetic event.","['Chung, S W', 'Wong, P M', 'Durkin, H', 'Wu, Y S', 'Petersen, J']","['Chung SW', 'Wong PM', 'Durkin H', 'Wu YS', 'Petersen J']","['Morse Institute of Molecular Genetics, Department of Microbiology and Immunology, Brooklyn, NY.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,,IM,,"['Abelson murine leukemia virus/*genetics', 'Animals', 'Cell Line', '*Cell Transformation, Neoplastic', 'Clone Cells', '*Genes, abl', 'Hematopoietic Stem Cells/*cytology', 'Leukemia, Experimental/*genetics/microbiology/pathology', 'Mice', 'Mice, Inbred BALB C']",1991/02/15 00:00,1991/02/15 00:01,['1991/02/15 00:00'],"['1991/02/15 00:00 [pubmed]', '1991/02/15 00:01 [medline]', '1991/02/15 00:00 [entrez]']",['10.1073/pnas.88.4.1585 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1991 Feb 15;88(4):1585-9. doi: 10.1073/pnas.88.4.1585.,['v-abl'],PMC51064,,,,,,,,,,,,,,
1996321,NLM,MEDLINE,19910327,20190501,0027-8424 (Print) 0027-8424 (Linking),88,4,1991 Feb 15,Sexual transmission of human T-cell leukemia virus type I associated with the presence of anti-Tax antibody.,1182-6,"The tax gene product (Tax protein) of human T-cell leukemia virus type I (HTLV-I) is a specific transcriptional activator of the viral long terminal repeat sequence and is essential for the replication cycle of the virus. To elucidate the relationship between the presence of anti-Tax antibody and the transmission of the viral infection, annual consecutive serum samples from married couples serologically discordant or concordant for HTLV-I were examined. These included 5 individuals whose spouses seroconverted during this 5-year follow-up study period. The samples were tested by a Western blot assay using a recombinant Tax protein as the antigen. The results showed that 24 of 32 (75%) men in the concordant couples (both husband and wife were HTLV-I carriers) had anti-Tax antibody, while only 5 of 18 (27.8%) men in the discordant couples (husband was carrier and wife was seronegative to HTLV-I) were positive for anti-Tax antibody (P = 0.0012). Furthermore, all spouses of the 5 seroconverters (4 women and 1 man) had anti-Tax antibody, while only 23 of 46 (50%) age-matched randomly selected HTLV-I carriers from the discordant-couple group had anti-Tax antibody. When the data were analyzed by gender, all husbands of the female seroconverters had anti-Tax antibodies, which was significantly higher than the prevalence of anti-Tax antibodies in men who did not transmit the virus to their spouses during the follow-up period (P = 0.017). In addition, antibody reactivity to other HTLV-I antigens (including Env gp46, transmembrane protein gp21, and Gag p19 and p24) were examined. The results indicated no significant differences between the prevalence of antibody reactivity to any of the antigens in the spouses of the seroconverters and the reference group. We conclude that the presence of anti-Tax antibody in men may indicate a high risk of viral transmission to their wives via heterosexual routes.","['Chen, Y M', 'Okayama, A', 'Lee, T H', 'Tachibana, N', 'Mueller, N', 'Essex, M']","['Chen YM', 'Okayama A', 'Lee TH', 'Tachibana N', 'Mueller N', 'Essex M']","['Department of Cancer Biology, Harvard School of Public Health, Boston, MA 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Gene Products, tax)', '0 (HTLV-I Antibodies)', '0 (Recombinant Proteins)']",IM,,"['Agglutination Tests', 'Antibody Formation', 'Blotting, Western', 'Female', 'Gene Products, tax/*immunology', 'HTLV-I Antibodies/*analysis', 'HTLV-I Infections/immunology/*transmission', 'Humans', 'Male', 'Middle Aged', 'Radioimmunoassay', 'Recombinant Proteins/immunology', 'Sexually Transmitted Diseases/immunology/*transmission']",1991/02/15 00:00,1991/02/15 00:01,['1991/02/15 00:00'],"['1991/02/15 00:00 [pubmed]', '1991/02/15 00:01 [medline]', '1991/02/15 00:00 [entrez]']",['10.1073/pnas.88.4.1182 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1991 Feb 15;88(4):1182-6. doi: 10.1073/pnas.88.4.1182.,,PMC50981,"['CA38450/CA/NCI NIH HHS/United States', 'HL43561/HL/NHLBI NIH HHS/United States', 'HL6356/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,,,
1996142,NLM,MEDLINE,19910326,20041117,0029-2559 (Print) 0029-2559 (Linking),52,1,1991 Jan,A case of leukemia due to HTLV-1. A virus of regional significance.,17-8,,"['Davidson, E M', 'Ungaro, P C']","['Davidson EM', 'Ungaro PC']","['Department of Internal Medicine, New Hanover Memorial Hospital, Wilmington 28402.']",['eng'],"['Case Reports', 'Journal Article']",United States,N C Med J,North Carolina medical journal,2984805R,,IM,,"['Adult', 'Female', 'HTLV-I Infections/*complications', 'Humans', 'Leukemia, T-Cell/*etiology', 'North Carolina']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,N C Med J. 1991 Jan;52(1):17-8.,,,,,,,,,,,,,,,,
1996138,NLM,MEDLINE,19910328,20091119,0028-0836 (Print) 0028-0836 (Linking),349,6311,1991 Feb 21,Novel myosin heavy chain encoded by murine dilute coat colour locus.,709-13,"Hundreds of murine dilute mutations have been identified and analysed, making dilute one of the best genetically characterized of all mammalian loci. The recessive dilute (d) coat colour mutation carried by many inbred strains of mice produces a lightening of coat colour, caused by an abnormal adendritic melanocyte morphology that results in an uneven release of pigment granules into the developing hair shaft. Most dilute alleles (dilute-lethal) also produce a neurological defect, characterized by convulsions and opisthotonus, apparent at 8-10 days of age and continuing until the death of the animal at 2-3 weeks of age. The discovery that the original dilute allele (now termed dilute-viral or dV) is the result of the integration of an ecotropic murine leukaemia provirus has allowed the cloning of genomic DNA and in this study complementary DNA, from the dilute locus. The predicted dilute amino-acid sequence indicates that dilute encodes a novel type of myosin heavy chain, with a tail, or C-terminal, region that has elements of both type II (alpha-helical coiled-coil) and type I (non-coiled-coil) myosin heavy chains. Dilute transcripts are differentially expressed in both embryonic and adult tissues and are very abundant in neurons of the central nervous system, cephalic ganglia, and spinal ganglia. These results suggest an important role for the dilute gene product in the elaboration, maintenance, or function of cellular processes of melanocytes and neurons.","['Mercer, J A', 'Seperack, P K', 'Strobel, M C', 'Copeland, N G', 'Jenkins, N A']","['Mercer JA', 'Seperack PK', 'Strobel MC', 'Copeland NG', 'Jenkins NA']","['Mammalian Genetics Laboratory, NCI-Frederick Cancer Research and Development Center, Maryland 21702.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,['EC 3.6.4.1 (Myosins)'],IM,,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Fetus/metabolism', 'Hair Color/*genetics', 'Mice', 'Mice, Inbred Strains', 'Molecular Sequence Data', 'Molecular Weight', 'Mutation', 'Myosins/*genetics', 'Nucleic Acid Hybridization', 'Sequence Homology, Nucleic Acid', 'Transcription, Genetic']",1991/02/21 00:00,1991/02/21 00:01,['1991/02/21 00:00'],"['1991/02/21 00:00 [pubmed]', '1991/02/21 00:01 [medline]', '1991/02/21 00:00 [entrez]']",['10.1038/349709a0 [doi]'],ppublish,Nature. 1991 Feb 21;349(6311):709-13. doi: 10.1038/349709a0.,,,,"['GENBANK/M31718', 'GENBANK/X52371', 'GENBANK/X52372', 'GENBANK/X56198', 'GENBANK/X56199', 'GENBANK/X57181', 'GENBANK/X57182', 'GENBANK/X57183', 'GENBANK/X57184', 'GENBANK/X57377']",['Nature 1991 Aug 8;352(6335):547'],,,,,,,,,,,
1996110,NLM,MEDLINE,19910327,20210526,0270-7306 (Print) 0270-7306 (Linking),11,3,1991 Mar,Interleukin-7 retroviruses transform pre-B cells by an autocrine mechanism not evident in Abelson murine.,1590-7,"In this study, we have constructed retroviral vectors expressing the interleukin-7 (IL-7) cDNA and have used infection with these retroviruses to express this cytokine endogenously in an IL-7-dependent pre-B-cell line. Infection with IL-7 retroviruses, but not with a control retrovirus, resulted in the conversion of the cells to IL-7 independence. The frequency at which this occurred, together with data on vector expression levels, indicated that secondary events were required for factor independence in this system. Southern analysis showed that the IL-7-dependent clones harbored unrearranged copies of the vector proviruses. The factor-independent cells produced variable quantities of IL-7 as measured by an IL-7-specific bioassay, and their proliferation could be substantially inhibited by a neutralizing antibody directed against IL-7, indicating that a classical autocrine-mechanism was responsible for their transformation. These IL-7-independent cells were tumorigenic, in contrast to the parental IL-7-dependent cells or those infected with a control vector. These results showed that IL-7 could participate in the malignant transformation of pre-B cells. However, neither of two Abelson murine leukemia virus (A-MuLV)-transformed pre-B-cell lines expressed detectable IL-7 mRNA, at a level of sensitivity corresponding to less than one molecule of mRNA per cell. Moreover, the proliferation of the A-MuLV transformants was unaffected by addition of the IL-7 antisera under conditions in which parallel experiments with IL-7 virus-infected cells resulted in greater than 70% growth inhibition. Thus, transformation of pre-B cells by A-MuLV was not associated with a demonstrable autocrine loop of IL-7 synthesis. These results show that IL-7 can participate in the malignant transformation of pre-B cells and suggest studies aimed at assessing the role of autocrine production of IL-7 in the generation of human leukemias and lymphomas.","['Overell, R W', 'Clark, L', 'Lynch, D', 'Jerzy, R', 'Schmierer, A', 'Weisser, K E', 'Namen, A E', 'Goodwin, R G']","['Overell RW', 'Clark L', 'Lynch D', 'Jerzy R', 'Schmierer A', 'Weisser KE', 'Namen AE', 'Goodwin RG']","['Immunex Corporation, Seattle, Washington 98101.']",['eng'],['Journal Article'],United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Growth Substances)', '0 (Interleukin-7)', '0 (RNA, Messenger)']",IM,,"['Animals', 'B-Lymphocytes/*cytology', 'Blotting, Northern', 'Cell Division', 'Cell Transformation, Neoplastic/*genetics', 'Cell Transformation, Viral', 'Cloning, Molecular', 'Gene Expression', 'Genetic Vectors', '*Growth Substances', 'Interleukin-7/*physiology', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus', 'Neoplasms, Experimental/*physiopathology', 'Oncogenes', 'RNA, Messenger/genetics']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1128/mcb.11.3.1590-1597.1991 [doi]'],ppublish,Mol Cell Biol. 1991 Mar;11(3):1590-7. doi: 10.1128/mcb.11.3.1590-1597.1991.,['v-abl'],PMC369450,,,,,,,,,,,,,,
1996093,NLM,MEDLINE,19910327,20211025,0270-7306 (Print) 0270-7306 (Linking),11,3,1991 Mar,"Molecular cloning and characterization of a novel glycoprotein, gp34, that is specifically induced by the human T-cell leukemia virus type I transactivator p40tax.",1313-25,"We have cloned and sequenced a cDNA encoding gp34, a novel glycoprotein expressed in cells bearing human T-cell leukemia virus type I (HTLV-I). HTLV-I has a trans-acting transcriptional activator, p40tax, that is thought to be implicated in leukemogenesis through the activation of cellular enhancers. With a subline (JPX-9) of the human T-cell line Jurkat, in which p40tax is inducible, gp34 was shown to be of cellular origin and to be transcriptionally activated by p40tax. It was also demonstrated that two species of mRNA are generated from one copy of the gp34 gene and that these mRNAs encode the identical gp34 product and differ in the 3' untranslated region. Analysis of the deduced amino acid sequence of gp34 showed that it lacks typical signal peptides; however, it has a hydrophobic stretch for membrane anchoring and four possible N-linked glycosylation sites at the carboxy-terminal portion, indicating that it belongs to the family of membrane proteins whose carboxy-terminal portion protrudes out of the cell. The gp34 gene displayed relatively delayed induction compared with other genes activated by p40tax. Taken together with the observation of the dependence of gp34 expression on HTLV-I p40tax, unlike other p40tax-dependent genes such as those for the interleukin-2 receptor alpha chain and c-fos, which are expressed or induced under physiological conditions, we predict that the mechanism involved in the induction of gp34 expression by p40tax is distinct from and more intricate than those for the previously characterized genes.","['Miura, S', 'Ohtani, K', 'Numata, N', 'Niki, M', 'Ohbo, K', 'Ina, Y', 'Gojobori, T', 'Tanaka, Y', 'Tozawa, H', 'Nakamura, M']","['Miura S', 'Ohtani K', 'Numata N', 'Niki M', 'Ohbo K', 'Ina Y', 'Gojobori T', 'Tanaka Y', 'Tozawa H', 'Nakamura M', 'et al.']","['Department of Microbiology, Tohoku University School of Medicine, Sendai, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Gene Products, tax)', '0 (Membrane Glycoproteins)', '0 (RNA, Messenger)', '0 (Receptors, Interleukin-2)']",IM,,"['Base Sequence', 'Blotting, Northern', 'Blotting, Southern', 'Cell Line', 'Cloning, Molecular', 'Enhancer Elements, Genetic', '*Gene Expression Regulation', 'Gene Products, tax/*physiology', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Membrane Glycoproteins/*genetics', 'Molecular Sequence Data', 'RNA, Messenger/genetics', 'Receptors, Interleukin-2/genetics']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1128/mcb.11.3.1313-1325.1991 [doi]'],ppublish,Mol Cell Biol. 1991 Mar;11(3):1313-25. doi: 10.1128/mcb.11.3.1313-1325.1991.,,PMC369402,,"['GENBANK/D90224', 'GENBANK/M35697', 'GENBANK/M35698', 'GENBANK/M35699', 'GENBANK/M35700', 'GENBANK/M55285', 'GENBANK/M55286', 'GENBANK/M73693', 'GENBANK/M73694', 'GENBANK/M73695']",,,,,,,,,,,,
1996087,NLM,MEDLINE,19910327,20210526,0270-7306 (Print) 0270-7306 (Linking),11,3,1991 Mar,A stem cell-specific silencer in the primer-binding site of a retrovirus.,1214-21,"Retrovirus expression in embryonal carcinoma (EC) cells is blocked at a postintegration stage of the viral life cycle, in part because of the inadequate function of the viral long terminal repeat promoter in this cell type. However, selection for retrovirus expression in EC cells has identified mutations in Moloney murine leukemia virus (M-MuLV) located in the tRNA primer-binding site (PBS) region which relieve the EC cell-specific repression. We have found that exchanging the M-MuLV proline PBS for a glutamine one in a recombinant virus permits expression in EC cells. By using the recombinant virus as a backbone, the EC cell-specific repressor-binding site (RBS) element has been mapped to M-MuLV nucleotides 147 to 174. The RBS does not require precise positioning downstream of the M-MuLV promoter and can function in either orientation and in an intron, indicating that the regulatory effect is probably at the DNA, rather than RNA, level. We also show that the RBS element can repress heterologous promoters from an upstream position. Our results indicate that the RBS acts as a silencer that its inhibitory effect is mediated by a trans-acting factor, and that the mechanism of action is probably at the level of transcription. Through in vitro binding assays we have identified a binding factor which specifically recognizes the wild-type RBS sequence (binding factor A). The binding characteristics of factor A suggest that it is a stem cell repressor which acts at the M-MuLV RBS. Our DNA-binding assays also have identified a unique binding factor (binding factor Hp) which specifically recognizes a hemimethylated form of the wild-type RBS. This factor may play a role in methylation mediated control of retrovirus expression in EC cells.","['Petersen, R', 'Kempler, G', 'Barklis, E']","['Petersen R', 'Kempler G', 'Barklis E']","['Vollum Institute for Advanced Biomedical Research, Oregon Health Sciences University, Portland 97201.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA-Binding Proteins)', '0 (Oligonucleotides)', '0 (Repressor Proteins)']",IM,,"['Animals', 'Base Sequence', 'DNA Mutational Analysis', 'DNA-Binding Proteins/physiology', '*Gene Expression Regulation, Viral', 'In Vitro Techniques', 'Methylation', 'Mice', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', 'Oligonucleotides/chemistry', 'Promoter Regions, Genetic', '*Regulatory Sequences, Nucleic Acid', 'Repressor Proteins/*physiology', 'Stem Cells/*physiology', 'Teratoma/*genetics', 'Tumor Cells, Cultured']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",['10.1128/mcb.11.3.1214-1221.1991 [doi]'],ppublish,Mol Cell Biol. 1991 Mar;11(3):1214-21. doi: 10.1128/mcb.11.3.1214-1221.1991.,,PMC369392,,,,,,,,,,,,,,
1996082,NLM,MEDLINE,19910322,20131121,0026-895X (Print) 0026-895X (Linking),39,2,1991 Feb,Induction of c-jun expression in the myeloid leukemia cell line KG-1 by 1-beta-D-arabinofuranosylcytosine.,171-6,"c-Jun/AP-1 is a transcription factor commonly induced in mammalian cells by serum, phorbol compounds, or peptide growth factors. We show that c-Jun/AP-1 is inducible as well as coordinately regulated, in the human acute myelogenous leukemia cell line KG-1, by the cytostatic drug 1-beta-D-arabinofuranosylcytosine (Ara-C). Concomitantly with Ara-C treatment, growth inhibition and loss of clonogenic survival of KG-1 cells were observed. Whereas KG-1 cells displayed only barely detectable amounts of c-jun transcripts when cultured in the presence of serum, Ara-C at concentrations of 1 to 50 microM induced c-jun transcripts in a dose-dependent fashion. Time course studies showed that 10 microM Ara-C induced c-jun transcripts 6 hr after initiation of culture. Induction of c-jun mRNA was independent of de novo protein synthesis, because the protein synthesis inhibitor cycloheximide failed to alter Ara-C-induced c-jun mRNA accumulation. Furthermore, cycloheximide did not induce c-jun transcripts, ruling out the possibility of posttranscriptional stabilization of c-jun mRNA by labile proteins, as has been previously reported for a variety of serum-inducible protooncogenes and early response genes. Moreover, nuclear run-on analysis disclosed that c-jun induction by Ara-C in KG-1 cells took place at a transcriptional level. Taken together, these findings indicate that c-jun mRNA, unlike its rapid (within minutes) induction by serum in fibroblasts, is induced by Ara-C in KG-1 cells following a much more prolonged time course and is regulated essentially at a transcriptional level.","['Henschler, R', 'Brennscheidt, U', 'Mertelsmann, R', 'Herrmann, F']","['Henschler R', 'Brennscheidt U', 'Mertelsmann R', 'Herrmann F']","['Department of Hematology and Oncology, University of Freiburg Medical Center, Federal Republic of Germany.']",['eng'],"['Journal Article', 'Retracted Publication']",United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (RNA, Messenger)', '04079A1RDZ (Cytarabine)', '98600C0908 (Cycloheximide)']",IM,,"['Cell Survival/drug effects', 'Cycloheximide/pharmacology', 'Cytarabine/*pharmacology', 'Dose-Response Relationship, Drug', 'Gene Expression Regulation, Leukemic/*drug effects', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Protein Biosynthesis', 'Proto-Oncogenes/*genetics', 'RNA, Messenger/genetics', 'Time Factors', 'Transcription, Genetic/drug effects', 'Tumor Cells, Cultured']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",,ppublish,Mol Pharmacol. 1991 Feb;39(2):171-6.,['c-jun'],,,,,['Mol Pharmacol. 2007 Jan;71(1):388. PMID: 17213995'],,,,,,,,,,
