PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,GS,AID,PMC,GR,TT,CON,SI,EIN,OID,OAB,OABL,OTO,OT,GN
1865418,NLM,MEDLINE,19910911,20051116,0315-162X (Print) 0315-162X (Linking),18,5,1991 May,Rheumatic manifestations in myelodysplastic syndromes.,721-7,"The myelodysplastic syndromes are characterized by ineffective hematopoiesis with possible transformation to acute nonlymphocytic leukemia. We describe a patient with refractory anemia with excess blasts with unusual rheumatic manifestations of vasculitis, migratory synovitis, arthralgias, and myalgias. A retrospective review over a 6-month period of 162 patients with myelodysplastic syndromes found 16 patients (10%) with several rheumatic manifestations. We divided these manifestations into 4 different categories: cutaneous vasculitis, ""lupus-like syndrome,"" neuropathy, and patients with both a rheumatic disease and a myelodysplastic syndrome. There were 7 with cutaneous vasculitis including leukocytoclastic vasculitis and other individual cases of urticarial vasculitis and panniculitis; 3 with lupus-like manifestations with histological evidence of an inflammatory process; 3 with neuropathic manifestations including peripheral neuropathy, mononeuritis with foot drop, and chronic inflammatory demyelinating polyneuropathy; and 3 patients in which their myelodysplastic syndrome was diagnosed after their rheumatic disease was known, including rheumatoid arthritis. Sjogren's syndrome and mixed connective tissue disease. The class with refractory anemia with excess blasts had 9 patients with rheumatic manifestations but also had the largest number of patients in the study (46/162 or 29%). Three of the 16 patients died, all from the refractory anemia with excess blasts class, reflecting the known mortality in this group of patients. We believe there is a significant association between myelodysplastic syndromes and rheumatic manifestations.","['Castro, M', 'Conn, D L', 'Su, W P', 'Garton, J P']","['Castro M', 'Conn DL', 'Su WP', 'Garton JP']","['Department of Dermatology, Mayo Clinic, Rochester, MN 55905.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",Canada,J Rheumatol,The Journal of rheumatology,7501984,IM,['J Rheumatol. 1992 Jun;19(6):1005-6. PMID: 1404113'],"['Adult', 'Aged', 'Anemia, Refractory, with Excess of Blasts/complications', 'Arthritis, Rheumatoid/*complications/epidemiology', 'Female', 'Humans', 'Lupus Erythematosus, Systemic/complications', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*complications/epidemiology', 'Retrospective Studies', 'Synovitis/complications', 'Vasculitis/complications']",14,1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,J Rheumatol. 1991 May;18(5):721-7.,,,,,,,,,,,,,,,
1865236,NLM,MEDLINE,19910911,20190724,0022-510X (Print) 0022-510X (Linking),103,1,1991 May,Amplifications of multiple regions of the HTLV-I genome from DNA of an Italian spastic paraparesis patient but not from DNA of multiple sclerosis patients.,82-9,"We searched for evidence of infection by the human T-cell lymphoma/leukemia virus type I (HTLV-I) in patients with multiple sclerosis (40 cases); brainstem encephalitis (1 case); Friedreich's ataxia (1 case); spastic paraparesis of unknown etiology (1 case). All patients were from the region of Abruzzo, Italy. Sera were all negative for anti-HTLV-I reactivity by the Western blotting (WB) analysis. DNAs from peripheral blood mononuclear cells were amplified using the polymerase chain reaction (PCR) technique with primers specific for the HTLV-I gag, pol, and env proviral regions. HTLV-I sequences were amplified only in the patient with spastic paraparesis of unknown etiology. In this case, HTLV-I infection might have been related to blood transfusions received 2 years prior to the onset of the neurologic symptoms. Members of the patient's family were negative for HTLV-I by PCR and WB. These data indicate that HTLV-I associated myelopathy is present also in Italy, but fail to substantiate an association of HTLV-I with multiple sclerosis.","['French, D', 'Mammarella, S', 'Curia, M C', 'Porrini, A M', 'Giampietro, A', 'Macor, S', 'Lombardi, V', 'Agliano, A M', 'Manzari, V', 'Lugaresi, A']","['French D', 'Mammarella S', 'Curia MC', 'Porrini AM', 'Giampietro A', 'Macor S', 'Lombardi V', 'Agliano AM', 'Manzari V', 'Lugaresi A', 'et al.']","['Dipartimento di Medicina Sperimentale, Universita La Sapienza, Rome, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Neurol Sci,Journal of the neurological sciences,0375403,IM,,"['Adolescent', 'Adult', 'Base Sequence', 'Blotting, Western', 'DNA, Viral/*blood', 'Female', 'Human T-lymphotropic virus 1/*isolation & purification', 'Humans', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Multiple Sclerosis/*microbiology', 'Oligonucleotide Probes', 'Paraparesis, Tropical Spastic/*microbiology', 'Polymerase Chain Reaction']",,1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,J Neurol Sci. 1991 May;103(1):82-9. doi: 10.1016/0022-510x(91)90288-i.,"['0 (DNA, Viral)', '0 (Oligonucleotide Probes)']","['env', 'gag', 'pol']","['0022-510X(91)90288-I [pii]', '10.1016/0022-510x(91)90288-i [doi]']",,,,,,,,,,,,
1865217,NLM,MEDLINE,19910909,20190501,0022-3050 (Print) 0022-3050 (Linking),54,5,1991 May,Postradiation motor neuron syndrome of the upper cervical region--a manifestation of the combined effect of cranial irradiation and intrathecal chemotherapy?,469-70,,"['Tan, S V', 'Pye, I F']","['Tan SV', 'Pye IF']",,['eng'],"['Case Reports', 'Letter']",England,J Neurol Neurosurg Psychiatry,"Journal of neurology, neurosurgery, and psychiatry",2985191R,IM,,"['Adolescent', 'Adult', 'Antineoplastic Agents/adverse effects', 'Combined Modality Therapy', 'Follow-Up Studies', 'Humans', 'Male', 'Motor Neurons/drug effects/*radiation effects', 'Neuromuscular Diseases/*etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/radiotherapy/*therapy', 'Radiation Injuries/*etiology', 'Radiation Tolerance/drug effects', 'Spinal Cord/drug effects/radiation effects']",,1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,J Neurol Neurosurg Psychiatry. 1991 May;54(5):469-70. doi: 10.1136/jnnp.54.5.469-a.,['0 (Antineoplastic Agents)'],,['10.1136/jnnp.54.5.469-a [doi]'],PMC488557,,,,,,,,,,,
1865169,NLM,MEDLINE,19910910,20190903,0954-6820 (Print) 0954-6820 (Linking),230,2,1991 Aug,Successful treatment of hepatosplenic candidiasis with a liposomal amphotericin B preparation.,173-7,"The case of a granulocytopenic patient with acute undifferentiated leukaemia and hepatosplenic candidiasis who was refractory to conventional deoxycholate amphotericin B (AmpB) and 5-flucytosine therapy is reported. He experienced severe AmpB-related side-effects, and was subsequently successfully treated with a pharmaceutical preparation of AmpB (5.7 g) entrapped in sonicated liposomes, composed of lecithin, cholesterol and stearylamine in a molar ratio of 4:3:1. Three months later, during maintenance chemotherapy, liposomal AmpB (5.1 g) was reinstituted due to the finding of biopsies positive for Candida albicans at bronchoscopy. After healing of the patient's fungal infection a left upper lobe resection was performed, which showed advanced fibrosis with signs of inflammation, but no evidence of fungal disease. Since no acute side-effects and only moderate hypokalaemia were observed, it appears that liposomal AmpB is superior to conventional AmpB treatment in granulocytopenic patients with hepatosplenic candidiasis and unbearable therapy-related side-effects.","['Bjorkholm, M', 'Kallberg, N', 'Grimfors, G', 'Eklund, L H', 'Eksborg, S', 'Juneskans, O T', 'Uden, A M']","['Bjorkholm M', 'Kallberg N', 'Grimfors G', 'Eklund LH', 'Eksborg S', 'Juneskans OT', 'Uden AM']","['Department of Medicine, Karolinska Hospital, Stockholm, Sweden.']",['eng'],"['Case Reports', 'Journal Article']",England,J Intern Med,Journal of internal medicine,8904841,IM,,"['Acute Disease', 'Adult', 'Amphotericin B/*administration & dosage', 'Candidiasis/complications/*drug therapy', 'Drug Carriers', 'Humans', 'Leukemia/*complications', 'Liposomes', 'Liver Diseases/complications/*drug therapy', 'Male', 'Opportunistic Infections/drug therapy', 'Splenic Diseases/complications/*drug therapy']",,1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,J Intern Med. 1991 Aug;230(2):173-7. doi: 10.1111/j.1365-2796.1991.tb00426.x.,"['0 (Drug Carriers)', '0 (Liposomes)', '7XU7A7DROE (Amphotericin B)']",,['10.1111/j.1365-2796.1991.tb00426.x [doi]'],,,,,,,,,,,,
1865152,NLM,MEDLINE,19910909,20110728,0021-5384 (Print) 0021-5384 (Linking),80,2,1991 Feb 10,[Tumor-related genes].,284-8,,"['Hatanaka, M']",['Hatanaka M'],,['jpn'],['Journal Article'],Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,IM,,"['Bone Neoplasms/genetics', 'Brain Neoplasms/genetics', 'Breast Neoplasms/genetics', 'Digestive System Neoplasms/*genetics', 'Gene Expression Regulation, Neoplastic', '*Genes, Tumor Suppressor', 'Humans', 'Leukemia/genetics', 'Lung Neoplasms/genetics', 'Mutation', '*Oncogenes', 'Polymerase Chain Reaction']",,1991/02/10 00:00,1991/02/10 00:01,['1991/02/10 00:00'],"['1991/02/10 00:00 [pubmed]', '1991/02/10 00:01 [medline]', '1991/02/10 00:00 [entrez]']",ppublish,Nihon Naika Gakkai Zasshi. 1991 Feb 10;80(2):284-8.,,,,,,,,,,,,,,,
1865123,NLM,MEDLINE,19910911,20190723,0022-1759 (Print) 0022-1759 (Linking),141,1,1991 Jul 26,Efficient gene transfer and expression in primary B lymphocytes.,53-62,"In this study we have used a panel of vectors expressing the chloramphenicol acetyltransferase (CAT) reporter gene under the control of different regulatory elements to optimize gene transfer and expression in primary B lymphocytes. The Moloney murine leukemia virus long terminal repeat (MoMLV LTR) and the SV40 early region promoters, while functional in transfected plasmacytoma cell lines, did not give rise to detectable CAT activity following transfection into primary activated mouse or human B lymphocytes. In contrast, the human cytomegalovirus immediate-early (HCMV-IE) enhancer/promoter functioned in both established and primary B cells. The highest expression levels in the primary cells were obtained with vectors containing the Adenovirus 2 major late promoter or the HCMV-IE enhancer/promoter in combination with the Adenovirus 2 tripartite leader and VA genes. These latter expression cassettes were placed in a retroviral vector with the aim of combining their capacity for high-level gene expression with the efficient stable gene transfer afforded by retroviral infection. Several retroviral constructs were made, some of which were able to generate high virus titers. However all of these underwent deletions during the process of retroviral infection, as judged by Southern analysis of infected cells, indicating that they were not optimal gene transfer vectors. The HCMV enhancer/promoter, which was the most active of the other expression cassettes tested in the primary B cells, was inserted into a retroviral vector which also expressed the hph gene under the transcriptional control of the retroviral LTR. This vector did not undergo rearrangement during the process of retroviral infection, as judged by Southern analysis. The CAT gene was inserted downstream of the HCMV promoter in this vector, and a high-titer retroviral stock was generated. Primary B lymphocytes infected with this vector gave high levels of CAT activity, under conditions in which parallel experiments with the hph drug resistance marker showed that one in 20 of the cells were infected. These experiments demonstrate efficient gene transfer and expression in primary B lymphocytes in vitro.","['Overell, R W', 'Weisser, K E', 'Hess, B W', 'Ziegler, S F', 'Pleiman, C M', 'Maliszewski, C', 'Grabstein, K H']","['Overell RW', 'Weisser KE', 'Hess BW', 'Ziegler SF', 'Pleiman CM', 'Maliszewski C', 'Grabstein KH']","['Department of Molecular Biology, Immunex Corporation, Seattle, WA 98101.']",['eng'],['Journal Article'],Netherlands,J Immunol Methods,Journal of immunological methods,1305440,IM,,"['Animals', '*B-Lymphocytes', 'Cell Line', 'Cells, Cultured', 'Chloramphenicol O-Acetyltransferase/genetics', '*Gene Expression', 'Genetic Vectors', 'Humans', 'Mice', 'Plasmids', 'Retroviridae/genetics', '*Transfection']",,1991/07/26 00:00,1991/07/26 00:01,['1991/07/26 00:00'],"['1991/07/26 00:00 [pubmed]', '1991/07/26 00:01 [medline]', '1991/07/26 00:00 [entrez]']",ppublish,J Immunol Methods. 1991 Jul 26;141(1):53-62. doi: 10.1016/0022-1759(91)90209-x.,['EC 2.3.1.28 (Chloramphenicol O-Acetyltransferase)'],,"['0022-1759(91)90209-X [pii]', '10.1016/0022-1759(91)90209-x [doi]']",,,,,,,,,,,,
1864985,NLM,MEDLINE,19910909,20190501,0021-9746 (Print) 0021-9746 (Linking),44,2,1991 Feb,Globin chain synthesis in myelodysplastic syndromes.,134-8,"Globin chain synthesis was studied in the reticulocytes of 30 patients with various myelodysplastic syndromes (MDS) to determine the alpha:beta globin chain synthetic ratio and its probable prognostic value. The mean (SD) value of the total alpha:beta ratio was 0.82 (0.45) ranging from 0.05 to 1.73. The same ratio in 10 normal controls was 1.01 (0.04). This difference was significant. Furthermore, the alpha:beta ratios were lower than normal in 14 patients (alpha-thalassaemia-like) (group I), almost within normal limits in 11 (group II), and higher than normal in five (beta-thalassaemia-like) (group III). In each group almost all the FAB subtypes were represented. The addition of exogenous haem in several of the test samples resulted in a slight to pronounced increase in the alpha:beta ratios, particularly in group I. In 92% of the high risk cases (refractory anaemia with excess blasts (RAEB), chronic myelomonocytic leukaemia (CMML] or 87.5% of patients who finally developed acute non-lyphoid leukaemia (ANLL) low or normal alpha:beta ratios were found. No significant correlation was noticed between alpha:beta ratios and various haematological variables or survival. It is concluded that in MDS the alpha:beta ratio varied enormously across the entire population of patients, as well as within each FAB subtype, thereby restricting its prognostic value. Although haem deficiency may be implicated in some cases of MDS, why this should be remains unclear.","['Chalevelakis, G', 'Karaoulis, S', 'Yalouris, A G', 'Economopoulos, T', 'Tountas, N', 'Raptis, S']","['Chalevelakis G', 'Karaoulis S', 'Yalouris AG', 'Economopoulos T', 'Tountas N', 'Raptis S']","['Second Department of Internal Medicine, University of Athens, Greece.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Clin Pathol,Journal of clinical pathology,0376601,IM,,"['Aged', 'Aged, 80 and over', 'Female', 'Follow-Up Studies', 'Globins/*biosynthesis/drug effects', 'Hemin/pharmacology', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*blood/mortality', 'Prognosis', 'Reticulocytes/*metabolism', 'Scintillation Counting', 'Survival Rate']",,1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1991 Feb;44(2):134-8. doi: 10.1136/jcp.44.2.134.,"['743LRP9S7N (Hemin)', '9004-22-2 (Globins)']",,['10.1136/jcp.44.2.134 [doi]'],PMC496975,,,,,,,,,,,
1864967,NLM,MEDLINE,19910910,20181113,0021-9738 (Print) 0021-9738 (Linking),88,2,1991 Aug,Expression of the early growth response 1 and 2 zinc finger genes during induction of monocytic differentiation.,571-7,"Members of the early growth response (EGR) gene family are rapidly induced after mitogenic stimulation of diverse cell types. The present work has examined EGR gene expression during differentiation of myeloid leukemia cells along the monocytic lineage and in activated monocytes. Low levels of EGR-1 transcripts were detectable in untreated U-937 and HL-60 leukemia cells. In contrast, treatment of these cells with 12-O-tetradecanoylphorbol-13-acetate (TPA) was associated with increases (within 1 h) in EGR-1 mRNA levels. The induction of monocytic differentiation by TPA and other agents was further associated with increases in EGR-2, but not EGR-3 or EGR-4, mRNA levels in these cells. Treatment of resting peripheral blood monocytes with the macrophage colony-stimulating factor (M-CSF) was also associated with rapid (within 15 min) increases in expression of the EGR-1 and EGR-2 genes. The results of nuclear run-on assays demonstrate that EGR-1 mRNA levels are increased in part by transcriptional activation of this gene in M-CSF-stimulated monocytes. The results also demonstrate that both EGR-1 and EGR-2 mRNA levels are regulated at the posttranscriptional level by a labile protein that destabilizes these transcripts. Finally, we demonstrate that dexamethasone, an inhibitor of monocytic differentiation, blocks the associated increases in EGR-1 and EGR-2 expression. Taken together, the results indicate that the EGR-1 and EGR-2 early response genes are involved in the induction of myeloid leukemia cell differentiation along the monocytic lineage and in the activation of human monocytes.","['Kharbanda, S', 'Nakamura, T', 'Stone, R', 'Hass, R', 'Bernstein, S', 'Datta, R', 'Sukhatme, V P', 'Kufe, D']","['Kharbanda S', 'Nakamura T', 'Stone R', 'Hass R', 'Bernstein S', 'Datta R', 'Sukhatme VP', 'Kufe D']","['Laboratory of Clinical Pharmacology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,IM,,"['Cell Differentiation', 'Dexamethasone/pharmacology', 'Dimethyl Sulfoxide/pharmacology', '*Gene Expression', 'Humans', 'Leukemia, Myeloid', 'Macrophage Colony-Stimulating Factor/pharmacology', 'Monocytes/*cytology/metabolism', 'RNA, Messenger/analysis', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured', 'Zinc Fingers/*genetics']",,1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,J Clin Invest. 1991 Aug;88(2):571-7. doi: 10.1172/JCI115341.,"['0 (RNA, Messenger)', '7S5I7G3JQL (Dexamethasone)', '81627-83-0 (Macrophage Colony-Stimulating Factor)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']","['EGR-1', 'EGR-2']",['10.1172/JCI115341 [doi]'],PMC295388,"['CA-34183/CA/NCI NIH HHS/United States', 'CA-42802/CA/NCI NIH HHS/United States']",,,,,,,,,,
1864637,NLM,MEDLINE,19910909,20191022,0882-0139 (Print) 0882-0139 (Linking),20,2,1991 Apr,Hypogammaglobulinaemia in low grade B cell tumours; significance and therapy.,187-91,"Bacterial infection is an important cause of morbidity and mortality in patients with B-cell tumors; this is related to their secondary hypogammaglobulinaemia. Two studies of intravenous replacement therapy [IVIg] have been performed in such patients: a crossover study over two years and a randomised, multicentre study over one year. Both involved infusions of IVIg [400 mg/Kg] or an equivalent volume of saline every three weeks for one year. In both studies, serious bacterial infections were considerably reduced by IVIg. Viral and fungal infections were uncommon. In the crossover study bacterial infections were more frequent in periods in which patients serum IgG levels were below the normal range [less than 6.4 g/l]. The sites of bacterial infection were similar in these studies to those in previously published reports, namely respiratory tract, skin, urinary tract and blood. There were a few mild adverse reactions which were related to the rate of infusion, but no serious toxic effects. Haematological parameters were not significantly changed by IVIg at this dose and disease progression did not appear to be changed.","['Chapel, H', 'Griffiths, H', 'Brennan, V', 'Bunch, C', 'Lea, J', 'Lee, M']","['Chapel H', 'Griffiths H', 'Brennan V', 'Bunch C', 'Lea J', 'Lee M']","['Department of Immunology, John Radcliffe Hospital, Oxford, UK.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,Immunol Invest,Immunological investigations,8504629,IM,,"['Agammaglobulinemia/complications/*therapy', 'Bacterial Infections/etiology/*prevention & control', 'Humans', 'Immunoglobulin G/therapeutic use', '*Immunotherapy', 'Infusions, Intravenous', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications', 'Lymphoma, Non-Hodgkin/complications']",,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Immunol Invest. 1991 Apr;20(2):187-91. doi: 10.3109/08820139109050786.,['0 (Immunoglobulin G)'],,['10.3109/08820139109050786 [doi]'],,,,,,,,,,,,
1864552,NLM,MEDLINE,19910909,20071115,0390-6078 (Print) 0390-6078 (Linking),76 Suppl 1,,1991 Mar,Immunomagnetic purging procedure for autologous bone marrow transplantation in lymphoid malignancies.,37-40,"In this report we describe the use of the immunomagnetic depletion of tumor cells from harvested bone marrow in two patients with acute lymphoblastic leukemia. The immunomagnetic procedure of purging involved one incubation of the marrow cells with a mixture of 4 monoclonal antibodies which bind to antigens of CD10 (ALB2), CD19 (HD37), CD20 (B1) and CD22 (HD39). Two incubations with magnetic beads (Dynabeads M-450) covered with antimouse antibodies followed by magnetic separation were performed. The bead/target B cell ratio was 50:1. After purging the recovery of mononuclear cells was 56% and 40%, while the recovery of CFU-GM was 45% and 38% respectively. Both patients engrafted rapidly without serious complications. One patient relapsed 4 months after transplant, the other remains in complete remission after 5 months. Our results confirm that the use of immunomagnetic beads is a simple, safe and reproducible technique to remove tumor cells before ABMT in patients with B malignancies using a broad mixture of MoAbs. However only a randomized trial using autologous marrow purged or not will clarify the effective clinical value of the procedure.","['De Rosa, L', 'Montuoro, A', 'Pandolfi, A', 'Lanti, T', 'Pescador, L', 'Morara, R', 'De Laurenzi, A']","['De Rosa L', 'Montuoro A', 'Pandolfi A', 'Lanti T', 'Pescador L', 'Morara R', 'De Laurenzi A']","['Divisione di Ematologia, Ospedale San Camillo, Roma, Italy.']",['eng'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,IM,,"['Adolescent', 'Antibodies, Monoclonal/immunology/*therapeutic use', 'Antigens, CD/immunology', 'Antigens, Neoplasm/immunology', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'B-Lymphocytes/immunology/pathology', 'Bone Marrow/*pathology', 'Bone Marrow Transplantation/*methods', 'Cell Separation/*methods', 'Combined Modality Therapy', 'Evaluation Studies as Topic', 'Humans', '*Magnetics', 'Male', '*Microspheres', 'Neoplasm Recurrence, Local', '*Neoplastic Stem Cells/immunology', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/pathology/*surgery', 'Remission Induction', 'Transplantation, Autologous']",,1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",ppublish,Haematologica. 1991 Mar;76 Suppl 1:37-40.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Neoplasm)']",,,,,,,,,,,,,,
