PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,TT,RF,GR,EIN,PMC,CON,GS,CIN,OID,OTO,OT,GN,SI,CRF
1794247,NLM,MEDLINE,19920407,20140226,0578-1426 (Print) 0578-1426 (Linking),30,8,1991 Aug,[Autologous bone marrow transplantation after purging by low molecular weight natural tumor suppressor in long-term marrow culture in vitro: report on 2 cases].,"495-7, 522","In the light of high sensitivity of fresh bone marrow blast progenitor of human myeloid leukemia (L-CFU) towards the action of low molecular tumor suppressor isolated from human fetal liver, massive bone marrow was aspirated from the patients suffering from acute myeloid leukemia at the stage of first complete remission and cocultured in a long-term bone marrow culture system for 9 days. The purged marrow cells were then re-infused into the patients after preconditioning with large doses of cytotoxin and acute ionizing irradiation. Hematopoiesis was reconstituted due to the autologous transplantation in vivo. After the autologous bone marrow transplantation without chemical treatment, two cases are still survival with the time of more than 17 and 15 months respectively.","['Yang, K', 'Ten, A P', 'Wu, A Y']","['Yang K', 'Ten AP', 'Wu AY']","[""Department of Hematology, General Hospital of Beijing Unit, People's Liberation Army.""]",['chi'],"['Case Reports', 'English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Adult', 'Bone Marrow Purging/*methods', '*Bone Marrow Transplantation', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/pathology/*surgery', 'Leukemia, Myelomonocytic, Acute/pathology/*surgery', 'Male', 'Transplantation, Autologous', 'Tumor Cells, Cultured']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,"Zhonghua Nei Ke Za Zhi. 1991 Aug;30(8):495-7, 522.",,,,,,,,,,,,,,,,
1794228,NLM,MEDLINE,19920408,20190918,0141-9854 (Print) 0141-9854 (Linking),13,3,1991,Leucocyte numbers and quality: their effect on viscosity.,255-62,"Leucocyte suspension viscosity was measured using cells from a number of leukaemias. Samples from individuals with acute myelomonocytic and myeloid leukaemias, and chronic myelogenous and chronic lymphatic leukaemias were examined for their viscosity and flow properties. Leucocytes were suspended in native plasma and the effect of variable leucocyte numbers in the ranges seen in some leukaemias (100-600 x 10(9)/l) examined at different shear stresses. The effect of MCV was also determined in relation to viscosity. The results showed an increasing order of viscosity from the leucocytes of chronic lymphatic leukaemia through chronic myelogenous and acute myeloid leukaemia to the acute myelomonocytic variety. This bears some relation to the mean corpuscular volume, but confirms the fact that at high numbers of cells, patients with acute myelomonocytic, and to a lesser extent the myeloid leukaemias, are at considerable risk of blood hyperviscosity.","['Roath, S', 'Davenport, P']","['Roath S', 'Davenport P']","['University Department of Haematology, Southampton General Hospital.']",['eng'],"['Comparative Study', 'Journal Article']",England,Clin Lab Haematol,Clinical and laboratory haematology,7907061,IM,"['*Blood Viscosity', 'Cerebral Hemorrhage/etiology/pathology', 'Erythrocyte Indices', 'Humans', 'Leukemia/*blood/classification/complications', '*Leukocyte Count', 'Pulmonary Alveoli/blood supply/pathology', 'Stress, Mechanical']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Clin Lab Haematol. 1991;13(3):255-62. doi: 10.1111/j.1365-2257.1991.tb00281.x.,['10.1111/j.1365-2257.1991.tb00281.x [doi]'],,,,,,,,,,,,,,,
1793879,NLM,MEDLINE,19920409,20161020,1001-9294 (Print) 1001-9294 (Linking),6,3,1991 Sep,Specific binding and internalization of monoclonal antibody HI98-daunorubicin conjugate by human leukemic cells (HL60).,157-9,"McAb-HI98 has been proved to bind specifically to HL60 cells. In this study, we further observed the specific binding of HI98-Daunorubicin (DNR) conjugate to HL60 cells, the transmembranal transport of HI98-DNR and the process of internalization by immunoelectron microscopy. After HL60 cells were incubated with HI98-DNR-Au, gold particles were first found on the surface membranes of HL60 cells, and then inside the cells. Internalization was found to occur through the formation of endocytic vesicles. Results indicate that the immunoconjugate selectively binds to target cells and enters the cells specifically and rapidly, thus enhancing intracellular drug concentration.","['Liu, J', 'Zhu, Z', 'Liu, J', 'Yin, S', 'Chu, Y', 'Qi, S', 'Yang, C', 'Chen, Z']","['Liu J', 'Zhu Z', 'Liu J', 'Yin S', 'Chu Y', 'Qi S', 'Yang C', 'Chen Z']","['Institute of Hematology, CAMS, Tianjin.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Chin Med Sci J,Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih,9112559,IM,"['Antibodies, Monoclonal', 'Daunorubicin/*pharmacology', 'Humans', 'Immunotoxins/*metabolism', 'Leukemia, Myeloid/*pathology', 'Microscopy, Immunoelectron', 'Tumor Cells, Cultured/ultrastructure']",1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Chin Med Sci J. 1991 Sep;6(3):157-9.,,"['0 (Antibodies, Monoclonal)', '0 (Immunotoxins)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,
1793832,NLM,MEDLINE,19920409,20171116,0925-5710 (Print) 0925-5710 (Linking),54,6,1991 Dec,"Intensive individualized induction therapy with behenoyl cytarabine, daunorubicin and 6-mercaptopurine followed by intensive consolidation including intermediate-dose continuous cytarabine, mitoxantron, etoposide and vinca alkaloids in acute myeloid leukemia in adults.",487-93,"Forty-one consecutive adult patients with acute myeloid leukemia (AML) were treated with an intensive individualized induction therapy of behenoyl cytarabine, daunorubicin, and 6-mercaptopurine, 29 patients (71%) achieved complete remission (CR). Patients then received three courses of intensive consolidation therapy, including intermediate-dose continuous cytarabine (400 mg/m2, for 5 days) and non-cross resistant drugs such as mitoxantron, etoposide and vincristine. During the course of the consolidation therapy, three patients died of infections and one died of myocardial infarction. Four patients underwent allogeneic bone marrow transplantation. The patients then received six courses of moderately intensive maintenance therapy for 1 year. The predicted 5-year continuing CR and disease-free survival rates of the CR patients were 62% (95% confidence limit, 41% to 83%) and 53% (33% to 73%), respectively. Although the number of patients in this study is small, the present study indicated that it may be possible to cure a fairly large proportion of AML patients by chemotherapy alone, if intensive induction therapy is followed by intensive consolidation therapy.","['Ohno, R', 'Yokomaku, S', 'Okumura, M', 'Nagai, T', 'Kitaori, K', 'Ito, T', 'Takeo, T', 'Sugiura, I', 'Yano, K', 'Ito, Y']","['Ohno R', 'Yokomaku S', 'Okumura M', 'Nagai T', 'Kitaori K', 'Ito T', 'Takeo T', 'Sugiura I', 'Yano K', 'Ito Y', 'et al.']","['First Department of Internal Medicine, Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Int J Hematol,International journal of hematology,9111627,IM,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage/analogs & derivatives', 'Daunorubicin/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage', 'Mitoxantrone/administration & dosage', 'Vinca Alkaloids/administration & dosage']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Int J Hematol. 1991 Dec;54(6):487-93.,,"['0 (Vinca Alkaloids)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', '9YVR68W306 (enocitabine)', 'BZ114NVM5P (Mitoxantrone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,,
1793830,NLM,MEDLINE,19920409,20071115,0925-5710 (Print) 0925-5710 (Linking),54,6,1991 Dec,"A complicated translocation involving five chromosomes (Nos. 9, 11, 12, 21 and 22) in a patient with chronic myelocytic leukemia (CML).",479-82,"A new complicated Ph1 translocation involving five chromosomes, t(9;22;21;11;inv ins(12)-(q15p12p13))(q34;q11;q22;q13;q15), was found in a 64-year-old Korean woman with chronic myelocytic leukemia (CML). At presentation, the patient was found to be in the accelerated phase, she entered the chronic phase after six cycles of chemotherapy including a vincristine (VCR) and prednisolone (PSL) regimen (VP). The chronic phase continued for 2 years, and 33 months after her first admission she died due to severe pneumonia and congestive heart failure in the re-accelerated phase. In the literature, the frequency of the involvement of chromosome No. 11 in three-way Ph1 translocations (4.9%) is lower than that in four- and five-way Ph1 translocations (33.3%). It may be worth noting that chromosome No. 11 is easily involved in highly complicated Ph1 translocations.","['Abe, R', 'Shiga, Y', 'Ookoshi, T', 'Tanaka, T', 'Maruyama, Y']","['Abe R', 'Shiga Y', 'Ookoshi T', 'Tanaka T', 'Maruyama Y']","['Fukushima-ken Taiyoh-no-kuni Hospital, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Japan,Int J Hematol,International journal of hematology,9111627,IM,"['Chromosomes, Human, Pair 11', 'Chromosomes, Human, Pair 12', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 22', 'Chromosomes, Human, Pair 9', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Middle Aged', 'Translocation, Genetic/*genetics']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Int J Hematol. 1991 Dec;54(6):479-82.,,,,,,,,,,,,,,,,
1793829,NLM,MEDLINE,19920409,20171116,0925-5710 (Print) 0925-5710 (Linking),54,6,1991 Dec,"Two bcr/abl fusion gene products, P210bcr/abl and P190bcr/abl, are equally sensitive to the protein tyrosine phosphatase of mature granulocytes.",471-8,"Two bcr/abl fusion gene products with tyrosine kinase activity have been found in two phenotypes of Philadelphia chromosome (Ph1)-positive leukemia. P210bcr/abl (P210) is associated with Ph1-positive chronic myelogenous leukemia (CML), while P190bcr/abl is associated with Ph1-positive acute leukemia. We compared the susceptibility of 32Pi-labeled P210 from K-562 cells and P190 from MR-87 cells to protein tyrosine phosphatase (PTPase). PTPase, present in the lysate of mature granulocytes from CML patients as well as in the lysate of these cells from normal subjects, effectively dephosphorylated the CML-associated P210 and the acute leukemia associated P190. This PTPase activity was specifically inhibited by ZnCl2; it was not present in lymphocyte lysates, and was not inhibited by neutralization with anti-CD45 antibody. Since P210 and P190 were equally sensitive to the PTPase, the difference in leukemic phenotypes associated with the expression of these two tyrosine kinases cannot be explained by the differential dephosphorylation of P210 and P190.","['Nishimura, J', 'Okamura, J', 'Shibata, K', 'Takahira, H', 'Yufu, Y', 'Kato, S', 'Hirata, J', 'Umemura, T', 'Nawata, H']","['Nishimura J', 'Okamura J', 'Shibata K', 'Takahira H', 'Yufu Y', 'Kato S', 'Hirata J', 'Umemura T', 'Nawata H']","['Third Department of Internal Medicine, Faculty of Medicine, Kyushu University, Fukuoka, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Int J Hematol,International journal of hematology,9111627,IM,"['Cellular Senescence/physiology', 'Fusion Proteins, bcr-abl/*metabolism', 'Granulocytes/*enzymology', 'Humans', 'Protein Tyrosine Phosphatases/*blood']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Int J Hematol. 1991 Dec;54(6):471-8.,,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)']",,,,,,,,,,,,,,
1793735,NLM,MEDLINE,19920403,20131121,1044-9523 (Print) 1044-9523 (Linking),2,8,1991 Aug,Interferon regulatory factor 1 is a myeloid differentiation primary response gene induced by interleukin 6 and leukemia inhibitory factor: role in growth inhibition.,401-7,"To better understand the immediate early genetic response of myeloid cells to terminal differentiation and growth inhibitory stimuli, we have recently isolated complementary DNA clones of myeloid differentiation primary response (MyD) genes, activated in the absence of protein synthesis in M1 myeloid precursor cells following induction for terminal differentiation and growth arrest by conditioned media of mouse lungs, a potent physiological source of hemopoietic differentiation inducers. In this study, it is shown that one particular MyD complementary DNA clone, expressed highly in normal precursor enriched bone marrow cells, encodes for interferon regulatory factor 1 (IRF-1), a positive transcription factor for expression of the beta-interferon (IFN-beta) gene. Using a clone of M1 cells inducible for terminal differentiation by both interleukin 6 (IL-6) and leukemia inhibitory factor (LIF), two multifunctional cytokines recently identified as physiological inducers of hemopoietic cell differentiation, it has been shown that IRF-1 expression is rapidly induced by IL-6 and LIF in the absence of protein synthesis and is followed by a later increase in the levels of IFN-beta mRNA, observed to be largely dependent on protein synthesis. Also, it is shown that the growth inhibition associated with IL-6 or LIF induced terminal differentiation could be partially abrogated via the use of IRF-1 antisense oligomers or IFN-beta antiserum. Taken together, these findings imply a regulatory cascade, where induction of terminal myeloid differentiation by IL-6 or LIF triggers the immediate early activation of IRF-1, leading to the later induction of IFN-beta, in turn playing an autocrine role in growth inhibition.","['Abdollahi, A', 'Lord, K A', 'Hoffman-Liebermann, B', 'Liebermann, D A']","['Abdollahi A', 'Lord KA', 'Hoffman-Liebermann B', 'Liebermann DA']","['Department of Biochemistry and Biophysics, University of Pennsylvania, School of Medicine, Philadelphia 19104.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cell Growth Differ,Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research,9100024,IM,"['Animals', 'Base Sequence', 'Blotting, Northern', 'Bone Marrow/drug effects', 'Bone Marrow Cells', 'Cell Differentiation/drug effects/*genetics', 'Cell Division/drug effects/genetics', 'Cloning, Molecular', 'Cycloheximide/pharmacology', 'DNA-Binding Proteins/biosynthesis/*genetics', 'Gene Expression Regulation/drug effects', 'Growth Inhibitors/*pharmacology', 'Humans', 'Interferon Regulatory Factor-1', 'Interferon-beta/*genetics', 'Interleukin-6/*pharmacology', 'Kinetics', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Mice', 'Molecular Sequence Data', 'Phosphoproteins/biosynthesis/*genetics', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,Cell Growth Differ. 1991 Aug;2(8):401-7.,,"['0 (DNA-Binding Proteins)', '0 (Growth Inhibitors)', '0 (IRF1 protein, human)', '0 (Interferon Regulatory Factor-1)', '0 (Interleukin-6)', '0 (Irf1 protein, mouse)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Phosphoproteins)', '0 (Recombinant Proteins)', '77238-31-4 (Interferon-beta)', '98600C0908 (Cycloheximide)']",,,,,,,,,,,,,,
1793720,NLM,MEDLINE,19920403,20200128,0923-7534 (Print) 0923-7534 (Linking),2,8,1991 Sep,The role of murine tumour models and their acquired platinum-resistant counterparts in the evaluation of novel platinum antitumour agents: a cautionary note.,535-40,"Two murine tumour models, the L1210 leukaemia and the ADJ/PC6 plasmacytoma, have featured prominently in the preclinical development of platinum drugs. Mindful of the unequivocal need to discover new platinum-based drugs exhibiting activity in cisplatin/carboplatin refractory and relapsed cancers, and to devise clinically-predictive screening models, we have generated resistance in vivo in the ADJ/PC6 plasmacytoma to cisplatin (19- to 21-fold), to carboplatin (25-fold), iproplatin (greater than 14-fold) and tetraplatin (10-fold). The chemo-sensitivity profiles of these tumours have been compared with L1210 leukaemia lines resistant to either cisplatin (10-fold) or tetraplatin (34-fold). In cross-resistance studies, the L1210 and ADJ/PC6 resistant variants provided conflicting predictions of structures likely to circumvent cisplatin-acquired resistance. In particular, the L1210/cisplatin resistant model exhibited cross-resistance to carboplatin and iproplatin, whereas the diaminocyclohexane (DACH)-containing complex, tetraplatin, was even more active in the cisplatin resistant tumour than in the 'wild-type' tumour. The ADJ/PC6/cisplatin resistant tumour, however, was cross-resistant, not only to carboplatin and iproplatin, but also to tetraplatin. These data provide an important caveat on the adoption of single acquired resistant animal tumour models for platinum drug development.","['Goddard, P M', 'Valenti, M R', 'Harrap, K R']","['Goddard PM', 'Valenti MR', 'Harrap KR']","['Drug Development Section, Institute of Cancer Research, Sutton, Surrey, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,IM,"['Animals', 'Carboplatin/therapeutic use', 'Cell Line, Transformed', 'Cisplatin/*therapeutic use', 'Drug Resistance', 'Drug Screening Assays, Antitumor', 'Female', 'Leukemia/drug therapy', 'Melphalan/pharmacology', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/drug therapy', 'Organoplatinum Compounds/pharmacology/therapeutic use', 'Plasmacytoma/drug therapy']",1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Ann Oncol. 1991 Sep;2(8):535-40. doi: 10.1093/oxfordjournals.annonc.a058017.,"['10.1093/oxfordjournals.annonc.a058017 [doi]', 'S0923-7534(20)30630-X [pii]']","['0 (Organoplatinum Compounds)', '52351-07-2 (platinum(II) 1,2-diaminocyclohexane malonate)', '5R9F9NE9Z2 (iproplatin)', 'BG3F62OND5 (Carboplatin)', 'Q20Q21Q62J (Cisplatin)', 'Q41OR9510P (Melphalan)', 'SFK1SGY8V1 (ormaplatin)']",,,,,,,,,,,,,,
1793355,NLM,MEDLINE,19920330,20041117,0003-9764 (Print) 0003-9764 (Linking),48,10,1991 Dec,[Congenital long QT syndrome disclosed during the induction treatment of acute promyelocytic leukemia].,739-40,,"['Tabone, M D', 'Gouraud, F', 'Tillous-Borde, I', 'Couprie, C', 'Leverger, G']","['Tabone MD', 'Gouraud F', 'Tillous-Borde I', 'Couprie C', 'Leverger G']",,['fre'],"['Case Reports', 'Letter']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,IM,"['Child', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Long QT Syndrome/*congenital/physiopathology', 'Male']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1991 Dec;48(10):739-40.,,,Syndrome du QT long congenital revele lors du traitement d'induction d'une leucemie aigue promyelocytaire.,,,,,,,,,,,,,
1793349,NLM,MEDLINE,19920330,20141120,0003-9764 (Print) 0003-9764 (Linking),48,10,1991 Dec,[Early neurotoxicity of high-dose of methotrexate and tetrahydrobiopterin deficiency].,719-22,"Transient neurologic dysfunction associated with high-dose methotrexate and citrovorum factor rescue (MTX-CF) has been previously reported. At the biochemical level, there are at least two important pathways in central nervous system metabolism which might be disturbed by MTX: MTX may deplete the cell of the de novo synthesis of purine nucleotides and thymidylate through its action on dihydrofolate reductase (DHFR), and also inhibit dihydropteridine reductase (DHPR), an enzyme maintaining the cofactor of phenylalanine-hydroxylase in its active tetrahydrogenated form (tetrahydrobiopterin), and hence interfere with the supply of the neurotransmitters derived from tyrosine and tryptophan. We describe such a neurologic disease in a patient with acute lymphoblastic leukemia (ALL) receiving chemotherapy. Significant increase in cerebrospinal fluid biopterins supports the hypothesis of an inhibition of dihydropteridine reductase by MTX, and provides additional suggestions in terms of etiology, diagnosis and treatment.","['Netter, J C', 'Dhondt, J L', 'Rance, F', 'Petrus, M']","['Netter JC', 'Dhondt JL', 'Rance F', 'Petrus M']","['Service de Pediatrie, CHIC, Lille.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,IM,"['Biopterin/*analogs & derivatives/deficiency', 'Child', 'Humans', 'Male', 'Methotrexate/administration & dosage/*adverse effects', 'Nervous System Diseases/*chemically induced', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Arch Fr Pediatr. 1991 Dec;48(10):719-22.,,"['22150-76-1 (Biopterin)', 'EGX657432I (sapropterin)', 'YL5FZ2Y5U1 (Methotrexate)']",Neurotoxicite precoce du methotrexate a haute dose et deficit en tetrahydrobiopterine.,,,,,,,,,,,,,
