PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AID,PMC,CIN,GR,GS,EIN,SI,RF,TT,CON,MID,OID
1721291,NLM,MEDLINE,19920122,20131121,0041-1345 (Print) 0041-1345 (Linking),23,6,1991 Dec,Growth inhibition of the MOLT-4 human T-leukemia cell line. A comparison of cyclosporine and FK 506.,2831-2,"['McLachlan, G', 'Thomson, A W', 'Wallace, H M']","['McLachlan G', 'Thomson AW', 'Wallace HM']","['Department of Medicine, Medical School, University of Aberdeen, Scotland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Transplant Proc,Transplantation proceedings,0243532,"['83HN0GTJ6D (Cyclosporine)', 'WM0HAQ4WNM (Tacrolimus)']",IM,"['Cell Division/*drug effects', 'Cell Line', 'Cyclosporine/*pharmacology', 'Dose-Response Relationship, Drug', 'Humans', 'Kinetics', 'Leukemia, T-Cell', 'Tacrolimus/*pharmacology']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Transplant Proc. 1991 Dec;23(6):2831-2.,,,,,,,,,,,,,
1721142,NLM,MEDLINE,19920123,20190726,0147-8389 (Print) 0147-8389 (Linking),14,11 Pt 1,1991 Nov,Cardiac pacing in unilateral left superior vena cava: evaluation by digital angiography.,1566-7,"['Villani, G Q', 'Piepoli, M', 'Quaretti, P', 'Dieci, G']","['Villani GQ', 'Piepoli M', 'Quaretti P', 'Dieci G']","['Department of Cardiology, General Hospital, Piacenza, Italy.']",['eng'],"['Case Reports', 'Journal Article']",United States,Pacing Clin Electrophysiol,Pacing and clinical electrophysiology : PACE,7803944,,IM,"['Aged', 'Angiography, Digital Subtraction', 'Heart Block/complications/*therapy', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications', 'Male', '*Pacemaker, Artificial', 'Vena Cava, Superior/*abnormalities/diagnostic imaging']",1991/11/01 00:00,1991/11/01 00:01,['1991/11/01 00:00'],"['1991/11/01 00:00 [pubmed]', '1991/11/01 00:01 [medline]', '1991/11/01 00:00 [entrez]']",ppublish,Pacing Clin Electrophysiol. 1991 Nov;14(11 Pt 1):1566-7. doi: 10.1111/j.1540-8159.1991.tb02728.x.,"In a patient with complete heart block and chronic lymphocytic leukemia a pacemaker lead could not be introduced from either the right or left subclavian vein. Digital subtraction angiography excluded a neoplastic mediastinal mass, demonstrated a unilateral left superior vena cava and defined the best route for lead insertion.",['10.1111/j.1540-8159.1991.tb02728.x [doi]'],,,,,,,,,,,
1721040,NLM,MEDLINE,19920121,20181113,0019-2805 (Print) 0019-2805 (Linking),74,2,1991 Oct,"Expression of the CDw75 (beta-galactoside alpha 2,6-sialyltransferase) antigen on normal blood cells and in B-cell chronic lymphocytic leukaemia.",206-14,"['Guy, K', 'Andrew, J M']","['Guy K', 'Andrew JM']","['MRC Human Genetics Unit, Western General Hospital, Edinburgh, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (Epitopes)', '0 (Histocompatibility Antigens)', '0 (Sialic Acids)', 'EC 2.4.99.- (Sialyltransferases)', 'EC 2.4.99.1 (beta-D-galactoside alpha 2-6-sialyltransferase)', 'EC 3.1.3.48 (Leukocyte Common Antigens)', 'GZP2782OP0 (N-Acetylneuraminic Acid)']",IM,"['Antigens, CD/*analysis', 'Antigens, Neoplasm/*analysis', 'Burkitt Lymphoma/immunology', 'Epitopes/chemistry', 'Erythrocytes/*immunology', 'Histocompatibility Antigens/analysis', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology', 'Leukocyte Common Antigens', 'Lymphocyte Activation/immunology', 'Lymphocyte Subsets/immunology', 'N-Acetylneuraminic Acid', 'Sialic Acids/analysis', 'Sialyltransferases/*analysis']",1991/10/01 00:00,1991/10/01 00:01,['1991/10/01 00:00'],"['1991/10/01 00:00 [pubmed]', '1991/10/01 00:01 [medline]', '1991/10/01 00:00 [entrez]']",ppublish,Immunology. 1991 Oct;74(2):206-14.,"Using monoclonal antibodies (mAb) characterized at the last International Workshop on Human Leucocyte Antigens, we examined the expression of CDw75 antigens (beta-galactoside alpha 2,6-sialyltransferase) on normal peripheral blood cells and on cells from patients with B-cell chronic lymphocytic leukaemia (CLL). The mAb used (HH2, EBU.65, EBU.141 and OKB4) detect different epitopes of CDw75. Normal peripheral blood B cells expressed high levels of CDw75 detectable with HH2, EBU.65 and EBU.141 but did not react with OKB4. Cells from patients with B-cell CLL closely resembled normal B cells. All CDw75 epitopes, including OKB4, were strongly expressed on some Namalwa variant Burkitt lymphoma cell lines. The OKB4 epitope was also present on red cells from all normal donors. The other CDw75 mAb were unreactive with red cells from some normal donors. The CDw75 epitope detected with EBU.65 was present on most CD4+ T cells and on a minority of CD8+ cells. HH2 and EBU.141 stained only small numbers of T lymphocytes. OKB4 did not react with T cells. EBU.65+, CD4+ T cells had low levels of expression of CD45R0, CD29, CD54 and CD58, and had high levels of CD45RA antigen. Phytohaemagglutinin (PHA) activation of cells led to the loss of EBU.65 binding. These results suggest that the CDw75 epitope recognized by the EBU.65 mAb is a marker of native T lymphocytes. On B CLL cells the epitopes detected with HH2, EBU.65 and EBU.141 were destroyed by treatment with neuraminidase. Treatment of B-CLL cells and red cells with neuraminidase increased the binding of OKB4, suggesting that this epitope is masked by sialic acid. The results suggest that CDw75 is a sialylated cell-surface antigen expressed in a number of tissue-specific isoforms.",,PMC1384594,,,,,,,,,,
1721027,NLM,MEDLINE,19920123,20141120,0014-2980 (Print) 0014-2980 (Linking),21,12,1991 Dec,The ligand recognized by ELAM-1 on HL60 cells is not carried by N-linked oligosaccharides.,3057-9,"['Leeuwenberg, J F', 'Tan, A', 'Jeunhomme, T M', 'Ploegh, H L', 'Buurman, W A']","['Leeuwenberg JF', 'Tan A', 'Jeunhomme TM', 'Ploegh HL', 'Buurman WA']","['Department of Surgery, University of Limburg, Maastricht, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Cell Adhesion Molecules)', '0 (E-Selectin)', '0 (Glycoconjugates)', '0 (Ligands)', 'EC 3.2.1.- (Mannosidases)']",IM,"['Cell Adhesion', 'Cell Adhesion Molecules/*metabolism', 'E-Selectin', 'Glycoconjugates/*metabolism', 'Glycosylation', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/*metabolism', 'Ligands', 'Mannosidases/antagonists & inhibitors', 'Tumor Cells, Cultured']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Eur J Immunol. 1991 Dec;21(12):3057-9. doi: 10.1002/eji.1830211225.,"The sialyl Lewis-x determinant is a ligand for ELAM-1, a major adhesion molecule for HL60 cells and neutrophils. ELAM-1 expression can selectively be induced on human umbilical vein endothelial cells (HUVEC) by tumor necrosis factor, interleukin 1 and lipopolysaccharide. The determinant sialyl Lewis-x is found on both glycolipids as well as on glycoproteins. Using specific inhibitors of the biosynthesis of N-linked glycosylated glycoproteins, we investigated whether N-linked glycans or their modifications are involved in ELAM-1-dependent adhesion of HL60 cells to activated HUVEC. The inhibitors of glycoprotein processing N-methyl-deoxynojirimycin, 1-deoxymannojirimycin and swainsonine did not affect ELAM-1-dependent adhesion. Complex-type N-linked glycans are not required for ELAM-1 mediated adhesion, and therefore the ligand for ELAM-1 is most likely a glycolipid, or a glycoprotein carrying O-linked oligosaccharides.",['10.1002/eji.1830211225 [doi]'],,,,,,,,,,,
1721010,NLM,MEDLINE,19920121,20190510,0009-9104 (Print) 0009-9104 (Linking),86,3,1991 Dec,Urinary excretion of CD23 antigen in normal individuals and patients with chronic lymphocytic leukaemia (CLL),360-6,"['Ling, N R', 'Stevenson, F K', 'Brown, B']","['Ling NR', 'Stevenson FK', 'Brown B']","['Department of Immunology, School of Medical Science, Birmingham, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Epitopes)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '37341-29-0 (Immunoglobulin E)']",IM,"['Antibodies, Monoclonal', 'Antigens, Differentiation, B-Lymphocyte/chemistry/*immunology', 'Chromatography, Affinity', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Electrophoresis, Polyacrylamide Gel', 'Epitopes/analysis', 'Humans', 'Immunoglobulin E/metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/*urine', 'Molecular Weight', 'Receptors, Fc/chemistry/*immunology', 'Receptors, IgE']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Clin Exp Immunol. 1991 Dec;86(3):360-6. doi: 10.1111/j.1365-2249.1991.tb02938.x.,"A soluble form of CD23 (sCD23) was found in the urine from 12 normal individuals but was not present in 20 normal sera, suggesting that sCD23 produced by cells in tissues is eliminated in the urine. The sCD23 from urine differed in physicochemical properties from the sCD23 found in supernates from B-lymphoblastoid cell lines (B-LCL) and in the sera of patients with B type chronic lymphocytic leukaemia (B-CLL). On SDS-PAGE analysis under reducing conditions urinary sCD23 showed two bands corresponding to molecular weights of 45-60 kD and 28-35 kD indicating that sCD23 may be excreted in combination with another molecule. When subjected to gel filtration in its native state, sCD23 from urine showed a major peak at approximately 150 kD and a minor peak (probably a breakdown product) at 21 kD. Urinary sCD23 was more strongly held by DEAE-cellulose and required 0.5 M buffer pH 8.0 for elution, suggesting that it is more anionic than sCD23 from culture supernates. Five MoAbs recognizing different epitopes on sCD23 from B-LCL supernates were tested on urinary sCD23. Four of the MoAbs were reactive but one (EBVCS-1) was not. Urinary sCD23 did not bind to IgE. The level of sCD23 found in normal urine (approximately 0.02-0.05 micrograms/ml) was exceeded in 17 of 24 cases of B-CLL. In one case with a high cell count and a serum concentration of 10 micrograms/ml, the urine contained 80 micrograms/ml sCD23. In another case a high serum sCD23 was not matched by a high urinary level. In this case the gel filtration pattern was closer to that found with urine sCD23 rather than the B-LCL pattern found with sera of other B-CLL patients.",['10.1111/j.1365-2249.1991.tb02938.x [doi]'],PMC1554202,['Clin Exp Immunol. 1991 Dec;86(3):356-9. PMID: 1836159'],,,,,,,,,
1721002,NLM,MEDLINE,19920123,20131121,0376-2491 (Print) 0376-2491 (Linking),71,8,1991 Aug,[Granulocyte differentiation of human promyelocytic leukemic cells induced by coordinate action of granulocyte colony stimulating factor and retinoic acid].,"421-4, 30","['Huang, F']",['Huang F'],,['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5688UTC01R (Tretinoin)']",IM,"['Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Granulocyte Colony-Stimulating Factor/*pharmacology', 'Granulocytes/cytology', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Leukemia, Myelomonocytic, Acute/pathology', 'Leukemia, Promyelocytic, Acute/*pathology', 'Recombinant Proteins/pharmacology', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured/drug effects']",1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,"Zhonghua Yi Xue Za Zhi. 1991 Aug;71(8):421-4, 30.","We analysed the effects of recombinant human G-CSF (rhG-CSF) and retinoic acid (RA) on proliferation and differentiation of HL-60 cells and human acute myeloid leukemic (AML) cells. A synergistic effect on granulocyte differentiation was observed when HL-60 cells and primary cultured acute promyelocyte leukemic cells were cocultured with 10(-8)mol/L RA plus 1:2000 or 1:1000 rhG-CSF. The rhG-CSF plus RA treated cells demonstrated significant increase in the percentage of mature cells. Morphological changes and nitroblue tetrazolium (NBT) reduction activity evidenced more increase than RA treatment alone (P less than 0.001). The results suggest that RA not only inhibits the proliferative action of G-CSF, but also retains and enhances the action of G-CSF to induce differentiation. Therefore, we believe that the combined use of G-CSF with RA may improve the treatment of leukemia.",,,,,,,,,,,,
1720710,NLM,MEDLINE,19920115,20190827,0344-5704 (Print) 0344-5704 (Linking),29,1,1991,Intensive chemotherapy for adult lymphoblastic lymphomas.,80-2,"['Liang, R', 'Todd, D', 'Chan, T K', 'Chiu, E', 'Lie, A', 'Ho, F C', 'Loke, S L']","['Liang R', 'Todd D', 'Chan TK', 'Chiu E', 'Lie A', 'Ho FC', 'Loke SL']","['Department of Medicine, University of Hong Kong, Queen Mary Hospital.']",['eng'],['Journal Article'],Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['11056-06-7 (Bleomycin)', '5J49Q6B70F (Vincristine)', '7S5I7G3JQL (Dexamethasone)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'Q573I9DVLP (Leucovorin)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'CHOP-B protocol', 'M-BACOD protocol']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bleomycin/administration & dosage/adverse effects', 'Cyclophosphamide/administration & dosage/adverse effects', 'Dexamethasone/administration & dosage/adverse effects', 'Doxorubicin/administration & dosage/adverse effects', 'Female', 'Humans', 'Leucovorin/administration & dosage/adverse effects', 'Male', 'Methotrexate/administration & dosage/adverse effects', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prednisone/administration & dosage/adverse effects', 'Remission Induction', 'Vincristine/administration & dosage/adverse effects']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1991;29(1):80-2. doi: 10.1007/BF00686341.,"A total of 20 adults patients presenting with previously untreated lymphoblastic lymphoma underwent an intensive chemotherapy protocol. Either the BACOP or the m-BACOD regimen was used for induction. If the patients achieved a complete clinical remission (CR) after three courses, they were given intensive consolidation and maintenance chemotherapy based on a protocol that was modified from the L10/L17M regimen of the Memorial Sloan-Kettering group for acute lymphoblastic leukaemia and lymphoblastic lymphoma. Patients exhibiting localised areas of bulky disease were given additional involved-field radiotherapy. In all, 15 (75%) men and 5 (25%) women were entered in this study. Their median age was 28 years (mean, 30 years; range, 12-64 years). Overall, 3 (15%) had stage II disease, 3 (15%) had stage III disease and 14 (70%) had stage IV disease; 7 (35%) patients exhibited B symptoms and 4 (20%) had bulky disease. The overall (CR) rate was 10/20 (20%), and that following BACOP and m-BACOD therapy was 4/8 (50%) and 6/12 (50%), respectively. In all, 7 of the 10 complete responders (70%) relapsed. The disease-free survival of the ten who achieved a CR was 23% at 3 years. The overall survival of all 20 patients at 3 years was only 37%, and there were very few long-term survivors. More effective treatment for adult lymphoblastic lymphoma is required.",['10.1007/BF00686341 [doi]'],,,,,,,,,,,
1720696,NLM,MEDLINE,19920116,20211203,0006-4971 (Print) 0006-4971 (Linking),78,12,1991 Dec 15,c-kit expression by CD34+ bone marrow progenitors and inhibition of response to recombinant human interleukin-3 following exposure to c-kit antisense oligonucleotides.,3186-91,"['Catlett, J P', 'Leftwich, J A', 'Westin, E H', 'Grant, S', 'Huff, T F']","['Catlett JP', 'Leftwich JA', 'Westin EH', 'Grant S', 'Huff TF']","['Department of Hematology/Oncology, Medical College of Virginia, Richmond 23298.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (Interleukin-3)', '0 (MAS1 protein, human)', '0 (Oligonucleotides, Antisense)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (Recombinant Proteins)', '63231-63-0 (RNA)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', '9007-49-2 (DNA)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Antigens, CD/*analysis', 'Antigens, CD34', 'Base Sequence', '*Bone Marrow Cells', 'Cell Division', 'DNA/chemistry', 'Female', '*Gene Expression', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology', 'Hematopoietic Stem Cells/immunology/*metabolism', 'Humans', 'Interleukin-3/*pharmacology', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Molecular Sequence Data', 'Oligonucleotides, Antisense/chemistry/pharmacology', 'Polymerase Chain Reaction', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-kit', 'RNA/genetics/isolation & purification', 'Recombinant Proteins/pharmacology', 'Transcription, Genetic']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']",ppublish,Blood. 1991 Dec 15;78(12):3186-91.,"The c-kit proto-oncogene encodes a receptor having tyrosine-specific kinase activity and has been mapped to chromosome 4 in the human and chromosome 5 in the mouse, at the dominant white spotting locus (W). Mutations at the W locus affect various aspects of murine hematopoiesis. The c-kit proto-oncogene has been shown to be expressed by leukemic myeloblasts, but not by normal unseparated human bone marrow cells. The role of this oncogene in differentiation and proliferation of human hematopoietic progenitors is presently undefined. To determine c-kit expression by normal hematopoietic progenitors, CD34+ cells were isolated from disease-free human bone marrow, and RNA-based polymerase chain reaction (PCR) techniques were used to assess expression. By this method, we have demonstrated c-kit expression by CD34+ bone marrow progenitors. To address the functional requirement for c-kit expression in normal human hematopoiesis, CD34+ cells were incubated in the presence of sense, antisense, or missense oligonucleotides to c-kit, and subsequently cultured in the presence of either recombinant human granulocyte-macrophage colony-stimulating factor (rhGM-CSF) or recombinant human interleukin-3 (rhIL-3). Exposure of CD34+ cells to c-kit antisense oligonucleotides significantly inhibited colony-forming ability of cells cultured in the presence of rhIL-3, but had no effect on colony formation of cells cultured in rhGM-CSF. Together, these data suggest a possible role for c-kit in hematopoietic proliferation and differentiation that may be linked to some, but not all, stimulatory factors.",['S0006-4971(20)65797-4 [pii]'],,,"['CA-16059/CA/NCI NIH HHS/United States', 'P50AI28532/AI/NIAID NIH HHS/United States', 'R01AI25537/AI/NIAID NIH HHS/United States']",['c-kit'],,,,,,,
1720640,NLM,MEDLINE,19920115,20191021,0163-4984 (Print) 0163-4984 (Linking),30,3,1991 Sep,Changes of zinc values in children during malignant disease.,197-204,"['Van Wouwe, J P', 'van Zuylen, L']","['Van Wouwe JP', 'van Zuylen L']","['Department of Pediatrics, State University, Leiden, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biol Trace Elem Res,Biological trace element research,7911509,['J41CSQ7QDS (Zinc)'],IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Female', 'Growth', 'Hair/metabolism', 'Humans', 'Infant', 'Male', 'Neoplasms/*metabolism/pathology/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/metabolism/pathology/therapy', 'Zinc/*metabolism']",1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Biol Trace Elem Res. 1991 Sep;30(3):197-204. doi: 10.1007/BF02991414.,"In 47 children with malignancy, zinc status, growth, and performance during standard treatment were compared with those in controls. At diagnosis, growth was retarded and hair zinc values were high, 2.4 +/- 0.7 mumol/g, as in chronic deficiency. During induction therapy, serum declined to 10.4 +/- 2.3 mumol/L and urinary excretion increased to 5.3 +/- 2.8 mumol/mol creatinine, as in acute exacerbation of deficiency. Control CSF values in children in remission, 0.04 +/- 0.01 mumol/L, were lower than reference values in adults. No difference in mean CSF zinc was observed during therapy, or in those with acute lymphoblastic leukemia (1) at high risk, (2) with central nervous system involvement, (3) with low performance, or (4) resistant to therapy. In six children unexplained values, up to 0.28 mumol/L during induction, were measured. No correlations between the various zinc parameters were found.",['10.1007/BF02991414 [doi]'],,,,,,,,,,,
1720570,NLM,MEDLINE,19920108,20190618,0036-8075 (Print) 0036-8075 (Linking),254,5036,1991 Nov 29,Characterization of a zinc finger gene disrupted by the t(15;17) in acute promyelocytic leukemia.,1371-4,"['Goddard, A D', 'Borrow, J', 'Freemont, P S', 'Solomon, E']","['Goddard AD', 'Borrow J', 'Freemont PS', 'Solomon E']","['Somatic Cell Genetics Laboratory, Imperial Cancer Research Fund, London, United Kingdom.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Science,"Science (New York, N.Y.)",0404511,"['0 (Carrier Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (RNA, Messenger)', '0 (Receptors, Retinoic Acid)', '0 (Transcription Factors)', '24937-83-5 (Poly A)', '63231-63-0 (RNA)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Carrier Proteins/genetics', '*Chromosomes, Human, Pair 15', '*Chromosomes, Human, Pair 17', 'Cloning, Molecular', 'Gene Library', '*Gene Rearrangement', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Poly A/blood/genetics/isolation & purification', 'RNA/blood/genetics/isolation & purification', 'RNA, Messenger', 'Receptors, Retinoic Acid', 'Sequence Homology, Nucleic Acid', 'Transcription Factors/genetics', '*Translocation, Genetic', 'Zinc Fingers/*genetics']",1991/11/29 00:00,1991/11/29 00:01,['1991/11/29 00:00'],"['1991/11/29 00:00 [pubmed]', '1991/11/29 00:01 [medline]', '1991/11/29 00:00 [entrez]']",ppublish,Science. 1991 Nov 29;254(5036):1371-4. doi: 10.1126/science.1720570.,"The translocation t(15;17) associated with acute promyelocytic leukemia results in the fusion of the retinoic acid receptor alpha (RARA) gene to the PML gene. Characterization of PML revealed that it is a putative zinc finger protein and potential transcription factor that is commonly expressed, with at least three major transcription products. PML breakpoints cluster in two regions on either side of an alternatively spliced exon. Although leukemic cells with translocations characteristically express only one fusion product, both PML/RARA (on the 15q+ derivative chromosome) and RARA/PML (on the 17q- derivative) are transcribed.",['10.1126/science.1720570 [doi]'],,,,"['PML', 'RARA']",,,,,,,
