PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,AB,AD,GR,CIN,TT,RF,GS,CON,PMC,EIN,SI,RIN,MID,OID,OAB,OABL,OTO,OT,GN,IR,FIR,IRAD,CN
1619337,NLM,MEDLINE,19920805,20151119,0021-5384 (Print) 0021-5384 (Linking),81,4,1992 Apr 10,[Autopsy case of palatal granulocytic sarcoma preceding the development of a tumor].,564-6,"['Tanba, A', 'Kido, K', 'Niwakawa, M', 'Ando, A', 'Hodohara, Y', 'Fujiyama, Y', 'Chujyo, S', 'Baba, T', 'Hosata, S']","['Tanba A', 'Kido K', 'Niwakawa M', 'Ando A', 'Hodohara Y', 'Fujiyama Y', 'Chujyo S', 'Baba T', 'Hosata S']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)']",IM,"['Antigens, CD/analysis', 'Biomarkers, Tumor/analysis', 'Bone Marrow/pathology', 'Humans', 'Leukemia, Myeloid, Acute/diagnosis/*pathology', 'Male', 'Middle Aged', 'Palatal Neoplasms/diagnosis/*pathology']",1992/04/10 00:00,1992/04/10 00:01,['1992/04/10 00:00'],"['1992/04/10 00:00 [pubmed]', '1992/04/10 00:01 [medline]', '1992/04/10 00:00 [entrez]']",ppublish,Nihon Naika Gakkai Zasshi. 1992 Apr 10;81(4):564-6.,,,,,,,,,,,,,,,,,,,,,,,,
1619268,NLM,MEDLINE,19920806,20190918,0899-823X (Print) 0899-823X (Linking),13,6,1992 Jun,Heliport-associated nosocomial mucormycoses.,325-6,"['Abzug, M J', 'Gardner, S', 'Glode, M P', 'Cymanski, M', 'Roe, M H', 'Odom, L F']","['Abzug MJ', 'Gardner S', 'Glode MP', 'Cymanski M', 'Roe MH', 'Odom LF']",['eng'],['Letter'],United States,Infect Control Hosp Epidemiol,Infection control and hospital epidemiology,8804099,,IM,"['*Aircraft', 'Cross Infection/*etiology', '*Disease Outbreaks', '*Hospital Design and Construction', 'Humans', 'Leukemia/complications', 'Mucormycosis/*etiology', 'Oncology Service, Hospital', 'Risk Factors', 'Ventilation']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",ppublish,Infect Control Hosp Epidemiol. 1992 Jun;13(6):325-6. doi: 10.1086/646538.,['10.1086/646538 [doi]'],,,,,,,,,,,,,,,,,,,,,,,
1619103,NLM,MEDLINE,19920806,20190817,0022-006X (Print) 0022-006X (Linking),60,3,1992 Jun,Deterioration of intellect among children surviving leukemia: IQ test changes modify estimates of treatment toxicity.,477-80,"['Mulhern, R K', 'Ochs, J', 'Fairclough, D']","['Mulhern RK', 'Ochs J', 'Fairclough D']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Consult Clin Psychol,Journal of consulting and clinical psychology,0136553,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Age Factors', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Intelligence/*physiology', 'Male', 'Methotrexate/therapeutic use/*toxicity', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/physiopathology/psychology', 'Wechsler Scales']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",ppublish,J Consult Clin Psychol. 1992 Jun;60(3):477-80. doi: 10.1037//0022-006x.60.3.477.,['10.1037//0022-006x.60.3.477 [doi]'],"This study assessed the association of young age at treatment, cranial irradiation, and time since treatment with intellectual deterioration among 49 long-term survivors of childhood leukemia. Ss had been randomized to receive low-dose cranial radiation therapy or high-dose chemotherapy. Longitudinal assessments of intellect were conducted. No significant effects of treatment group or age at treatment were detected. A small but statistically significant decline in mean full-scale IQ was noted over time (M = -3.6). Reanalysis with IQ test version included as a covariate eliminated IQ declines found initially. Results suggest (a) that there has been reduced toxicity of these methods of treatment and (b) that the magnitude and direction of error introduced by changing tests may approximate the magnitude of adverse effects on IQ from treatment.","[""Division of Psychology, St. Jude Children's Research Hospital, Memphis, Tennessee 38101.""]","['CA 20180/CA/NCI NIH HHS/United States', 'CA 21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,,,
1618924,NLM,MEDLINE,19920804,20131121,0021-9541 (Print) 0021-9541 (Linking),152,1,1992 Jul,Leukemia inhibitory factor/differentiation-stimulating factor (LIF/D-factor): regulation of its production and possible roles in bone metabolism.,71-8,"['Ishimi, Y', 'Abe, E', 'Jin, C H', 'Miyaura, C', 'Hong, M H', 'Oshida, M', 'Kurosawa, H', 'Yamaguchi, Y', 'Tomida, M', 'Hozumi, M']","['Ishimi Y', 'Abe E', 'Jin CH', 'Miyaura C', 'Hong MH', 'Oshida M', 'Kurosawa H', 'Yamaguchi Y', 'Tomida M', 'Hozumi M', 'et al.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Cell Physiol,Journal of cellular physiology,0050222,"['0 (Growth Inhibitors)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lipopolysaccharides)', '0 (Lymphokines)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factor-alpha)', '5688UTC01R (Tretinoin)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/metabolism', 'Animals', 'Arthritis, Rheumatoid/metabolism/pathology/physiopathology', 'Bone Resorption/metabolism/pathology/physiopathology', 'Bone and Bones/embryology/*metabolism/*physiology', 'Cells, Cultured', 'Dose-Response Relationship, Drug', 'Female', 'Growth Inhibitors/genetics/*metabolism/*physiology', 'Interleukin-1/pharmacology', 'Interleukin-6/pharmacology', 'Leukemia Inhibitory Factor', 'Lipopolysaccharides/physiology', 'Lymphokines/genetics/*metabolism/*physiology', 'Mice', 'Mice, Inbred C57BL', 'Osteoarthritis/metabolism/pathology/physiopathology', 'Osteoblasts/cytology/metabolism/physiology', 'Pregnancy', 'RNA, Messenger/analysis/genetics', 'Synovial Fluid/chemistry', 'Tretinoin/pharmacology', 'Tumor Necrosis Factor-alpha/pharmacology']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,J Cell Physiol. 1992 Jul;152(1):71-8. doi: 10.1002/jcp.1041520110.,['10.1002/jcp.1041520110 [doi]'],"Leukemia inhibitory factor/differentiation-stimulating factor (LIF/D-factor), expression of its mRNA, and possible roles in bone metabolism were studied in murine primary and clonal osteoblast-like cells. Local bone-resorbing factors such as IL-1, TNF alpha, and LPS strongly induced expression of LIF/D-factor mRNA in both clonal MC3T3-E1 cells and primary osteoblast-like cells. Neither parathyroid hormone nor 1 alpha,25-dihydroxyvitamin D3 stimulated expression of LIF/D-factor mRNA. LIF/D-factor per se did not stimulate expression of its own mRNA. Appreciable amounts of LIF/D-factor were detected in synovial fluids from rheumatoid arthritis (RA) patients but not in those with osteoarthritis (OA). Simultaneous treatment with LIF/D-factor, IL-1, and IL-6 at the concentrations found in synovial fluids from RA patients greatly enhanced bone resorption, though these cytokines did not stimulate bone resorption when separately applied. This suggests that LIF/D-factor produced by osteoblasts is in concert with other bone-resorbing cytokines such as IL-1 and IL-6 involved in the bone resorption seen in the joints of RA patients. LIF/D-factor specifically bound to MC3T3-E1 cells with an apparent dissociation constant of 161 pM and 1,100 binding sites/cell. LIF/D-factor dose-dependently suppressed incorporation of [3H]thymidine into MC3T3-E1 cells. In addition, it potentiated the alkaline phosphatase activity induced by retinoic acid, though LIF/D-factor alone had no effect on enzyme activity. These results suggest that LIF/D-factor is involved in not only osteoclastic bone resorption but also osteoblast differentiation in conjugation with other osteotropic factors.","['Department of Biochemistry, School of Dentistry, Showa University, Tokyo, Japan.']",,,,,,,,,,,,,,,,,,,,,
1618662,NLM,MEDLINE,19920806,20190708,0360-3016 (Print) 0360-3016 (Linking),23,4,1992,Adjuvant chemotherapy for resectable squamous cell carcinomas of the head and neck: report on Intergroup Study 0034.,705-13,"['Laramore, G E', 'Scott, C B', 'al-Sarraf, M', 'Haselow, R E', 'Ervin, T J', 'Wheeler, R', 'Jacobs, J R', 'Schuller, D E', 'Gahbauer, R A', 'Schwade, J G']","['Laramore GE', 'Scott CB', 'al-Sarraf M', 'Haselow RE', 'Ervin TJ', 'Wheeler R', 'Jacobs JR', 'Schuller DE', 'Gahbauer RA', 'Schwade JG', 'et al.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",United States,Int J Radiat Oncol Biol Phys,"International journal of radiation oncology, biology, physics",7603616,"['Q20Q21Q62J (Cisplatin)', 'U3P01618RT (Fluorouracil)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Carcinoma, Squamous Cell/*drug therapy/radiotherapy/surgery', 'Chemotherapy, Adjuvant', 'Cisplatin/administration & dosage', 'Fluorouracil/administration & dosage', 'Head and Neck Neoplasms/*drug therapy/radiotherapy/surgery', 'Humans', 'Radiotherapy/adverse effects', 'Random Allocation', 'Survival Analysis', 'Survival Rate']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Int J Radiat Oncol Biol Phys. 1992;23(4):705-13. doi: 10.1016/0360-3016(92)90642-u.,"['0360-3016(92)90642-U [pii]', '10.1016/0360-3016(92)90642-u [doi]']","To test the efficacy of sequential chemotherapy as an adjuvant to surgery and postoperative radiotherapy for patients with locally-advanced but operable squamous cell cancers of the head and neck region, a randomized clinical trial was conducted under the auspices of the Head and Neck Intergroup (Radiation Therapy Oncology Group, Southwest Oncology Group, Eastern Oncology Group, Cancer and Leukemia Group B, Northern California Oncology Group, and Southeast Group). Eligible patients had completely resected tumors of the oral cavity, oropharynx, hypopharynx, or larynx. They were then randomized to receive either three cycles of cis-platinum and 5-FU chemotherapy followed by postoperative radiotherapy (CT/RT) or postoperative radiotherapy alone (RT). Patients were categorized as having either ""low-risk"" or ""high-risk"" treatment volumes depending on whether the surgical margin was greater than or equal to 5 mm, there was extracapsular nodal extension, and/or there was carcinoma-in-situ at the surgical margins. Radiation doses of 50-54 Gy were given to ""low-risk"" volumes and 60 Gy were given to ""high-risk"" volumes. A total of 442 analyzable patients were entered into this study with the mean-time-at-risk being 45.7 months at the time of the present analysis. The 4-year actuarial survival rate was 44% on the RT arm and 48% on the CT/RT arm (p = n.s.). Disease-free survival at 4 years was 38% on the RT arm compared to 46% on the CT/RT arm (p = n.s.). At 4 years the local/regional failure rate was 29% vs. 26% for the RT and CT/RT arms, respectively (p = n.s.). The incidence of first failure in the neck nodes was 10% on the RT arm compared to 5% on the CT/RT arm (p = 0.03 without adjusting for multiple testing) and the overall incidence of distant metastases was 23% on the RT arm compared to 15% on the CT/RT arm (p = 0.03). Treatment related toxicity is discussed in detail, but, in general, the chemotherapy was satisfactorily tolerated and did not affect the ability to deliver the subsequent radiotherapy. Implications for future clinical trials are discussed.","['Department of Radiation Oncology, University of Washington Medical Center, Seattle 98195.']",,['Int J Radiat Oncol Biol Phys. 1992;23(4):885-6. PMID: 1618679'],,,,,,,,,,,,,,,,,,,
1618379,NLM,MEDLINE,19920806,20200713,0234-5730 (Print) 0234-5730 (Linking),37,1,1992 Jan,[Splenectomy in the treatment of chronic forms of lympholeukemia].,28-30,"['Epifanov, N S']",['Epifanov NS'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,,IM,"['Humans', 'Leukemia, Lymphoid/*surgery', '*Splenectomy']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Gematol Transfuziol. 1992 Jan;37(1):28-30.,,,,,,Splenektomiia pri lechenii khronicheskikh form limfoleikoza.,37,,,,,,,,,,,,,,,,,
1618378,NLM,MEDLINE,19920806,20200713,0234-5730 (Print) 0234-5730 (Linking),37,1,1992 Jan,[Expression of glucocorticoid receptors and blast cell clearance in children with different variants of acute lymphoblastic leukemia].,25-8,"['Torubarova, N A', ""Kopyl'tsova, E A"", ""Koshel', I V"", 'Poliakova, O A', 'Maiakova, S A']","['Torubarova NA', ""Kopyl'tsova EA"", ""Koshel' IV"", 'Poliakova OA', 'Maiakova SA']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,"['0 (Receptors, Glucocorticoid)']",IM,"['Adolescent', 'Blast Crisis/*metabolism/pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism/pathology', 'Receptors, Glucocorticoid/*metabolism']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Gematol Transfuziol. 1992 Jan;37(1):25-8.,,"Glucocorticoid receptor (GR) levels were estimated in blast cells of 24 children with acute lymphoblastic leukemia, in different immunocytologic subvariants of the disease. No relationship was revealed between immunophenotype and GR number in blasts. It was found that the response to prednisolone therapy did not depend on the number of sites specifically bound to glucocorticoids. The response character is determined not by immunophenotype but by the initial number of blast cells in the peripheral blood (the higher blastosis, the worse response). High blastosis is probably dependent on the tumor growth rate.",,,,Ekspressia retseptorov gliukokortikodov i klirens blastnykh kletok u detei s raznymi podvariantami ostrogo limfoblastnogo leikoza.,,,,,,,,,,,,,,,,,,
1618376,NLM,MEDLINE,19920806,20200713,0234-5730 (Print) 0234-5730 (Linking),37,1,1992 Jan,[Factors influencing the serum ferritin level in acute leukemia patients before chemotherapy].,20-2,"[""Vorob'ev, V G"", 'Sidnev, B N']","[""Vorob'ev VG"", 'Sidnev BN']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,"['0 (Antineoplastic Agents)', '9007-73-2 (Ferritins)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Female', 'Ferritins/*blood', 'Humans', 'Leukemia/*blood/drug therapy', 'Male', 'Middle Aged', 'Time Factors']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Gematol Transfuziol. 1992 Jan;37(1):20-2.,,"Serum ferritin level was studied in 158 adult patients with different forms and variants of leukemia, and it was found to be elevated in 85.4% of cases. A number of factors influencing ferritin concentration in the blood serum have been established: a high degree of serum iron deficiency, leukemic intoxication, infectious complications (pneumonia, sepsis, necrosis, etc.), hemolytic syndrome. All these factors should be taken into consideration in evaluating serum ferritin levels in acute leukemia patients.",,,,"Faktory, vliiaiushchie na uroven' syvorotochnogo ferritina u bol'nykh ostrymi leikozami do nachala khimioterapii.",,,,,,,,,,,,,,,,,,
1618230,NLM,MEDLINE,19920806,20190824,0340-6997 (Print) 0340-6997 (Linking),19,6,1992,"Lymphoma imaging with a new technetium-99m labelled antibody, LL2.",394-401,"['Murthy, S', 'Sharkey, R M', 'Goldenberg, D M', 'Lee, R E', 'Pinsky, C M', 'Hansen, H J', 'Burger, K', 'Swayne, L C']","['Murthy S', 'Sharkey RM', 'Goldenberg DM', 'Lee RE', 'Pinsky CM', 'Hansen HJ', 'Burger K', 'Swayne LC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Eur J Nucl Med,European journal of nuclear medicine,7606882,"['0 (Antibodies, Monoclonal)', '0 (Reagent Kits, Diagnostic)', '0 (bectumomab)', '7440-26-8 (Technetium)']",IM,"['Antibodies, Monoclonal', 'Humans', 'Lymphoma, Non-Hodgkin/*diagnostic imaging', '*Radioimmunodetection', 'Reagent Kits, Diagnostic', 'Technetium', 'Tissue Distribution', 'Tomography, Emission-Computed, Single-Photon']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Eur J Nucl Med. 1992;19(6):394-401. doi: 10.1007/BF00177365.,['10.1007/BF00177365 [doi]'],"The lesion detection capability of a new technetium-99m labelled B-cell lymphoma monoclonal antibody (MoAb) imaging agent, LL2, was evaluated in 8 patients with non-Hodgkin's lymphoma and 1 patient with chronic lymphocytic leukaemia. The MoAb kit consists of a 1-vial, 1-mg Fab' form of LL2 ready for instant labelling with technetium. The patients were injected with approximately 925 MBq (25 mCi) of 99mTc-LL2 Fab' (1 mg), and planar and single photon emission tomography (SPET) studies were performed at 3-4 h post injection and at 24 h. There was no evidence of thyroid or stomach activity up to 24 h. Uniform splenic uptake was seen in all patients. Two non-lymphoma patients were also administered with the same agent and demonstrated a similar splenic distribution; therefore, splenic targeting was not scored as tumour-specific. A total of 29 from 48 tumour sites were detected by scintigraphy, including tumours of various grades and histological types. Excluding 1 patient who had a large tumour burden of over 500 g, 29 of 33 lesions were detected. One patient was free of disease at the time of the study and had a negative scan. Another patient showed excellent targeting of gallium-negative sites in the liver and bone. The bone involvement was not known prior to the antibody study and was subsequently confirmed by a bone scan. Additional sites of MoAb localization could not be followed in this group, since most patients went on to radioimmunotherapy immediately following the 99mTc-LL2 study.(ABSTRACT TRUNCATED AT 250 WORDS)","['Center for Molecular Medicine and Immunology, Newark, N.J.']",['CA39841/CA/NCI NIH HHS/United States'],['Eur J Nucl Med. 1992;19(6):385-6. PMID: 1618228'],,,,,,,,,,,,,,,,,,,
1618036,NLM,MEDLINE,19920805,20161123,0529-5815 (Print) 0529-5815 (Linking),29,12,1992 Nov,[Surgical treatment of primary tumor in the right heart].,"755-6, 798","['Yin, B L']",['Yin BL'],['chi'],['Journal Article'],China,Zhonghua Wai Ke Za Zhi,Zhonghua wai ke za zhi [Chinese journal of surgery],0153611,,IM,"['Adolescent', 'Adult', 'Female', 'Heart Neoplasms/diagnostic imaging/*surgery', 'Humans', 'Leiomyosarcoma/diagnostic imaging/surgery', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnostic imaging/surgery', 'Male', 'Myxoma/diagnostic imaging/*surgery', 'Ultrasonography']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,"Zhonghua Wai Ke Za Zhi. 1992 Nov;29(12):755-6, 798.",,"From April 1986 to March 1990, 5 patients with primary tumor of the right heart were treated surgically at our hospital. Two of them had right atrial myxomas, and one had malignant lymphoma of the right atrium. The remaining 2 patients had tumors of the right ventricle (fibromyxoma 1 patient and leiomyosarcoma 1). The diagnosis was confirmed by 2-D echocardiography in all patients. Three patients with cardiogenic shock were operated on at emergency clinic. There were no operative deaths. Two patients with primary malignant tumors underwent incomplete resection with poor results. Three patients with benign tumors who had the tumors totally removed showed good results after operation.","['Second Affiliated Hospital, Hunan Medical University, Changsha.']",,,,,,,,,,,,,,,,,,,,,
