PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,EIN,GS,PMC,RF,SI,OID,OTO,OT,GN,CON,CRF,EFR,OAB,OABL
1553952,NLM,MEDLINE,19920428,20190819,0361-8609 (Print) 0361-8609 (Linking),39,4,1992 Apr,Four-agent induction/consolidation therapy for childhood acute lymphoblastic leukemia: an Indian experience.,242-8,"During 1984-1986, a total of 128 children with acute lymphoblastic leukemia (ALL) were treated with an induction-consolidation regimen consisting of doxorubicin, vincristine, cytosine-arabinoside, and prednisolone. One hundred two (80%) patients belonged to high-risk group. The complete remission rate for all the patients was 91%. The event-free survival at 5 years was 32.0% +/- 23%. On multivariate analysis the event-free survival and disease-free survival was not altered by age, sex, WBC count, platelet count, LDH level, and surface phenotype. Infection due to prolonged marrow aplasia was a common complication, leading to mortality of 8 patients during induction and 33 patients during first remission. The relapse rate has been 36% (42 patients). The predominance of high-risk ALL in the Indian population underscores the need for intensive therapy. Improved supportive care during induction and remission seems essential to decrease therapy-related mortality, leading to improved survival.","['Advani, S H', 'Iyer, R S', 'Pai, S K', 'Gopal, R', 'Saikia, T K', 'Nair, C N', 'Kurkure, P A', 'Nadkarni, K S', 'Pai, V R']","['Advani SH', 'Iyer RS', 'Pai SK', 'Gopal R', 'Saikia TK', 'Nair CN', 'Kurkure PA', 'Nadkarni KS', 'Pai VR']","['Department of Medical Oncology, Tata Memorial Hospital, Parel, Bombay, India.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '9PHQ9Y1OLM (Prednisolone)']",IM,['Am J Hematol. 1993 Jun;43(2):155. PMID: 8342547'],"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage/adverse effects', 'Doxorubicin/administration & dosage/adverse effects', 'Female', 'Humans', 'India/epidemiology', 'Male', 'Multivariate Analysis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/epidemiology/mortality', 'Prednisolone/administration & dosage/adverse effects', 'Prognosis', 'Remission Induction', 'Vincristine/administration & dosage/adverse effects']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['10.1002/ajh.2830390403 [doi]'],ppublish,Am J Hematol. 1992 Apr;39(4):242-8. doi: 10.1002/ajh.2830390403.,,,,,,,,,,,,,,,,
1553923,NLM,MEDLINE,19920430,20190509,0002-9173 (Print) 0002-9173 (Linking),97,4,1992 Apr,Monocytoid B-cell lymphoma. The biologic and clinical implications of peripheral blood involvement.,591-8,"Monocytoid B-cell lymphoma (MBCL) is a newly recognized malignant lymphoma that shares clinical and pathologic features with other low-grade B-cell neoplasms, especially small lymphocytic lymphoma and hairy cell leukemia. However, although circulating malignant cells and bone marrow involvement are relatively common in small lymphocytic lymphoma and are characteristic features of hairy cell leukemia, MBCL in the peripheral blood and bone marrow rarely have been described. From 124 patients entered in the MBCL registry, three cases with peripheral blood involvement are described and the clinical and pathologic features in these patients are compared with those of other low-grade B-cell neoplasms. Monocytoid B-cell lymphoma was confirmed by lymph node biopsy in each case. Two patients had lymphocytosis at the time of presentation; the remaining patient presented with pancytopenia. For each patient, phenotypic studies of lymph node and peripheral blood revealed identical monoclonal surface immunoglobulin expression. The morphologic appearance of the circulating MBCL cells was different in each case, varying from a relatively homogeneous population of small lymphocytes to a heterogeneous collection of large and small lymphoid cells. The two patients with lymphocytosis also had extensive replacement of the bone marrow by MBCL; the third patient had diffuse infiltration by MBCL in a normocellular marrow. All three patients had advanced-stage (Stages III or IV) disease, and all required systemic chemotherapy for disease control. The two patients with lymphocytosis had relentless, progressive infirmity despite relatively aggressive treatment regimens. These patients ultimately died of lymphoma 13 and 18 months after initial diagnosis. The third patient is alive and well with stable disease 30 months after coming to the authors' institution. The clinical and pathologic features of the patients reported here reaffirms the placement of MBCL in the spectrum of low-grade B-cell neoplasms. However, unlike small lymphocytic lymphoma and hairy cell leukemia, MBCL only rarely undergoes leukemic conversion. Furthermore, it appears that peripheralization of MBCL occurs primarily in patients with advanced-stage disease and may be indicative of a relentless course and progressive disease despite aggressive chemotherapeutic intervention.","['Traweek, S T', 'Sheibani, K']","['Traweek ST', 'Sheibani K']","['James Irvine Center for the Study of Leukemia and Lymphoma, City of Hope National Medical Center, Duarte, California 91010.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Antigens, Neoplasm)']",IM,['Am J Clin Pathol. 1993 Aug;100(2):187-8. PMID: 7689294'],"['Adult', 'Antigens, Neoplasm/blood', 'Female', 'Humans', 'Immunophenotyping', 'Lymph Nodes/pathology', 'Lymphoma, B-Cell/*blood/immunology/pathology', 'Male', 'Middle Aged', 'Spleen/pathology']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['10.1093/ajcp/97.4.591 [doi]'],ppublish,Am J Clin Pathol. 1992 Apr;97(4):591-8. doi: 10.1093/ajcp/97.4.591.,['CA-33572/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
1553901,NLM,MEDLINE,19920429,20190902,0277-3732 (Print) 0277-3732 (Linking),15,2,1992 Apr,Phase II trial of indicine N-oxide in relapsed acute leukemia of childhood. A report from the Childrens Cancer Study Group.,135-40,"We treated 31 children with acute lymphoblastic leukemia (ALL), 14 children with acute nonlymphoblastic leukemia (ANLL) in relapse, and 1 child with chronic myelogenous leukemia (CML) in blast crisis (CALLA negative) with indicine N-oxide in a Phase II study. The efficacy and toxicity of the drug were assessed at two dose levels: 2,000 mg/m2/day for 5 consecutive days (14 patients) and 2,500 mg/m2/day for 5 consecutive days (17 patients). One patient with ALL at each dose level achieved a complete response (CR) lasting 6 months and 1 month, respectively. The patient with CML achieved a partial response lasting 4 months. None of the patients with ANLL achieved a CR. Hepatotoxicity was mild (grade 1 or 2) in 63% and moderate (grade 3) in 9% of mild (grade 1 or 2) in 63% and moderate (grade 3) in 9% of patients; 3 patients (9%) experienced severe hepatotoxicity. Although indicine N-oxide has some antileukemic activity in ALL and is safe at the doses used in this study, the antileukemic activity is significantly less at these two doses than at greater than or equal to 3,000 mg/m2/days for 5 consecutive days. Unfortunately, when the higher doses are administered to children, they are associated with an unacceptably high incidence of severe, irreversible hepatotoxicity.","['Miser, J S', 'Smithson, W A', 'Krivit, W', 'Hughes, C H', 'Davis, D', 'Krailo, M D', 'Hammond, G D']","['Miser JS', 'Smithson WA', 'Krivit W', 'Hughes CH', 'Davis D', 'Krailo MD', 'Hammond GD']","['Department of Pediatrics, Mayo Clinic Foundation, Rochester, Minnesota.']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Clin Oncol,American journal of clinical oncology,8207754,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Pyrrolizidine Alkaloids)', '41708-76-3 (indicine-N-oxide)']",IM,,"['Acute Disease', 'Antineoplastic Agents, Phytogenic/adverse effects/*therapeutic use', 'Child', 'Drug Evaluation', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Pyrrolizidine Alkaloids/adverse effects/*therapeutic use']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['10.1097/00000421-199204000-00008 [doi]'],ppublish,Am J Clin Oncol. 1992 Apr;15(2):135-40. doi: 10.1097/00000421-199204000-00008.,"['CA 02971/CA/NCI NIH HHS/United States', 'CA 13539/CA/NCI NIH HHS/United States', 'CA 17829/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,
1553815,NLM,MEDLINE,19920424,20200304,0174-7398 (Print) 0174-7398 (Linking),420,3,1992,"Expression of adult T-cell leukaemia-derived factor, a human thioredoxin homologue, in the human ovary throughout the menstrual cycle.",213-7,"An immunohistochemical study of the expression of adult T-cell leukaemia-derived factor (ADF), a human thioredoxin homologue, was performed in the normal human ovary throughout the menstrual cycle. Primordial follicles were negative for ADF. Both granulosa cells and theca interna cells at the stages of preantral and antral follicles contained ADF. The staining intensity of these cells was very strong in the preovulatory dominant follicle. After ovulation, both granulo-lutein and theca-lutein cells were positive for ADF. During pregnancy, the theca-lutein cells revealed very intense ADF staining. The theca interna cells of the atretic follicles showed ADF staining, while the granulosa cells of such follicles did not. These results suggest that ADF localizes in the ovarian steroidogenic cells which have the binding sites of either luteinizing hormone or follicle-stimulating hormone, and that ADF expression is closely associated with the activity of the ovarian steroidogenic cells.","['Iwai, T', 'Fujii, S', 'Nanbu, Y', 'Nonogaki, H', 'Konishi, I', 'Mori, T', 'Masutani, H', 'Yodoi, J']","['Iwai T', 'Fujii S', 'Nanbu Y', 'Nonogaki H', 'Konishi I', 'Mori T', 'Masutani H', 'Yodoi J']","['Department of Gynaecology and Obstetrics, Faculty of Medicine, Kyoto University, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Virchows Arch A Pathol Anat Histopathol,"Virchows Archiv. A, Pathological anatomy and histopathology",8302198,"['0 (Cytokines)', '0 (Neoplasm Proteins)', '0 (adult T cell leukemia-derived factor)', '52500-60-4 (Thioredoxins)']",IM,,"['Adult', 'Corpus Luteum/cytology/pathology/physiology', '*Cytokines', 'Female', 'Follicular Atresia', 'Granulosa Cells/cytology/pathology/physiology', 'Humans', '*Menstrual Cycle', 'Middle Aged', 'Neoplasm Proteins/*analysis', 'Ovary/cytology/pathology/*physiology', 'Pregnancy', 'Theca Cells/cytology/pathology/physiology', 'Thioredoxins/analysis']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1007/BF01600273 [doi]'],ppublish,Virchows Arch A Pathol Anat Histopathol. 1992;420(3):213-7. doi: 10.1007/BF01600273.,,,,,,,,,,,,,,,,
1553758,NLM,MEDLINE,19920429,20190727,0041-008X (Print) 0041-008X (Linking),113,1,1992 Mar,The covalent binding of acetaminophen to cellular nucleic acids as the result of the respiratory burst of neutrophils derived from the HL-60 cell line.,80-6,"After being induced to differentiate into a neutrophilic type, cultures of the leukemic cell line HL-60 were able to cause the bioactivation and nucleic acid binding of acetaminophen upon stimulation of the respiratory burst. This phenomenon was found to simulate the same process as that previously shown with normal human granulocytes. Binding to both DNA and RNA of the cells was determined quantitatively by use of 14C-labeled acetaminophen congeners. Protein binding occurred to about the same extent as did RNA binding. Simultaneous labeling experiments with [ring-14C]- and [14C = O]acetaminophen further showed that the acetaminophen molecule was bound to DNA in an intact manner, while binding to RNA showed about a 50% excess binding of the acetaminophen ring relative to the carbonyl group. Experiments with certain inhibitors showed that catalase and azide ion strongly inhibited DNA binding, while superoxide dismutase had a slight stimulatory effect on binding. These results suggest a significant role for myeloperoxidase in the bioactivation process, which contrasts with the proposed bioactivation mechanism of certain arylamine compounds. A mechanism was proposed for acetaminophen binding to nucleic acids that requires the 1 e- oxidation of this substrate to its phenoxyl radical, although the production of the N-acetyl-p-benzoquinoneimine metabolite, which has been proposed to account for the extensive protein binding known to occur for acetaminophen, might also contribute to such binding. The potential genotoxicity of acetaminophen was considered in view of what might be a unique pathway which can metabolize this chemical to a nucleic acid-binding species.","['Corbett, M D', 'Corbett, B R', 'Hannothiaux, M H', 'Quintana, S J']","['Corbett MD', 'Corbett BR', 'Hannothiaux MH', 'Quintana SJ']","['Food Science and Human Nutrition Department, University of Florida, Gainesville 32611.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Toxicol Appl Pharmacol,Toxicology and applied pharmacology,0416575,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '362O9ITL9D (Acetaminophen)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,,"['Acetaminophen/*metabolism', 'Cell Line', 'DNA, Neoplasm/isolation & purification/*metabolism', 'Dimethyl Sulfoxide/pharmacology', 'Granulocytes/metabolism', 'Humans', 'Leukemia/metabolism', 'Neutrophils/drug effects/metabolism', 'RNA, Neoplasm/isolation & purification/*metabolism', 'Respiratory Burst']",1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",['10.1016/0041-008x(92)90011-g [doi]'],ppublish,Toxicol Appl Pharmacol. 1992 Mar;113(1):80-6. doi: 10.1016/0041-008x(92)90011-g.,['ES 03631/ES/NIEHS NIH HHS/United States'],,,,,,,,,,,,,,,
1553580,NLM,MEDLINE,19920430,20180524,0093-7754 (Print) 0093-7754 (Linking),19,2 Suppl 4,1992 Apr,Treatment of chronic myelogenous leukemia with different cytokines.,88-94,"In vitro data suggest a synergistic antiproliferative effect of different cytokines. In four clinical studies chronic myelogenous leukemia (CML) patients were treated with interferon (IFN)-alpha alone or IFN-alpha combined with either low-dose IFN-gamma or tumor necrosis factor (TNF)-alpha. The best response was achieved in previously untreated patients with good prognostic factors and highest tolerable IFN dose for maintenance treatment. Breakpoint localization within the major breakpoint cluster region did not correlate with response to IFN. In a randomized study of IFN-alpha versus IFN-alpha combined with IFN-gamma, no differences in response rates were observed. Patients with primary or secondary resistance to these treatment modalities received a combination therapy with IFN-alpha and TNF-alpha. In these patients, a decrease in leukocyte counts was noted, but no cytogenetic improvement occurred.","['Wandl, U B', 'Opalka, B', 'Kloke, O', 'Nagel-Hiemke, M', 'Moritz, T', 'Niederle, N']","['Wandl UB', 'Opalka B', 'Kloke O', 'Nagel-Hiemke M', 'Moritz T', 'Niederle N']","['Department of Internal Medicine, University of Essen, Germany.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Interferon-alpha)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '82115-62-6 (Interferon-gamma)']",IM,,"['Adult', 'Aged', 'Blotting, Southern', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Interferon-alpha/*therapeutic use', 'Interferon-gamma/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/*therapy', 'Male', 'Middle Aged', 'Recombinant Proteins', 'Tumor Necrosis Factor-alpha/*therapeutic use']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['0093-7754(92)90164-V [pii]'],ppublish,Semin Oncol. 1992 Apr;19(2 Suppl 4):88-94.,,,,,,,,,,,,,,,,
1553573,NLM,MEDLINE,19920430,20180524,0093-7754 (Print) 0093-7754 (Linking),19,2 Suppl 4,1992 Apr,Granulocyte-macrophage colony-stimulating factor and interleukin-3 enhance the incorporation of cytosine arabinoside into the DNA of leukemic blasts and the cytotoxic effect on clonogenic cells from patients with acute myeloid leukemia.,31-7,"In the present study the effects of the 48-hour administration of granulocyte-macrophage colony-stimulating factor (GM-CSF) (100 U/mL) or interleukin-3 (IL-3) (100 U/mL) on the proliferative activity of leukemic cells and on the intracellular metabolism and cytotoxic efficacy of a subsequent 12-hour application of cytosine arabinoside (ara-C) at doses of 0.1, 1.0, 10.0, and 100.0 mumol/L were evaluated on bone marrow cells from 17 patients with acute myeloid leukemia. After GM-CSF or IL-3, a 1.2- to 2.4-fold increase in S-phase cells was observed in nine of 14 GM-CSF and seven of 11 IL-3 cases. 3H-Cytosine arabinoside incorporation into the DNA was enhanced 1.33- to 18.3-fold over respective controls in 14 of 17 patients. While in control specimens are ara-C dose-dependent increase in 3H-ara-C uptake was accompanied by a corresponding rise in intracellular ara-C-5' triphosphate (ara-CTP) levels, ara-CTP concentrations were not increased after GM-CSF or IL-3 exposure, resulting in a higher ara-C to ara-CTP ratio over controls. This finding may be explained by a stimulatory effect of GM-CSF and IL-3 on ara-C phosphorylating enzymes and a more rapid incorporation of ara-CTP into the DNA of leukemic blasts. These effects translated into a 2.2- to 229.0-fold increase in the cytotoxic activity of ara-C against clonogenic leukemic cells after GM-CSF or IL-3 pretreatment. Hence, GM-CSF and IL-3 enhance the intracellular metabolism of ara-C and its incorporation into the DNA of leukemic cells leading to a higher antileukemic activity of ara-C on clonogenic leukemic cells (CFU-L).","['Hiddemann, W', 'Kiehl, M', 'Zuhlsdorf, M', 'Busemann, C', 'Schleyer, E', 'Wormann, B', 'Buchner, T']","['Hiddemann W', 'Kiehl M', 'Zuhlsdorf M', 'Busemann C', 'Schleyer E', 'Wormann B', 'Buchner T']","['Department of Internal Medicine, University of Munster, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (DNA, Neoplasm)', '0 (Interleukin-3)', '04079A1RDZ (Cytarabine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,,"['Acute Disease', 'Arabinofuranosylcytosine Triphosphate/metabolism', 'Blast Crisis/*drug therapy/metabolism', 'Cytarabine/*metabolism', 'DNA, Neoplasm/*metabolism/pharmacology', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', 'Interleukin-3/*pharmacology', 'Leukemia, Myeloid/*drug therapy/metabolism/pathology', 'S Phase/drug effects', '*Tumor Stem Cell Assay']",1992/04/01 00:00,1992/04/01 00:01,['1992/04/01 00:00'],"['1992/04/01 00:00 [pubmed]', '1992/04/01 00:01 [medline]', '1992/04/01 00:00 [entrez]']",['0093-7754(92)90155-T [pii]'],ppublish,Semin Oncol. 1992 Apr;19(2 Suppl 4):31-7.,,,,,,,,,,,,,,,,
1553400,NLM,MEDLINE,19920428,20190827,0033-3174 (Print) 0033-3174 (Linking),54,1,1992 Jan-Feb,Long-term psychological adjustment of acute leukemia survivors: impact of bone marrow transplantation versus conventional chemotherapy.,30-47,"As increasing numbers of patients survive acute leukemia, it has become important to study the long-term psychological and social adjustment of patients who have successfully completed their leukemia treatment. An important aspect of this inquiry is comparing the long-term psychosocial impact of two treatments for acute leukemia: chemotherapy and bone marrow transplantation. This study examines the psychosocial adjustment of 70 acute leukemia survivors who received either conventional chemotherapy alone (N = 49) or chemotherapy and an allogeneic bone marrow transplantation (N = 21). At the time of assessment, patients were an average of 31 years old, had completed treatment 5 years ago and were physically healthy (mean Karnofsky score of 97). Psychometrically sound, self-report questionnaires assessed global and illness-specific psychological distress and social adjustment. Despite the additional strain and longer hospitalization associated with bone marrow transplantation, there was no difference found between BMT survivors and those treated with conventional chemotherapy alone in current psychological and social functioning. Both groups, however, had significantly greater levels of distress than that observed in normal physically healthy samples. The distress neither reached a psychiatric threshold nor significantly interfered with social adjustment. These data suggest that, irrespective of treatment, acute leukemia survivors experience overall psychological well-being and social adjustment even though they still carry a psychological burden that should be recognized in their continuing follow-up and care.","['Lesko, L M', 'Ostroff, J S', 'Mumma, G H', 'Mashberg, D E', 'Holland, J C']","['Lesko LM', 'Ostroff JS', 'Mumma GH', 'Mashberg DE', 'Holland JC']","['Psychiatry Service, Memorial Sloan-Kettering Cancer Center, New York, NY 10021.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Psychosom Med,Psychosomatic medicine,0376505,['0 (Antineoplastic Agents)'],IM,,"['Acute Disease', '*Adaptation, Psychological', 'Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia/drug therapy/psychology/*therapy', 'Male', 'Patient Compliance', '*Social Adjustment', 'Survival Rate']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1097/00006842-199201000-00006 [doi]'],ppublish,Psychosom Med. 1992 Jan-Feb;54(1):30-47. doi: 10.1097/00006842-199201000-00006.,['CA-39370/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
1552998,NLM,MEDLINE,19920428,20180215,1660-8151 (Print) 1660-8151 (Linking),60,2,1992,Fluid-phase activation of the alternative pathway of complement by excess factor D in regularly dialyzed patients.,144-9,"We examined the effect of excess factor D on the alternative pathway of complement (APC). First, we demonstrated that the production of C3a is accelerated in the fluid-phase with the addition of purified factor D. Analysis by sodium dodecylsulfate polyacrylamide gel electrophoresis under reducing conditions showed that the serum iC3b level was elevated when incubated with excess factor D. Secondly, we demonstrated, by measuring the C5a-des-Arg level, that the generation of C5a was promoted in the fluid-phase with the addition of purified factor D. We then studied whether activation of APC is elevated in the blood of patients on maintenance hemodialysis whose sera contained a high concentration of factor D. First, we detected, by fluorescence activated cell sorter analysis, greater amounts of C3d on erythrocytes from the patients (mean fluorescence intensity +/- SD: 7.7 +/- 1.7 arbitrary units) than those from healthy individuals (5.4 +/- 0.5 arbitrary units; p less than 0.001). Secondly, serum C3 level was significantly lower (p less than 0.001) in patients (mean +/- SD: 63.3 +/- 8.2 mg/dl) than in healthy individuals (84.8 +/- 9.5 mg/dl), whereas there was no difference in serum C4 level between patients (32.4 +/- 6.9 mg/dl) and healthy individuals (33.0 +/- 7.4 mg/dl). Serum C5 level was almost the same in patients (10.5 +/- 1.5 mg/dl) and in healthy individuals (11.2 +/- 1.3 mg/dl). These results provide supportive evidence of elevated APC activation in patients with high serum factor D.","['Miyata, T', 'Inagi, R', 'Hong, K', 'Iida, Y', 'Oda, O', 'Kinoshita, T', 'Inoue, K', 'Miyama, A', 'Maeda, K']","['Miyata T', 'Inagi R', 'Hong K', 'Iida Y', 'Oda O', 'Kinoshita T', 'Inoue K', 'Miyama A', 'Maeda K']","['Department of Internal Medicine, Branch Hospital, Nagoya University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Nephron,Nephron,0331777,"['0 (Complement C3)', '0 (Complement C4)', '0 (Complement C5)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '80295-45-0 (Complement C3d)']",IM,,"['Blood Circulation/physiology', 'Complement C3/analysis', 'Complement C3d/analysis', 'Complement C4/analysis', 'Complement C5/analysis', 'Complement Pathway, Alternative/drug effects/*physiology', 'Electrophoresis, Polyacrylamide Gel', 'Erythrocytes/chemistry', 'Flow Cytometry', 'Growth Inhibitors/*pharmacology', 'Humans', '*Interleukin-6', 'Kidney Failure, Chronic/blood/*physiopathology/therapy', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Precipitin Tests', 'Renal Dialysis']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1159/000186730 [doi]'],ppublish,Nephron. 1992;60(2):144-9. doi: 10.1159/000186730.,,,,,,,,,,,,,,,,
1552817,NLM,MEDLINE,19920428,20190701,0024-3205 (Print) 0024-3205 (Linking),50,14,1992,Segregation of the growth slowing effects of valproic acid from phenytoin and carbamazepine on lymphoid tumor cells.,PL79-83,"One human and six murine tumor cell lines of lymphoid origin were assessed for growth in the presence of three commonly used antiepileptic drugs (AEDs). All seven lines were sensitive to the growth slowing effects of phenytoin (PHT) and carbamazepine (CBZ). Six lines showed a similar effect when exposed to valproic acid (VPA), while one murine B cell line was resistant to inhibition of growth by VPA.","['Tittle, T V', 'Schaumann, B A', 'Rainey, J E', 'Taylor, K']","['Tittle TV', 'Schaumann BA', 'Rainey JE', 'Taylor K']","['Research Service, Veterans Affairs Medical Center, Portland, Oregon 97207.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",Netherlands,Life Sci,Life sciences,0375521,"['33CM23913M (Carbamazepine)', '614OI1Z5WI (Valproic Acid)', '6158TKW0C5 (Phenytoin)']",IM,,"['Carbamazepine/metabolism/*pharmacology', 'Cell Division/*drug effects', 'Culture Techniques/methods', 'Humans', 'Kinetics', 'Leukemia', 'Lymphoma', 'Phenytoin/metabolism/*pharmacology', 'Regression Analysis', 'Valproic Acid/metabolism/*pharmacology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']","['0024-3205(92)90104-W [pii]', '10.1016/0024-3205(92)90104-w [doi]']",ppublish,Life Sci. 1992;50(14):PL79-83. doi: 10.1016/0024-3205(92)90104-w.,,,,,,,,,,,,,,,,
