PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,SI,GS,RF,PMC,GR,CON,CIN,OID,OAB,OABL,OTO,OT,GN,EIN,RIN
1488606,NLM,MEDLINE,19930224,20131121,0049-5514 (Print) 0049-5514 (Linking),35,3,1992,Urinary excretion of some metabolites of tryptophan in malignant diseases.,275-9,"The urinary excretion of four tryptophan metabolites, namely indolylacryloylglycine, indolylacetic, 5-hydroxyindolylacetic and 3-hydroxyanthranilic acids, was studied in two control groups, in children suffering from acute leukemia, hepatic and brain tumours and in adults with bladder cancer. Compared with controls, a significantly lower excretion of IAcrGly was observed in all patient groups with the exception of that with hepatic tumours. Hematological malignancies were further accompanied by low excretion of indolylacetic acid, and bladder cancers by a lower 5-hydroxyindolylacetic acid level. We found no correlation of the metabolites tested in individuals of any patient group. In controls, however, indolylacryloylglycine and indolylacetic acid did correlate.","['Marklova, E', 'Hak, J', 'Parizek, J', 'Moravek, P']","['Marklova E', 'Hak J', 'Parizek J', 'Moravek P']","['Department of Pediatrics, Faculty of Medicine, Charles University, Hradec Kralove.']",['eng'],['Journal Article'],Czech Republic,Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove,Sbornik vedeckych praci Lekarske fakulty Karlovy university v Hradci Kralove,0414147,['8DUH1N11BX (Tryptophan)'],IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Humans', 'Middle Aged', 'Neoplasms/*urine', 'Tryptophan/*analogs & derivatives/*urine']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove. 1992;35(3):275-9.,,,,,,,,,,,,,,,,,
1488582,NLM,MEDLINE,19930222,20151119,0034-8376 (Print) 0034-8376 (Linking),44,3,1992 Jul-Sep,[Bone marrow transplantation in Mexico. Report of the 1st successful case in acute myeloblastic leukemia. Grupo de Trasplante Medular Oseo del INNSZ].,383-6,"The first case of allogeneic bone marrow transplantation in acute myelogenous leukemia (AML) done in Mexico is reported. The patient was a 26 year old Mexican woman who in October 1987 was diagnosed of having AML of the M2 subtype. After three cycles of the TADOP regimen (6-thioguanine, cytosine-arabinoside, doxorubicin, vincristine & prednisone), the patient entered complete remission. Unfortunately, after a seven month period of remission she suffered a relapse which was refractory to a new chemotherapy cycle. On 9/14/88 an allogeneic BMT from her HLA identical brother was performed. The conditioning regimen consisted of busulfan and cyclophosphamide. Prophylaxis for GVHD consisted of cyclosporine and methylprednisolone. The posttransplantation course was satisfactory, reaching > 500 neutrophils x 10(9)/L on day 14 and > 50,000 platelets x 10(9)/L without support on day 23 posttransplant. The patient developed fever of unknown etiology, which was satisfactorily resolved with ceftazidime, vancomycin and metronidazole. She also presented a grade II oral and esophageal mucositis. As a late complication, on day 90 posttransplant, she developed a bilateral pneumonia which was resolved with sulfamethoxazole-trimethoprim administration. Up to the time of this report (40 months posttransplant) the patient is completely asymptomatic, is under no immunosuppression, and shows no evidence of graft versus host disease or recurrent leukemia.","['Leon, E', 'Sosa, R']","['Leon E', 'Sosa R']","['Servicio de Hemato-Oncologia, Instituto Nacional de la Nutricion Salvador Zubiran, Mexico, D.F.']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Mexico,Rev Invest Clin,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,9421552,"['0 (Anti-Bacterial Agents)', '0 (Immunosuppressive Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '9PHQ9Y1OLM (Prednisolone)', 'FTK8U1GZNX (Thioguanine)', 'POCAL protocol']",IM,"['Adult', 'Anti-Bacterial Agents', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bacterial Infections/drug therapy', 'Bone Marrow Purging/adverse effects', '*Bone Marrow Transplantation', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Drug Therapy, Combination/therapeutic use', 'Esophagitis/etiology', 'Female', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, Myeloid, Acute/drug therapy/mortality/*therapy', 'Mexico', 'Prednisolone/administration & dosage', 'Remission Induction', 'Salvage Therapy', 'Survival Rate', 'Thioguanine/administration & dosage', 'Vincristine/administration & dosage']",1992/07/01 00:00,1992/07/01 00:01,['1992/07/01 00:00'],"['1992/07/01 00:00 [pubmed]', '1992/07/01 00:01 [medline]', '1992/07/01 00:00 [entrez]']",ppublish,Rev Invest Clin. 1992 Jul-Sep;44(3):383-6.,Trasplante de medula osea en Mexico. Informe del primer caso exitoso en leucemia aguda mieloblastica. Grupo de Trasplante Medular Oseo del INNSZ.,,,,,,,,,,,,,,,,
1488420,NLM,MEDLINE,19930223,20161209,0755-4982 (Print) 0755-4982 (Linking),21,37,1992 Nov 7,[Treatment of polycythemia vera with hydroxyurea or pipobroman. Efficacy and toxicity analysed from a protocol of 96 patients under 65 years of age. Le Groupe d'Etude des Polyglobulies].,1753-7,"Between 1980 and 1991, 96 patients with documented polycythemia vera were treated by hydroxyurea or pipobroman, according to a protocol including randomization, and maintenance therapy. Complete remission was induced in all cases. Two cases treated with hydroxy-urea had a very severe granulothrombocytopenia during the initial phase. Maintenance was generally satisfactory on pipobroman, but the platelet count often remained high (400 to 900.10(9)/l) on low-dosage hydroxy-urea, with a risk of vascular events. Progressive resistance to these drugs was observed in 5 cases. Digestive and cutaneous troubles were more frequent on pipobroman maintenance, sometimes enough to legitimate a therapeutic change. It may be concluded that such a treatment is less easy to use and to follow than is currently accepted. In the present series (397/years/patients follow-up, median 5-3 years), only one leukemia and one cancer were observed, which however only demonstrates the absence of any carcinogenic risk at short- but not at long-term.","['Najean, Y']",['Najean Y'],"[""Service de Medecine nucleaire et Consultation d'Hematologie, Hopital Saint-Louis, Paris.""]",['fre'],"['Clinical Trial', 'English Abstract', 'Journal Article', 'Randomized Controlled Trial']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,"['6Q99RDT97R (Pipobroman)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Digestive System Diseases/chemically induced', 'Female', 'Follow-Up Studies', 'Humans', 'Hydroxyurea/administration & dosage/adverse effects/*therapeutic use', 'Male', 'Middle Aged', 'Pipobroman/administration & dosage/adverse effects/*therapeutic use', 'Polycythemia Vera/*drug therapy', 'Skin Diseases/chemically induced', 'Stomatitis, Aphthous/chemically induced']",1992/11/07 00:00,1992/11/07 00:01,['1992/11/07 00:00'],"['1992/11/07 00:00 [pubmed]', '1992/11/07 00:01 [medline]', '1992/11/07 00:00 [entrez]']",ppublish,Presse Med. 1992 Nov 7;21(37):1753-7.,Traitement des polyglobulies par hydroxy-uree ou pipobroman. Efficacite et toxicite analysees d'apres un protocole portant sur 96 malades ages de moins de 65 ans. Le Groupe d'Etude des Polyglobulies.,,,,,,,,,,,,,,,,
1488229,NLM,MEDLINE,19930225,20190712,0030-4220 (Print) 0030-4220 (Linking),74,6,1992 Dec,The value of panoramic radiographic examination in patients with leukemia before medical management.,736-41,Panoramic radiographs were completed for patients with leukemia before the start of medical management. The radiographs were taken as part of the patient admission evaluation. Patients were examined and followed throughout the course of their medical management. Panoramic radiographs did not identify pathologic conditions that were not identified clinically or that required management during medical therapy. The radiograph evaluation was of value in correlation with clinical findings and was required before dental treatment. It is concluded that panoramic radiograph evaluation of patients with leukemia is not indicated as part of their routine evaluation and should not be used to screen patients for occult pathosis. The use of these radiographs should be based on history and examination findings.,"['Epstein, J B', 'Rea, G']","['Epstein JB', 'Rea G']","['British Columbia Cancer Agency, Vancouver General Hospital, Canada.']",['eng'],['Journal Article'],United States,Oral Surg Oral Med Oral Pathol,"Oral surgery, oral medicine, and oral pathology",0376406,,IM,"['Adolescent', 'Adult', 'Aged', 'Diagnostic Tests, Routine/statistics & numerical data', 'Female', 'Humans', '*Leukemia/complications', 'Male', 'Middle Aged', 'Radiography, Panoramic/*statistics & numerical data', 'Tooth Diseases/complications/diagnostic imaging']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Oral Surg Oral Med Oral Pathol. 1992 Dec;74(6):736-41. doi: 10.1016/0030-4220(92)90400-k.,,['10.1016/0030-4220(92)90400-k [doi]'],,,,,,,,,,,,,,,
1487318,NLM,MEDLINE,19930223,20191021,0882-0139 (Print) 0882-0139 (Linking),21,7,1992 Dec,"""NK-like"" T cytotoxicity against B lymphocytes in a hypogammaglobulinemic patient.",601-12,"Physiologically, cells with NK activity appear to exert a negative control on immunoglobulin production. The clinical association of large granular lymphocyte (LGL) proliferation with hypogammaglobulinemia suggests that these functional NK cells could also be involved in pathological situations. We studied in vitro lymphocyte functions in a patient presenting LGL proliferation associated with hypogammaglobulinemia. The CD3+ CD8+ CD57+ CD16- phenotype lymphocytes expressed a high NK type cytotoxicity towards K562 targets, suggesting that they may be considered as ""NK-like"" T cells. We cultured the patient peripheral blood mononuclear cells (PBMC) with control subject PBMC and with PBMC from two other subjects with B chronic lymphocytic leukemia (B-CLL) of the CD20+ CD21- CD10- phenotype. Patient PBMC exhibited a lytic activity on control PBMC and on the B lymphocytes of one of the two B- CLL but only in the presence of PWM. This activity was not exerted by the culture supernatant and required a cell-to-cell contact. We suggest that the hypogammaglobulinemia observed in this patient may be related to a cytotoxic effect exerted on B lymphocytes by a CD3+ CD8+ CD57+ CD16- LGL proliferation.","['Kaplanski, G', 'Seidel-Farnarier, C', 'Durand, J M', 'Harle, J R', 'Horchowski, N', 'Fossat, C', 'Bongrand, P', 'Kaplanski, S']","['Kaplanski G', 'Seidel-Farnarier C', 'Durand JM', 'Harle JR', 'Horchowski N', 'Fossat C', 'Bongrand P', 'Kaplanski S']","[""Laboratoire d'Immunologie, Hopital de Sainte Marguerite, Marseille, France.""]",['eng'],"['Case Reports', 'Journal Article']",England,Immunol Invest,Immunological investigations,8504629,"['0 (Antigens, CD)', '0 (Antigens, Surface)']",IM,"['Agammaglobulinemia/*immunology', 'Antigens, CD/immunology', 'Antigens, Surface/immunology', 'B-Lymphocytes/*immunology', 'Cytotoxicity, Immunologic', 'Humans', 'Immunophenotyping', 'Killer Cells, Natural/*immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology', 'Leukocytes, Mononuclear/immunology', 'Male', 'Middle Aged', 'Nasopharyngeal Diseases/immunology', 'T-Lymphocytes, Cytotoxic/*immunology']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Immunol Invest. 1992 Dec;21(7):601-12. doi: 10.3109/08820139209069396.,,['10.3109/08820139209069396 [doi]'],,,,,,,,,,,,,,,
1487310,NLM,MEDLINE,19930225,20190824,0165-2478 (Print) 0165-2478 (Linking),34,3,1992 Dec,Selective enhancement of interleukin 1 beta production in myelomonocytic cell lines by insulin and its related cytokines.,243-7,"The production of interleukin 1 (IL-1) by lipopolysaccharide (LPS)-stimulated myelomonocytic cell lines ML-1, THP-1 and PL-21 was significantly enhanced by the addition of insulin, insulin-like growth factor (IGF)-I or IGF-II into the cell cultures. The IL-1 activity in the supernatants from cell cultures stimulated with LPS and insulin was completely neutralized by anti-IL-1 beta antibody. Anti-IL-1 alpha antibody had no inhibitory effect. Insulin itself did not stimulate IL-1 beta production directly, but increased it in the mitogen activated cells. However, insulin had no enhancing effect on the production of IL-1 alpha by human T cell lymphotropic virus-I (HTLV-I)-infected T cell lines or on IL-2 production by mitogen-stimulated leukemia T cell lines. Thus, insulin and its related cytokines are shown here as other molecules selectively modulating the production of IL-1 beta in myelomonocytic cell lines.","['Holan, V', 'Minowada, J']","['Holan V', 'Minowada J']","['Fujisaki Cell Center, Hayashibara Biochemical Laboratories, Inc., Okayama, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Immunol Lett,Immunology letters,7910006,"['0 (Insulin)', '0 (Interleukin-1)', '0 (Interleukin-2)', '0 (Lipopolysaccharides)', '67763-96-6 (Insulin-Like Growth Factor I)', '67763-97-7 (Insulin-Like Growth Factor II)']",IM,"['Human T-lymphotropic virus 1/immunology', 'Humans', 'Insulin/*immunology', 'Insulin-Like Growth Factor I/immunology', 'Insulin-Like Growth Factor II/immunology', 'Interleukin-1/*biosynthesis', 'Interleukin-2/biosynthesis', 'Lipopolysaccharides', '*Lymphocyte Activation', 'T-Lymphocytes/*immunology/microbiology', 'Tumor Cells, Cultured']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Immunol Lett. 1992 Dec;34(3):243-7. doi: 10.1016/0165-2478(92)90220-i.,,"['0165-2478(92)90220-I [pii]', '10.1016/0165-2478(92)90220-i [doi]']",,,,,,,,,,,,,,,
1487245,NLM,MEDLINE,19930225,20190722,0340-6717 (Print) 0340-6717 (Linking),90,3,1992 Nov,Characterization and mapping of the 5' portion of von Willebrand factor pseudogene.,297-8,"A genomic fragment containing the 5' boundary of the von Willebrand factor pseudogene was cloned, partially sequenced and used for in situ hybridization experiments on metaphase spreads from a Philadelphia chromosome (Ph1)-positive chronic myelogenous leukemia patient. Data obtained indicate that the von Willebrand factor pseudogenic region is centromeric to the breakpoint cluster region on 22q11.2. This probe could be used for the study of deletions in the DiGeorge syndrome.","['Patracchini, P', 'Marchetti, G', 'Aiello, V', 'Croci, G', 'Calzolari, E', 'Bernardi, F']","['Patracchini P', 'Marchetti G', 'Aiello V', 'Croci G', 'Calzolari E', 'Bernardi F']","['Centro di Studi Biochimici delle Patologie del Genoma Umano, Universita di Ferrara, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Hum Genet,Human genetics,7613873,['0 (von Willebrand Factor)'],IM,"['*Chromosomes, Human, Pair 22', 'Humans', 'In Situ Hybridization', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics', 'Male', 'Molecular Sequence Data', '*Pseudogenes', 'von Willebrand Factor/*genetics']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Hum Genet. 1992 Nov;90(3):297-8. doi: 10.1007/BF00220083.,,['10.1007/BF00220083 [doi]'],['GENBANK/X66120'],['vWF'],,,,,,,,,,,,,
1487198,NLM,MEDLINE,19930225,20131121,0017-7768 (Print) 0017-7768 (Linking),123,11,1992 Dec 1,[Remission of acute promyelocytic leukemia after all-trans-retinoic acid].,"445-8, 507","This is the first report in Israel of the successful treatment of acute promyelocytic leukemia (APL; M3) with an active metabolite of vitamin A. In a 42-year-old woman with APL all-trans-retinoic acid (ATRA; tretinoin), 45 mg/m2/day was given per os for 90 days. APL is associated with a distinct cytogenetic abnormality: translocation of a portion of the long arm chromosome 17 onto the long arm chromosome 15t (15; 17) with a breakpoint on chromosome 17 in the region of the retinoic acid receptor-alpha (RAR-alpha), playing a crucial role in the leukemogenesis of APL. In man, the drug induces myeloid and mainly promyelocytic leukemic cells to differentiate, without the development of bone marrow hypoplasia. In our patient it caused complete remission and the disappearance of intravascular disseminated coagulation. The only side-effects were a transient macular rash, gastrointestinal symptoms and mild hypertriglyceridemia. Other principal adverse effects reported in the literature are relatively not very serious and consist of dryness of the skin, occasional headaches and intracranial hypertension, nasal congestion, lymphadenopathy, respiratory distress with infiltrates in the lung, bone pain and increased hepatic aminotransferase. A hyperleukocytosis syndrome seems to be more problematic. ATRA appears to be superior to conventional chemotherapeutic regimens. It is safe and highly effective in inducing clinical, morphologic and karyotypic remission with a marked decrease in the expression of the abnormal RAR-message in APL. There is a possible molecular link between the pathogenesis and treatment of this severe and often fatal coagulopathic disease. This therapy of course does not eradicate the leukemic clone, and consolidation chemotherapy or bone marrow transplantation is necessary.(ABSTRACT TRUNCATED AT 250 WORDS)","['Knobel, B', 'Sommer, I', 'Meytes, D']","['Knobel B', 'Sommer I', 'Meytes D']","['Dept. of Medicine B, Edith Wolfson Medical Center, Holon.']",['heb'],"['Case Reports', 'English Abstract', 'Journal Article']",Israel,Harefuah,Harefuah,0034351,['5688UTC01R (Tretinoin)'],IM,"['Adult', 'Drug Administration Schedule', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Remission Induction', 'Tretinoin/administration & dosage/adverse effects/*therapeutic use']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,"Harefuah. 1992 Dec 1;123(11):445-8, 507.",,,,,,,,,,,,,,,,,
1486862,NLM,MEDLINE,19930224,20181113,0091-6765 (Print) 0091-6765 (Linking),98,,1992 Nov,Multiple genetic alterations in human carcinogenesis.,5-12,"Cancer development in man appeared to be a multistage process as suggested by epidemiological studies on commonly occurring gastric, colon, and breast cancers and also on human retrovirus-related leukemia, and by the finding by physicians and surgeons of precancerous lesions for many types of neoplasias. In the last 10 years it has become evident that human cancers have multiple genetic alterations caused by point mutations, recombinations, amplifications, and/or deletions. The genes affected include both oncogenes and tumor-suppressor genes and genes that accelerate cell proliferation and metastasis. Cancers with more malignant properties and poorer prognosis are generally associated with larger numbers of genetic alterations. These multiple genetic alterations are considered to be a direct reflection of the multiple steps involved in carcinogenesis. The multiple genetic alterations are caused by multiple environmental carcinogenic substances or factors, each of which usually exists only at minute concentrations and does not exert any major impact alone except under particular occupational, iatrogenic, and locally geographic conditions. The fact that carcinogenesis is a multistep process involving multiple genetic alterations clearly needs to be taken into consideration in assessing the risks of environmental carcinogenic substances or factors. The increasing incidence of multiple primary cancers is also most easily understood from the viewpoint of multiple steps in carcinogenesis. Possible multiple approaches to cancer prevention should therefore be considered in relation to multistep carcinogenesis and multiple carcinogenic factors.","['Sugimura, T', 'Terada, M', 'Yokota, J', 'Hirohashi, S', 'Wakabayashi, K']","['Sugimura T', 'Terada M', 'Yokota J', 'Hirohashi S', 'Wakabayashi K']","['National Cancer Center Research Institute, Tokyo, Japan.']",['eng'],"['Journal Article', 'Review']",United States,Environ Health Perspect,Environmental health perspectives,0330411,"['0 (Carcinogens, Environmental)']",IM,"['Animals', 'Carcinogens, Environmental/adverse effects', '*Cocarcinogenesis', 'Genes, Tumor Suppressor/genetics', 'Humans', 'Mice', 'Mutagenesis/*genetics', 'Neoplasms/chemically induced/*genetics/therapy', 'Neoplasms, Multiple Primary/epidemiology', 'Proto-Oncogenes/*genetics', 'Rats', 'Risk']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Environ Health Perspect. 1992 Nov;98:5-12. doi: 10.1289/ehp.92985.,,['10.1289/ehp.92985 [doi]'],,"['HST1', 'INT2', 'K-ras', 'N-ras', 'c-erbB-2', 'c-myc', 'k-sam', 'p-53']",91,PMC1519606,,,,,,,,,,,
1486844,NLM,MEDLINE,19930224,20181113,0091-6765 (Print) 0091-6765 (Linking),98,,1992 Nov,Biomarkers in occupational cancer epidemiology: considerations in study design.,149-54,"Epidemiologic studies of occupational groups have been central to the identification of human carcinogens. The incorporation of a biochemical component into occupational studies of cancer can expand the possibilities for identifying human carcinogens and for understanding the disease process. Two epidemiologic studies of occupation and cancer which include evaluation of biomarkers are described. The association of acetylator phenotype with bladder cancer risk was studied in benzidine-exposed workers. The association of benzene-related leukopenia with leukemia is being studied in benzene-exposed workers. These investigations illustrate issues in the use of biomarkers in epidemiologic studies of cancer risk. Such studies require the identification and characterization of the population at risk. Disease susceptibility factors are amenable for inclusion in these studies and can be statistically modeled as exposure-effect modifiers. Biomarkers of exposure are mainly of importance in short-term longitudinal and cross-sectional studies of exposure and intermediate outcomes and for validation of other data sources. Several sources of error can affect the results of molecular epidemiologic studies. Aside from minimizing laboratory error, consideration must be given in the design and execution of these studies to potential problems in subject selection and field collection of biologic samples and other relevant data.","['Hayes, R B']",['Hayes RB'],"['Environmental Epidemiology Branch, National Cancer Institute, Bethesda, MD 20895.']",['eng'],['Journal Article'],United States,Environ Health Perspect,Environmental health perspectives,0330411,"['0 (Benzidines)', '0 (Biomarkers, Tumor)', '2X02101HVF (benzidine)', 'J64922108F (Benzene)']",IM,"['Benzene/*adverse effects', 'Benzidines/*adverse effects', 'Biomarkers, Tumor/*analysis', 'Case-Control Studies', 'Cohort Studies', 'Disease Susceptibility', 'Epidemiologic Methods', 'Humans', 'Leukemia/*chemically induced', 'Male', 'Occupational Exposure/adverse effects/*analysis', 'Reproducibility of Results', 'Risk Factors', 'Urinary Bladder Neoplasms/*chemically induced']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Environ Health Perspect. 1992 Nov;98:149-54. doi: 10.1289/ehp.9298149.,,['10.1289/ehp.9298149 [doi]'],,,,PMC1519634,,,,,,,,,,,
