PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,GS,RF,PMC,TT,OID,OTO,OT,GN,SI,CON,EIN,EFR,RIN
1421039,NLM,MEDLINE,19921217,20191021,0753-3322 (Print) 0753-3322 (Linking),46,2-3,1992,Current status of allogeneic bone marrow transplantation.,57-69,"Use of allogeneic bone marrow transplants continues to increase. During the 36-year period between 1955 and 1990, more than 33,000 patients received allogeneic bone marrow transplants; more than 45% of these were performed during the 3 years 1988-1990. Transplants are effective therapy for leukemia and other hematologic diseases. It is widely considered that transplants are the treatment of choice for aplastic anemia and chronic myelogenous leukemia, those who fail conventional therapy for acute leukemia and a variety of genetic, metabolic and immune deficiency disorders. Successful application of bone marrow transplantation is limited by complications such as graft failure, graft versus host disease GVHD and interstitial pneumonia and, until recently, the requirement for an HLA-identical sibling donor. In the past few years, an increasing number of transplants were performed using unrelated or HLA-partially matched related donors with some success. Development of post-transplant complications can often be predicted by risk factor assessment. In this report, current data from the IBMTR are summarized and several risk factors affecting outcome identified.","['Sobocinski, K A', 'Horowitz, M M', 'Rimm, A A', 'Bortin, M M']","['Sobocinski KA', 'Horowitz MM', 'Rimm AA', 'Bortin MM']","['Division of Biostatistics/Clinical Epidemiology, Medical College of Wisconsin, Milwaukee 53226.']",['eng'],['P01-CA-40053/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",France,Biomed Pharmacother,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295,IM,"['Anemia, Aplastic/surgery', 'Bone Marrow Transplantation/adverse effects/immunology/*statistics & numerical data', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/surgery', 'Leukemia, Myeloid, Acute/surgery', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/surgery', 'Tissue Donors', 'Transplantation, Homologous']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']","['0753-3322(92)90275-C [pii]', '10.1016/0753-3322(92)90275-c [doi]']",ppublish,Biomed Pharmacother. 1992;46(2-3):57-69. doi: 10.1016/0753-3322(92)90275-c.,,,,,,,,,,,,,,,
1421030,NLM,MEDLINE,19921203,20191021,0753-3322 (Print) 0753-3322 (Linking),46,1,1992,"Retrospective study correlating clinical infectious history and peripheral blood T-cell subpopulations in cancer, GvH and HIV+ patients.",17-9,"The CD4+ CD8- inducer helper cell and the CD4- CD8+ cytotoxic/suppressor cell absolute numbers were measured in the peripheral blood of patients with various pathological conditions: with leukemia-lymphomas or solid tumors, patients with bone marrow grafts suffering from GvH, HIV-1 asymptomatic carriers, ARC and AIDS patients. The study was carried out during observation periods when they were not suffering from opportunistic infections and were untreated. In all the groups a decrease of the CD4+ CD8- cell absolute number was observed. In the leukemia-lymphoma and solid tumor bearing patients the CD4- CD8+ absolute value was lower than normal, while in the GvH- and HIV-infected patients, it was significantly higher. The clinical follow-up of each group indicates that GvH, ARC and AIDS patients developed infection in 40-68% of the cases, ie the only groups at risk of infection are those in which the CD4- CD8+ absolute values are high: we suggest that the balance CD4+ versus CD8+ should be considered rather the absolute CD4+ when discussing appropriate use of immuno-regulators.","['Mathe, G', 'Meyer, P', 'Brienza, S', 'Gil-Delgado, M', 'Orbach-Arbouys, S', 'Itzhaki, M']","['Mathe G', 'Meyer P', 'Brienza S', 'Gil-Delgado M', 'Orbach-Arbouys S', 'Itzhaki M']","[""Institut du Cancer et d'Immunogenetique (CNRS and Association Claude Bernard), Villejuif, France.""]",['eng'],,['Journal Article'],France,Biomed Pharmacother,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,8213295,IM,"['AIDS-Related Opportunistic Infections/*epidemiology', 'CD4-CD8 Ratio', 'Graft vs Host Disease/*complications/epidemiology/immunology', 'HIV Seropositivity/*complications/epidemiology/immunology', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*complications/epidemiology/immunology', 'Neoplasms/*complications/epidemiology/immunology', 'Retrospective Studies']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']","['0753-3322(92)90064-E [pii]', '10.1016/0753-3322(92)90064-e [doi]']",ppublish,Biomed Pharmacother. 1992;46(1):17-9. doi: 10.1016/0753-3322(92)90064-e.,,,,,,,,,,,,,,,
1420998,NLM,MEDLINE,19921204,20191028,1043-4666 (Print) 1043-4666 (Linking),4,5,1992 Sep,Interleukin 4 inhibits IL-2-induced proliferation of a human T-leukemia cell line without interfering with p56-LCK kinase activation.,369-76,"Recently we described the establishment in culture and the immunophenotypic and functional characteristics of a human T-leukemia line TALL-103/2 derived from the T-cell receptor (TCR)-gamma/delta subset of T-lymphocytes. TALL-103/2 cells are absolutely dependent on interleukin 2 (IL-2) for their growth and survival in culture and thus provide a model cell line for studies of IL-2 signal transduction in a TCR-gamma/delta T-cell. In this report, we focus on the regulation of SRC-family protein tyrosine kinases (PTKs) by IL-2. TALL-103/2 cells were found to contain p56-LCK, p59-FYN, p62-YES and p53/56-LYN. Stimulation of growth factor-deprived TALL-103/2 cells with IL-2, however, induced increases in the relative activity only of the p56-LCK kinase. This IL-2-mediated increase in LCK kinase activity was manifested both by increased kinase autophosphorylation and by increased phosphorylation of the exogenous substrate enolase during in vitro kinase assays. Furthermore, immunoblot assays determined that the levels of p56-LCK protein were unaltered by IL-2-treatment, indicating that the measured elevations in LCK kinase activity reflected an increase in the specific activity of this PTK. In TALL-103/2 cells, IL-2 stimulated concentration-dependent increases in p56-LCK activity that displayed rapid and transient kinetics: detectable increases occurred within 1 minute after IL-2 stimulation, peaked at 10 minutes, and declined to baseline levels by 30 minutes. Treatment of TALL-103/2 cells with IL-4 abrogated IL-2-initiated proliferation, but did not inhibit IL-2-mediated activation of p56-LCK.(ABSTRACT TRUNCATED AT 250 WORDS)","['Torigoe, T', ""O'Connor, R"", 'Fagard, R', 'Fischer, S', 'Santoli, D', 'Reed, J C']","['Torigoe T', ""O'Connor R"", 'Fagard R', 'Fischer S', 'Santoli D', 'Reed JC']","['University of Pennsylvania, Department of Pathology & Laboratory Medicine, Philadelphia 19104.']",['eng'],"['CA-47859/CA/NCI NIH HHS/United States', 'CA-54957/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Cytokine,Cytokine,9005353,IM,"['Dose-Response Relationship, Drug', 'Enzyme Activation/drug effects', 'Humans', 'Interleukin-2/*antagonists & inhibitors', 'Interleukin-4/*pharmacology', 'Lymphocyte Activation/*drug effects', 'Lymphocyte Specific Protein Tyrosine Kinase p56(lck)', 'Protein-Tyrosine Kinases/*metabolism', 'Signal Transduction', 'T-Lymphocytes/*physiology', 'Tumor Cells, Cultured']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']","['1043-4666(92)90080-B [pii]', '10.1016/1043-4666(92)90080-b [doi]']",ppublish,Cytokine. 1992 Sep;4(5):369-76. doi: 10.1016/1043-4666(92)90080-b.,"['0 (Interleukin-2)', '207137-56-2 (Interleukin-4)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Lymphocyte Specific Protein Tyrosine Kinase p56(lck))']",,,,,,,,,,,,,,
1420860,NLM,MEDLINE,19921218,20191210,0957-5243 (Print) 0957-5243 (Linking),3,6,1992 Nov,Childhood leukemia and neonatal exposure to lighting in nurseries.,581-2,,"['Miller, R W']",['Miller RW'],"['Clinical Epidemiology Branch, National Cancer Institute, Bethesda, MD 20892.']",['eng'],,['Journal Article'],Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,IM,"['Adolescent', 'Child', 'Child, Preschool', '*Environmental Exposure', 'Humans', 'Infant', '*Infant, Newborn', 'Lighting/*adverse effects', '*Nurseries, Infant', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*etiology']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",['10.1007/BF00052755 [doi]'],ppublish,Cancer Causes Control. 1992 Nov;3(6):581-2. doi: 10.1007/BF00052755.,,,,,,,,,,,,,,,
1420855,NLM,MEDLINE,19921218,20191021,0957-5243 (Print) 0957-5243 (Linking),3,6,1992 Nov,Childhood cancer among Swedish twins.,527-32,"The risk of childhood cancer was evaluated among 35,582 twins born in Sweden between 1952 and 1967. Cancers were identified through linkage with national cancer and mortality registries. Overall, 59 childhood cancers and 41 deaths from cancer occurred before the age of 16. For both sexes combined, the cancer incidence was similar to that in the general population of primarily single-born children (number observed/number expected [O/E] = 1.0, 95 percent confidence interval [CI] = 0.7-1.2). For males under age five, cancer incidence was reduced significantly (O/E = 0.3, CI = 0.1-0.7). There was a substantial increase in all-cause mortality among twins (O/E = 3.7), attributable to a high mortality during the first year of life. Excluding this first year, the O/E for death (all causes) was 1.1 (CI = 1.0-1.3). For cancer mortality of both sexes, the O/E was 0.9 (CI = 0.6-1.2), with no significant reduction of risk in any sex-age group. We conclude that with the possible exception of males aged 0-4 years, the childhood cancer risk of twins appears similar to that of singletons.","['Rodvall, Y', 'Hrubec, Z', 'Pershagen, G', 'Ahlbom, A', 'Bjurman, A', 'Boice, J D Jr']","['Rodvall Y', 'Hrubec Z', 'Pershagen G', 'Ahlbom A', 'Bjurman A', 'Boice JD Jr']","['Department of Epidemiology, Karolinska Institute, Stockholm, Sweden.']",['eng'],['N01-CP-51033/CP/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,IM,"['Adolescent', 'Cause of Death', 'Central Nervous System Neoplasms/epidemiology/genetics/mortality', 'Child', 'Child, Preschool', 'Cohort Studies', 'Diseases in Twins/*epidemiology', 'Female', 'Humans', 'Incidence', 'Infant', 'Leukemia/epidemiology/genetics/mortality', 'Male', 'Neoplasms/*epidemiology/*genetics/mortality', 'Registries', 'Risk Factors', 'Survival Rate', 'Sweden/epidemiology']",1992/11/11 19:15,2001/03/28 10:01,['1992/11/11 19:15'],"['1992/11/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1992/11/11 19:15 [entrez]']",['10.1007/BF00052749 [doi]'],ppublish,Cancer Causes Control. 1992 Nov;3(6):527-32. doi: 10.1007/BF00052749.,,,,,,,,,,,,,,,
1420841,NLM,MEDLINE,19921202,20071114,0006-341X (Print) 0006-341X (Linking),48,3,1992 Sep,Use of external rates in nested case-control studies with application to the international radiation study of cervical cancer patients.,781-94,"A method is proposed for analysis of nested case-control studies that combines the matched comparison of covariate values between cases and controls and a comparison of the observed numbers of cases in the nesting cohort with expected numbers based on external rates and average relative risks estimated from the controls. The former comparison is based on the conditional likelihood for matched case-control studies and the latter on the unconditional likelihood for Poisson regression. It is shown that the two likelihoods are orthogonal and that their product is an estimator of the full survival likelihood that would have been obtained on the total cohort, had complete covariate data been available. Parameter estimation and significance tests follow in the usual way by maximizing this product likelihood. The method is illustrated using data on leukemia following irradiation for cervical cancer. In this study, the original cohort study showed a clear excess of leukemia in the first 15 years after exposure, but it was not feasible to obtain dose estimates on the entire cohort. However, the subsequent nested case-control study failed to demonstrate significant differences between alternative dose-response relations and effects of time-related modifiers. The combined analysis allows much clearer discrimination between alternative dose-time-response models.","['Thomas, D C', 'Blettner, M', 'Day, N E']","['Thomas DC', 'Blettner M', 'Day NE']","['Department of Preventive Medicine, University of Southern California, Los Angeles 90033.']",['eng'],"['CA 14089/CA/NCI NIH HHS/United States', 'CA 42949/CA/NCI NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biometrics,Biometrics,0370625,IM,"['*Case-Control Studies', 'Cohort Studies', 'Female', 'Humans', 'Mathematics', 'Models, Statistical', 'Risk Factors', 'Uterine Cervical Neoplasms/*epidemiology/*radiotherapy']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",,ppublish,Biometrics. 1992 Sep;48(3):781-94.,,,,,,,,,,,,,,,
1420707,NLM,MEDLINE,19921127,20190509,1058-4838 (Print) 1058-4838 (Linking),15,4,1992 Oct,Bacteremia due to vancomycin-resistant Enterococcus faecium of Van B phenotype during prophylaxis with vancomycin.,752-3,,"['Pouedras, P', 'Leclercq, R', 'Donnio, P Y', 'Sire, J M', 'Mesnard, R', 'Avril, J L']","['Pouedras P', 'Leclercq R', 'Donnio PY', 'Sire JM', 'Mesnard R', 'Avril JL']",,['eng'],,"['Case Reports', 'Letter']",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,IM,"['Ampicillin/therapeutic use', 'Bacteremia/etiology/*microbiology', 'Drug Resistance, Microbial', 'Enterococcus faecium/*drug effects/isolation & purification', 'Female', 'Gentamicins/therapeutic use', 'Gram-Positive Bacterial Infections/etiology/*microbiology', 'Humans', 'Leukemia, Myeloid/*complications', 'Middle Aged', 'Vancomycin/pharmacology/*therapeutic use']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",['10.1093/clind/15.4.752 [doi]'],ppublish,Clin Infect Dis. 1992 Oct;15(4):752-3. doi: 10.1093/clind/15.4.752.,"['0 (Gentamicins)', '6Q205EH1VU (Vancomycin)', '7C782967RD (Ampicillin)']",,,,,,,,,,,,,,
1420695,NLM,MEDLINE,19921127,20190509,1058-4838 (Print) 1058-4838 (Linking),15,4,1992 Oct,Vibrio parahaemolyticus septicemia in a patient with neutropenic leukemia.,738-9,,"['Dobroszycki, J', 'Sklarin, N T', 'Szilagy, G', 'Tanowitz, H B']","['Dobroszycki J', 'Sklarin NT', 'Szilagy G', 'Tanowitz HB']",,['eng'],['AI-07183/AI/NIAID NIH HHS/United States'],"['Case Reports', 'Letter', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,IM,"['Bacteremia/drug therapy/*etiology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/microbiology', 'Male', 'Middle Aged', 'Neutropenia/*complications', 'Vibrio Infections/drug therapy/*etiology', 'Vibrio parahaemolyticus/drug effects/*isolation & purification']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",['10.1093/clind/15.4.738 [doi]'],ppublish,Clin Infect Dis. 1992 Oct;15(4):738-9. doi: 10.1093/clind/15.4.738.,,['Clin Infect Dis. 1993 Feb;16(2):339-40. PMID: 8507240'],,,,,,,,,,,,,
1420600,NLM,MEDLINE,19921216,20171116,1056-5477 (Print) 1056-5477 (Linking),11,4,1992 Aug,The immunomodulatory role of IFN-alpha or maltose-stabilized IFN-alpha on T-cell activation.,221-7,"The effects of human interferon-alpha (IFN-alpha) or maltose-stabilized IFN-alpha (MS-IFN-alpha) on IL-2 production by PHA- or anti-CD3 mAb-stimulated MOLT 16 cells, a human leukemic T cell line, were studied. MS-IFN-alpha is an IFN-alpha-containing powder in which maltose was used as an excipient, and has been shown to have a positive effect on human immunodeficiency virus (HIV)-infected patients. In this study, MS-IFN-alpha powder was dissolved in a culture medium and used for the experiments. IL-2 production by PHA- or anti-CD3 mAb-stimulated MOLT 16 cells was augmented by coculturing with IFN-alpha or MS-IFN-alpha. The augmentation of IL-2 production by IFN-alpha or MS-IFN-alpha was completely abrogated by rabbit anti-IFN-alpha antibody. We have previously shown that IL-2 production by PHA-stimulated MOLT 16 cells is augmented by coculturing with IL-1. Furthermore, IL-2 production by PHA-stimulated MOLT 16 cells was also augmented by human TNF-alpha in a dose-dependent manner. The TNF-alpha-induced augmentation was completely abrogated by rabbit anti-TNF-alpha antibody. Interestingly, both IFN-alpha and MS-IFN-alpha synergized with rIL-1 alpha or TNF-alpha resulting in IL-2 production being augmented far more effectively than either cytokine alone.(ABSTRACT TRUNCATED AT 250 WORDS)","['Kohno, K', 'Holan, V', 'Matsuda, S', 'Kurimoto, M', 'Minowada, J']","['Kohno K', 'Holan V', 'Matsuda S', 'Kurimoto M', 'Minowada J']","['Fujisaki Cell Center, Hayashibara Biochemical Laboratories, Inc., Okayama, Japan.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Lymphokine Cytokine Res,Lymphokine and cytokine research,9107882,IM,"['Antibodies, Monoclonal', 'CD3 Complex/immunology', 'Drug Stability', 'Humans', 'Interferon-alpha/*physiology', 'Interleukin-1/physiology', 'Interleukin-2/*biosynthesis', 'Leukemia, T-Cell', 'Lymphocyte Activation', 'Maltose', 'Phytohemagglutinins/pharmacology', 'Recombinant Proteins/pharmacology', 'T-Lymphocytes/*immunology', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/physiology']",1992/08/01 00:00,1992/08/01 00:01,['1992/08/01 00:00'],"['1992/08/01 00:00 [pubmed]', '1992/08/01 00:01 [medline]', '1992/08/01 00:00 [entrez]']",,ppublish,Lymphokine Cytokine Res. 1992 Aug;11(4):221-7.,"['0 (Antibodies, Monoclonal)', '0 (CD3 Complex)', '0 (Interferon-alpha)', '0 (Interleukin-1)', '0 (Interleukin-2)', '0 (Phytohemagglutinins)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '69-79-4 (Maltose)']",,,,,,,,,,,,,,
1420581,NLM,MEDLINE,19921222,20190516,0916-7250 (Print) 0916-7250 (Linking),54,5,1992 Oct,"Conglutinin, mannan-binding protein, and serum amyloid P component concentrations in sera from cows: changes associated with mastitis.",977-81,"To study the roles of conglutinin (Kg), mannan-binding protein (MBP), and serum amyloid P component (SAP) in the protection of cattle against infections, the concentrations of these proteins in the sera from cows with mastitis were determined by sandwich enzyme-linked immunosorbent assays. The Kg and MBP concentrations in the sera from cows with mastitis were much lower than those from uninfected (or clinically healthy) ones, and increased after recovery. No significant difference in the SAP concentrations was found between healthy and infected cows. With the sera from cows experimentally infected with bovine leukemia virus, the Kg concentrations were also lower than those from uninfected ones, whereas the MBP concentrations were not. From these findings, the Kg concentration is suggested to be serologically a possible indicator for clinical diagnosis of treatment for mastitis although both Kg and MBP concentrations were found to decrease in cows with mastitis and to increase after recovery.","['Akiyama, K', 'Sugii, S', 'Hirota, Y']","['Akiyama K', 'Sugii S', 'Hirota Y']","['Ashoro Branch, Hokkaido Tokachi Agricultural Mutual-Aid Association, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,J Vet Med Sci,The Journal of veterinary medical science,9105360,IM,"['Animals', 'Carrier Proteins/blood/*immunology', 'Cattle', 'Collectins', 'Enzyme-Linked Immunosorbent Assay/veterinary', 'Mastitis, Bovine/blood/*immunology', 'Serum Amyloid P-Component/*immunology/metabolism', 'Serum Globulins/*immunology/metabolism']",1992/10/01 00:00,2000/06/01 00:00,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '2000/06/01 00:00 [medline]', '1992/10/01 00:00 [entrez]']",['10.1292/jvms.54.977 [doi]'],ppublish,J Vet Med Sci. 1992 Oct;54(5):977-81. doi: 10.1292/jvms.54.977.,"['0 (Carrier Proteins)', '0 (Collectins)', '0 (Serum Amyloid P-Component)', '0 (Serum Globulins)', '0 (conglutinin)']",,,,,,,,,,,,,,
