PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CIN,GS,PMC,CON,TT,RF,OTO,OT,IR,FIR,IRAD,SI,EIN,OID,OAB,OABL,GN,EFR
1370420,NLM,MEDLINE,19920220,20190907,0902-4441 (Print) 0902-4441 (Linking),48,1,1992 Jan,CD1-reactive leukemic cells in bone marrow: presence of Langerhans cell marker on leukemic monocytic cells.,27-32,"Langerhans cells originate in bone marrow and probably belong to the monocyte-macrophage lineage. CD1 is a specific marker of Langerhans cells. By immunofluorescence and immunoelectron microscopy, CD1a antigen and myeloid markers (CD11, CD13, CD14, CD15, CD33, HLA-DR) were studied in 53 cases of acute myeloid leukemias (AML) and 3 acute lymphoblastic leukemias (ALL). The 11 ANLL without monocytic component were CD1a negative. 2/5 of acute myelomonocytic leukemias (AML4) and 9/37 of acute monocytic leukemias (AML5) were positive. All 3 ALL were negative. No correlation was found between CD1a and myeloid markers. CD1a+ AML did not differ from CD1a- AML with regard to cytogenetics or response to therapy. The CD1a positive cells may originate from an abnormal proliferation of CD1a positive cells which are present in bone marrow and which may differentiate into Langerhans cell precursors.","['Misery, L', 'Campos, L', 'Dezutter-Dambuyant, C', 'Guyotat, D', 'Treille, D', 'Schmitt, D', 'Thivolet, J']","['Misery L', 'Campos L', 'Dezutter-Dambuyant C', 'Guyotat D', 'Treille D', 'Schmitt D', 'Thivolet J']","['Laboratoire de Recherche Dermatologique et Immunologie, Unite Inserm 209, Hopital Edouard Herriot, France.']",['eng'],['Journal Article'],England,Eur J Haematol,European journal of haematology,8703985,"['0 (Antigens, CD)', '0 (Antigens, CD1)', '0 (Antigens, Surface)', '0 (Biomarkers)', '0 (HLA-DR Antigens)']",IM,"['Antigens, CD/*analysis', 'Antigens, CD1', 'Antigens, Surface/analysis', 'Biomarkers', 'Bone Marrow/immunology/*pathology', 'Fluorescent Antibody Technique', 'HLA-DR Antigens/analysis', 'Humans', 'Karyotyping', 'Langerhans Cells/immunology/*pathology', 'Leukemia, Myeloid, Acute/genetics/immunology/*pathology/therapy', 'Microscopy, Electron', 'Middle Aged', 'Monocytes/immunology/pathology/ultrastructure', 'Prognosis']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1992.tb01789.x [doi]'],ppublish,Eur J Haematol. 1992 Jan;48(1):27-32. doi: 10.1111/j.1600-0609.1992.tb01789.x.,,,,,,,,,,,,,,,,,,,
1370389,NLM,MEDLINE,19920218,20210216,0006-4971 (Print) 0006-4971 (Linking),79,2,1992 Jan 15,"The gene for B7, a costimulatory signal for T-cell activation, maps to chromosomal region 3q13.3-3q21.",489-94,"B7 is an activation antigen expressed on activated B cells and gamma-interferon-stimulated monocytes. The B7 antigen is the natural ligand for CD28 on T cells. After engagement of T-cell receptor with antigen in association with major histocompatibility complex class II, a second signal mediated through the binding of B7 to CD28 greatly upregulates the production of multiple lymphokines. We have now mapped the B7 gene to human chromosome 3 using the technique of polymerase chain reaction on a panel of hamster x human somatic cell hybrid DNAs. We have further localized the gene to 3q13.3-3q21 using in situ hybridization on human metaphase chromosomes. Trisomy of chromosome 3 is a recurrent chromosome change seen in various lymphomas and lymphoproliferative diseases, particularly diffuse, mixed, small, and large cell lymphomas, human T-cell lymphotropic virus type I-induced adult T-cell leukemia, and angioimmunoblastic lymphadenopathy. A number of chromosomal defects involving 3q21 have been described in acute myeloid leukemia and also in myelodysplastic and myeloproliferative syndromes. The mapping of B7 may permit further insight into disease states associated with aberrant lymphocyte activation and lymphokine synthesis.","['Freeman, G J', 'Disteche, C M', 'Gribben, J G', 'Adler, D A', 'Freedman, A S', 'Dougery, J', 'Nadler, L M']","['Freeman GJ', 'Disteche CM', 'Gribben JG', 'Adler DA', 'Freedman AS', 'Dougery J', 'Nadler LM']","['Division of Tumor Immunology, Dana-Farber Cancer Institute, Boston, MA 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antigens, Surface)', '0 (B7-1 Antigen)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antigens, Surface/*genetics', '*B-Lymphocytes', 'B7-1 Antigen', 'Base Sequence', '*Chromosome Mapping', '*Chromosomes, Human, Pair 3', 'Cricetinae', 'DNA/chemistry', 'Humans', 'Hybrid Cells', '*Lymphocyte Activation', 'Molecular Sequence Data', 'Nucleic Acid Hybridization', 'Polymerase Chain Reaction', '*T-Lymphocytes']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",['S0006-4971(20)75052-4 [pii]'],ppublish,Blood. 1992 Jan 15;79(2):489-94.,"['1FO5 TWO4469/TW/FIC NIH HHS/United States', 'AG0057/AG/NIA NIH HHS/United States', 'CA-40216/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
1370388,NLM,MEDLINE,19920218,20210216,0006-4971 (Print) 0006-4971 (Linking),79,2,1992 Jan 15,Clinical significance of multidrug resistance P-glycoprotein expression on acute nonlymphoblastic leukemia cells at diagnosis.,473-6,"To evaluate the clinical value of the expression of multidrug resistance P-glycoprotein (P-170) on the surface of acute nonlymphoblastic leukemia (ANLL) cells, we analyzed specimens from 150 newly diagnosed patients for staining with MRK16, a monoclonal antibody (MoAb) that binds to an external epitope of P-170. Other surface markers (CD13, CD14, CD15, and CD34) were studied by the same technique. A marker was considered positive when 20% or more cells were stained. Of 150 samples, 71 were P-170-positive. These cases did not differ from P-170-negative cases with regard to age, sex, initial white blood cell (WBC) counts, or French-American-British (FAB) type (except for M3 ANLL, which were more frequently negative). However, leukemias arising from previous myelodysplastic syndrome (MDS) and therapy-induced leukemias were more frequently P-170-positive. CD34 and P-170 expression were significantly associated. All patients were treated by intensive chemotherapy. Complete remission (CR) rates were significantly lower in P-170-positive (23/71, 32%) than in P-170-negative cases (64/79, 81%) (P less than 10(-5)). CD34 positivity was also associated with a low remission rate (P less than 10(-5)). Survival was shorter for P-170- and CD34-positive patients (P less than 10(-5)). The prognostic value of both markers was confirmed in multivariate analysis. CR duration was also shorter for P-170-positive cases, but the difference is less significant (P = .05). It is concluded that P-170 analysis may be an important tool for predicting the outcome of intensive chemotherapy in ANLL patients.","['Campos, L', 'Guyotat, D', 'Archimbaud, E', 'Calmard-Oriol, P', 'Tsuruo, T', 'Troncy, J', 'Treille, D', 'Fiere, D']","['Campos L', 'Guyotat D', 'Archimbaud E', 'Calmard-Oriol P', 'Tsuruo T', 'Troncy J', 'Treille D', 'Fiere D']","['Service de Cryobiologie, Centre de Transfusion Sanguine, Lyon, France.']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (Membrane Glycoproteins)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1', 'Antigens, CD/analysis', 'Antigens, CD34', '*Drug Resistance', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia, Myeloid, Acute/immunology/*metabolism', 'Membrane Glycoproteins/*analysis', 'Middle Aged', 'Prognosis', 'Remission Induction']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",['S0006-4971(20)75049-4 [pii]'],ppublish,Blood. 1992 Jan 15;79(2):473-6.,,['Blood. 1992 Jul 15;80(2):557-9. PMID: 1627808'],,,,,,,,,,,,,,,,,
1370384,NLM,MEDLINE,19920218,20210216,0006-4971 (Print) 0006-4971 (Linking),79,2,1992 Jan 15,Isolation and characterization of a monoclonal antibody that recognizes the human c-kit receptor.,338-46,"Stem cell factor (SCF) stimulates the growth of burst-forming unit-erythroid (BFU-E) and colony-forming unit granulocyte-macrophage (CFU-GM) by binding to a specific cell surface receptor. The receptor for SCF is encoded by the protooncogene c-kit. After immunizing mice with the human erythroleukemia cell line OCIM1, we obtained a monoclonal antibody (MoAb) that recognizes the human c-kit receptor. This MoAb, designated SR-1, blocks binding of 125I-human SCF to the c-kit receptor, and neutralizes the biologic effects of SCF in hematopoietic colony assays. With few exceptions, c-kit expression was identified on all hematopoietic and lymphoid cell lines tested by indirect immunofluorescent analysis using SR-1 and by binding studies with 125I-SCF. SR-1 recognizes a small fraction of normal bone marrow mononuclear cells, and these cells have the morphologic appearance of blasts. Colony assays show that BFU-E and CFU-GM display the c-kit receptor. SR-1 does not cross-react with murine c-kit protein, indicating that the binding epitopes of the human and murine c-kit receptors are antigenically distinct. This MoAb may be useful to characterize the spectrum of cells that display the c-kit receptor and to further define the role of SCF in hematopoiesis.","['Broudy, V C', 'Lin, N', 'Zsebo, K M', 'Birkett, N C', 'Smith, K A', 'Bernstein, I D', 'Papayannopoulou, T']","['Broudy VC', 'Lin N', 'Zsebo KM', 'Birkett NC', 'Smith KA', 'Bernstein ID', 'Papayannopoulou T']","['Department of Medicine, University of Washington, Seattle 98195.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Hematopoietic Cell Growth Factors)', '0 (Proto-Oncogene Proteins)', '0 (Stem Cell Factor)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology/*isolation & purification', 'Antibody Specificity', 'Antigens, Neoplasm/immunology', 'Bone Marrow Cells', 'Erythroid Precursor Cells/chemistry', 'Female', 'Fluorescent Antibody Technique', 'Granulocytes/chemistry', 'Hematopoietic Cell Growth Factors/antagonists & inhibitors/metabolism', 'Hematopoietic Stem Cells/chemistry', 'Humans', 'Leukemia, Erythroblastic, Acute/immunology', 'Lymphocytes/chemistry', 'Macrophages/chemistry', 'Mice', 'Mice, Inbred BALB C', 'Proto-Oncogene Proteins/analysis/*immunology/metabolism', 'Proto-Oncogene Proteins c-kit', 'Stem Cell Factor', 'Tumor Cells, Cultured']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",['S0006-4971(20)75033-0 [pii]'],ppublish,Blood. 1992 Jan 15;79(2):338-46.,"['CA39492/CA/NCI NIH HHS/United States', 'DK31232/DK/NIDDK NIH HHS/United States', 'MO1 RR00037/RR/NCRR NIH HHS/United States']",,,,,,,,,,,,,,,,,,
1370341,NLM,MEDLINE,19920210,20210526,0270-7306 (Print) 0270-7306 (Linking),12,1,1992 Jan,Expression of the Evi-1 zinc finger gene in 32Dc13 myeloid cells blocks granulocytic differentiation in response to granulocyte colony-stimulating factor.,183-9,"Expression of the Evi-1 gene is frequently activated in murine myeloid leukemias by retroviral insertions immediately 5' or 90 kb 5' of the gene. The Evi-1 gene product is a nuclear, DNA-binding zinc finger protein of 145 kDa. On the basis of the properties of the myeloid cell lines in which the Evi-1 gene is activated, it has been hypothesized that its expression blocks normal differentiation. To explore this proposed role, we have constructed a retrovirus vector containing the gene and examined its effects on an interleukin-3-dependent myeloid cell line that differentiates in response to granulocyte colony-stimulating factor (G-CSF). Expression of the Evi-1 gene in these cells did not alter the normal growth factor requirements of the cells. However, expression of the Evi-1 gene blocked the ability of the cells to express myeloperoxidase and to terminally differentiate to granulocytes in response to G-CSF. This effect was not due to altered expression of the G-CSF receptor or to changes in the initial responses of the cells to G-CSF. These results support the hypothesis that the inappropriate expression of the Evi-1 gene in myeloid cells interferes with the ability of the cells to terminally differentiate.","['Morishita, K', 'Parganas, E', 'Matsugi, T', 'Ihle, J N']","['Morishita K', 'Parganas E', 'Matsugi T', 'Ihle JN']","[""Department of Biochemistry, St. Jude Children's Research Hospital, Memphis, Tennessee 38105.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA-Binding Proteins)', '0 (MDS1 and EVI1 Complex Locus Protein)', '0 (Mecom protein, mouse)', '0 (Transcription Factors)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Animals', 'Cell Differentiation/*genetics', 'Cell Division', 'Cell Transformation, Neoplastic/genetics', 'DNA-Binding Proteins/*genetics', 'Gene Expression', 'Granulocyte Colony-Stimulating Factor/*physiology', 'Granulocytes/*cytology', 'Leukemia, Myeloid', 'MDS1 and EVI1 Complex Locus Protein', 'Mice', '*Proto-Oncogenes', '*Transcription Factors', 'Tumor Cells, Cultured', 'Zinc Fingers/*genetics']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1128/mcb.12.1.183-189.1992 [doi]'],ppublish,Mol Cell Biol. 1992 Jan;12(1):183-9. doi: 10.1128/mcb.12.1.183-189.1992.,"['P30 CA21765/CA/NCI NIH HHS/United States', 'R01 CA51020/CA/NCI NIH HHS/United States']",,['Evi-1'],PMC364082,,,,,,,,,,,,,,,
1370317,NLM,MEDLINE,19920210,20190907,0955-3002 (Print) 0955-3002 (Linking),61,1,1992 Jan,The in vitro radiosensitivity of lymphocytes from chronic lymphocytic leukaemia using the differential staining cytotoxicity (DiSC) assay. II--Results on 40 patients.,111-21,"A tumour sensitivity assay, the differential staining cytotoxicity (DiSC) assay, which has been shown to have potential in predicting tumour response to cytotoxic drugs, has been used to investigate the radiosensitivity of peripheral blood lymphocytes isolated from patients with chronic lymphocytic leukaemia (CLL). The isolated lymphocytes were irradiated and incubated for 4 days. Radiation-induced cell kill was assessed by differential staining of dead and live cells with subsequent calculation of tumour cell viability. The results of 61 CLL specimens from 40 patients are reported, showing profound inter-patient differences in the sensitivity of cells to radiation. Five patient specimens, which were radioresistant in vitro, were from patients who were also resistant clinically to irradiation. Another patient who responded very well clinically was found to be extremely sensitive in the assay.","['Hinkley, H J', 'Bosanquet, A G']","['Hinkley HJ', 'Bosanquet AG']","['Bath Cancer Research Unit, Royal United Hospital, UK.']",['eng'],['Journal Article'],England,Int J Radiat Biol,International journal of radiation biology,8809243,,IM,"['Aged', 'Aged, 80 and over', 'Cell Survival/radiation effects', '*Cytological Techniques', 'Dose-Response Relationship, Radiation', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Lymphocytes/*radiation effects', 'Middle Aged', '*Radiation Tolerance', 'Staining and Labeling']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']","['J5DM1HLTMP6EPC0Q [pii]', '10.1080/09553009214550681 [doi]']",ppublish,Int J Radiat Biol. 1992 Jan;61(1):111-21. doi: 10.1080/09553009214550681.,,,,,,,,,,,,,,,,,,,
1370316,NLM,MEDLINE,19920210,20190907,0955-3002 (Print) 0955-3002 (Linking),61,1,1992 Jan,The in vitro radiosensitivity of lymphocytes from chronic lymphocytic leukaemia using the differential staining cytotoxicity (DiSC) assay. I--Investigation of the method.,103-10,"A tumour sensitivity assay, the differential staining cytotoxicity (DiSC) assay, which has been shown to have potential in predicting tumour response to cytotoxic drugs, has been developed to investigate the radiosensitivity of peripheral blood lymphocytes isolated from patients with chronic lymphocytic leukaemia (CLL). The method involved irradiating isolated lymphocytes (0.64-20.48 Gy at 8 x 10(5) cells/ml) and incubating for 4 days. Subsequent radiation-induced cell kill was assessed by differential staining of dead and live cells and calculation of tumour cell viability. Factors affecting assay success rate and in vitro radioresponse were investigated. Results were shown to be reproducible both when repeat assays were performed on the same specimen on the same day, and on different specimens from the same patient after intervening periods of time. Greater than 1 day transit time (whole blood) or storage (separated cells in medium) was found to be detrimental to assay success, but pH of the medium (either pH 7.3 or 8) had little effect. An increased incubation period (from 4 to 7 days) slightly reduced cell survival, but the underlying radioresponsiveness of the cells did not change.","['Hinkley, H J', 'Bosanquet, A G']","['Hinkley HJ', 'Bosanquet AG']","['Bath Cancer Research Unit, Royal United Hospital, UK.']",['eng'],['Journal Article'],England,Int J Radiat Biol,International journal of radiation biology,8809243,,IM,"['*Cytological Techniques', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Lymphocytes/*radiation effects', '*Radiation Tolerance', 'Staining and Labeling']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']","['A2Y1YWLUXJ1HPMVQ [pii]', '10.1080/09553009214550671 [doi]']",ppublish,Int J Radiat Biol. 1992 Jan;61(1):103-10. doi: 10.1080/09553009214550671.,,,,,,,,,,,,,,,,,,,
1370314,NLM,MEDLINE,19920211,20031114,0022-1767 (Print) 0022-1767 (Linking),148,2,1992 Jan 15,Inhibition of IgE binding to RBL-2H3 cells by a monoclonal antibody (BD6) to a surface protein other than the high affinity IgE receptor.,524-31,"A mAb was isolated (mAb BD6) that recognized a surface glycoprotein on rat basophilic leukemia cells (RBL-2H3). The antibody bound to 2 x 10(6) molecules/cell and specifically blocked IgE binding (50% inhibition with 3.48 +/- 0.51 micrograms/ml; mean +/- SEM), although neither IgE nor anti-high affinity IgE receptor (anti-Fc epsilon RI) mAb blocked mAb BD6 binding to the cells. mAb BD6 did not affect the rate of dissociation of cell-bound IgE, nor did it induce or inhibit the internalization of IgE. mAb BD6 did not release histamine. However, it did cause rapid spreading of the cells. By 1 h the cells had retracted to a spherical shape with their surface covered with membranous spikes, and they could easily be detached from the tissue culture plate. These changes differed from those observed after Fc epsilon RI activation. mAb BD6 immunoprecipitated a complex of two proteins, 38 to 50 kDa and 135 kDa from 125I-surface labeled rat basophilic leukemia cells that are not subunits of Fc epsilon RI. Chemical cross-linking studies showed that these molecules are associated on the cell surface. By immunoblotting, mAb BD6 reacted with a 40-kDa protein. Therefore, mAb BD6 binds to a surface protein that is close to the Fc epsilon RI and sterically inhibits 125I-IgE binding.","['Hamawy, M M', 'Oliver, C', 'Siraganian, R P']","['Hamawy MM', 'Oliver C', 'Siraganian RP']","['Clinical Immunology Section, National Institute of Dental Research, National Institutes of Health, Bethesda, MD 20892.']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Epitopes)', '0 (Membrane Glycoproteins)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '37341-29-0 (Immunoglobulin E)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology/isolation & purification', 'Antigens, Differentiation, B-Lymphocyte/*physiology', 'Epitopes', 'Histamine Release', 'Immunoglobulin E/*metabolism', 'Leukemia, Basophilic, Acute/immunology/pathology', 'Membrane Glycoproteins/*physiology', 'Mice', 'Mice, Inbred BALB C', 'Precipitin Tests', 'Rats', 'Receptors, Fc/*physiology', 'Receptors, IgE', 'Tumor Cells, Cultured']",1992/01/15 00:00,1992/01/15 00:01,['1992/01/15 00:00'],"['1992/01/15 00:00 [pubmed]', '1992/01/15 00:01 [medline]', '1992/01/15 00:00 [entrez]']",,ppublish,J Immunol. 1992 Jan 15;148(2):524-31.,,,,,,,,,,,,,,,,,,,
1370257,NLM,MEDLINE,19920211,20190819,0090-1229 (Print) 0090-1229 (Linking),62,1 Pt 1,1992 Jan,A dual anti-tumor effect of a combination of interferon-alpha or interleukin-2 and 5-fluorouracil on natural killer (NK) cell-mediated cytotoxicity.,103-11,"Previous in vitro and in vivo studies have shown a synergism between interferon (IFN) and 5-fluorouracil (5-FU) against different tumor cell lines. In the present study we report that the combination of IFN-alpha and 5-FU has a significant effect not only on the inhibition of tumor cell growth but also on the regulation of natural killer cell-mediated cytotoxicity (NK-CMC). The addition of 5-FU to effector cell population neither affects NK cell activity nor activation of NK cells by IFN or by interleukin (IL)-2. However, pretreatment of target cells with 5-FU increased their susceptibility to NK activity and abolished the protective effect induced by IFN against NK-CMC. This dual effect of IFN-alpha and 5-FU was found to be applicable to target cells of different origins including a cervical carcinoma cell line (ME-180), a hairy cell leukemia-like cell line (Eskol), a CML cell line (K-562) and a primary culture of AIDS-related Kaposi's sarcoma cells. Similar results were found with IL-2 treatment of Eskol cells but not other cells. Combination of IL-2 with 5-FU resulted in enhancement of the sensitivity of the cells to NK activity and abolished the protection against NK-CMC. Based on these results we propose that the combination of IFN-alpha and 5-FU not only has a direct growth inhibitory effect on tumor cells but also has a regulatory role on the immunological arm of the NK-CMC. Moreover, since the combination gave the same pattern of response in different tumor cells, both NK-sensitive and NK-resistant, this combination treatment may be a candidate for clinical trials in various types of tumors.","['Reiter, Z', 'Ozes, O N', 'Blatt, L M', 'Taylor, M W']","['Reiter Z', 'Ozes ON', 'Blatt LM', 'Taylor MW']","['Department of Biology, Indiana University, Bloomington 47405.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Interferon-alpha)', '0 (Interleukin-2)', '63231-63-0 (RNA)', 'U3P01618RT (Fluorouracil)']",IM,"['Cell Division/drug effects', 'Cytotoxicity, Immunologic/*drug effects', 'Drug Synergism', 'Fluorouracil/*administration & dosage/pharmacology', 'Humans', 'Interferon-alpha/*administration & dosage/pharmacology', 'Interleukin-2/*administration & dosage/pharmacology', 'Killer Cells, Lymphokine-Activated/drug effects', 'Killer Cells, Natural/*drug effects/immunology', 'RNA/metabolism']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1016/0090-1229(92)90029-n [doi]'],ppublish,Clin Immunol Immunopathol. 1992 Jan;62(1 Pt 1):103-11. doi: 10.1016/0090-1229(92)90029-n.,['CA53783/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,
1370235,NLM,MEDLINE,19920203,20190610,0140-6736 (Print) 0140-6736 (Linking),339,8785,1992 Jan 11,BEAM regimen and G-CSF in HTLV-I-associated T-cell lymphoma.,133-4,,"['Brito-Babapulle, F', 'Arya, R', 'Griffiths, T', 'Pagliuca, A', 'Mufti, G J']","['Brito-Babapulle F', 'Arya R', 'Griffiths T', 'Pagliuca A', 'Mufti GJ']",,['eng'],"['Case Reports', 'Letter']",England,Lancet,"Lancet (London, England)",2985213R,"['04079A1RDZ (Cytarabine)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '6PLQ3CP4P3 (Etoposide)', 'Q41OR9510P (Melphalan)', 'U68WG3173Y (Carmustine)', 'BEAM regimen']",IM,"['*Antineoplastic Combined Chemotherapy Protocols', 'Carmustine/therapeutic use', 'Cytarabine/therapeutic use', 'Drug Therapy, Combination', 'Etoposide/therapeutic use', 'Female', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Hematopoiesis/drug effects', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*drug therapy', 'Melphalan/therapeutic use', 'Middle Aged']",1992/01/11 00:00,1992/01/11 00:01,['1992/01/11 00:00'],"['1992/01/11 00:00 [pubmed]', '1992/01/11 00:01 [medline]', '1992/01/11 00:00 [entrez]']","['0140-6736(92)91052-A [pii]', '10.1016/0140-6736(92)91052-a [doi]']",ppublish,Lancet. 1992 Jan 11;339(8785):133-4. doi: 10.1016/0140-6736(92)91052-a.,,,,,,,,,,,,,,,,,,,
