PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1311254,NLM,MEDLINE,19920331,20181113,0261-4189 (Print) 0261-4189 (Linking),11,2,1992 Feb,"DNA binding by c-Ets-1, but not v-Ets, is repressed by an intramolecular mechanism.",643-52,"The E26 avian retrovirus causes an acute leukemia in chickens and transforms both myeloid and erythroid cells. The virus encodes a 135 kDa fusion protein which contains amino acid sequences derived from the viral Gag protein and the two cellular transcription factors c-Myb and c-Ets-1p68. Previously we have shown that like v-myb, v-ets on its own is also active in transformation, but only within the erythroid lineage. To understand better the mechanisms involved in the oncogenic activation of c-Ets-1p68, we used the polyoma PEA3 element, a known Ets binding site, to compare the sequence-specific DNA binding and transactivating properties of v-Ets and c-Ets-1p68. Using Ets protein synthesized in rabbit reticulocyte lysate in gel retardation assays, we detected little binding of c-Ets-1p68 to an oligonucleotide containing the PEA3 motif whereas v-Ets bound strongly. However, in transient cotransfection assays in chicken embryo fibroblasts both c-Ets-1p68 and v-Ets transactivated transcription from a heterologous promoter linked to PEA3 elements. Interestingly, fragments of c-Ets-1p68 with strong DNA binding activity could be produced by limited proteolysis, indicating that the DNA binding domain is repressed within the full-length molecule. By deletion mapping the DNA binding domain was localized to the most highly conserved region of the Ets-related proteins known as the ETS domain. The C-terminus as well as a region in the middle of the polypeptide chain are involved in repression of DNA binding in c-Ets-1p68. Significantly, v-Ets contains a 16 amino acid substitution at the C-terminus. Our results suggest that intramolecular repression of DNA binding is a regulatory mechanism in c-Ets-1p68 which is lost in v-Ets.","['Lim, F', 'Kraut, N', 'Framptom, J', 'Graf, T']","['Lim F', 'Kraut N', 'Framptom J', 'Graf T']","['European Molecular Biology Laboratory, Heidelberg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,"['0 (DNA-Binding Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Recombinant Proteins)', '0 (Retroviridae Proteins, Oncogenic)', '0 (Transcription Factors)', '0 (oncogene proteins v-ets)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['c-Ets', 'v-Ets']","['Animals', 'Avian Leukosis Virus/*genetics', 'Base Sequence', 'Cells, Cultured', 'Chick Embryo', 'Chromosome Deletion', 'DNA-Binding Proteins/*metabolism', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', '*Oncogenes', 'Plasmids', 'Polymerase Chain Reaction', 'Protein Biosynthesis', 'Protein-Tyrosine Kinases/metabolism', 'Proto-Oncogene Proteins/*genetics/*metabolism', 'Proto-Oncogene Proteins c-ets', '*Proto-Oncogenes', 'Recombinant Proteins/metabolism', 'Restriction Mapping', 'Retroviridae Proteins, Oncogenic/*genetics/*metabolism', 'Templates, Genetic', 'Transcription Factors/*metabolism', 'Transcription, Genetic', 'Transcriptional Activation', 'Transfection']",PMC556496,1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",ppublish,EMBO J. 1992 Feb;11(2):643-52.,,,,,,,,,,,,,,,
1311253,NLM,MEDLINE,19920331,20181113,0261-4189 (Print) 0261-4189 (Linking),11,2,1992 Feb,"Structure, localization and transcriptional properties of two classes of retinoic acid receptor alpha fusion proteins in acute promyelocytic leukemia (APL): structural similarities with a new family of oncoproteins.",629-42,"Acute promyelocytic leukemia (APL) is due to a chromosomal t(15;17) translocation which involves a novel human gene, Myl, (also named PML) and the retinoic acid (RA) receptor alpha (RAR-alpha) gene. We report here the characterization of Myl and of the reciprocal MylRAR (PMLRAR) and RARMyl (RARPML) fusion transcripts which are found in two classes of APL patients. Myl displays similarities with a new family of proteins of which some members are fused to protooncogenes in the transforming proteins RFP-ret and T18. The speckled nuclear localization of Myl, as well as its sequence homology with the 52 kDa component of the RO/SSA ribonucleoprotein particle, suggest that Myl may be present in a ribonucleoprotein complex. In contrast to both Myl and RAR-alpha whose localization is essentially nuclear in the presence or absence of RA, MylRAR which is largely cytoplasmic in the absence of RA appears to be translocated to the nucleus in the presence of RA. Myl and MylRAR can associate in vitro and this association is mediated by a coiled coil in the Myl sequence. In vivo this association results in a colocalization of Myl and MylRAR which is identical to that of MylRAR alone. Studies of activation of transcription from the promoters of several RA target genes indicate that MylRARs have altered transcription activation properties when compared with RAR-alpha. Most notably, MylRAR represses markedly the activity of some RA target promoters in the absence of RA. Western blot analyses of patient samples show that MylRAR is expressed to a much higher level than wild type RAR-alpha originating from the normal allele. Taken together, these results suggest that MylRAR may interfere in a dominant manner with both Myl and RAR functions.","['Kastner, P', 'Perez, A', 'Lutz, Y', 'Rochette-Egly, C', 'Gaub, M P', 'Durand, B', 'Lanotte, M', 'Berger, R', 'Chambon, P']","['Kastner P', 'Perez A', 'Lutz Y', 'Rochette-Egly C', 'Gaub MP', 'Durand B', 'Lanotte M', 'Berger R', 'Chambon P']","['Laboratoire de Genetique Moleculaire des Eucaryotes, CNRS, INSERM, Faculte de Medecine 11, Strasbourg, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,"['0 (Carrier Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (Oligonucleotide Probes)', '0 (Oncogene Proteins)', '0 (Receptors, Retinoic Acid)', '0 (Recombinant Fusion Proteins)', '5688UTC01R (Tretinoin)']",IM,"['My1', 'RAR-&agr;']","['Alleles', 'Amino Acid Sequence', 'Base Sequence', 'Carrier Proteins/*genetics/*metabolism', 'Cell Line', 'Chromosomes, Human, Pair 15', 'Chromosomes, Human, Pair 17', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Oligonucleotide Probes', 'Oncogene Proteins/*genetics/*metabolism', 'Polymerase Chain Reaction', 'Receptors, Retinoic Acid', 'Recombinant Fusion Proteins/metabolism', 'Sequence Homology, Nucleic Acid', '*Transcription, Genetic', 'Transfection', 'Translocation, Genetic', 'Tretinoin/metabolism']",PMC556495,1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",ppublish,EMBO J. 1992 Feb;11(2):629-42.,"['GENBANK/D13200', 'GENBANK/D13201', 'GENBANK/D13202', 'GENBANK/D13203', 'GENBANK/L07339', 'GENBANK/M94783', 'GENBANK/M94784', 'GENBANK/M94785', 'GENBANK/X63131', 'GENBANK/X63350']",,,,,,,,,,,,,,
1311252,NLM,MEDLINE,19920331,20181113,0261-4189 (Print) 0261-4189 (Linking),11,2,1992 Feb,Immunoglobulin V gene replacement is caused by the intramolecular DNA deletion mechanism.,611-8,"Circular DNA resulting from V gene replacement was studied with an A-MuLV transformed cell line containing ablts. This cell line undergoes V gene replacement at elevated temperatures in the immunoglobulin (Ig) heavy chain (H) gene. Examination of circular DNA revealed that a heptamer-related sequence (TACTGTG) within the coding region of VDJ was joined to the recombination signal sequence (RSS) of a germline VH segment. This provides direct evidence for a intramolecular DNA deletion mechanism for V gene replacement. In the pre-B cell line as well as in in vivo lymphocytes, unusual circular DNAs were found which were structurally similar to the V gene replacement circles. They represented excision products of the deletion type recombination between one complete RSS and a heptamer-like sequence in the Ig H region.","['Usuda, S', 'Takemori, T', 'Matsuoka, M', 'Shirasawa, T', 'Yoshida, K', 'Mori, A', 'Ishizaka, K', 'Sakano, H']","['Usuda S', 'Takemori T', 'Matsuoka M', 'Shirasawa T', 'Yoshida K', 'Mori A', 'Ishizaka K', 'Sakano H']","['Department of Molecular and Cell Biology, University of California, Berkeley 94720.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,EMBO J,The EMBO journal,8208664,"['0 (DNA Probes)', '0 (DNA, Circular)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Variable Region)', '0 (Oligodeoxyribonucleotides)', '9007-49-2 (DNA)']",IM,,"['Animals', 'B-Lymphocytes/immunology', 'Base Sequence', 'Cell Line, Transformed', '*Chromosome Deletion', 'DNA/*genetics', 'DNA Probes', 'DNA, Circular/genetics/isolation & purification', 'Female', '*Genes, Immunoglobulin', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulin Variable Region/*genetics', 'Leukemia Virus, Murine/genetics', 'Lymph Nodes/immunology', 'Mice', 'Mice, Inbred BALB C', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Restriction Mapping', 'Sequence Homology, Nucleic Acid', 'Spleen/immunology']",PMC556493,1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",ppublish,EMBO J. 1992 Feb;11(2):611-8.,,"['AI-11202/AI/NIAID NIH HHS/United States', 'AI-18790/AI/NIAID NIH HHS/United States']",,,,,,,,,,,,,
1311219,NLM,MEDLINE,19920330,20190827,0344-5704 (Print) 0344-5704 (Linking),29,4,1992,Intrathecal administration of etoposide in the treatment of malignant meningitis: feasibility and pharmacokinetic data.,335-7,"Two patients presenting with malignant meningitis resulting from small-cell carcinoma of the lung and with lymphoblastic leukemia, respectively, were treated by intrathecal administration of etoposide. In both cases, this treatment was well tolerated and produced relief of the central nervous system symptoms. Pharmacokinetic data showed that cerebrospinal fluid drug levels of up to 5.2 micrograms/ml were achieved, which were considerably higher than those obtained after i.v. administration of high-dose etoposide.","['van der Gaast, A', 'Sonneveld, P', 'Mans, D R', 'Splinter, T A']","['van der Gaast A', 'Sonneveld P', 'Mans DR', 'Splinter TA']","['Department of Medical Oncology, University Hospital Rotterdam-Dijkzigt, The Netherlands.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,['6PLQ3CP4P3 (Etoposide)'],IM,,"['Adult', 'Carcinoma, Small Cell/cerebrospinal fluid/complications/drug therapy', 'Etoposide/*administration & dosage/cerebrospinal fluid/pharmacokinetics', 'Feasibility Studies', 'Humans', 'Injections, Spinal', 'Lung Neoplasms/cerebrospinal fluid/complications/drug therapy', 'Male', 'Meningitis/cerebrospinal fluid/*drug therapy/etiology', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/cerebrospinal fluid/complications/drug therapy']",,1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1992;29(4):335-7. doi: 10.1007/BF00685957.,,,['10.1007/BF00685957 [doi]'],,,,,,,,,,,,
1311214,NLM,MEDLINE,19920330,20210216,0006-4971 (Print) 0006-4971 (Linking),79,5,1992 Mar 1,Involvement of the putative hematopoietic transcription factor SCL in T-cell acute lymphoblastic leukemia.,1327-33,"The SCL gene, initially discovered at the site of a translocation breakpoint associated with the development of a stem cell leukemia, encodes a protein that contains the highly conserved basic helix-loop-helix (bHLH) motif found in a large array of eukaryotic transcription factors. Recently, we have described a nonrandom, site-specific SCL rearrangement in several T-cell acute lymphoblastic leukemia (ALL) cell lines that juxtaposes SCL with a distinct transcribed locus, SIL. The SIL/SCL rearrangement was found in leukemic blasts from 11 of 70 (16%) newly diagnosed T-cell ALL patients, a prevalence substantially higher than that of the t(11;14) translocation, which has previously been reported as the most frequent nonrandom chromosomal abnormality in T-cell ALL. We did not detect the SIL/SCL rearrangement in the leukemic blasts from 30 patients with B-cell precursor ALL, indicating that the rearrangement was specific for T-cell ALL. Analysis of RNA from these patients indicated that an SIL/SCL fusion mRNA was formed, joining SIL and SCL in a head-to-tail fashion. The fusion occurs in the 5' untranslated region (UTR) of both genes, preserving the SCL coding region. The net result of this rearrangement is that SCL mRNA expression becomes regulated by the SIL promoter, leading to inappropriate SCL expression. The resultant inappropriate expression of this putative transcription factor may then contribute to leukemic transformation in T-cell ALL.","['Aplan, P D', 'Lombardi, D P', 'Reaman, G H', 'Sather, H N', 'Hammond, G D', 'Kirsch, I R']","['Aplan PD', 'Lombardi DP', 'Reaman GH', 'Sather HN', 'Hammond GD', 'Kirsch IR']","['National Cancer Institute/Navy Medical Oncology Branch, National Naval Medical Center, Bethesda, MD 20889.']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Transcription Factors)', '135471-20-4 (TAL1 protein, human)']",IM,"['LYL1', 'SCL']","['Alleles', 'Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors', 'Blotting, Southern', 'Child', 'DNA, Neoplasm/chemistry', 'DNA-Binding Proteins/*genetics', 'Gene Expression Regulation, Neoplastic', 'Gene Rearrangement', 'Gene Rearrangement, delta-Chain T-Cell Antigen Receptor', 'Humans', 'Immunophenotyping', 'Leukemia-Lymphoma, Adult T-Cell/*genetics/immunology', 'Molecular Sequence Data', 'Promoter Regions, Genetic', '*Proto-Oncogene Proteins', 'RNA, Messenger/genetics', 'T-Cell Acute Lymphocytic Leukemia Protein 1', 'Transcription Factors/genetics', 'Translocation, Genetic']",,1992/03/01 00:00,1992/03/01 00:01,['1992/03/01 00:00'],"['1992/03/01 00:00 [pubmed]', '1992/03/01 00:01 [medline]', '1992/03/01 00:00 [entrez]']",ppublish,Blood. 1992 Mar 1;79(5):1327-33.,,,['S0006-4971(20)73758-4 [pii]'],,,,,,,,,,,,
1311196,NLM,MEDLINE,19920330,20190704,0007-1048 (Print) 0007-1048 (Linking),80,1,1992 Jan,The role of an anti-myeloperoxidase antibody in the diagnosis and classification of acute leukaemia: a comparison with light and electron microscopy cytochemistry.,62-8,"The enzyme myeloperoxidase (MPO) is the hallmark of the myeloid lineage. We have analysed the presence of MPO in blasts from 180 cases of acute leukaemia (103 acute myeloid leukaemia (AML) and 77 acute lymphoid leukaemia (ALL) by means of monoclonal antibodies anti-MPO and immunocytochemistry (alkaline phosphatase anti-alkaline phosphatase method). The aim of the study was to investigate the specificity and sensitivity of this marker compared with MPO cytochemistry by light (LM) and electron microscopy (EM), and with the expression of myeloid antigens. Anti-MPO was positive (greater than 3% blasts) in all but one of the 90 AML positive by LM cytochemistry. Of 13 AML cases negative by MPO cytochemistry, six showed 3-10% blasts reactive with anti-MPO and were also positive with antibodies to CD13 and/or CD33. The presence of MPO was confirmed in four of these by EM. The overall positivity of anti-MPO in AML was 92%. Anti-MPO was negative in all but two ALL (6% and 8% positive blasts). The blasts in these two cases were also CD13, CD33 and MPO positive by EM; both were thus reclassified as biphenotypic. Another two ALL reinterpreted as biphenotypic were negative by MPO cytochemistry and anti-MPO but were MPO positive by EM and with CD13 and/or CD33. We conclude that anti-MPO is a sensitive and specific early marker of myeloid blasts and should be incorporated in the routine immunophenotyping of acute leukaemia.","['Buccheri, V', 'Shetty, V', 'Yoshida, N', 'Morilla, R', 'Matutes, E', 'Catovsky, D']","['Buccheri V', 'Shetty V', 'Yoshida N', 'Morilla R', 'Matutes E', 'Catovsky D']","['Academic Department of Haematology and Cytogenetics, Royal Marsden Hospital, London.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', 'EC 1.11.1.7 (Peroxidase)']",IM,,"['Acute Disease', '*Antibodies, Monoclonal', 'Histocytochemistry', 'Humans', 'Immunophenotyping', 'Leukemia/*classification/*diagnosis/enzymology', 'Microscopy, Electron', 'Peroxidase/*immunology/metabolism']",,1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Br J Haematol. 1992 Jan;80(1):62-8. doi: 10.1111/j.1365-2141.1992.tb06401.x.,,,['10.1111/j.1365-2141.1992.tb06401.x [doi]'],,,,,,,,,,,,
1311195,NLM,MEDLINE,19920330,20190704,0007-1048 (Print) 0007-1048 (Linking),80,1,1992 Jan,"Central role of tumour necrosis factor, GM-CSF, and interleukin 1 in the pathogenesis of juvenile chronic myelogenous leukaemia.",40-8,"In previous studies on patients with juvenile chronic myelogenous leukaemia (JCML), we found excessive proliferation of malignant monocyte-macrophage elements in the absence of exogenous growth factor, and impaired growth of normal haematopoietic progenitors. In the current study, six newly-diagnosed JCML patients were investigated to characterize the disease further. In co-cultures, JCML cell culture supernatant as well as patient plasma obtained at diagnosis produced a striking reduction in numbers of control marrow BFU-E, CFU-GM, CFU-Meg and CFU-GEMM colonies. Monoclonal anti-tumour necrosis factor alpha neutralizing antibodies (anti-TNF-alpha Ab) abolished these inhibitory properties. In sharp contrast, JCML supernatants exerted a marked growth-promoting effect on autologous JCML cells cultured in clonogenic assays. Anti-TNF-alpha Ab and anti-granulocyte-macrophage colony-stimulating factor neutralizing antibodies (anti-GM-CSF Ab) both reversed the stimulating effect. Recombinant GM-CSF and recombinant TNF alpha produced a profound increase in JCML colonies when tested individually and anti-GM-CSF Ab reversed the TNF-alpha effect. Expression studies of TNF-alpha and TNF-alpha receptor genes of cultured JCML cells demonstrated mRNAs for both. Further, TNF-alpha activity was assayed in a wide variety of cell culture supernatants and in normal and patients' plasma, and only the JCML specimens showed increased TNF-alpha values. Recombinant interleukin-1 alpha (IL-1 alpha) also stimulated JCML colony growth, but polyclonal anti-IL-1 neutralizing antibodies did not suppress JCML colony numbers nor did it reverse the effects of TNF-alpha or GM-CSF. The evidence indicated that the JCML monokine which inhibits normal haematopoiesis is TNF-alpha and that the endogenously-produced TNF-alpha and GM-CSF from JCML cells play an important role in the pathogenesis of the disease by acting as autocrine growth factors. IL-1 alpha also stimulates JCML cell proliferation as an accessory factor and augments the effect of GM-CSF, TNF-alpha or both.","['Freedman, M H', 'Cohen, A', 'Grunberger, T', 'Bunin, N', 'Luddy, R E', 'Saunders, E F', 'Shahidi, N', 'Lau, A', 'Estrov, Z']","['Freedman MH', 'Cohen A', 'Grunberger T', 'Bunin N', 'Luddy RE', 'Saunders EF', 'Shahidi N', 'Lau A', 'Estrov Z']","['Division of Haematology/Oncology, Hospital for Sick Children, Toronto, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Interleukin-1)', '0 (Receptors, Cell Surface)', '0 (Receptors, Tumor Necrosis Factor)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,,"['Base Sequence', 'Bone Marrow/immunology', 'Child', 'Child, Preschool', 'Colony-Forming Units Assay', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/*immunology', 'Hematopoiesis/immunology', 'Humans', 'Infant', 'Interleukin-1/*immunology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/*immunology', 'Male', 'Molecular Sequence Data', 'Receptors, Cell Surface/genetics', 'Receptors, Tumor Necrosis Factor', 'Recombinant Proteins/immunology', 'Tumor Cells, Cultured/immunology', 'Tumor Necrosis Factor-alpha/*immunology']",,1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Br J Haematol. 1992 Jan;80(1):40-8. doi: 10.1111/j.1365-2141.1992.tb06398.x.,,,['10.1111/j.1365-2141.1992.tb06398.x [doi]'],,,,,,,,,,,,
1311193,NLM,MEDLINE,19920402,20190704,0007-0963 (Print) 0007-0963 (Linking),126,2,1992 Feb,The molecular biology of retinoic acid receptors: orphan from good family seeks home.,97-104,A variety of c-DNAs coding for nuclear retinoic acid receptors (RARs) have recently been cloned. These receptors are members of the steroid/thyroid receptor superfamily and are believed to act as ligand-inducible transactivating factors; retinoic acid induces changes in receptor configuration that allows DNA binding and increased gene transcription from specific genes to occur. The retinoic acid receptor family itself may consist of up to 20 separate receptors each with a specific distribution and ligand binding characteristics. The RAR-gamma in the adult is found almost exclusively in the skin but other receptors which are found in a variety of other tissues are also present in skin. Associations of cutaneous disease states with receptor mutants have not yet been reported although some cases of leukaemia may be secondary to retinoic acid receptor gene rearrangements. A variety of approaches to identify the biological function of these receptors based on recombinant DNA technology are already underway.,"['Rees, J']",['Rees J'],"['University Department of Dermatology, Royal Victoria Infirmary, Newcastle upon Tyne, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Br J Dermatol,The British journal of dermatology,0004041,"['0 (Carrier Proteins)', '0 (DNA, Circular)', '0 (Hormones)', '0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",IM,,"['Animals', 'Carrier Proteins/*analysis', 'Cell Nucleus/chemistry/physiology', 'Cloning, Molecular', 'DNA, Circular/genetics', 'Hormones/genetics', 'Mice', 'Mice, Transgenic', 'Rats', 'Receptors, Retinoic Acid', 'Skin/*chemistry/embryology', 'Transcription, Genetic/physiology', 'Tretinoin/*analysis']",,1992/02/01 00:00,1992/02/01 00:01,['1992/02/01 00:00'],"['1992/02/01 00:00 [pubmed]', '1992/02/01 00:01 [medline]', '1992/02/01 00:00 [entrez]']",ppublish,Br J Dermatol. 1992 Feb;126(2):97-104. doi: 10.1111/j.1365-2133.1992.tb07804.x.,,,['10.1111/j.1365-2133.1992.tb07804.x [doi]'],58,,,,,,,,,,,
1311180,NLM,MEDLINE,19920402,20190918,0177-3593 (Print) 0177-3593 (Linking),373,1,1992 Jan,Characterization of the subunits and sugar moiety of human placental and leukemic beta-glucuronidase.,57-62,"beta-Glucuronidase purified from human placenta and chronic myelogenous leukemic cells was composed of three components of 18, 64 and 80 kDa, though the relative contents of the components were different between the sources. Analysis of their N-terminal amino-acid sequences showed that the 18-kDa and 64-kDa components were derived from the 80-kDa component by cleavage between Val159 and Gly160. Furthermore, the enzyme was found to be glycosylated at Asn173 and Asn420 with high mannose-type oligosaccharides, based on the electrophoretic mobility of the components as well as the endopeptidic peptides before and after endoglycosidase treatment. The enzyme purified from leukemic cells was poorly phosphorylated by N-acetylglucosamine 1-phosphotransferase as compared to the placental enzyme.","['Tanaka, J', 'Gasa, S', 'Sakurada, K', 'Miyazaki, T', 'Kasai, M', 'Makita, A']","['Tanaka J', 'Gasa S', 'Sakurada K', 'Miyazaki T', 'Kasai M', 'Makita A']","['Biochemistry Laboratory, Cancer Institute, Sapporo, Japan.']",['eng'],['Journal Article'],Germany,Biol Chem Hoppe Seyler,Biological chemistry Hoppe-Seyler,8503054,"['EC 2.7.- (Phosphotransferases)', 'EC 2.7.8.- (Transferases (Other Substituted Phosphate Groups))', 'EC 2.7.8.17', '(UDP-N-acetylglucosamine-lysosomal-enzyme-N-acetylglucosaminephosphotransferase)', 'EC 3.2.1.31 (Glucuronidase)']",IM,,"['Amino Acid Sequence', 'Female', 'Glucuronidase/*chemistry/*isolation & purification/metabolism', 'Glycosylation', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*enzymology', 'Molecular Sequence Data', 'Phosphorylation', 'Phosphotransferases/metabolism', 'Placenta/*enzymology', 'Pregnancy', 'Protein Processing, Post-Translational', '*Transferases (Other Substituted Phosphate Groups)']",,1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Biol Chem Hoppe Seyler. 1992 Jan;373(1):57-62. doi: 10.1515/bchm3.1992.373.1.57.,,,['10.1515/bchm3.1992.373.1.57 [doi]'],,,,,,,,,,,,
1311146,NLM,MEDLINE,19920325,20190819,0361-8609 (Print) 0361-8609 (Linking),39,1,1992 Jan,Acute megakaryoblastic leukemia with translocation t(1;22)(p13;q13) in a 10-week-old infant.,56-60,"A 10-week-old girl without Down syndrome developed an acute megakaryoblastic leukemia (AMKL). Bone marrow aspirates and biopsy showed megakaryoblastic infiltration with myelofibrosis. The diagnosis was made based on the findings that the positive reactions of leukemic cells to platelet peroxidase and to monoclonal antibodies which recognize platelet-specific surface glycoprotein (GP) IIb/IIIa and GP78. The blasts also showed myeloid and monocytoid differentiation antigens. The leukemic cells had a karyotype of 46,XX,t(1;22)(p13;q13). Our case and two other infantile cases reported by other investigators establish the novel association of the t(1;22) with AMKL.","['Washio, S', 'Ido, M', 'Azuma, E', 'Fukui, M', 'Shibata, T', 'Zhang, S L', 'Komada, Y', 'Ito, M', 'Koike, T', 'Kaneko, Y']","['Washio S', 'Ido M', 'Azuma E', 'Fukui M', 'Shibata T', 'Zhang SL', 'Komada Y', 'Ito M', 'Koike T', 'Kaneko Y', 'et al.']","['Department of Pediatrics, Mie University School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (Platelet Membrane Glycoproteins)', 'EC 1.11.1.7 (Peroxidase)']",IM,,"['Antibodies, Monoclonal/analysis/immunology', 'Antigens, Differentiation/analysis/immunology', 'Biopsy, Needle', 'Blood Platelets/chemistry/enzymology/ultrastructure', 'Bone Marrow/chemistry/pathology/ultrastructure', '*Chromosomes, Human, Pair 1', '*Chromosomes, Human, Pair 22', 'Female', 'Humans', 'Infant', 'Leukemia, Megakaryoblastic, Acute/diagnosis/*genetics/pathology', 'Microscopy, Electron', 'Peroxidase/metabolism', 'Platelet Membrane Glycoproteins/immunology', 'Translocation, Genetic/*genetics']",,1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Am J Hematol. 1992 Jan;39(1):56-60. doi: 10.1002/ajh.2830390112.,,,['10.1002/ajh.2830390112 [doi]'],,,,,,,,,,,,
