PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,OID,RF,PS,FPS,GN
1185341,NLM,MEDLINE,19760116,20190630,0022-3476 (Print) 0022-3476 (Linking),87,5,1975 Nov,The risk of hepatitis transmission to family contacts of leukemia patients.,753-6,"['Steinberg, S C', 'Alter, H J', 'Leventhal, B G']","['Steinberg SC', 'Alter HJ', 'Leventhal BG']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,['0 (Hepatitis B Antigens)'],IM,"['Acute Disease', 'Adult', 'Carrier State/*immunology', 'Child', 'Female', 'Hepatitis B/*genetics/immunology/transmission', 'Hepatitis B Antigens/analysis', 'Humans', 'Leukemia/complications/*immunology', 'Male', 'Risk']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']","['S0022-3476(75)80300-3 [pii]', '10.1016/s0022-3476(75)80300-3 [doi]']",ppublish,J Pediatr. 1975 Nov;87(5):753-6. doi: 10.1016/s0022-3476(75)80300-3.,,,,,,,,
1185134,NLM,MEDLINE,19760126,20041117,0094-3509 (Print) 0094-3509 (Linking),2,4,1975 Aug,A critical review of periodic health screening using specific screening criteria. Part 4: selected miscellaneous diseases.,283-9,"['Frame, P S', 'Carlson, S J']","['Frame PS', 'Carlson SJ']",['eng'],['Journal Article'],United States,J Fam Pract,The Journal of family practice,7502590,,IM,"['Adult', 'Aged', 'Alcoholism/diagnosis/prevention & control', 'Anemia/blood/prevention & control', 'Breast Neoplasms/diagnosis/prevention & control', 'Depression/diagnosis/prevention & control', '*Diagnostic Services', 'Female', 'Glaucoma/diagnosis/prevention & control', 'Humans', 'Leukemia/blood/prevention & control', 'Lymphoma/diagnosis/prevention & control', 'Male', 'Middle Aged', '*Morbidity', 'Prognosis', 'Suicide/prevention & control', 'United States']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,J Fam Pract. 1975 Aug;2(4):283-9.,"Despite the increasing interest in recent years in prevention and early recognition of asymptomatic disease, an objectively based program for periodic health screening of asymptomatic adults has yet to be proposed for the primary care physician. This is the last in a series of four articles which have critically examined the feasibility of screening procedures for 36 selected diseases. Six basic criteria are adopted as necessary to justify periodic screening. Specific screening recommendations are made for each disease, and a longitudinal screening program for asymptomatic adults is proposed. Cost and patient education are two important factors in any viable screening program.",,,,,,,
1184965,NLM,MEDLINE,19760202,20061115,0022-1767 (Print) 0022-1767 (Linking),115,6,1975 Dec,Cell-mediated immune responses in vitro. II. Simultaneous generation of cytotoxic lymphocyte responses to two sets of alloantigens of limited cross-reactivity.,1515-20,"['Peavy, D L', 'Pierce, C W']","['Peavy DL', 'Pierce CW']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Isoantigens)', '0 (Mitomycins)']",IM,"['Animals', 'Cell Line', '*Cross Reactions', 'Cytotoxicity Tests, Immunologic', '*Immunity, Cellular', '*Isoantigens', 'Lymphocytes/*immunology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Mitomycins/pharmacology', 'Spleen/immunology', 'Time Factors']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",,ppublish,J Immunol. 1975 Dec;115(6):1515-20.,"The conditions for generation of simultaneous and independent cytotoxic lymphocyte (CL) responses to each of two sets of alloantigens of limited cross-reactivity by mouse spleen cells in vitro have been investigated. Responder spleen cells were incubated with mitomycin C-treated C57BL/6 (H-2b) or DBA/2 (H-2d) stimulator spleen cells and day 5 CL responses were assayed with 51Cr-labeled EL-4 leukemia (H-2b) and P815 mastocytoma (H-2d) as target cells. Spleen cells from mice of the various H-2 haplotypes tested differed greatly in their ability to develop specific CL responses against alloantigens on the stimulator spleen cells and in the degree of cross-reactive cytotoxic activity against target cells bearing alloantigens not present on the stimulator spleen cells. In contrast to the other strains examined, DBA/1 (H-2q) spleen cells developed specific CL responses to either H-2b or H-2d alloantigens without exhibiting significant cross-reactive activity on the inappropriate target cell. The CL responses to H-2b and H-2d alloantigens by DBA/1 spleen cells were comparable in magnitude and had similar stimulator cell-dose requirements. Further, DBA/1 spleen cells developed CL responses of normal magnitude simultaneously against both target cells when incubated with both mitomycin C-treated C57BL/6 and DBA/2 stimulator cells.",,,,,,,
1184753,NLM,MEDLINE,19760123,20181113,0021-9738 (Print) 0021-9738 (Linking),56,5,1975 Nov,Human lymphocytes: 5'-nucleotidase-positive and -negative subpopulations.,1324-7,"['Silber, R', 'Conklyn, M', 'Grusky, G', 'Zucker-Franklin, D']","['Silber R', 'Conklyn M', 'Grusky G', 'Zucker-Franklin D']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,['EC 3.1.3.- (Nucleotidases)'],IM,"['Humans', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/*enzymology', 'Nucleotidases/*analysis']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",['10.1172/JCI108209 [doi]'],ppublish,J Clin Invest. 1975 Nov;56(5):1324-7. doi: 10.1172/JCI108209.,"The enzyme, 5'-nucleotidase (5'N) (E.C.-3.1.3.5) is present in lymphocytes isolated from the blood of normal subjects. This activity is markedly decreased or not detectable in the cells from three-quarters of patients with chronic lymphocytic leukemia (CLL), while supranormal levels are found in less than 10% of the cases. To determine whether the decreased 5'N value in CLL represents a lower activity per cell or fewer enzyme-containing cells than in the normal, conditions were established for the histochemical measurement of 5'N in human lymphocytes. It was found that the cells isolated from the blood of normal subjects or patients with CLL consist of 5'N-positive and 5'N-negative subpopulations. Normal subjects who had high 5'N specific activity were shown to have a greater percentage of 5'N-positive cells than individuals with low 5'N activity. Patients with CLL who had no activity by standard chemical assay had no 5'N-positive cells, while the exceptional patient with CLL with a higher than normal specific activity showed an percentage of 5'N-positive cells. It is suggested that the selective proliferation of 5'N-positive and 5'N-negative populations may account for the heterogeneity of 5'N in CLL.",PMC301996,,,,,,
1184750,NLM,MEDLINE,19760123,20181113,0021-9738 (Print) 0021-9738 (Linking),56,5,1975 Nov,Studies on N5-methyltetrahydrofolate-homocystein methyltransferase in normal and leukemia leukocytes.,1293-1301,"['Peytremann, R', 'Thorndike, J', 'Beck, W S']","['Peytremann R', 'Thorndike J', 'Beck WS']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['EC 2.1.1.- (Methyltransferases)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Adult', 'Aged', 'Child', 'Humans', 'Leukemia/*blood', 'Leukocytes/*enzymology', 'Lymphocytes/metabolism', 'Methyltransferases/antagonists & inhibitors/*metabolism', 'Middle Aged', 'Vitamin B 12/pharmacology']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",['10.1172/JCI108205 [doi]'],ppublish,J Clin Invest. 1975 Nov;56(5):1293-1301. doi: 10.1172/JCI108205.,"A cobalamin-dependent N5-methyltetra-hydrofolate-homocysteine methyltransferase (methyl-transferase) was demonstrated in unfractioned extracts of human normal and leukemia leukocytes. Activity was substantially reduced in the absence of an added cobalamin derivative. Presumably, this residual activity reflects the endogeneous level of holoenzyme. Enzyme activity was notably higher in lymphoid cells than in myeloid cells. Thus, mean specific activities (+/-SD) were: chronic lymphocytic leukemia lymphocytes, 2.15+/-1.16; normal lymphocytes, 0.91+/-0.59; normal mature granulocytes, 0.15+/-0.10; chronic myelocytic leukemia granulocytes, barely detectable activity. Properties of leukocytes enzymes resembled those of methyltransferases previously studied in bacteria and other animal cells. Granulocytes and chronic myelocytic leukemia cells contain a factor or factors that inhibits Escherichia coli enzyme. The data suggest that the prominence of this cobalamin-dependent enzyme in lymphocytes and other mononuclear cell types may be related to their potential for cell division.",PMC301992,,,,,,
1184685,NLM,MEDLINE,19760202,20191210,,112,,1975 Oct 29,Mass fragmentography of 5-hydroxytryptophol and 5-methoxytryptophol in human cerebrospinal fluid.,523-31,"['Curtius, H C', 'Wolfensberger, M', 'Redweik, U', 'Leimbacher, W', 'Maibach, R A', 'Isler, W']","['Curtius HC', 'Wolfensberger M', 'Redweik U', 'Leimbacher W', 'Maibach RA', 'Isler W']",['eng'],['Journal Article'],Netherlands,J Chromatogr,Journal of chromatography,0427043,"['0 (Indoles)', '154-02-9 (Hydroxytryptophol)', '333DO1RDJY (Serotonin)', '712-09-4 (methoxytryptophol)', 'VTD58H1Z2X (Dopamine)']",IM,"['Adolescent', 'Child', '*Chromatography, Gas', 'Dopamine/metabolism', 'Electrons', 'Female', '*Gas Chromatography-Mass Spectrometry', 'Humans', 'Hydroxytryptophol/*cerebrospinal fluid', 'Indoles/*cerebrospinal fluid', 'Leukemia/cerebrospinal fluid', 'Male', 'Nervous System Diseases/cerebrospinal fluid', 'Serotonin/metabolism']",1975/10/29 00:00,1975/10/29 00:01,['1975/10/29 00:00'],"['1975/10/29 00:00 [pubmed]', '1975/10/29 00:01 [medline]', '1975/10/29 00:00 [entrez]']",['10.1016/s0021-9673(00)99981-3 [doi]'],ppublish,J Chromatogr. 1975 Oct 29;112:523-31. doi: 10.1016/s0021-9673(00)99981-3.,A specific and very sensitive method for the determination of 5-hydroxy-tryptophol (5-HTOL) and 5-methoxytryptophol (5-MTOL) in extracts from human cerebrospinal fluid (CSF) involving the use of mass fragmentography and pentafluoropriopionyl derivatives is described. 5-HTOL and 5-MTOL were determined in human CSF of three patients with leukaemia and from nine patients with neurological disorders. The concentration of free 5-HOT in CSF was in the range of 0.1-33 ng/ml and that of 5-MTOL was 0.3-13.9 ng/ml. For the first time the presence of these compounds in human material has been shown. The concentration of these two alcohols in CSF is markedly lower than the concentration of 5-hydroxyindoleacetic acid. These results suggest that human cerebral 5-hydroxytryptamine is preferentially metabolized to 5-HTOL-hydroxyindoleacetic acid rather than to 5-HTOL and 5-MTOL.,,,,,,,
1184544,NLM,MEDLINE,19760117,20041117,0004-5772 (Print) 0004-5772 (Linking),23,3,1975 Mar,Epidemiology of adult leukaemias in Punjab during past six years (1967-1972).,193-9,"['Singh, P', 'Singh, H']","['Singh P', 'Singh H']",['eng'],['Journal Article'],India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,,IM,"['Adolescent', 'Adult', 'Female', 'Humans', 'India', 'Leukemia/*epidemiology', 'Male', 'Residence Characteristics', 'Time Factors']",1975/03/01 00:00,1975/03/01 00:01,['1975/03/01 00:00'],"['1975/03/01 00:00 [pubmed]', '1975/03/01 00:01 [medline]', '1975/03/01 00:00 [entrez]']",,ppublish,J Assoc Physicians India. 1975 Mar;23(3):193-9.,,,,,,,,
1184473,NLM,MEDLINE,19760116,20190723,0021-8820 (Print) 0021-8820 (Linking),28,10,1975 Oct,New antitumor antibiotics aclacinomycins A and B.,830-4,"['Oki, T', 'Matsuzawa, Y', 'Yoshimoto, A', 'Numata, K', 'Kitamura, I']","['Oki T', 'Matsuzawa Y', 'Yoshimoto A', 'Numata K', 'Kitamura I']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*isolation & purification/therapeutic use', 'Chemical Phenomena', 'Chemistry, Physical', 'Cricetinae', 'Lethal Dose 50', 'Leukemia L1210/drug therapy', 'Mice', 'Streptomyces/analysis']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",['10.7164/antibiotics.28.830 [doi]'],ppublish,J Antibiot (Tokyo). 1975 Oct;28(10):830-4. doi: 10.7164/antibiotics.28.830.,,,,,,,,
1184397,NLM,MEDLINE,19760123,20131121,0018-022X (Print) 0018-022X (Linking),30,3,1975 Oct,Testicular endocrine function and cyclophosphamide in prepubertal and pubertal patients.,275-9,"['Andler, W', 'Wahlen, W', 'Kausch, O', 'Kramer, D', 'Rurainski, W']","['Andler W', 'Wahlen W', 'Kausch O', 'Kramer D', 'Rurainski W']",['eng'],['Journal Article'],Switzerland,Helv Paediatr Acta,Helvetica paediatrica acta,0373005,"['0 (Chorionic Gonadotropin)', '3XMK78S47O (Testosterone)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Chorionic Gonadotropin/pharmacology', 'Cyclophosphamide/pharmacology/*therapeutic use', 'Humans', 'Leukemia/*drug therapy/metabolism', 'Male', 'Nephrotic Syndrome/*drug therapy/metabolism', '*Puberty', 'Stimulation, Chemical', 'Testis/*metabolism', 'Testosterone/urine']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",,ppublish,Helv Paediatr Acta. 1975 Oct;30(3):275-9.,Testicular function was examined by means of HCG-stimulation tests in 6 prepubertal or pubertal patients with leukemia or malignant tumours during cytostatic therapy and in 5 patients with nephrotic syndrome after discontinuation of treatment. The results of urinary testosterone assays suggest no damaging effect of cyclophosphamide on Leydig cell function.,,,,,,,
1184355,NLM,MEDLINE,19760123,20141120,0021-1265 (Print) 0021-1265 (Linking),144,7,1975 Jul,Some 'in vitro' effects of bacterial filtrates on normal lymphocytes and leukaemic cells.,266-73,"['de Azavedo, J', 'Greally, J F']","['de Azavedo J', 'Greally JF']",['eng'],['Journal Article'],Ireland,Ir J Med Sci,Irish journal of medical science,7806864,['0 (Bacterial Vaccines)'],IM,"['Bacterial Vaccines/*pharmacology', 'Cells, Cultured', 'Humans', 'In Vitro Techniques', 'Leukemia/*immunology', 'Lymphocyte Activation/drug effects', 'Lymphocytes/*immunology']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",,ppublish,Ir J Med Sci. 1975 Jul;144(7):266-73.,,,,,,,,
