PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,IP,AB,AID,PMC,OID,OAB,OABL,OTO,OT,GN,CIN,AD
1072543,NLM,MEDLINE,19771028,20071115,0070-4067 (Print) 0070-4067 (Linking),82 Pt 2,1976,[Treatment of acute leukemia 1970-1974].,1585-8,"['Hacklander, T', 'Widmaier, S', 'Frenssen, E', 'Wendt, F']","['Hacklander T', 'Widmaier S', 'Frenssen E', 'Wendt F']",['ger'],['Journal Article'],Behandlung von akuter Leukamie 1970-1974.,Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Child', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 2:1585-8.,,,,,,,,,,,,
1072508,NLM,MEDLINE,19771031,20041117,0091-8903 (Print) 0091-8903 (Linking),9,1976 Mar,Considerations in examination: an overview for the dental profession.,21-2,"['Caldarone, C V']",['Caldarone CV'],['eng'],['Journal Article'],,United States,R I Dent J,Rhode Island dental journal,0375713,,,"['Anemia/*diagnosis', 'Humans', 'Leukemia/*diagnosis', 'Oral Manifestations', 'Physical Examination', 'Polycythemia/*diagnosis']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,R I Dent J. 1976 Mar;9(1):21-2.,1,,,,,,,,,,,
1072334,NLM,MEDLINE,19770917,20071115,0070-4067 (Print) 0070-4067 (Linking),82 Pt 1,1976,[The frequency of central nervous system manifestations in adult acute leukemia].,654-6,"['Neumann, E', 'Mittermayer, K', 'Budka, H', 'Honetz, H', 'Schwarzmeier, J']","['Neumann E', 'Mittermayer K', 'Budka H', 'Honetz H', 'Schwarzmeier J']",['ger'],['Journal Article'],Zur Haufigkeit der ZNS-Beteiligung bei akuten Leukosen im Erwachsenenalter.,Germany,Verh Dtsch Ges Inn Med,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,7503702,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Bone Marrow Cells', 'Central Nervous System Diseases/*etiology', 'Cerebrospinal Fluid/cytology', 'Humans', 'Leukemia/drug therapy', 'Leukemia, Lymphoid/*complications', 'Leukemia, Myeloid, Acute/complications', 'Lymphocytes']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Verh Dtsch Ges Inn Med. 1976;82 Pt 1:654-6.,,,,,,,,,,,,
1072211,NLM,MEDLINE,19770917,20131121,0017-6559 (Print) 0017-6559 (Linking),10,1976,Erythropoietin level in patients with acute leukaemia.,455-62,"['Pavlovic-Kentera, V', 'Stefanovic, S', 'Milenkovic, P', 'Jancic, M', 'Biljanovic-Paunovic, L']","['Pavlovic-Kentera V', 'Stefanovic S', 'Milenkovic P', 'Jancic M', 'Biljanovic-Paunovic L']",['eng'],['Journal Article'],,Netherlands,Haematologia (Budap),Haematologia,0130266,"['11096-26-7 (Erythropoietin)', 'E1UOL152H7 (Iron)']",IM,"['Acute Disease', 'Adult', 'Anemia/*etiology', 'Animals', 'Erythropoiesis', 'Erythropoietin/*analysis', 'Humans', 'Iron/metabolism', 'Leukemia/*blood/complications', 'Leukemia, Lymphoid/blood', 'Leukemia, Monocytic, Acute/blood', 'Leukemia, Myeloid, Acute/blood', 'Mice', 'Mice, Inbred CBA']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Haematologia (Budap). 1976;10(3-4):455-62.,3-4,"Erythropoietin level in the serum and urine of adult patients with acute leukaemia (AML, ALL, MML) was estimated by polycythaemic mouse bioassay in order to obtain more information about the associated anaemia. In AML and ALL patients the serum erythropoietin level as found to be increased and in a negative correlation with the blood haemoglobin concentration. In ALL patients erythropoietin in urine was increased regularly while in AML patients it was not. No correlation between the serum level and the urinary excretion of ESF, or between the blood Hb and the serum ESF, was found in MML patients. The results show that anaemia in leukaemia is not due to the low ESF level.",,,,,,,,,,
1072210,NLM,MEDLINE,19770917,20041117,0017-6559 (Print) 0017-6559 (Linking),10,1976,Absolute alkaline phosphatase positive and negative neutrophil counts in chronic granulocytic leukemia.,425-32,"['Kelemen, E', 'Paksy, A']","['Kelemen E', 'Paksy A']",['eng'],['Journal Article'],,Netherlands,Haematologia (Budap),Haematologia,0130266,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Alkaline Phosphatase/*blood', 'Humans', 'Kinetics', 'Leukemia, Myeloid/*blood', 'Neutrophils/*enzymology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Haematologia (Budap). 1976;10(3-4):425-32.,3-4,"Absolute counts for the alkaline phosphatase positive (AP+) fraction of potentially AP+ neutrophils were measured cytochemically during the course of chronic granulocytic leukaemia (CGL), from the clinical onset of the disease. In a previous study of different kinds of severe granulocytopenia, the AP positivity of circulating neutrophils appeared to indicate a kinetic parameter. Early release of mature, non-stored bone marrow granulocytes apparently furnished more AP+ neutrophils, whereas release of stored cells furnished more AP- cells. If we consider enzyme activity to indicate a kinetic parameter, its differential diagnostic usefulness would be less than generally supposed. One hundred and forty eight determinations in 74 CGL patients showed that low AP values are valid for CGL statistically, especially between the 2nd to 5th years of clinical disease, but normal or higher counts of circulating AP+ fraction of mature neutrophils could be found in one fourth of advanced cases (blastic metamorphosis excluded), and even more (17/37) in the earliest period of the CGL process. A similar tendency appears to be detectable in the absolute counts for circulating AP- cells.",,,,,,,,,,
1072209,NLM,MEDLINE,19770917,20081121,0017-6559 (Print) 0017-6559 (Linking),10,1976,[A contribution to the enzyme polymorphism of 6-phosphogluconate dehydrogenase (E.C.1.1.1.44) with special reference to the Richmond variant].,411-8,"['Sitzmann, F C', 'Arnold, E', 'Istvan, L', 'Teubl, I', 'Kaloud, H']","['Sitzmann FC', 'Arnold E', 'Istvan L', 'Teubl I', 'Kaloud H']",['ger'],['Journal Article'],Ein Beitrag zum Enzympolymorphismus der 6-Phosphogluconatdehydrogenase (E.C.1.1.1.44) unter besonderer Berucksichtigung der Richmond-Variante.,Netherlands,Haematologia (Budap),Haematologia,0130266,['EC 1.1.1.43 (Phosphogluconate Dehydrogenase)'],IM,"['Female', 'Genetic Variation', 'Humans', 'Leukemia, Myeloid, Acute/*enzymology', 'Middle Aged', '*Phosphogluconate Dehydrogenase', 'Polymorphism, Genetic']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Haematologia (Budap). 1976;10(3-4):411-8.,3-4,,,,,,,,,,,
1072185,NLM,MEDLINE,19770929,20071115,0040-8921 (Print) 0040-8921 (Linking),23,1976 Dec,A study of leukemic cell infiltration in the testis and ovary.,203-10,"['Kamiyama, R', 'Funata, N']","['Kamiyama R', 'Funata N']",['eng'],['Journal Article'],,Japan,Bull Tokyo Med Dent Univ,The Bulletin of Tokyo Medical and Dental University,0405503,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia/*pathology', 'Leukemia, Erythroblastic, Acute/pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Monocytic, Acute/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Middle Aged', 'Neoplasm Invasiveness', 'Ovary/*pathology', 'Testis/*pathology']",1976/12/01 00:00,1976/12/01 00:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '1976/12/01 00:01 [medline]', '1976/12/01 00:00 [entrez]']",ppublish,Bull Tokyo Med Dent Univ. 1976 Dec;23(4):203-10.,4,"The behavior of leukemic cell infiltration in the testis or ovary was examined on 99 autopsy cases of various leukemia, which were performed in the Department of Pathology, Tokyo Medical and Dental University, from 1964 to 1975. The incidence of leukemic cell infiltration was 48.5% in the testis and 58.1% in the ovary. The frequency of leukemic cell infiltration in the testis or ovary itself showed no significant increase in recent years, although median survival time became longer by a more aggressive combination chemotherapy. These findings show that the testis and ovary are essentially a preferred site of leukemic cell infiltration. Especially in acute monocytic leukemia, leukemic cell infiltration was revealed in all cases. In addition, short discussions were made on the role of sex hormones in the infiltration, proliferation, and persistence of leukemic cells of each type of leukemia in the testis or ovary.",,,,,,,,,,
1072099,NLM,MEDLINE,19770812,20190805,0150-9861 (Print) 0150-9861 (Linking),3,1976 Sep,"Computed tomography of the encephalus, the skull base and the face, using semi-axial projections.",185-91,"['Constant, P', 'Caille, J M', 'Dop, A']","['Constant P', 'Caille JM', 'Dop A']","['eng', 'fre']",['Journal Article'],,France,J Neuroradiol,Journal of neuroradiology = Journal de neuroradiologie,7705086,,IM,"['Adult', 'Aged', 'Brain Diseases/*diagnosis', 'Facial Neoplasms/*diagnostic imaging', 'Female', 'Humans', 'Leukemia, Myeloid/diagnostic imaging', 'Male', 'Maxillary Sinus/diagnostic imaging', 'Meningioma/diagnostic imaging', 'Neoplasm Metastasis', 'Paranasal Sinus Neoplasms/diagnostic imaging', 'Skull Neoplasms/*diagnostic imaging', 'Sphenoid Sinus/diagnostic imaging', 'Syphilis/diagnostic imaging', '*Tomography, X-Ray Computed']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,J Neuroradiol. 1976 Sep;3(3):185-91.,3,,,,,,,,,,,
1072018,NLM,MEDLINE,19770812,20071115,0017-0275 (Print) 0017-0275 (Linking),57,1976 Sep-Oct,[Progress and problems in the treatment of acute myeloid leukemia: analysis of 92 cases].,283-97,"['Ruggero, D', 'Baccarani, M', 'Tomasini, I', 'Gobbi, M', 'Santucci, M A', 'Guarini, A', 'Tura, S']","['Ruggero D', 'Baccarani M', 'Tomasini I', 'Gobbi M', 'Santucci MA', 'Guarini A', 'Tura S']",['ita'],"['English Abstract', 'Journal Article']",Progressi e problemi nella terapia delle leucemie mieloidi acute: analisi di 92 casi.,Italy,G Clin Med,Giornale di clinica medica,0413411,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Agents/administration & dosage/*therapeutic use', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/mortality', 'Male', 'Middle Aged', 'Prognosis', 'Recurrence', 'Remission, Spontaneous', 'Time Factors']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,G Clin Med. 1976 Sep-Oct;57(9-10):283-97.,9-10,,,,,,,,,,,
1071983,NLM,MEDLINE,19770902,20191028,0094-6761 (Print) 0094-6761 (Linking),4,1976,The cellular actions of glucocorticoids in relation to human neoplasms.,114-32,"['Thompson, E B']",['Thompson EB'],['eng'],['Journal Article'],,United States,Curr Top Mol Endocrinol,Current topics in molecular endocrinology,7500587,"['0 (Glucocorticoids)', '0 (Receptors, Estrogen)', '0 (Receptors, Glucocorticoid)', '0 (Receptors, Steroid)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Binding, Competitive', 'Breast Neoplasms/metabolism', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'Cytoplasm/metabolism', 'Female', 'Glucocorticoids/metabolism/*pharmacology', 'Humans', 'Hydrocortisone/metabolism', 'In Vitro Techniques', 'Kinetics', 'Leukemia/drug therapy/*metabolism', 'Leukemia, Lymphoid/drug therapy/metabolism', 'Leukemia, Myeloid, Acute/metabolism', 'Receptors, Estrogen', '*Receptors, Glucocorticoid', '*Receptors, Steroid']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Curr Top Mol Endocrinol. 1976;4:114-32. doi: 10.1007/978-1-4684-2601-4_10.,,,['10.1007/978-1-4684-2601-4_10 [doi]'],,,,,,,,,
