PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC
1058170,NLM,MEDLINE,19751211,20190918,0018-7348 (Print) 0018-7348 (Linking),29,3,1975 Sep 23,Structural rearrangements associated with the Ph1 chromosome in chronic granulocytic leukaemia.,223-8,"Four cases of C.G.L. in which banding of the Ph1 chromosome was performed were found to have variation from the usual 9/22 translocation pattern. All 4 cases showed a rearrangement involving at least 3 chromosomes, 2 of which were a9 and a22. One of these cases had in addition an XYY karyotype in the bone marrow.","['Potter, A M', 'Sharp, J C', 'Brown, M J', 'Sokol, R J']","['Potter AM', 'Sharp JC', 'Brown MJ', 'Sokol RJ']",['eng'],['Journal Article'],Germany,Humangenetik,Humangenetik,7607154,IM,"['Aged', '*Chromosome Aberrations', '*Chromosomes, Human, 13-15', '*Chromosomes, Human, 21-22 and Y', '*Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Sex Chromosomes', '*Translocation, Genetic']",1975/09/23 00:00,1975/09/23 00:01,['1975/09/23 00:00'],"['1975/09/23 00:00 [pubmed]', '1975/09/23 00:01 [medline]', '1975/09/23 00:00 [entrez]']",['10.1007/BF00297627 [doi]'],ppublish,Humangenetik. 1975 Sep 23;29(3):223-8. doi: 10.1007/BF00297627.,,,
1058072,NLM,MEDLINE,19751211,20171116,0012-0472 (Print) 0012-0472 (Linking),100,42,1975 Oct 17,[Time of maintenance therapy in acute lymphatic leukemias of childhood].,2169-72,,"['Prindull, G', 'Tillmann, W', 'Schroter, W']","['Prindull G', 'Tillmann W', 'Schroter W']",['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['Cell Transformation, Neoplastic', 'Child', 'Cyclophosphamide/administration & dosage/adverse effects', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Mercaptopurine/administration & dosage/adverse effects', 'Methotrexate/administration & dosage/adverse effects', 'Remission, Spontaneous', 'Time Factors']",1975/10/17 00:00,1975/10/17 00:01,['1975/10/17 00:00'],"['1975/10/17 00:00 [pubmed]', '1975/10/17 00:01 [medline]', '1975/10/17 00:00 [entrez]']",,ppublish,Dtsch Med Wochenschr. 1975 Oct 17;100(42):2169-72.,Die Dauer der Erhaltungstherapie akuter lymphatischer Leukamien im Kindesalter,"['8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",
1058048,NLM,MEDLINE,19751211,20071115,0008-7335 (Print) 0008-7335 (Linking),114,33,1975 Aug 15,[Blastic leukaemia prognosis depending on different therapeutical procedures used in the years 1934-1974 (author's transl)].,1005-8,,"['Klener, P', 'Donner, L', 'Roth, Z']","['Klener P', 'Donner L', 'Roth Z']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Monocytic, Acute/*drug therapy', 'Male', 'Middle Aged', 'Prognosis']",1975/08/15 00:00,1975/08/15 00:01,['1975/08/15 00:00'],"['1975/08/15 00:00 [pubmed]', '1975/08/15 00:01 [medline]', '1975/08/15 00:00 [entrez]']",,ppublish,Cas Lek Cesk. 1975 Aug 15;114(33):1005-8.,Prognoza blastickych leukemii v zavislosti na ruznych lecebnych zpusobech pouzivanych v letech 1934-1974,['0 (Antineoplastic Agents)'],
1058045,NLM,MEDLINE,19751229,20190619,0008-543X (Print) 0008-543X (Linking),36,4,1975 Oct,Adriamycin in the treatment of childhood acute leukemia. A Southwest Oncology Group study.,1223-6,"Sixty-six children with acute leukemia, in advanced stages of their disease and resistant to conventional chemotherapy, received adriamycin for remssion induction. Seventeen of 46 (37%) evaluable children with acute lymphocytic leukemia achieved a complete remission, and 5 (11%) achieved a partial remission. Two of 12 evaluable children with acute myelogenous leukemia achieved a complete remission, while an additional 3 achieved a partial remission. Two children with erythroleukemia also achieved a complete remission. Previous therapy with daunorubicin did not affect the response rate. The main toxicities observed with adriamycin were myelosuppression, fever, nausea and vomiting, stomatitis, alopecia, and cardiac toxicity (ST segment changes and arrhythmias).","['Ragab, A H', 'Sutow, W W', 'Komp, D M', 'Starling, K A', 'Lyon, G M Jr', 'George, S']","['Ragab AH', 'Sutow WW', 'Komp DM', 'Starling KA', 'Lyon GM Jr', 'George S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Alopecia/chemically induced', 'Bone Marrow/drug effects', 'Child', 'Child, Preschool', 'Daunorubicin/therapeutic use', 'Doxorubicin/administration & dosage/adverse effects/*therapeutic use', 'Female', 'Fever/chemically induced', 'Heart/drug effects', 'Humans', 'Infant', 'Leukemia/*drug therapy', 'Leukemia, Erythroblastic, Acute/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Nausea/chemically induced', 'Remission, Spontaneous', 'Stomatitis/chemically induced']",1975/10/11 19:15,2001/03/28 10:01,['1975/10/11 19:15'],"['1975/10/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1975/10/11 19:15 [entrez]']",['10.1002/1097-0142(197510)36:4<1223::aid-cncr2820360407>3.0.co;2-7 [doi]'],ppublish,Cancer. 1975 Oct;36(4):1223-6. doi: 10.1002/1097-0142(197510)36:4<1223::aid-cncr2820360407>3.0.co;2-7.,,"['80168379AG (Doxorubicin)', 'ZS7284E0ZP (Daunorubicin)']",
1058044,NLM,MEDLINE,19751229,20190619,0008-543X (Print) 0008-543X (Linking),36,4,1975 Oct,Combination chemotherapy for children with acute lymphocytic leukemia who fail to respond to standard remission-induction therapy.,1220-2,"Short courses of cytosine arabinoside (Ara-C), cyclophosphamide, and L-asparaginase were given to seven children with newly diagnosed acute lymphocytic leukemia, who had failed to remit on standard remission induction therapy. These 4-day courses of Ara-C and cyclophophamide followed by 4 days of L-asparaginase were repeated at 3- to 4-week intervals for two or four courses. Complete remission occurred in six patients. The median duration of remission was 94+ days, on various maintenance regimens. The most serious side effect was neutropenia. This combination of these three drugs appears to be effective remission-induction therapy for children with ALL with unfavorable prognostic features.","['Lay, H N', 'Ekert, H', 'Colebatch, J H']","['Lay HN', 'Ekert H', 'Colebatch JH']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Asparaginase/administration & dosage/*therapeutic use', 'Child', 'Cyclophosphamide/administration & dosage/*therapeutic use', 'Cytarabine/administration & dosage/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Remission, Spontaneous', 'Retrospective Studies', 'Time Factors']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",['10.1002/1097-0142(197510)36:4<1220::aid-cncr2820360406>3.0.co;2-j [doi]'],ppublish,Cancer. 1975 Oct;36(4):1220-2. doi: 10.1002/1097-0142(197510)36:4<1220::aid-cncr2820360406>3.0.co;2-j.,,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)']",
1058043,NLM,MEDLINE,19751229,20190619,0008-543X (Print) 0008-543X (Linking),36,4,1975 Oct,"Chromosomes and causation of human cancer and leukemia. XVI. Banding studies of chronic myelocytic leukemia, including five unusual Ph11 translocations.",1177-91,"Forty-two Ph1-positive cases of chronic myelocytic leukemia (CML) were examined with chromosomal banding techniques. Thirty-seven of these cases had the ""standard"" type of Ph1 translocation between chromosomes No. 9 and No. 22 [t(9;22)(q34;q11)] in the Ph1-positive marrow cells; 5 cases had unusual types of Ph1 translocation. Of the 37 cases, 21 had additional numerical and/or structural chromosomal changes, 2 had a missing Y chromosome, and 1 had an extra Ph1 in the Ph1-positive cells. In the 5 cases with unusual types of Ph1 translocation, chromosomes No. 2, No. 9 No. 10, and No. 13 were involved. The clinical picture in these 5 patients did not differ materially from that of the other Ph1-positive patients with CML, probably indicating that the recipient chromosome, with which the translocation from No. 22 takes place, does not play a crucial role in the course of the CML. In the 21 cases with abnormal karyotypes, nonrandom chromosomal changes were observed. Most of the changes were related to events occurring at the centromeric region. The prognosis of cases with only an extra No. 8 or Ph1 appears to be better than that for cases with an iso-17q [I(17a)] chromosome or other extra chromosomes. The presence of the Ph1 (delected No. 22) in every case points to the essentiality of this karyotypic findings in the diagnosis of CML and possibly in the genesis of the disease.","['Hayata, I', 'Sakurai, M', 'Kakati, S', 'Sandberg, A A']","['Hayata I', 'Sakurai M', 'Kakati S', 'Sandberg AA']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['*Chromosome Aberrations', 'Chromosome Deletion', 'Chromosomes, Human, 1-3', 'Chromosomes, Human, 13-15', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Humans', 'Leukemia, Myeloid/*genetics', 'Prognosis', 'Sex Chromosomes', 'Translocation, Genetic']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",['10.1002/1097-0142(197510)36:4<1177::aid-cncr2820360402>3.0.co;2-8 [doi]'],ppublish,Cancer. 1975 Oct;36(4):1177-91. doi: 10.1002/1097-0142(197510)36:4<1177::aid-cncr2820360402>3.0.co;2-8.,,,
1058041,NLM,MEDLINE,19751228,20210216,0006-4971 (Print) 0006-4971 (Linking),46,5,1975 Nov,Cytogenetic studies in a patient with acute granulocytic leukemia of seven and one-half years duration.,783-9,"During a 7 1/2-yr period we monitored a chromosomally aberrant cell line in a woman with acute granulocytic leukemia (AGL) whose disease followed a rather unusual course. Her initial remission induced with 6-mercaptopurine (6-MP) and prednisone was maintained for 52 mo with biweekly doses of methotrexate (MTX) given orally. Because signs of liver dysfunction occurred, maintenance therapy was stopped. After 15 mo without chemotherapy, she suffered her first relapse (5 yr 7 mo after the initial diagnosis). A second remission, again induced with 6-MP and prednisone, was maintained for 1 yr, after which a second relapse occurred. Another remission lasting for only 4 mo was followed by a relapse of the leukemic process which led to her death. Cytogenetic studies of marrow cells and peripheral blood at the time of her initial diagnosis showed abnormal stem lines with characteristic chromosome markers. A small percentage of malignant cells bearing these markers persisted in her marrow during the years of her prolonged remission. At the time of her first relapse, 75% of her marrow cells had the marker karyotype, and at the time of her death (7 1/2 yr after the leukemia was diagnosed) all analyzable marrow metaphases had the characteristic chromosome changes.","['Littlefield, L G', 'Vodopick, H A']","['Littlefield LG', 'Vodopick HA']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Adolescent', 'Bone Marrow/pathology', 'Bone Marrow Cells', 'Cells, Cultured', '*Chromosome Aberrations', 'Fatty Liver/chemically induced', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Liver/drug effects', 'Mercaptopurine/adverse effects/therapeutic use', 'Mitosis', 'Necrosis/chemically induced', 'Prednisone/adverse effects/therapeutic use', 'Remission, Spontaneous']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",['S0006-4971(20)74231-X [pii]'],ppublish,Blood. 1975 Nov;46(5):783-9.,,"['E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)']",
1058039,NLM,MEDLINE,19751218,20171116,0007-0963 (Print) 0007-0963 (Linking),93,2,1975 Aug,Reactivation of scabies rash by methotrexate.,219-21,A 13-year-old female was on maintenance therapy for acute lymphoblastic leukemia. On three occasions she received methotrexate orally and each time this was associated with reactivation of scabies rash. The mechanisms for this phenomenon are discussed.,"['Burrows, D', 'Bridges, J M', 'Morris, T C']","['Burrows D', 'Bridges JM', 'Morris TC']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Dermatol,The British journal of dermatology,0004041,IM,"['Adolescent', 'Benzyl Compounds/therapeutic use', 'Cytarabine/therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/complications/drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/*adverse effects/therapeutic use', 'Prednisolone/therapeutic use', 'Remission, Spontaneous', 'Scabies/*chemically induced/drug therapy', 'Vincristine/therapeutic use']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",,ppublish,Br J Dermatol. 1975 Aug;93(2):219-21.,,"['0 (Benzyl Compounds)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",
1058037,NLM,MEDLINE,19751230,20190515,0007-0920 (Print) 0007-0920 (Linking),32,1,1975 Jul,"Agglutination of peripheral blood lymphocytes from cancer patients and not from healthy controls, with the F2A1 histone fraction.",28-33,"A simple, rapid histone agglutination test (HAT) is described. It consists of incubation in microplates or in microtubes of blood lymphocytes isolated from cancer patients and patients with non-malignant diseases with microquantities of histone fraction F2A1. Positive reaction is shown by massive agglutination of lymphocytes of the patients tested (126 subjects): this test was positive in 76% of cases. All controls (59 subjects) were negative.","['Sabolovic, D', 'Sabolovic, N', 'Moutte, A', 'Leibovici, S', 'Sauvezie, B', 'Chollet, P', 'Plagne, R']","['Sabolovic D', 'Sabolovic N', 'Moutte A', 'Leibovici S', 'Sauvezie B', 'Chollet P', 'Plagne R']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,IM,"['Adolescent', 'Female', 'Hemagglutination Tests/methods', 'Histones/*immunology', 'Humans', 'Leukemia, Lymphoid/immunology', 'Leukocyte Count', 'Lymphocytes/*immunology', 'Male', 'Neoplasms/*immunology']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",['10.1038/bjc.1975.130 [doi]'],ppublish,Br J Cancer. 1975 Jul;32(1):28-33. doi: 10.1038/bjc.1975.130.,,['0 (Histones)'],PMC2024777
1058036,NLM,MEDLINE,19751228,20190515,0007-0920 (Print) 0007-0920 (Linking),31,6,1975 Jun,Inhibition of normal human in vitro colony forming cells by cells from leukaemic patients.,641-8,"Co-culture in agar of normal bone marrow cells from different individuals gave granulocyte macrophage colony counts that were expected from counts made when the marrows were cultured separately. Co-culture of normal marrow with normal peripheral blood leucocytes (which did not themselves give rise to colonies) caused inhibition of colony growth only when the ratio of peripheral blood to bone marrow cells was of the order of 4 : 1. Peripheral blood or bone marrow cells from 7 of 9 patients with acute myelomonocytic leukaemia, which did not give rise to colonies, caused a marked reduction in the number of colonies obtained from normal marrow cells when cultured with them. This inhibitory effect of leukaemic cells was found when ratios of leukaemic to normal cells were as low as 1 : 4. Additional evidence that the inhibition of normal colony formation was related to the leukaemic process was obtained from follow-up studies on one of the patients whose cells lost the capacity to inhibit normal colony formation during remission and became inhibitory again on relapse.","['Morris, T C', 'McNeill, T A', 'Bridges, J M']","['Morris TC', 'McNeill TA', 'Bridges JM']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,IM,"['Adolescent', 'Adult', 'Aged', 'Bone Marrow/*immunology', '*Bone Marrow Cells', 'Cell Count', 'Cell Division', 'Cells, Cultured', 'Clone Cells', 'Female', 'Granulocytes', 'Humans', 'Leukemia, Myeloid/*immunology', 'Leukocyte Count', 'Male', 'Middle Aged']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",['10.1038/bjc.1975.110 [doi]'],ppublish,Br J Cancer. 1975 Jun;31(6):641-8. doi: 10.1038/bjc.1975.110.,,,PMC2009482
