PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,RF,AB,AID,PMC,OID,OAB,OABL,OTO,OT,PS,FPS,GN
799789,NLM,MEDLINE,19770611,20201209,0552-2080 (Print) 0552-2080 (Linking),21,7,1976 Jul,[Characteristics of the bacteria causing inflammatory-purulent complications in leukemia].,27-30,"['Smirnova, A I', ""Solov'eva, A I"", 'Eremina, T N', 'Baliubash, L A']","['Smirnova AI', ""Solov'eva AI"", 'Eremina TN', 'Baliubash LA']",['rus'],['Journal Article'],"Kharakteristika mikrobov, vyzyvaiushchikh vospalitel'no-gnoinye oslozhneniia u bol'nykh leikozom",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Bacterial Infections/*microbiology', 'Candida/isolation & purification', 'Candidiasis/etiology/*microbiology', 'Escherichia coli/isolation & purification', 'Escherichia coli Infections/etiology/microbiology', 'Humans', 'Leukemia/*complications', 'Skin Diseases, Infectious/etiology/*microbiology', 'Staphylococcal Infections/etiology/microbiology', 'Staphylococcus/isolation & purification', 'Streptococcal Infections/etiology/microbiology', 'Streptococcus/isolation & purification', 'Tonsillitis/etiology/*microbiology']",1976/07/01 00:00,1976/07/01 00:01,['1976/07/01 00:00'],"['1976/07/01 00:00 [pubmed]', '1976/07/01 00:01 [medline]', '1976/07/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 Jul;21(7):27-30.,,,,,,,,,,,,,
799786,NLM,MEDLINE,19770622,20041117,0552-2080 (Print) 0552-2080 (Linking),21,4,1976 Apr,[Importance of determination of phases of mitotic cycle of cells in the treatment of acute leukemia (literature survey)].,42-6,"['Gerasimova, N A', 'Egorov, L V', 'Kozinets, G I', ""Terent'eva, E I""]","['Gerasimova NA', 'Egorov LV', 'Kozinets GI', ""Terent'eva EI""]",['rus'],"['Journal Article', 'Review']",Znachenie opredeleniia faz mitoticheskogo tsikla kletok v lechenii bol'nykh ostrym leikozom (obzor literatury),Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Acute Disease', 'Alkylating Agents/pharmacology/therapeutic use', 'Antibiotics, Antineoplastic/pharmacology/therapeutic use', 'Antimetabolites, Antineoplastic/pharmacology/therapeutic use', 'Antineoplastic Agents/*therapeutic use', 'Circadian Rhythm', 'Drug Antagonism', 'Drug Synergism', 'Drug Therapy, Combination', 'Humans', 'Leukemia/*drug therapy/pathology', '*Mitosis/drug effects', 'Time Factors']",1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 Apr;21(4):42-6.,"['0 (Alkylating Agents)', '0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites, Antineoplastic)', '0 (Antineoplastic Agents)']",98,,,,,,,,,,,
799760,NLM,MEDLINE,19770611,20191210,0083-1921 (Print) 0083-1921 (Linking),44,,1976 Nov,Spontaneous regression of cancer and the importance of finding its cause.,5-9,"['Cole, W H']",['Cole WH'],['eng'],"['Journal Article', 'Review']",,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Antigen-Antibody Complex', 'Antigens, Neoplasm', 'Antineoplastic Agents/immunology', 'Carcinogens, Environmental', 'Female', 'Fever/complications', 'Gonadal Steroid Hormones/physiology', 'Humans', 'Immunity, Cellular', 'Immunoglobulins', 'Infections/complications', 'Male', '*Neoplasm Regression, Spontaneous', 'Neoplasms/complications/enzymology/immunology/radiotherapy', 'Pregnancy', 'Shock, Surgical', 'Viral Interference']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1976 Nov;44:5-9.,"['0 (Antigen-Antibody Complex)', '0 (Antigens, Neoplasm)', '0 (Antineoplastic Agents)', '0 (Carcinogens, Environmental)', '0 (Gonadal Steroid Hormones)', '0 (Immunoglobulins)']",47,"A few years ago Everson and I assembled all the examples of spontaneous regression in the world medical literature from 1900 to 1960 and added numerous cases from expriences of our friends. Our figure was 176. We excluded squamous cell carcinoma of the skin, leukemia, Hodgkin's disease, and a large number of cases that did not fulfill the prerequisites of confirmed diagnosis and no significant treatment. The four most common examples of regression were carcinoma of the kidney (31), neuroblastoma (29), malignant melanoma (19), and choriocarcinoma (19); these constituted more than half the group. We did not require that the regression be permanent because it appeared that the explanation of temporary regression would be just as important as the cause of permanent regression. There was no proven specific cause of the regression, but the following mechanisms had a possible relationship: immunologic action, elimination of carcinogens, trauma (altering the antigen-antibody relationship), hormones, irradiation, infection and/or fever, and drugs or chemicals. The most applicable of these is elimination of the carcinogen. Immunologic reactions seem to offer the best explanation, and the potential of humoral immunity is more impressive than that of cellular immunity.",,,,,,,,,,
799755,NLM,MEDLINE,19770611,20051117,0083-1921 (Print) 0083-1921 (Linking),44,,1976 Nov,Some immunologically based reactions that can cause the regression of large tumor masses.,105-8,"['Alexander, P']",['Alexander P'],['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', 'Antigens, Neoplasm', 'BCG Vaccine', 'Complement System Proteins', 'Endotoxins/therapeutic use', 'Humans', '*Immunity', 'Immunotherapy', 'Leukemia/immunology', 'Macrophages/immunology', 'Mice', 'Mycobacterium bovis/immunology', '*Neoplasm Regression, Spontaneous', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*immunology/therapy', 'RNA/immunology', 'Skin Neoplasms/therapy', 'Transplantation, Isogeneic', 'Tuberculin']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1976 Nov;44:105-8.,"['0 (Antigens, Neoplasm)', '0 (BCG Vaccine)', '0 (Endotoxins)', '0 (Tuberculin)', '63231-63-0 (RNA)', '9007-36-7 (Complement System Proteins)']",,"A widely held view is that the immune reactions of the host directed against tumor-specific membrane antigens can only eliminate a relatively small number of tumor cells. There are, however, some therapeutic maneuvers, that under some conditions can cause the regression of large tumor masses to which immune factors make a critical contribution. Among these are the injection of complement, administration of double stranded RNA and endotoxin, and the induction of inflammation.",,,,,,,,,,
799467,NLM,MEDLINE,19770520,20041117,0099-1147 (Print) 0099-1147 (Linking),4,,1976,Recent and potential advances in cancer chemotherapy.,118-32,"['Burchenal, J H']",['Burchenal JH'],['eng'],['Journal Article'],,United States,Adv Pathobiol,Advances in pathobiology,7511090,IM,"['Adult', 'Age Factors', 'Animals', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Child', 'Humans', 'Leukemia/drug therapy', 'Methods', 'Mice', 'Neoplasms/*drug therapy/surgery', 'Research Design', 'Transplantation, Homologous']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Adv Pathobiol. 1976;4:118-32.,,,,,,,,,,,,,
799367,NLM,MEDLINE,19770527,20061115,0040-3660 (Print) 0040-3660 (Linking),48,8,1976,[Treatment of infectious complications and bleeding with infusions of leukocytic and thrombocytic mass obtained with the aid of blood cell separator].,44-54,"['Baranov, A E', 'Kaliuta, B A', 'Kalinin, N N', ""Murav'eva, L I"", 'Selidovkin, G D']","['Baranov AE', 'Kaliuta BA', 'Kalinin NN', ""Murav'eva LI"", 'Selidovkin GD']",['rus'],"['English Abstract', 'Journal Article']","Opyt lecheniia infektsionnykh oslozhnenii i krovotochivosti infuziiami leikotsitarnoi i trombotsitarnoi massy, poluchaemykh pri pomoshchi separatora kletok krovi",Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['Blood Transfusion/*methods', 'Escherichia coli Infections/therapy', 'Hemorrhage/*therapy', 'Humans', 'Leukemia, Myeloid/complications', '*Leukocyte Transfusion', 'Plasmapheresis', '*Platelet Transfusion', 'Pneumonia, Staphylococcal/therapy', 'Sepsis/*therapy', 'Staphylococcal Infections/therapy']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Ter Arkh. 1976;48(8):44-54.,,,,,,,,,,,,,
799343,NLM,MEDLINE,19770527,20130326,0377-1202 (Print) 0377-1202 (Linking),14,3,1976 Jul-Sep,Cytochemical and cytoenzymatic investigations in the management of leukemias.,175-84,"['Micu, D']",['Micu D'],['eng'],"['Journal Article', 'Review']",,Romania,Med Interne,Medecine interne,7506353,IM,"['Acid Phosphatase/metabolism', 'Alkaline Phosphatase/metabolism', 'Cell Nucleolus/metabolism', '*Clinical Enzyme Tests', 'DNA/biosynthesis/*metabolism', 'Glucuronidase/metabolism', 'Glycogen/*metabolism', 'Hematopoietic Stem Cells/metabolism', 'Histocytochemistry', 'Humans', 'Leukemia/*diagnosis/enzymology/*metabolism/therapy', 'Leukemia, Lymphoid/metabolism', 'Leukemia, Myeloid, Acute/metabolism', 'Lipid Metabolism', 'Oxidoreductases/metabolism', 'Periodic Acid-Schiff Reaction', 'Peroxidases/metabolism', 'RNA/biosynthesis/metabolism']",1976/07/01 00:00,1976/07/01 00:01,['1976/07/01 00:00'],"['1976/07/01 00:00 [pubmed]', '1976/07/01 00:01 [medline]', '1976/07/01 00:00 [entrez]']",ppublish,Med Interne. 1976 Jul-Sep;14(3):175-84.,"['63231-63-0 (RNA)', '9005-79-2 (Glycogen)', '9007-49-2 (DNA)', 'EC 1.- (Oxidoreductases)', 'EC 1.11.1.- (Peroxidases)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.31 (Glucuronidase)']",59,"The value of certain cytochemical and cytoenzymatic investigations in the management of leukemias is discussed in different types of acute or chronic leukemias. Among the data resulting from cytochemical methods those related to cellular biochemical components such as DNA, RNA, glycogen and lipids are particularly noteworthy. The results of cytoenzymatic investigations have stressed the necessity of knowing the activity of certain enzymes such as peroxidases, alkaline and acid phosphatases, beta-glucuronidase, succinate dehydrogenase, lactate dehydrogenase and glucose-6-phosphate dehydrogenase a.o. The prospective value of enzymes such as dehydrofolate reductase, DNA and RNA polymerases, DNA and RNA-ases a.o. in the management of leukemias is also mentioned.",,,,,,,,,,
799303,NLM,MEDLINE,19770527,20151119,0552-2080 (Print) 0552-2080 (Linking),21,5,1976 May,[Study of the kinetics of granulocytes labeled with radioactive diisopropylfluorophosphate (DFP32)].,33-9,"[""Vorob'eva, E N"", 'Baranova, A E', 'Sedov, V V']","[""Vorob'eva EN"", 'Baranova AE', 'Sedov VV']",['rus'],"['Case Reports', 'English Abstract', 'Journal Article']","Issledovanie kinetiki granulotsitov krovi, mechennykh radioaktivnym diizopropilfliuorofosfatom (DFP32)",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Adult', 'Cell Movement', 'Female', 'Granulocytes/*cytology', 'Humans', 'Isoflurophate', 'Isotope Labeling', 'Leukemia, Myeloid/blood', 'Leukocytes/*cytology', 'Lymphoma, Large B-Cell, Diffuse/blood', 'Male', 'Middle Aged', 'Pancytopenia/blood']",1976/05/01 00:00,1976/05/01 00:01,['1976/05/01 00:00'],"['1976/05/01 00:00 [pubmed]', '1976/05/01 00:01 [medline]', '1976/05/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 May;21(5):33-9.,['12UHW9R67N (Isoflurophate)'],,,,,,,,,,,,
799302,NLM,MEDLINE,19770527,20061115,0552-2080 (Print) 0552-2080 (Linking),21,5,1976 May,[Study of the accretion of transplanted allogeneic myelokaryocytes].,24-9,"['Korenevskaia, M I', 'Bogoiavlenskaia, M P', 'Poreshina, L P', 'Manishkina, R P', 'Orlov, G P']","['Korenevskaia MI', 'Bogoiavlenskaia MP', 'Poreshina LP', 'Manishkina RP', 'Orlov GP']",['rus'],"['English Abstract', 'Journal Article']",Izuchenie prizhivliaemosti transplantirovannykh allogennykh mielokariotsitov,Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/therapy', 'Blood Cell Count', 'Blood Cells/pathology', '*Bone Marrow Cells', '*Bone Marrow Transplantation', 'Female', 'Follow-Up Studies', '*Graft Survival', 'Humans', 'Leukemia, Myeloid/therapy', 'Male', 'Middle Aged', 'Transplantation, Homologous']",1976/05/01 00:00,1976/05/01 00:01,['1976/05/01 00:00'],"['1976/05/01 00:00 [pubmed]', '1976/05/01 00:01 [medline]', '1976/05/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 May;21(5):24-9.,,,,,,,,,,,,,
799300,NLM,MEDLINE,19770525,20071115,0552-2080 (Print) 0552-2080 (Linking),21,11,1976 Nov,[Ribonucleic acids in human lymphocytes under normal conditions and in chronic lympholeukosis (review of the literature)].,35-8,"['Luganova, I S']",['Luganova IS'],['rus'],"['Journal Article', 'Review']",Ribonukleinovye kisloty v limfotsitakh cheloveka v norme i pri khronicheskom limfoleikoze (obzor literatury),Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Base Sequence', 'DNA, Neoplasm', 'DNA-Directed DNA Polymerase/metabolism', 'DNA-Directed RNA Polymerases/metabolism', 'Humans', 'Lectins/pharmacology', 'Leukemia, Lymphoid/*blood/enzymology', 'Lymphocytes/enzymology/*metabolism', 'Methylation', 'Nucleic Acid Hybridization', 'RNA/blood', 'RNA, Messenger/metabolism', 'RNA, Neoplasm/*blood', 'RNA, Ribosomal/biosynthesis', 'RNA, Transfer/metabolism']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1976 Nov;21(11):35-8.,"['0 (DNA, Neoplasm)', '0 (Lectins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (RNA, Ribosomal)', '63231-63-0 (RNA)', '9014-25-9 (RNA, Transfer)', 'EC 2.7.7.6 (DNA-Directed RNA Polymerases)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)']",54,,,,,,,,,,,
