PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,OID,GN,GR,SI,OTO,OT
647635,NLM,MEDLINE,19780724,20190619,0008-543X (Print) 0008-543X (Linking),41,5,1978 May,Leukemic reticuloendotheliosis: report of a case with peripheral blood remission on androgen therapy.,1964-6,Leukemic reticuloendotheliosis (LRE) has been generally considered to be poorly responsive to therapy other than splenectomy. The patient presented below developed a complete peripheral blood remission after prolonged therapy with an androgen (oxymetholone). There is very little published experience with androgen therapy in LRE. The experience with this patient suggests that androgens may produce a clinical remission by inducing significant improvement in the peripheral blood in some patients with this disease.,"['Lusch, C J', 'Ramsey, H E', 'Katayama, I']","['Lusch CJ', 'Ramsey HE', 'Katayama I']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', 'L76T0ZCA8K (Oxymetholone)']",IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Blood Cell Count', 'Blood Platelets', 'Hematocrit', 'Humans', 'Leukemia, Hairy Cell/blood/*drug therapy/surgery', 'Male', 'Oxymetholone/*therapeutic use', 'Remission, Spontaneous', 'Splenectomy']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",['10.1002/1097-0142(197805)41:5<1964::aid-cncr2820410541>3.0.co;2-j [doi]'],ppublish,Cancer. 1978 May;41(5):1964-6. doi: 10.1002/1097-0142(197805)41:5<1964::aid-cncr2820410541>3.0.co;2-j.,,,,,,,,
647620,NLM,MEDLINE,19780724,20191210,0008-543X (Print) 0008-543X (Linking),41,5,1978 May,The treatment of chronic lymphocytic leukemia with COP chemotherapy.,1664-9,"Since single drug therapy of chronic lymphocytic leukemia (CLL) has not resulted in prolonged remissions of advanced disease, we initiated a program of combination chemotherapy, COP (cycloposphamide, vincristine sulfate, prednisone) for CLL patients with increasing adenopathy, spenomegaly, and/or signs of marrow failure defined as either anemia or thrombocytopenia. Thirty-six patients received COP either as initial therapy or following progression of disease on single agent therapy. The response rate was 72% with 26 patients responding (16 complete remissions, and 10 good partial remissions). The responses lasted from 8 to 50+ months. Sixteen of the responding patients remain in remission, 2 have active disease and 8 have died. Median survival has not yet been reached but the two-year survival from initiation of COP of the responding patients (complete and good partial response) is 90%. Ten patients had either poor partial or no response with median survival of 18 months. The median survival of the entire group of 36 patients is 35 months. COP is an effective and well tolerated therapy for advanced chronic lymphocytic leukemia.","['Liepman, M', 'Votaw, M L']","['Liepman M', 'Votaw ML']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)']",IM,"['Cyclophosphamide/adverse effects/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', 'Infections/etiology', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Lymph Nodes/pathology', 'Lymphocytes/pathology', 'Male', 'Prednisone/adverse effects/*therapeutic use', 'Remission, Spontaneous', 'Time Factors', 'Vincristine/adverse effects/*therapeutic use']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",['10.1002/1097-0142(197805)41:5<1664::aid-cncr2820410503>3.0.co;2-q [doi]'],ppublish,Cancer. 1978 May;41(5):1664-9. doi: 10.1002/1097-0142(197805)41:5<1664::aid-cncr2820410503>3.0.co;2-q.,,,,,,,,
647113,NLM,MEDLINE,19780724,20210216,0006-4971 (Print) 0006-4971 (Linking),51,6,1978 Jun,Extreme elevation of transcobalamin II levels in multiple myeloma and other disorders.,1057-63,,"['Carmel, R', 'Hollander, D']","['Carmel R', 'Hollander D']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (Blood Proteins)', '0 (Transcobalamins)']",IM,"['Bacterial Infections/blood', '*Blood Proteins', 'Esophageal Neoplasms/blood', 'Humans', 'Kidney Function Tests', 'Leukemia, Lymphoid/blood', 'Liver Cirrhosis/blood', 'Liver Function Tests', 'Lupus Erythematosus, Systemic/blood', 'Lymphoma/blood', 'Multiple Myeloma/*blood', 'Primary Myelofibrosis/blood', 'Seizures/blood', 'Transcobalamins/*blood']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",['S0006-4971(20)74757-9 [pii]'],ppublish,Blood. 1978 Jun;51(6):1057-63.,,,,,,,,
646948,NLM,MEDLINE,19780724,20190704,0007-1048 (Print) 0007-1048 (Linking),38,4,1978 Apr,Chronic lymphatic leukaemia: cellular effects of glucocorticoids in vitro.,491-9,"Glucocorticoid receptor levels and steroid induced inhibition of nucleic acid precursors have been examined in lymphocytes from 27 patients at different stages of chronic lymphatic leukaemia. No correlation can be found between the level of glucocorticoid receptors and the stage of the disease. On the other hand, a significant difference (P less than 0.02) was found between stage O and stage III/IV patients, in terms of the in vitro effect of dexamethasone on [3H] uridine incorporation.","['Homo, F', 'Duval, D', 'Meyer, P', 'Belas, F', 'Debre, P', 'Binet, J L']","['Homo F', 'Duval D', 'Meyer P', 'Belas F', 'Debre P', 'Binet JL']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (RNA, Neoplasm)', '0 (Receptors, Glucocorticoid)', '7S5I7G3JQL (Dexamethasone)', 'WHI7HQ7H85 (Uridine)']",IM,"['Adult', 'Aged', 'Dexamethasone/*pharmacology', 'Female', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphoid/*blood', 'Lymphocytes/*drug effects/metabolism', 'Male', 'Middle Aged', 'RNA, Neoplasm/biosynthesis', 'Receptors, Glucocorticoid/metabolism', 'Uridine/metabolism']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",['10.1111/j.1365-2141.1978.tb01074.x [doi]'],ppublish,Br J Haematol. 1978 Apr;38(4):491-9. doi: 10.1111/j.1365-2141.1978.tb01074.x.,,,,,,,,
645444,NLM,MEDLINE,19780628,20190812,0001-6101 (Print) 0001-6101 (Linking),203,4,1978,Reversible renal failure caused by hypercalcemia. A retrospective study.,309-14,"The influence of hypercalcemia on renal function was studied retrospectively in 13 patients suffering from primary hyperparathyroidism, sarcoidosis, vitamin D intoxication, malignant lymphoma or chronic lymphatic leucemia. Different kinds of treatment, depending upon the primary disease, often induced a rapid fall in the serum calcium concentration. The serum creatinine concentration always fell simultaneously. The serum phosphate concentration fell in all but two patients. Changes in serum calcium and serum creatinine correlated significantly (p less than 0.001), as did changes in serum calcium and serum phosphate concentrations (p less than 0.05). Serum calcium/serum creatinine and serum calcium/serum phosphate ratios were significantly higher in patients with primary hyperparathyroidism than in patients with hypercalcemia of non-hyperparathyroid origin (p less than 0.01, p less than 0.001). This suggests a different effect of calcium on the glomerular filtration rate in hyperparathyroid and non-hyperparathyroid patients, the latter group being more sensitive to the influence of hypercalcemia. Possible explanations for this difference, such as a protective effect of PTH on the glomerular filtration, are discussed.","['Lins, L E']",['Lins LE'],['eng'],['Journal Article'],Sweden,Acta Med Scand,Acta medica Scandinavica,0370330,"['0 (Phosphates)', '1406-16-2 (Vitamin D)', 'AYI8EX34EU (Creatinine)', 'SY7Q814VUP (Calcium)']",IM,"['Adult', 'Aged', 'Calcium/blood', 'Child', 'Creatinine/blood', 'Female', 'Humans', 'Hypercalcemia/*complications', 'Hyperparathyroidism/complications', 'Kidney Failure, Chronic/*etiology', 'Leukemia, Lymphoid/complications', 'Lymphoma/complications', 'Male', 'Middle Aged', 'Phosphates/blood', 'Retrospective Studies', 'Sarcoidosis/complications', 'Vitamin D/poisoning']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1111/j.0954-6820.1978.tb14879.x [doi]'],ppublish,Acta Med Scand. 1978;203(4):309-14. doi: 10.1111/j.0954-6820.1978.tb14879.x.,,,,,,,,
645057,NLM,MEDLINE,19780612,20161109,0507-4088 (Print) 0507-4088 (Linking),,1,1978 Jan-Feb,[Persistence of Sindbis virus in cultures either non-producing or irregularly producing oncornavirus].,52-6,"Persistence of Sindbis virus (SV) was studied for 9 months in two lines of mouse cell cultures (BALB/C) in one of which the genome of endogenous ecotropic oncornaviruses was repressed. The other lines was exogenously infected at the level of plimary culture with Rauscher leukemia virus (RLV) and SV and showed gradual inhibition of oncornavirus functions. The presence of oncornavirus type C was not the necessary condition for the development of persistent SV infection, however it influenced the character of persistence. In both systems, sequential loss of the hemagglutinating and interferon-inducing activities, then infectivity of SV (61--82 days), and persistence of the noninfectious antigen of the arbovirus for 9 months were observed. The differences consisted in the time of appearance of homologous interference to SV: in the presence of oncornavirus earlier (40 days), under conditions of repressed oncornavirus genome later (179 days). Electron microscopic examinations showed that in the system infected with RLV and SV there occurred in the course of persistence a sharp activation of phagosome-lysosome complex accompanied by incorporation into phagocytolysomes of numerous intact and partially destroyed virions of SV and RLV and their release from cell with cytoplasmic fragments. Possible mechanisms of inhibition of functions of the oncogenic and infectious viruses in the reported model of mixed chronic infection are discussed.","['Pogodina, V V', 'Kiseleva, L L', 'Miller, G G', 'Fokina, G I', 'Graevskaia, N A']","['Pogodina VV', 'Kiseleva LL', 'Miller GG', 'Fokina GI', 'Graevskaia NA']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,,IM,"['Animals', 'Arbovirus Infections/microbiology', 'Cells, Cultured', 'Chick Embryo', 'Embryo, Mammalian', 'Female', 'Fibroblasts/microbiology', 'Hemagglutination, Viral', 'Leukemia, Experimental/microbiology', 'Mice', 'Microscopy, Electron', 'Pregnancy', 'Rauscher Virus/*growth & development', '*Sindbis Virus/isolation & purification/pathogenicity', 'Viral Interference']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Vopr Virusol. 1978 Jan-Feb;(1):52-6.,"Persistentsiia virusa Sindbis v kul'turakh, ne produtsiruiushchikh i nereguliarno produtsiruiushchikh onkornavirus.",,,,,,,
644886,NLM,MEDLINE,19780612,20190714,0042-6822 (Print) 0042-6822 (Linking),85,1,1978 Mar,Amino-terminal amino acid sequence and carboxyl-terminal analysis of Rauscher murine leukemia virus glycoproteins.,319-22,,"['Henderson, L E', 'Copeland, T D', 'Smythers, G W', 'Marquardt, H', 'Oroszlan, S']","['Henderson LE', 'Copeland TD', 'Smythers GW', 'Marquardt H', 'Oroszlan S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Amino Acids)', '0 (Glycoproteins)', '0 (Viral Proteins)', 'EC 3.4.- (Carboxypeptidases)']",IM,"['Amino Acid Sequence', 'Amino Acids/analysis', 'Carboxypeptidases/metabolism', 'Glycoproteins/*analysis/metabolism', 'Rauscher Virus/*analysis', 'Viral Proteins/*analysis/metabolism']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']","['0042-6822(78)90437-3 [pii]', '10.1016/0042-6822(78)90437-3 [doi]']",ppublish,Virology. 1978 Mar;85(1):319-22. doi: 10.1016/0042-6822(78)90437-3.,,,,,,,,
644882,NLM,MEDLINE,19780612,20190714,0042-6822 (Print) 0042-6822 (Linking),85,1,1978 Mar,Hydrophobic binding site(s) on Moloney--murine leukemia virus P30.,211-21,,"['Swanson, S K', 'Sulkowski, E', 'Manly, K F']","['Swanson SK', 'Sulkowski E', 'Manly KF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Viral Proteins)', '9012-36-6 (Sepharose)']",IM,"['Binding Sites', 'Capsid/isolation & purification/*metabolism', 'Chemical Phenomena', 'Chemistry', '*Moloney murine leukemia virus', 'Sepharose/metabolism', 'Structure-Activity Relationship', 'Viral Proteins/*metabolism']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']","['0042-6822(78)90425-7 [pii]', '10.1016/0042-6822(78)90425-7 [doi]']",ppublish,Virology. 1978 Mar;85(1):211-21. doi: 10.1016/0042-6822(78)90425-7.,,,,,,,,
644867,NLM,MEDLINE,19780612,20080116,0042-4846 (Print) 0042-4846 (Linking),,3,1978 Mar,[Changes in the bone marrow cell karyotype in the young of cows with leukemia].,43-6,,"['Burba, L G', 'Dun, E A', 'Simonian, G A']","['Burba LG', 'Dun EA', 'Simonian GA']",['rus'],['Journal Article'],Russia (Federation),Veterinariia,Veterinariia,0412751,,IM,"['Aneuploidy', 'Animals', 'Bone Marrow/*ultrastructure', 'Cattle', 'Cattle Diseases/genetics/*pathology', 'Diploidy', 'Female', 'Genotype', 'Karyotyping', 'Leukemia/*veterinary', 'Pedigree']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Veterinariia. 1978 Mar;(3):43-6.,"Izmeneniia v kariotipe kletok kostnogo mozga molodniaka ot korov, bol'nykh leikozom.",,,,,,,
644866,NLM,MEDLINE,19780612,20080116,0042-4846 (Print) 0042-4846 (Linking),,3,1978 Mar,[Oncornavirus spread in cattle on leukemia-infected farms].,40-3,,"['Valikhov, A F', 'Burba, L G', 'Nakhmanson, V M', 'Zinevich, L A', 'Kozin, A F']","['Valikhov AF', 'Burba LG', 'Nakhmanson VM', 'Zinevich LA', 'Kozin AF']",['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Veterinariia,Veterinariia,0412751,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cattle Diseases/immunology/*transmission', 'Female', 'Leukemia/*veterinary', 'Leukocyte Count', 'Lymphocytes/immunology', 'Retroviridae/*immunology', 'Tumor Virus Infections/veterinary']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Veterinariia. 1978 Mar;(3):40-3.,Rasprostranenie onkornavirus krupnogo rogatogo skota v neblagopoluchnykh po leikozu khoziaistvakh.,,,,,,,
