PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,RN,AID,OID,OAB,OABL,OTO,OT,GN,PMC,RF,GR,AD
506283,NLM,MEDLINE,19800128,20071115,0043-5147 (Print) 0043-5147 (Linking),32,19,1979 Oct 1,[Malignant organ neoplasms in chronic lymphatic leukemia].,1389-92,"['Szczecinska, M', 'Sliwowski, A']","['Szczecinska M', 'Sliwowski A']",['pol'],"['English Abstract', 'Journal Article']",Zlosliwe nowotwory narzadowe u chorych z przewlekla bialaczka limfatyczna.,Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,IM,"['Aged', 'Carcinoma, Basal Cell/complications', 'Esophageal Neoplasms/*complications', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male', 'Middle Aged', 'Skin Neoplasms/*complications']",1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Wiad Lek. 1979 Oct 1;32(19):1389-92.,,,,,,,,,,,,,
506233,NLM,MEDLINE,19800124,20061115,0043-5147 (Print) 0043-5147 (Linking),32,12,1979 Jun 15,[Viral infections in children with neoplasms].,841-7,"['Ochocka, M', 'Ciepielewska, D', 'Newecka, T']","['Ochocka M', 'Ciepielewska D', 'Newecka T']",['pol'],"['English Abstract', 'Journal Article']",Wirusowe choroby zakazne u dzieci z chorobami nowotworowymi.,Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,IM,"['Child', 'Hepatitis, Viral, Human/epidemiology', 'Humans', 'Leukemia/*complications/immunology', 'Lymphoma/*complications/immunology', 'Male', 'Measles/epidemiology', 'Rubella/epidemiology', 'Smallpox/epidemiology', 'Virus Diseases/*epidemiology']",1979/06/15 00:00,1979/06/15 00:01,['1979/06/15 00:00'],"['1979/06/15 00:00 [pubmed]', '1979/06/15 00:01 [medline]', '1979/06/15 00:00 [entrez]']",ppublish,Wiad Lek. 1979 Jun 15;32(12):841-7.,,,,,,,,,,,,,
506207,NLM,MEDLINE,19800119,20161109,0507-4088 (Print) 0507-4088 (Linking),,5,1979 Sep-Oct,[Differences in the properties of the interferons produced by the leukocytes of healthy persons and of cancer and leukemia patients].,532-5,"['Pokidysheva, L N', 'Marchenko, V I', 'Zubanova, N A', 'Moisiadi, S A', 'Fedorova, Iu B']","['Pokidysheva LN', 'Marchenko VI', 'Zubanova NA', 'Moisiadi SA', 'Fedorova IuB']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']","Razlichiia v svoistvakh interferonov, produtsiruemykh leikotsitami krovi zdorovykh liudei, bol'nykh rakom i leikozom.",Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,IM,"['Adolescent', 'Adult', 'Aged', 'Animals', 'Carcinoma, Krebs 2/immunology', 'Cells, Cultured', '*Health', 'Humans', 'In Vitro Techniques', 'Interferons/*immunology', 'Leukemia/*immunology', 'Leukemia, Experimental/immunology', 'Leukocytes/*immunology', 'Mice', 'Middle Aged', 'Neoplasms/*immunology', 'Pneumonia/immunology', 'Rauscher Virus']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,Vopr Virusol. 1979 Sep-Oct;(5):532-5.,"In vitro production of interferon by blood leukocytes from patients with lymphosarcoma, lymphogranulomatosis, leukemia, cancer tumours, pneumonia, as well as by leukocytes of mice with Rauscher leukemia, and mice in the condition of hyporeactivity to interferon inducer was studied. Alongside with quantitative differences in interferon production, biological differences in the properties of interferons produced of normal and sick humans and animals were revealed. The biological differences consist in that the interferon produced by leukocytes from cancer and leukemia patients interacting with homologous cell culture is conducive to more rapid formation of resistance to the indicator virus than the interferon produced by normal leukocytes. Thus, resistance of the homologous cell culture to the infection with the indicator vesicular stomatitis virus developed within 1--2 hours after contact with leukocyte interferon from patients and only within 5--6 hours after contact with that of normal subjects. This finding is not specific for cancer and leukemia, as the same was observed with specimens from patients with pneumonia and from mice hyporeactive to interferon inducer. It is suggested that patients with cancer and leukemia have a state of interferon hyporeactivity.",['9008-11-1 (Interferons)'],,,,,,,,,,,
506204,NLM,MEDLINE,19800119,20161109,0507-4088 (Print) 0507-4088 (Linking),,5,1979 Sep-Oct,[Change in the nature of the persistence of alpha- and flaviviruses in the body of BALB/c strain mice with a mixed infection with leukovirus].,515-9,"['Malenko, G V', 'Pogodina, V V', 'Farutina, L M', 'Karmysheva, V Ia', 'Ravkina, L I']","['Malenko GV', 'Pogodina VV', 'Farutina LM', 'Karmysheva VIa', 'Ravkina LI']",['rus'],"['English Abstract', 'Journal Article']",Izmenenie kharaktera persistentsii al'fa- i flavivirusov v organizme myshei linii BALB/c pri smeshannoi infektsii s leikovirusom.,Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,IM,"['Animals', 'Arbovirus Infections/*microbiology/pathology', 'Female', 'Leukemia, Experimental/*microbiology/pathology', 'Male', 'Mice', 'Mice, Inbred BALB C/*microbiology', 'Rauscher Virus/pathogenicity', 'Sindbis Virus/pathogenicity', 'Time Factors', 'Viral Interference', 'Virulence', 'Virus Replication', 'West Nile Fever/*microbiology/pathology', 'West Nile virus/pathogenicity']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,Vopr Virusol. 1979 Sep-Oct;(5):515-9.,"The features of pathogenesis of infection caused in adult Balb/c mice intraperitoneally infected with Sindbis virus, virulent or attenuated strains of West Nile (WN) virus, individually or in combination with Rauscher leukemia virus (RLV) were studied. The influence of the latter on the course of togavirus infections was characterized by 3 features: (a) different effects on the visceral and neural phases of the pathogenesis (increased period of viremia and virus reproduction in the viscera did not lead to stimulation of virus reproduction in the CNS); (b) changes in the time of togavirus persistence in the infectious form; (c) the dependence of the observed effect on the togavirus properties.",,,,,,,,,,,,
506118,NLM,MEDLINE,19800124,20090225,0026-9050 (Print) 0026-9050 (Linking),,9,1979 Sep,[Enzymatic shifts in chronic leukemias].,36-8,"['Petrov, N S', 'Dygin, V P', 'Antinov, V B', 'Novozhenov, V G', 'Kotsiubinskii, N N']","['Petrov NS', 'Dygin VP', 'Antinov VB', 'Novozhenov VG', 'Kotsiubinskii NN']",['rus'],"['Comparative Study', 'Journal Article']",Fermentnye sdvigi pri khronicheskikh leikozakh.,Russia (Federation),Voen Med Zh,Voenno-meditsinskii zhurnal,2984871R,IM,"['Chronic Disease', 'Enzyme Activation', 'Humans', 'Leukemia/*enzymology/etiology', 'Leukocytes/enzymology', 'Lysosomes/enzymology']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,Voen Med Zh. 1979 Sep;(9):36-8.,,,,,,,,,,,,,
505272,NLM,MEDLINE,19800124,20041117,0040-3660 (Print) 0040-3660 (Linking),51,10,1979,[Non-accidental chromosomal changes in hemoblastoses].,121-5,"['Bondare, D K', 'Baravika, I Ia']","['Bondare DK', 'Baravika IIa']",['rus'],['Journal Article'],Nesluchainye khromosomnye izmeneniia pri nekotorykh gemoblastozakh.,Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['*Chromosome Aberrations', '*Chromosome Disorders', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 19-20', 'Humans', 'Leukemia/*genetics', 'Lymphoproliferative Disorders/*genetics']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Ter Arkh. 1979;51(10):121-5.,,,,,,,,,,,,,
505155,NLM,MEDLINE,19800124,20061115,0038-5077 (Print) 0038-5077 (Linking),,9,1979 Sep,[Liver lesions in hemoblastosis].,62-7,"['Miterev, Iu G']",['Miterev IuG'],['rus'],"['English Abstract', 'Journal Article']",O porazhenii pechenii pri gemoblastozakh.,Russia (Federation),Sov Med,Sovetskaia meditsina,0404525,IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Humans', 'Leukemia/*complications', 'Liver Diseases/*complications', 'Lymphoma/*complications', 'Male', 'Middle Aged']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,Sov Med. 1979 Sep;(9):62-7.,,,,,,,,,,,,,
505093,NLM,MEDLINE,19800119,20190702,0038-4348 (Print) 0038-4348 (Linking),72,11,1979 Nov,Opportunistic infections in chronic lymphocytic leukemia.,1487-8,"['Fulkerson, W', 'Spickard, A', 'Davis, B W']","['Fulkerson W', 'Spickard A', 'Davis BW']",['eng'],"['Case Reports', 'Journal Article']",,United States,South Med J,Southern medical journal,0404522,IM,"['Aged', 'Anemia, Hemolytic/complications', 'Aspergillosis/etiology', 'Bacterial Infections/*etiology', 'Cryptococcosis/etiology', 'Histoplasmosis/etiology', 'Humans', 'Leukemia, Lymphoid/*complications/immunology', 'Male', 'Meningitis/etiology', 'Mycoses/*etiology', 'Prednisone/adverse effects', 'Respiratory Tract Infections/etiology', 'Urinary Tract Infections/etiology', 'Virus Diseases/etiology']",1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,South Med J. 1979 Nov;72(11):1487-8. doi: 10.1097/00007611-197911000-00046.,"Patients with chronic lymphocytic leukemia (CLL) are susceptible to infection from a variety of opportunistic pathogens. We have described an elderly man with CLL who had repeated, severe bacterial and fungal infections including recurrent cryptococcal meningitis, disseminated histoplasmosis, Vibrio fetus sepsis, Pasturella tularensis sepsis, and Aspergillus pneumonia. B cell and possible T cell defectiveness in CLL as well as chronic corticosteroid therapy contributed to the weakened host defenses.",['VB0R961HZT (Prednisone)'],['10.1097/00007611-197911000-00046 [doi]'],,,,,,,,,,
505046,NLM,MEDLINE,19800119,20190902,0364-2348 (Print) 0364-2348 (Linking),4,2,1979 Jun 6,Case report 93.,111-4,"['Becker, M H', 'Engler, G L', 'Klein, M']","['Becker MH', 'Engler GL', 'Klein M']",['eng'],"['Case Reports', 'Journal Article']",,Germany,Skeletal Radiol,Skeletal radiology,7701953,IM,"['Bone Neoplasms/*diagnostic imaging/pathology', 'Child', 'Diagnosis, Differential', 'Female', 'Foot Diseases/diagnostic imaging/pathology', 'Humans', 'Leukemia, Lymphoid/*diagnostic imaging/pathology', 'Radiography', 'Tarsal Bones/*diagnostic imaging']",1979/06/06 00:00,1979/06/06 00:01,['1979/06/06 00:00'],"['1979/06/06 00:00 [pubmed]', '1979/06/06 00:01 [medline]', '1979/06/06 00:00 [entrez]']",ppublish,Skeletal Radiol. 1979 Jun 6;4(2):111-4. doi: 10.1007/BF00349336.,,,['10.1007/BF00349336 [doi]'],,,,,,,,,,
504981,NLM,MEDLINE,19800128,20190819,0036-8733 (Print) 0036-8733 (Linking),241,6,1979 Dec,Implantable drug-delivery systems.,66-73,"['Blackshear, P J']",['Blackshear PJ'],['eng'],['Journal Article'],,United States,Sci Am,Scientific American,0404400,IM,"['Animals', 'Blood Coagulation Disorders/drug therapy', 'Blood Glucose/analysis', 'Brain/surgery', 'Dermatologic Surgical Procedures', 'Diabetes Mellitus/drug therapy', 'Diabetes Mellitus, Experimental/blood/drug therapy', 'Dogs', '*Drug Implants', 'Heparin/administration & dosage/therapeutic use', 'Humans', 'Insulin/administration & dosage/therapeutic use', 'Kinetics', 'Procainamide/blood']",1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']",ppublish,Sci Am. 1979 Dec;241(6):66-73. doi: 10.1038/scientificamerican1279-66.,,"['0 (Blood Glucose)', '0 (Drug Implants)', '0 (Insulin)', '9005-49-6 (Heparin)', 'L39WTC366D (Procainamide)']",['10.1038/scientificamerican1279-66 [doi]'],"['PIP: 792634', 'POP: 00071730']","['Implantable drug-delivery systems are being developed to release drugs to the', 'bloodstream continuously as well as free patients from being hospitalized to', 'receive intravenous infusions or frequent injections. One technique is', 'implantation of a pellet in the subcutaneous tissue so the pellet may be released', 'by erosion. Drugs are also diffused through silicone rubber capsules but only', 'polyacrylamide is able to release large molecules. Contraceptive rings containing', 'progesterone and placed in the uterus or vagina and implanted silicone-rubber', 'capsules use these principles. Disadvantages to the subcutaneous delivery of', 'drugs include: 1) release of the drug in subcutaneous tissue rather than in the', 'bloodstream directly; 2) entry into the circulatory system is controlled by', 'surrounding blood supplies which vary with fat; 3) diffusion may be difficult due', 'to dense layers of fibrous tissue; and 4) drug amounts cannot be readily', 'regulated. The Ommaya reservoir uses a container with a self-sealing membrane', 'implanted in the scalp and connected to a cerebral ventricle to treat forms of', 'leukemia and fungal meningitis. Another development is an implantable disk-shaped', 'infusion pump with 2 compartments, the outer one containing a propellant and the', 'inner chamber containing the drug, holds 45 milliliters and releases about 1', 'milliliter/day. In the future these systems may release drugs in response to', 'biochemical feedback or deliver a drug to 1 specific area.']",['eng'],['PIP'],"['Biology', '*Contraception', '*Contraceptive Implants', 'Contraceptive Methods', 'Endocrine System', 'Family Planning', 'Hormones', '*Implantation--therapeutic use', 'Physiology', 'Pregnancy', 'Pregnancy, First Trimester', 'Progestational Hormones', '*Progesterone--administraction and dosage', 'Reproduction', '*Silicone Ring']",['PIP: TJ: SCIENTIFIC AMERICAN.'],,,,
