PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,OAB,OABL,OTO,OT,GN
316388,NLM,MEDLINE,19800327,20191210,0014-2956 (Print) 0014-2956 (Linking),102,1,1979 Dec,Inhibition of lymphocyte proliferation by polyamines requires ruminant-plasma polyamine oxidase.,153-8,"Spermine and spermidine in vitro are potent inhibitors of proliferation of phytohaemagglutinin-stimulated rat thymic lymphocytes, lymphoma cells and human lymphoblastic leukaemia cells, but only in media supplemented by foetal calf serum. This inhibition is shown to be due to a bovine plasma polyamine oxidase, with a high specificity for these polyamines. Spontaneously dividing lymphocytes are not subject to this inhibition. This, plus direct evidence from synchronous cultures of EB2 cells demonstrates that the inhibition is expressed in the late G1 or G1/S interface of the cell cycle. Putrescine was not an inhibitor in the presence of foetal calf serum but became so in the presence of human pregnancy serum, possibly due to the action of diamine oxidase.","['Allen, J C', 'Smith, C J', 'Hussain, J I', 'Thomas, J M', 'Gaugas, J M']","['Allen JC', 'Smith CJ', 'Hussain JI', 'Thomas JM', 'Gaugas JM']",['eng'],['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Culture Media)', '0 (Diamines)', '0 (Polyamines)', '2FZ7Y3VOQX (Spermine)', 'EC 1.- (Oxidoreductases)', 'EC 1.5.- (Oxidoreductases Acting on CH-NH Group Donors)', 'EC 1.5.3.- (polyamine oxidase)', 'U87FK77H25 (Spermidine)', 'V10TVZ52E4 (Putrescine)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Blood', 'Cattle', 'Culture Media', 'Diamines/*pharmacology', 'Female', 'Humans', 'Lymphocyte Activation/*drug effects', 'Oxidoreductases/*blood', 'Oxidoreductases Acting on CH-NH Group Donors', 'Polyamines/*pharmacology', 'Pregnancy', 'Putrescine/pharmacology', 'Rats', 'Spermidine/pharmacology', 'Spermine/pharmacology', 'T-Lymphocytes/drug effects', 'Thymidine/metabolism']",1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']",['10.1111/j.1432-1033.1979.tb06275.x [doi]'],ppublish,Eur J Biochem. 1979 Dec;102(1):153-8. doi: 10.1111/j.1432-1033.1979.tb06275.x.,,,,,,,,
316375,NLM,MEDLINE,19800324,20191028,0147-0272 (Print) 0147-0272 (Linking),4,3,1979 Sep,Acute respiratory failure in cancer patients.,47-57,,"['Carlon, G C']",['Carlon GC'],['eng'],['Journal Article'],United States,Curr Probl Cancer,Current problems in cancer,7702986,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', 'Humans', 'Leukemia/complications', 'Lung Diseases/complications', 'Lymphoma/complications', 'Neoplasms/*complications/therapy', 'Pneumonia, Pneumocystis/etiology', 'Postoperative Complications', 'Radiation Injuries', 'Respiratory Insufficiency/*etiology', 'Transfusion Reaction']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']","['S0147-0272(79)80046-X [pii]', '10.1016/s0147-0272(79)80046-x [doi]']",ppublish,Curr Probl Cancer. 1979 Sep;4(3):47-57. doi: 10.1016/s0147-0272(79)80046-x.,,,,,,,,
316363,NLM,MEDLINE,19800317,20190705,0092-8674 (Print) 0092-8674 (Linking),18,4,1979 Dec,Synchronization of MEL cell commitment with cordycepin.,1073-8,The response of differentiating MEL cells to the nucleotide analogue cordycepin reveals a previously unrecognized aspect of the molecular events which cause commitment of these cells to terminal erythroid differentiation. Cordycepin rapidly inhibits commitment of DMSO-treated MEL cells in a dose range which does not cause cytotoxicity. Reversal of cordycepin treatment in the presence of inducer leads to a rapid and synchronous commitment of a significant proportion of cells in the culture. These results suggest that MEL cells can be blocked just prior to the point of commitment by cordycepin treatment.,"['Levenson, R', 'Kernen, J', 'Housman, D']","['Levenson R', 'Kernen J', 'Housman D']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cell,Cell,0413066,"['0 (Deoxyadenosines)', '63231-63-0 (RNA)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Line', 'Deoxyadenosines/*pharmacology', 'Dimethyl Sulfoxide/pharmacology', 'Erythropoiesis/*drug effects', 'Leukemia, Erythroblastic, Acute', 'Mice', 'RNA/biosynthesis']",1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']","['0092-8674(79)90220-4 [pii]', '10.1016/0092-8674(79)90220-4 [doi]']",ppublish,Cell. 1979 Dec;18(4):1073-8. doi: 10.1016/0092-8674(79)90220-4.,,,,,,,,
316296,NLM,MEDLINE,19800215,20141120,0002-9645 (Print) 0002-9645 (Linking),40,4,1979 Apr,"B-lymphocyte differentiation, using pokeweed mitogen stimulation: in vitro studies in leukemic and normal cattle.",515-20,"B-lymphocytes from 7 normal cattle and from 3 persistent lymphocytotic, 6 lymphosarcomatosus, and 3 bovine leukemia virus-infected animals with diverse defects in humoral immunity were examined for their capacity to undergo terminal differentiation in vitro. Pokeweek mitogen-stimulated cells from normal and leukemic cattle were stimulated to synthesize and secrete immunoglobulins, and these were detected by radial immunodiffusion. Lymphocytes from normal cattle synthesized more IgM than those from persistent lymphocytotic-, lymphosarcomatous-, and bovine leukemia virus-infected cattle. Leukemic cattle have a higher percentage of cells containing intracytoplasmic immunoglobulins; most cells are believed to contain IgG. The serum IgM in normal cattle is significantly (P less than 0.05) higher than that in leukemic cattle. The results indicate that there is an abnormality either in synthesis or secretion of IgM or in abnormal catabolism of Ig from leukemic B-lymphocytes.","['Atluru, D', 'Johnson, D W', 'Paul, P S', 'Muscoplat, C C']","['Atluru D', 'Johnson DW', 'Paul PS', 'Muscoplat CC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Vet Res,American journal of veterinary research,0375011,"['0 (Immunoglobulin M)', '0 (Immunoglobulins)', '0 (Pokeweed Mitogens)']",IM,"['Animals', 'B-Lymphocytes/immunology', 'Cattle', 'Cattle Diseases/*immunology', 'Immunoglobulin M/analysis', 'Immunoglobulins/analysis', 'In Vitro Techniques', 'Leukemia/immunology/*veterinary', '*Lymphocyte Activation', 'Pokeweed Mitogens/*immunology']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1979 Apr;40(4):515-20.,,,,,,,,
316137,NLM,MEDLINE,19800215,20200930,0037-9727 (Print) 0037-9727 (Linking),162,2,1979 Nov,Cell surface binding proteins for the major envelope glycoprotein of murine leukemia virus.,304-9,,"['Twardzik, D R', 'Fowler, A K', 'Weislow, O S', 'Hegamyer, G A', 'Hellman, A']","['Twardzik DR', 'Fowler AK', 'Weislow OS', 'Hegamyer GA', 'Hellman A']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Glycoproteins)', '0 (Membrane Proteins)', '0 (Peptides)', '0 (Receptors, Virus)', '0 (Viral Proteins)']",IM,"['Animals', 'Glycoproteins/*metabolism', 'Membrane Proteins/metabolism', 'Mice', 'Peptides/metabolism', '*Rauscher Virus', 'Receptors, Virus/*metabolism', 'T-Lymphocytes/*metabolism', 'Viral Proteins/*metabolism']",1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",['10.3181/00379727-162-40670 [doi]'],ppublish,Proc Soc Exp Biol Med. 1979 Nov;162(2):304-9. doi: 10.3181/00379727-162-40670.,,,,,,,,
316024,NLM,MEDLINE,19800215,20061115,0485-1439 (Print) 0485-1439 (Linking),20,9,1979 Sep,[T-cell malignancy in Hokkaido (author's transl)].,1103-6,,"['Kikuchi, K', 'Yamanaka, N', 'Ogasawara, M', 'Mikuni, C']","['Kikuchi K', 'Yamanaka N', 'Ogasawara M', 'Mikuni C']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Female', 'Humans', 'Japan', 'Leukemia/*epidemiology/pathology', 'Lymphoma/*epidemiology/pathology', 'Male', 'Middle Aged', 'T-Lymphocytes']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1979 Sep;20(9):1103-6.,,,,,,,,
316023,NLM,MEDLINE,19800215,20071115,0485-1439 (Print) 0485-1439 (Linking),20,9,1979 Sep,[T gamma-CLL and T mu-CLL: a report of three cases of T-CLL with Fc receptors for IgM or IgG (author's transl)].,1098-102,,"['Kitani, T', 'Machii, T', 'Hiraoka, A', 'Kanayama, Y', 'Konishi, I']","['Kitani T', 'Machii T', 'Hiraoka A', 'Kanayama Y', 'Konishi I']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Receptors, Fc)']",IM,"['Adult', 'Aged', 'Female', 'Humans', 'Immunoglobulin G/*immunology', 'Immunoglobulin M/*immunology', 'Leukemia, Lymphoid/*immunology/ultrastructure', 'Male', 'Middle Aged', 'Receptors, Fc/*immunology', 'T-Lymphocytes']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1979 Sep;20(9):1098-102.,,,,,,,,
316022,NLM,MEDLINE,19800215,20071115,0485-1439 (Print) 0485-1439 (Linking),20,9,1979 Sep,[Case of T-cell leukemia with vascular purpura].,1094-7,,"['Yamamoto, T', 'Yamamoto, H']","['Yamamoto T', 'Yamamoto H']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Female', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy', 'Middle Aged', 'Purpura/*complications/drug therapy', 'T-Lymphocytes']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1979 Sep;20(9):1094-7.,,,,,,,,
316021,NLM,MEDLINE,19800215,20071115,0485-1439 (Print) 0485-1439 (Linking),20,9,1979 Sep,[Heterotransplantation of a human leukemic T-cell line (TALL-1) and its characteristic features (author's transl)].,1090-3,,"['Hiraki, S', 'Miyoshi, I']","['Hiraki S', 'Miyoshi I']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Animals', 'Cell Line', 'Cricetinae', 'Humans', 'Leukemia, Experimental/pathology', 'Leukemia, Lymphoid/*pathology', 'Mice', '*Neoplasm Transplantation', 'T-Lymphocytes', '*Transplantation, Heterologous']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1979 Sep;20(9):1090-3.,,,,,,,,
316018,NLM,MEDLINE,19800215,20071115,0485-1439 (Print) 0485-1439 (Linking),20,9,1979 Sep,"[Clinical, cytological and immunological analysis of T-cell type lymphoid malignancies: a classification of T-cell type lymphoid malignancy (author's transl)].",1056-69,,"['Shimoyama, M', 'Minato, K']","['Shimoyama M', 'Minato K']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Japan', 'Leukemia/*classification/immunology/pathology', 'Leukemia, Lymphoid/pathology', 'Lymphoma/*classification/immunology/pathology', 'Lymphoma, Non-Hodgkin/pathology', 'Male', 'Middle Aged', 'Prognosis', 'T-Lymphocytes']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1979 Sep;20(9):1056-69.,,,,,,,,
