PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,TT,PMC,OID,GN,GR
276646,NLM,MEDLINE,19780915,20190817,0021-5287 (Print) 0021-5287 (Linking),69,4,1978 Apr,[Platelet-like bodies in urine of patients with leukaemia (author's transl)].,443-7,"['Kono, N', 'Toyama, K', 'Chen, T P', 'Suzawa, N', 'Mizokami, T']","['Kono N', 'Toyama K', 'Chen TP', 'Suzawa N', 'Mizokami T']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Nihon Hinyokika Gakkai Zasshi,Nihon Hinyokika Gakkai zasshi. The japanese journal of urology,2984841R,IM,"['Adult', 'Blood Platelets/*ultrastructure', 'Female', 'Humans', 'Leukemia/*urine', 'Leukemia, Monocytic, Acute/urine', 'Leukemia, Myeloid/urine', 'Leukemia, Myeloid, Acute/urine', 'Male', 'Middle Aged']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",['10.5980/jpnjurol1928.69.4_443 [doi]'],ppublish,Nihon Hinyokika Gakkai Zasshi. 1978 Apr;69(4):443-7. doi: 10.5980/jpnjurol1928.69.4_443.,,,,,,,
276644,NLM,MEDLINE,19780915,20041117,0047-1860 (Print) 0047-1860 (Linking),26,5,1978 May,[Metabolic and functional abnormalities of platelets (author's transl)].,423-8,"['Kuramoto, A', 'Kimura, A', 'Fujimura, K']","['Kuramoto A', 'Kimura A', 'Fujimura K']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,IM,"['Blood Glucose/*metabolism', 'Blood Platelet Disorders/blood', 'Blood Platelets/*metabolism', 'Humans', 'Leukemia, Myeloid/blood', 'Superoxide Dismutase/blood']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1978 May;26(5):423-8.,"['0 (Blood Glucose)', 'EC 1.15.1.1 (Superoxide Dismutase)']",,,,,,
276643,NLM,MEDLINE,19780925,20161017,0098-7484 (Print) 0098-7484 (Linking),240,7,1978 Aug 18,Reversible heart block in acute leukemia.,668-9,"['Maguire, L C', 'Sharlip, I D', 'Spaulding, J T', 'Tewfik, H H']","['Maguire LC', 'Sharlip ID', 'Spaulding JT', 'Tewfik HH']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,JAMA,JAMA,7501160,IM,"['Acute Disease', 'Adult', 'Electrocardiography', 'Follow-Up Studies', 'Heart Block/etiology/pathology/*radiotherapy', 'Heart Conduction System/pathology/radiation effects', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Lymphoma, Non-Hodgkin/*complications/pathology/radiotherapy', 'Male', 'Neoplasm Metastasis']",1978/08/18 00:00,1978/08/18 00:01,['1978/08/18 00:00'],"['1978/08/18 00:00 [pubmed]', '1978/08/18 00:01 [medline]', '1978/08/18 00:00 [entrez]']",,ppublish,JAMA. 1978 Aug 18;240(7):668-9.,,,,,,,
276632,NLM,MEDLINE,19780929,20190509,0027-8874 (Print) 0027-8874 (Linking),61,1,1978 Jul,A specific chromosome breakpoint associated with mouse plasmacytomas.,255-8,"['Shepard, J S', 'Pettengill, O S', 'Wurster-Hill, D H', 'Sorenson, G D']","['Shepard JS', 'Pettengill OS', 'Wurster-Hill DH', 'Sorenson GD']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', '*Chromosome Aberrations', 'Chromosome Deletion', 'Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Leukemia, Myeloid/genetics', 'Leukemia, Plasma Cell/genetics', 'Mice', 'Mice, Inbred BALB C', 'Multiple Myeloma/genetics', 'Plasmacytoma/*genetics', 'Sarcoma, Experimental/genetics', 'Translocation, Genetic', 'Trisomy', 'X Chromosome']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['10.1093/jnci/61.1.255 [doi]'],ppublish,J Natl Cancer Inst. 1978 Jul;61(1):255-8. doi: 10.1093/jnci/61.1.255.,,"The chromosomes of uncultured cells of the near-diploid mouse plasmacytoma MOPC-31C were studied. The modal number of chromosomes was 44. The tumor lacked two marker chromosomes, reciprocal translocation [rcp t(12; 15)], that in previous studies were found to be common to 3 other uncultured myelomas and 1 cultured mouse myeloma. Through the formation of two markers, rcp t(6; 15), unique to this tumor, however, the tumor shared with other tumors and their specific markers a common breakpoint in chromosome ""15 at band D3/E. This breakpoint has been found in all mouse plasmacytomas examined with banding thus far and is considered of possible importance in the development of this tumor.",,,,,
276620,NLM,MEDLINE,19780929,20190509,0027-8874 (Print) 0027-8874 (Linking),61,1,1978 Jul,"Immune reactivity of RBL-3, a nonproducer leukemia induced by Rauscher murine leukemia virus in C57BL/6 mice.",107-12,"['Chang, K S']",['Chang KS'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', '*Antigens, Viral/administration & dosage', 'Cells, Cultured', 'Female', 'Graft Rejection', '*Histocompatibility Antigens', 'Idoxuridine/pharmacology', 'Leukemia, Experimental/*etiology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Rauscher Virus/*immunology', 'Transplantation, Isogeneic', 'Tumor Virus Infections/etiology', 'Viral Proteins/immunology', 'Virus Replication/drug effects']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['10.1093/jnci/61.1.107 [doi]'],ppublish,J Natl Cancer Inst. 1978 Jul;61(1):107-12. doi: 10.1093/jnci/61.1.107.,"['0 (Antigens, Viral)', '0 (Histocompatibility Antigens)', '0 (Viral Proteins)', 'LGP81V5245 (Idoxuridine)']","A cultured line of RBL-3 leukemia, induced by Rauscher murine leukemia virus (R-MuLV) in C57BL/6 mice, was found to be a virus nonproducer. An NB tropic virus indistinguishable from R-MuLV, however, was recovered after treatment with 5-iodo-2'-deoxyuridine (optimal concentration, 200 microgram/ml). Dexamethasone treatment slightly boosted the production of the activated virus but did not by itself activate the virus. RBL-3 cells were found to have Fc receptors but no surface immunoglobulin or Thy 1.2 antigen. RBL-3 cells exhibited the Friend-Moloney-Rauscher virus-specific transplantation antigen as shown by its immunosensitivity and immunogenicity in tumor rejection experiments. Crude membrane and crude soluble antigen preparations obtained from RBL-3 cell membranes retained the capacity to induce tumor rejection.",,,,,
276611,NLM,MEDLINE,19780925,20190709,0022-2623 (Print) 0022-2623 (Linking),21,7,1978 Jul,Novel arabinofuranosyl derivatives of cytosine resistant to enzymatic deamination and possessing potent antitumor activity.,597-8,"['Bobek, M', 'Cheng, Y C', 'Bloch, A']","['Bobek M', 'Cheng YC', 'Bloch A']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/metabolism/therapeutic use', 'Cell Line', 'Cytarabine/*analogs & derivatives/chemical synthesis/metabolism/therapeutic use', 'Cytidine Deaminase/metabolism', 'Deamination', 'Humans', 'Leukemia L1210/drug therapy', 'Leukemia, Lymphoid/drug therapy/enzymology', 'Liver/enzymology', 'Mice']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['10.1021/jm00205a001 [doi]'],ppublish,J Med Chem. 1978 Jul;21(7):597-8. doi: 10.1021/jm00205a001.,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', 'EC 3.5.4.5 (Cytidine Deaminase)']",,,,,,
276591,NLM,MEDLINE,19780925,20190630,0022-3476 (Print) 0022-3476 (Linking),93,2,1978 Aug,Commentary: Significance of hand mirror cells.,335-6,"['Schumacher, H R', 'Stass, S A']","['Schumacher HR', 'Stass SA']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,IM,"['Acute Disease', 'Animals', 'Bone Marrow/immunology/*pathology', 'Bone Marrow Cells', 'Female', 'Humans', 'Leukemia/*pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Prognosis', 'Rats']",1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']","['S0022-3476(78)80583-6 [pii]', '10.1016/s0022-3476(78)80583-6 [doi]']",ppublish,J Pediatr. 1978 Aug;93(2):335-6. doi: 10.1016/s0022-3476(78)80583-6.,,,,,,,
276569,NLM,MEDLINE,19780915,20061115,0025-7044 (Print) 0025-7044 (Linking),47,12,1978 Jun,Splenic abscess in acute leukemia: report of two cases.,22-4,"['Smith, J F Jr', 'Omura, G A', 'Conrad, M E']","['Smith JF Jr', 'Omura GA', 'Conrad ME']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Assoc State Ala,Journal of the Medical Association of the State of Alabama,7503083,IM,"['Abscess/*complications', 'Adult', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Splenic Diseases/*complications']",1978/06/01 00:00,2001/03/28 10:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1978/06/01 00:00 [entrez]']",,ppublish,J Med Assoc State Ala. 1978 Jun;47(12):22-4.,,,,,,,
276561,NLM,MEDLINE,19780915,20141120,0025-7850 (Print) 0025-7850 (Linking),9,1,1978,Kinetics of methotrexate uptake by human tumor cells from routine pathological samples.,43-52,"['Curtis, R Jr', 'Wingard, L B Jr', 'Ladoulis, C T']","['Curtis R Jr', 'Wingard LB Jr', 'Ladoulis CT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med,Journal of medicine,7505566,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Female', 'Humans', 'In Vitro Techniques', 'Kinetics', 'Leukemia, Myeloid, Acute/*metabolism', 'Lymphocytes/metabolism', 'Lymphoma/*metabolism', 'Methotrexate/*metabolism', 'Ovarian Neoplasms/*metabolism', 'Palatine Tonsil/cytology']",1978/01/01 00:00,2001/03/28 10:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,J Med. 1978;9(1):43-52.,['YL5FZ2Y5U1 (Methotrexate)'],"The kinetics of cell uptake of methotrexate were measured in vitro using primary human tumor cells from malignant pleural effusions, leukemic cells from leukopheresis samples, and normal tonsillar lymphocytes. The results were consistent with either passive diffusion or carrier mediated uptake kinetics, with the latter applicable only under conditions where the extracellular concentration of methotrexate was smaller than the drug-transport receptor binding constant. The intial rates of uptake for the same cell type differed signicantly between patients; however no differences in uptake rates were noted between cell types. All three sources of cells proved suitable for uptake studies. The results suggest that the variation in response in normally methotrexate responsive neoplasms, such as leukemia or lymphoma, may be due to between-patient differences in the cellular rates of methotrexate uptake.",,,,,
276559,NLM,MEDLINE,19780915,20061115,0025-7850 (Print) 0025-7850 (Linking),9,1,1978,Preliminary report on radiation and heart disease.,3-15,"['Bross, I D', 'Ball, M', 'Rzepka, T', 'Laws, R E']","['Bross ID', 'Ball M', 'Rzepka T', 'Laws RE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med,Journal of medicine,7505566,IM,"['Aged', 'Heart Diseases/*etiology', 'Humans', 'Leukemia, Radiation-Induced/etiology', 'Male', 'Models, Biological', 'Radiation Injuries/*etiology', 'Radiography/*adverse effects', 'Risk']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,J Med. 1978;9(1):3-15.,,"Using data from the Tri-State and a mathematical model, the hypothesis that low levels of diagnostic radiation can produce both leukemia and heart disease has been tested. The range of radiation considered is within a factor of 10 of 5 rads (0.5-50 rads). Even at the lowest levels, an estimated 5% of the persons exposed suffer damage to the DNA which is subsequently expressed as heart disease or leukemia. The risk of heart disease in an affected group is roughly tripled and there is a 10-fold increase in the risk of leukemia according to preliminary estimates.",,,,,
