PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
256980,NLM,MEDLINE,19791026,20150901,0047-262X (Print),26,2,1979 Apr,[Nursing care in chemotherapy of the patient with hematologic neoplastic diseases].,8-13,"['Chuang, C Y']",['Chuang CY'],['chi'],['Journal Article'],China (Republic : 1949- ),Hu Li Za Zhi,Hu li za zhi The journal of nursing,0073267,['0 (Antineoplastic Agents)'],"['Antineoplastic Agents/*therapeutic use', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy', '*Nursing Assessment', '*Nursing Care']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Hu Li Za Zhi. 1979 Apr;26(2):8-13.,,,,,,,,,
256976,NLM,MEDLINE,19791026,20150901,0047-262X (Print),26,2,1979 Apr,[Radiotherapy and nursing of leukemia patient].,41-5,"['Jame, J M']",['Jame JM'],['chi'],['Journal Article'],China (Republic : 1949- ),Hu Li Za Zhi,Hu li za zhi The journal of nursing,0073267,,"['Humans', 'Leukemia/*nursing/radiotherapy']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Hu Li Za Zhi. 1979 Apr;26(2):41-5.,,,,,,,,,
256973,NLM,MEDLINE,19791026,20150901,0047-262X (Print),26,2,1979 Apr,[Immunity in patients with hematologic neoplastic disease].,25-8,"['Hsueh, S C']",['Hsueh SC'],['chi'],['Journal Article'],China (Republic : 1949- ),Hu Li Za Zhi,Hu li za zhi The journal of nursing,0073267,['0 (Carcinoembryonic Antigen)'],"['Carcinoembryonic Antigen/analysis', 'Humans', '*Immunity', 'Leukemia/*immunology', 'Lymphoma/*immunology']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Hu Li Za Zhi. 1979 Apr;26(2):25-8.,,,,,,,,,
256972,NLM,MEDLINE,19791026,20150901,0047-262X (Print),26,2,1979 Apr,[Chemotherapy of hematologic neoplastic diseases].,1-7,"['Chung, L L']",['Chung LL'],['chi'],['Journal Article'],China (Republic : 1949- ),Hu Li Za Zhi,Hu li za zhi The journal of nursing,0073267,['0 (Antineoplastic Agents)'],"['Antineoplastic Agents/*therapeutic use', 'Humans', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy']",1979/04/01 00:00,1979/04/01 00:01,['1979/04/01 00:00'],"['1979/04/01 00:00 [pubmed]', '1979/04/01 00:01 [medline]', '1979/04/01 00:00 [entrez]']",ppublish,Hu Li Za Zhi. 1979 Apr;26(2):1-7.,,,,,,,,,
256788,NLM,MEDLINE,19791026,20061115,0379-8577 (Print) 0379-8577 (Linking),2,1,1979 Jun,[Leukemia in children].,34-7,"['Hugo, M J', 'Botha, A']","['Hugo MJ', 'Botha A']",['afr'],"['English Abstract', 'Journal Article']",South Africa,Curationis,Curationis,7901092,,"['Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia/*nursing/psychology/therapy', 'Patient Isolation', 'Patient Isolators', '*Pediatric Nursing']",1979/06/01 00:00,1979/06/01 00:01,['1979/06/01 00:00'],"['1979/06/01 00:00 [pubmed]', '1979/06/01 00:01 [medline]', '1979/06/01 00:00 [entrez]']",ppublish,Curationis. 1979 Jun;2(1):34-7.,Leukemie by kinders.,,,,,,,,
256112,NLM,MEDLINE,19790829,20041117,0029-6511 (Print) 0029-6511 (Linking),148,24,1979 Jun 14,Leukaemia and viruses: a possible tool for prevention.,30,"['Karpas, A']",['Karpas A'],['eng'],['Journal Article'],England,Nurs Mirror,Nursing mirror,7708429,,"['Humans', 'Leukemia/*microbiology/prevention & control', 'Oncogenic Viruses/*growth & development', 'Virus Cultivation']",1979/06/14 00:00,1979/06/14 00:01,['1979/06/14 00:00'],"['1979/06/14 00:00 [pubmed]', '1979/06/14 00:01 [medline]', '1979/06/14 00:00 [entrez]']",ppublish,Nurs Mirror. 1979 Jun 14;148(24):30.,,,,,,,,,
254625,NLM,MEDLINE,19790629,20191028,0011-5029 (Print) 0011-5029 (Linking),25,2,1978 Nov,Neurologic complications of systemic cancer.,1-60,"['Posner, J B']",['Posner JB'],['eng'],['Journal Article'],United States,Dis Mon,Disease-a-month : DM,0370657,,"['Brain Diseases, Metabolic/diagnosis/therapy', 'Brain Neoplasms/diagnosis/therapy', 'Cerebrovascular Disorders/diagnosis', 'Diagnosis, Differential', 'Humans', 'Leukemia/complications', 'Lymphoma/complications', 'Meningitis/diagnosis', 'Neoplasm Metastasis', 'Neoplasms/*diagnosis/therapy', '*Neurologic Manifestations', 'Peripheral Nervous System Neoplasms/diagnosis', 'Prognosis', 'Spinal Cord Neoplasms/diagnosis/therapy']",1978/11/01 00:00,1978/11/01 00:01,['1978/11/01 00:00'],"['1978/11/01 00:00 [pubmed]', '1978/11/01 00:01 [medline]', '1978/11/01 00:00 [entrez]']",ppublish,Dis Mon. 1978 Nov;25(2):1-60. doi: 10.1016/s0011-5029(78)80010-8.,,IM,"['S0011-5029(78)80010-8 [pii]', '10.1016/s0011-5029(78)80010-8 [doi]']",,,,,,
254450,NLM,MEDLINE,19790516,20041117,0106-8350 (Print) 0106-8350 (Linking),79,7,1979 Feb 14,[Psychological reactions of parents of children with leukemia].,suppl 2-18,"['Moller, B S']",['Moller BS'],['dan'],"['Case Reports', 'Journal Article']",Denmark,Sygeplejersken,Sygeplejersken,0421366,,"['Child', 'Child, Preschool', '*Emotions', 'Female', 'Humans', 'Leukemia/*psychology', 'Male', '*Parents', 'Pediatric Nursing', 'Personality Development', 'Professional-Family Relations']",1979/02/14 00:00,1979/02/14 00:01,['1979/02/14 00:00'],"['1979/02/14 00:00 [pubmed]', '1979/02/14 00:01 [medline]', '1979/02/14 00:00 [entrez]']",ppublish,Sygeplejersken. 1979 Feb 14;79(7):suppl 2-18.,Psykiske reaktioner hos foraeldre til leucaemiborn.,,,,,,,,
253639,NLM,MEDLINE,19790516,20041117,0014-9772 (Print) 0014-9772 (Linking),43,12,1978 Dec,[Chronic leukemias].,16-22,"['Smirnov, A N']",['Smirnov AN'],['rus'],['Journal Article'],Russia (Federation),Feldsher Akush,Fel'dsher i akusherka,16930040R,,"['Chronic Disease', 'Humans', '*Leukemia/diagnosis/therapy']",1978/12/01 00:00,1978/12/01 00:01,['1978/12/01 00:00'],"['1978/12/01 00:00 [pubmed]', '1978/12/01 00:01 [medline]', '1978/12/01 00:00 [entrez]']",ppublish,Feldsher Akush. 1978 Dec;43(12):16-22.,Khronicheskii leikoz.,,,,,,,,
253625,NLM,MEDLINE,19790516,20191210,0162-220X (Print) 0162-220X (Linking),2,1,1979 Feb,Cancer audit. Nursing patient-care outcome audit: acute nonlymphoblastic leukemia. Part I.,71-4,"['Brown, M H', 'Kiss, M E']","['Brown MH', 'Kiss ME']",['eng'],['Journal Article'],United States,Cancer Nurs,Cancer nursing,7805358,,"['Acute Disease', 'Humans', 'Leukemia/*nursing', '*Nursing Audit', '*Outcome and Process Assessment, Health Care', 'Patient Care Planning']",1979/02/01 00:00,1979/02/01 00:01,['1979/02/01 00:00'],"['1979/02/01 00:00 [pubmed]', '1979/02/01 00:01 [medline]', '1979/02/01 00:00 [entrez]']",ppublish,Cancer Nurs. 1979 Feb;2(1):71-4.,,,,,,,,,
