PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,RF,GR,MID,OID,OAB,OABL,OTO,OT
200953,NLM,MEDLINE,19780127,20200930,0037-9727 (Print) 0037-9727 (Linking),156,2,1977 Nov,Expression of the bovine leukemia virus and its internal antigen in blood lymphocytes.,388-91,"['Baliga, V', 'Ferrer, J F']","['Baliga V', 'Ferrer JF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,"['0 (Antigens, Viral)', '0 (Lectins)']",IM,"['Animals', '*Antigens, Viral/genetics', 'Cattle', 'Cells, Cultured', 'Genes, Viral', 'Lectins/pharmacology', 'Leukemia Virus, Bovine/*immunology', 'Lymphocytes/immunology/*microbiology', 'Retroviridae/*immunology', 'Sheep', 'Virus Replication/drug effects']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",['10.3181/00379727-156-39942 [doi]'],ppublish,Proc Soc Exp Biol Med. 1977 Nov;156(2):388-91. doi: 10.3181/00379727-156-39942.,,,,,,,,,,,
200928,NLM,MEDLINE,19780127,20190501,0027-8424 (Print) 0027-8424 (Linking),74,10,1977 Oct,Biochemical evidence that MCF murine leukemia viruses are envelope (env) gene recombinants.,4676-80,"['Elder, J H', 'Gautsch, J W', 'Jensen, F C', 'Lerner, R A', 'Hartley, J W', 'Rowe, W P']","['Elder JH', 'Gautsch JW', 'Jensen FC', 'Lerner RA', 'Hartley JW', 'Rowe WP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Iodine Radioisotopes)', '0 (Viral Proteins)']",IM,"['Animals', 'Genes', '*Genes, Viral', 'Iodine Radioisotopes', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Mice, Inbred AKR', 'Recombination, Genetic', 'Viral Proteins/genetics/metabolism']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1073/pnas.74.10.4676 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1977 Oct;74(10):4676-80. doi: 10.1073/pnas.74.10.4676.,"Recently, a novel class of murine type C virus (MCF), some strains of which are highly oncogenic in the AKR acceleration test, has been isolated from premalignant and malignant thymuses of AKR mice. The biology of these viruses suggested that MCFs are the product of recombination between endogenous ecotropic and xenotropic viruses and, further, that the recombination has taken place within the envelope (env) gene which encodes the surface glycoprotein (gp70) of the virion. We have compared by tryptic peptide analysis, the gp70s of four MCF isolates with the gp70s of various possible parental viruses. In addition, we have compared the tryptic peptides of the gag gene products p30 and p15 from several of these viruses. The results allow the following conclusions: (i) the gp70s of the MCF viruses are not identical to one another and are different from the gp70s of the possible parental viruses tested; (ii) the MCF virus gp70s have tryptic peptides in common with xenotropic virus gp70s as well as with ecotropic virus gp70s; and (iii) the gap region protein, p30, of the MCFs tested is identical to p30 of AKR ecotropic virus (Akv-1 or Akv-2) and distinct from p30 of xenotropic viruses, suggesting that the 5' end of the recombinant viruses is of Akv origin. The findings are discussed with respect to the possible role a recombinant virus might play in leukemogenesis in AKR mice.",PMC432010,,,,,,,,,
200927,NLM,MEDLINE,19780127,20190501,0027-8424 (Print) 0027-8424 (Linking),74,10,1977 Oct,Friend strain of spleen focus-forming virus is a recombinant between ecotropic murine type C virus and the env gene region of xenotropic type C virus.,4671-5,"['Troxler, D H', 'Lowy, D', 'Howk, R', 'Young, H', 'Scolnick, E M']","['Troxler DH', 'Lowy D', 'Howk R', 'Young H', 'Scolnick EM']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Viral)', '0 (RNA, Viral)']",IM,"['Base Sequence', 'Cell Line', 'DNA, Viral/analysis', 'Friend murine leukemia virus/*genetics', 'Genes', '*Genes, Viral', 'Nucleic Acid Hybridization', 'RNA, Viral/analysis', 'Recombination, Genetic', 'Retroviridae/*genetics']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1073/pnas.74.10.4671 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1977 Oct;74(10):4671-5. doi: 10.1073/pnas.74.10.4671.,"The spleen focus-forming virus (SFFV), a replication-defective murine leukemia virus that causes the rapid transformation of certain hematopoietic target cells, has acquired specific xenotropic viral genetic information not contained in Friend helper virus. In the current studies, it is shown that a cDNA that represents a xenotropic virus portion of SFFV detects genetic sequences derived from the env gene region of murine xenotropic virus. The significance of the acquisition of these xenotropic viral sequences by SFFV is discussed with regard to their possible role in the rapid leukemogenicity of SFFV, and an analogy is drawn between the formation of SFFV and the formation of the Kirsten and Harvey sarcoma viruses.",PMC432009,,,,,,,,,
200913,NLM,MEDLINE,19780127,20190501,0027-8424 (Print) 0027-8424 (Linking),74,10,1977 Oct,The RNA of avian acute leukemia virus MC29.,4320-4,"['Duesberg, P H', 'Bister, K', 'Vogt, P K']","['Duesberg PH', 'Bister K', 'Vogt PK']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA, Circular)', '0 (DNA, Viral)', '0 (Oligonucleotides)', '0 (RNA, Viral)', 'EC 3.1.- (Ribonucleases)']",IM,"['Avian Leukosis Virus', 'Avian Sarcoma Viruses', 'DNA, Circular/metabolism', 'DNA, Viral/metabolism', 'Nucleic Acid Hybridization', 'Oligonucleotides/analysis', 'RNA, Viral/*analysis', 'Ribonucleases']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1073/pnas.74.10.4320 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1977 Oct;74(10):4320-4. doi: 10.1073/pnas.74.10.4320.,"The RNA of myelocytoma virus MC29, a replication-defective avian acute leukemia virus, was investigated. Sedimentation and electrophoretic analyses indicated that the virus contains a distinct 28S RNA with about 5700 nucleotides. It is the smallest avian tumor virus RNA detected to date. The small size of the RNA suggests that the defectiveness of the virus is due to deletions in replicative genes. The RNA shared 3 to 5 of 30 large RNase T1-resistant oligonucleotides with the RNA of other avian leukosis and sarcoma and may represent the transforming information of the virus. Sequences of the conserved transforming gene of avian sarcoma viruses were not detected in MC29 RNA. It was concluded that the transforming sequences of MC29 RNA define a new class of avian tumor viral transforming genes.",PMC431932,,,,,,,,,
200849,NLM,MEDLINE,19780127,20190617,0028-0836 (Print) 0028-0836 (Linking),270,5632,1977 Nov 3,Post-infection genetic resistance to avian lymphoid leukosis resides in B target cell.,61-2,"['Purchase, H G', 'Gilmour, D G', 'Romero, C H', 'Okazaki, W']","['Purchase HG', 'Gilmour DG', 'Romero CH', 'Okazaki W']",['eng'],['Journal Article'],England,Nature,Nature,0410462,,IM,"['Animals', 'Avian Leukosis/*genetics', 'Avian Leukosis Virus', 'B-Lymphocytes/*immunology', 'Cell Transformation, Neoplastic', 'Cell Transformation, Viral', 'Chickens', '*Immunity, Innate', 'Virus Replication']",1977/11/03 00:00,1977/11/03 00:01,['1977/11/03 00:00'],"['1977/11/03 00:00 [pubmed]', '1977/11/03 00:01 [medline]', '1977/11/03 00:00 [entrez]']",['10.1038/270061a0 [doi]'],ppublish,Nature. 1977 Nov 3;270(5632):61-2. doi: 10.1038/270061a0.,,,,,,,,,,,
200832,NLM,MEDLINE,19780127,20190902,0098-1532 (Print) 0098-1532 (Linking),3,4,1977,Leukemia following Reye's syndrome treated with exchange transfusions: search for type-C viral infection.,345-50,"['Overturf, G D', 'Powars, D R', 'McAllister, R M', 'Pegelow, C', 'Charman, H P']","['Overturf GD', 'Powars DR', 'McAllister RM', 'Pegelow C', 'Charman HP']",['eng'],"['Case Reports', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Blood Transfusion', 'Bone Marrow/microbiology', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications/etiology', 'Lymphocytes/microbiology', 'Retroviridae/*isolation & purification', 'Reye Syndrome/*complications/etiology/therapy']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",['10.1002/mpo.2950030404 [doi]'],ppublish,Med Pediatr Oncol. 1977;3(4):345-50. doi: 10.1002/mpo.2950030404.,"A 5-year-old child developed acute lymphoblastic leukemia during convalescence from an episode of Reye's syndrome that was treated with multiple exchange transfusions. Routine laboratory, histology, and viral serology were unable to establish a common etiology for the 2 illnesses. Cultural and immunologic methods to search for evidence of infection with type-C viruses or viral genes in lymphoblasts from the buffy coat and bone marrow failed to reveal these agents. Although no common infectious etiology was defined for the close temporal occurrence of 2 rare diseases, the possibility of an iatrogenically induced malignancy was considered.",,,,,,,,,,
200767,NLM,MEDLINE,19780127,20161017,0098-7484 (Print) 0098-7484 (Linking),238,24,1977 Dec 12,Hepatoma in a child with methotrexate-induced hepatic fibrosis.,2631-3,"['Ruymann, F B', 'Mosijczuk, A D', 'Sayers, R J']","['Ruymann FB', 'Mosijczuk AD', 'Sayers RJ']",['eng'],"['Case Reports', 'Journal Article']",United States,JAMA,JAMA,7501160,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Carcinoma, Hepatocellular/*chemically induced/pathology', 'Child', 'Child, Preschool', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Liver/pathology', 'Liver Cirrhosis/*chemically induced/pathology', 'Liver Neoplasms/*chemically induced/pathology', 'Methotrexate/administration & dosage/*adverse effects/therapeutic use']",1977/12/12 00:00,1977/12/12 00:01,['1977/12/12 00:00'],"['1977/12/12 00:00 [pubmed]', '1977/12/12 00:01 [medline]', '1977/12/12 00:00 [entrez]']",,ppublish,JAMA. 1977 Dec 12;238(24):2631-3.,"During autopsy, an 11-year-old girl with acute lymphocytic leukemia was found to have hepatic fibrosis with a 2.5-cm nodule of hepatocarcinoma. For 5 1/2 of the six years of treatment, chemotherapy consisted of daily orally administered methotrexate with monthly doses of vincristine sulfate and prednisone. The cumulative dose of methotrexate was 2.5 g. To our knowledge, this report constitutes the first association of hepatoma with methotrexate-induced hepatic fibrosis. A careful follow-up of patients receiving methotrexate for malignant neoplasms is urged; caution is suggested in the prolonged use of methotrexate when treating benign disease.",,,,,,,,,,
200756,NLM,MEDLINE,19780127,20190509,0027-8874 (Print) 0027-8874 (Linking),59,6,1977 Dec,Cyclic nucleotide phosphodiesterase and protein activator in human cancer cell lines and Brown-Pearce carcinoma.,1605-9,"['Liu, Y P', 'Wong, V G', 'Chabner, B A']","['Liu YP', 'Wong VG', 'Chabner BA']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Neoplasm Proteins)', ""EC 3.1.4.17 (3',5'-Cyclic-AMP Phosphodiesterases)"", 'SY7Q814VUP (Calcium)']",IM,"[""3',5'-Cyclic-AMP Phosphodiesterases/*metabolism"", 'Animals', 'Calcium/metabolism', 'Carcinoma, Brown-Pearce/*enzymology', 'Cell Line', 'Enzyme Activation', 'Eye Neoplasms/enzymology', 'Humans', 'Leukemia, Lymphoid/enzymology', 'Neoplasm Proteins/*metabolism', 'Neoplasms/*enzymology', 'Rabbits', 'Retinoblastoma/enzymology']",1977/12/01 00:00,1977/12/01 00:01,['1977/12/01 00:00'],"['1977/12/01 00:00 [pubmed]', '1977/12/01 00:01 [medline]', '1977/12/01 00:00 [entrez]']",['10.1093/jnci/59.6.1605 [doi]'],ppublish,J Natl Cancer Inst. 1977 Dec;59(6):1605-9. doi: 10.1093/jnci/59.6.1605.,"3':5'-Cyclic-AMP phosphodiesterase (EC 3.1.4.17) and the activating factor of cyclic nucleotide phosphodiesterase were detected in cultured human cell lines from patients with lymphoblastic leukemia and retinoblastoma and in the Brown-Pearce (rabbit) carcinoma. The homogenate of lymphoblasts contained levels of the activating factor in excess of that required to produce maximal activation of the endogenous phosphodiesterase. The activating factor found in these malignant cells appears to be similar to the calcium-binding protein activator of bovine brain phosphodiesterase on the basis of the molecular weight obtained from gel filtration, electrophoretic patterns, calcium requirement for the activity, and the effect of calcium on the proteolysis. In addition, the tumor-derived activator was able to restore the activity of activator-deficient phosphodiesterase from the bovine brain.",,,,,,,,,,
200712,NLM,MEDLINE,19780127,20151119,0022-1317 (Print) 0022-1317 (Linking),37,2,1977 Nov,Avian tumour virus interactions with chicken fibroblast membranes: partial characterization of initial attachment site activity.,385-98,"['Moldow, C F', 'Volberding, P', 'McGrath, M', 'Lee, J L']","['Moldow CF', 'Volberding P', 'McGrath M', 'Lee JL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,J Gen Virol,The Journal of general virology,0077340,['EC 3.4.21.4 (Trypsin)'],IM,"['Adsorption', '*Alpharetrovirus/growth & development', 'Animals', 'Avian Leukosis Virus/growth & development', 'Avian Sarcoma Viruses/growth & development', '*Binding Sites/drug effects', 'Cell Line', 'Cell Membrane/microbiology', 'Cell Transformation, Viral/drug effects', 'Chick Embryo', 'Fibroblasts/*microbiology', 'Moloney murine leukemia virus/growth & development', 'Solubility', 'Trypsin/pharmacology']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",['10.1099/0022-1317-37-2-385 [doi]'],ppublish,J Gen Virol. 1977 Nov;37(2):385-98. doi: 10.1099/0022-1317-37-2-385.,"Exposure of chicken embryo fibroblasts (CEF) to trypsin solubilizes cell surface components, including the initial attachment site for avian tumour viruses (ATV). The soluble attachment site activity appears to interact directly with the ATV in vitro thereby interfering with the binding of at least two ATV subgroups to both intact CEF and CEF plasma membranes. A result of this interaction in vitro is reduced ATV infectivity, demonstrated by reduced transforming capacity of RSV (RAV-I).",,,,,,,,,,
200591,NLM,MEDLINE,19780127,20041117,0003-1488 (Print) 0003-1488 (Linking),171,8,1977 Oct 15,Transmissibility of animal cancer viruses.,"685, 688, 692","['Essex, M', 'Hardy, W D Jr']","['Essex M', 'Hardy WD Jr']",['eng'],['Letter'],United States,J Am Vet Med Assoc,Journal of the American Veterinary Medical Association,7503067,,IM,"['Animals', 'Cats', 'Female', 'Humans', 'Leukemia/*transmission', '*Leukemia Virus, Feline', 'Pregnancy']",1977/10/15 00:00,2001/03/28 10:01,['1977/10/15 00:00'],"['1977/10/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/10/15 00:00 [entrez]']",,ppublish,"J Am Vet Med Assoc. 1977 Oct 15;171(8):685, 688, 692.",,,,,,,,,,,
