PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,PMC,OID,OTO,OT,GN,AD,SI,GR
165722,NLM,MEDLINE,19750807,20190716,0002-9629 (Print) 0002-9629 (Linking),269,1,1975 Jan-Feb,Infectious mononucleosis preceding acute myelomonocytic leukemia.,131-5,"The patient discussed in this report had acute myelomonocytic leukemia (AMML) associated with infectious mononucleosis. Infectious mononucleosis (IM) in association with acute leukemia (AL) has provided clinical investigators an active area of speculation for several years. Nineteen cases are presented for review in Table 1. The present case represents the second case of AMML to be associated with IM. It is the first case of a granulocytic leukemia reported in which active IM is occurring simultaneously with the onset of AL. Also, it represents the first case of associated IM-AL in which the diagnosis of IM is supported by lymphocyte culture data. This may represent a mechanism for additional investigation in future cases.","['Pedersen, P R', 'Gerber, P', 'Sweeney, G', 'Blom, J']","['Pedersen PR', 'Gerber P', 'Sweeney G', 'Blom J']",['eng'],['Journal Article'],United States,Am J Med Sci,The American journal of the medical sciences,0370506,"['0 (Antibodies, Viral)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Adult', 'Animals', 'Antibodies, Viral/analysis', 'Cattle', 'Cyclophosphamide/therapeutic use', 'Cytarabine/therapeutic use', 'Guinea Pigs', 'Herpesvirus 4, Human/immunology', 'Humans', 'Infectious Mononucleosis/blood/*complications/diagnosis', 'Leukemia, Myeloid/blood/drug therapy/*etiology', 'Lymphocytes/pathology', 'Male', 'Prednisone/therapeutic use', 'Vincristine/therapeutic use']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",['10.1097/00000441-197501000-00014 [doi]'],ppublish,Am J Med Sci. 1975 Jan-Feb;269(1):131-5. doi: 10.1097/00000441-197501000-00014.,,,,,,,,,,
165693,NLM,MEDLINE,19750730,20151119,0084-5930 (Print) 0084-5930 (Linking),5,,1975,Altered adenylate cyclase activity: its role in growth regulation and malignant transformation of fibroblasts.,681-98,,"['Anderson, W B', 'Pastan, I']","['Anderson WB', 'Pastan I']",['eng'],"['Journal Article', 'Review']",United States,Adv Cyclic Nucleotide Res,Advances in cyclic nucleotide research,0341362,"['0 (Insulin)', 'E0399OZS9N (Cyclic AMP)', 'EC 3.1.4.- (Phosphoric Diester Hydrolases)', 'EC 4.6.1.1 (Adenylyl Cyclases)']",IM,"['Adenylyl Cyclases/*metabolism', 'Animals', 'Avian Sarcoma Viruses', 'Cell Division', 'Cell Line', '*Cell Transformation, Neoplastic', 'Chick Embryo', 'Contact Inhibition', 'Cyclic AMP/metabolism', 'Fibroblasts/drug effects/*enzymology', 'Insulin/pharmacology', 'Models, Biological', 'Moloney murine leukemia virus', 'Phosphoric Diester Hydrolases/metabolism', 'Time Factors']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Adv Cyclic Nucleotide Res. 1975;5:681-98.,49,,,,,,,,,
165674,NLM,MEDLINE,19750730,20131121,0084-5930 (Print) 0084-5930 (Linking),5,,1975,"Isolation of cytidine 3',5'-monophosphate from mammalian tissues and body fluids and its effects on leukemia L-1210 cell growth in culture.",331-8,,"['Bloch, A']",['Bloch A'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Adv Cyclic Nucleotide Res,Advances in cyclic nucleotide research,0341362,"['0 (Cytosine Nucleotides)', '0 (Nucleotides, Cyclic)', 'E0399OZS9N (Cyclic AMP)']",IM,"['Animals', 'Cell Division/drug effects', 'Chromatography, Paper', 'Cyclic AMP/pharmacology', 'Cytosine Nucleotides/isolation & purification/pharmacology', 'Electrophoresis, Paper', 'Leukemia L1210/analysis/*metabolism', 'Liver/analysis/metabolism', 'Liver Regeneration', 'Mice', 'Nucleotides, Cyclic/isolation & purification/*pharmacology', 'Rats']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Adv Cyclic Nucleotide Res. 1975;5:331-8.,,,,,,,,,,
165634,NLM,MEDLINE,19750808,20061115,0507-3758 (Print) 0507-3758 (Linking),21,2,1975,[The mechanism of hypoalbuminemia in experimental tumors].,57-62,,"['Shapot, V S', 'Berdinskikh, N K']","['Shapot VS', 'Berdinskikh NK']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,"['0 (Amino Acids)', '0 (Antigen-Antibody Complex)', '0 (Carbon Radioisotopes)', '0 (Serum Albumin)', '57-50-1 (Sucrose)']",IM,"['Amino Acids/metabolism', 'Animals', 'Antigen-Antibody Complex', 'Carbon Radioisotopes', 'Carcinoma, Hepatocellular/*metabolism', 'Centrifugation, Density Gradient', 'Chinchilla', 'Electrophoresis, Polyacrylamide Gel', 'Leukemia, Experimental', 'Liver/metabolism/*ultrastructure', 'Liver Neoplasms/*metabolism', 'Microscopy, Electron', 'Neoplasm Transplantation', 'Polyribosomes/immunology/*metabolism', 'Precipitin Tests', 'Rabbits/immunology', 'Rats', 'Sarcoma, Experimental/metabolism', 'Serum Albumin/analysis/*biosynthesis', 'Sucrose', 'Ultracentrifugation']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1975;21(2):57-62.,,O mekhanizme gipoal'buminemii pri eksperimental'nykh opukholiiakh,,,,,,,,
165619,NLM,MEDLINE,19750808,20190714,0042-6822 (Print) 0042-6822 (Linking),65,2,1975 Jun,Endogenous oncornaviruses in chemically induced transformation. I. Transformation independent of virus production.,392-409,,"['Rapp, U R', 'Nowinski, R C', 'Reznikoff, C A', 'Heidelberger, C']","['Rapp UR', 'Nowinski RC', 'Reznikoff CA', 'Heidelberger C']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (Antigens, Viral)', '0 (Benz(a)Anthracenes)', '56-49-5 (Methylcholanthrene)', '57-97-6 (9,10-Dimethyl-1,2-benzanthracene)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'LGP81V5245 (Idoxuridine)']",IM,"['*9,10-Dimethyl-1,2-benzanthracene', 'Animals', 'Antigens, Viral/analysis', '*Benz(a)Anthracenes', 'Cell Line', '*Cell Transformation, Neoplastic', 'Clone Cells', 'DNA Nucleotidyltransferases/biosynthesis', 'Fibroblasts', 'Fluorescent Antibody Technique', 'Idoxuridine/pharmacology', 'Kinetics', 'Leukemia Virus, Murine/enzymology/*growth & development/immunology', 'Mammary Tumor Virus, Mouse/immunology', '*Methylcholanthrene', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C3H', 'Viral Plaque Assay', 'Virus Replication']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",['10.1016/0042-6822(75)90045-8 [doi]'],ppublish,Virology. 1975 Jun;65(2):392-409. doi: 10.1016/0042-6822(75)90045-8.,,,,,,,,,,
165617,NLM,MEDLINE,19750808,20190714,0042-6822 (Print) 0042-6822 (Linking),65,2,1975 Jun,A major genetic locus affecting resistance to infection with murine leukemia viruses. IV. Dose-response relationships in Fv-1-sensitive and resistant cell cultures.,333-42,,"['Pincus, T', 'Hartley, J W', 'Rowe, W P']","['Pincus T', 'Hartley JW', 'Rowe WP']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,,IM,"['Animals', '*Cell Line', 'Fibroblasts', '*Genes', 'Heterozygote', 'Homozygote', 'Humans', 'Hybrid Cells', 'Infant, Newborn', 'Leukemia Virus, Murine/*growth & development', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Mice, Inbred Strains', 'Probability', 'Viral Plaque Assay', 'Virus Replication']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",['10.1016/0042-6822(75)90039-2 [doi]'],ppublish,Virology. 1975 Jun;65(2):333-42. doi: 10.1016/0042-6822(75)90039-2.,,,,,,,,,,
165616,NLM,MEDLINE,19750808,20190714,0042-6822 (Print) 0042-6822 (Linking),65,2,1975 Jun,Replication kinetics of N- and B-tropic murine leukemia viruses on permissive and nonpermissive cells in vitro.,320-32,,"['Decleve, A', 'Niwa, O', 'Gelmann, E', 'Kaplan, H S']","['Decleve A', 'Niwa O', 'Gelmann E', 'Kaplan HS']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,,IM,"['AKR murine leukemia virus/growth & development', 'Animals', '*Cell Line', 'Fibroblasts', 'Fluorescent Antibody Technique', 'Genotype', 'Hybrid Cells', 'Kinetics', 'Leukemia Virus, Murine/*growth & development', 'Mice', 'Mice, Inbred Strains', 'Moloney murine leukemia virus/growth & development', 'Rabbits', 'Rats', 'Rats, Inbred Strains', 'Viral Plaque Assay', '*Virus Replication']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",['10.1016/0042-6822(75)90038-0 [doi]'],ppublish,Virology. 1975 Jun;65(2):320-32. doi: 10.1016/0042-6822(75)90038-0.,,,,,,,,,,
165605,NLM,MEDLINE,19750718,20081121,0564-3783 (Print) 0564-3783 (Linking),9,2,1975 Mar-Apr,[Cytogenetic mechanisms in the pathogenesis of malignant neoplasms].,159-64,"Malignant tumors and pre-cancer processes are characterized by a high proliferative activity of cells, high chromosome variability and extremely high genome variability which is 10 times, as high as that in non-tumor actively proliferating tissues. A clear positive correlation is found between the cell division rate and the level of chromosome variability.","['Tiniakov, I U', 'Tiniakov, G G', 'Piatnitskii, N N', 'Zhminchenko, V M']","['Tiniakov IU', 'Tiniakov GG', 'Piatnitskii NN', 'Zhminchenko VM']",['rus'],"['English Abstract', 'Journal Article']",Ukraine,Tsitol Genet,TSitologiia i genetika,0101671,,IM,"['Adenocarcinoma, Scirrhous/genetics', 'Adenoma/genetics', 'Animals', 'Chickens', 'Female', 'Fibroma/genetics', '*Genetic Variation', '*Genotype', 'Humans', 'Leukemia/genetics', '*Mitosis', 'Neoplasms/*genetics', 'Neuroma/genetics', 'Precancerous Conditions/*genetics', 'Sarcoma/genetics', 'Sarcoma, Avian/genetics', 'Stomach Neoplasms/genetics', 'Uterine Neoplasms/genetics']",1975/03/01 00:00,1975/03/01 00:01,['1975/03/01 00:00'],"['1975/03/01 00:00 [pubmed]', '1975/03/01 00:01 [medline]', '1975/03/01 00:00 [entrez]']",,ppublish,Tsitol Genet. 1975 Mar-Apr;9(2):159-64.,,Tsitogeneticheskie zakonomernosti patogeneza zlokachestvennykh novoobrazovanii,,,,,,,,
165603,NLM,MEDLINE,19750808,20061115,0041-1345 (Print) 0041-1345 (Linking),7,2,1975 Jun,Infectious spread and control of feline leukemia virus.,265-7,,"['Hardy, W D Jr', 'McClelland, A J']","['Hardy WD Jr', 'McClelland AJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplant Proc,Transplantation proceedings,0243532,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Cat Diseases/immunology/*prevention & control', 'Cats', 'Disease Outbreaks/veterinary', 'Immunotherapy', 'Leukemia Virus, Feline/*immunology', 'Lymphoma, Non-Hodgkin/immunology/prevention & control/therapy/*veterinary', 'Prognosis']",1975/06/01 00:00,2001/03/28 10:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1975/06/01 00:00 [entrez]']",,ppublish,Transplant Proc. 1975 Jun;7(2):265-7.,,,,,,,,,,
165602,NLM,MEDLINE,19750808,20141120,0041-1345 (Print) 0041-1345 (Linking),7,2,1975 Jun,The augmentation of tumor-specific immunity with immune RNA.,259-63,,"['Deckers, P J', 'Wang, B S', 'Stuart, P A', 'Mannick, J A']","['Deckers PJ', 'Wang BS', 'Stuart PA', 'Mannick JA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Transplant Proc,Transplantation proceedings,0243532,"['0 (Immunosuppressive Agents)', '0 (RNA, Neoplasm)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Cells, Cultured', 'Guinea Pigs', 'Immunity, Cellular', 'Immunization', 'Immunosuppressive Agents/pharmacology', 'In Vitro Techniques', 'Leukemia Virus, Murine', 'Lymphocytes/immunology', 'Neoplasms/*immunology', 'Neoplasms, Experimental', 'RNA, Neoplasm/isolation & purification/*pharmacology', 'Spleen', 'Thymidine', '*Transplantation Immunology', 'Tritium']",1975/06/01 00:00,1975/06/01 00:01,['1975/06/01 00:00'],"['1975/06/01 00:00 [pubmed]', '1975/06/01 00:01 [medline]', '1975/06/01 00:00 [entrez]']",,ppublish,Transplant Proc. 1975 Jun;7(2):259-63.,,,,,,,,,,
