PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,CIN,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,CN,SI,IR,FIR,CON,TT,RIN,EIN,COIS,GN,OID
23317504,NLM,MEDLINE,20130430,20211021,1097-4164 (Electronic) 1097-2765 (Linking),49,5,2013 Mar 7,Phospho switch triggers Brd4 chromatin binding and activator recruitment for gene-specific targeting.,843-57,10.1016/j.molcel.2012.12.006 [doi] S1097-2765(12)01015-5 [pii],"Bromodomain-containing protein 4 (Brd4) is an epigenetic reader and transcriptional regulator recently identified as a cancer therapeutic target for acute myeloid leukemia, multiple myeloma, and Burkitt's lymphoma. Although chromatin targeting is a crucial function of Brd4, there is little understanding of how bromodomains that bind acetylated histones are regulated, nor how the gene-specific activity of Brd4 is determined. Via interaction screen and domain mapping, we identified p53 as a functional partner of Brd4. Interestingly, Brd4 association with p53 is modulated by casein kinase II (CK2)-mediated phosphorylation of a conserved acidic region in Brd4 that selectively contacts either a juxtaposed bromodomain or an adjacent basic region to dictate the ability of Brd4 binding to chromatin and also the recruitment of p53 to regulated promoters. The unmasking of bromodomains and activator recruitment, concurrently triggered by the CK2 phospho switch, provide an intriguing mechanism for gene-specific targeting by a universal epigenetic reader.",['Copyright (c) 2013 Elsevier Inc. All rights reserved.'],"['Wu, Shwu-Yuan', 'Lee, A-Young', 'Lai, Hsien-Tsung', 'Zhang, Hong', 'Chiang, Cheng-Ming']","['Wu SY', 'Lee AY', 'Lai HT', 'Zhang H', 'Chiang CM']","['Simmons Comprehensive Cancer Center, University of Texas Southwestern Medical Center, Dallas, TX 75390, USA.']",['eng'],"['R01 CA103867/CA/NCI NIH HHS/United States', 'R01 CA124760/CA/NCI NIH HHS/United States', 'CA103867/CA/NCI NIH HHS/United States', 'CA124760/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20130111,United States,Mol Cell,Molecular cell,9802571,"['0 (BRD4 protein, human)', '0 (Cell Cycle Proteins)', '0 (Chromatin)', '0 (Histones)', '0 (Nuclear Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Protein p53)', 'EC 2.7.11.1 (Casein Kinase II)']",IM,['Mol Cell. 2013 Mar 7;49(5):838-9. PMID: 23473602'],"['Casein Kinase II/genetics/*metabolism', 'Cell Cycle Proteins', 'Chromatin/genetics/*metabolism', '*Gene Targeting', 'HCT116 Cells', 'HEK293 Cells', 'Histones/chemistry/metabolism', 'Humans', 'Leukemia, Myeloid, Acute/genetics', 'Nuclear Proteins/*genetics/*metabolism', 'Transcription Factors/*genetics/*metabolism', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/genetics/metabolism']",PMC3595396,['NIHMS428437'],2013/01/16 06:00,2013/05/01 06:00,['2013/01/16 06:00'],"['2012/06/04 00:00 [received]', '2012/10/15 00:00 [revised]', '2012/12/04 00:00 [accepted]', '2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/05/01 06:00 [medline]']","['S1097-2765(12)01015-5 [pii]', '10.1016/j.molcel.2012.12.006 [doi]']",ppublish,Mol Cell. 2013 Mar 7;49(5):843-57. doi: 10.1016/j.molcel.2012.12.006. Epub 2013 Jan 11.,,,,,,,,,,,,,
23317491,NLM,MEDLINE,20131203,20150713,1847-6538 (Electronic) 1330-027X (Linking),20,4,2012,Neutrophilic eccrine hidradenitis induced by cytarabine.,272-5,,,,"['Grahovac, Maja', 'Maximiliane Ehmann, Laura', 'Flaig, Michael', 'Reibke, Roland', 'Wollenberg, Andreas']","['Grahovac M', 'Maximiliane Ehmann L', 'Flaig M', 'Reibke R', 'Wollenberg A']",,['eng'],,"['Case Reports', 'Letter']",,Croatia,Acta Dermatovenerol Croat,Acta dermatovenerologica Croatica : ADC,9433781,"['0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)']",IM,,"['Antimetabolites, Antineoplastic/*adverse effects/therapeutic use', 'Cytarabine/*adverse effects/therapeutic use', 'Eccrine Glands/pathology', 'Female', 'Hidradenitis/*chemically induced', 'Humans', 'Induction Chemotherapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Middle Aged']",,,2013/01/16 06:00,2013/12/16 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/12/16 06:00 [medline]']",,ppublish,Acta Dermatovenerol Croat. 2012;20(4):272-5.,,,,,,,,,,,,,
23317202,NLM,MEDLINE,20130702,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,11,2012,Five most common prognostically important fusion oncogenes are detected in the majority of Pakistani pediatric acute lymphoblastic leukemia patients and are strongly associated with disease biology and treatment outcome.,5469-75,,"BACKGROUND AND OBJECTIVES: Acute lymphoblastic leukemia (ALL) is a complex genetic disease involving many fusion oncogenes (FO) having prognostic significance. The frequency of various FO can vary in different ethnic groups, with important implications for prognosis, drug selection and treatment outcome. METHOD: We studied fusion oncogenes in 101 pediatric ALL patients using interphase FISH and RT-PCR, and their associations with clinical features and treatment outcome. RESULTS: Five most common fusion genes i.e. BCR-ABL t (22; 9), TCF3-PBX1 (t 1; 19), ETV6-RUNX1 (t 12; 21), MLL-AF4 (t 4; 11) and SIL-TAL1 (del 1p32) were found in 89/101 (88.1%) patients. Frequency of BCR-ABL was 44.5% (45/101). BCR-ABL positive patients had a significantly lower survival (43.7+/-4.24 weeks) and higher white cell count as compared to others, except patients with MLL-AF4. The highest relapse-free survival was documented with ETV6-RUNX1 (14.2 months) followed closely by those cases in which no gene was detected (13.100). RFS with BCR-ABL, MLL-AF4, TCF3-PBX1 and SIL-TAL1 was less than 10 months (8.0, 3.6, 5.5 and 8.1 months, respectively). CONCLUSIONS: This is the first study from Pakistan correlating molecular markers with disease biology and treatment outcome in pediatric ALL. It revealed the highest reported frequency of BCR-ABL FO in pediatric ALL, associated with poor overall survival. Our data indicate an immediate need for incorporation of tyrosine kinase inhibitors in the treatment of BCR-ABL+ pediatric ALL in this population and the development of facilities for stem cell transplantation.",,"['Awan, Tashfeen', 'Iqbal, Zafar', 'Aleem, Aamer', 'Sabir, Noreen', 'Absar, Muhammad', 'Rasool, Mahmood', 'Tahir, Ammara H', 'Basit, Sulman', 'Khalid, Ahmad Mukhtar', 'Sabar, Muhammad Farooq', 'Asad, Sultan', 'Ali, Agha Shabbir', 'Mahmood, Amer', 'Akram, Muhammad', 'Saeed, Tariq', 'Saleem, Arsalan', 'Mohsin, Danish', 'Shah, Ijaz Hussain', 'Khalid, Muhammad', 'Asif, Muhammad', 'Haq, Riazul', 'Iqbal, Mudassar', 'Akhtar, Tanveer']","['Awan T', 'Iqbal Z', 'Aleem A', 'Sabir N', 'Absar M', 'Rasool M', 'Tahir AH', 'Basit S', 'Khalid AM', 'Sabar MF', 'Asad S', 'Ali AS', 'Mahmood A', 'Akram M', 'Saeed T', 'Saleem A', 'Mohsin D', 'Shah IH', 'Khalid M', 'Asif M', 'Haq R', 'Iqbal M', 'Akhtar T']","['Hematology, Oncology and Pharmacogenetic Engineering Sciences (HOPES) Group, Health Sciences Laboratories, Faculty of Biological Sciences, Department of Zoology, University of the Punjab, Pakistan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (MLL-AF4 fusion protein, human)', '0 (Oncogene Proteins, Fusion)', '0 (SIL-TAL1 fusion protein, human)', '0 (TCF3-PBX1 fusion protein, human)', '0 (TEL-AML1 fusion protein)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,,"['Adolescent', 'Child', 'Child, Preschool', 'Core Binding Factor Alpha 2 Subunit/*genetics', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Humans', 'Male', 'Myeloid-Lymphoid Leukemia Protein/*genetics', 'Oncogene Proteins, Fusion/*genetics', 'Pakistan', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/mortality/therapy', 'Survival Rate', 'Treatment Outcome']",,,2013/01/16 06:00,2013/07/03 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.7314/apjcp.2012.13.11.5469 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(11):5469-75. doi: 10.7314/apjcp.2012.13.11.5469.,,,,,,,,,,,,,
23317194,NLM,MEDLINE,20130702,20211203,2476-762X (Electronic) 1513-7368 (Linking),13,11,2012,"Monosomal karyotypes among 1147 Chinese patients with acute myeloid leukemia: prevalence, features and prognostic impact.",5421-6,,"A monosomal karyotype (MK), defined as >/=2 autosomal monosomies or a single monosomy in the presence of additional structural abnormalities, was recently identified as an independent prognostic factor conveying an extremely poor prognosis in patients with acute myeloid leukemia (AML). In the present study, after excluding patients with t(15;17), t(8;21), inv(16) and normal karyotypes, 324 AML patients with cytogenetic abnormalities were the main subject of analysis. The incidences of MK were 13% in patients aged 15 to 60 years and 18% in those between 15 and 88 years old. MK was much more prevalent among elderly patients (p<0.001) and was significantly associated with the presence of -7, -5, del(5q), abn12p, abn17p, -18 or 18q-, -20 or 20q- and CK (for all p<0.001 except for abn12p p=0.009), and +8 or +8q was less frequent in MK+ AML(p=0.007). No correlation was noted between monosomal karyotype and FAB subtype (p>0.05); MK remained significantly associated with worse overall survival among patients with complex karyotype (p=0.032); A single autosomal monosomy contributed an additional negative effect in OS of patients with structural cytogenetic abnormalities (P=0.008). This report presents the prevalence, feature and prognostic impact of MK among a large series of Chinese AML patients from a single center for the first time.",,"['Yang, Xiao-Fei', 'Sun, Ai-Ning', 'Yin, Jia', 'Cai, Cheng-Sen', 'Tian, Xiao-Peng', 'Qian, Jun', 'Chen, Su-Ning', 'Wu, De-Pei']","['Yang XF', 'Sun AN', 'Yin J', 'Cai CS', 'Tian XP', 'Qian J', 'Chen SN', 'Wu DP']","['The First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key laboratory of Thrombosis and Hemostasis of Ministry of Health, Suzhou, China.']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,,IM,,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Asians/*genetics', '*Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/epidemiology/*genetics/mortality', 'Male', 'Middle Aged', 'Monosomy/*genetics', 'Prevalence', 'Prognosis', 'Survival Rate', 'Young Adult']",,,2013/01/16 06:00,2013/07/03 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.7314/apjcp.2012.13.11.5421 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(11):5421-6. doi: 10.7314/apjcp.2012.13.11.5421.,,,,,,,,,,,,,
23317190,NLM,MEDLINE,20130702,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,11,2012,Serum human leukocyte antigen-G and soluble interleukin 2 receptor levels in acute lymphoblastic leukemic pediatric patients.,5399-403,,"AIMS AND BACKGROUND: Human leukocyte antigen-G and interleukin-2 receptor play pivotal roles in the proliferation of lymphocytes, and thus generation of immune responses. Their overexpression has been evidenced in different malignant hematopoietic diseases. This study aimed to validate serum soluble human leukocyte antigen-G (sHLA-G) and serum soluble interleukin-2 receptor (sIL-2R) as an additional tool for the diagnosis and follow up of acute lymphoblastic leukemia (ALL). SUBJECTS AND METHODS: Both markers were determined by ELISA in the serum of 33 ALL pediatric patients before treatment and after intensification phase of chemotherapy as well as in the serum of 14 healthy donors that were selected as a control group. RESULTS: ALL patients showed abnormal CBC and high serum lactate dehydrogenase, which were improved after chemotherapy. Also, there was a non-significant increase in serum sHLA-G in ALL patients compared with the control group. However, after chemotherapy, sHLA-G was increased significantly compared with before treatment. On the other hand, serum sIL-2R in ALL patients was increased significantly compared with the control group. After chemotherapy, sIL-2R decreased significantly compared with before treatment. CONCLUSIONS: From these results it could be suggested that measurement of serum sHLA-G might be helpful in diagnosis of ALL, while sIL-2R might be useful in diagnosis and follow-up of ALL in pediatric patients.",,"['Motawi, Tarek M K', 'Zakhary, Nadia I', 'Salman, Tarek M', 'Tadros, Samer A']","['Motawi TM', 'Zakhary NI', 'Salman TM', 'Tadros SA']","['Biochemistry Department, Faculty of Pharmacy, Cairo University, Egypt.']",['eng'],,"['Comparative Study', 'Journal Article']",,Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Biomarkers, Tumor)', '0 (HLA-G Antigens)', '0 (Receptors, Interleukin-2)']",IM,,"['Adolescent', 'Biomarkers, Tumor/*blood', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Follow-Up Studies', 'HLA-G Antigens/*blood', 'Humans', 'Infant', 'Male', 'Neoplasm Staging', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/diagnosis/drug therapy', 'Prognosis', 'Receptors, Interleukin-2/*blood']",,,2013/01/16 06:00,2013/07/03 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.7314/apjcp.2012.13.11.5399 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(11):5399-403. doi: 10.7314/apjcp.2012.13.11.5399.,,,,,,,,,,,,,
23317183,NLM,MEDLINE,20130702,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,11,2012,Immunotherapeutic approach for better management of cancer--role of IL-18.,5353-61,,"Interleukin-18 (IL-18) is an immune-stimulatory cytokine with antitumor activity in preclinical models. It plays pivotal roles in linking inflammatory immune responses and tumor progression and is a useful candidate in gene therapy of lymphoma or lymphoid leukemia. A phase I study of recombinant human IL-18 (rhIL-18) in patients with advanced cancer concluded that rhIL-18 can be safely given in biologically active doses to patients with advanced cancer. Some viruses can induce the secretion of IL-18 for immune evasion. The individual cytokine activity might be potentiated or inhibited by combinations of cytokines. Here we focus on combinational effects of cytokines with IL-18 in cancer progression. IL-18 is an important non-invasive marker suspected of contributing to metastasis. Serum IL-18 may a useful biological marker as independent prognostic factor of survival. In this review we cover roles of IL-18 in immune evasion, metastasis and angiogenesis, applications for chemotherapy and prognostic or diagnostic significance.",,"['Kuppala, Manohar Babu', 'Syed, Sunayana Begum', 'Bandaru, Srinivas', 'Varre, Sreedevi', 'Akka, Jyothy', 'Mundulru, Hema Prasad']","['Kuppala MB', 'Syed SB', 'Bandaru S', 'Varre S', 'Akka J', 'Mundulru HP']","['Institute of Genetics and Hospital for Genetic Diseases, Osmania University, Begumpet, Hyderabad, India. hemaprasadm@yahoo.com']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Antineoplastic Agents)', '0 (Interleukin-18)']",IM,,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Disease Management', 'Humans', '*Immunotherapy', 'Interleukin-18/*therapeutic use', 'Neoplasms/*drug therapy/immunology']",,,2013/01/16 06:00,2013/07/03 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.7314/apjcp.2012.13.11.5353 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(11):5353-61. doi: 10.7314/apjcp.2012.13.11.5353.,,,,,,,,,,,,,
23317181,NLM,MEDLINE,20130702,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,11,2012,Anti-tumor activity and apoptosis-regulation mechanisms of bufalin in various cancers: new hope for cancer patients.,5339-43,,"The induction of apoptosis in target cells is a key mechanism for most anti-tumor therapies. Bufalin is a cardiotonic steroid that has the potential to induce differentiation and apoptosis of tumor cells. Research on bufalin has so far mainly involved leukemia, prostate cancer, gastric cancer and liver cancer, and has been confined to in vitro studies. The bufadienolides bufalin and cinobufagin have been shown to induce apoptosis in a wide spectrum of cancer cell. The present article reviews the anticancer effects of bufalin. It induces apoptosis of lung cancer cells via the PI3K/Akt pathway and also suppressed the proliferation of human non-small cell lung cancer A549 cell line in a time and dose dependent manner. Bufalin, bufotalin and gamabufotalin, key bufadienolides, significantly sensitize human breast cancer cells with differing ER-alpha status to apoptosis induction by the TNF-related apoptosis-inducing ligand (TRAIL). In addition, bufadienolides induce prostate cancer cell apoptosis more significantly than that in breast epithelial cell lines. Similar effects have been observed with hepatocellular carcinoma (HCC) but the detailed molecular mechanisms of inducing apoptosis in this case are still unclear. Bufalin exerts profound effects on leukemia therapy in vitro. Results of multiple studies indicate that bufalin has marked anti-tumor activities through its ability to induce apoptosis. Large-scale randomized, double-blind, placebo or positive drug parallel controlled studies are now required to confirm the efficacy and apoptosis-inducing potential of bufalin in various cancers in the cliniucal setting.",,"['Yin, Pei-Hao', 'Liu, Xuan', 'Qiu, Yan-Yan', 'Cai, Jian-feng', 'Qin, Jian-min', 'Zhu, Hui-Rong', 'Li, Qi']","['Yin PH', 'Liu X', 'Qiu YY', 'Cai JF', 'Qin JM', 'Zhu HR', 'Li Q']","['Department of General Surgery and Medical Oncology, Putuo Hospital and Shuguang Hospital, Shanghai University of Traditional Chinese Medicine, Shanghai, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Antineoplastic Agents)', '0 (Bufanolides)', 'EGL9670I6P (bufotalin)']",IM,,"['Antineoplastic Agents/*therapeutic use', 'Bufanolides/*therapeutic use', 'Humans', 'Neoplasms/*drug therapy/*pathology']",,,2013/01/16 06:00,2013/07/03 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/03 06:00 [medline]']",['10.7314/apjcp.2012.13.11.5339 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(11):5339-43. doi: 10.7314/apjcp.2012.13.11.5339.,,,,,,,,,,,,,
23316877,NLM,PubMed-not-MEDLINE,20130205,20211021,1752-1947 (Print) 1752-1947 (Linking),7,,2013 Jan 14,Sustained disease-free survival achieved with withdrawal of immunosuppression after rapid relapse of myelodysplastic syndrome following myeloablative allogeneic hematopoietic transplantation: a case report.,18,10.1186/1752-1947-7-18 [doi],"UNLABELLED: INTRODUCTION: Relapse after allogeneic hematopoietic stem cell transplantation in patients with myelodysplasia is a challenging problem with limited treatment options. Attempts to induce a graft-versus-leukemia effect have been used with limited success. In patients with myelodysplasia, sustained complete remissions have generally been limited to patients with long-term remission after transplant and those with low numbers of marrow blasts. CASE PRESENTATION: We report the case of a 41-year-old Caucasian woman with relapsed myelodysplastic syndrome and a high blast percentage six months after undergoing an allogeneic transplant who achieved a sustained complete remission after withdrawal of immunosuppression alone. CONCLUSION: This case highlights the importance of a reasonable period of observation after withdrawing immunosuppression to induce graft-versus-leukemia, and the potential effectiveness of that approach.",,"['Hamilton, Betty K', 'Vereb, Gregory', 'Copelan, Edward A']","['Hamilton BK', 'Vereb G', 'Copelan EA']","['Bone Marrow Transplant Program, Department of Hematologic Oncology and Blood Disorders, Cleveland Clinic Taussig Cancer Institute, 9500 Euclid Avenue, Cleveland, OH 44195, USA. hamiltb2@ccf.org.']",['eng'],,['Journal Article'],20130114,England,J Med Case Rep,Journal of medical case reports,101293382,,,,,PMC3562165,,2013/01/16 06:00,2013/01/16 06:01,['2013/01/16 06:00'],"['2012/08/09 00:00 [received]', '2012/12/01 00:00 [accepted]', '2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/01/16 06:01 [medline]']","['1752-1947-7-18 [pii]', '10.1186/1752-1947-7-18 [doi]']",epublish,J Med Case Rep. 2013 Jan 14;7:18. doi: 10.1186/1752-1947-7-18.,,,,,,,,,,,,,
23316859,NLM,MEDLINE,20130730,20211021,1744-7658 (Electronic) 1354-3784 (Linking),22,3,2013 Mar,Lenalidomide as a novel treatment of acute myeloid leukemia.,389-97,10.1517/13543784.2013.758712 [doi],INTRODUCTION: Lenalidomide is an oral immunomodulatory drug derived from thalidomide. This drug has been approved by the Food and Drug Administration for transfusion-dependent anemia due to low-risk myelodysplastic syndromes (MDS) associated with deletion 5q abnormality with or without additional cytogenetic abnormalities and multiple myeloma in combination with dexamethasone. Trials have been conducted for its use in higher-risk MDS and acute myeloid leukemia (AML). AREAS COVERED: The pharmacokinetic and mechanism of action are discussed and clinical studies of lenalidomide in AML are reported herein in detail. An overview of safety and tolerability is also presented. EXPERT OPINION: Lenalidomide has clinical activity in AML with manageable toxicity. The population that would benefit from lenalidomide and optimal dose needs to be better defined. Recent trials have focused on combining lenalidomide with other agents active in MDS and AML and promising data are emerging.,,"['Chen, Yiming', 'Borthakur, Gautam']","['Chen Y', 'Borthakur G']","['The University of Texas MD Anderson Cancer Center, Department of Leukemia, 1515 Holcombe Boulevard, Unit 428, Houston, Texas 77030, USA.']",['eng'],"['P30 CA016672/CA/NCI NIH HHS/United States', 'CA016672/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",20130115,England,Expert Opin Investig Drugs,Expert opinion on investigational drugs,9434197,"['0 (Angiogenesis Inhibitors)', '4Z8R6ORS6L (Thalidomide)', 'F0P408N6V4 (Lenalidomide)']",IM,,"['Angiogenesis Inhibitors/*therapeutic use', 'Clinical Trials, Phase I as Topic', 'Clinical Trials, Phase II as Topic', 'Humans', 'Lenalidomide', 'Leukemia, Myeloid, Acute/*drug therapy', 'Thalidomide/adverse effects/*analogs & derivatives/therapeutic use']",,,2013/01/16 06:00,2013/07/31 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/07/31 06:00 [medline]']",['10.1517/13543784.2013.758712 [doi]'],ppublish,Expert Opin Investig Drugs. 2013 Mar;22(3):389-97. doi: 10.1517/13543784.2013.758712. Epub 2013 Jan 15.,,,,,,,,,,,,,
23316720,NLM,MEDLINE,20130807,20130115,1525-1470 (Electronic) 0736-8046 (Linking),30,1,2013 Jan-Feb,A scalp nodule in a 4-year-old boy. Precursor B-cell lymphoblastic lymphoma.,135-6,10.1111/j.1525-1470.2012.01732.x [doi],,,"['Siah, Tee W', 'Windebank, Kevin P', 'Menon, Geetha', 'Leech, Suzy']","['Siah TW', 'Windebank KP', 'Menon G', 'Leech S']","['Department of Dermatology and Oncology, Royal Victoria Infirmary, Newcastle Upon Tyne, UK. s310tw@doctors.org.uk']",['eng'],,"['Case Reports', 'Journal Article']",,United States,Pediatr Dermatol,Pediatric dermatology,8406799,,IM,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Biopsy, Needle', 'Child, Preschool', 'Diagnosis, Differential', 'Follow-Up Studies', 'Humans', 'Immunohistochemistry', 'Male', 'Neoplasm Staging', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/drug therapy/*pathology', 'Risk Assessment', 'Scalp/pathology', 'Skin Neoplasms/diagnosis/*pathology', 'Treatment Outcome']",,,2013/01/16 06:00,2013/08/08 06:00,['2013/01/16 06:00'],"['2013/01/16 06:00 [entrez]', '2013/01/16 06:00 [pubmed]', '2013/08/08 06:00 [medline]']",['10.1111/j.1525-1470.2012.01732.x [doi]'],ppublish,Pediatr Dermatol. 2013 Jan-Feb;30(1):135-6. doi: 10.1111/j.1525-1470.2012.01732.x.,,,,,,,,,,,,,
